Feature ID	Taxon	Confidence
4310942f7df8df7fa319095b9a00d1675169fb04	k__Fungi	0.998691280343456
aff62da957a0c0c959e64e77cff9f881f96e561c	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae	0.945105839770821
cba08dde2d1d55aec8cb41624951eab3ef21bb09	k__Fungi;p__Ascomycota;c__Arthoniomycetes;o__Lichenostigmatales;f__Phaeococcomycetaceae;g__Phaeococcomyces	0.999999746665726
183R4164P44708PP	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Acremonium;s__Acremonium_dichromosporum	0.999961235386618
43bb6b6afa36718272b0beb1a1ef7a73dacea91a	k__Fungi	0.998235212967393
SH004426.07FU_JX984791_reps_singleton	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales	0.712756009261529
8f2efcb5d9b4f3780ee3582100ffe36af60868de	k__Fungi	0.99875248946777
a7dd6273043142d09f167c63de27010aed52fcdf	k__Fungi	0.998124573736813
b067dd29f16edb597c98578ea22f45d15abdfa7d	k__Fungi	0.998163072016212
SH490955.07FU_JX326008_reps_singleton	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Piskurozymaceae;g__Solicoccozyma;s__Solicoccozyma_aeria	0.999799678014066
b1771cf1453df68d316ac0330effb368408fe27c	k__Fungi	0.998329147714667
336G6323Z10357QZ	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Diatrypaceae;g__Monosporascus	0.999999889060496
795H1603U78493FC	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymosphaeriaceae	0.999966571757263
SH116201.07FU_JQ993379_reps	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Naganishia;s__Naganishia_randhawae	0.985434402959139
SH497006.07FU_KM104074_reps_singleton	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Tremellaceae;g__Tremella	0.545454545454545
164S4970B19319ZL	k__Fungi;p__Ascomycota	0.859173396036916
335B6683M11694NZ	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria	0.999979871655542
305N8528T50210OR	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__pleosporaceae;g__Neocamarosporium	0.999614768479108
6adc46b7db6cb9884bb5d39928649c1ab16b1a55	k__Fungi	0.9984628257823
33bd2bb80b07fa4e049a2fd30802d05cf8587501	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae	0.999976218269978
245b67192757e6ffc3845bab6e6e7449cb7c5387	k__Fungi	0.998380849512433
2217fa10ec899ac907f0d8b9f041632848e0a195	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymosphaeriaceae	0.949621554977827
136ef9c1241ddeef4b5d07949535018feac6c0bd	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria	0.985122465236944
890C6141V36258ZT	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Entolomataceae;g__Entoloma;s__Entoloma_vindobonense	0.999956134930809
e9a3977b2f844c82fda8046b4ad094bb49f65ebf	k__Fungi	0.998868093170963
540R4561S31741CV	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales	0.828784665045314
a6a8fe4e03b395dbb817b59d3ef81116e115a86d	k__Fungi	0.998627993713863
660X1886D89598YG	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Curvularia	0.872272687029449
272G1706Y63871WP	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Lentitheciaceae;g__Keissleriella	0.999922020538053
SH468984.07FU_FN392298_reps_singleton	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Coniochaetales;f__Coniochaetaceae;g__Coniochaeta	0.521739130434783
864H7867M24286CA	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Microdochiaceae;g__Microdochium	0.997467809163235
SH084393.07FU_JN942962_reps	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Lophiostomataceae;g__Lophiostoma;s__Lophiostoma_multiseptatum	0.995857394484086
SH107779.07FU_FR799468_reps	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria;s__alternaria_eureka	0.873404708892533
SH027346.07FU_KC965669_reps_singleton	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales	0.868850366465775
303A6056Z17361SU	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria	0.999970081279375
868U4372S34830TI	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Neosetophoma;s__Neosetophoma_samararum	0.929181543703688
b98bb98aeb965acc25cf5b9aba2f966c3eea75f9	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium	0.970249654608254
d057873749b37563b953bd9e0c245e621079419d	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Planistromellaceae;g__Ramimonilia;s__Ramimonilia_apicalis	0.993609817528692
765Z1673N74327TS	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Ascochyta	0.999601417762044
4f7846f7114346de8783c71d9bcf5b9b6ecdab7e	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Holtermanniales;f__Holtermanniales_fam_Incertae_sedis;g__Holtermanniella;s__Holtermanniella_takashimae	0.998285660530432
963W8146F77781UZ	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Cistella	0.999940894263134
SH490455.07FU_KP114438_reps_singleton	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales	0.80946619443727
07cfa9f2b8ef6abe6f26d8612e3857a24ce287b2	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__Sparticola	0.996569706806785
7bf73ba5bec4476257c5d0b67fc4aa3d381c7ba9	k__Fungi	0.998924486780449
SH100032.07FU_JX982416_reps	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Pyrenophora	0.999877244517755
