	shannon
G1-11	2.087257093923202
G1-12	0.7765398724154994
G1-13	2.1105590660625704
G1-130	0.9923743317547916
G1-131	1.9984452262102232
G1-132	0.9642267066676108
G1-135	1.7780314419774073
G1-136	2.2886067083870496
G1-138	1.959231238524166
G1-139	1.9118283774391882
G1-14	2.3788572627690634
G1-140	1.8437641369224549
G1-141	0.9958138621402973
G1-142	1.3149988148401173
G1-143	1.2792462417620776
G1-144	1.7028643471175304
G1-15	2.4079502762856335
G1-175	1.465177721679102
G1-176	0.2771351488110272
G1-177	1.7729204646788248
G1-178	1.6569154434911826
G1-180	0.16144054254182064
G1-182	0.18670913386885432
G1-187	2.29671735942891
G1-188	1.777726723309522
G1-189	1.830625105335145
G1-190	2.491498907932743
G1-192	1.5625656137374306
G1-193	1.6983869609480122
G2-1100	1.3728566711316743
G2-1101	1.5965990110333557
G2-1102	1.6680391643940053
G2-1103	2.111497235081442
G2-1104	1.3298487473729423
G2-1105	0.372412119736515
G2-1106	0.34698128810061335
G2-1107	0.4917630671939111
G2-1108	0.21887772653901102
G2-1109	0.14144054254182067
G2-1110	0.21887772653901102
G2-1111	0.4291623955316339
G2-1113	0.41081349425310365
G2-194	1.9355359111692707
G2-197	2.1796275141371355
G2-198	1.4382468048007016
G2-199	1.513262877776187
G2-21	1.2251908470484107
G2-210	1.6832996470056234
G2-211	2.041947668387129
G2-212	1.5559242819597736
G2-213	0.8668062064170529
G2-214	1.1801588320316487
G2-215	0.7456748791980986
G2-216	0.8585141913422708
G2-217	0.7772685007309205
G2-218	0.7176095227391498
G2-219	0.929803436326944
G2-22	1.0402515673686163
G2-220	1.4502827495832165
G2-221	2.279393035814316
G2-222	1.6248651298879868
G2-223	1.3934213935602497
G2-224	0.6112780222069988
G2-23	0.9647995485050873
G2-24	0.8384696114112127
G2-25	1.6747257296145721
G2-26	0.9129239432352686
G2-27	1.8644040898259615
G2-28	1.8200957270562865
G2-29	1.842176936780167
G2-313	0.24908694643884308
G2-314	1.3038346137948524
G2-315	0.4812024118346157
G2-316	1.2123192553320457
G2-317	0.67901067341218
G2-318	0.7520520412554862
G2-319	0.1943918578315762
G2-320	0.5293608652873644
G2-321	0.6343095546405662
G2-322	0.5293608652873644
G2-323	1.5475943867960165
G2-324	1.461559142656166
G2-325	2.187726385169126
G2-326	1.1329500179970582
G2-327	1.8634567265232138
G2-328	2.314160396499566
G2-329	2.273224316249172
G2-330	1.7817671740046543
G2-413	1.6493962529884567
G2-414	2.093767057913339
G2-415	1.9085299747452025
G2-416	1.6797118692023405
G3-417	1.6200001322706241
G3-418	2.1286547366442763
G3-419	1.6449566152148496
G3-420	1.4088382566681388
G3-421	2.058623979583633
G3-422	1.3976430247244394
G3-423	2.378538271781619
G3-424	1.941165130718471
G3-425	2.1965226475244832
G3-426	2.1808699927092983
G3-427	1.7431411909681251
G3-428	1.9607444232935871
G3-429	1.1590150991927985
G3-430	1.7454324555545666
