	G1-11	G1-12	G1-13	G1-130	G1-131	G1-132	G1-135	G1-136	G1-138	G1-139	G1-14	G1-140	G1-141	G1-142	G1-143	G1-144	G1-15	G1-175	G1-176	G1-177	G1-178	G1-180	G1-182	G1-187	G1-188	G1-189	G1-190	G1-192	G1-193	G2-1100	G2-1101	G2-1102	G2-1103	G2-1104	G2-1105	G2-1106	G2-1107	G2-1108	G2-1109	G2-1110	G2-1111	G2-1113	G2-194	G2-197	G2-198	G2-199	G2-21	G2-210	G2-211	G2-212	G2-213	G2-214	G2-215	G2-216	G2-217	G2-218	G2-219	G2-22	G2-220	G2-221	G2-222	G2-223	G2-224	G2-23	G2-24	G2-25	G2-26	G2-27	G2-28	G2-29	G2-313	G2-314	G2-315	G2-316	G2-317	G2-318	G2-319	G2-320	G2-321	G2-322	G2-323	G2-324	G2-325	G2-326	G2-327	G2-328	G2-329	G2-330	G2-413	G2-414	G2-415	G2-416	G3-417	G3-418	G3-419	G3-420	G3-421	G3-422	G3-423	G3-424	G3-425	G3-426	G3-427	G3-428	G3-429	G3-430
G1-11	0.0	0.11104326378741655	0.08201853770924451	0.08769544942703686	0.08461058459266362	0.06580189994380013	0.08258214881122518	0.2030091187270625	0.09022541538359594	0.04832822408172971	0.08258214881122518	0.16279048450974093	0.0468555119280973	0.16481956739441664	0.16481956739441664	0.16481956739441664	0.14733378810660172	0.46731715657266637	0.5259223294782409	0.33831555622784454	0.20249349702223615	0.33838203713440357	0.07561220575314283	0.16279048450974093	0.07052399160054217	0.19868273570049427	0.553714692732272	0.18857427231730425	0.15302334173910076	0.16876563744751163	0.16876563744751163	0.16876563744751163	0.07358758254127357	0.30252526241487027	0.07835348476583617	0.17119227330779818	0.07567757104900977	0.17119227330779818	0.17119227330779818	0.17119227330779818	0.21442009952887775	0.21442009952887775	0.01783837069488433	0.06577187761054373	0.30371421865718595	0.07625406483814974	0.4453710347488714	0.3459683590167765	0.6669185700334768	0.2100325098099421	0.16961988519493987	0.07188946423462678	0.16481956739441664	0.17227452176583888	0.16481956739441664	0.16481956739441664	0.07031083678286881	0.3602538627260521	0.16537440824495062	0.2615708795783625	0.16609915515063547	0.16537440824495062	0.16314962532483082	0.3586211362315853	0.3602538627260521	0.3505873331268393	0.2138729539817049	0.340342526867275	0.30371421865718595	0.21714040361533277	0.1741134563337183	0.16876563744751163	0.16851635959097178	0.16876563744751163	0.1741134563337183	0.1741134563337183	0.17119227330779818	0.17119227330779818	0.17119227330779818	0.17119227330779818	0.2534247722555136	0.16585583020809733	0.2534116378494197	0.25820099244236516	0.2534116378494197	0.2551856528218788	0.2534116378494197	0.2605419007621881	0.05427860580536858	0.10846291561092278	0.05832796795663942	0.08769543795282109	0.08456199447164174	0.1964631247828048	0.20306230716992812	0.15569329972819482	0.13732996194469255	0.06501990241806876	0.2609233944489583	0.23478140099808834	0.008952648817874697	0.08258214881122518	0.17830122353832917	0.008952648817874697	0.19995861168420526	0.0596748069841161
G1-12	0.11104326378741655	0.0	0.08298483746138134	0.08370995276347065	0.08059563316554641	0.07163460452821245	0.08839519723834183	0.20805910394678181	0.08137389302237265	0.14598796647220194	0.08839519723834183	0.16751650024676693	0.1357139113970289	0.1596876294913005	0.1596876294913005	0.1596876294913005	0.1395285128236123	0.475448278793644	0.5241200786691439	0.25901030008522163	0.09750313264767649	0.33483969199513636	0.06988589050813296	0.16751650024676693	0.07518261171168991	0.1944082709886086	0.5542504163168622	0.1842185162490163	0.15770337504051435	0.1735085845076175	0.1735085845076175	0.1735085845076175	0.07826082205581235	0.22575160772640487	0.07269583719590893	0.16610452877304485	0.07000349703305676	0.16610452877304485	0.16610452877304485	0.16610452877304485	0.11074009562620567	0.11074009562620567	0.11709345151258582	0.06169502328677513	0.30853047104645637	0.08092925726017751	0.3785455666733138	0.25968710919892635	0.6687192522282862	0.21477446994532975	0.16456326638944743	0.0661864982037822	0.1596876294913005	0.16723406843079405	0.1596876294913005	0.1596876294913005	0.07499820946716056	0.2649362012049313	0.1701190018859546	0.2654050232236448	0.17084014930325234	0.1701190018859546	0.16790523297158302	0.2629437767092909	0.2649362012049313	0.28104957762327104	0.11043712840041145	0.2529601834486278	0.30853047104645637	0.22184524946856993	0.16906162202514452	0.1735085845076175	0.1634121886101927	0.1735085845076175	0.16906162202514452	0.16906162202514452	0.16610452877304485	0.16610452877304485	0.16610452877304485	0.16610452877304485	0.16274295450663376	0.1656456395833004	0.1676110680408398	0.16316747734419196	0.1676110680408398	0.1696923505069005	0.1676110680408398	0.16596061667443865	0.06930724962537392	0.019548704275626046	0.059230914398839596	0.08370994123028236	0.08064053532729198	0.11196804349234585	0.19887326290001095	0.15544667128094175	0.03134802343191195	0.05924869676249141	0.17721216771975296	0.1503518272539659	0.10948558157151264	0.08839519723834183	0.13124400595906238	0.10948558157151264	0.09992581718508785	0.0642810757330395
G1-13	0.08201853770924451	0.08298483746138134	0.0	0.011316367629539624	0.007880908662384927	0.04260987845004041	0.006062342369528529	0.1396420299100289	0.008739469332854388	0.07073284450027227	0.006062342369528529	0.18250039114552044	0.06945236031313001	0.1846197612222287	0.1846197612222287	0.1846197612222287	0.07272426284363853	0.4655350326528658	0.5577491114023709	0.277237682405338	0.12439798025746476	0.3793130850253746	0.1489542027671565	0.18250039114552044	0.14306458990597135	0.24460668686035525	0.5795123376471238	0.24765729030318678	0.17794043826263756	0.18838562090420255	0.18838562090420255	0.18838562090420255	0.14615935155066734	0.2809048470630772	0.15093199281513192	0.19082253480098987	0.14838924597137512	0.19082253480098987	0.19082253480098987	0.19082253480098987	0.13709919270150195	0.13709919270150195	0.09795842457272343	0.04277764728181378	0.3247334558792321	0.14869358083247114	0.4249372530205845	0.277065634436342	0.6840685112919546	0.28100222861522933	0.189134680431912	0.1448577860366161	0.1846197612222287	0.19172693028594961	0.1846197612222287	0.1846197612222287	0.1432895872900423	0.28686012762789886	0.1850911602656724	0.3124975253651791	0.18578207673995076	0.1850911602656724	0.18297037645502606	0.28498493394117036	0.28686012762789886	0.33042822738197	0.13673665907010205	0.27067538031712085	0.3247334558792321	0.28713413940594135	0.19360721291288388	0.18838562090420255	0.18820999994068568	0.18838562090420255	0.19360721291288388	0.19360721291288388	0.19082253480098987	0.19082253480098987	0.19082253480098987	0.19082253480098987	0.18163952593178945	0.18561248503730285	0.18627714772122705	0.1865509940465402	0.18627714772122705	0.18826030685526995	0.18627714772122705	0.18919046369374773	0.1331750230834314	0.08546774982515692	0.030230631301419456	0.011316355839538607	0.002620535241846082	0.12346465143270384	0.2603535466678583	0.1757978376392293	0.11016819640791405	0.13864398628850597	0.2379226836781964	0.19809458551708167	0.09022541538359594	0.006062342369528529	0.18206359710240785	0.09022541538359594	0.12178654289003071	0.13828831222502733
G1-130	0.08769544942703686	0.08370995276347065	0.011316367629539624	0.0	0.003481037898729925	0.048419596963376665	0.005254025260011094	0.13894234611980874	0.0026133480365962826	0.0748923589029364	0.005254025260011094	0.18637263459656167	0.07020261544456798	0.1852771639563159	0.1852771639563159	0.1852771639563159	0.07195470486952114	0.46577631318284823	0.5579685254336857	0.2727743839115126	0.11858048534064711	0.37974360282875813	0.14962715466195514	0.18637263459656167	0.14693293344953992	0.2399174284224503	0.5755627072864908	0.2481767421377121	0.16750416334358997	0.19225272261016121	0.19225272261016121	0.19225272261016121	0.15002968003836964	0.2813508141258313	0.15159764500590983	0.19147431124700917	0.14905689159014393	0.19147431124700917	0.19147431124700917	0.19147431124700917	0.13779424145716052	0.13779424145716052	0.08748231110143394	0.038593431891059155	0.32090413359937664	0.1525575522748736	0.425278820988912	0.2731848397289545	0.682938293620774	0.2771993697207526	0.18978274917082677	0.1455288262711307	0.1852771639563159	0.1923729272555641	0.1852771639563159	0.1852771639563159	0.1533710255998088	0.2874380969026731	0.19517034716423776	0.3152792540332266	0.18965588753561685	0.19517034716423776	0.19308838828657193	0.28556594550204567	0.2874380969026731	0.3266534341378389	0.13743019366827108	0.2667487129708873	0.32090413359937664	0.28337442218208536	0.18802383997081484	0.19225272261016121	0.18886388069393906	0.19225272261016121	0.18802383997081484	0.18802383997081484	0.19147431124700917	0.19147431124700917	0.19147431124700917	0.19147431124700917	0.182260951251944	0.1862684579997301	0.17656601440403474	0.18716868989008204	0.17656601440403474	0.17858272158818428	0.17656601440403474	0.18391581079464936	0.13238835606732005	0.0846851226548412	0.03442743633194713	1.1852273019268054e-08	0.013921016289558219	0.12266059898967076	0.25579736152006355	0.17011749952791322	0.1046209091219868	0.13302009992710115	0.23345004554376958	0.19739476469931524	0.07961928651750433	0.005254025260011094	0.1727658007998674	0.07961928651750433	0.11596207954128873	0.12792920594537763
G1-131	0.08461058459266362	0.08059563316554641	0.007880908662384927	0.003481037898729925	0.0	0.04520192533345951	0.008716750158729442	0.14193970007050183	0.006094362230780169	0.07831599158862709	0.008716750158729442	0.18979626728225235	0.06698015657341276	0.18245352492262748	0.18245352492262748	0.18245352492262748	0.07520223398763698	0.46474117473248444	0.5570270497489282	0.27564643592519705	0.12206149953483099	0.37789510748524424	0.14673687599027746	0.18979626728225235	0.15026587482379783	0.2428870784652155	0.5772161381909171	0.2459464762335122	0.17098517753777384	0.19568521167406328	0.19568521167406328	0.19568521167406328	0.15337101422312294	0.2794364996277406	0.14873878179538824	0.18867484535702017	0.1461894668318213	0.18867484535702017	0.18867484535702017	0.18867484535702017	0.13480891271382073	0.13480891271382073	0.09084067159154645	0.03535377967271879	0.3185319335590968	0.1558988864596269	0.4238127271073722	0.2706683102213536	0.6825458087144334	0.27474270641179727	0.18699926565469602	0.14264681509974367	0.18245352492262748	0.18959834220178728	0.18245352492262748	0.18245352492262748	0.15053265026449672	0.28495553951046526	0.19240541888861148	0.3179709725221784	0.19308837659951888	0.19240541888861148	0.19030911201848083	0.28307030302105096	0.28495553951046526	0.3291478983504609	0.1344513889737256	0.26418733862201216	0.3185319335590968	0.28095962536951824	0.1914742994987697	0.19568521167406328	0.18605537640156036	0.19568521167406328	0.1914742994987697	0.1914742994987697	0.18867484535702017	0.18867484535702017	0.18867484535702017	0.18867484535702017	0.1795922529664141	0.18345096726844615	0.1798188824239941	0.1845160079843209	0.1798188824239941	0.1818276228707734	0.1798188824239941	0.1871686788146087	0.13575833479425248	0.08803779521015011	0.03779741505887955	0.003481026046456906	0.010494607874558795	0.1261050546143057	0.2587049685217618	0.17359851372209711	0.10791871420890942	0.13640739889305553	0.23627335509493091	0.20035087083886094	0.08300658548345871	0.008716750158729442	0.1758735610461795	0.08300658548345871	0.11944309373547261	0.131316504911332
G1-132	0.06580189994380013	0.07163460452821245	0.04260987845004041	0.048419596963376665	0.04520192533345951	0.0	0.04330629634756499	0.16888890161203998	0.05094956291993575	0.11068171615968035	0.04330629634756499	0.21920890274307525	0.10971094136857808	0.2215166523886381	0.2215166523886381	0.2215166523886381	0.11052506887881113	0.44678400244997624	0.537750457515253	0.30572871148857494	0.16321764455857596	0.36509049577458397	0.11252825646577613	0.21920890274307525	0.13172659325601213	0.2467351209724709	0.5716025378563449	0.23737935000121202	0.2105807821144866	0.2156568488579365	0.2156568488579365	0.2156568488579365	0.12495063086386383	0.2716052601743765	0.12966496574261996	0.21812712430864598	0.12711520063641216	0.21812712430864598	0.21812712430864598	0.21812712430864598	0.16569455961621155	0.16569455961621155	0.08193381228595661	0.026699311719881776	0.3535391472095731	0.12749183140358966	0.40941055749854594	0.30689579312611454	0.6781430016859273	0.264785590849785	0.22558859898901146	0.13343798963094428	0.2215166523886381	0.2281058225690699	0.2215166523886381	0.2215166523886381	0.12200146633322805	0.298549283516852	0.21246392162526376	0.29579788596568896	0.2131156483182107	0.21246392162526376	0.21046362489925405	0.29673513723610984	0.298549283516852	0.3150524706991156	0.1652681588332886	0.30093386760807095	0.3535391472095731	0.27105580384400935	0.22075340631714224	0.2156568488579365	0.21557735920243817	0.2156568488579365	0.22075340631714224	0.22075340631714224	0.21812712430864598	0.21812712430864598	0.21812712430864598	0.21812712430864598	0.2076230899702179	0.21304225317796616	0.2077551468921696	0.21242316261718253	0.2077551468921696	0.20964699811678697	0.2077551468921696	0.21492090543259873	0.11701303522835216	0.06938876016035163	0.019052115492979232	0.0484195854891609	0.04515333521243764	0.15738896933223367	0.2502510029176093	0.21311075954526146	0.0990866277103521	0.12719118713875383	0.22815912490902304	0.2006466269700245	0.07406342752851669	0.04330629634756499	0.18070328756350632	0.07406342752851669	0.16068275922054506	0.12212632436994807
G1-135	0.08258214881122518	0.08839519723834183	0.006062342369528529	0.005254025260011094	0.008716750158729442	0.04330629634756499	0.0	0.1343944326035013	0.007853619150819242	0.0696976486277204	0.0	0.18117792432134566	0.07504973751963646	0.18952439003274965	0.18952439003274965	0.18952439003274965	0.0717398727851329	0.46733930632583376	0.5593894171802118	0.275929714533331	0.12321146355339607	0.38252745750964373	0.15397534542411442	0.18117792432134566	0.14187582995946232	0.24332688747807477	0.576624848610562	0.25153561881687564	0.17187809589310904	0.18704457446846848	0.18704457446846848	0.18704457446846848	0.14495984205749793	0.28423603561730293	0.1558988864596269	0.19568521167406328	0.15337101422312294	0.19568521167406328	0.19568521167406328	0.19568521167406328	0.1422847150125747	0.1422847150125747	0.09210860618071619	0.04346758511081099	0.3244721204354146	0.1474877142940019	0.4274891453588731	0.2769702007552743	0.6835319508221918	0.28089526662866854	0.1939698909486447	0.14986486052532916	0.18952439003274965	0.19654668315089507	0.18952439003274965	0.18952439003274965	0.1483011876189371	0.29117215599644575	0.18997563688902178	0.3111950840955495	0.1844477393939241	0.18997563688902178	0.1878802401448792	0.28931960007099006	0.29117215599644575	0.32919234226240973	0.1419109548032653	0.2706012337548739	0.3244721204354146	0.28700759775457074	0.19225271092310817	0.18704457446846848	0.19308837659951888	0.18704457446846848	0.19225271092310817	0.19225271092310817	0.19568521167406328	0.19568521167406328	0.19568521167406328	0.19568521167406328	0.18627714772122705	0.19050647122085884	0.18061018073492674	0.19116078270831724	0.18061018073492674	0.1826071510791498	0.18061018073492674	0.1879238796597767	0.12727505545150838	0.07959808085701928	0.029314135716135458	0.005254013470010077	0.008666991029547126	0.11743429387212659	0.2590661515010984	0.1744777015739182	0.10907887090040992	0.13745320736191005	0.2367197945196152	0.19692072283068413	0.08432544775167292	0.0	0.17664824240557378	0.08432544775167292	0.12060681489337748	0.13238834459310428
G1-136	0.2030091187270625	0.20805910394678181	0.1396420299100289	0.13894234611980874	0.14193970007050183	0.16888890161203998	0.1343944326035013	0.0	0.1411925690646622	0.19350145551980683	0.1343944326035013	0.2901460355883577	0.19851927543555853	0.29771296309875916	0.29771296309875916	0.29771296309875916	0.181595320915164	0.38797674023216105	0.46936656222911555	0.15579014590813384	0.24104696142239174	0.4548333468921163	0.26503072274497974	0.2901460355883577	0.2534424360533667	0.3318884052746996	0.6057777793938456	0.33882582793635224	0.28317306932208575	0.2954744928230131	0.2954744928230131	0.2954744928230131	0.25636894545731875	0.2603387847630164	0.2658826660105368	0.30296266390646925	0.2636841677534444	0.30296266390646925	0.30296266390646925	0.30296266390646925	0.2566845891038564	0.2566845891038564	0.21040406310195914	0.16810081751021383	0.41525930651734344	0.25856744371441115	0.4859147281190474	0.3734060687473597	0.6913283761163185	0.3752902077995115	0.3007563039054387	0.26072435257800874	0.29771296309875916	0.30299171134659475	0.29771296309875916	0.29771296309875916	0.2592749239664727	0.386219645768758	0.2977729564169675	0.3627714068202824	0.2932240169783477	0.2977729564169675	0.2961986995458094	0.38483108918187875	0.386219645768758	0.23775106560178114	0.2561042951460968	0.3686283670860815	0.41525930651734344	0.3799083153725487	0.2999879813390076	0.2954744928230131	0.3007121880618039	0.2954744928230131	0.2999879813390076	0.2999879813390076	0.30296266390646925	0.30296266390646925	0.30296266390646925	0.30296266390646925	0.2894086567923864	0.2984746506283165	0.28445992311551926	0.29367333823213443	0.28445992311551926	0.285983248160195	0.28445992311551926	0.2908466813689851	0.24183530790981367	0.19180507576887781	0.15673345421355583	0.13894233591431823	0.1418966282912528	0.22740308444254365	0.14154863528525274	0.28542330247242975	0.2233475603779994	0.2506774012376136	0.32216177962723536	0.28387544213201477	0.20452357951182842	0.1343944326035013	0.2769312351964617	0.20452357951182842	0.2387923630411678	0.24627738936035798
G1-138	0.09022541538359594	0.08137389302237265	0.008739469332854388	0.0026133480365962826	0.006094362230780169	0.05094956291993575	0.007853619150819242	0.1411925690646622	0.0	0.07250846256492188	0.007853619150819242	0.18427600921017004	0.06778548046937118	0.1831591794883636	0.1831591794883636	0.1831591794883636	0.06968654343744828	0.46499957130234565	0.5572621003377987	0.2712029682174508	0.11627099249592761	0.37835690007038786	0.14745914843174227	0.18427600921017004	0.1447930542341006	0.23821908342336368	0.5768039981784155	0.24650363290449415	0.1701174876756402	0.19016584407643322	0.19016584407643322	0.19016584407643322	0.14789217934485577	0.2799146181163785	0.14945318803528296	0.18937445705581354	0.1469060125401641	0.18937445705581354	0.18937445705581354	0.18937445705581354	0.13555497340587894	0.13555497340587894	0.09000355482381549	0.04111467561344071	0.3235174778325295	0.15042640862665957	0.42417887025111506	0.2757752458455663	0.6838664545348013	0.27974235848191753	0.1876948692046809	0.14336700754379134	0.1831591794883636	0.1902917219814895	0.1831591794883636	0.1831591794883636	0.15124192765893005	0.2855759676436198	0.1930963924004805	0.31389277797909965	0.18756229991218143	0.1930963924004805	0.1910036687486321	0.2836940055954882	0.2855759676436198	0.3253901093164475	0.13519581422614194	0.269362057845905	0.3235174778325295	0.2858956855334926	0.1859150244738383	0.19016584407643322	0.18675724688786374	0.19016584407643322	0.1859150244738383	0.1859150244738383	0.18937445705581354	0.18937445705581354	0.18937445705581354	0.18937445705581354	0.1802590855212456	0.18415508355606303	0.17900806108103798	0.18517883848023742	0.17900806108103798	0.1810187873448421	0.17900806108103798	0.18191799621968274	0.13491832202387913	0.08720209623708768	0.03197835193562703	0.0026133361843232636	0.011350906700288443	0.12524647747001869	0.2541693102238664	0.16794304312281516	0.10239862196617348	0.13080975461432295	0.23182182769376994	0.19560959774162603	0.08216225540928518	0.007853619150819242	0.17509890977811732	0.08216225540928518	0.11364572599262265	0.13047217483715848
G1-139	0.04832822408172971	0.14598796647220194	0.07073284450027227	0.0748923589029364	0.07831599158862709	0.11068171615968035	0.0696976486277204	0.19350145551980683	0.07250846256492188	0.0	0.0696976486277204	0.11839554796865964	0.029141983451416165	0.14929831897797521	0.14929831897797521	0.14929831897797521	0.12721381978466437	0.48561280539338764	0.54615678283218	0.32388704538968394	0.18216445619698704	0.3563229501806861	0.11282800043858418	0.11839554796865964	0.07848732445203642	0.19287008312538934	0.5606050934601223	0.21992374064990539	0.14059856972594828	0.12959399847652764	0.12959399847652764	0.12959399847652764	0.08669770292828438	0.3173162700326658	0.09826711894131755	0.138746948907352	0.09559357594644506	0.138746948907352	0.138746948907352	0.138746948907352	0.18485688301654973	0.18485688301654973	0.04120441353614203	0.09425263997647153	0.2999577988710873	0.08937124592315687	0.45944767241803997	0.32853467248199186	0.680553728123463	0.25518784818059537	0.1373960596246585	0.10884607546204263	0.14929831897797521	0.1401243842355961	0.14929831897797521	0.14929831897797521	0.09023159633089897	0.34893783002988366	0.1277389945455534	0.26873848587728305	0.1268431940915292	0.1277389945455534	0.13047921172306645	0.3472467559843235	0.34893783002988366	0.36034038850726224	0.18437187070803626	0.3372439469242766	0.2999577988710873	0.24624560944688886	0.13511093127581478	0.12959399847652764	0.1359961445223536	0.12959399847652764	0.13511093127581478	0.13511093127581478	0.138746948907352	0.138746948907352	0.138746948907352	0.138746948907352	0.23084242209538414	0.138352740720943	0.22947794318835923	0.2314199518396119	0.22947794318835923	0.23135125711899007	0.22947794318835923	0.22817517888604905	0.09494721716319235	0.1462344499747329	0.09206937131026248	0.07489234724603785	0.06832737784193904	0.18544949785721643	0.22832167783648144	0.13825907283969446	0.16504536795058883	0.09550228991419796	0.2840675881899617	0.2336108181776981	0.05014665226984853	0.0696976486277204	0.19956232708770139	0.05014665226984853	0.18427600921017004	0.10028086872079145
