	G1-11	G1-12	G1-13	G1-130	G1-131	G1-132	G1-135	G1-136	G1-138	G1-139	G1-14	G1-140	G1-141	G1-142	G1-143	G1-144	G1-15	G1-175	G1-176	G1-177	G1-178	G1-180	G1-182	G1-187	G1-188	G1-189	G1-190	G1-192	G1-193	G2-1100	G2-1101	G2-1102	G2-1103	G2-1104	G2-1105	G2-1106	G2-1107	G2-1108	G2-1109	G2-1110	G2-1111	G2-1113	G2-194	G2-197	G2-198	G2-199	G2-21	G2-210	G2-211	G2-212	G2-213	G2-214	G2-215	G2-216	G2-217	G2-218	G2-219	G2-22	G2-220	G2-221	G2-222	G2-223	G2-224	G2-23	G2-24	G2-25	G2-26	G2-27	G2-28	G2-29	G2-313	G2-314	G2-315	G2-316	G2-317	G2-318	G2-319	G2-320	G2-321	G2-322	G2-323	G2-324	G2-325	G2-326	G2-327	G2-328	G2-329	G2-330	G2-413	G2-414	G2-415	G2-416	G3-417	G3-418	G3-419	G3-420	G3-421	G3-422	G3-423	G3-424	G3-425	G3-426	G3-427	G3-428	G3-429	G3-430
G1-11	0.0	0.15445164374161846	0.08841087337079616	0.2480218569449088	0.17887691547032353	0.25364661892747453	0.17688716241993277	0.09688408495429282	0.17114972508063786	0.07626804895685964	0.0986536620214984	0.07140954882609513	0.15973863725893298	0.13950820157345623	0.04842774069458846	0.11294129890775866	0.09150642188324447	0.17805439203410153	0.2057038072693986	0.09058930325668987	0.04347978108783818	0.2077593740205535	0.20158534233491132	0.06575490584342948	0.0936528118128212	0.0422557609848501	0.040415021461613077	0.050628065681973075	0.13205266907863075	0.07406394223017132	0.07323536651083089	0.06048196799296476	0.06378539904243981	0.19362039148028026	0.20585245040027617	0.2055739500043558	0.19854314271323753	0.2163517750006803	0.22174068749884263	0.2163517750006803	0.20181631369615294	0.20361261786220705	0.03565522392110891	0.1885323638269852	0.20930095486546155	0.08441599867868764	0.20229401515275972	0.2098089978300007	0.21278079980995962	0.20509238186241954	0.1592906367939105	0.14071209862532566	0.16119920088099957	0.1630567339997727	0.15961304147800084	0.1714436131939175	0.1207848007409228	0.20109034418144944	0.13586214882331787	0.07839048897584544	0.13657128164225713	0.06707553430828422	0.1461922661890372	0.20285611682116467	0.22062659900044196	0.17707376161259825	0.2305841656737036	0.20802868755435155	0.21129725835371116	0.207728649488376	0.21639583032076848	0.09994368484908553	0.1964683381512631	0.1248815375252486	0.1791360236945581	0.17527908344192097	0.21814807916673445	0.1858146041777607	0.17144417084932786	0.1858146041777607	0.16630224113073214	0.091282722342884	0.059173983557204365	0.05011889826950183	0.07742829841449213	0.08179380139619703	0.04742367896578773	0.1455224561456423	0.13182586948832264	0.0577991046506179	0.14706669355369248	0.14413774720504402	0.0695154355717429	0.07177652811103416	0.09356081687264899	0.04556531720325941	0.0479975358428556	0.0560271367756971	0.0666239475424373	0.10388028638244487	0.013103505333820169	0.02768383902562975	0.05179340426430961	0.040247716212941556	0.11344423911057573	0.04139092497041851
G1-12	0.15445164374161846	0.0	0.22417531305247806	0.26717860422151224	0.12192396641841943	0.27300269907537505	0.09962722764616233	0.06810401037240178	0.13607384878077558	0.19551569026476406	0.08447530837069345	0.18969464929088714	0.2782556001550662	0.2573968483710567	0.1441102153695749	0.2308299457053591	0.13493235434855436	0.09219392495676129	0.05482007904077051	0.2077925698799205	0.15915145485690255	0.05402682749234602	0.05014962244799796	0.09754954891084512	0.2116751487082535	0.14823196314832182	0.14655289449872005	0.17173197155200134	0.02609454618371596	0.10993165331576854	0.112480831371893	0.12337172413228091	0.1275642695163552	0.05700921648610826	0.0553914083379487	0.05511290794202834	0.04808210065091015	0.06589073293835292	0.07127964543651523	0.06589073293835292	0.050669891459455677	0.052466195625509776	0.12008188517540834	0.04474615939503202	0.05617654979547444	0.09960024012904597	0.07508380868874107	0.055999213685643784	0.06255491309317075	0.05330832090454907	0.27717928359151095	0.2586007454229261	0.2790878476786	0.2809453807973732	0.2775016882756013	0.28898838948955263	0.239003056056799	0.10414539256608794	0.2545483188816055	0.1971772736273262	0.2552574516005447	0.18522694487524433	0.2642768316070815	0.08589724459180038	0.14212773089825262	0.045019268216663244	0.15229086194934374	0.05421890470999467	0.0581728558837241	0.05460424601838892	0.06593478825844108	0.0877206719411834	0.04600729608893569	0.06557047710758614	0.02867498163223068	0.024818041379593533	0.06768703710440703	0.035353562115433244	0.024777817694915	0.035353562115433244	0.01942211673605626	0.08919184234596057	0.16430003007294308	0.14225479249463607	0.19472509673774507	0.13638563408136342	0.15047710400614706	0.06626183145766835	0.04537843250609187	0.17603696494370819	0.11003826404868904	0.14890671060485608	0.1861210526881545	0.10693483608247845	0.08151587327173478	0.16352024004206783	0.11941242723658349	0.17391578357329748	0.14557661583613965	0.08005449406783093	0.16374417147679865	0.12944395975167797	0.16959542518856138	0.1561018417113559	0.23071378177501434	0.1595775573133153
G1-13	0.08841087337079616	0.22417531305247806	0.0	0.1715864147546504	0.1710494186419001	0.17796691836322487	0.2125333079990234	0.16008095254673047	0.15622160040458621	0.13261702817855575	0.15341251621244725	0.13381349243982557	0.17644091056689667	0.15701105860133563	0.13375667357354967	0.1440540791742066	0.129541266626886	0.21761924886840442	0.2764630003985257	0.13451036545572848	0.12757985362884489	0.27799117129257156	0.2723445354640384	0.13580753874282858	0.1364666151899618	0.1293266928025613	0.12752577705361356	0.13246071050197847	0.20216507603113565	0.14217846879938123	0.141149358233293	0.1340879926272987	0.12779882160550116	0.2615528948565796	0.27431712061338387	0.27368847657356576	0.26700781292634523	0.2844663015698903	0.2898552140680526	0.2844663015698903	0.2692454600909931	0.2710417642570472	0.11992126464009277	0.25918175678779615	0.27958529706894897	0.15303027768894528	0.2585156453540526	0.2787225796847485	0.2841155729451405	0.2764271549976003	0.17599291010187418	0.1577645155771871	0.1779014741889632	0.17975900730773642	0.1763153147859645	0.1878020159999159	0.14650533248772216	0.2564061227171173	0.1546273324201453	0.13615358515982195	0.1553364651390845	0.13270693792703772	0.16275623337286502	0.25817189535683255	0.2526927931034429	0.23912857685274738	0.24667827374510537	0.2652908064448127	0.28158160055719866	0.278713278979659	0.28451035688997844	0.16805821141829547	0.2645828647204731	0.19299606409445855	0.24725055026376808	0.24339361001113094	0.28626260573594436	0.25392913074697065	0.23955869741853786	0.25392913074697065	0.23456405294540603	0.15959684335930588	0.11200499508927186	0.1346241448999574	0.11709431360296406	0.12469377143083096	0.11323087007990987	0.1992439990530863	0.20117734666855724	0.12925651165846178	0.1754906867129677	0.15285411127994317	0.11036250007214786	0.12753539873037462	0.1627472445267972	0.13071369458175155	0.11709657693418958	0.12976587275791607	0.12849395423435922	0.16304909296439277	0.09357904657306253	0.11056421148244834	0.13024464901206845	0.1275583456779304	0.1387312677273422	0.12896819164741521
G1-130	0.2480218569449088	0.26717860422151224	0.1715864147546504	0.0	0.1589635729250353	0.010857158919285246	0.25371246433242967	0.25154401460504094	0.14904554897465117	0.29218325925480243	0.26089880922487296	0.2930454987714926	0.3352728127623574	0.3150423770768806	0.29266462367898227	0.30092254602486374	0.26355652973729915	0.21129158383454955	0.2644433022527991	0.293207612296068	0.2862770999691844	0.2659714731468449	0.2603248374683118	0.2839228516464158	0.2953975406451363	0.2880239395429008	0.28618994983338397	0.29136866060741107	0.2735183308183025	0.2924914702997625	0.2935602368843793	0.29408824934421407	0.25744156680910035	0.26298125603355893	0.2833348597061921	0.2846035601203313	0.2836149298349827	0.28399731839291226	0.2836941975292027	0.28399731839291226	0.2839552325456732	0.28385419225777003	0.27855236375929415	0.25468528888676045	0.2674994512020841	0.2902624017583734	0.25403512912639387	0.26663673381788366	0.27582441613619024	0.2643413091307355	0.33482481229733485	0.3165964177726478	0.33673337638442397	0.33859090950319715	0.33514721698142513	0.3466339181953766	0.3018022307260154	0.2519256064894586	0.3121938474874295	0.2956859295343259	0.31285892513628066	0.291849309530961	0.32192236031290544	0.2536913791291738	0.24821227687578415	0.2480944070996147	0.2480564391243233	0.2593733821472762	0.26949575469033377	0.26662743311279413	0.28399731824291224	0.2910062495262837	0.284984670537025	0.28958181529379284	0.2865817419998046	0.28651949245508196	0.283896278105009	0.2857150032872662	0.28652332559049154	0.2857150032872662	0.2813620330223548	0.28801396464541823	0.2781752762765411	0.29353209500539	0.28333125411823523	0.27378795243248477	0.2794011511171791	0.2783692285744642	0.280320514518301	0.28875651434450283	0.25072142623034205	0.26440934949969	0.27677667389847527	0.27137230653293165	0.28242357756018893	0.289410941422091	0.2663071010547428	0.28846311959825566	0.2871912005746988	0.27519059506860183	0.25221014569226397	0.26932900049948155	0.2888757481312698	0.28618944479713165	0.2940293758097227	0.2875992907666166
G1-131	0.17887691547032353	0.12192396641841943	0.1710494186419001	0.1589635729250353	0.0	0.16690266790437208	0.16480449441134917	0.10947901098053596	0.02386818551616108	0.2519971842154854	0.11995840240794174	0.24680445964014117	0.3352135862067656	0.3124041217565492	0.18914524419807424	0.28291431982414667	0.18160409307175635	0.06603694613145672	0.11918866459970626	0.2645215569048002	0.21695463891535233	0.12068311845471083	0.11507019966521892	0.15533224707353988	0.2677634096602929	0.20577274327764036	0.1964571452927423	0.2155282991195356	0.12783782738901883	0.160360620985566	0.16290979904169048	0.17380069180207844	0.15195812398204053	0.11030455272900407	0.13079646252577312	0.13206516293991227	0.1310765326545637	0.13145892121249328	0.13115580034878374	0.13145892121249328	0.13141683536525417	0.13131579507735103	0.17637250169047167	0.10645464420146555	0.12160295750172966	0.150729495086639	0.11100810122620665	0.11898725848085598	0.1251137352583217	0.11810094492841569	0.33517860930577636	0.3143020329542816	0.3365022145778495	0.3386008360096732	0.33474411992386816	0.347434367894698	0.2949212768162301	0.13102824997157145	0.3113497821641155	0.2517414750859069	0.31226447936088414	0.2432200854199946	0.32138664155633545	0.11358001333330758	0.16734410635368677	0.10353598449675366	0.18128253108818285	0.1158745386424356	0.11844120346050005	0.11767162882997322	0.13150297623258145	0.14055139077072826	0.13244627335660603	0.137087473283462	0.13408739998947375	0.13402515044475105	0.13135788092459008	0.13317660610684717	0.13398492841007256	0.13317660610684717	0.128091342475899	0.13948825793334205	0.2178608764094497	0.19268376016443362	0.2483154563276133	0.18819219031197487	0.20310954251531851	0.13106375791030705	0.1221673219819447	0.2277284966283741	0.17347912473598914	0.2027319109137658	0.239136332115057	0.16099700696908303	0.12786777588851697	0.21954893485829483	0.15804607008904709	0.23044440480652006	0.19564779624396392	0.12394676429702807	0.1884876052221495	0.1745257323800464	0.22595379138107122	0.21158821827351626	0.2866911122843162	0.21767823969584274
G1-132	0.25364661892747453	0.27300269907537505	0.17796691836322487	0.010857158919285246	0.16690266790437208	0.0	0.2626054337488417	0.2603376341196759	0.15783928975016515	0.29833470792373523	0.26972550260007694	0.2991969474404256	0.33421984621122613	0.3139894105257493	0.298772202548741	0.3070301248946225	0.27248265378334774	0.21694374358742974	0.2719928064096365	0.2994259059639169	0.2924953936370332	0.2736601789688498	0.26787434147514927	0.29007430031534864	0.30113218634216943	0.2939975741429781	0.29205809980733505	0.2971260958332721	0.27960413656377014	0.2985071063286254	0.29957587291324234	0.30010388537307703	0.26310705919406535	0.26873869150941976	0.28902314186998507	0.290641985928022	0.2893032119987756	0.29003574420060296	0.2897326233368934	0.29003574420060296	0.2899936583533639	0.28989261806546074	0.28428802586086405	0.26037689581824214	0.275438546331421	0.2959278941433386	0.2644289361696252	0.2745758289472205	0.2815160230676719	0.27193026061617454	0.33377184574620367	0.31519330757761854	0.3356804098332926	0.33753794295206585	0.3340942504302939	0.3455809516442452	0.3047043569345253	0.2625667749876731	0.3118054666452301	0.30135142191929104	0.31251459946416943	0.29788754996773786	0.3207333957507903	0.2643325476273883	0.2588534453739987	0.25663492500897706	0.2568363856294933	0.2700539979740922	0.2774348498196707	0.27421638459823316	0.2900797992206911	0.29702188555514664	0.2910230963447157	0.2955974513226557	0.29266422297758343	0.2926019734328608	0.2899347039126998	0.2917534290949569	0.29256175139818225	0.2917534290949569	0.28736770439623543	0.29401944430090193	0.2869334494574201	0.29957052081308083	0.29205584173168136	0.2825791996739329	0.2881924625186621	0.2871932302497224	0.285989331120955	0.294458405357726	0.2592642520028564	0.2709007530772687	0.2856255881447992	0.28023220208877453	0.2882917275841399	0.29562923508993993	0.2721752510786938	0.29433126962220657	0.29305935059864985	0.28387206009687904	0.2579458077938338	0.27534796129603323	0.29471689485896596	0.29192510689870166	0.3002476694775715	0.29333495286818656
G1-135	0.17688716241993277	0.09962722764616233	0.2125333079990234	0.25371246433242967	0.16480449441134917	0.2626054337488417	0.0	0.12199963323265842	0.15683063200843617	0.19824568758687644	0.1113853131521764	0.19638861609719935	0.27870499518322744	0.25589553073301097	0.17165559708046838	0.22795314605945227	0.09873857762152809	0.15367181052431694	0.1408816176075957	0.2086528523656171	0.1787480857678952	0.13984367976787745	0.13621116101482314	0.14894850812596663	0.21107707376883472	0.17477144385942536	0.17459397495063064	0.18655733361042476	0.11370879162561769	0.15758215630579123	0.15933075064199984	0.1646175573629772	0.16249475285390783	0.13463635857667552	0.13250189306490506	0.13187324902508693	0.1251925853778665	0.1426510740214115	0.1480399865195738	0.1426510740214115	0.12743023254251432	0.12922653670856837	0.1605424876807364	0.1273018252892418	0.14013751622314694	0.15294414902466194	0.0926567501684624	0.1375218172022733	0.14353607006730293	0.13861590368627055	0.27867001828223814	0.2577934419307435	0.27999362355431134	0.28209224498613505	0.27823552890033	0.2909257768711599	0.23821215094594408	0.061786354189291494	0.2546406563438295	0.20088499183816286	0.25551129832050995	0.19444946448697248	0.2646775156860496	0.08000125091388202	0.04905371976216976	0.11440308370180571	0.056566859926772295	0.1254991550970454	0.13766350318584789	0.1371963875696093	0.1426510741714115	0.14664619195894313	0.12276763717199429	0.13563732425525105	0.11244295596025651	0.11374035981871751	0.14444737818746559	0.11211390334849185	0.11510384785731073	0.11211390334849185	0.109975693159778	0.14586021825128895	0.14162421149695792	0.17241987089000257	0.17691634828204442	0.10695472676216557	0.14685721037396	0.10413604874769021	0.12073735538010666	0.18253630130486473	0.03830145601441628	0.0688500928805115	0.1593577736101185	0.11904942005039766	0.13879477674360916	0.18137551973144167	0.1537222525485577	0.18682338191795536	0.16792425375178796	0.12217376398488185	0.1799086886973687	0.16310773893380762	0.1841085170605046	0.1771378137304948	0.23023826333929587	0.18063646769477087
G1-136	0.09688408495429282	0.06810401037240178	0.16008095254673047	0.25154401460504094	0.10947901098053596	0.2603376341196759	0.12199963323265842	0.0	0.11936346416825046	0.1525535066401886	0.02674548300661289	0.14769500650942405	0.23605158350523736	0.21564921256877792	0.10236257956729623	0.18908230990308036	0.08067078012816706	0.10152660515282184	0.11838088148789666	0.16321657231245473	0.11676056945053298	0.12188615142345405	0.11627323263396218	0.05507506824751452	0.17028841314004792	0.10694258591388978	0.10062375297582268	0.12771402298286177	0.045602083065846934	0.06753094109080984	0.0694111339681321	0.08030202672852008	0.07650066740013065	0.11173902466346955	0.1208620991829151	0.12023345514309698	0.11355279149587652	0.1310112801394216	0.13640019263758388	0.1310112801394216	0.1157904386605243	0.11758674282657841	0.07572171407710279	0.10184719735777058	0.12293847839285399	0.05723083001308062	0.10936664235717539	0.12138802000472293	0.1264248155511204	0.11943646581954002	0.23601660660424806	0.21720325326454512	0.23734021187632126	0.23943883330814505	0.2357540524733225	0.24827236519316975	0.19755256762841403	0.12848852765502167	0.21161078688810916	0.15502003578297538	0.21218775419678396	0.1434931575018776	0.22260988943263071	0.11044035816474	0.16647086598718636	0.08619386919658116	0.17601730390478917	0.11446853918608067	0.12424704142717309	0.12137871934963342	0.13096722511933342	0.05012501770279485	0.11112784329000432	0.04510091066559713	0.09366336332303482	0.0898064230703977	0.13280758430547568	0.10047410931650189	0.08610367623806908	0.10047410931650189	0.08030950436570751	0.04932774027350499	0.11636880417821772	0.10092207506476493	0.14689309242472706	0.08855362976834541	0.10254587811142168	0.05503150701694178	0.046865059556534354	0.13206761080515098	0.09278506852210489	0.09933657020131026	0.137442989320183	0.05826293026308839	0.04057637704775324	0.12157416268831667	0.06845173565406841	0.13273626954854986	0.09876072154592815	0.0328295871641269	0.10625946159953188	0.07454630214171533	0.12766236150852828	0.11364594655891627	0.1873969440725236	0.1177499782594084
G1-138	0.17114972508063786	0.13607384878077558	0.15622160040458621	0.14904554897465117	0.02386818551616108	0.15783928975016515	0.15683063200843617	0.11936346416825046	0.0	0.2439162701373431	0.11497524285727485	0.23885686376800297	0.32655418943878006	0.3037447249885636	0.1796261711751754	0.27425492305616106	0.167054791023277	0.0839815174017274	0.14282526893184877	0.25634065395965505	0.20900704274321405	0.1443197227868533	0.13870680399736146	0.1545899046806437	0.25901590305213096	0.19782514740550206	0.18854262323117318	0.20686890235155	0.14213118059521723	0.15750387269215688	0.1592524670283655	0.1645392737493429	0.14269670592930497	0.12314061341076293	0.14363252300753201	0.14490122342167117	0.14391259313632254	0.14429498169425214	0.14778654943845718	0.14429498169425214	0.14425289584701306	0.14415185555910992	0.16865648670235198	0.12273345205179753	0.14547114301789077	0.1518756653928087	0.12847628398902095	0.1428554439970171	0.14518723186656815	0.14196913044457676	0.3265192125377907	0.305642636186296	0.32784281780986385	0.3299414392416876	0.32608472315588255	0.3387749711267124	0.2862618800482444	0.1332853420559856	0.30269038549612987	0.24299396802774487	0.30351697225272223	0.23536059988803265	0.31272724478834985	0.12864644493637445	0.16960119843810095	0.11280009574834486	0.1770476788747015	0.13357430258926845	0.14230938897666115	0.14153981434613427	0.144250926374164	0.1512598576575354	0.14528233383836492	0.14983542342504452	0.14683535013105622	0.14677310058633364	0.14419394140634897	0.14601266658860604	0.14682098889183143	0.14601266658860604	0.14159380381928066	0.1482786817445511	0.20364314311199186	0.18351045245187436	0.23349881339186535	0.17350905755062768	0.18905864953126256	0.1351959358338669	0.1348787284347272	0.21938068935979202	0.16589474809843274	0.1946473336127627	0.22454182185075	0.14698021080932375	0.13700414111780482	0.21160133868615646	0.1500984739169088	0.22249680863438176	0.1871002675698078	0.1270296379287385	0.1807715902340298	0.16680971739192668	0.2182377763929515	0.20387220328539654	0.27807692413215823	0.20996222470772302
G1-139	0.07626804895685964	0.19551569026476406	0.13261702817855575	0.29218325925480243	0.2519971842154854	0.29833470792373523	0.19824568758687644	0.1525535066401886	0.2439162701373431	0.0	0.14573528064938376	0.006888497573141745	0.08671489892411081	0.06566220572731626	0.0686996837631476	0.03909530461161874	0.12148179310963712	0.2412529826019585	0.2496503891311648	0.016985954851059002	0.039719507408739196	0.24861245129144652	0.2449799325383922	0.10185242012005098	0.017873212723995353	0.05005558378524997	0.07833502754694975	0.04669904386300712	0.1717052563129499	0.10970739044830137	0.10861448370843196	0.09568486451021323	0.12276927174032581	0.2455989499783866	0.24195541799374065	0.24132677395392255	0.2346461103067021	0.2521045989502471	0.2574935114484094	0.2521045989502471	0.2375691376457197	0.2393654418117738	0.07914368015627936	0.23693126910435328	0.24911080550202483	0.1217939893729201	0.24256129102221788	0.24826410395304485	0.25584907179366767	0.24772749908928446	0.08636039261918914	0.06721624642308348	0.08807268035726265	0.08992092544722192	0.08638373876534919	0.09858991530170359	0.045693729584072855	0.2404639033985807	0.06042137634957032	0.013383517845025216	0.06102069251007265	0.011414503041722167	0.07075105138828947	0.24222967603829593	0.24315524354423268	0.2282182143159057	0.25032531522495444	0.24763297381308563	0.2499765049122128	0.24776217269970602	0.252060543930159	0.1350356812473299	0.23222116210082988	0.16001758909358108	0.21422802009280248	0.21054730052051793	0.2539009031163012	0.2215674281273274	0.20719699479889467	0.2215674281273274	0.2022207551833189	0.12716809837486673	0.06822937292194486	0.07448765479532495	0.041741799308023964	0.10634847082180116	0.07157343646828986	0.18061445254388667	0.17111832982371974	0.025614594802467222	0.17520469043205356	0.17076048431553809	0.05152148108907252	0.11044074088480776	0.1326511787920018	0.034466722191954	0.10035037966118142	0.023014702851297506	0.104580913845353	0.14114064223622158	0.06575928224414679	0.07954612169344981	0.028558089368779602	0.041523964855609004	0.04003155326734156	0.03714727299775893
