	G1-13	G1-135	G1-136	G1-138	G1-14	G2-413	G2-414	G2-415	G2-416	G3-417	G3-418
G1-13	0.0	0.7035143769968051	0.5380191693290735	0.48242811501597443	0.5207667731629393	0.6913738019169329	0.42875399361022365	0.5539936102236421	0.7610223642172524	0.3859424920127795	0.3827476038338658
G1-135	0.7035143769968051	0.0	0.6210862619808307	0.6338658146964856	0.4862619808306709	0.6408945686900959	0.6357827476038339	0.2230031948881789	0.30670926517571884	0.5201277955271566	0.5047923322683706
G1-136	0.5380191693290735	0.6210862619808307	0.0	0.7060702875399361	0.41661341853035144	0.65814696485623	0.5156549520766773	0.5380191693290735	0.7706070287539936	0.5463258785942492	0.36421725239616615
G1-138	0.48242811501597443	0.6338658146964856	0.7060702875399361	0.0	0.40191693290734826	0.402555910543131	0.7533546325878594	0.7814696485623003	0.8415335463258786	0.7878594249201278	0.7482428115015974
G1-14	0.5207667731629393	0.4862619808306709	0.41661341853035144	0.40191693290734826	0.0	0.2888178913738019	0.44089456869009586	0.4575079872204473	0.7654952076677316	0.45686900958466453	0.3603833865814696
G2-413	0.6913738019169329	0.6408945686900959	0.65814696485623	0.402555910543131	0.2888178913738019	0.0	0.5277955271565495	0.6575079872204472	0.855591054313099	0.6575079872204472	0.6063897763578274
G2-414	0.42875399361022365	0.6357827476038339	0.5156549520766773	0.7533546325878594	0.44089456869009586	0.5277955271565495	0.0	0.5482428115015975	0.8057507987220447	0.2881789137380192	0.3380191693290735
G2-415	0.5539936102236421	0.2230031948881789	0.5380191693290735	0.7814696485623003	0.4575079872204473	0.6575079872204472	0.5482428115015975	0.0	0.31309904153354634	0.3648562300319489	0.3693290734824281
G2-416	0.7610223642172524	0.30670926517571884	0.7706070287539936	0.8415335463258786	0.7654952076677316	0.855591054313099	0.8057507987220447	0.31309904153354634	0.0	0.6562300319488817	0.670926517571885
G3-417	0.3859424920127795	0.5201277955271566	0.5463258785942492	0.7878594249201278	0.45686900958466453	0.6575079872204472	0.2881789137380192	0.3648562300319489	0.6562300319488817	0.0	0.2159744408945687
G3-418	0.3827476038338658	0.5047923322683706	0.36421725239616615	0.7482428115015974	0.3603833865814696	0.6063897763578274	0.3380191693290735	0.3693290734824281	0.670926517571885	0.2159744408945687	0.0
