	G1-13	G1-135	G1-136	G1-138	G1-14	G2-413	G2-414	G2-415	G2-416	G3-417	G3-418
G1-13	0.0	0.029896189921791484	0.12195550228690191	0.009139045448280184	0.023268273980436138	0.18102537203476324	0.19739434441721784	0.24587433150341204	0.14737241754014554	0.16186321264770798	0.38836792909401663
G1-135	0.029896189921791484	0.0	0.10684360779177754	0.029988230456715535	0.006679217608379956	0.19825781363741646	0.18136482094488535	0.22002910233738618	0.16110742896326333	0.1366310748621643	0.37584326285117164
G1-136	0.12195550228690191	0.10684360779177754	0.0	0.12997999085711426	0.1010382131321176	0.2809038341484923	0.2545406122082302	0.2957247797489112	0.25046009895513316	0.22562976684729286	0.4186439943200175
G1-138	0.009139045448280184	0.029988230456715535	0.12997999085711426	0.0	0.03219466961530608	0.18181688034878835	0.2058235300060097	0.2468239216228235	0.1395860405643419	0.16254990475749143	0.3947914575128142
G1-14	0.023268273980436138	0.006679217608379956	0.1010382131321176	0.03219466961530608	0.0	0.2000814980612841	0.17542213886699742	0.22511981805809092	0.16702183293974684	0.13859493866727182	0.3716238337969369
G2-413	0.18102537203476324	0.19825781363741646	0.2809038341484923	0.18181688034878835	0.2000814980612841	0.0	0.14190592227487908	0.1918802419340415	0.0697504600695203	0.08764701158003094	0.3665805854923664
G2-414	0.19739434441721784	0.18136482094488535	0.2545406122082302	0.2058235300060097	0.17542213886699742	0.14190592227487908	0.0	0.17524526817218333	0.09197598978497187	0.0759476373398245	0.2720203002611857
G2-415	0.24587433150341204	0.22002910233738618	0.2957247797489112	0.2468239216228235	0.22511981805809092	0.1918802419340415	0.17524526817218333	0.0	0.1544841714323472	0.12976328454229438	0.37229222225365705
G2-416	0.14737241754014554	0.16110742896326333	0.25046009895513316	0.1395860405643419	0.16702183293974684	0.0697504600695203	0.09197598978497187	0.1544841714323472	0.0	0.050883000591073285	0.3390863423945449
G3-417	0.16186321264770798	0.1366310748621643	0.22562976684729286	0.16254990475749143	0.13859493866727182	0.08764701158003094	0.0759476373398245	0.12976328454229438	0.050883000591073285	0.0	0.3178921499116778
G3-418	0.38836792909401663	0.37584326285117164	0.4186439943200175	0.3947914575128142	0.3716238337969369	0.3665805854923664	0.2720203002611857	0.37229222225365705	0.3390863423945449	0.3178921499116778	0.0
