	G1-13	G1-135	G1-136	G1-138	G1-14	G2-413	G2-414	G2-415	G2-416	G3-417	G3-418
G1-13	0.0	0.2263648671891062	0.1555990852477925	0.16246875946855285	0.17347237618557637	0.2150360196870831	0.12903089811555174	0.16459299611926442	0.16546295228212873	0.10610830726876103	0.11898270888009808
G1-135	0.2263648671891062	0.0	0.11574097469715525	0.13985142608852727	0.10686503106312387	0.117046142940594	0.1888911759473555	0.06319124401908299	0.08380886606495316	0.16382388379276594	0.12152968424044905
G1-136	0.1555990852477925	0.11574097469715525	0.0	0.10414720242300107	0.021792417600021353	0.06340366236585807	0.1337644765428155	0.0754209430666961	0.09923103851722762	0.125202842271621	0.07089452919239396
G1-138	0.16246875946855285	0.13985142608852727	0.10414720242300107	0.0	0.10313721870678073	0.12470651401311843	0.22524611110442783	0.17046765765802455	0.19686973109801464	0.21978957528099904	0.16609460953226976
G1-14	0.17347237618557637	0.10686503106312387	0.021792417600021353	0.10313721870678073	0.0	0.04237218982817273	0.1426620086136636	0.0758555320591589	0.10333903944080802	0.1347378669467067	0.08038274048956477
G2-413	0.2150360196870831	0.117046142940594	0.06340366236585807	0.12470651401311843	0.04237218982817273	0.0	0.16080791901029107	0.10929399881930718	0.13467372534941566	0.16702947823341416	0.11069412994630498
G2-414	0.12903089811555174	0.1888911759473555	0.1337644765428155	0.22524611110442783	0.1426620086136636	0.16080791901029107	0.0	0.15212454987379098	0.16716969993298306	0.049505385341097684	0.07862451085557451
G2-415	0.16459299611926442	0.06319124401908299	0.0754209430666961	0.17046765765802455	0.0758555320591589	0.10929399881930718	0.15212454987379098	0.0	0.029105104557425942	0.10331915822401015	0.08319990686947196
G2-416	0.16546295228212873	0.08380886606495316	0.09923103851722762	0.19686973109801464	0.10333903944080802	0.13467372534941566	0.16716969993298306	0.029105104557425942	0.0	0.11969979993336316	0.09847895128025086
G3-417	0.10610830726876103	0.16382388379276594	0.125202842271621	0.21978957528099904	0.1347378669467067	0.16702947823341416	0.049505385341097684	0.10331915822401015	0.11969979993336316	0.0	0.058766287596772354
G3-418	0.11898270888009808	0.12152968424044905	0.07089452919239396	0.16609460953226976	0.08038274048956477	0.11069412994630498	0.07862451085557451	0.08319990686947196	0.09847895128025086	0.058766287596772354	0.0
