	G1-11	G1-12	G1-193	G2-194	G3-425	G3-426	G3-427	G3-428	G3-429	G3-430
G1-11	0.0	0.49201277955271566	0.3706070287539936	0.19680511182108626	0.2613418530351438	0.22619808306709266	0.2888178913738019	0.3137380191693291	0.4319488817891374	0.34760383386581467
G1-12	0.49201277955271566	0.0	0.2594249201277955	0.4715654952076677	0.6345047923322684	0.5916932907348242	0.6012779552715655	0.6293929712460063	0.729073482428115	0.6594249201277955
G1-193	0.3706070287539936	0.2594249201277955	0.0	0.26070287539936104	0.43130990415335463	0.3757188498402556	0.4351437699680511	0.43769968051118213	0.6070287539936102	0.46517571884984027
G2-194	0.19680511182108626	0.4715654952076677	0.26070287539936104	0.0	0.17891373801916932	0.14057507987220447	0.1891373801916933	0.19424920127795528	0.3597444089456869	0.22172523961661342
G3-425	0.2613418530351438	0.6345047923322684	0.43130990415335463	0.17891373801916932	0.0	0.06325878594249201	0.1194888178913738	0.10223642172523961	0.25431309904153354	0.11693290734824281
G3-426	0.22619808306709266	0.5916932907348242	0.3757188498402556	0.14057507987220447	0.06325878594249201	0.0	0.12523961661341854	0.12587859424920128	0.30287539936102237	0.15782747603833866
G3-427	0.2888178913738019	0.6012779552715655	0.4351437699680511	0.1891373801916933	0.1194888178913738	0.12523961661341854	0.0	0.0670926517571885	0.20383386581469648	0.07795527156549521
G3-428	0.3137380191693291	0.6293929712460063	0.43769968051118213	0.19424920127795528	0.10223642172523961	0.12587859424920128	0.0670926517571885	0.0	0.23450479233226837	0.08562300319488818
G3-429	0.4319488817891374	0.729073482428115	0.6070287539936102	0.3597444089456869	0.25431309904153354	0.30287539936102237	0.20383386581469648	0.23450479233226837	0.0	0.16613418530351437
G3-430	0.34760383386581467	0.6594249201277955	0.46517571884984027	0.22172523961661342	0.11693290734824281	0.15782747603833866	0.07795527156549521	0.08562300319488818	0.16613418530351437	0.0
