# Constructed from biom file
#OTU ID	G1-11	G1-12	G1-193	G2-194	G3-425	G3-426	G3-427	G3-428	G3-429	G3-430
c968e760232bc409d8b2f69661888e32	21.0	0.0	115.0	87.0	85.0	97.0	54.0	58.0	18.0	83.0
9af23aa4c8fa7a910841ad8924350346	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
f81499519b277f15186658e8ebe5f45f	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
669f1c072197dfd17f48cb06eca230af	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
fea6f0f65bf2e94ebff13b253d142072	32.0	0.0	124.0	80.0	71.0	91.0	54.0	88.0	12.0	66.0
2dc1dae7438f41afb789fe8a3a433eac	5.0	1.0	0.0	0.0	4.0	4.0	0.0	0.0	5.0	4.0
7b0f05ead6d2e7c841505a2892f761f7	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
3a0ebd47920ce03ebe8bd07e46a546a6	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b47788e49066a3575d492b8ed3edcf37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
2381ea10d7e07f0c342a68a1eb070c8b	6.0	2.0	8.0	13.0	28.0	2.0	2.0	1.0	14.0	1.0
162bdb2c7b5934c8bfddada185f8a786	64.0	14.0	36.0	38.0	53.0	46.0	89.0	111.0	58.0	69.0
298765b2879a6ec8ab1b9959a8746190	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
49b1fda473552e490b9a4e351a5e36ff	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
b96ea9e9b09900ccecf691bbceea9b83	549.0	1319.0	924.0	590.0	334.0	396.0	383.0	342.0	186.0	296.0
c35bc9806adc8b858466c744cc35b1e5	13.0	1.0	27.0	28.0	42.0	40.0	40.0	80.0	48.0	67.0
0bd6345dc9fa65945c4a12a780c1e06b	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
7f00fdb10cb5bb5d8919744dd3f55434	0.0	0.0	1.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0
6151038db63c27da72b93929f6007134	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ff5e692708ec7162353248a525d3dd3f	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
fac07b2893c7b432c5c424ca5ea83548	202.0	4.0	2.0	13.0	108.0	107.0	9.0	14.0	6.0	5.0
d9804cbb9c1b7c95059a296f45c8dff6	88.0	8.0	0.0	0.0	0.0	5.0	4.0	2.0	0.0	0.0
5877dadce57b3bd826fe6bfa04a97b56	585.0	216.0	326.0	701.0	832.0	777.0	924.0	869.0	1217.0	973.0
421c9bda639f6afb15020f0f3b525116	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
74543c864b9ce6cb7bce59303a0ce289	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0
ced377d1452e26d4cf841747ff78bf2c	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
