	G1-11	G1-12	G1-193	G2-194	G3-425	G3-426	G3-427	G3-428	G3-429	G3-430
G1-11	0.0	0.005064862768805754	0.2868521927150763	0.40071371803698125	0.2613889059142009	0.0	0.22444754812972356	0.052428000324716395	0.03999129366620035	0.15348377755874107
G1-12	0.005064862768805754	0.0	0.2906847168749172	0.40393433952781743	0.26514909668791653	0.005064862768805754	0.22846811705238954	0.05749286309352215	0.04487859621167727	0.15779330190099858
G1-193	0.2868521927150763	0.2906847168749172	0.0	0.34589988817038325	0.2929473644539582	0.2868521927150763	0.30828781685966167	0.25739167845881006	0.30330943863812554	0.36820080737425515
G2-194	0.40071371803698125	0.40393433952781743	0.34589988817038325	0.0	0.392818379771789	0.40071371803698125	0.40872083374164403	0.38004588993167904	0.41237831747569414	0.45922534924334774
G3-425	0.2613889059142009	0.26514909668791653	0.2929473644539582	0.392818379771789	0.0	0.2613889059142009	0.3109592809140246	0.3003118327740419	0.27811935535152427	0.2622840505148433
G3-426	0.0	0.005064862768805754	0.2868521927150763	0.40071371803698125	0.2613889059142009	0.0	0.22444754812972356	0.052428000324716395	0.03999129366620035	0.15348377755874107
G3-427	0.22444754812972356	0.22846811705238954	0.30828781685966167	0.40872083374164403	0.3109592809140246	0.22444754812972356	0.0	0.2338088783278011	0.25013278060799954	0.322736656135991
G3-428	0.052428000324716395	0.05749286309352215	0.25739167845881006	0.38004588993167904	0.3003118327740419	0.052428000324716395	0.2338088783278011	0.0	0.0905813118241194	0.19809303035168996
G3-429	0.03999129366620035	0.04487859621167727	0.30330943863812554	0.41237831747569414	0.27811935535152427	0.03999129366620035	0.25013278060799954	0.0905813118241194	0.0	0.17538718828282707
G3-430	0.15348377755874107	0.15779330190099858	0.36820080737425515	0.45922534924334774	0.2622840505148433	0.15348377755874107	0.322736656135991	0.19809303035168996	0.17538718828282707	0.0
