	G1-11	G1-12	G1-193	G2-194	G3-425	G3-426	G3-427	G3-428	G3-429	G3-430
G1-11	0.0	0.14236967144247306	0.1141246277880021	0.03960697706650472	0.04480223215112792	0.03110034678397973	0.06425317732520433	0.06028453662103651	0.12878035087531828	0.07944685069803607
G1-12	0.14236967144247306	0.0	0.030528153505119	0.11569744592473054	0.1700064622709926	0.15196864872546936	0.1653368136132901	0.16192299768309698	0.23070928772986687	0.17948652523899056
G1-193	0.1141246277880021	0.030528153505119	0.0	0.0862859893571133	0.14082915720422606	0.12322705692131422	0.13669041372827734	0.1332457355406528	0.20229370141925002	0.15154701066786266
G2-194	0.03960697706650472	0.11569744592473054	0.0862859893571133	0.0	0.055395902205333636	0.03841886520911312	0.05388584511501517	0.049998606580287125	0.11871831561726304	0.06936751496723474
G3-425	0.04480223215112792	0.1700064622709926	0.14082915720422606	0.055395902205333636	0.0	0.0181732316591219	0.028892744349787128	0.028455015817491998	0.0867665440720481	0.037309699506236055
G3-426	0.03110034678397973	0.15196864872546936	0.12322705692131422	0.03841886520911312	0.0181732316591219	0.0	0.03394930789841944	0.029757241484557634	0.098781337558513	0.04890705587325826
G3-427	0.06425317732520433	0.1653368136132901	0.13669041372827734	0.05388584511501517	0.028892744349787128	0.03394930789841944	0.0	0.005061635543539685	0.06719473469331727	0.016428878356427288
G3-428	0.06028453662103651	0.16192299768309698	0.1332457355406528	0.049998606580287125	0.028455015817491998	0.029757241484557634	0.005061635543539685	0.0	0.07139661980269316	0.020601873809035918
G3-429	0.12878035087531828	0.23070928772986687	0.20229370141925002	0.11871831561726304	0.0867665440720481	0.098781337558513	0.06719473469331727	0.07139661980269316	0.0	0.052412414367105066
G3-430	0.07944685069803607	0.17948652523899056	0.15154701066786266	0.06936751496723474	0.037309699506236055	0.04890705587325826	0.016428878356427288	0.020601873809035918	0.052412414367105066	0.0
