	G1-11	G1-12	G1-130	G1-193	G2-194	G3-425	G3-426	G3-427	G3-428	G3-429	G3-430
G1-11	0.0	0.4894568690095847	0.7329073482428115	0.3718849840255591	0.1865814696485623	0.22492012779552717	0.21789137380191692	0.2881789137380192	0.27859424920127795	0.397444089456869	0.31182108626198085
G1-12	0.4894568690095847	0.0	0.8881789137380192	0.27092651757188496	0.4523961661341853	0.6057507987220447	0.5827476038338658	0.6185303514376996	0.610223642172524	0.7009584664536741	0.6351437699680511
G1-130	0.7329073482428115	0.8881789137380192	0.0	0.8217252396166134	0.8198083067092652	0.7635782747603834	0.7635782747603834	0.8236421725239617	0.8210862619808307	0.8587859424920128	0.823003194888179
G1-193	0.3718849840255591	0.27092651757188496	0.8217252396166134	0.0	0.24345047923322682	0.412779552715655	0.33738019169329075	0.44536741214057507	0.3987220447284345	0.5801916932907348	0.43961661341853037
G2-194	0.1865814696485623	0.4523961661341853	0.8198083067092652	0.24345047923322682	0.0	0.1853035143769968	0.14249201277955273	0.21980830670926518	0.17507987220447285	0.3546325878594249	0.21661341853035143
G3-425	0.22492012779552717	0.6057507987220447	0.7635782747603834	0.412779552715655	0.1853035143769968	0.0	0.0817891373801917	0.09520766773162939	0.08051118210862619	0.22875399361022364	0.09520766773162939
G3-426	0.21789137380191692	0.5827476038338658	0.7635782747603834	0.33738019169329075	0.14249201277955273	0.0817891373801917	0.0	0.16932907348242812	0.1194888178913738	0.30415335463258786	0.16102236421725238
G3-427	0.2881789137380192	0.6185303514376996	0.8236421725239617	0.44536741214057507	0.21980830670926518	0.09520766773162939	0.16932907348242812	0.0	0.09073482428115016	0.15654952076677317	0.03258785942492013
G3-428	0.27859424920127795	0.610223642172524	0.8210862619808307	0.3987220447284345	0.17507987220447285	0.08051118210862619	0.1194888178913738	0.09073482428115016	0.0	0.24217252396166133	0.09329073482428114
G3-429	0.397444089456869	0.7009584664536741	0.8587859424920128	0.5801916932907348	0.3546325878594249	0.22875399361022364	0.30415335463258786	0.15654952076677317	0.24217252396166133	0.0	0.15207667731629393
G3-430	0.31182108626198085	0.6351437699680511	0.823003194888179	0.43961661341853037	0.21661341853035143	0.09520766773162939	0.16102236421725238	0.03258785942492013	0.09329073482428114	0.15207667731629393	0.0
