	G1-11	G1-12	G1-130	G1-193	G2-194	G3-425	G3-426	G3-427	G3-428	G3-429	G3-430
G1-11	0.0	0.2678258895582547	0.2875720248265372	0.36991073640703176	0.3735014584073874	0.3733574054456292	0.2640986502101904	0.45387222916844117	0.3902209266546267	0.3450332524146324	0.2678615265913564
G1-12	0.2678258895582547	0.0	0.03696231019576227	0.17546553285783212	0.1816365240368973	0.19446018473597856	0.005064862768805754	0.32036227222704217	0.20451972807130628	0.14678645669865578	0.010178151910401665
G1-130	0.2875720248265372	0.03696231019576227	0.0	0.19093096981863808	0.19701336621742682	0.20884359862440416	0.03189744742695652	0.3391254303498345	0.18561333391273102	0.16181382673221167	0.026921817321542883
G1-193	0.36991073640703176	0.17546553285783212	0.19093096981863808	0.0	0.007880065148773586	0.117941639689524	0.17101046422879954	0.2492113372518375	0.258926665775675	0.08719846206209762	0.16726510194565614
G2-194	0.3735014584073874	0.1816365240368973	0.19701336621742682	0.007880065148773586	0.0	0.12407824603795657	0.1772147980882589	0.25371628171036853	0.26403289628122706	0.09384881651975355	0.17352541294030152
G3-425	0.3733574054456292	0.19446018473597856	0.20884359862440416	0.117941639689524	0.12407824603795657	0.0	0.19033828277251325	0.2862420224719245	0.33643201003857526	0.11215989403706221	0.18695494826747677
G3-426	0.2640986502101904	0.005064862768805754	0.03189744742695652	0.17101046422879954	0.1772147980882589	0.19033828277251325	0.0	0.31682057759672344	0.20011992757850014	0.14242061094808126	0.00511328914159591
G3-427	0.45387222916844117	0.32036227222704217	0.3391254303498345	0.2492113372518375	0.25371628171036853	0.2862420224719245	0.31682057759672344	0.0	0.3210002184556704	0.2528232560769503	0.3203961352224096
G3-428	0.3902209266546267	0.20451972807130628	0.18561333391273102	0.258926665775675	0.26403289628122706	0.33643201003857526	0.20011992757850014	0.3210002184556704	0.0	0.30168755841551165	0.20456179562349727
G3-429	0.3450332524146324	0.14678645669865578	0.16181382673221167	0.08719846206209762	0.09384881651975355	0.11215989403706221	0.14242061094808126	0.2528232560769503	0.30168755841551165	0.0	0.13862401995219983
G3-430	0.2678615265913564	0.010178151910401665	0.026921817321542883	0.16726510194565614	0.17352541294030152	0.18695494826747677	0.00511328914159591	0.3203961352224096	0.20456179562349727	0.13862401995219983	0.0
