	G1-131	G1-132	G1-15	G1-177	G1-178	G3-419	G3-420	G3-421	G3-422	G3-423	G3-424
G1-131	0.0	0.1863319470921676	0.17205881952448931	0.2660715516723921	0.2070698442180026	0.1057580290304919	0.22447992274148867	0.16927368650779515	0.2275867566101554	0.18610777778330065	0.1289880218115703
G1-132	0.1863319470921676	0.0	0.262194667906325	0.2923708399535088	0.28663003748676386	0.281600038183083	0.28962004536063957	0.2707087164107974	0.29049540799365287	0.28907374190804286	0.2786015755101696
G1-15	0.17205881952448931	0.262194667906325	0.0	0.13289876249577012	0.0910842741797006	0.08785828384602493	0.10093818949884037	0.07274604750724203	0.10273132027172856	0.06858011871503138	0.05550187143873238
G1-177	0.2660715516723921	0.2923708399535088	0.13289876249577012	0.0	0.06253347483890155	0.16830341915938124	0.045656992521165736	0.10431895228644077	0.04248841425346976	0.11369186464936795	0.14511939316695943
G1-178	0.2070698442180026	0.28663003748676386	0.0910842741797006	0.06253347483890155	0.0	0.10927931751337853	0.021279103479583776	0.04619191597140577	0.024702891785332432	0.062404511795417034	0.08503930048700646
G3-419	0.1057580290304919	0.281600038183083	0.08785828384602493	0.16830341915938124	0.10927931751337853	0.0	0.12631009199831278	0.08290467976619627	0.12929907973374233	0.08912468442110712	0.035100725590508
G3-420	0.22447992274148867	0.28962004536063957	0.10093818949884037	0.045656992521165736	0.021279103479583776	0.12631009199831278	0.0	0.06417367742209516	0.0038747732656912786	0.0774029884659372	0.10230825818376109
G3-421	0.16927368650779515	0.2707087164107974	0.07274604750724203	0.10431895228644077	0.04619191597140577	0.08290467976619627	0.06417367742209516	0.0	0.06728403400032326	0.039668759855481774	0.060572281615592784
G3-422	0.2275867566101554	0.29049540799365287	0.10273132027172856	0.04248841425346976	0.024702891785332432	0.12929907973374233	0.0038747732656912786	0.06728403400032326	0.0	0.08004420434473508	0.10503099448276389
G3-423	0.18610777778330065	0.28907374190804286	0.06858011871503138	0.11369186464936795	0.062404511795417034	0.08912468442110712	0.0774029884659372	0.039668759855481774	0.08004420434473508	0.0	0.06436323805115368
G3-424	0.1289880218115703	0.2786015755101696	0.05550187143873238	0.14511939316695943	0.08503930048700646	0.035100725590508	0.10230825818376109	0.060572281615592784	0.10503099448276389	0.06436323805115368	0.0
