	G1-110	G1-157	G1-158	G1-159	G1-19	G2-41	G3-42	G3-43	G3-44	G3-45	G3-46
G1-110	0.0	0.34185303514376997	0.2146964856230032	0.08881789137380192	0.2402555910543131	0.1731629392971246	0.2971246006389776	0.08817891373801917	0.2063897763578275	0.268370607028754	0.2670926517571885
G1-157	0.34185303514376997	0.0	0.44345047923322684	0.3258785942492013	0.4108626198083067	0.28434504792332266	0.2779552715654952	0.3329073482428115	0.2766773162939297	0.4913738019169329	0.44345047923322684
G1-158	0.2146964856230032	0.44345047923322684	0.0	0.14824281150159743	0.3527156549520767	0.3194888178913738	0.44217252396166135	0.23450479233226837	0.3527156549520767	0.25303514376996805	0.3584664536741214
G1-159	0.08881789137380192	0.3258785942492013	0.14824281150159743	0.0	0.29329073482428114	0.20063897763578276	0.32523961661341855	0.1207667731629393	0.23386581469648562	0.24920127795527156	0.3111821086261981
G1-19	0.2402555910543131	0.4108626198083067	0.3527156549520767	0.29329073482428114	0.0	0.34313099041533546	0.4172523961661342	0.31884984025559104	0.3878594249201278	0.4351437699680511	0.40894568690095845
G2-41	0.1731629392971246	0.28434504792332266	0.3194888178913738	0.20063897763578276	0.34313099041533546	0.0	0.13738019169329074	0.09073482428115016	0.05942492012779553	0.23450479233226837	0.19297124600638976
G3-42	0.2971246006389776	0.2779552715654952	0.44217252396166135	0.32523961661341855	0.4172523961661342	0.13738019169329074	0.0	0.21533546325878594	0.09520766773162939	0.2805111821086262	0.17955271565495207
G3-43	0.08817891373801917	0.3329073482428115	0.23450479233226837	0.1207667731629393	0.31884984025559104	0.09073482428115016	0.21533546325878594	0.0	0.12396166134185303	0.2	0.19424920127795528
G3-44	0.2063897763578275	0.2766773162939297	0.3527156549520767	0.23386581469648562	0.3878594249201278	0.05942492012779553	0.09520766773162939	0.12396166134185303	0.0	0.24600638977635783	0.1731629392971246
G3-45	0.268370607028754	0.4913738019169329	0.25303514376996805	0.24920127795527156	0.4351437699680511	0.23450479233226837	0.2805111821086262	0.2	0.24600638977635783	0.0	0.197444089456869
G3-46	0.2670926517571885	0.44345047923322684	0.3584664536741214	0.3111821086261981	0.40894568690095845	0.19297124600638976	0.17955271565495207	0.19424920127795528	0.1731629392971246	0.197444089456869	0.0
