	G1-110	G1-157	G1-158	G1-159	G1-19	G2-41	G3-42	G3-43	G3-44	G3-45	G3-46
G1-110	0.0	0.051272895545487474	0.1706069543522134	0.43184360042494857	0.43971714261462896	0.128015260503963	0.3397060472495839	0.22854431644197545	0.0884794962191335	0.3805307067293657	0.051272895545487474
G1-157	0.051272895545487474	0.0	0.20650015370141545	0.4487693456641898	0.45618382068886604	0.1672585671342032	0.30402119887777024	0.2594208815790454	0.13127473277796106	0.3470521814312355	0.0
G1-158	0.1706069543522134	0.20650015370141545	0.0	0.3643084892312031	0.49942425183197464	0.2613680513864217	0.4202524234003586	0.33539990492503313	0.23292752035354175	0.32323258056950643	0.20650015370141545
G1-159	0.43184360042494857	0.4487693456641898	0.3643084892312031	0.0	0.594864460692676	0.4755852968610012	0.4366129250615296	0.5136966084161836	0.4615395950132797	0.49033991604357363	0.4487693456641898
G1-19	0.43971714261462896	0.45618382068886604	0.49942425183197464	0.594864460692676	0.0	0.48230032250187027	0.5511697529846383	0.5194764626420838	0.4435074793953895	0.5650182654769939	0.45618382068886604
G2-41	0.128015260503963	0.1672585671342032	0.2613680513864217	0.4755852968610012	0.48230032250187027	0.0	0.25652622070119435	0.2569896788098689	0.09383354291519407	0.30271907577245394	0.1672585671342032
G3-42	0.3397060472495839	0.30402119887777024	0.4202524234003586	0.4366129250615296	0.5511697529846383	0.25652622070119435	0.0	0.4113902959034508	0.3099837844723081	0.3974374171892782	0.30402119887777024
G3-43	0.22854431644197545	0.2594208815790454	0.33539990492503313	0.5136966084161836	0.5194764626420838	0.2569896788098689	0.4113902959034508	0.0	0.28228914671945293	0.44282131031454947	0.2594208815790454
G3-44	0.0884794962191335	0.13127473277796106	0.23292752035354175	0.4615395950132797	0.4435074793953895	0.09383354291519407	0.3099837844723081	0.28228914671945293	0.0	0.32040004508822606	0.13127473277796106
G3-45	0.3805307067293657	0.3470521814312355	0.32323258056950643	0.49033991604357363	0.5650182654769939	0.30271907577245394	0.3974374171892782	0.44282131031454947	0.32040004508822606	0.0	0.3470521814312355
G3-46	0.051272895545487474	0.0	0.20650015370141545	0.4487693456641898	0.45618382068886604	0.1672585671342032	0.30402119887777024	0.2594208815790454	0.13127473277796106	0.3470521814312355	0.0
