	G1-115	G1-116	G1-161	G1-162	G2-410	G2-411	G2-412	G3-47	G3-48	G3-49
G1-115	0.0	0.24792332268370607	0.5207667731629393	0.5201277955271566	0.34185303514376997	0.19936102236421724	0.23322683706070288	0.14313099041533547	0.18977635782747604	0.549520766773163
G1-116	0.24792332268370607	0.0	0.2817891373801917	0.28115015974440893	0.33738019169329075	0.19424920127795528	0.2511182108626198	0.21789137380191692	0.29968051118210864	0.5463258785942492
G1-161	0.5207667731629393	0.2817891373801917	0.0	0.014057507987220448	0.6038338658146964	0.46006389776357826	0.5169329073482428	0.49584664536741213	0.5648562300319488	0.7322683706070288
G1-162	0.5201277955271566	0.28115015974440893	0.014057507987220448	0.0	0.6038338658146964	0.46134185303514375	0.5175718849840255	0.49456869009584664	0.5654952076677316	0.7322683706070288
G2-410	0.34185303514376997	0.33738019169329075	0.6038338658146964	0.6038338658146964	0.0	0.17763578274760383	0.12396166134185303	0.23578274760383386	0.1757188498402556	0.5412140575079872
G2-411	0.19936102236421724	0.19424920127795528	0.46006389776357826	0.46134185303514375	0.17763578274760383	0.0	0.07028753993610223	0.10798722044728434	0.11565495207667732	0.5380191693290735
G2-412	0.23322683706070288	0.2511182108626198	0.5169329073482428	0.5175718849840255	0.12396166134185303	0.07028753993610223	0.0	0.1584664536741214	0.12587859424920128	0.5399361022364217
G3-47	0.14313099041533547	0.21789137380191692	0.49584664536741213	0.49456869009584664	0.23578274760383386	0.10798722044728434	0.1584664536741214	0.0	0.12268370607028754	0.5271565495207667
G3-48	0.18977635782747604	0.29968051118210864	0.5648562300319488	0.5654952076677316	0.1757188498402556	0.11565495207667732	0.12587859424920128	0.12268370607028754	0.0	0.5399361022364217
G3-49	0.549520766773163	0.5463258785942492	0.7322683706070288	0.7322683706070288	0.5412140575079872	0.5380191693290735	0.5399361022364217	0.5271565495207667	0.5399361022364217	0.0
