	G1-115	G1-116	G1-161	G1-162	G2-410	G2-411	G2-412	G3-47	G3-48	G3-49
G1-115	0.0	0.08542782171612961	0.1845286028961276	0.18428132212123477	0.03642242671340455	0.049288361565093114	0.053175660779780344	0.013385777267338072	0.012258554619015254	0.1613373505420025
G1-116	0.08542782171612961	0.0	0.10006904586182376	0.09969820532278242	0.06011889387677972	0.04074139177541344	0.040490019536534555	0.07501247944060742	0.07889454490884752	0.1502118256921963
G1-161	0.1845286028961276	0.10006904586182376	0.0	0.0034927996585815443	0.15931121877767163	0.14000914567349726	0.13887300569490624	0.17397404666137783	0.1780006022289616	0.2214374841918333
G1-162	0.18428132212123477	0.09969820532278242	0.0034927996585815443	0.0	0.158258581808741	0.13918666507206207	0.1387576315679771	0.17410869419865987	0.17708772767075975	0.22137160649437543
G2-410	0.03642242671340455	0.06011889387677972	0.15931121877767163	0.158258581808741	0.0	0.020291601180468098	0.02142305857345175	0.024447965953570888	0.024380034490465972	0.16155203167472124
G2-411	0.049288361565093114	0.04074139177541344	0.14000914567349726	0.13918666507206207	0.020291601180468098	0.0	0.004461025161793581	0.03770251261962214	0.038652512734371786	0.15708843184741766
G2-412	0.053175660779780344	0.040490019536534555	0.13887300569490624	0.1387576315679771	0.02142305857345175	0.004461025161793581	0.0	0.04173275528449022	0.04176642963437725	0.15826226873452368
G3-47	0.013385777267338072	0.07501247944060742	0.17397404666137783	0.17410869419865987	0.024447965953570888	0.03770251261962214	0.04173275528449022	0.0	0.006250011240503857	0.15854618329823478
G3-48	0.012258554619015254	0.07889454490884752	0.1780006022289616	0.17708772767075975	0.024380034490465972	0.038652512734371786	0.04176642963437725	0.006250011240503857	0.0	0.16297316225364955
G3-49	0.1613373505420025	0.1502118256921963	0.2214374841918333	0.22137160649437543	0.16155203167472124	0.15708843184741766	0.15826226873452368	0.15854618329823478	0.16297316225364955	0.0
