	G1-11	G1-12	G1-13	G1-130	G1-131	G1-132	G1-135	G1-136	G1-138	G1-139	G1-14	G1-140	G1-141	G1-142	G1-143	G1-144	G1-15	G1-175	G1-176	G1-177	G1-178	G1-180	G1-182	G1-187	G1-188	G1-189	G1-190	G1-192	G1-193	G2-1100	G2-1101	G2-1102	G2-1103	G2-1104	G2-1105	G2-1106	G2-1107	G2-1108	G2-1109	G2-1110	G2-1111	G2-1113	G2-194	G2-197	G2-198	G2-199	G2-21	G2-210	G2-211	G2-212	G2-213	G2-214	G2-215	G2-216	G2-217	G2-218	G2-219	G2-22	G2-220	G2-221	G2-222	G2-223	G2-224	G2-23	G2-24	G2-25	G2-26	G2-27	G2-28	G2-29	G2-313	G2-314	G2-315	G2-316	G2-317	G2-318	G2-319	G2-320	G2-321	G2-322	G2-323	G2-324	G2-325	G2-326	G2-327	G2-328	G2-329	G2-330	G2-413	G2-414	G2-415	G2-416	G3-417	G3-418	G3-419	G3-420	G3-421	G3-422	G3-423	G3-424	G3-425	G3-426	G3-427	G3-428	G3-429	G3-430
G1-11	0.0	0.505	0.335	0.73	0.48	0.755	0.675	0.36	0.64	0.375	0.21	0.33	0.545	0.55	0.55	0.55	0.43	0.655	0.665	0.35	0.3	0.66	0.66	0.455	0.44	0.28	0.345	0.545	0.405	0.61	0.78	0.695	0.68	0.845	0.965	0.94	0.935	0.96	0.95	0.975	0.975	0.96	0.18	0.61	0.64	0.82	0.665	0.64	0.615	0.64	0.54	0.55	0.55	0.55	0.55	0.545	0.485	0.665	0.46	0.405	0.51	0.35	0.525	0.665	0.735	0.665	0.945	0.64	0.64	0.615	0.98	0.815	0.91	0.72	0.965	0.955	0.965	0.915	0.9	0.885	0.655	0.53	0.425	0.55	0.485	0.525	0.37	0.875	0.285	0.255	0.52	0.88	0.36	0.25	0.31	0.24	0.31	0.27	0.325	0.28	0.22	0.165	0.225	0.245	0.41	0.305
G1-12	0.505	0.0	0.745	0.88	0.56	0.91	0.72	0.375	0.795	0.715	0.505	0.66	0.845	0.85	0.85	0.85	0.67	0.335	0.165	0.645	0.405	0.165	0.155	0.53	0.74	0.575	0.64	0.845	0.27	0.835	0.835	0.835	0.795	0.845	0.965	0.94	0.935	0.96	0.95	0.975	0.975	0.96	0.51	0.43	0.435	0.86	0.285	0.45	0.455	0.485	0.845	0.85	0.85	0.85	0.85	0.85	0.83	0.51	0.805	0.745	0.81	0.675	0.84	0.455	0.735	0.33	0.945	0.49	0.36	0.42	0.975	0.835	0.905	0.835	0.96	0.95	0.965	0.915	0.9	0.885	0.71	0.73	0.745	0.85	0.805	0.78	0.69	0.87	0.615	0.625	0.65	0.88	0.675	0.56	0.605	0.55	0.61	0.565	0.625	0.575	0.61	0.545	0.555	0.575	0.715	0.625
G1-13	0.335	0.745	0.0	0.5	0.44	0.47	0.705	0.565	0.375	0.47	0.375	0.47	0.585	0.59	0.585	0.59	0.42	0.9	0.91	0.48	0.53	0.905	0.9	0.675	0.475	0.49	0.49	0.585	0.66	0.635	0.805	0.72	0.705	0.835	0.965	0.94	0.935	0.96	0.94	0.975	0.975	0.96	0.47	0.84	0.9	0.845	0.825	0.895	0.875	0.88	0.58	0.59	0.59	0.59	0.59	0.585	0.56	0.825	0.535	0.47	0.535	0.48	0.57	0.825	0.825	0.815	0.86	0.81	0.9	0.875	0.975	0.805	0.9	0.715	0.955	0.945	0.965	0.915	0.9	0.885	0.7	0.575	0.395	0.585	0.445	0.455	0.395	0.78	0.46	0.45	0.535	0.79	0.39	0.385	0.485	0.475	0.48	0.485	0.475	0.405	0.41	0.42	0.47	0.47	0.48	0.48
G1-130	0.73	0.88	0.5	0.0	0.415	0.12	0.83	0.765	0.245	0.88	0.78	0.88	0.995	1.0	0.995	1.0	0.82	0.87	0.88	0.87	0.875	0.875	0.88	0.88	0.905	0.88	0.88	0.995	0.86	1.0	1.0	1.0	0.96	0.92	1.0	1.0	1.0	1.0	0.99	1.0	1.0	1.0	0.85	0.83	0.86	0.99	0.855	0.855	0.86	0.85	0.99	1.0	1.0	1.0	1.0	0.995	0.99	0.855	0.965	0.91	0.975	0.88	1.0	0.855	0.855	0.855	0.93	0.835	0.86	0.86	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.875	0.875	0.855	0.995	0.915	0.885	0.835	0.975	0.855	0.85	0.815	0.93	0.85	0.835	0.875	0.855	0.87	0.875	0.865	0.855	0.79	0.8	0.85	0.85	0.865	0.86
G1-131	0.48	0.56	0.44	0.415	0.0	0.36	0.705	0.39	0.335	0.85	0.47	0.795	0.97	0.975	0.97	0.975	0.705	0.58	0.59	0.76	0.555	0.585	0.58	0.665	0.875	0.7	0.765	0.97	0.475	0.97	0.97	0.97	0.93	0.895	0.975	0.975	0.975	0.975	0.965	0.975	0.975	0.975	0.54	0.445	0.505	0.96	0.535	0.5	0.48	0.49	0.965	0.975	0.975	0.975	0.975	0.97	0.965	0.535	0.94	0.88	0.945	0.81	0.975	0.535	0.68	0.53	0.89	0.445	0.505	0.48	0.975	0.97	0.97	0.97	0.97	0.97	0.975	0.975	0.975	0.975	0.83	0.84	0.73	0.97	0.845	0.815	0.69	0.915	0.66	0.675	0.68	0.87	0.75	0.62	0.725	0.65	0.725	0.685	0.735	0.645	0.585	0.525	0.615	0.61	0.825	0.69
G1-132	0.755	0.91	0.47	0.12	0.36	0.0	0.84	0.745	0.235	0.9	0.745	0.9	0.975	0.98	0.975	0.98	0.815	0.925	0.935	0.89	0.895	0.93	0.925	0.9	0.9	0.9	0.9	0.975	0.83	0.965	0.965	0.965	0.925	0.905	0.98	0.98	0.98	0.98	0.97	0.98	0.98	0.98	0.81	0.8	0.855	0.955	0.885	0.85	0.835	0.835	0.97	0.98	0.98	0.98	0.98	0.975	0.97	0.885	0.945	0.9	0.94	0.915	0.98	0.885	0.885	0.87	0.895	0.8	0.855	0.835	0.975	0.965	0.97	0.965	0.965	0.965	0.98	0.98	0.98	0.98	0.91	0.9	0.775	0.975	0.845	0.83	0.78	0.915	0.815	0.815	0.81	0.87	0.86	0.84	0.895	0.875	0.89	0.895	0.885	0.85	0.755	0.76	0.835	0.815	0.885	0.84
G1-135	0.675	0.72	0.705	0.83	0.705	0.84	0.0	0.58	0.605	0.77	0.53	0.715	0.915	0.92	0.915	0.92	0.43	0.795	0.805	0.715	0.72	0.805	0.8	0.7	0.81	0.73	0.725	0.91	0.725	0.89	0.89	0.89	0.845	0.835	0.96	0.94	0.935	0.96	0.94	0.975	0.975	0.96	0.71	0.74	0.805	0.88	0.555	0.8	0.775	0.79	0.905	0.92	0.92	0.92	0.915	0.91	0.875	0.305	0.85	0.8	0.865	0.725	0.895	0.355	0.14	0.715	0.275	0.69	0.8	0.775	0.98	0.91	0.92	0.895	0.965	0.955	0.96	0.92	0.92	0.915	0.775	0.795	0.63	0.915	0.71	0.535	0.655	0.8	0.705	0.685	0.25	0.21	0.525	0.475	0.72	0.715	0.715	0.725	0.71	0.635	0.7	0.705	0.71	0.71	0.775	0.725
G1-136	0.36	0.375	0.565	0.765	0.39	0.745	0.58	0.0	0.61	0.64	0.295	0.62	0.84	0.845	0.84	0.845	0.54	0.525	0.53	0.625	0.39	0.535	0.525	0.5	0.73	0.57	0.63	0.83	0.335	0.76	0.685	0.71	0.685	0.83	0.96	0.94	0.935	0.96	0.94	0.975	0.975	0.96	0.445	0.43	0.495	0.71	0.445	0.49	0.465	0.475	0.83	0.845	0.845	0.845	0.84	0.835	0.775	0.45	0.645	0.69	0.655	0.645	0.82	0.45	0.645	0.44	0.855	0.4	0.49	0.465	0.975	0.83	0.905	0.815	0.96	0.95	0.96	0.915	0.9	0.88	0.7	0.71	0.605	0.84	0.68	0.65	0.55	0.78	0.555	0.46	0.515	0.785	0.56	0.44	0.59	0.515	0.59	0.555	0.6	0.48	0.485	0.435	0.49	0.51	0.69	0.575
G1-138	0.64	0.795	0.375	0.245	0.335	0.235	0.605	0.61	0.0	0.81	0.555	0.795	0.925	0.93	0.925	0.93	0.595	0.855	0.865	0.785	0.79	0.86	0.86	0.795	0.835	0.795	0.795	0.925	0.765	0.93	0.93	0.93	0.89	0.85	0.965	0.94	0.935	0.96	0.94	0.975	0.975	0.96	0.755	0.775	0.835	0.92	0.7	0.83	0.81	0.825	0.92	0.93	0.93	0.93	0.93	0.925	0.92	0.7	0.895	0.84	0.905	0.795	0.93	0.7	0.7	0.775	0.78	0.72	0.835	0.81	0.98	0.93	0.93	0.93	0.965	0.955	0.965	0.93	0.93	0.93	0.79	0.795	0.635	0.925	0.705	0.675	0.66	0.81	0.76	0.755	0.595	0.72	0.625	0.62	0.79	0.78	0.785	0.79	0.78	0.7	0.695	0.705	0.755	0.755	0.785	0.765
G1-139	0.375	0.715	0.47	0.88	0.85	0.9	0.77	0.64	0.81	0.0	0.495	0.13	0.41	0.42	0.42	0.42	0.455	0.88	0.88	0.16	0.37	0.88	0.87	0.42	0.12	0.245	0.25	0.415	0.64	0.515	0.675	0.53	0.51	0.795	0.915	0.89	0.885	0.91	0.9	0.925	0.925	0.91	0.395	0.805	0.88	0.71	0.855	0.86	0.855	0.87	0.415	0.42	0.42	0.42	0.41	0.42	0.31	0.875	0.26	0.285	0.415	0.195	0.35	0.88	0.88	0.765	0.895	0.875	0.88	0.835	0.925	0.695	0.85	0.585	0.815	0.815	0.915	0.865	0.85	0.835	0.625	0.495	0.355	0.455	0.32	0.5	0.28	0.735	0.26	0.21	0.57	0.74	0.285	0.415	0.275	0.285	0.22	0.29	0.33	0.265	0.295	0.33	0.27	0.265	0.265	0.245
G1-14	0.21	0.505	0.375	0.78	0.47	0.745	0.53	0.295	0.555	0.495	0.0	0.44	0.635	0.64	0.635	0.64	0.27	0.66	0.67	0.425	0.3	0.665	0.66	0.465	0.525	0.365	0.43	0.635	0.36	0.64	0.81	0.725	0.71	0.835	0.965	0.94	0.935	0.96	0.94	0.975	0.975	0.96	0.225	0.54	0.6	0.85	0.515	0.595	0.575	0.585	0.63	0.64	0.64	0.64	0.64	0.635	0.61	0.515	0.585	0.525	0.59	0.455	0.62	0.515	0.58	0.575	0.79	0.48	0.6	0.575	0.975	0.81	0.905	0.72	0.96	0.95	0.965	0.915	0.9	0.885	0.65	0.53	0.31	0.635	0.41	0.38	0.305	0.75	0.325	0.34	0.36	0.72	0.295	0.17	0.39	0.315	0.39	0.35	0.4	0.27	0.29	0.22	0.28	0.3	0.49	0.36
G1-140	0.33	0.66	0.47	0.88	0.795	0.9	0.715	0.62	0.795	0.13	0.44	0.0	0.34	0.35	0.35	0.35	0.4	0.825	0.825	0.13	0.385	0.825	0.815	0.455	0.13	0.21	0.22	0.345	0.585	0.55	0.71	0.58	0.565	0.795	0.915	0.89	0.885	0.91	0.9	0.925	0.925	0.91	0.34	0.75	0.825	0.745	0.8	0.805	0.8	0.815	0.345	0.35	0.35	0.35	0.34	0.35	0.245	0.82	0.22	0.305	0.45	0.095	0.275	0.825	0.825	0.71	0.895	0.82	0.825	0.78	0.925	0.695	0.85	0.595	0.84	0.83	0.915	0.865	0.85	0.835	0.605	0.495	0.355	0.455	0.245	0.5	0.245	0.75	0.17	0.19	0.515	0.81	0.21	0.36	0.145	0.155	0.16	0.16	0.275	0.205	0.24	0.275	0.19	0.21	0.18	0.115
G1-141	0.545	0.845	0.585	0.995	0.97	0.975	0.915	0.84	0.925	0.41	0.635	0.34	0.0	0.06	0.04	0.125	0.635	0.995	0.995	0.375	0.63	0.995	0.99	0.785	0.36	0.46	0.48	0.06	0.76	0.66	0.83	0.745	0.765	0.905	0.96	0.935	0.93	0.955	0.945	0.97	0.97	0.955	0.53	0.965	0.995	0.875	0.99	0.99	0.97	0.995	0.035	0.03	0.065	0.06	0.055	0.08	0.17	0.99	0.295	0.48	0.58	0.315	0.175	0.995	0.995	0.99	0.98	0.995	0.995	0.965	0.975	0.82	0.905	0.74	0.96	0.95	0.96	0.91	0.895	0.88	0.785	0.655	0.49	0.5	0.325	0.61	0.475	0.87	0.385	0.455	0.75	0.92	0.39	0.55	0.285	0.345	0.405	0.295	0.495	0.41	0.455	0.465	0.395	0.44	0.19	0.34
G1-142	0.55	0.85	0.59	1.0	0.975	0.98	0.92	0.845	0.93	0.42	0.64	0.35	0.06	0.0	0.07	0.07	0.64	1.0	1.0	0.38	0.635	1.0	0.995	0.795	0.37	0.47	0.49	0.11	0.765	0.665	0.835	0.75	0.775	0.915	0.965	0.94	0.935	0.96	0.95	0.975	0.975	0.96	0.54	0.975	1.0	0.885	1.0	1.0	0.975	1.0	0.085	0.04	0.11	0.105	0.105	0.125	0.225	1.0	0.305	0.49	0.59	0.325	0.225	1.0	1.0	1.0	0.99	1.0	1.0	0.975	0.98	0.825	0.91	0.745	0.965	0.955	0.965	0.915	0.9	0.885	0.795	0.665	0.5	0.505	0.335	0.62	0.485	0.875	0.39	0.46	0.755	0.925	0.395	0.555	0.29	0.35	0.41	0.3	0.5	0.42	0.46	0.47	0.4	0.445	0.225	0.345
G1-143	0.55	0.85	0.585	0.995	0.97	0.975	0.915	0.84	0.925	0.42	0.635	0.35	0.04	0.07	0.0	0.14	0.635	1.0	1.0	0.375	0.63	1.0	0.995	0.795	0.37	0.47	0.49	0.05	0.765	0.665	0.835	0.75	0.775	0.91	0.965	0.94	0.935	0.96	0.945	0.975	0.975	0.96	0.54	0.97	1.0	0.885	0.995	0.995	0.975	0.995	0.035	0.03	0.055	0.04	0.04	0.065	0.16	0.995	0.305	0.5	0.59	0.325	0.16	0.995	0.995	0.995	0.985	0.995	1.0	0.975	0.98	0.825	0.91	0.745	0.965	0.955	0.965	0.915	0.9	0.885	0.79	0.665	0.495	0.5	0.33	0.615	0.48	0.87	0.39	0.455	0.75	0.92	0.39	0.55	0.285	0.345	0.405	0.295	0.495	0.415	0.46	0.47	0.4	0.445	0.19	0.345
G1-144	0.55	0.85	0.59	1.0	0.975	0.98	0.92	0.845	0.93	0.42	0.64	0.35	0.125	0.07	0.14	0.0	0.64	1.0	1.0	0.38	0.635	1.0	0.995	0.795	0.37	0.47	0.49	0.18	0.765	0.665	0.835	0.75	0.775	0.915	0.965	0.94	0.935	0.96	0.95	0.975	0.975	0.96	0.54	0.975	1.0	0.885	1.0	1.0	0.975	1.0	0.155	0.11	0.18	0.175	0.175	0.195	0.295	1.0	0.305	0.49	0.59	0.325	0.295	1.0	1.0	1.0	0.99	1.0	1.0	0.975	0.98	0.825	0.91	0.745	0.965	0.955	0.965	0.915	0.9	0.885	0.795	0.665	0.5	0.505	0.335	0.62	0.485	0.875	0.39	0.46	0.755	0.925	0.395	0.555	0.295	0.35	0.41	0.3	0.5	0.42	0.46	0.47	0.4	0.445	0.295	0.345
G1-15	0.43	0.67	0.42	0.82	0.705	0.815	0.43	0.54	0.595	0.455	0.27	0.4	0.635	0.64	0.635	0.64	0.0	0.815	0.825	0.39	0.395	0.82	0.815	0.555	0.48	0.435	0.42	0.635	0.585	0.645	0.805	0.685	0.67	0.835	0.965	0.94	0.935	0.96	0.94	0.975	0.975	0.96	0.44	0.765	0.825	0.84	0.575	0.82	0.8	0.805	0.63	0.64	0.64	0.64	0.64	0.635	0.63	0.53	0.605	0.505	0.6	0.475	0.64	0.53	0.53	0.67	0.65	0.705	0.825	0.8	0.975	0.76	0.9	0.68	0.9	0.89	0.965	0.915	0.9	0.885	0.65	0.545	0.285	0.62	0.41	0.24	0.29	0.63	0.43	0.405	0.195	0.525	0.27	0.225	0.43	0.44	0.39	0.445	0.33	0.32	0.385	0.41	0.42	0.395	0.465	0.405
G1-175	0.655	0.335	0.9	0.87	0.58	0.925	0.795	0.525	0.855	0.88	0.66	0.825	0.995	1.0	1.0	1.0	0.815	0.0	0.31	0.795	0.555	0.33	0.315	0.695	0.905	0.73	0.79	0.98	0.425	1.0	1.0	1.0	0.88	0.865	0.995	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.64	0.41	0.435	0.99	0.325	0.45	0.41	0.47	0.985	1.0	0.995	1.0	0.995	0.985	0.98	0.51	0.96	0.91	0.975	0.835	1.0	0.455	0.735	0.285	0.955	0.495	0.345	0.435	1.0	1.0	1.0	1.0	1.0	1.0	0.995	1.0	1.0	0.995	0.86	0.88	0.9	1.0	0.96	0.93	0.845	1.0	0.775	0.785	0.795	0.96	0.825	0.725	0.75	0.695	0.715	0.72	0.765	0.73	0.74	0.69	0.695	0.715	0.86	0.78
G1-176	0.665	0.165	0.91	0.88	0.59	0.935	0.805	0.53	0.865	0.88	0.67	0.825	0.995	1.0	1.0	1.0	0.825	0.31	0.0	0.795	0.555	0.045	0.03	0.695	0.905	0.73	0.79	0.975	0.425	1.0	1.0	1.0	0.935	0.905	0.995	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.655	0.43	0.435	0.99	0.275	0.45	0.455	0.475	0.99	1.0	1.0	1.0	0.995	0.99	0.98	0.51	0.96	0.91	0.975	0.835	1.0	0.455	0.735	0.31	0.955	0.495	0.345	0.435	1.0	1.0	1.0	1.0	1.0	1.0	0.995	1.0	1.0	0.995	0.86	0.88	0.9	1.0	0.96	0.93	0.845	1.0	0.78	0.79	0.805	0.96	0.83	0.725	0.75	0.695	0.74	0.72	0.77	0.73	0.755	0.7	0.705	0.725	0.86	0.78
G1-177	0.35	0.645	0.48	0.87	0.76	0.89	0.715	0.625	0.785	0.16	0.425	0.13	0.375	0.38	0.375	0.38	0.39	0.795	0.795	0.0	0.28	0.8	0.785	0.45	0.15	0.24	0.24	0.37	0.56	0.645	0.805	0.66	0.635	0.83	0.96	0.94	0.935	0.96	0.94	0.975	0.975	0.96	0.32	0.76	0.8	0.84	0.785	0.795	0.77	0.775	0.37	0.38	0.38	0.38	0.375	0.375	0.365	0.79	0.34	0.405	0.55	0.215	0.38	0.79	0.79	0.72	0.935	0.785	0.795	0.77	0.975	0.755	0.9	0.66	0.865	0.865	0.96	0.915	0.9	0.88	0.65	0.545	0.38	0.5	0.315	0.54	0.285	0.775	0.16	0.205	0.485	0.73	0.215	0.34	0.14	0.15	0.115	0.16	0.235	0.175	0.21	0.25	0.16	0.18	0.2	0.12
G1-178	0.3	0.405	0.53	0.875	0.555	0.895	0.72	0.39	0.79	0.37	0.3	0.385	0.63	0.635	0.63	0.635	0.395	0.555	0.555	0.28	0.0	0.56	0.545	0.305	0.405	0.335	0.38	0.625	0.32	0.645	0.805	0.66	0.635	0.835	0.96	0.94	0.935	0.96	0.945	0.975	0.975	0.96	0.28	0.525	0.56	0.84	0.55	0.555	0.53	0.54	0.625	0.635	0.635	0.635	0.63	0.63	0.62	0.555	0.595	0.5	0.595	0.47	0.635	0.555	0.73	0.485	0.94	0.55	0.555	0.53	0.975	0.755	0.9	0.66	0.865	0.865	0.96	0.915	0.9	0.88	0.65	0.545	0.52	0.63	0.575	0.56	0.44	0.78	0.385	0.37	0.49	0.735	0.46	0.35	0.355	0.31	0.305	0.335	0.355	0.325	0.35	0.315	0.305	0.3	0.455	0.355
G1-180	0.66	0.165	0.905	0.875	0.585	0.93	0.805	0.535	0.86	0.88	0.665	0.825	0.995	1.0	1.0	1.0	0.82	0.33	0.045	0.8	0.56	0.0	0.04	0.695	0.905	0.73	0.795	0.995	0.425	1.0	1.0	1.0	0.96	0.93	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.66	0.45	0.435	0.99	0.285	0.45	0.48	0.49	0.99	1.0	1.0	1.0	1.0	0.995	0.99	0.51	0.965	0.91	0.975	0.835	1.0	0.455	0.735	0.33	0.955	0.495	0.36	0.445	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.86	0.88	0.9	1.0	0.96	0.93	0.845	1.0	0.775	0.785	0.8	0.96	0.83	0.725	0.76	0.705	0.755	0.72	0.775	0.73	0.76	0.695	0.705	0.725	0.87	0.78
