	shannon
G1-11	1.8244294282950804
G1-12	0.7324295162176134
G1-13	1.918725267309268
G1-130	0.846444965589351
G1-131	1.8398157819006116
G1-132	1.3371270821683743
G1-135	1.474921329592101
G1-136	2.335260964832509
G1-138	1.7009239430071845
G1-139	1.90895205898512
G1-14	2.229169135295097
G1-140	1.579932758860949
G1-141	0.8875348972011516
G1-142	0.9211109030458349
G1-143	0.7375054280416843
G1-144	1.1163807355627309
G1-15	2.225795207733924
G1-175	1.5251031109598048
G1-176	0.32558901911758337
G1-177	1.5434616140638915
G1-178	1.5786714409417522
G1-180	0.1361351476101941
G1-182	0.3385177515715975
G1-187	2.2743301534914293
G1-188	1.7077391444979813
G1-189	1.7703987688154188
G1-190	2.2392274936133765
G1-192	0.7899409494429624
G1-193	1.6227438793424491
G2-1100	1.3983151972067902
G2-1101	1.401542778480484
G2-1102	1.6807438879243979
G2-1103	2.2193804798226187
G2-1104	1.2863843434640192
G2-1105	0.2640347668103987
G2-1106	0.3274449191544763
G2-1107	0.34698128810061335
G2-1108	0.24229218908241482
G2-1109	0.3664462644533775
G2-1110	0.16866093149667025
G2-1111	0.16866093149667025
G2-1113	0.24229218908241482
G2-194	1.9431541876240166
G2-197	2.0551404087001024
G2-198	1.4224014705524273
G2-199	1.4537438365333755
G2-21	1.045535934162311
G2-210	1.575074766291671
G2-211	1.9044412987842883
G2-212	1.7600786557043806
G2-213	0.8220267130445417
G2-214	0.8091934409447963
G2-215	0.646214912871911
G2-216	0.594588598471316
G2-217	0.7179350059663707
G2-218	0.6650252779512721
G2-219	0.8598443270912278
G2-22	1.0402515673686163
G2-220	1.3141858493185152
G2-221	2.2491577755314016
G2-222	1.6071643867058043
G2-223	1.4807968780768126
G2-224	0.47386224880503747
G2-23	0.994149171480893
G2-24	0.8341980958607491
G2-25	1.6399655086665303
G2-26	0.7118119902657297
G2-27	1.7965380775608275
G2-28	1.3775885412859807
G2-29	1.7028601479901688
G2-313	0.1867091338688543
G2-314	1.1347213266999006
G2-315	0.5158951529482093
G2-316	1.3540904075932052
G2-317	0.6824525411082055
G2-318	0.6949628976742457
G2-319	0.2640347668103987
G2-320	0.419556496238547
G2-321	0.46899559358928117
G2-322	0.5593467404273467
G2-323	1.3079892612714576
G2-324	1.4719485324555195
G2-325	2.21945603369791
G2-326	1.1375924968637436
G2-327	1.625428233269198
G2-328	2.1304274911068077
G2-329	2.2522382677158124
G2-330	1.9398768299737583
G2-413	1.6829108245244844
G2-414	1.957328750045449
G2-415	1.9679754999465986
G2-416	1.277860222828175
G3-417	1.5212332825519779
G3-418	1.8194036366095168
G3-419	1.1395958597316884
G3-420	1.2701629742336686
G3-421	1.767687443935811
G3-422	1.0035242622263016
G3-423	1.971630628758215
G3-424	1.6005970509674396
G3-425	1.9790804637883663
G3-426	1.7623672588333366
G3-427	1.5570528441567826
G3-428	1.749974288757343
G3-429	1.001410939534116
G3-430	1.4656936675809504
