	G1-11	G1-12	G1-13	G1-130	G1-131	G1-132	G1-135	G1-136	G1-138	G1-139	G1-14	G1-140	G1-141	G1-142	G1-143	G1-144	G1-15	G1-175	G1-176	G1-177	G1-178	G1-180	G1-182	G1-187	G1-188	G1-189	G1-190	G1-192	G1-193	G2-1100	G2-1101	G2-1102	G2-1103	G2-1104	G2-1105	G2-1106	G2-1107	G2-1108	G2-1109	G2-1110	G2-1111	G2-1113	G2-194	G2-197	G2-198	G2-199	G2-21	G2-210	G2-211	G2-212	G2-213	G2-214	G2-215	G2-216	G2-217	G2-218	G2-219	G2-22	G2-220	G2-221	G2-222	G2-223	G2-224	G2-23	G2-24	G2-25	G2-26	G2-27	G2-28	G2-29	G2-313	G2-314	G2-315	G2-316	G2-317	G2-318	G2-319	G2-320	G2-321	G2-322	G2-323	G2-324	G2-325	G2-326	G2-327	G2-328	G2-329	G2-330	G2-413	G2-414	G2-415	G2-416	G3-417	G3-418	G3-419	G3-420	G3-421	G3-422	G3-423	G3-424	G3-425	G3-426	G3-427	G3-428	G3-429	G3-430
G1-11	0.0	0.13019325938045537	0.06075938110913678	0.21185278059942267	0.06344504021703992	0.06344504021703992	0.0831153798213528	0.20535544864952196	0.06014598951224722	0.1526681932541144	0.06315610985927328	0.14800485982162426	0.1550977195763259	0.2668500887013109	0.2527826208045165	0.2668500887013109	0.1250969497439131	0.4869201390415526	0.35554760059068546	0.3089067788240036	0.14270000918361522	0.24253863890859284	0.37657390624800996	0.14800485982162426	0.21261340599350637	0.2563755554216747	0.57733662366807	0.21998533426725428	0.13024661379691937	0.14842226523559865	0.14842226523559865	0.14842226523559865	0.3520748472873837	0.33117994435365955	0.10977465801519055	0.1508589749095273	0.1508589749095273	0.1508589749095273	0.19660704691887793	0.1508589749095273	0.1508589749095273	0.1508589749095273	0.17336909240469087	0.10076930584463398	0.2875077715762926	0.14566323075426124	0.2990512581604181	0.3379270113442419	0.45022532850921154	0.27065808330738494	0.047512015098558256	0.2668500887013109	0.3159385982280058	0.2668500887013109	0.11689236132342497	0.1708687368666852	0.1016871075951991	0.3431317312365541	0.1016871075951991	0.32378391896838815	0.14800485982162426	0.14489492776794072	0.14530528232950718	0.3318473605063904	0.3318473605063904	0.30373448593550056	0.2229958822239464	0.17774288157626145	0.24176715488987283	0.10173821803544078	0.15395570407533032	0.23250162402480476	0.15395570407533032	0.14842226523559865	0.15395570407533032	0.15395570407533032	0.10977465801519055	0.1508589749095273	0.1508589749095273	0.10977465801519055	0.19398710270284641	0.1453366287345938	0.23788414228866006	0.24277159917870428	0.23788414228866006	0.23539655578679816	0.23788414228866006	0.24523519146692355	0.0037129326503740016	0.058119050728705275	0.06344504021703992	0.18254381720255292	0.08569285048554884	0.19697908864828162	0.18712673641879177	0.13756764479955347	0.30915533361404723	0.18301841832139162	0.14744202424484973	0.24462388182089764	0.23857963716029262	0.009346568676427096	0.16332373611645262	0.03774260313458777	0.13756764479955347	0.23973405140266932
G1-12	0.13019325938045537	0.0	0.17199605128478557	0.33419269224050363	0.17950824475403024	0.17950824475403024	0.19795457895919516	0.3032754598451516	0.18301841832139162	0.029470079159332453	0.17859862318832662	0.02337339915206084	0.03985135115997186	0.16479373516275084	0.15516182824390723	0.16479373516275084	0.22533854687677046	0.5494532721908988	0.3840727585735378	0.3273380806184737	0.1563592219756825	0.3524087372835686	0.39588406482111116	0.02337339915206084	0.10700888820733127	0.16197228799159713	0.5957326847363529	0.24207365011736656	0.012756134923450404	0.023458876808346275	0.023458876808346275	0.023458876808346275	0.37101759808045054	0.3545435565516453	0.12912872525766303	0.033941473254813	0.033941473254813	0.033941473254813	0.09271886027291867	0.033941473254813	0.033941473254813	0.033941473254813	0.2758098846963318	0.21821220577741643	0.19887777578990404	0.02030846400003475	0.32724944536518713	0.26252560613901155	0.47827161338755736	0.29596130045440455	0.16290136844979566	0.16479373516275084	0.3430899679762027	0.16479373516275084	0.136474361564859	0.2864812234157323	0.12059291117952017	0.2581909148584766	0.12059291117952017	0.24683911790677873	0.02337339915206084	0.027524592198392612	0.027623097492343766	0.2437674063899325	0.2437674063899325	0.32207354894596785	0.12658494978054852	0.07362568306028984	0.2788261888215111	0.13119044076679323	0.029777252570815507	0.1320328100036329	0.029777252570815507	0.023458876808346275	0.029777252570815507	0.029777252570815507	0.12912872525766303	0.033941473254813	0.033941473254813	0.12912872525766303	0.08976012636166611	0.03381743456901075	0.14941076290781075	0.15116034723601945	0.14941076290781075	0.15304969753163036	0.14941076290781075	0.14750140159082528	0.12648032673008136	0.17418225526569558	0.17950824475403024	0.07364045215813672	0.1958837616805871	0.09873701675425312	0.20242982363223763	0.16091076995560036	0.3889488225438375	0.0680748005104987	0.24521946214511367	0.14708257027884283	0.33293916874760504	0.13211396275613446	0.26700940595569517	0.15699099950793446	0.16091076995560036	0.15171940546119592
G1-13	0.06075938110913678	0.17199605128478557	0.0	0.16265076735523953	0.007966319868766144	0.007966319868766144	0.035688390240683085	0.15854925422042712	0.011476493436127527	0.19230338426983215	0.00797408262821215	0.18808530647687974	0.20094337724238126	0.30730931108470483	0.19910892259558546	0.30730931108470483	0.06818485875141865	0.47076467154640256	0.3856357059605005	0.2617984287737351	0.0838049730943423	0.2812561915790094	0.3962865329633116	0.18808530647687974	0.2467359216372583	0.2869112756924058	0.5704535066216456	0.2564967843771407	0.17687302643781644	0.1885858440535937	0.1885858440535937	0.1885858440535937	0.3733116577894351	0.2902018819536094	0.15715538076820704	0.19729589931469435	0.19729589931469435	0.19729589931469435	0.14346638815426505	0.19729589931469435	0.19729589931469435	0.19729589931469435	0.21064765163456453	0.05405993346155913	0.33155747392428986	0.18596814625364436	0.2472473755734983	0.28911800462523923	0.4709322778401908	0.22501421746396452	0.09865621714541237	0.30730931108470483	0.34844808445237174	0.30730931108470483	0.1635383075326051	0.2153892531537662	0.14949827640061206	0.2898654379621395	0.14949827640061206	0.3487299086345928	0.18808530647687974	0.19153638451508	0.1920459211883251	0.2776766427745822	0.2776766427745822	0.2562620161306378	0.17174438671954273	0.12226416122798767	0.2872075481062037	0.15422200475302467	0.1938358221799629	0.26498212330446663	0.1938358221799629	0.1885858440535937	0.1938358221799629	0.1938358221799629	0.15715538076820704	0.19729589931469435	0.19729589931469435	0.15715538076820704	0.14084869035431571	0.19676872990216993	0.18646322907182197	0.19264473000143192	0.18646322907182197	0.1897166626270706	0.18646322907182197	0.18938331507189138	0.0572492075417754	0.0026403303804315033	0.007966319868766144	0.12721169113913927	0.03320501407546156	0.14314694598442296	0.13139965967248568	0.08359467918749024	0.26460087821973965	0.12258269602869461	0.09204113535954192	0.18890730054823562	0.2702703246808112	0.06257519703011004	0.20150150644066928	0.088017958291583	0.08359467918749024	0.27551058558047464
G1-130	0.21185278059942267	0.33419269224050363	0.16265076735523953	0.0	0.15551270652673727	0.15551270652673727	0.18258098493273944	0.2913190037810433	0.15252198303074982	0.3504799866247078	0.16450259397330275	0.3470967455561534	0.3448305598817928	0.45432144326847756	0.34545007151908275	0.45432144326847756	0.21187316893972769	0.5517594455749345	0.2918528854441258	0.38205695439949855	0.2326686342118517	0.15937210237579122	0.5009243000589706	0.3470967455561534	0.3941474710252838	0.4199936085591688	0.6431824887788825	0.3808091320374171	0.3253238253295336	0.3480095486712098	0.3480095486712098	0.3480095486712098	0.4869291530640963	0.4020534024498279	0.29801123926038203	0.3422957794959931	0.3422957794959931	0.3422957794959931	0.28813548939522154	0.3422957794959931	0.3422957794959931	0.3422957794959931	0.33569618095373144	0.1893408128757834	0.2010819110189166	0.34539864613195104	0.11339441022481835	0.1533255173062462	0.557503147665322	0.3472448018533899	0.24041607650102662	0.45432144326847756	0.47516153373931286	0.45432144326847756	0.3033589999206995	0.3578533450489367	0.2990512581604181	0.15948057221005785	0.2990512581604181	0.4760110754141538	0.3470967455561534	0.344841596872906	0.3457516754525856	0.1423510283552959	0.1423510283552959	0.3774125748171277	0.31134775218204946	0.2704225357574768	0.15274943988247494	0.2903570288413839	0.344577527370298	0.40925138064221916	0.344577527370298	0.3480095486712098	0.344577527370298	0.344577527370298	0.29801123926038203	0.3422957794959931	0.3422957794959931	0.29801123926038203	0.28550170600791064	0.3370433548400923	0.3240497971157262	0.3292442289498964	0.3240497971157262	0.32183247849004515	0.3240497971157262	0.3314373143119335	0.21461931413615193	0.16001043697480805	0.15551270652673727	0.2750029304421608	0.18515845559693547	0.29584639499899845	0.2726293600647917	0.22750953830170859	0.3783336164249218	0.27572634118563677	0.23210059830754426	0.33061132835778556	0.38608238025627606	0.21041398733254904	0.32796388136733295	0.23195585571561103	0.22750953830170859	0.40655290129223914
G1-131	0.06344504021703992	0.17950824475403024	0.007966319868766144	0.15551270652673727	0.0	0.0	0.03830115754617647	0.16081508662581884	0.0035289688181917344	0.19957950441568273	0.010645379173902384	0.19541024798476678	0.19883893985527282	0.3054538566201468	0.1969636405108476	0.3054538566201468	0.06582199294516872	0.4699877654233025	0.38424403336101265	0.2602370893874018	0.08139870073598868	0.2794733123037849	0.39517812466430513	0.19541024798476678	0.2533920872230951	0.28524295830912466	0.5699070282594275	0.25480821533236203	0.1698111188027963	0.19592853729313606	0.19592853729313606	0.19592853729313606	0.378217629388661	0.28875307346099327	0.15497820199461354	0.19516523612656736	0.19516523612656736	0.19516523612656736	0.141192842230437	0.19516523612656736	0.19516523612656736	0.19516523612656736	0.2048583960910921	0.0466746654192496	0.3253238253295336	0.19331763475387725	0.24530291630037396	0.2827664268165156	0.46765462522942103	0.21942157721682537	0.09630722175697076	0.3054538566201468	0.34694567335608156	0.3054538566201468	0.1613940217243738	0.2133444761650943	0.1567437036027035	0.28798048736993626	0.1567437036027035	0.35427474741203885	0.19541024798476678	0.19885239063680857	0.19937963244142873	0.27572634118563677	0.27572634118563677	0.25467714409020925	0.16962516211425793	0.11490985001249418	0.28091297574884067	0.14734983348950034	0.1916959747121334	0.2714554247060086	0.1916959747121334	0.19592853729313606	0.1916959747121334	0.1916959747121334	0.15497820199461354	0.19516523612656736	0.19516523612656736	0.15497820199461354	0.1385681961262056	0.1899310335048575	0.17996797997787678	0.1906250707755213	0.17996797997787678	0.18323755357931398	0.17996797997787678	0.18735549717408406	0.05993486664967853	0.00532598948833464	0.0	0.1199033375878739	0.040869826396736024	0.1457528962178737	0.12923719180345578	0.07623960482584556	0.2631299425755269	0.1202136346588995	0.08979785432936788	0.186883273666652	0.2651683960935289	0.054901280805811754	0.19560318346284014	0.080685922239748	0.07623960482584556	0.26976347850647026
G1-132	0.06344504021703992	0.17950824475403024	0.007966319868766144	0.15551270652673727	0.0	0.0	0.03830115754617647	0.16081508662581884	0.0035289688181917344	0.19957950441568273	0.010645379173902384	0.19541024798476678	0.19883893985527282	0.3054538566201468	0.1969636405108476	0.3054538566201468	0.06582199294516872	0.4699877654233025	0.38424403336101265	0.2602370893874018	0.08139870073598868	0.2794733123037849	0.39517812466430513	0.19541024798476678	0.2533920872230951	0.28524295830912466	0.5699070282594275	0.25480821533236203	0.1698111188027963	0.19592853729313606	0.19592853729313606	0.19592853729313606	0.378217629388661	0.28875307346099327	0.15497820199461354	0.19516523612656736	0.19516523612656736	0.19516523612656736	0.141192842230437	0.19516523612656736	0.19516523612656736	0.19516523612656736	0.2048583960910921	0.0466746654192496	0.3253238253295336	0.19331763475387725	0.24530291630037396	0.2827664268165156	0.46765462522942103	0.21942157721682537	0.09630722175697076	0.3054538566201468	0.34694567335608156	0.3054538566201468	0.1613940217243738	0.2133444761650943	0.1567437036027035	0.28798048736993626	0.1567437036027035	0.35427474741203885	0.19541024798476678	0.19885239063680857	0.19937963244142873	0.27572634118563677	0.27572634118563677	0.25467714409020925	0.16962516211425793	0.11490985001249418	0.28091297574884067	0.14734983348950034	0.1916959747121334	0.2714554247060086	0.1916959747121334	0.19592853729313606	0.1916959747121334	0.1916959747121334	0.15497820199461354	0.19516523612656736	0.19516523612656736	0.15497820199461354	0.1385681961262056	0.1899310335048575	0.17996797997787678	0.1906250707755213	0.17996797997787678	0.18323755357931398	0.17996797997787678	0.18735549717408406	0.05993486664967853	0.00532598948833464	0.0	0.1199033375878739	0.040869826396736024	0.1457528962178737	0.12923719180345578	0.07623960482584556	0.2631299425755269	0.1202136346588995	0.08979785432936788	0.186883273666652	0.2651683960935289	0.054901280805811754	0.19560318346284014	0.080685922239748	0.07623960482584556	0.26976347850647026
G1-135	0.0831153798213528	0.19795457895919516	0.035688390240683085	0.18258098493273944	0.03830115754617647	0.03830115754617647	0.0	0.1379691956537928	0.0350057954430182	0.21710269526438952	0.03815086397835538	0.21312329770330327	0.21956308257615412	0.32371881028764615	0.21808163539022452	0.32371881028764615	0.09526662305724491	0.45449425144925487	0.36027101926519917	0.24263542392803877	0.06002233936849187	0.2970545624375261	0.37964690544578245	0.21312329770330327	0.2685544048253956	0.3067733036753893	0.558916366532252	0.23068323462282175	0.20262354652827674	0.2136739714161842	0.2136739714161842	0.2136739714161842	0.3561422375101672	0.26709335880991697	0.1274572601178006	0.21614381319555223	0.21614381319555223	0.21614381319555223	0.16357824722954045	0.21614381319555223	0.21614381319555223	0.21614381319555223	0.19010747497751154	0.024080448735100738	0.34746644184156233	0.21112634653372284	0.2178532173783708	0.305759255902504	0.4530803190323125	0.20494521925287973	0.06849465225720368	0.32371881028764615	0.334542426781006	0.32371881028764615	0.1340872178661391	0.18562504052943637	0.11977432135449785	0.3065397704561224	0.11977432135449785	0.3654616029638774	0.21312329770330327	0.21047132593217635	0.21101710731298706	0.29492133625977784	0.29492133625977784	0.23695531406724538	0.1905087481445003	0.14949682720992838	0.25752597529130133	0.12458009461194014	0.21878341334923498	0.28590839432135595	0.21878341334923498	0.2136739714161842	0.21878341334923498	0.21878341334923498	0.1274572601178006	0.21614381319555223	0.21614381319555223	0.1274572601178006	0.16102201434880287	0.2110460437002716	0.21013605586787618	0.21053754426852256	0.21013605586787618	0.2076230899702179	0.21013605586787618	0.21304724254892643	0.0862464523356095	0.03311972139012353	0.03830115754617647	0.14950850999846804	0.002584118257520706	0.16904226063616176	0.1088522602417585	0.05986348704808516	0.24647654827044815	0.14988605109958641	0.06966480179875174	0.21252673255623614	0.2512816227734965	0.09142788849166245	0.18072333285055756	0.06428676615217792	0.05986348704808516	0.29588529117375695
G1-136	0.20535544864952196	0.3032754598451516	0.15854925422042712	0.2913190037810433	0.16081508662581884	0.16081508662581884	0.1379691956537928	0.0	0.16377654401781325	0.3177099792995062	0.1517855218854962	0.3147024899785522	0.32500878726455956	0.416402796776707	0.32524314194028187	0.416402796776707	0.20830587018448876	0.3776277716194374	0.23936563589411933	0.21893177697652746	0.18396513995497363	0.38733556702223826	0.4189334059735951	0.3147024899785522	0.35696257046785307	0.2774610948581807	0.5335020463388601	0.11071841124708524	0.30331801564831623	0.31540336409568615	0.31540336409568615	0.31540336409568615	0.41911964196795976	0.2472230424652074	0.24612736170519137	0.3227521076276933	0.3227521076276933	0.3227521076276933	0.2773357170178681	0.3227521076276933	0.3227521076276933	0.3227521076276933	0.28031109993984504	0.1524798328808407	0.43382193280354076	0.31319479145183177	0.3242290244391123	0.39646627161154646	0.4264900722998308	0.29161581661477004	0.19615697730487036	0.416402796776707	0.4160092565624001	0.416402796776707	0.2510816622245613	0.29723470658077705	0.23948934037900343	0.4008537703616142	0.23948934037900343	0.4107695924399243	0.3147024899785522	0.3176153762772419	0.3183226589453597	0.39220047236866734	0.39220047236866734	0.3202951329829633	0.2972443436446621	0.2572456991543939	0.3560905175450715	0.23953129031126927	0.31983281277801967	0.37059773499442195	0.31983281277801967	0.31540336409568615	0.31983281277801967	0.31983281277801967	0.24612736170519137	0.3227521076276933	0.3227521076276933	0.24612736170519137	0.27512714437401364	0.31834765984173746	0.30360972267434955	0.31265997221930764	0.30360972267434955	0.30638632067473015	0.30360972267434955	0.30988337421892703	0.20239399125752755	0.15632166468037081	0.16081508662581884	0.2611205098314526	0.1401967851938491	0.2715504949465606	0.2208923098019908	0.17951427381269028	0.3242428284971983	0.26169655521344287	0.18598227439294668	0.30922662646104887	0.3287386458483539	0.20688741320297557	0.2463826807828846	0.18335021018217607	0.17951427381269028	0.3750973662070481
G1-138	0.06014598951224722	0.18301841832139162	0.011476493436127527	0.15252198303074982	0.0035289688181917344	0.0035289688181917344	0.0350057954430182	0.16377654401781325	0.0	0.20300381043066543	0.014136780780931588	0.19885239063680857	0.19607165734412615	0.3030137270918842	0.1941423553424894	0.3030137270918842	0.06913625618099259	0.46896889869709635	0.38241557468561777	0.2630014841090003	0.08483139051606448	0.2771296992567383	0.39757776752272744	0.19885239063680857	0.25658617580610826	0.28830078460244885	0.5715698301042873	0.25258964711839393	0.17334008762098807	0.19937963244142873	0.19937963244142873	0.19937963244142873	0.38068456335050266	0.28685053078265105	0.15211560030982332	0.19236333340225775	0.19236333340225775	0.19236333340225775	0.13820304330148622	0.19236333340225775	0.19236333340225775	0.19236333340225775	0.2078274297690067	0.04344517392522466	0.3229344822294485	0.19676872990216993	0.24274629924220545	0.2802694935416687	0.46653013217899086	0.22232220342069284	0.09321854805945222	0.3030137270918842	0.34497153478112147	0.3030137270918842	0.15857479608438618	0.21065581660736227	0.1539016907434458	0.28550170600791064	0.1539016907434458	0.3570372464717974	0.19885239063680857	0.196085201219318	0.19660704691887793	0.2731613502548295	0.2731613502548295	0.25746231561668165	0.16683891725341396	0.11843881883068591	0.2784360706227962	0.14446138989082521	0.19516523612656736	0.2745823565344904	0.19516523612656736	0.19937963244142873	0.19516523612656736	0.19516523612656736	0.15211560030982332	0.19236333340225775	0.19236333340225775	0.15211560030982332	0.1355692599141753	0.18711090874635694	0.18323755357931398	0.18797007918284034	0.18323755357931398	0.18055832872298908	0.18323755357931398	0.1906250707755213	0.06344504021703992	0.008836163055696025	0.0035289688181917344	0.12342293183275259	0.037583266107214235	0.1491588897784116	0.1324911155622848	0.07967229460592136	0.26574419951848444	0.12374260347709123	0.09302705635059157	0.19014481952121637	0.2679122341330289	0.05843024962400349	0.19860677581288866	0.0841186120198238	0.07967229460592136	0.2728675696026305
G1-139	0.1526681932541144	0.029470079159332453	0.19230338426983215	0.3504799866247078	0.19957950441568273	0.19957950441568273	0.21710269526438952	0.3177099792995062	0.20300381043066543	0.0	0.19858729187762264	0.0062425905683689935	0.016547626045022655	0.1779101554486149	0.16769914848861414	0.1779101554486149	0.24325467080396632	0.5514133067411019	0.39803668224369815	0.34088805234138786	0.1775643954412671	0.36365341463063444	0.4068356675855172	0.0062425905683689935	0.09085908829163847	0.1464167079930706	0.5833774502281079	0.25088128077461097	0.04167100811965138	0.01247248200454408	0.01247248200454408	0.01247248200454408	0.36184670246115785	0.3451357283015174	0.11832407302640618	0.022857050131908585	0.022857050131908585	0.022857050131908585	0.08178640465266343	0.022857050131908585	0.022857050131908585	0.022857050131908585	0.2658564239489538	0.2078625281833497	0.22234142796449136	0.009351530377310548	0.31545600820727815	0.2501729238158815	0.48649467479360864	0.31079091040571366	0.17418225170649093	0.1779101554486149	0.35019426213529303	0.1779101554486149	0.11517076310718459	0.29530919084228135	0.10986028316037194	0.24580436362528146	0.10986028316037194	0.22396943574821726	0.0062425905683689935	0.01036786941614226	0.016597760852317345	0.2647096067248759	0.2647096067248759	0.3124496242869697	0.11580538671669642	0.0991309798585304	0.2978961222985268	0.12042858875792677	0.01873177128413532	0.12135435786551826	0.01873177128413532	0.01247248200454408	0.01873177128413532	0.01873177128413532	0.11832407302640618	0.022857050131908585	0.022857050131908585	0.11832407302640618	0.07885367079326847	0.022768456472651008	0.13876839341370617	0.14044555053712837	0.13876839341370617	0.14237755591135576	0.13876839341370617	0.13681670402152157	0.1490511990773569	0.19438380184125179	0.19957950441568273	0.09914495485397232	0.2151296971105393	0.12274467353404238	0.221408286983443	0.18189058931242358	0.4001509857930258	0.09388242159136748	0.26223788865610204	0.13643041755735202	0.34626665568470494	0.15453926757171885	0.28306984620707015	0.17816481630278472	0.18189058931242358	0.17315549617151735
