	G1-11	G1-12	G1-13	G1-130	G1-131	G1-132	G1-135	G1-136	G1-138	G1-139	G1-14	G1-140	G1-141	G1-142	G1-143	G1-144	G1-15	G1-175	G1-176	G1-177	G1-178	G1-180	G1-182	G1-187	G1-188	G1-189	G1-190	G1-192	G1-193	G2-1100	G2-1101	G2-1102	G2-1103	G2-1104	G2-1105	G2-1106	G2-1107	G2-1108	G2-1109	G2-1110	G2-1111	G2-1113	G2-194	G2-197	G2-198	G2-199	G2-21	G2-210	G2-211	G2-212	G2-213	G2-214	G2-215	G2-216	G2-217	G2-218	G2-219	G2-22	G2-220	G2-221	G2-222	G2-223	G2-224	G2-23	G2-24	G2-25	G2-26	G2-27	G2-28	G2-29	G2-313	G2-314	G2-315	G2-316	G2-317	G2-318	G2-319	G2-320	G2-321	G2-322	G2-323	G2-324	G2-325	G2-326	G2-327	G2-328	G2-329	G2-330	G2-413	G2-414	G2-415	G2-416	G3-417	G3-418	G3-419	G3-420	G3-421	G3-422	G3-423	G3-424	G3-425	G3-426	G3-427	G3-428	G3-429	G3-430
G1-11	0.0	0.1586679925564914	0.09090930956679506	0.24284553040550907	0.164784061327662	0.22513998780194286	0.18748268062554702	0.08034271885496141	0.18782237177676797	0.10599296716293818	0.062405053664124306	0.09354577926737764	0.16870920339902934	0.1723462814651485	0.17085080819932788	0.17292902336494134	0.08198320740947009	0.18075248991276774	0.21008512809923052	0.0978722260303784	0.04412597238598598	0.21271327264299528	0.2090418407334015	0.04664652394819916	0.10124869847077954	0.04732339095940195	0.04561971357836795	0.16599971364644517	0.13359864053484063	0.07915684572807723	0.1102394093629546	0.06722532880089534	0.06365971592581532	0.18822943199923836	0.2218059426927406	0.21399208198870617	0.21219577782265203	0.2211772986529225	0.21725463436862502	0.22656621115108483	0.22656621115108483	0.2211772986529225	0.04804337328984906	0.1978896562685325	0.21627021689658843	0.11383982080566829	0.20958240142965165	0.21652592202903048	0.1946389687464372	0.20885761865335672	0.16701427793046394	0.17204645074340016	0.17113643876164356	0.1715633714017544	0.16713176746879363	0.1671512895768094	0.13909426417349818	0.20758555717324867	0.13270423436237988	0.061698286035865066	0.13601794410514054	0.07326308869022875	0.153150544360044	0.20823746171216234	0.2199228859642659	0.18395897266197267	0.24108199992643112	0.21268012728869473	0.21274159993408245	0.2058027586132306	0.2265882388111289	0.144029920971326	0.19966570398036151	0.10462488583286564	0.1874880726987762	0.18744401737868804	0.2218059426927406	0.2050105611584357	0.19962164866027335	0.19306507603587508	0.15825968455802217	0.1117951883586264	0.057153149626614864	0.057930788276433186	0.08960325279828449	0.09718032287453514	0.053046646110192205	0.15830964439381479	0.05324242680465525	0.07113033981400527	0.1199172833227761	0.1822100500941804	0.07411438082784669	0.06353980933194302	0.08438628492927372	0.05983613831089966	0.07130582235577185	0.07432341692035097	0.059373530575360746	0.05918635101360868	0.03233845719762685	0.02588913844302263	0.048344868069324594	0.043176338275298924	0.11961824567922848	0.07534097139420992
G1-12	0.1586679925564914	0.0	0.22430044039753025	0.27182621981145466	0.1454378573034859	0.25414289807900836	0.1158452950377307	0.09466035088537897	0.21683626336335246	0.22075140771409998	0.11787499788493923	0.2081705298707076	0.28291009448003596	0.286547172546155	0.28505169928033447	0.28712991444594793	0.152638344417028	0.09162296931738717	0.05714817968163492	0.21338725639837242	0.13437331874539404	0.056698051341562354	0.05451864546921366	0.1270214537810206	0.2154723794806139	0.13945805211713488	0.16039700254406872	0.2833552020015365	0.026262496178287242	0.10665559264202583	0.08031630449400044	0.118368364593098	0.12897489689085753	0.04761919191233631	0.06733852142965	0.058534460707396686	0.0567381565413426	0.06571967737161308	0.06179701308731557	0.07110858986977538	0.07110858986977538	0.06571967737161308	0.11487124673189515	0.049004730766582405	0.05781184444313538	0.0771612039357844	0.06894986609410982	0.058067549975577414	0.05059538970633262	0.05530619217090942	0.28382388514644086	0.2862473418244067	0.28632752986086896	0.285764262482761	0.28232285856801903	0.28495109681100517	0.25587715983118575	0.10570105783218763	0.2484969300018487	0.17774470707302584	0.2507763842063024	0.18779820461581503	0.26755197028779837	0.09798049914293255	0.140520718074957	0.043715438712373426	0.16167983203712216	0.05417770146515346	0.05725382653528579	0.04932478659621513	0.0710865623597313	0.050732061148690624	0.04416402752896389	0.08443397869681052	0.03198639624737863	0.03194234092729047	0.06733852142965	0.0495529398771262	0.04416402737896389	0.038597654772784415	0.030624694650347416	0.07128068285493441	0.15380002567909665	0.1271233980889811	0.20392565049215317	0.12876212185678648	0.1551321442754084	0.06436526224547537	0.1692501855641913	0.1876728581648688	0.1268000576077609	0.13114585766642708	0.1903778501900637	0.13889004924614837	0.20052352087662972	0.17607265999999788	0.20193417460672383	0.18848025283126937	0.1605012227108144	0.1699440481665681	0.17229068058067323	0.15055128347485808	0.16707849523434354	0.15869848619987223	0.2358216935077576	0.18966336908807852
G1-13	0.09090930956679506	0.22430044039753025	0.0	0.16695333801326626	0.14528796770837168	0.14799262835098317	0.21415540804656938	0.13489103243593709	0.12765646462404165	0.14642799944095178	0.11651914287196785	0.14444330962111937	0.19189371859221513	0.1955307966583342	0.19334994321814378	0.19611353855812705	0.11199065167981903	0.2198610899484226	0.27576163111035745	0.14085785993653224	0.13369446083401137	0.2783897756541223	0.27467428857444026	0.13710092711734218	0.14641846349168924	0.13737728344779127	0.1347825141775333	0.18918422883963093	0.1993305024376915	0.1434800121133881	0.17456257574826547	0.14293256100994986	0.12798288231112623	0.25080203373357435	0.2857493047758163	0.2779354440717818	0.27613913990572775	0.2851206607359981	0.279827236102961	0.2905095732341605	0.2905095732341605	0.2851206607359981	0.12701259115031266	0.2595532922952527	0.28204613396952743	0.17816298719097912	0.2636074414764921	0.2816164589275996	0.2604148858193763	0.27317466503737975	0.19019879312364973	0.19523096593658587	0.1943209539548293	0.1947478865949401	0.19031628266197942	0.19033580476999512	0.1627466940090955	0.261610597220089	0.15875841535772459	0.14772610732960526	0.1619840143603089	0.14221327293441607	0.17640190450214568	0.26226250175900273	0.2581035725916873	0.23789590236863667	0.2525441293295146	0.2667605262272589	0.27851751700702143	0.2715786756861696	0.2904875457241164	0.20788517271422535	0.2635209557232609	0.16854698252468087	0.2513433244416756	0.25129926912158745	0.2857493047758163	0.2689539232415113	0.26356501074334904	0.2570084381189507	0.2217843036787359	0.176071271776521	0.12237763373439042	0.142059559228669	0.1276975412986981	0.13945769657737156	0.12518169729238682	0.21051343317242746	0.13754074549682815	0.13923986916021727	0.1488699504825406	0.19281662345777567	0.12028227812837705	0.11619978118316736	0.13933286670947764	0.13649392458654364	0.12371061309267442	0.14035187765183074	0.13875768388655824	0.1250628968976179	0.11217175245938693	0.11624242257722983	0.13415692892200604	0.1335296217595062	0.1487337151998063	0.1416051302819859
G1-130	0.24284553040550907	0.27182621981145466	0.16695333801326626	0.0	0.1309311811819	0.021595733451580112	0.24909145721654113	0.25142387293559065	0.07431315341287284	0.29848546859044617	0.25771746267306594	0.2965007788206139	0.34754769337083646	0.3511847714369556	0.3490039179967652	0.35176751333674844	0.2663132683642155	0.21218613497966612	0.26049729872577193	0.2926479493403628	0.28548454848784194	0.26312544326953674	0.2632487001178574	0.28915839041683655	0.2986423951152746	0.2891673728016218	0.28657260353136405	0.34483820361825235	0.27511654698196997	0.29390677292093303	0.29273447978853684	0.29525666457145217	0.2765122961147139	0.2680591940282704	0.28403302053093954	0.2857058820966914	0.2858069223845946	0.2853017209450787	0.28380298521995617	0.2849986000813692	0.2849986000813692	0.2853017209450787	0.27873646867297014	0.25439485047365024	0.2667155897037688	0.292540201823336	0.2565676711843442	0.2662859146618411	0.254571063823404	0.261726919719712	0.34585276790227115	0.35088494071520726	0.34997492873345065	0.3504018613735615	0.3459702574406007	0.3459897795486165	0.3186680485833806	0.25457082692794125	0.3122780187722623	0.30005021349110755	0.3155917281150229	0.2941826317437341	0.3323232590764309	0.25522273146685487	0.2510638022995395	0.25560971836810975	0.2570317544610906	0.2615959435279834	0.26318697274126285	0.26573485369019734	0.2850206275914133	0.2898738424814767	0.28655825942000496	0.2924109195768241	0.2876620366161205	0.28761798159603236	0.28403302053093954	0.2862110835362072	0.2865142043999168	0.28564966513739026	0.2843110939063985	0.28792920947546957	0.2823260735494856	0.29402817525433117	0.2879126178758011	0.27678320032781006	0.28513013690748196	0.28541421900262653	0.2894651578662334	0.29123112647853844	0.25952050670531585	0.2759862838306544	0.28047619908013266	0.27630470047492217	0.2911229561133083	0.2882178021092011	0.27550070249650493	0.2921419670556615	0.29054777329038883	0.2850775483938862	0.26389562998204436	0.2679663000998873	0.28588080644466357	0.2852534992821637	0.2977713555766658	0.2933290078046435
G1-131	0.164784061327662	0.1454378573034859	0.14528796770837168	0.1309311811819	0.0	0.1113209032744535	0.16866966911744868	0.12075766759845284	0.08694129510795923	0.27073297317051204	0.1427963250136048	0.25815209552711965	0.33275797028861615	0.33639504835473527	0.3342141949145447	0.3369777902545281	0.18361742549027968	0.0896365167997001	0.145537057961635	0.2603291052635432	0.1825456146613856	0.1481652025053998	0.14444971542571783	0.1770030191374326	0.26545394508702597	0.18912193035628663	0.20247032762962594	0.3300484805360318	0.14829764684628882	0.1698848136820344	0.16871252054963812	0.1739540163389206	0.1629292650863403	0.14408128995945985	0.16005511646212908	0.16172797802788094	0.1618290183157841	0.16132381687626826	0.15982508115114566	0.16291804031651605	0.16291804031651605	0.16132381687626826	0.158749176742208	0.12883196963764476	0.1513248113119194	0.16851824258443737	0.1374951493739883	0.1508951362699917	0.12969356316176825	0.14249739754985993	0.33106304482005067	0.33609521763298694	0.33518520565123033	0.3356121382913412	0.3311805343583804	0.3312000564663961	0.3038783255011602	0.1355316346565863	0.2974882956900419	0.2264382921934389	0.3007579498627144	0.23777976997222705	0.3175335359942104	0.13615020965649904	0.17035129364935564	0.12510907556392206	0.1915104076115208	0.1401514846158697	0.14779619434941346	0.14085735302856162	0.16289601280647198	0.16585188324257802	0.1625363001811063	0.16838896033792544	0.16364007737722194	0.1635960223571338	0.16005511646212908	0.1622331794673968	0.16253630033110628	0.16167176106857983	0.16033318958758797	0.16388502936545105	0.19554582233958528	0.17678055861202047	0.24603570873914613	0.18035669476549562	0.19697735499770902	0.15727997871750898	0.21705033792382813	0.234853842231309	0.17655292345938478	0.2046934876595583	0.23021151784343752	0.18120007343218122	0.24770561647440248	0.22312239599545933	0.23462515390090063	0.2376427484654797	0.20537942201746584	0.21225274205708042	0.19597890733062107	0.18041406865239623	0.21215100830533887	0.20378930638727596	0.2829375772243573	0.23911397360962006
G1-132	0.22513998780194286	0.25414289807900836	0.14799262835098317	0.021595733451580112	0.1113209032744535	0.0	0.22802528978233394	0.23014808854834512	0.053114433896249584	0.2807140364178235	0.2363423925440782	0.27872934674799116	0.3348213056769459	0.33845838374306486	0.3362775303028745	0.3390411256428577	0.24511493541974377	0.2002389017291797	0.2561394428911147	0.2748765172677401	0.26771311641521933	0.2587675874348795	0.25505210035519743	0.2713869581442138	0.2809042920316528	0.2713959405289991	0.2688011712587412	0.3321118159243616	0.2570358256424153	0.27616866948731134	0.27499637635491514	0.27751856113783036	0.2587741926810922	0.25045325615491315	0.26642708260758236	0.26809994417333427	0.2682009844612374	0.2676957830217215	0.266197047296599	0.27118735076592654	0.27118735076592654	0.2676957830217215	0.2605676369932391	0.23946749273772847	0.26196033426200316	0.27480209838971437	0.2487829144778378	0.2615306592200754	0.24032908626185193	0.2530888653298555	0.3331263802083804	0.33815855302131653	0.3372485410395599	0.3376754736796707	0.33324386974671016	0.3332633918547258	0.3059416608894899	0.2467860702214348	0.2995516310783716	0.2823121103074857	0.3027331749108678	0.2765433649813758	0.31959687138254006	0.2474379747603486	0.24327904559303323	0.23441138602363795	0.24442423769119562	0.2514723877403232	0.25843171729949715	0.2514928761286453	0.2711653231058824	0.2721357390478551	0.2688642111564715	0.2746728161432024	0.2699239331824989	0.2698798781624107	0.26642708260758236	0.2686051456128501	0.2689082664765597	0.2680437272140331	0.2667051568830413	0.2702569962609044	0.2607743959679936	0.276422237330974	0.26668133752912243	0.25565101168082677	0.2636006803971098	0.2642492146971558	0.27129632618650235	0.27309536865937656	0.23832217376084416	0.25562186324509933	0.2594100316459254	0.2551944778706269	0.2733515240406855	0.27044637003657845	0.2577292704238824	0.27437053498303865	0.27277634121776617	0.2638792154494145	0.24575987216288236	0.2497974684201562	0.2678776007079175	0.2671177414630017	0.2849128032725107	0.2752926640472934
G1-135	0.18748268062554702	0.1158452950377307	0.21415540804656938	0.24909145721654113	0.16866966911744868	0.22802528978233394	0.0	0.13501559450055514	0.17491085588608435	0.22958841291481885	0.13225826161850576	0.22261162111083704	0.2919704243063304	0.2956075023724495	0.2934266489322591	0.2961902442722424	0.1187876835286571	0.15404404581604272	0.14269852026120491	0.22006938426636455	0.18231373459221262	0.1449408195711538	0.1409192440176622	0.18185768411205852	0.22725989281902897	0.18770635820307388	0.19383064930614666	0.28891079090984845	0.1295659499616622	0.17473579311651355	0.16200642820705666	0.1808444790281751	0.1789446141117007	0.13013113333908355	0.15258346818996882	0.14511975112983205	0.14332344696377797	0.15230496779404848	0.1470115431610113	0.1576938802922108	0.1576938802922108	0.15230496779404848	0.16818677109153823	0.12974800234179587	0.14863018758709315	0.16045249473867224	0.10719079599542215	0.14820051254516536	0.1361125876152987	0.13949668535122398	0.28992535519386725	0.2953076716507012	0.2941530006511731	0.2948245923090554	0.29004284473219694	0.2900623668402127	0.2623395661814811	0.07058970649005689	0.25594953637036283	0.21047982149399225	0.25961338940702117	0.21203555249785275	0.27641176526734507	0.07809541277266865	0.044465136107451626	0.10863453011809937	0.05394946294478183	0.12927635396869389	0.1447514269806894	0.13781258565983753	0.15771590795225487	0.14710007161589486	0.13079337322148743	0.16378919619903523	0.1281024633596885	0.12805840803960034	0.15258346818996882	0.1361382303495616	0.13074931800139927	0.12573994628706048	0.13426910697225158	0.15556274433270956	0.15155401068530125	0.18341619816250881	0.1903793517137281	0.11156773659200463	0.17076277804594897	0.12370966450863691	0.20081955713288915	0.20918326841436435	0.0685391842074126	0.04837615957665172	0.1689304233648659	0.13206869146875966	0.2144654245297591	0.20214190358507406	0.21109502656654638	0.21107578485486744	0.18873661489794308	0.18081948872007889	0.19522926535916552	0.18468088561316623	0.19640576916257754	0.19237932324211854	0.24187701662883102	0.2129111423654424
G1-136	0.08034271885496141	0.09466035088537897	0.13489103243593709	0.25142387293559065	0.12075766759845284	0.23014808854834512	0.13501559450055514	0.0	0.18749070788000707	0.1660908936731091	0.03347701088155891	0.15397793067212823	0.22918540997386813	0.23282248803998726	0.23064163459979684	0.23340522993978016	0.07524720395494304	0.12471451859634479	0.14376058187375562	0.1552348586752978	0.07862291040273993	0.14874968614197098	0.14432785720439673	0.07296254588027297	0.1616808498755301	0.08437782751193905	0.09737608114138059	0.2241149604968334	0.06945864006141675	0.06160208349002452	0.05534814961433843	0.06704231991252675	0.058423201129467514	0.12233995815700573	0.15845877182884718	0.15099505476871045	0.14919875060265642	0.15818027143292684	0.15288684679988968	0.1635691839310891	0.1635691839310891	0.15818027143292684	0.054290864908408634	0.12933128547508038	0.15217427079325277	0.05505333708094231	0.13293182814607313	0.15174459575132515	0.12920533358903266	0.14299671338729558	0.22714034086140494	0.23252265731823898	0.23136798631871086	0.23203957797659316	0.22725783039973463	0.22727735250775044	0.19922032710443915	0.13298628359040246	0.19139286304680678	0.12170739427770522	0.19501266086337715	0.13373929511506755	0.2136267509348828	0.1319370320724816	0.16780594348317182	0.10716137306801068	0.18896505744533698	0.1362032828766145	0.14829551018684908	0.14135666886599726	0.16354715642104503	0.08098883878124218	0.13662462159027772	0.05676255887443997	0.12444699030869245	0.12440293498860429	0.15845877182884718	0.14201353393843996	0.1366246214402777	0.12971790517198165	0.09457727766365673	0.05259285184654528	0.08744057664901086	0.07271333340844352	0.13766548720380956	0.06586802346583279	0.0887726952453226	0.08293171886507449	0.11354221860709458	0.12994261205508362	0.0677562865715938	0.13004905244299814	0.12122377286853946	0.07262931705009684	0.14378291251575676	0.1191996920368137	0.13150865269104528	0.13407018815073177	0.10145671805882009	0.10388252052174379	0.09408450817317762	0.07710648418241046	0.10793831801387169	0.10009850441282331	0.17901487326571147	0.13564076319664922
G1-138	0.18782237177676797	0.21683626336335246	0.12765646462404165	0.07431315341287284	0.08694129510795923	0.053114433896249584	0.17491085588608435	0.18749070788000707	0.0	0.26198417984132644	0.1848412173300708	0.2551073774043475	0.3191616192198476	0.3227986972859666	0.3206178438457761	0.3233814391857595	0.19213266703375864	0.17616962347113654	0.2320701646330715	0.25261420342728025	0.23049459203973982	0.23469830917683632	0.23102687726724247	0.2341684340687343	0.25945512489878864	0.2341774164535196	0.2315826471832617	0.31645212946726325	0.22006018617259	0.23908346436783584	0.23791117123543953	0.2404333560183548	0.22168898756161667	0.21323588547517305	0.2424911231555432	0.23467726245150872	0.2328809582854546	0.2418624791157251	0.23656905448268792	0.2472513916138874	0.2472513916138874	0.2418624791157251	0.2236801078635901	0.21572920957551583	0.23822205124979054	0.23771689327023873	0.20894989220928908	0.2377923762078628	0.21659080309963938	0.2294386926578191	0.317466693751282	0.3224988665642183	0.32158885458246167	0.3220157872225725	0.3175841832896118	0.3176037053976275	0.2902819744323916	0.20695304795288613	0.2838919446212733	0.24522690493801017	0.28720565396403397	0.24463129740836634	0.30393718492544186	0.20760495249179986	0.2034460233244845	0.19360716605715722	0.207926869558314	0.2188682176313913	0.2346934342872846	0.22775459296643275	0.24727341927393146	0.23505053392837943	0.23173495086690762	0.23758761102372689	0.2328387291130233	0.23279467379293511	0.2424911231555432	0.23138777498311003	0.23169089584681948	0.2308263565842931	0.2294877851533012	0.23303962488116434	0.2080790680077509	0.23920486670123392	0.21747119672546827	0.20276911857228833	0.21910769330818505	0.2175686871365029	0.23440879705685336	0.24161338768189278	0.18537297923542811	0.20597524899478145	0.20629559774967593	0.20219024686560363	0.2470102436906748	0.2346536488854207	0.23274764557705524	0.2432704603718854	0.23555781684228652	0.22049226950460668	0.2094428973731432	0.21290993929050728	0.2308244456352835	0.23019713847278356	0.26938528132567685	0.24494019193947522
G1-139	0.10599296716293818	0.22075140771409998	0.14642799944095178	0.29848546859044617	0.27073297317051204	0.2807140364178235	0.22958841291481885	0.1660908936731091	0.26198417984132644	0.0	0.1424577075889499	0.012580879343392394	0.06642773927780682	0.07027966975056922	0.0687841964847486	0.07086241165036208	0.13216176323131354	0.27080532641139105	0.2778995873957349	0.015697979396908555	0.08888994406372944	0.2774157420166211	0.27527005318331366	0.09759248605628758	0.00890299880666216	0.08598523003723958	0.09267952679622249	0.06708769920595072	0.19584761722539942	0.1371921722373659	0.16818662553206695	0.12464388292894975	0.13706141239471092	0.2608220014079509	0.2813419146451804	0.2725378539229271	0.2707415497568731	0.27972307058714346	0.27580040630284597	0.2851119830853058	0.2851119830853058	0.27972307058714346	0.11598216701510432	0.26757428032524816	0.2785632487572354	0.17174298180469252	0.2726160097605694	0.27795954426310415	0.2713467925204327	0.2760135402649213	0.06755638235085502	0.0699798390288209	0.07006002706528311	0.06949675968717513	0.06562565095914658	0.06868359401541928	0.03692619504696983	0.26949817509430213	0.02921174047305308	0.07626643056729593	0.03136988462637256	0.03369257601932272	0.049002075197078054	0.2703649320398591	0.2662060028725438	0.2534511991137065	0.27320850910343086	0.2749291039792536	0.27800523184938575	0.26921678088374185	0.2850899555752617	0.2019589205243127	0.2581233655744062	0.16242171987558787	0.24515274123123404	0.24519679625132218	0.2813419146451804	0.26355633309265664	0.2581674205944944	0.2526010479883149	0.21680545669224313	0.17044037435465936	0.10247942228447993	0.11647655976065416	0.04991748114673106	0.14574438737494072	0.08923989769044736	0.21606242326644895	0.05391434510077229	0.03634704558161465	0.1646465020973231	0.2152406214256608	0.06559518206727954	0.11488163656537562	0.024432729119065934	0.048310865312848186	0.04702392288916914	0.03309022705503232	0.09808430935729145	0.06632314363288573	0.07898731843089465	0.09035204253871981	0.06086856442608989	0.06742636250954986	0.019312471189601253	0.03332775050116235
