	G1-11	G1-12	G1-13	G1-130	G1-131	G1-132	G1-135	G1-136	G1-138	G1-139	G1-14	G1-140	G1-141	G1-142	G1-143	G1-144	G1-15	G1-175	G1-176	G1-177	G1-178	G1-180	G1-182	G1-187	G1-188	G1-189	G1-190	G1-192	G1-193	G2-1100	G2-1101	G2-1102	G2-1103	G2-1104	G2-1105	G2-1106	G2-1107	G2-1108	G2-1109	G2-1110	G2-1111	G2-1113	G2-194	G2-197	G2-198	G2-199	G2-21	G2-210	G2-211	G2-212	G2-213	G2-214	G2-215	G2-216	G2-217	G2-218	G2-219	G2-22	G2-220	G2-221	G2-222	G2-223	G2-224	G2-23	G2-24	G2-25	G2-26	G2-27	G2-28	G2-29	G2-313	G2-314	G2-315	G2-316	G2-317	G2-318	G2-319	G2-320	G2-321	G2-322	G2-323	G2-324	G2-325	G2-326	G2-327	G2-328	G2-329	G2-330	G2-413	G2-414	G2-415	G2-416	G3-417	G3-418	G3-419	G3-420	G3-421	G3-422	G3-423	G3-424	G3-425	G3-426	G3-427	G3-428	G3-429	G3-430
G1-11	0.0	0.475	0.365	0.77	0.565	0.775	0.375	0.325	0.705	0.345	0.355	0.35	0.55	0.555	0.555	0.555	0.26	0.625	0.63	0.375	0.2	0.63	0.63	0.38	0.455	0.285	0.415	0.55	0.365	0.63	0.795	0.76	0.725	0.815	0.96	0.94	0.925	0.95	0.955	0.965	0.905	0.94	0.19	0.52	0.565	0.795	0.63	0.565	0.56	0.555	0.545	0.555	0.55	0.545	0.55	0.565	0.53	0.635	0.51	0.505	0.515	0.4	0.54	0.635	0.63	0.625	0.55	0.56	0.56	0.56	0.97	0.805	0.87	0.745	0.945	0.915	0.975	0.915	0.86	0.855	0.665	0.565	0.435	0.575	0.43	0.46	0.42	0.85	0.65	0.315	0.175	0.61	0.325	0.16	0.585	0.275	0.335	0.325	0.45	0.51	0.205	0.185	0.275	0.305	0.385	0.325
G1-12	0.475	0.0	0.76	0.92	0.735	0.925	0.48	0.335	0.865	0.67	0.55	0.66	0.845	0.85	0.85	0.85	0.61	0.33	0.155	0.675	0.415	0.155	0.155	0.485	0.735	0.575	0.715	0.845	0.22	0.85	0.85	0.85	0.835	0.82	0.96	0.94	0.925	0.95	0.955	0.965	0.905	0.945	0.395	0.4	0.37	0.85	0.155	0.425	0.495	0.41	0.84	0.85	0.845	0.845	0.845	0.845	0.83	0.16	0.81	0.81	0.81	0.7	0.835	0.16	0.155	0.275	0.565	0.525	0.45	0.505	0.975	0.85	0.875	0.85	0.95	0.92	0.975	0.915	0.86	0.855	0.705	0.785	0.76	0.85	0.755	0.785	0.745	0.855	0.77	0.685	0.54	0.7	0.645	0.375	0.765	0.585	0.635	0.625	0.755	0.715	0.62	0.605	0.61	0.66	0.715	0.67
G1-13	0.365	0.76	0.0	0.48	0.625	0.48	0.665	0.615	0.485	0.43	0.61	0.46	0.59	0.595	0.595	0.595	0.435	0.91	0.915	0.505	0.51	0.915	0.915	0.65	0.515	0.505	0.505	0.595	0.7	0.625	0.755	0.72	0.69	0.825	0.96	0.945	0.925	0.95	0.955	0.965	0.905	0.94	0.52	0.855	0.895	0.755	0.915	0.895	0.895	0.89	0.585	0.595	0.595	0.59	0.595	0.595	0.56	0.915	0.505	0.525	0.495	0.48	0.57	0.915	0.915	0.91	0.835	0.895	0.895	0.89	0.97	0.805	0.875	0.745	0.945	0.915	0.975	0.92	0.86	0.855	0.75	0.585	0.515	0.61	0.515	0.53	0.515	0.85	0.7	0.435	0.465	0.675	0.48	0.465	0.6	0.5	0.505	0.505	0.49	0.57	0.425	0.425	0.495	0.485	0.5	0.5
G1-130	0.77	0.92	0.48	0.0	0.595	0.02	0.89	0.835	0.515	0.905	0.845	0.91	0.985	0.99	0.99	0.99	0.84	0.925	0.93	0.91	0.91	0.93	0.93	0.91	0.915	0.91	0.905	0.99	0.85	0.985	0.985	0.985	0.975	0.92	0.995	0.995	0.995	0.995	0.995	0.995	0.995	0.99	0.835	0.845	0.865	0.985	0.93	0.865	0.865	0.86	0.98	0.99	0.99	0.985	0.99	0.985	0.98	0.93	0.96	0.945	0.945	0.925	0.98	0.93	0.93	0.92	0.91	0.865	0.865	0.86	0.985	0.985	0.985	0.985	0.985	0.985	0.995	0.995	0.995	0.995	0.905	0.905	0.865	0.995	0.87	0.855	0.87	0.985	0.865	0.86	0.845	0.9	0.91	0.895	0.91	0.9	0.91	0.91	0.895	0.915	0.775	0.775	0.855	0.84	0.88	0.85
G1-131	0.565	0.735	0.625	0.595	0.0	0.61	0.335	0.625	0.2	0.795	0.285	0.8	0.945	0.945	0.59	0.8	0.595	0.74	0.745	0.785	0.73	0.745	0.745	0.72	0.885	0.725	0.835	0.615	0.64	0.995	0.995	0.995	0.985	0.895	0.995	0.995	0.995	0.995	0.995	0.995	0.995	0.995	0.625	0.63	0.63	0.995	0.745	0.605	0.57	0.625	0.955	0.915	0.94	0.94	0.96	0.98	0.98	0.745	0.96	0.955	0.955	0.845	0.98	0.745	0.745	0.745	0.725	0.62	0.555	0.555	0.995	0.995	0.995	0.995	0.995	0.995	0.995	0.995	0.995	0.995	0.82	0.9	0.845	0.995	0.845	0.855	0.835	0.995	0.465	0.635	0.635	0.835	0.76	0.665	0.51	0.65	0.575	0.71	0.73	0.455	0.605	0.575	0.64	0.695	0.81	0.68
G1-132	0.775	0.925	0.48	0.02	0.61	0.0	0.89	0.84	0.515	0.905	0.85	0.91	0.985	0.99	0.99	0.99	0.84	0.925	0.93	0.91	0.91	0.93	0.93	0.91	0.92	0.91	0.905	0.99	0.865	0.99	0.99	0.99	0.98	0.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.995	0.85	0.86	0.875	0.99	0.93	0.875	0.875	0.87	0.98	0.99	0.99	0.985	0.99	0.985	0.985	0.93	0.965	0.95	0.95	0.93	0.985	0.93	0.93	0.92	0.915	0.875	0.875	0.875	0.99	0.99	0.99	0.99	0.99	0.99	1.0	1.0	1.0	1.0	0.915	0.915	0.875	1.0	0.88	0.875	0.88	0.99	0.87	0.865	0.845	0.905	0.91	0.895	0.91	0.9	0.91	0.91	0.895	0.915	0.79	0.79	0.865	0.855	0.88	0.865
G1-135	0.375	0.48	0.665	0.89	0.335	0.89	0.0	0.355	0.46	0.58	0.125	0.585	0.775	0.775	0.445	0.63	0.48	0.63	0.635	0.605	0.445	0.635	0.635	0.4	0.705	0.535	0.66	0.445	0.41	0.785	0.785	0.78	0.77	0.82	0.96	0.945	0.925	0.95	0.955	0.965	0.905	0.94	0.4	0.56	0.575	0.785	0.635	0.55	0.515	0.565	0.785	0.745	0.77	0.77	0.79	0.81	0.775	0.635	0.75	0.74	0.74	0.635	0.785	0.63	0.63	0.63	0.555	0.565	0.5	0.5	0.97	0.81	0.875	0.81	0.945	0.915	0.975	0.92	0.86	0.855	0.68	0.745	0.71	0.825	0.705	0.735	0.695	0.85	0.345	0.46	0.445	0.655	0.57	0.345	0.36	0.47	0.4	0.535	0.56	0.305	0.545	0.52	0.5	0.57	0.65	0.56
G1-136	0.325	0.335	0.615	0.835	0.625	0.84	0.355	0.0	0.775	0.515	0.42	0.56	0.78	0.785	0.785	0.785	0.5	0.485	0.49	0.595	0.36	0.49	0.49	0.385	0.69	0.52	0.645	0.785	0.205	0.77	0.665	0.655	0.695	0.82	0.96	0.945	0.925	0.95	0.955	0.965	0.905	0.94	0.25	0.365	0.395	0.67	0.49	0.395	0.41	0.39	0.78	0.785	0.785	0.78	0.785	0.805	0.77	0.49	0.635	0.725	0.615	0.625	0.78	0.49	0.49	0.475	0.555	0.44	0.395	0.415	0.96	0.795	0.865	0.795	0.935	0.905	0.975	0.92	0.86	0.855	0.66	0.72	0.655	0.82	0.65	0.68	0.64	0.84	0.64	0.48	0.41	0.645	0.565	0.25	0.695	0.5	0.56	0.545	0.665	0.645	0.48	0.445	0.485	0.51	0.62	0.53
G1-138	0.705	0.865	0.485	0.515	0.2	0.515	0.46	0.775	0.0	0.84	0.43	0.855	0.915	0.915	0.53	0.77	0.705	0.9	0.905	0.83	0.855	0.905	0.905	0.845	0.865	0.85	0.84	0.585	0.805	0.96	0.96	0.96	0.95	0.865	0.965	0.965	0.965	0.965	0.965	0.965	0.965	0.96	0.79	0.81	0.83	0.96	0.905	0.805	0.77	0.82	0.925	0.885	0.91	0.91	0.93	0.95	0.95	0.905	0.93	0.92	0.92	0.87	0.95	0.905	0.905	0.9	0.855	0.82	0.755	0.755	0.97	0.96	0.96	0.96	0.96	0.96	0.975	0.965	0.965	0.965	0.86	0.885	0.835	0.965	0.835	0.86	0.835	0.96	0.39	0.69	0.76	0.85	0.83	0.79	0.415	0.775	0.655	0.805	0.695	0.4	0.735	0.73	0.77	0.79	0.81	0.77
G1-139	0.345	0.67	0.43	0.905	0.795	0.905	0.58	0.515	0.84	0.0	0.56	0.125	0.485	0.49	0.5	0.49	0.305	0.82	0.825	0.18	0.26	0.825	0.825	0.34	0.215	0.215	0.225	0.49	0.6	0.54	0.675	0.54	0.535	0.775	0.915	0.9	0.88	0.905	0.91	0.92	0.86	0.895	0.425	0.73	0.805	0.685	0.78	0.785	0.805	0.8	0.48	0.49	0.49	0.49	0.49	0.49	0.41	0.82	0.34	0.31	0.385	0.235	0.425	0.825	0.825	0.735	0.71	0.805	0.8	0.785	0.91	0.72	0.82	0.655	0.845	0.81	0.93	0.875	0.815	0.81	0.645	0.545	0.35	0.48	0.34	0.385	0.335	0.72	0.695	0.19	0.255	0.485	0.29	0.35	0.59	0.295	0.28	0.295	0.425	0.515	0.265	0.305	0.28	0.255	0.33	0.255
