	shannon
G1-11	2.0049582990586665
G1-12	0.7299023103470682
G1-13	1.7915318563354174
G1-130	0.909359049513646
G1-131	1.9111547285073847
G1-132	0.8250646157924736
G1-135	1.972733242709587
G1-136	2.181073161197897
G1-138	1.753839061277622
G1-139	2.1851741502061235
G1-14	1.984896174546048
G1-140	1.9100650716092977
G1-141	1.1657103374815199
G1-142	1.1786013567883276
G1-143	1.3998651870552017
G1-144	1.6828476920231952
G1-15	2.385269023630054
G1-175	1.553623808022481
G1-176	0.16866093149667025
G1-177	1.761469864207609
G1-178	1.4873999008367853
G1-180	0.4024933618603243
G1-182	0.21670913386885432
G1-187	2.319126343862032
G1-188	1.6766128581477315
G1-189	1.9052798480765782
G1-190	2.096596118378459
G1-192	1.5227324232508865
G1-193	1.6917305052030043
G2-1100	1.3516489026781593
G2-1101	1.421623456207007
G2-1102	1.7343500426254865
G2-1103	2.2000837826877038
G2-1104	1.369991011662504
G2-1105	0.24229218908241482
G2-1106	0.3522739301726943
G2-1107	0.38431154412649704
G2-1108	0.2863969571159562
G2-1109	0.2647650339356807
G2-1110	0.21887772653901102
G2-1111	0.4529425481872832
G2-1113	0.3522739301726943
G2-194	1.9475287678234814
G2-197	1.9912101289993809
G2-198	1.4774584701536704
G2-199	1.4509675294150977
G2-21	0.4183953189083867
G2-210	1.670010227494976
G2-211	1.9122874109119157
G2-212	1.7295443075967487
G2-213	0.8161322095473073
G2-214	1.1583785878624497
G2-215	0.9482019974741085
G2-216	0.9336501029799817
G2-217	0.9345139195085801
G2-218	0.8315273856939923
G2-219	0.8952379163842878
G2-22	0.0907931358959112
G2-220	1.4723515344236526
G2-221	1.9766799614286368
G2-222	1.7818621167448463
G2-223	1.340183349265174
G2-224	0.6947894855321569
G2-23	0.08079313589591118
G2-24	0.19293469635803698
G2-25	1.407459284567721
G2-26	1.6763072519233346
G2-27	1.7897632191207564
G2-28	1.7778653215850593
G2-29	1.9342027103789097
G2-313	0.3093634566284007
G2-314	1.008721364790326
G2-315	0.6832985631335643
G2-316	1.1368706729958027
G2-317	0.6092592814269933
G2-318	0.741063707868111
G2-319	0.16866093149667025
G2-320	0.44699083774482584
G2-321	0.584238811642856
G2-322	0.597185045253784
G2-323	1.402673112154401
G2-324	1.4578561367670144
G2-325	1.5029067645735184
G2-326	1.1370035395170508
G2-327	1.6488226974688216
G2-328	1.9460453743996537
G2-329	1.8357167643561842
G2-330	1.3156742418669998
G2-413	1.5252887662555494
G2-414	2.2630406134126315
G2-415	1.8514762437462624
G2-416	1.5742396320159102
G3-417	1.1838947086202238
G3-418	1.6710730192160046
G3-419	1.3558767525410398
G3-420	1.4481266851442365
G3-421	2.035727399977507
G3-422	1.2054274475144409
G3-423	2.3731027871125216
G3-424	1.550448184315041
G3-425	2.08168111017142
G3-426	2.1230560082667136
G3-427	1.6907636568677273
G3-428	1.8486023380812346
G3-429	1.2082055349350298
G3-430	1.8572858420487393
