	G1-11	G1-12	G1-13	G1-130	G1-131	G1-132	G1-135	G1-136	G1-138	G1-139	G1-14	G1-140	G1-141	G1-142	G1-143	G1-144	G1-15	G1-175	G1-176	G1-177	G1-178	G1-180	G1-182	G1-187	G1-188	G1-189	G1-190	G1-192	G1-193	G2-1100	G2-1101	G2-1102	G2-1103	G2-1104	G2-1105	G2-1106	G2-1107	G2-1108	G2-1109	G2-1110	G2-1111	G2-1113	G2-194	G2-197	G2-198	G2-199	G2-21	G2-210	G2-211	G2-212	G2-213	G2-214	G2-215	G2-216	G2-217	G2-218	G2-219	G2-22	G2-220	G2-221	G2-222	G2-223	G2-224	G2-23	G2-24	G2-25	G2-26	G2-27	G2-28	G2-29	G2-313	G2-314	G2-315	G2-316	G2-317	G2-318	G2-319	G2-320	G2-321	G2-322	G2-323	G2-324	G2-325	G2-326	G2-327	G2-328	G2-329	G2-330	G2-413	G2-414	G2-415	G2-416	G3-417	G3-418	G3-419	G3-420	G3-421	G3-422	G3-423	G3-424	G3-425	G3-426	G3-427	G3-428	G3-429	G3-430
G1-11	0.0	0.059623701239321245	0.030936051008452023	0.03366229419810549	0.03721874183723267	0.033662306307175587	0.1982578082974116	0.03353093819102958	0.03366229419810549	0.044813000712249425	0.03973009414078486	0.15927526114026064	0.1650970007610553	0.16776609651060043	0.16776609651060043	0.16776609651060043	0.09995188421795202	0.47651319141449183	0.2320669233829297	0.34925396983353785	0.15481198953392625	0.39699529007887385	0.48158332990639346	0.15927526114026064	0.0749677487683322	0.07234241978866099	0.26407446259086353	0.07516385215118504	0.05611835934498892	0.16524107688679068	0.16524107688679068	0.16524107688679068	0.36653241791781765	0.22622818695847532	0.1741134563337183	0.0816018837243564	0.1741134563337183	0.1741134563337183	0.1741134563337183	0.1741134563337183	0.1741134563337183	0.17058889577299735	0.1451312867298717	0.01783837069488433	0.3061905225804004	0.16524107688679068	0.23072928666588258	0.312411212282694	0.35546919370768515	0.17525284616295472	0.1650970007610553	0.16776609651060043	0.07516385215118504	0.06984101379643835	0.19662779638464067	0.172523420133606	0.07604181072065552	0.4377848134484743	0.07358758254127357	0.33108481766934783	0.164793080260374	0.16830830362985427	0.16609915515063547	0.36240432625803964	0.2741742850750067	0.3218858779149605	0.11333576968038613	0.21284198782541575	0.21989963967333206	0.256847801890905	0.17058889577299735	0.16524107688679068	0.07807732316363546	0.16524107688679068	0.17058889577299735	0.17058889577299735	0.1741134563337183	0.0816018837243564	0.1741134563337183	0.1741134563337183	0.1687958218509012	0.1687958218509012	0.21154722801612638	0.13525750119759983	0.21154722801612638	0.21154722801612638	0.23712596121279317	0.21904562074640496	0.14407069292122607	0.15629980051759815	0.05993238821443602	0.07291196405395978	0.008901543073079842	0.14407069292122607	0.061463454778941586	0.05611835934498892	0.26844853962333876	0.15481198953392625	0.07136860623597754	0.20660984081888698	0.00539620117874752	0.03366229419810549	0.1532162464054221	0.028266093019357973	0.09097148605038494	0.1494668940999736
G1-12	0.059623701239321245	0.0	0.08544797878318927	0.09328599543742673	0.09004980521546195	0.09328600754649682	0.2474511487434253	0.0928315987776248	0.09328599543742673	0.09367420370126646	0.09228281787949741	0.11367257053935884	0.11261055070344916	0.1154474400300747	0.1154474400300747	0.1154474400300747	0.14638352197431956	0.501444900472532	0.18337682730931357	0.3252722957444799	0.10837761902321943	0.36748663849425517	0.4598415189344114	0.11367257053935884	0.024559685097586628	0.02163950025954322	0.23684488233819728	0.01702372529838474	0.015061706511770915	0.11986111169704648	0.11986111169704648	0.11986111169704648	0.3441076399015624	0.18606587278148976	0.12224785852918948	0.023926567800530513	0.12224785852918948	0.12224785852918948	0.12224785852918948	0.12224785852918948	0.12224785852918948	0.12552356212185584	0.19682081123960427	0.07012552689567741	0.2720219863779887	0.11986111169704648	0.18241915771830125	0.2789200934692631	0.3300716883171602	0.14514350777093493	0.11261055070344916	0.1154474400300747	0.01702372529838474	0.01695958812998807	0.15311580368321617	0.12099535956651675	0.018180674632250274	0.4087620870429945	0.01540896925168494	0.3029631289452353	0.1195141124351174	0.11622518277603272	0.1137302599803439	0.32432718320333004	0.23082805372781767	0.29577197573257324	0.15239595273123316	0.17331581844310812	0.1811492363600439	0.22460971866160181	0.12552356212185584	0.11986111169704648	0.027569198900472193	0.11986111169704648	0.12552356212185584	0.12552356212185584	0.12224785852918948	0.023926567800530513	0.12224785852918948	0.12224785852918948	0.12188812829931532	0.12188812829931532	0.1810942592585743	0.0843113797676034	0.1810942592585743	0.1810942592585743	0.21161968479582272	0.1794336243021886	0.10771354109619148	0.12113304333153166	0.11628679837885758	0.11936814957242807	0.051177718834831624	0.10771354109619148	0.009484413854716269	0.015061706511770915	0.23791592140050044	0.10837761902321943	0.11789473621030568	0.16605695765985432	0.06501990241806876	0.09328599543742673	0.11775126343830314	0.08788979425867921	0.053298711147737966	0.11339807405476497
G1-13	0.030936051008452023	0.08544797878318927	0.0	0.008300790072155275	0.011960688747686441	0.008300802533457703	0.18136913929452558	0.008307017528125423	0.008300790072155275	0.014684567046377967	0.014685491173188594	0.13275718763860986	0.13866368522450565	0.14141728546164908	0.14141728546164908	0.14141728546164908	0.07317367401177971	0.49100710878955084	0.25835284966817035	0.35804942775605725	0.127830509693798	0.4178962154495691	0.49976357455440773	0.13275718763860986	0.10046503668411796	0.09790022653542255	0.2774196682203979	0.10082239408026136	0.08705441035344094	0.13883901911136923	0.13883901911136923	0.13883901911136923	0.3845050758033235	0.24795895507590912	0.14799201739120443	0.10725231571527381	0.14799201739120443	0.14799201739120443	0.14799201739120443	0.14799201739120443	0.14799201739120443	0.14435598075160544	0.1583550561998687	0.04849704934074823	0.28875640289428145	0.13883901911136923	0.25677535949687297	0.29531719190968375	0.38079986123769494	0.20228422303113647	0.13866368522450565	0.14141728546164908	0.10082239408026136	0.09548542014929869	0.21918878949238624	0.14656556933849813	0.10160940601209144	0.42309118511603383	0.09921675227729933	0.314292237899355	0.1384490494018629	0.1420751496872284	0.1397242369855501	0.34319963921644436	0.29912178235267023	0.34115238977319545	0.13682176080646305	0.24377803883386776	0.25055831831919595	0.2403502704754791	0.14435598075160544	0.13883901911136923	0.10371840435735781	0.13883901911136923	0.14435598075160544	0.14435598075160544	0.14799201739120443	0.10725231571527381	0.14799201739120443	0.14799201739120443	0.1425061948376084	0.1425061948376084	0.192746479670811	0.15953962697288473	0.192746479670811	0.192746479670811	0.250283587809473	0.19583127593599073	0.121920782057595	0.1348259231067636	0.0891721514488598	0.09714255823103587	0.03459003203572055	0.121920782057595	0.08729265753758723	0.08705441035344094	0.2890011440644771	0.127830509693798	0.09563576145435619	0.18288059805102405	0.03633225218719954	0.008300790072155275	0.1315729190648366	0.0027476225434904366	0.12076521363699995	0.12747394958625985
G1-130	0.03366229419810549	0.09328599543742673	0.008300790072155275	0.0	0.0036803361990060558	1.253088855158471e-08	0.18367217286745022	0.011096922407472726	0.0	0.022846499085701917	0.012030391325336561	0.14059856972594828	0.136253771463156	0.1390150759372983	0.1390150759372983	0.1390150759372983	0.07578350430480618	0.49025745737286	0.2563199693442521	0.35681281671391196	0.12536993497039142	0.4166492243671645	0.4988395564993061	0.14059856972594828	0.10815227524583071	0.0954563480627198	0.27218259100296793	0.09837752767840136	0.07941680021654023	0.14668528112671636	0.14668528112671636	0.14668528112671636	0.389257378926126	0.24625459838503222	0.14561061783652887	0.1048273218464431	0.14561061783652887	0.14561061783652887	0.14561061783652887	0.14561061783652887	0.14561061783652887	0.14196441831558246	0.15202675018791129	0.04072097970976688	0.28202172671731074	0.14668528112671636	0.25475651897999385	0.2886812794982415	0.3758559308477492	0.1961610753091322	0.136253771463156	0.1390150759372983	0.09837752767840136	0.09302604250053315	0.2173458934777208	0.14419973049212811	0.10931391121038508	0.42175939809145213	0.1069480609042127	0.32014418421251767	0.14627497891428792	0.14989123486600064	0.1475680891922852	0.3414516075927655	0.29730653070219853	0.3398417031494766	0.13468246712775458	0.23699072931892923	0.2438686456126187	0.23423010793551385	0.14196441831558246	0.14668528112671636	0.1012838112327387	0.14668528112671636	0.14196441831558246	0.14196441831558246	0.14561061783652887	0.1048273218464431	0.14561061783652887	0.14561061783652887	0.14010946216909725	0.14010946216909725	0.1859775979080817	0.15739071524513562	0.1859775979080817	0.1859775979080817	0.2447099449440638	0.1937191645294681	0.12472632704276941	0.13759023496283798	0.08196633071224783	0.09482411373373426	0.04256383727118533	0.12472632704276941	0.08479089534898127	0.07941680021654023	0.287483892000273	0.12536993497039142	0.09330956193386625	0.18072122093522508	0.02841945008942991	0.0	0.13434762457217855	0.005553167528664839	0.11358720637157106	0.11983864357830283
G1-131	0.03721874183723267	0.09004980521546195	0.011960688747686441	0.0036803361990060558	0.0	0.0036803487298946074	0.18667653371990212	0.014736418201245	0.0036803361990060558	0.02646275503741464	0.00841159771049107	0.144214825677661	0.13308963822386233	0.13586105809414967	0.13586105809414967	0.13586105809414967	0.07920385066199521	0.4892761940274002	0.25365121786014105	0.35932576386492837	0.1290502711693975	0.41501444218903966	0.49762900986920283	0.144214825677661	0.11165824635260972	0.09899042094553619	0.2750178740916004	0.09516808676099348	0.08299254328462631	0.15031141946594978	0.15031141946594978	0.15031141946594978	0.3916582887824662	0.24401957887230621	0.1424839432010246	0.1016439877822644	0.1424839432010246	0.1424839432010246	0.1424839432010246	0.1424839432010246	0.1424839432010246	0.14561061783652887	0.1551475768349835	0.03730967633013219	0.27936956443921085	0.15031141946594978	0.2521063498929173	0.2860781780932118	0.374024972999302	0.19928335855469906	0.13308963822386233	0.13586105809414967	0.09516808676099348	0.08979755228474817	0.2149286759737041	0.14109365049171335	0.10617190580537411	0.4200127804050463	0.10378931205940067	0.3230239553229399	0.14989123486600064	0.14680586650277494	0.14446580384307534	0.3391572248141916	0.29492431082905957	0.34243687258448496	0.13187571762664713	0.23425261340942294	0.2411797580313089	0.23175986163018217	0.14561061783652887	0.15031141946594978	0.1048273218464431	0.15031141946594978	0.14561061783652887	0.14561061783652887	0.1424839432010246	0.1016439877822644	0.1424839432010246	0.1424839432010246	0.13696265581818262	0.13696265581818262	0.18940386700320438	0.15457083682133085	0.18940386700320438	0.18940386700320438	0.24766165051605266	0.1971454336245908	0.12838622571830058	0.14119634406259024	0.0853450032572339	0.09817399448096908	0.0391466125096981	0.12838622571830058	0.08836663841706735	0.08299254328462631	0.2902677088582261	0.1290502711693975	0.09666504774415241	0.18416864570168048	0.03199519315751599	0.0036803361990060558	0.13796729243171155	0.009213066204196005	0.11703022423570895	0.12351897977730888
G1-132	0.033662306307175587	0.09328600754649682	0.008300802533457703	1.253088855158471e-08	0.0036803487298946074	0.0	0.18367218309676325	0.011096934799306981	1.253088855158471e-08	0.022846511398408653	0.012030403751204993	0.14059858203865502	0.13625378389040338	0.13901508836454565	0.13901508836454565	0.13901508836454565	0.07578351595047568	0.4902574573303711	0.2563199602901205	0.35681282527004893	0.12536994750128	0.4166492188165776	0.4988395523875425	0.14059858203865502	0.10815228718303721	0.09545636009560785	0.2721826006566013	0.0983775397553119	0.07941681239130781	0.14668529347307085	0.14668529347307085	0.14668529347307085	0.389257387100796	0.2462546084512227	0.14561063025118814	0.10482733391146493	0.14561063025118814	0.14561063025118814	0.14561063025118814	0.14561063025118814	0.14561063025118814	0.1419644307302417	0.15202676081376956	0.04072099177478871	0.2820217177204049	0.14668529347307085	0.2547565099886149	0.28868127066746185	0.37585592463189865	0.196161066763667	0.13625378389040338	0.13901508836454565	0.0983775397553119	0.0930260545774437	0.21734590396109263	0.1441997428050521	0.1093139231790939	0.4217593921624393	0.10694807290471298	0.32014419401762484	0.14627499122699467	0.1498912471787074	0.14756810153863972	0.3414515998079235	0.29730652261856905	0.3398416973162589	0.13468247813594983	0.23699072002946858	0.24386863648987728	0.2342301188835857	0.1419644307302417	0.14668529347307085	0.10128382329776053	0.14668529347307085	0.1419644307302417	0.1419644307302417	0.14561063025118814	0.10482733391146493	0.14561063025118814	0.14561063025118814	0.1401094745837565	0.1401094745837565	0.18597760957391707	0.15739072660171483	0.18597760957391707	0.18597760957391707	0.244709954994095	0.19371917619530346	0.12472633950407183	0.1375902472409965	0.08196634221602543	0.09482412513948091	0.042563849380255425	0.12472633950407183	0.08479090752374886	0.07941681239130781	0.28748390147867303	0.12536994750128	0.09330957335869715	0.18072123267309173	0.0284194622641975	1.253088855158471e-08	0.13434763689650223	0.005553179989967267	0.113587218094433	0.1198386561091914
G1-135	0.1982578082974116	0.2474511487434253	0.18136913929452558	0.18367217286745022	0.18667653371990212	0.18367218309676325	0.0	0.1828739524520599	0.18367217286745022	0.1916373273022894	0.18811518778956318	0.2885052901531267	0.29382715239065427	0.2960847115894072	0.2960847115894072	0.2960847115894072	0.231793248524352	0.39636057163854044	0.3897277595238981	0.27188305811785374	0.2860151394695789	0.3323913174483591	0.529422256986462	0.2885052901531267	0.2579375212425997	0.25616625447835917	0.3797022551538337	0.259050051960503	0.2445590190432677	0.29384240441353743	0.29384240441353743	0.29384240441353743	0.4437568945437993	0.2556988100162356	0.3013479224306518	0.2642213931436415	0.3013479224306518	0.3013479224306518	0.3013479224306518	0.3013479224306518	0.3013479224306518	0.29836634877849444	0.2878915765151604	0.21152979937731622	0.4138943562427623	0.29384240441353743	0.38745426037274283	0.4183397965057582	0.47053423903246283	0.325005044472078	0.29382715239065427	0.2960847115894072	0.259050051960503	0.25465222161997747	0.2300895064047823	0.2991473221512748	0.25922468873570553	0.4138181857047629	0.2575986980913034	0.3933356296801796	0.29317495066433896	0.2961498397281572	0.29456828881781766	0.3811275346980707	0.34186331069392967	0.27459344309654937	0.19814690556154033	0.3738659666416113	0.3785050771666603	0.36003336038423744	0.29836634877849444	0.29384240441353743	0.2613088385423215	0.29384240441353743	0.29836634877849444	0.29836634877849444	0.3013479224306518	0.2642213931436415	0.3013479224306518	0.3013479224306518	0.2968495123189164	0.2968495123189164	0.32695696932825313	0.3001076953979865	0.32695696932825313	0.32695696932825313	0.3601693473566124	0.3333577851382544	0.27694127298192545	0.2856876948560502	0.15484556817276657	0.16548479865018703	0.2056021467028926	0.27694127298192545	0.24896906226321894	0.2445590190432677	0.3911103230357591	0.2860151394695789	0.24764612897463562	0.3233345367519025	0.202710017002735	0.18367217286745022	0.2834786314391907	0.1791136534631374	0.2677237142881317	0.2814997923862383
G1-136	0.03353093819102958	0.0928315987776248	0.008307017528125423	0.011096922407472726	0.014736418201245	0.011096934799306981	0.1828739524520599	0.0	0.011096922407472726	0.022772526164504103	0.00637847364506317	0.1398759474746485	0.1457602933205947	0.14849120645932945	0.14849120645932945	0.14849120645932945	0.07032186718146044	0.4932262163624077	0.2643405251649894	0.3617034732497853	0.13507563693726782	0.4215777955573763	0.5024947967309789	0.1398759474746485	0.10762488507964266	0.10509933679206497	0.27842054139384026	0.10802416370220164	0.08934524879271837	0.14592707463020557	0.14592707463020557	0.14592707463020557	0.38786562324463064	0.25298838658473066	0.15500473628725936	0.11439562264947804	0.15500473628725936	0.15500473628725936	0.15500473628725936	0.15500473628725936	0.15500473628725936	0.1513986271875071	0.16001957216090834	0.05097449888453678	0.28998907590618	0.14592707463020557	0.26272226008439015	0.296502318073996	0.38137303915373366	0.20374139920115572	0.1457602933205947	0.14849120645932945	0.10802416370220164	0.10272993511595846	0.22462502761349992	0.15353309302541246	0.10877891554438113	0.42702053753948926	0.10642435564938535	0.3187795830122203	0.14552108758213564	0.14911742301790498	0.14680500644106295	0.348349930212799	0.3044716310782965	0.345024356902593	0.14312938607109593	0.24521975012757108	0.25195076476342637	0.24166484783897801	0.1513986271875071	0.14592707463020557	0.11088998782921343	0.14592707463020557	0.1513986271875071	0.1513986271875071	0.15500473628725936	0.11439562264947804	0.15500473628725936	0.15500473628725936	0.14956406651658	0.14956406651658	0.1943935974967266	0.1658736538934805	0.1943935974967266	0.1943935974967266	0.25144678578136787	0.20205512575389403	0.12408351563861801	0.12659510950032013	0.09132717391982374	0.10397599379233136	0.04238425278743276	0.12408351563861801	0.09466138454986504	0.08934524879271837	0.2934807804239429	0.13507563693726782	0.10249193835844891	0.18924332159467744	0.03889790280252632	0.011096922407472726	0.13365879057198163	0.0055747121895203845	0.12279596782256454	0.12960572585657035
G1-138	0.03366229419810549	0.09328599543742673	0.008300790072155275	0.0	0.0036803361990060558	1.253088855158471e-08	0.18367217286745022	0.011096922407472726	0.0	0.022846499085701917	0.012030391325336561	0.14059856972594828	0.136253771463156	0.1390150759372983	0.1390150759372983	0.1390150759372983	0.07578350430480618	0.49025745737286	0.2563199693442521	0.35681281671391196	0.12536993497039142	0.4166492243671645	0.4988395564993061	0.14059856972594828	0.10815227524583071	0.0954563480627198	0.27218259100296793	0.09837752767840136	0.07941680021654023	0.14668528112671636	0.14668528112671636	0.14668528112671636	0.389257378926126	0.24625459838503222	0.14561061783652887	0.1048273218464431	0.14561061783652887	0.14561061783652887	0.14561061783652887	0.14561061783652887	0.14561061783652887	0.14196441831558246	0.15202675018791129	0.04072097970976688	0.28202172671731074	0.14668528112671636	0.25475651897999385	0.2886812794982415	0.3758559308477492	0.1961610753091322	0.136253771463156	0.1390150759372983	0.09837752767840136	0.09302604250053315	0.2173458934777208	0.14419973049212811	0.10931391121038508	0.42175939809145213	0.1069480609042127	0.32014418421251767	0.14627497891428792	0.14989123486600064	0.1475680891922852	0.3414516075927655	0.29730653070219853	0.3398417031494766	0.13468246712775458	0.23699072931892923	0.2438686456126187	0.23423010793551385	0.14196441831558246	0.14668528112671636	0.1012838112327387	0.14668528112671636	0.14196441831558246	0.14196441831558246	0.14561061783652887	0.1048273218464431	0.14561061783652887	0.14561061783652887	0.14010946216909725	0.14010946216909725	0.1859775979080817	0.15739071524513562	0.1859775979080817	0.1859775979080817	0.2447099449440638	0.1937191645294681	0.12472632704276941	0.13759023496283798	0.08196633071224783	0.09482411373373426	0.04256383727118533	0.12472632704276941	0.08479089534898127	0.07941680021654023	0.287483892000273	0.12536993497039142	0.09330956193386625	0.18072122093522508	0.02841945008942991	0.0	0.13434762457217855	0.005553167528664839	0.11358720637157106	0.11983864357830283
G1-139	0.044813000712249425	0.09367420370126646	0.014684567046377967	0.022846499085701917	0.02646275503741464	0.022846511398408653	0.1916373273022894	0.022772526164504103	0.022846499085701917	0.0	0.029075358231273843	0.11839554796865964	0.14656999436703763	0.14929831897797521	0.14929831897797521	0.14929831897797521	0.08117275233918925	0.49348051353090483	0.26502382750971876	0.3621215817494986	0.13590222046043424	0.42199875604418824	0.5028073939479416	0.11839554796865964	0.08645809259358606	0.08384930406758251	0.2665528835996244	0.10884607546204263	0.10028086872079145	0.12959399847652764	0.12959399847652764	0.12959399847652764	0.37838861658990613	0.24045838110412573	0.138746948907352	0.09826711894131755	0.138746948907352	0.138746948907352	0.138746948907352	0.138746948907352	0.138746948907352	0.13511093127581478	0.1547684953798407	0.04471963690562231	0.2999577988710873	0.12959399847652764	0.24778940301757962	0.29075854731764106	0.3888587303579858	0.21268940181263346	0.14656999436703763	0.14929831897797521	0.10884607546204263	0.10854459677730884	0.22524617532349797	0.1373960596246585	0.08756834318235733	0.41545057832904386	0.09023159633089897	0.3069535047202547	0.12410297691401616	0.1277389945455534	0.13047921172306645	0.34893782495731335	0.30508244784274047	0.33456622526381996	0.12862152908101862	0.25518784818059537	0.24624560944688886	0.23645848478963064	0.13511093127581478	0.12959399847652764	0.09473322553870296	0.12959399847652764	0.13511093127581478	0.13511093127581478	0.138746948907352	0.09826711894131755	0.138746948907352	0.138746948907352	0.138352740720943	0.138352740720943	0.18872348626006286	0.1510804312863474	0.18872348626006286	0.18872348626006286	0.2466869596412074	0.18714215030547465	0.13511162134110602	0.13072737093969775	0.10165810991876084	0.08864713281969165	0.04327371470263047	0.13511162134110602	0.09550228991419796	0.10028086872079145	0.2939930063899863	0.13590222046043424	0.1032747850922508	0.18996965755506096	0.05014665226984853	0.022846499085701917	0.1445066232096153	0.017359550700859663	0.13313224695366915	0.14059856972594828
