	G1-11	G1-12	G1-13	G1-130	G1-131	G1-132	G1-135	G1-136	G1-138	G1-139	G1-14	G1-140	G1-141	G1-142	G1-143	G1-144	G1-15	G1-175	G1-176	G1-177	G1-178	G1-180	G1-182	G1-187	G1-188	G1-189	G1-190	G1-192	G1-193	G2-1100	G2-1101	G2-1102	G2-1103	G2-1104	G2-1105	G2-1106	G2-1107	G2-1108	G2-1109	G2-1110	G2-1111	G2-1113	G2-194	G2-197	G2-198	G2-199	G2-21	G2-210	G2-211	G2-212	G2-213	G2-214	G2-215	G2-216	G2-217	G2-218	G2-219	G2-22	G2-220	G2-221	G2-222	G2-223	G2-224	G2-23	G2-24	G2-25	G2-26	G2-27	G2-28	G2-29	G2-313	G2-314	G2-315	G2-316	G2-317	G2-318	G2-319	G2-320	G2-321	G2-322	G2-323	G2-324	G2-325	G2-326	G2-327	G2-328	G2-329	G2-330	G2-413	G2-414	G2-415	G2-416	G3-417	G3-418	G3-419	G3-420	G3-421	G3-422	G3-423	G3-424	G3-425	G3-426	G3-427	G3-428	G3-429	G3-430
G1-11	0.0	0.13767547326238905	0.10467095567799625	0.2497373021624011	0.16175095697047856	0.25454168191875765	0.11672953432314435	0.05676669829527503	0.15302210888676762	0.09198819835794253	0.09747705472670844	0.08532566417150177	0.1721100794915403	0.17234621358208674	0.04795579032176811	0.12631122266579414	0.028974705293266147	0.1577228983093651	0.1846702166541674	0.1134868149593332	0.03933786280245997	0.18432770697325224	0.18901781471678142	0.03828784540380074	0.11030089895369886	0.03677582196109806	0.057993727936662055	0.06420212417708515	0.1176840896881966	0.0616700853184095	0.0769330553303609	0.04880294492978384	0.03559417793343372	0.1606004301340684	0.19640581619944825	0.18949909993115213	0.18383168703706954	0.19281320786734002	0.1946095120333941	0.1982021203655023	0.17664647037285316	0.1891985720251877	0.06055913997494769	0.17259131829084762	0.19096357130329053	0.061089910009823466	0.18730847841645637	0.19170652522927295	0.185000035718761	0.18444548432498659	0.174513943719387	0.16236208570938374	0.16839146470721886	0.1668534789174503	0.17480765699261244	0.18167911292466613	0.14531974624315894	0.19086875186504465	0.14650172764373795	0.09175222541299491	0.13436537733763534	0.1080031161881308	0.15495333951559292	0.19028957197528934	0.187727989829137	0.15997174530183367	0.16621490881056394	0.18906168584973904	0.1906665438955044	0.19073972925497606	0.19465356750348228	0.126437302594731	0.16078026108433063	0.10310737609607176	0.17147783462513166	0.158925733122797	0.2017947286976105	0.18051757910088165	0.16047973287836623	0.15868342871231214	0.14865344168882397	0.08586442611351076	0.10700630205892207	0.046581124508965246	0.09756737867367107	0.0501421603615385	0.08351960281210506	0.12823118147615686	0.128777501669768	0.06395930406046907	0.04492668125408568	0.13032185811780753	0.10410526938797737	0.03499968644082937	0.09295987801942734	0.0674222242692538	0.03633980062337075	0.09083570058193806	0.051002814587875284	0.08668559288814962	0.04223510357494944	0.014605416800737583	0.06708855398531847	0.06993261379113526	0.12277384731798874	0.06730310267715973
G1-12	0.13767547326238905	0.0	0.24173771061372767	0.2706196603642824	0.09596586220785817	0.27556283735101766	0.03656660008936749	0.08390031792485739	0.12863317643463604	0.19593601085971799	0.05318460933493123	0.1885068544506086	0.2751204488421831	0.2753565829327295	0.15096615967241087	0.22932159201643695	0.15369815433029968	0.08728736661224708	0.05095554346465355	0.21709323113834944	0.13874900933222287	0.051787230971385594	0.05270053591146805	0.11495992886990673	0.2130787113761581	0.13130946029357757	0.16497287347876935	0.16721249352772793	0.021230930027979364	0.1051910213085624	0.09343194316679486	0.12526757140968603	0.14177776634084385	0.044721770317931495	0.0620078213468029	0.05510110507850685	0.04943369218442424	0.0584152130146947	0.0602115171807488	0.063804125512857	0.04224847552020783	0.054844632342630574	0.08022020835869269	0.04471792390081525	0.054273827490128344	0.10798860092544126	0.052024533946163756	0.05501678291611084	0.054435492034340054	0.05176059625478783	0.27752431307002984	0.26537245506002655	0.27140183405786167	0.27088718630691594	0.2780020235626836	0.2842764587112757	0.2483877281401097	0.053193278602655575	0.2495697094906887	0.19523225686889065	0.23747741440467426	0.21107109823508152	0.25795447641362773	0.052614098712900265	0.051042716584966716	0.03994655925100144	0.036672462308173226	0.05336214450479565	0.05397680133234228	0.054049987541813845	0.060299627820925114	0.0480916457224849	0.02642632140177352	0.06867254610486898	0.03712389494257448	0.024571793440239856	0.06739673384496518	0.04611958424823639	0.02608173802572093	0.02428543385966683	0.01969623736862077	0.07850643511004282	0.21008209987667767	0.1250656430889676	0.20064317649142666	0.15204346553887338	0.18659540062986069	0.053489704478036526	0.03405081911484975	0.16764593887107604	0.15950929007556167	0.23602834945702572	0.21154340583708983	0.10541868769973518	0.06697073995001766	0.17054286067115787	0.1483060252580709	0.19389012510266898	0.1476051823062657	0.07364482369235217	0.17478311746273967	0.141245368599819	0.17037468801013783	0.17553185607244687	0.22602684332220407	0.17065551274318708
G1-13	0.10467095567799625	0.24173771061372767	0.0	0.15877660977878869	0.21470284887373023	0.16048703985452314	0.2205180431318858	0.16055275043804604	0.1705525632663857	0.1444529503682647	0.20123177425465394	0.1454240299619587	0.17253110177746733	0.17276723586801376	0.14608396972719648	0.1533796514388579	0.12050398587548045	0.23548794352872954	0.28873245400550596	0.14766206151972056	0.13925526820198625	0.2883899443245908	0.29308005206812016	0.1383129486563915	0.14814402348108355	0.13661567249133275	0.1395316306727064	0.14639592103982774	0.22235504506619289	0.16338780215870063	0.17818285752824053	0.14625805851974882	0.13484572929991662	0.26273513566717316	0.29819037798865533	0.29163380536425704	0.28561624882627656	0.2945977696565471	0.2963940738226012	0.2999866821547094	0.2784310321620603	0.29098313381439483	0.16512461072681767	0.2772622736688438	0.29528438303738896	0.16233971220770302	0.29157628014562437	0.2960273369633715	0.2896709910967572	0.2891164397029829	0.174934966005314	0.16278310799531076	0.16916263063704365	0.16762464484727507	0.1755788229224371	0.18175626470862788	0.1518074070359623	0.29458084557248554	0.15252147374412978	0.151117710537258	0.1533586830876978	0.14727591803139234	0.15523605567738408	0.29400166568273023	0.29179022718047554	0.2642395470310017	0.27018274448872315	0.2937326412277352	0.2953374992735008	0.29506054098907447	0.29643812929268937	0.22822186438393802	0.26291496651743557	0.20489193788527885	0.27326239641433875	0.2607102949120041	0.3035792904868176	0.28265228453398655	0.26226429466757334	0.2604679905015192	0.2512038181014658	0.1879148581411378	0.14930697654777733	0.14492114143415552	0.1490405877277332	0.14556504719958438	0.14681807372876118	0.2300157432653639	0.23123185356981124	0.1434719467133258	0.12811847987084118	0.14727954979293742	0.14110623315300516	0.13905501768249265	0.195232889576668	0.14196649311755544	0.13117680069419774	0.14545143619516518	0.14005948539094698	0.1889084276525014	0.10977592774323829	0.11358446757741199	0.14306190629014914	0.14011725467914551	0.14786364490082923	0.14334273012319843
G1-130	0.2497373021624011	0.2706196603642824	0.15877660977878869	0.0	0.19226951872412326	0.005042462728477425	0.27670838800104597	0.2737887964552784	0.15783785655905042	0.29403639918591173	0.2663084227197753	0.2946709459718741	0.3303718821214329	0.3306080162119794	0.29504228124211657	0.30233796295377796	0.26918529502758376	0.22256146969330837	0.26631925830029846	0.29630968145254455	0.28773095228382756	0.2659767486193833	0.2706668563629126	0.28749532163054303	0.2967868412666895	0.2852632920241567	0.2881461763949613	0.2953542325547477	0.271976748846874	0.2936582216322355	0.2937424352625288	0.29596983407526795	0.2674814057198204	0.26552877211531545	0.28573610564307145	0.284871566380545	0.2864433876583937	0.2859381862188778	0.28583714593097465	0.2856350653551683	0.28684754881000635	0.28611823913464013	0.27546133718413146	0.2586236327271514	0.27285105288778205	0.29497538977760673	0.2693686488182463	0.27359400681376456	0.2672376609471502	0.2666831095533759	0.3327757463492796	0.3206238883392763	0.32700341098100927	0.3254654251912406	0.33341960326640274	0.33952789199052547	0.30405614996217323	0.272167649867278	0.30523813136275224	0.3004284203492814	0.3030704624432169	0.2964308911504121	0.31327275464179355	0.2715884699775227	0.26937703147526804	0.2533719263572791	0.27253450854409034	0.2712993110781282	0.27290416912389376	0.27262721083946756	0.2858371456309746	0.28985365902043153	0.2864661831769516	0.29118921027321676	0.28732688945406853	0.28805619897943485	0.2854329847793619	0.28537676782006083	0.2877569114011349	0.2878579516890381	0.2839197621770365	0.28906852081517426	0.2975184331312389	0.2937411468249397	0.2972851181717639	0.2937103559119078	0.2950626042727919	0.29151384675402553	0.2829169684350728	0.29272438407610984	0.2766006663407848	0.2956860749127108	0.290065288051581	0.2843096512686406	0.2853294684988245	0.2905810391898103	0.27982442062702173	0.29409905612798914	0.2870763965318216	0.2863718031985673	0.25805954272969744	0.2618680825638712	0.29144550424612825	0.2884677146145206	0.29634583137077297	0.29162634510965757
G1-131	0.16175095697047856	0.09596586220785817	0.21470284887373023	0.19226951872412326	0.0	0.19524270189766077	0.08920350119101178	0.13516864590022054	0.04621350861913625	0.2520001498601888	0.084819923856062	0.24492648696808927	0.33181142283759	0.33187562167715384	0.19527779559706754	0.2808545084823646	0.18720637576983962	0.05850909541131835	0.08787077153595972	0.2738207429952078	0.19737678309253004	0.08752826185504455	0.09221836959857381	0.17105505456486425	0.26940372990503075	0.18452388796272848	0.21548997232814718	0.21273394935119555	0.09648517289453978	0.15510174714756908	0.14334266900580156	0.17517829724869277	0.168896040965859	0.08388310135468453	0.10415958814450843	0.10329504888198196	0.10486687015983068	0.10436166872031478	0.10426062843241159	0.10405854785660527	0.10527103131144332	0.1045857768061652	0.13381366069864253	0.08208527760756162	0.092960872234409	0.15789932676444796	0.08989234016476037	0.09243302114981944	0.08528425728198552	0.08666504881910839	0.33473109281838465	0.32085988229855494	0.3280990811952011	0.32673303065641524	0.33520301448452516	0.34206819727464643	0.3048155289078971	0.09371916310293922	0.3063058568752203	0.2476528895586526	0.29334950705073454	0.26848492341486246	0.31444326234317627	0.09313998321318391	0.09092854471092929	0.07634109707886905	0.08965813527448883	0.09106525992278999	0.09033217751686637	0.09002159010559338	0.10434873847258792	0.10836525186204475	0.10497777601856496	0.11858327194387566	0.10583848229568178	0.10656779182104809	0.10385646728079892	0.10380025032149783	0.10618039390257188	0.10628143419047503	0.10194348052885867	0.1281846258971136	0.26675660072436397	0.1752596676229561	0.2571451868218526	0.20543249694849613	0.2432392878891434	0.11155503375107285	0.09586317824064806	0.2204981373403968	0.20526081849310593	0.2911051346817738	0.2649399419265365	0.16262790013736467	0.11163251951857207	0.22631421972241086	0.19076147950097921	0.25006529334512795	0.19187544074983984	0.11795645961700887	0.2028530174360702	0.17520119500199274	0.22608076100416535	0.22992335845530892	0.28355713048195497	0.22619539088652157
G1-132	0.25454168191875765	0.27556283735101766	0.16048703985452314	0.005042462728477425	0.19524270189766077	0.0	0.2814796297367986	0.278593176211635	0.16257576875580207	0.29880764102166435	0.2711128024761319	0.29944218775762665	0.33208231219716716	0.33231844628771356	0.29971353426086617	0.30700921597252745	0.2739565367633364	0.22750464658004363	0.2693650908330764	0.30108092318829727	0.29250219401958016	0.2690225811521612	0.2737126888956906	0.2922665634662956	0.3015605769865081	0.29003453385990935	0.2929174182307138	0.30002548557349734	0.27684727632436884	0.29839862771305314	0.2984828413433463	0.30071024015608555	0.2722218118006379	0.2702000251340651	0.2904765117238891	0.28961197246136255	0.2911837937392113	0.29067859229969534	0.2905775520117922	0.29037547143598585	0.2915879548908239	0.2908586452154577	0.2803318646616263	0.2634941602046461	0.27582423591131955	0.29971579585842434	0.2723116991621096	0.27656718983730205	0.2702108439706878	0.26965629257691337	0.33448617642501405	0.32233431841501076	0.3287138410567436	0.32717585526697507	0.33513003334213715	0.34123832206625987	0.3058357330999756	0.27521348240005594	0.30701771450055465	0.30516882643009907	0.30781086852403444	0.30127128604823267	0.31505233777959574	0.27463430251030063	0.2724228640080461	0.25821232100509967	0.27737490334191095	0.2742724941016659	0.27587735214743125	0.27560039401300507	0.29057755171179217	0.2945940651012491	0.2912065892577692	0.2959296163540343	0.2920672955348861	0.2927966050602524	0.29017339086017957	0.29011717390087843	0.2924973174819525	0.29259835776985565	0.2887932949954611	0.29384206491659587	0.30239196594966344	0.29848155290575734	0.3021586509901884	0.2986500364514704	0.2999361370912163	0.296254252834843	0.28772134809142946	0.29752876383246635	0.2813719080765373	0.3005264697105314	0.29483652978733366	0.28908089300439316	0.29000072151757417	0.2953522809255629	0.2845956623627743	0.29887029786374175	0.29174764955057125	0.29114304493431986	0.2629300702071922	0.26673861004136595	0.2962828937030191	0.2933382420920155	0.3011170731065254	0.2964968725871524
G1-135	0.11672953432314435	0.03656660008936749	0.2205180431318858	0.27670838800104597	0.08920350119101178	0.2814796297367986	0.0	0.06319322318994937	0.12182676024770146	0.17545501973344496	0.020031361713665714	0.1683813567913453	0.25584510712226166	0.2559093059618255	0.12017115613665251	0.20488819276703632	0.13040051074673373	0.09393837661976145	0.08634794631637381	0.19589501717986993	0.12099978547810274	0.08520189773355304	0.08750833159584462	0.09414329780910949	0.19332651407069842	0.1093197199761024	0.1422662046779587	0.1367676336358673	0.016601917057711676	0.07913737256431468	0.06731144952363123	0.0991470777165224	0.11447702083993623	0.06468530178955972	0.08744928658557806	0.08089271396117977	0.07487515742319939	0.08385667825346986	0.08565298241952396	0.08924559075163219	0.067689940758983	0.08024204241131756	0.06022538694612188	0.07693599567170054	0.08901544912595984	0.08186810728227761	0.08638911490873685	0.0884875980413703	0.08618686312433514	0.08546217337579907	0.2587647771030563	0.24489356658322672	0.25213276547987273	0.2507667149410869	0.2580651561395973	0.26610188155931813	0.2283812985501573	0.08823819241852575	0.2298047815685646	0.17075156086791415	0.2168043766739906	0.19198384850820682	0.23814272188326838	0.08811192383430312	0.08590048533204851	0.07015257849663108	0.05931461043206664	0.08711983681434084	0.0863867544084172	0.08607616699714422	0.08569703788961211	0.023172805942732667	0.052173875114358295	0.04295312210520094	0.0625213050112615	0.04996920350892689	0.09283819908374037	0.07191119313090934	0.051523203264496116	0.04972689909844202	0.03979632613676585	0.05283163518817088	0.19101101320360508	0.09980726285220141	0.18136652544052456	0.1297861310094445	0.1674606264078154	0.028331791916113406	0.015109740492594429	0.14421779022831036	0.137463161419876	0.2151823352710809	0.19050264923255372	0.08578298788052575	0.03648182488806886	0.1503038487869945	0.12248871149188476	0.17405492245971158	0.1222505888528405	0.042805764986505644	0.1539714258840687	0.12004491628227161	0.1502682002144206	0.15421014756734128	0.2076459811782458	0.15054902494746988
G1-136	0.05676669829527503	0.08390031792485739	0.16055275043804604	0.2737887964552784	0.13516864590022054	0.278593176211635	0.06319322318994937	0.0	0.1309471799521705	0.12042248091807964	0.05048101808643491	0.11429470632296632	0.20129630575470905	0.20153243984525548	0.07714201658493686	0.1554974489289629	0.07257198469510583	0.12078114328155302	0.13089506131663572	0.14282958990009711	0.06565237698939755	0.13172674882336777	0.13524265937924979	0.040743166715960455	0.1398874646447249	0.055999507251570935	0.08747950286156322	0.09373849408415164	0.06354960311776377	0.03124856138973582	0.023705243812535283	0.049787677665793	0.06335566625713271	0.11876245608657418	0.14314150108822093	0.13658492846382267	0.13056737192584225	0.13954889275611274	0.14134519692216682	0.14493780525427502	0.12338215526162583	0.1359342569139605	0.006260444159562024	0.1214819128884007	0.13639511607815355	0.03238431085523948	0.13332775870109526	0.13713807000413605	0.13294612154338784	0.13022717274374745	0.20387210523353838	0.19154831197255254	0.1979278346142854	0.19638984882451682	0.20434402689967887	0.2112092096898002	0.17492757732544537	0.13674345288361525	0.17440367330456105	0.12085495756229131	0.16182906891438428	0.13712711362868762	0.18427787190289754	0.13616427299385991	0.13395283449160528	0.11833730712320717	0.11330073734323445	0.13484337471849983	0.13644823231426528	0.13617127427983908	0.14130114205207867	0.07308487714332737	0.10777797927682482	0.04975495124466815	0.118125409173728	0.1055733076713934	0.14853041358638325	0.12760340763355218	0.10721541776713894	0.10541911360108484	0.09535598855699268	0.03256697458167948	0.13617657638491218	0.05200656201779886	0.12673758883962624	0.07814885919659197	0.11293447199583173	0.07487875602475326	0.07526461353314362	0.0923890488081119	0.07860217307269772	0.160113984286663	0.13381357454602652	0.030961959506723983	0.039863346457873775	0.09687048383614397	0.07073906023135496	0.11993381650493048	0.06815326898395155	0.03328297310278648	0.09408744719949477	0.059961343400485714	0.09612052218717267	0.09893144397238551	0.15256597738684421	0.09630193285840995
G1-138	0.15302210888676762	0.12863317643463604	0.1705525632663857	0.15783785655905042	0.04621350861913625	0.16257576875580207	0.12182676024770146	0.1309471799521705	0.0	0.24243863640664415	0.11166500625862148	0.2353983031535455	0.3216940308521157	0.32175822969167944	0.18412879210569738	0.27073711649689025	0.17781151071129986	0.08057498636366198	0.1338194967904385	0.2639925926296553	0.18854852094700705	0.13347698710952333	0.13816709485305254	0.16222679266934137	0.25924228294946833	0.17562896698920352	0.2057951401685985	0.20261655736572126	0.12937321531588697	0.14370691372503008	0.14231071588381564	0.16378346382615366	0.15801511848789357	0.11398384430444633	0.13426033109427024	0.13339579183174374	0.1349676131095924	0.13446241167007655	0.13436137138217338	0.13605663511032434	0.13537177426120509	0.1346424645858388	0.13265223927531503	0.12070940841086877	0.13917438085354522	0.14650449334190888	0.13584106541923913	0.13864652976895567	0.1314977659011218	0.13283450226815646	0.3246137008329104	0.31074249031308065	0.31798168920972675	0.3166156386709408	0.3250856224990508	0.3319508052891722	0.29469813692242275	0.139667888357418	0.296188464889746	0.23749144240309011	0.28318805989517204	0.25883414657540205	0.30432587035770203	0.13908870846766266	0.13687726996540808	0.10896435703555876	0.12109206323429011	0.13727876854192622	0.1365456861360026	0.13623509872472964	0.13440542655226156	0.1384219396417184	0.13503446379823858	0.13975749089450368	0.13589517007535543	0.13662447960072166	0.1396492434424325	0.13390099327125962	0.13628113685233365	0.1363821771402368	0.13254359290844428	0.13765902230758098	0.25692736314675674	0.1639088893705052	0.24731620497267723	0.19583579925860012	0.2337102720909769	0.14008212737531245	0.1252558467368887	0.2111355146088033	0.19643255634758294	0.28107700648221534	0.25528916528707607	0.15379963799184165	0.12753566730986218	0.21711933229787705	0.18116663660843343	0.24057043936958528	0.18171399359427737	0.12856727617851776	0.19408975243959573	0.16663771612112727	0.21718462509851583	0.2211932308794385	0.27362899079939934	0.21739860398264915
G1-139	0.09198819835794253	0.19593601085971799	0.1444529503682647	0.29403639918591173	0.2520001498601888	0.29880764102166435	0.17545501973344496	0.12042248091807964	0.24243863640664415	0.0	0.16731436640404537	0.009502908239358674	0.08382397940782836	0.08395733130946008	0.06207164746785095	0.03761399427642337	0.08057161739873774	0.23677763628928877	0.24689155432437143	0.025057495907215326	0.05824404649462981	0.24772324183110356	0.2486365467711859	0.08519990807373956	0.019752302032568784	0.07138669778755585	0.04766678028950319	0.04341015529090947	0.1771110729820176	0.11603044787030563	0.13077839929462254	0.09417780827645321	0.10992303837286559	0.23076722013219403	0.25118546506096556	0.2446288924365672	0.23861133589858685	0.2475928567288573	0.24938916089491145	0.25298176922701965	0.23142611923437045	0.24397822088670507	0.12273202123294692	0.23757613694926263	0.24882997470842705	0.11502336431426143	0.245924090957177	0.24871351900783625	0.24893065134087775	0.24652004925798146	0.0865361902024192	0.07366485687001297	0.08024994388957528	0.07983807832754423	0.08726126215005607	0.09362291831681657	0.055794829766186674	0.2486670756007472	0.056274718039648286	0.022278211397028246	0.043600510516597975	0.018387937955026017	0.06517832565459668	0.24819996592872043	0.2469787274446846	0.23244414401736807	0.22657182313773053	0.24806286853916265	0.24835989197115133	0.24785879325126786	0.24930105085473517	0.18086451009554302	0.21582194324956946	0.15749052842679565	0.22577287661567919	0.21317671994325638	0.2565743775591278	0.23564737160629678	0.2152593817398836	0.21346307757382943	0.2035987806533613	0.1408097650780481	0.017602672310787174	0.09412153874855125	0.012160459012417356	0.06196639897320654	0.021801600253314783	0.18226189244617544	0.18488886567811902	0.03322114762906407	0.048388677657623114	0.04407909216653388	0.020076575868096518	0.09216009752652206	0.14912340037637972	0.02666439253020839	0.06951197697632182	0.003656159570727072	0.10362109984107133	0.1425430267712924	0.052136399869961436	0.07858139896570747	0.027671695012625792	0.022991343363594836	0.03522731506687702	0.027688187825146114
