	G1-11	G1-12	G1-13	G1-130	G1-131	G1-132	G1-135	G1-136	G1-138	G1-139	G1-14	G1-140	G1-141	G1-142	G1-143	G1-144	G1-15	G1-175	G1-176	G1-177	G1-178	G1-180	G1-182	G1-187	G1-188	G1-189	G1-190	G1-192	G1-193	G2-1100	G2-1101	G2-1102	G2-1103	G2-1104	G2-1105	G2-1106	G2-1107	G2-1108	G2-1109	G2-1110	G2-1111	G2-1113	G2-194	G2-197	G2-198	G2-199	G2-21	G2-210	G2-211	G2-212	G2-213	G2-214	G2-215	G2-216	G2-217	G2-218	G2-219	G2-22	G2-220	G2-221	G2-222	G2-223	G2-224	G2-23	G2-24	G2-25	G2-26	G2-27	G2-28	G2-29	G2-313	G2-314	G2-315	G2-316	G2-317	G2-318	G2-319	G2-320	G2-321	G2-322	G2-323	G2-324	G2-325	G2-326	G2-327	G2-328	G2-329	G2-330	G2-413	G2-414	G2-415	G2-416	G3-417	G3-418	G3-419	G3-420	G3-421	G3-422	G3-423	G3-424	G3-425	G3-426	G3-427	G3-428	G3-429	G3-430
G1-11	0.0	0.355	0.585	0.695	0.51	0.72	0.7	0.2	0.69	0.56	0.51	0.53	0.885	0.935	0.93	0.935	0.6	0.345	0.355	0.47	0.335	0.355	0.355	0.48	0.745	0.4	0.615	0.925	0.245	0.94	0.94	0.935	0.9	0.9	1.0	1.0	1.0	1.0	0.995	1.0	1.0	1.0	0.23	0.335	0.325	0.935	0.35	0.3	0.37	0.34	0.885	0.925	0.925	0.93	0.925	0.915	0.85	0.46	0.875	0.835	0.875	0.35	0.855	0.39	0.755	0.35	0.95	0.365	0.305	0.275	0.995	0.99	1.0	0.985	1.0	0.995	1.0	1.0	1.0	0.995	0.815	0.81	0.715	0.995	0.76	0.845	0.74	0.995	0.775	0.53	0.745	0.89	0.51	0.47	0.76	0.275	0.495	0.285	0.605	0.77	0.245	0.265	0.205	0.365	0.325	0.315
G1-12	0.355	0.0	0.81	0.895	0.77	0.905	0.805	0.39	0.92	0.645	0.67	0.595	0.95	0.995	0.995	0.995	0.725	0.325	0.065	0.545	0.35	0.03	0.035	0.54	0.765	0.425	0.66	0.995	0.275	1.0	1.0	1.0	0.97	0.92	1.0	1.0	1.0	1.0	0.995	1.0	1.0	1.0	0.29	0.46	0.445	0.995	0.365	0.42	0.51	0.48	0.96	0.995	0.995	0.995	0.995	0.99	0.92	0.47	0.945	0.9	0.945	0.42	0.925	0.395	0.76	0.315	0.96	0.5	0.435	0.405	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.845	0.84	0.79	1.0	0.835	0.92	0.815	1.0	0.885	0.725	0.8	0.905	0.62	0.595	0.825	0.26	0.57	0.23	0.68	0.835	0.51	0.49	0.35	0.5	0.48	0.45
G1-13	0.585	0.81	0.0	0.33	0.47	0.3	0.665	0.52	0.57	0.66	0.62	0.67	0.94	0.985	0.98	0.985	0.585	0.81	0.82	0.74	0.74	0.805	0.815	0.715	0.75	0.765	0.76	0.985	0.775	0.88	0.86	0.86	0.83	0.9	1.0	1.0	0.995	0.995	0.995	1.0	1.0	1.0	0.77	0.775	0.805	0.865	0.71	0.8	0.805	0.785	0.91	0.985	0.985	0.985	0.985	0.965	0.825	0.71	0.825	0.76	0.81	0.725	0.83	0.71	0.71	0.705	0.85	0.69	0.805	0.805	0.99	0.945	0.985	0.94	0.955	0.955	1.0	1.0	1.0	1.0	0.845	0.84	0.665	0.98	0.68	0.775	0.665	0.845	0.84	0.655	0.63	0.74	0.66	0.65	0.785	0.76	0.74	0.755	0.74	0.7	0.635	0.67	0.745	0.75	0.725	0.745
G1-130	0.695	0.895	0.33	0.0	0.525	0.045	0.865	0.775	0.63	0.885	0.82	0.89	0.955	1.0	0.995	1.0	0.82	0.89	0.9	0.885	0.885	0.895	0.895	0.89	0.89	0.89	0.88	1.0	0.84	0.99	0.99	0.99	0.96	0.92	1.0	1.0	0.995	0.995	0.995	1.0	1.0	1.0	0.825	0.845	0.855	0.985	0.895	0.85	0.855	0.84	0.96	1.0	1.0	0.995	1.0	0.99	0.925	0.895	0.935	0.895	0.935	0.9	0.925	0.895	0.895	0.885	0.955	0.845	0.855	0.855	0.99	0.99	0.99	0.99	0.99	0.99	1.0	1.0	1.0	1.0	0.88	0.88	0.84	0.995	0.84	0.86	0.84	0.985	0.86	0.84	0.865	0.88	0.895	0.86	0.89	0.865	0.88	0.885	0.885	0.885	0.715	0.755	0.835	0.84	0.825	0.835
G1-131	0.51	0.77	0.47	0.525	0.0	0.545	0.64	0.64	0.235	0.75	0.305	0.77	0.78	0.745	0.595	0.66	0.61	0.77	0.78	0.695	0.745	0.77	0.78	0.76	0.775	0.75	0.73	0.6	0.69	1.0	1.0	1.0	0.97	0.905	1.0	1.0	1.0	1.0	0.995	1.0	1.0	1.0	0.68	0.675	0.68	0.995	0.77	0.68	0.635	0.66	0.805	0.6	0.74	0.735	0.76	0.87	0.92	0.77	0.945	0.9	0.945	0.78	0.925	0.77	0.77	0.77	0.95	0.655	0.62	0.665	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.825	0.82	0.735	0.99	0.78	0.865	0.76	0.99	0.46	0.465	0.76	0.885	0.66	0.61	0.43	0.56	0.41	0.61	0.51	0.43	0.51	0.555	0.615	0.605	0.545	0.575
G1-132	0.72	0.905	0.3	0.045	0.545	0.0	0.845	0.765	0.595	0.88	0.81	0.89	0.94	0.985	0.98	0.985	0.79	0.905	0.915	0.865	0.865	0.9	0.91	0.885	0.895	0.885	0.875	0.985	0.86	0.985	0.985	0.985	0.955	0.9	1.0	1.0	0.995	0.995	0.995	1.0	1.0	1.0	0.845	0.85	0.88	0.98	0.885	0.875	0.88	0.86	0.92	0.985	0.985	0.985	0.985	0.965	0.92	0.885	0.93	0.895	0.93	0.915	0.925	0.885	0.885	0.87	0.93	0.845	0.88	0.88	0.99	0.985	0.985	0.985	0.985	0.985	1.0	1.0	1.0	1.0	0.915	0.915	0.85	0.98	0.85	0.855	0.85	0.955	0.865	0.855	0.84	0.855	0.87	0.85	0.885	0.87	0.865	0.88	0.865	0.855	0.73	0.775	0.855	0.86	0.83	0.85
G1-135	0.7	0.805	0.665	0.865	0.64	0.845	0.0	0.65	0.71	0.77	0.53	0.79	0.82	0.865	0.86	0.865	0.3	0.805	0.815	0.72	0.77	0.805	0.815	0.78	0.795	0.785	0.765	0.865	0.755	0.985	0.985	0.985	0.955	0.9	1.0	1.0	1.0	1.0	0.995	1.0	1.0	1.0	0.75	0.725	0.745	0.98	0.485	0.745	0.7	0.725	0.79	0.865	0.865	0.86	0.865	0.865	0.905	0.355	0.93	0.885	0.93	0.8	0.91	0.42	0.19	0.745	0.335	0.6	0.685	0.73	1.0	0.99	1.0	0.985	1.0	1.0	1.0	1.0	1.0	1.0	0.84	0.835	0.335	0.98	0.385	0.48	0.405	0.89	0.725	0.64	0.14	0.265	0.225	0.27	0.695	0.665	0.66	0.675	0.66	0.59	0.685	0.695	0.675	0.665	0.63	0.65
G1-136	0.2	0.39	0.52	0.775	0.64	0.765	0.65	0.0	0.75	0.47	0.44	0.435	0.935	0.98	0.975	0.98	0.53	0.39	0.4	0.49	0.34	0.385	0.395	0.46	0.725	0.39	0.615	0.98	0.31	0.905	0.845	0.845	0.835	0.9	1.0	1.0	0.995	0.995	0.995	1.0	1.0	1.0	0.3	0.375	0.385	0.84	0.3	0.355	0.45	0.405	0.905	0.98	0.98	0.975	0.98	0.96	0.785	0.37	0.79	0.78	0.79	0.29	0.79	0.3	0.66	0.31	0.86	0.335	0.375	0.345	0.99	0.97	0.985	0.965	0.98	0.98	1.0	1.0	1.0	1.0	0.82	0.815	0.625	0.98	0.67	0.755	0.65	0.88	0.805	0.5	0.64	0.775	0.47	0.4	0.79	0.335	0.52	0.355	0.625	0.705	0.355	0.345	0.3	0.415	0.37	0.36
G1-138	0.69	0.92	0.57	0.63	0.235	0.595	0.71	0.75	0.0	0.885	0.355	0.905	0.78	0.745	0.425	0.66	0.695	0.92	0.93	0.82	0.87	0.915	0.925	0.895	0.91	0.885	0.87	0.43	0.855	0.985	0.985	0.985	0.955	0.905	1.0	1.0	0.995	0.995	0.995	1.0	1.0	1.0	0.845	0.84	0.86	0.98	0.87	0.86	0.815	0.835	0.775	0.575	0.74	0.735	0.76	0.865	0.925	0.87	0.93	0.91	0.93	0.93	0.93	0.87	0.87	0.855	0.9	0.78	0.8	0.845	0.99	0.985	0.985	0.985	0.985	0.985	1.0	1.0	1.0	1.0	0.92	0.92	0.84	0.98	0.84	0.84	0.84	0.925	0.335	0.63	0.815	0.84	0.76	0.71	0.345	0.705	0.54	0.745	0.635	0.285	0.675	0.72	0.78	0.77	0.7	0.74
G1-139	0.56	0.645	0.66	0.885	0.75	0.88	0.77	0.47	0.885	0.0	0.605	0.13	0.915	0.96	0.955	0.96	0.655	0.65	0.65	0.36	0.36	0.635	0.645	0.17	0.365	0.43	0.4	0.96	0.6	0.775	0.64	0.57	0.585	0.81	0.9	0.9	0.895	0.895	0.895	0.9	0.9	0.9	0.605	0.545	0.625	0.67	0.63	0.615	0.625	0.615	0.9	0.955	0.96	0.96	0.94	0.94	0.59	0.645	0.615	0.535	0.615	0.365	0.635	0.645	0.755	0.485	0.92	0.605	0.62	0.62	0.89	0.81	0.885	0.81	0.775	0.845	0.9	0.9	0.9	0.9	0.745	0.74	0.62	0.895	0.68	0.78	0.66	0.805	0.83	0.4	0.735	0.7	0.585	0.575	0.775	0.58	0.545	0.57	0.58	0.785	0.585	0.58	0.575	0.5	0.475	0.555
