	shannon
G1-11	1.7759998092979612
G1-12	0.0907931358959112
G1-13	1.8818572292878346
G1-130	0.8940685427796459
G1-131	1.8486922541131425
G1-132	0.9659310140093431
G1-135	1.6270334514058615
G1-136	1.971056163212593
G1-138	1.6799022240185666
G1-139	2.3151023911762323
G1-14	2.0574744673687664
G1-140	2.2486321541597514
G1-141	1.6589464096285715
G1-142	1.3687279003385413
G1-143	0.9257577582618869
G1-144	1.5088947049859112
G1-15	2.3081399179465243
G1-175	1.4891571822749043
G1-176	0.421088807204063
G1-177	1.607466151525025
G1-178	1.2146915196978616
G1-180	0.29713514881102715
G1-182	0.29336071130020985
G1-187	2.0308913304861074
G1-188	1.9320163764591693
G1-189	1.7006587330642338
G1-190	2.5634995793746316
G1-192	0.8296936585154338
G1-193	1.422737242882295
G2-1100	0.66493326750643
G2-1101	1.099945934282163
G2-1102	1.2839372532315798
G2-1103	1.9534870057110203
G2-1104	0.8924205724158405
G2-1105	0.04541469233379411
G2-1106	-0.0
G2-1107	0.04541469233379411
G2-1108	0.04541469233379411
G2-1109	0.04541469233379411
G2-1110	-0.0
G2-1111	-0.0
G2-1113	-0.0
G2-194	1.5275776042667355
G2-197	2.0943094748251
G2-198	1.625140124245536
G2-199	1.1000646572763486
G2-21	1.1638424792644753
G2-210	1.6472676328363691
G2-211	1.9477365410755312
G2-212	1.9071220312604182
G2-213	1.931182633091068
G2-214	1.5523147361616414
G2-215	1.5032239639663634
G2-216	1.4602545569741157
G2-217	1.7006082644622058
G2-218	1.5132026773803964
G2-219	1.6631824642487358
G2-22	1.0772198490700031
G2-220	1.4912560100744325
G2-221	2.282704107503664
G2-222	1.213489047863364
G2-223	1.7441548707197965
G2-224	1.2712312573531335
G2-23	0.9679505356936395
G2-24	0.7950402793845223
G2-25	1.5648820142000872
G2-26	0.5039217679302567
G2-27	2.063695491574602
G2-28	1.7106255361220744
G2-29	1.6189574181418371
G2-313	0.1261351476101941
G2-314	0.4817630671939111
G2-315	0.11236071009937676
G2-316	0.4949718350124549
G2-317	0.5435644431995964
G2-318	0.3522739301726943
G2-319	-0.0
G2-320	-0.0
G2-321	-0.0
G2-322	0.04541469233379411
G2-323	0.8286941135942468
G2-324	0.8210288124165441
G2-325	2.2500261785248186
G2-326	0.2533607113002098
G2-327	2.3588239907520516
G2-328	2.2364189650487996
G2-329	2.462321333178092
G2-330	1.2457377064609152
G2-413	0.998303428054792
G2-414	2.445572985410746
G2-415	1.3958173837576593
G2-416	1.2843383643594313
G3-417	1.6547709958405987
G3-418	1.9469308241363155
G3-419	0.9751613438606052
G3-420	1.145022521066137
G3-421	2.0638381624722193
G3-422	1.0835330556763332
G3-423	2.2799886986218527
G3-424	1.4975441673384595
G3-425	2.3679843299465633
G3-426	2.1651832567529365
G3-427	1.8285876043484537
G3-428	2.0643525625259405
G3-429	2.179688472105092
G3-430	1.9894395268340057
