	G1-11	G1-12	G1-13	G1-130	G1-131	G1-132	G1-135	G1-136	G1-138	G1-139	G1-14	G1-140	G1-141	G1-142	G1-143	G1-144	G1-15	G1-175	G1-176	G1-177	G1-178	G1-180	G1-182	G1-187	G1-188	G1-189	G1-190	G1-192	G1-193	G2-1100	G2-1101	G2-1102	G2-1103	G2-1104	G2-1105	G2-1106	G2-1107	G2-1108	G2-1109	G2-1110	G2-1111	G2-1113	G2-194	G2-197	G2-198	G2-199	G2-21	G2-210	G2-211	G2-212	G2-213	G2-214	G2-215	G2-216	G2-217	G2-218	G2-219	G2-22	G2-220	G2-221	G2-222	G2-223	G2-224	G2-23	G2-24	G2-25	G2-26	G2-27	G2-28	G2-29	G2-313	G2-314	G2-315	G2-316	G2-317	G2-318	G2-319	G2-320	G2-321	G2-322	G2-323	G2-324	G2-325	G2-326	G2-327	G2-328	G2-329	G2-330	G2-413	G2-414	G2-415	G2-416	G3-417	G3-418	G3-419	G3-420	G3-421	G3-422	G3-423	G3-424	G3-425	G3-426	G3-427	G3-428	G3-429	G3-430
G1-11	0.0	0.23532026642216897	0.035219011390018054	0.04841959332383036	0.17763299757726977	0.03780233076019681	0.15305717381114947	0.035134690075997885	0.035267445412470635	0.15859322580466112	0.035134690075997885	0.21215164180413013	0.19219495157328004	0.20842038546844724	0.15621512306568414	0.20842038546844724	0.09624226819317165	0.459323787557279	0.5315843707129895	0.11416494312870802	0.13217740100214118	0.1768841787957105	0.4556031059713083	0.23082430985812083	0.35629426776665096	0.23527844383837643	0.5923366925739746	0.12034172237530676	0.06091128754990741	0.21197516764214522	0.21197516764214522	0.12427256518521708	0.4267089570879518	0.21085373446903508	0.4795603659735867	0.35880581952551227	0.21704500185001427	0.21704500185001427	0.35626947246740504	0.35880581952551227	0.35880581952551227	0.35880581952551227	0.06889346444637841	0.15800095685425658	0.3403425243357263	0.20944729539605497	0.31006349849370224	0.2938117163409001	0.700657919637543	0.10006300565883737	0.0735066337078005	0.1277872485147769	0.22585393875413293	0.20335756556175769	0.23663521923640168	0.0735066337078005	0.11577190251390877	0.23790734059977167	0.2318158644773029	0.28826819542029564	0.12395070327504965	0.12102110817355119	0.11880030022236751	0.30601585396680003	0.30601585396680003	0.22879152174025383	0.21611620267428316	0.15226806642442128	0.3459683565282239	0.3459683565282239	0.12934239939308614	0.21197516764214522	0.21704500185001427	0.21197516764214522	0.21704500185001427	0.12934239939308614	0.35880581952551227	0.35880581952551227	0.35880581952551227	0.2708091899197142	0.2657510777423397	0.35374770734813776	0.20431714899651604	0.34529008412932793	0.20431714899651604	0.20431714899651604	0.20431714899651604	0.21144741193482178	0.19646312553036607	0.14719823221655223	0.005899967654488863	0.055885854607833775	0.053307405247456585	0.24286401508229244	0.28401681847838567	0.19742864265802051	0.3046985330940571	0.0862802428749515	0.1162813137201088	0.20599272977339192	0.09903165042850881	0.06091128754990741	0.16515254507884272	0.08258214912708031	0.04324314877733613	0.1534708568121147
G1-12	0.23532026642216897	0.0	0.21282652496566018	0.22637263328240242	0.07014783992420645	0.2107204887227962	0.3185347185169627	0.22105467516597238	0.21278714279693373	0.33726737099295473	0.22105467516597238	0.3018843520703984	0.3031521114309304	0.2897181263925727	0.3282154840644343	0.2897181263925727	0.2564136903445543	0.5709404707784922	0.47917723355300884	0.3194102908303621	0.2954631395154075	0.2835725218317827	0.5450707295992213	0.34033445585681343	0.438868575330583	0.33720345942961044	0.6588069348731002	0.24443004137731936	0.19136746447934677	0.3026797181590135	0.3026797181590135	0.25747514407201705	0.5235594702450125	0.15984210541978824	0.35797809863968555	0.16368155500255452	0.29880061286710957	0.29880061286710957	0.16037336242657013	0.16368155500255452	0.16368155500255452	0.16368155500255452	0.19865663798283856	0.10860228966544797	0.14963882018533223	0.299921355249205	0.2817432733410712	0.21227426898792218	0.6880672437193178	0.3050623110689444	0.2878552959471874	0.25124662001326475	0.3403189813494097	0.28890164145427705	0.3500315826915535	0.2878552959471874	0.2485765570264747	0.19281726603775107	0.3530916843381766	0.40222073261172064	0.25677913273477365	0.25414335484659833	0.2521445629738555	0.21523231708807697	0.21523231708807697	0.4092469583966545	0.16606627792843537	0.332050730482396	0.15903624756997894	0.15903624756997894	0.25346152469630895	0.3026797181590135	0.29880061286710957	0.3026797181590135	0.29880061286710957	0.25346152469630895	0.16368155500255452	0.16368155500255452	0.16368155500255452	0.11443741980083316	0.11405648779903212	0.1631259859645664	0.3754070477830131	0.26959667145395955	0.3754070477830131	0.3754070477830131	0.3754070477830131	0.37481153690658653	0.2954589840766923	0.33552950664061176	0.23596423639558187	0.22435254527241857	0.27988607153500866	0.411868500349066	0.39220227962508436	0.2875530091818055	0.45894964102077285	0.29777194395767576	0.3210520411280436	0.36876074870558817	0.30426217358545476	0.19136746447934677	0.29340681409241903	0.17233619260310193	0.2609680544073238	0.3120174144450136
G1-13	0.035219011390018054	0.21282652496566018	0.0	0.02397238774033842	0.16305228906393862	0.007874136400589878	0.13989357849987008	0.010452778785455464	0.010458275711939542	0.1279460347192039	0.010452778785455464	0.18331165758462056	0.21420780410606285	0.18531758989839517	0.13158868100091314	0.18531758989839517	0.0650254473166527	0.47394139169056587	0.54833304289689	0.13211829201886188	0.10173439909674256	0.18180638164950474	0.4685282456523529	0.23544418345573953	0.33664744056489115	0.23994986592593728	0.5988742181886942	0.14557009199449836	0.08939031851185045	0.18282894348158044	0.18282894348158044	0.14318495086864869	0.4400272921727735	0.23621143762370392	0.46731064117292787	0.34011006379648556	0.18806409490900694	0.18806409490900694	0.3374997626594325	0.34011006379648556	0.34011006379648556	0.34011006379648556	0.09713042598509813	0.1923926737433068	0.3296763721418703	0.18021864234452736	0.3325250506811281	0.28212900977109173	0.7138266880805472	0.12591162040253814	0.09844260504238934	0.15281420459548364	0.24820868863014464	0.18482244741708903	0.2586939981088909	0.09844260504238934	0.14090541537771892	0.26285270287810186	0.24882198220466709	0.3041548777948115	0.14281373207702502	0.1461634642711784	0.14400252992487853	0.2856016867405439	0.2856016867405439	0.24498279073911916	0.24148279386344454	0.13086741742699579	0.33552950664061176	0.33552950664061176	0.1482803733295176	0.18282894348158044	0.18806409490900694	0.18282894348158044	0.18806409490900694	0.1482803733295176	0.34011006379648556	0.34011006379648556	0.34011006379648556	0.2962681547134614	0.295507090071184	0.3392146948119638	0.18547503072412114	0.3272933744922342	0.18547503072412114	0.18547503072412114	0.18547503072412114	0.183953952630063	0.17619775620423617	0.1256592731606981	0.029393408395668206	0.02143721938727551	0.07861522093419387	0.226109619582823	0.30007392466966254	0.1770823587898712	0.31877005788760476	0.10466333509707551	0.13420170726091335	0.17839915621062738	0.12490988847270763	0.08939031851185045	0.1903332228194191	0.05907514125353381	0.07072378287301097	0.13461951139632825
G1-130	0.04841959332383036	0.22637263328240242	0.02397238774033842	0.0	0.1669854706082234	0.016203896315861145	0.15166195435185367	0.02394509502200525	0.013585490485468706	0.15087066510723704	0.02394509502200525	0.2058949682788538	0.2255668598949904	0.19875632183275072	0.14502474613466523	0.19875632183275072	0.07775097216439361	0.4699877652925955	0.544457866340616	0.14455420841125413	0.11460426361828974	0.1942452115221194	0.4641018933865776	0.25486467676085545	0.35437173539622596	0.2515071902928895	0.6033384077079806	0.15864786462673952	0.09283902029075729	0.19592854589412237	0.19592854589412237	0.15592594942736565	0.4483722962474392	0.24928137687162155	0.47147682445511757	0.34457751962830574	0.1916959769764878	0.1916959769764878	0.34195287349307146	0.34457751962830574	0.34457751962830574	0.34457751962830574	0.10058910573052007	0.19633677831451893	0.33448962408484534	0.19331764334463725	0.3363126771899459	0.286651083319966	0.7164869086474615	0.12921058987066164	0.11140723774566377	0.16578144162826045	0.25971978658390305	0.19354548142046948	0.27004498234805396	0.11140723774566377	0.16327348374214334	0.2532061746553419	0.2599795008581021	0.32155914282625053	0.15552246920673732	0.15887295069021734	0.15674371182469213	0.27572633248311956	0.27572633248311956	0.24817725321664166	0.2453029076249376	0.13459757436503597	0.34033115374046097	0.34033115374046097	0.15160203396012142	0.19592854589412237	0.1916959769764878	0.19592854589412237	0.1916959769764878	0.15160203396012142	0.34457751962830574	0.34457751962830574	0.34457751962830574	0.3003812644560261	0.29528751256152924	0.3393433169447683	0.17996798198133707	0.3314373068692829	0.17996798198133707	0.17996798198133707	0.17996798198133707	0.18735549925978454	0.18969007244078595	0.13910471504614683	0.0475795805502442	0.007946169915648492	0.10154735313726729	0.2380103555501633	0.3107193350502559	0.1810896439620906	0.32805055267255767	0.11749137218444809	0.1466078644225722	0.1910249235788074	0.12820798020022914	0.09283902029075729	0.20200495421040615	0.07263902027131126	0.07395842502185952	0.13792565952755675
G1-131	0.17763299757726977	0.07014783992420645	0.16305228906393862	0.1669854706082234	0.0	0.15601838595314715	0.26712512941036765	0.16229121329294466	0.15339998012275471	0.28767168847975255	0.16229121329294466	0.3423461263652934	0.33795580744462395	0.3317146658908241	0.2777968698796245	0.3317146658908241	0.2091676474469762	0.5550972784940836	0.5005163635435952	0.2729482604186922	0.24749351016558838	0.3226457734199078	0.5614366959752228	0.3736052602871603	0.4653101136704223	0.37078280402103053	0.6663604580403144	0.2879067338506626	0.2288894497357119	0.3435143118075287	0.3435143118075287	0.2998021636478601	0.5412878793620951	0.10349662227176569	0.3927545142149226	0.221740206979087	0.3400773393864544	0.3400773393864544	0.21866167477062087	0.221740206979087	0.221740206979087	0.221740206979087	0.23547722498367968	0.04135544486782397	0.19785512584905154	0.34091747672286793	0.23255119932435742	0.14285256446398356	0.6928885532952648	0.2526363665441071	0.23940851417744125	0.29396455371880076	0.37370450643692016	0.32648576599823625	0.3824654298247706	0.23940851417744125	0.29144611709914997	0.13746928784174808	0.38534645084255287	0.4296716705194826	0.29903940400632434	0.2966953227587924	0.29491837001804316	0.15611382267443683	0.15611382267443683	0.3682146543797855	0.10968392188179572	0.2731848397289545	0.20615852891739597	0.20615852891739597	0.29623418765812054	0.3435143118075287	0.3400773393864544	0.3435143118075287	0.3400773393864544	0.29623418765812054	0.221740206979087	0.221740206979087	0.221740206979087	0.17398870919006998	0.16804167933982844	0.2156008416259471	0.3199121283909395	0.21469091160030454	0.3199121283909395	0.3199121283909395	0.3199121283909395	0.3272619248629566	0.32803619071172535	0.2769701979385784	0.1829343437682331	0.17438639075368084	0.23094040282472636	0.360036892490414	0.4205592341739307	0.32090413359937664	0.4238005720929978	0.2499472913915833	0.27469368273558425	0.32135679917590493	0.2517758668670139	0.2288894497357119	0.3216833476851981	0.21171892159491149	0.20521564897753564	0.26011616137031074
G1-132	0.03780233076019681	0.2107204887227962	0.007874136400589878	0.016203896315861145	0.15601838595314715	0.0	0.14219661888448387	0.013093189795910846	0.0026184058303924383	0.13536281206470688	0.013093189795910846	0.19056784815330247	0.21244565424259815	0.1831550654976495	0.1292835362535972	0.1831550654976495	0.06267459689061339	0.4731723288391698	0.5475798783336789	0.12998644749961455	0.0994504766877161	0.1797964876554297	0.4676677839917711	0.24164050085296984	0.34222547109998497	0.23821577789628587	0.5967387301271091	0.14336280814118552	0.0821671894887201	0.19016179383494525	0.19016179383494525	0.1504222721984109	0.44426054696550077	0.23424015049507568	0.4661708871951375	0.3383601041652363	0.18591092514671967	0.18591092514671967	0.3357428807804497	0.3383601041652363	0.3383601041652363	0.3383601041652363	0.09000844683993457	0.18575611942393344	0.32352253942976905	0.1875582366118603	0.33100958283683457	0.2757802624536551	0.7122229779226683	0.11952904009060773	0.09613337140173789	0.1506442376656131	0.246500385042768	0.1826642301534164	0.2570330666702995	0.09613337140173789	0.1481302232873229	0.26098456531467606	0.2549179629272007	0.3096563285020845	0.15003375305623368	0.15337508259119415	0.15123779521225197	0.2836903561542336	0.2836903561542336	0.243360484022236	0.2395251117522487	0.1237267534987251	0.3294603328741501	0.3294603328741501	0.1460821420126831	0.19016179383494525	0.18591092514671967	0.19016179383494525	0.18591092514671967	0.1460821420126831	0.3383601041652363	0.3383601041652363	0.3383601041652363	0.2944518699496478	0.29369343421330196	0.3374669088027163	0.17901280041542128	0.32561183518467485	0.17901280041542128	0.17901280041542128	0.17901280041542128	0.18191411319129544	0.17883816721469156	0.1282905109832008	0.036962317986610656	0.018826010912658942	0.08607851905488759	0.2284385624959431	0.29860360711937595	0.17012255930701434	0.31752291382714487	0.10239430140170958	0.1320800982727422	0.17635046073486754	0.11851528327561728	0.0821671894887201	0.1926173501357027	0.061729556913167255	0.06366257449558965	0.1283410050240627
G1-135	0.15305717381114947	0.3185347185169627	0.13989357849987008	0.15166195435185367	0.26712512941036765	0.14219661888448387	0.0	0.13933887271293613	0.13993675764023703	0.248581602919142	0.13933887271293613	0.2962245143316599	0.09529963958035395	0.2939779188412649	0.24741523919109626	0.2939779188412649	0.18917088441949467	0.3952154153771794	0.4886740256113617	0.24524197351563184	0.22227986781445078	0.2886179592564832	0.5170380849108126	0.3291775685306803	0.3907584868373398	0.33314627558822296	0.6138950101232762	0.25688394226530803	0.20564432482442016	0.29682398382908726	0.29682398382908726	0.2598021771985106	0.4753489254508441	0.3356359208884423	0.504833677176191	0.42805143366490256	0.3013479349465534	0.3013479349465534	0.42578899880852383	0.42805143366490256	0.42805143366490256	0.42805143366490256	0.21152981190039374	0.2895854908214709	0.41212817916248673	0.29456829458884315	0.41019692199777236	0.37007635330911104	0.7276370794124246	0.22836586233392314	0.2150291219505478	0.2623695602641311	0.33575568767574665	0.28946231159035285	0.23336212592533417	0.2150291219505478	0.2524904991664511	0.35730076130458194	0.3400288186074904	0.36017321363920934	0.2592246944773684	0.2570655966663883	0.2554301033797066	0.38153702700014835	0.38153702700014835	0.3328079130610327	0.34022109001298184	0.24354571156224744	0.4166003494531813	0.4166003494531813	0.26422140549254297	0.29682398382908726	0.3013479349465534	0.29682398382908726	0.3013479349465534	0.26422140549254297	0.42805143366490256	0.42805143366490256	0.42805143366490256	0.38787488793930364	0.38346777346761407	0.42353957111794277	0.2857178760247331	0.41245914152819435	0.2857178760247331	0.2857178760247331	0.2857178760247331	0.2921186918141548	0.28324404962571303	0.23902176044478132	0.1577452389728314	0.1539097184699557	0.19945235607708053	0.31612675353143743	0.1930754817357506	0.28450416590768013	0.2989434591489639	0.22448449424512715	0.246823969339617	0.2870491798640573	0.22758667671221763	0.20564432482442016	0.28297106997065363	0.18211802051415055	0.18575233240169167	0.23514814122529726
G1-136	0.035134690075997885	0.22105467516597238	0.010452778785455464	0.02394509502200525	0.16229121329294466	0.013093189795910846	0.13933887271293613	0.0	0.010502283205095062	0.13691283073634966	0.0	0.19168779738229935	0.22110705222339355	0.1937673317775511	0.14059568962107527	0.1937673317775511	0.07421731761232253	0.4769640349717344	0.5512901955850587	0.14045621232185468	0.11066334439317793	0.18966733283001896	0.4719074854433284	0.2422724521768321	0.3421842181399429	0.2467378942550764	0.599132512858983	0.15419772626270908	0.08902780614154988	0.19129645733169143	0.19129645733169143	0.1518286790783697	0.44372135110056776	0.2439166953097908	0.4717752950462653	0.3469478331102427	0.19647736220098844	0.19647736220098844	0.3443645798732035	0.3469478331102427	0.3469478331102427	0.3469478331102427	0.09673156688012076	0.191508742438524	0.32803619071172535	0.18871320409465225	0.3384576457677997	0.2807517552101622	0.7123917906132259	0.12541212547819267	0.10746970123181977	0.16129688990005628	0.2548961387057117	0.18861079322202548	0.2651970147455004	0.10746970123181977	0.14955047438768646	0.2701564435825351	0.25545449812665527	0.30981552492698017	0.15143958770944552	0.1547556115720472	0.15263801022723705	0.29306913427374753	0.29306913427374753	0.25133742116295943	0.2491348730127175	0.13028128430090796	0.333872959252931	0.333872959252931	0.15687269785893432	0.19129645733169143	0.19647736220098844	0.19129645733169143	0.19647736220098844	0.15687269785893432	0.3469478331102427	0.3469478331102427	0.3469478331102427	0.30336754776141167	0.29835200616506424	0.3417961782474966	0.184652721505224	0.333868698374471	0.184652721505224	0.184652721505224	0.184652721505224	0.19193033767046055	0.16574497741878072	0.12510037943161095	0.03429899109975554	0.031639396454529095	0.08798961786071764	0.21688987122607	0.3058345658107777	0.17624726062387577	0.32366279689114447	0.11353443435926497	0.14249983538343183	0.18641041120460372	0.1244145004744448	0.08902780614154988	0.18955388767022865	0.05886264704034351	0.07046643230475888	0.13408476488852802
G1-138	0.035267445412470635	0.21278714279693373	0.010458275711939542	0.013585490485468706	0.15339998012275471	0.0026184058303924383	0.13993675764023703	0.010502283205095062	0.0	0.13757798702894106	0.010502283205095062	0.1926362859010572	0.21417484433484588	0.185277157569154	0.1315455818710685	0.185277157569154	0.06498148027328039	0.4739269966108106	0.5483189450665631	0.13207841869544593	0.1016916849630087	0.1817687892534646	0.4685121386559032	0.2433268950050408	0.34359207810585957	0.23991742073713118	0.5972146828538127	0.14552881975132426	0.07961927590258014	0.19225271946343278	0.19225271946343278	0.15255754906117808	0.44517229886867643	0.23617457180820794	0.46728931697492176	0.3400773393864544	0.18802383043152437	0.18802383043152437	0.3374669088027163	0.3400773393864544	0.3400773393864544	0.3400773393864544	0.08748230066710648	0.18322997325110535	0.32090413359937664	0.18965588437877196	0.33249670070588416	0.2731848397289545	0.7112049588755536	0.11721755739592514	0.098399425388561	0.15277362927115767	0.24817673709026955	0.18006631715687277	0.25866293168105003	0.098399425388561	0.15026588295761556	0.2628177645077879	0.25655590944887585	0.3110540677074505	0.152164640527923	0.15549759326289825	0.15337102238919817	0.28556594550204567	0.28556594550204567	0.24495243850278461	0.24144618248072763	0.1211313307740245	0.3268649101494495	0.3268649101494495	0.14823926334154733	0.19225271946343278	0.18802383043152437	0.19225271946343278	0.18802383043152437	0.14823926334154733	0.3400773393864544	0.3400773393864544	0.3400773393864544	0.29623418765812054	0.29116728804047387	0.3348714860780157	0.1765660052841135	0.3272619248629566	0.1765660052841135	0.1765660052841135	0.1765660052841135	0.1839158017561306	0.17624726062387577	0.12570860559448246	0.034427432638884474	0.021388390331970545	0.08839520522590756	0.22615328436335574	0.30004641475178934	0.1675041534766219	0.3187467174177535	0.10462089906824355	0.1341620251499104	0.17836083947371142	0.11620113918556657	0.07961927590258014	0.190376047363298	0.05912490824291239	0.06120442669289571	0.12605265620361025
G1-139	0.15859322580466112	0.33726737099295473	0.1279460347192039	0.15087066510723704	0.28767168847975255	0.13536281206470688	0.248581602919142	0.13691283073634966	0.13757798702894106	0.0	0.13691283073634966	0.06266188156817938	0.298951539570489	0.08790832373876914	0.02813862406706682	0.08790832373876914	0.1843983509818378	0.5359825152151788	0.5794426338875103	0.1654000341896127	0.1352381697537816	0.21663785597607016	0.4970932183631605	0.25166372106127066	0.2641311522931469	0.2563466910125346	0.6146874854413242	0.17145926902011485	0.21190030993233008	0.07764057251526926	0.07764057251526926	0.16235464632718188	0.4603403620192032	0.259285731587894	0.41048305811799607	0.25328080596324654	0.08348681278242714	0.08348681278242714	0.2503658095532288	0.25328080596324654	0.25328080596324654	0.25328080596324654	0.20346429022535348	0.2980104040739493	0.25841374349733687	0.07472557610525149	0.35626755644426295	0.18907061906980502	0.7351622494362114	0.23674066956282225	0.10564637996773546	0.16258126939404202	0.2743236399081405	0.08763835988351101	0.2715324960859795	0.10564637996773546	0.15507685093024468	0.3014268588935404	0.25732623349902983	0.3141759620218271	0.1570702977444387	0.1605694616794743	0.1632065416096024	0.20921364604807602	0.20921364604807602	0.2643717337014083	0.2647783423371236	0.02025421791658784	0.24866856169094706	0.24866856169094706	0.16766393883324324	0.07764057251526926	0.08348681278242714	0.07764057251526926	0.08348681278242714	0.16766393883324324	0.25328080596324654	0.25328080596324654	0.25328080596324654	0.32186320782897543	0.32100309231133745	0.2525321489424362	0.08778745738975159	0.24457866487001945	0.08778745738975159	0.08778745738975159	0.08778745738975159	0.08557035198291495	0.08912959849409359	0.014441637484913861	0.15316872155647743	0.14870134521747547	0.11217771978999844	0.154853517192112	0.3328748398568264	0.08959734234411967	0.4032364538278918	0.13814857731176416	0.16746581439954067	0.07967650525809099	0.23587865004241487	0.21190030993233008	0.2974284810939833	0.18539824643349323	0.18929258030100318	0.2442352707987454
