	G1-11	G1-12	G1-13	G1-130	G1-131	G1-132	G1-135	G1-136	G1-138	G1-139	G1-14	G1-140	G1-141	G1-142	G1-143	G1-144	G1-15	G1-175	G1-176	G1-177	G1-178	G1-180	G1-182	G1-187	G1-188	G1-189	G1-190	G1-192	G1-193	G2-1100	G2-1101	G2-1102	G2-1103	G2-1104	G2-1105	G2-1106	G2-1107	G2-1108	G2-1109	G2-1110	G2-1111	G2-1113	G2-194	G2-197	G2-198	G2-199	G2-21	G2-210	G2-211	G2-212	G2-213	G2-214	G2-215	G2-216	G2-217	G2-218	G2-219	G2-22	G2-220	G2-221	G2-222	G2-223	G2-224	G2-23	G2-24	G2-25	G2-26	G2-27	G2-28	G2-29	G2-313	G2-314	G2-315	G2-316	G2-317	G2-318	G2-319	G2-320	G2-321	G2-322	G2-323	G2-324	G2-325	G2-326	G2-327	G2-328	G2-329	G2-330	G2-413	G2-414	G2-415	G2-416	G3-417	G3-418	G3-419	G3-420	G3-421	G3-422	G3-423	G3-424	G3-425	G3-426	G3-427	G3-428	G3-429	G3-430
G1-11	0.0	0.07292850417746843	0.1677347320764274	0.21575268118267105	0.06151606610534995	0.21768991671909724	0.12741562819933533	0.052363968511403854	0.05496458565827549	0.1443423283569361	0.05044120274552978	0.1091266782941807	0.2522245362256949	0.24504926194698298	0.07347883768819166	0.2173823617335165	0.09186047947975559	0.05759613578905716	0.07096547194473891	0.13298592720773078	0.09042360043882776	0.07170888799945349	0.07051848037295655	0.09729566550180634	0.14107804170278357	0.06397095231027829	0.06064877007584386	0.06629159753560027	0.06259713496433987	0.07579019839898375	0.09862665438392879	0.11133733166504418	0.11153501104314364	0.07817759006616253	0.0967491983103263	0.0961128515935726	0.09433857508756258	0.09433857508756258	0.09598876057075045	0.0961128515935726	0.0961128515935726	0.0961128515935726	0.05994604580178491	0.06424272081239205	0.0743126519612159	0.10665669898134751	0.08448890485641751	0.07354417076764143	0.07777307274541921	0.06680789595513917	0.24513234670502945	0.18309631239959032	0.23430777313602796	0.24174048497306513	0.2347961400918336	0.2777988388570183	0.07480389938717943	0.1040466978799201	0.21934460645915302	0.12474267569891931	0.2679605451170764	0.05234404530221492	0.0797119199891256	0.09513067875935591	0.15058489272431633	0.03788874438620292	0.17444962206685807	0.06971072727801113	0.07464267406544932	0.07406871950247262	0.09104649481141881	0.0754490400901318	0.09079002207554256	0.07539358998062974	0.07642141489476664	0.07507800625732863	0.0961128515935726	0.0961128515935726	0.0961128515935726	0.09459504782343885	0.09004492620033115	0.09129797896451855	0.1043204192560263	0.09514955577535245	0.10839185427515975	0.11052202239283042	0.09956861181441358	0.07504156027391383	0.07369970785195402	0.09846138951789507	0.1297021910528206	0.1579591303226251	0.0980238824716992	0.08453124553295611	0.07577207400391592	0.05983053132080096	0.03268386735771149	0.05324939645030965	0.07999851489340555	0.07934462130071822	0.013130891683643606	0.027827297400790763	0.04899530857482908	0.05543165546355409	0.04611831813214434	0.05247518008309393
G1-12	0.07292850417746843	0.0	0.23778011328806226	0.26597652965103813	0.11000844897759421	0.2699893540504018	0.1086536348401395	0.09338409649810414	0.10895042995890718	0.1650179543928705	0.051977365138335486	0.12890946496954153	0.2734902071283567	0.26479059196809984	0.08354266758312513	0.23712369175463327	0.11295848333332636	0.09359212761310248	0.025526407765632073	0.15807372416388812	0.10947482792645331	0.002904400730268565	0.012575319304804653	0.1172608821723267	0.160256915224749	0.02178809550467278	0.07049017727730489	0.07360890501088849	0.01147848307992292	0.06509501851220893	0.11834028764722163	0.13140110857223483	0.1574399209274158	0.039415560699697975	0.02695387087289074	0.026317524156137022	0.026440591954084276	0.026440591954084276	0.026193433133314868	0.026317524156137022	0.026317524156137022	0.026317524156137022	0.014186926780773806	0.0174137176715189	0.0038669555127944085	0.12637033224464034	0.05608777369764268	0.003748030670522794	0.025426214429069748	0.010577196616349182	0.27022014426118685	0.20551832974494022	0.26069059055425314	0.26151495301478594	0.2605567519306969	0.3009062363767381	0.10611002048867473	0.07199915597756974	0.2417389271466791	0.14535844441439522	0.2933254658092588	0.055159092016155445	0.10309644059487043	0.0608136126255243	0.11626782659048475	0.059137703383373826	0.1410993927104125	0.024073348325724282	0.0049741320760059715	0.004100211462020362	0.02835682256881073	0.053722529413644464	0.02964755049299397	0.053733924353058356	0.06492409442100062	0.042788135993904367	0.026317524156137022	0.026317524156137022	0.026317524156137022	0.025149864029901037	0.020765432509813397	0.021701479650706977	0.10262628722397184	0.02935911616529448	0.1034407224359644	0.09526220233143882	0.09204030791966919	0.07331509449863272	0.030775429829937487	0.12015372286858456	0.13214653767977755	0.1788798213882313	0.0883185019083311	0.08125095343476353	0.030752078989854426	0.01958330202976113	0.07590979484120096	0.0247889809558599	0.07287860518825087	0.039966305181938624	0.06733193653573842	0.047648416655207346	0.029823384748651812	0.04650827511123051	0.07040631285715582	0.02924412871335436
G1-13	0.1677347320764274	0.23778011328806226	0.0	0.09384266454961593	0.14130860002139295	0.09214331810111993	0.20667581557795794	0.15508976127974275	0.1486471094810244	0.20607861662186777	0.2010935713018954	0.20311382939156652	0.23332050339122615	0.231399171508027	0.20619267905019192	0.22210098879427154	0.18693304602433022	0.18080903277200533	0.23651736834312823	0.19642103345100098	0.19484023324077931	0.23679951179677333	0.2360263216012577	0.20128030929049867	0.21031336165441403	0.22988340077528732	0.21438018376448228	0.199705726185396	0.2289017712915155	0.21290751072463526	0.21133978819236174	0.2110769058738066	0.18201649946565185	0.2398869369598558	0.25912901826496365	0.25849267154820993	0.25667433987211175	0.25667433987211175	0.25836858052538775	0.25849267154820993	0.25849267154820993	0.25849267154820993	0.2266197830509667	0.22895931854306853	0.24100322539788255	0.2120558857724188	0.21596719441904802	0.24016559139224014	0.24550780312184667	0.23364125618612605	0.21937904513412232	0.21516263323527762	0.2221585537047832	0.22972469999454462	0.22264692066058894	0.2538712707181286	0.1930550517787242	0.21551026491942596	0.21746215355814166	0.21115854681411342	0.24389185040313027	0.19189302779193812	0.20388471791670074	0.21850344972094282	0.21308198848497817	0.1950287057201346	0.23010278107982252	0.222308131384789	0.24167711810408118	0.24110316384110453	0.2536883480697776	0.22604829769023205	0.2530376765199154	0.22599284758072996	0.213739262367166	0.23741147332507023	0.25849267154820993	0.25849267154820993	0.25849267154820993	0.25732501142197395	0.25294057990188623	0.2539432861207818	0.19963741777839505	0.25547323520688037	0.20688285824041638	0.21541280909434696	0.20790624466153484	0.2091064023946405	0.23683740024045558	0.20114661156650798	0.18844932056157146	0.18209701154192312	0.20306912055888357	0.20129569956386564	0.23892923720260129	0.2261704940333431	0.19059603810146614	0.22012414882773193	0.22459454863138434	0.2278908227040044	0.1787816666098624	0.19516553129642483	0.21633354412046307	0.1974041254199481	0.18047629992833578	0.2165304029126054
G1-130	0.21575268118267105	0.26597652965103813	0.09384266454961593	0.0	0.17023634567544244	0.005968901710082946	0.2516076798136279	0.24707654210548594	0.18633531971329478	0.28552829725971784	0.258777542286372	0.2824943569673487	0.29940136320898875	0.3022388255869322	0.28383061064501525	0.2997389203890949	0.24535345717331256	0.2140731107730584	0.2645418494551215	0.2766567989325577	0.2750759987223361	0.265201580449773	0.26405080271325093	0.28006153943918943	0.2886220609343893	0.27007208423450096	0.2729984915497544	0.2773436577802193	0.26296833519333146	0.28595701119573913	0.29034870177100114	0.2900858194524459	0.2610254130442912	0.26949552298846163	0.2872285378206941	0.2865921911039404	0.28477385942784217	0.28477385942784217	0.2864681000811182	0.2865921911039404	0.2865921911039404	0.2865921911039404	0.25680354800469185	0.2599432047202274	0.2692455908775622	0.2909766890108819	0.2586930057595514	0.2684079568719198	0.2737501686015263	0.2625690018401755	0.2936567049304325	0.292800564830101	0.29367803553528027	0.3018908715560296	0.29416640249108594	0.30379946516318773	0.27182473197881435	0.25792772969318506	0.29629484635642844	0.2902366133048207	0.2960572064546012	0.2670321744450527	0.282585245304723	0.26092091449470195	0.2554994532587373	0.2515533048958693	0.2645894470981609	0.2649434805262346	0.269919483583761	0.26934552932078426	0.281787867625508	0.2849474023977278	0.2830785955496912	0.2849587973371417	0.28578608710453085	0.2828954778070333	0.2865921911039404	0.2865921911039404	0.2865921911039404	0.28542453097770437	0.28114085499820757	0.2821435613171032	0.26324448126778394	0.2856288952857202	0.2666952329718907	0.26748103604181406	0.26582127523905197	0.2822648006660703	0.27667506346771525	0.2809837512434663	0.2469262286176935	0.2659146690870236	0.2559570279477885	0.2616748032242082	0.27516846268572226	0.268135079593687	0.24548094745720855	0.26415157631494846	0.28016483816149657	0.2726321741487529	0.217416409634139	0.23699769309442253	0.26012989527133396	0.269660641130178	0.26041414402463103	0.26663732210080193
G1-131	0.06151606610534995	0.11000844897759421	0.14130860002139295	0.17023634567544244	0.0	0.17338554534145614	0.14755040141963538	0.09379007445281515	0.022382851761798515	0.17135056823443678	0.09242399555902041	0.13591538718429316	0.27519557822451823	0.265021978475101	0.11887424508788082	0.23443217899492955	0.12645161033886984	0.061590017931463285	0.10874570403266022	0.1603964165776862	0.12161759581868263	0.11093552992130942	0.11019605676483511	0.12567350717852702	0.1628153507070846	0.11239914556415784	0.1126176920324075	0.1123872922230849	0.10967950671109997	0.12662100094421513	0.13101269151947711	0.13210946470410556	0.13265728772610275	0.10545302749034115	0.12400972862107919	0.12337338190432554	0.12349644970227276	0.12349644970227276	0.12324929088150335	0.12337338190432554	0.12337338190432554	0.12337338190432554	0.10358387258452824	0.10037252903083185	0.11155815769429189	0.13164067875935787	0.1043048847557235	0.11078967675071741	0.11451531815941222	0.10596565270559814	0.26831948186154986	0.19878319393700722	0.25480884170095897	0.2615412662502005	0.25557382090503633	0.3023950851482466	0.11233145832504612	0.12306196453408046	0.24344756662063902	0.14551480873798076	0.2953525353238334	0.11225559852980864	0.12316112471302268	0.11404639353686047	0.16723419159975372	0.09689893446883473	0.19144906438619325	0.10779069651186252	0.11006604519978419	0.11103950819565125	0.12245185737398404	0.12561139214620384	0.12374258529816727	0.12562278708561772	0.12645007685300683	0.1235594675555093	0.12337338190432554	0.12337338190432554	0.12337338190432554	0.1222057217780895	0.11768873817558582	0.11862478531647946	0.14348390199050706	0.12172470591173554	0.145527468021591	0.13650700542233024	0.1352040424529877	0.12224341024017656	0.11180680805075716	0.11934160935471397	0.16615891015345813	0.1973765606455498	0.1283086293542225	0.12124608291716839	0.11013355862375918	0.1095162583309935	0.08067481798870071	0.10656436655815082	0.12413201742122136	0.1069785491904221	0.061722848467711255	0.0819895121023645	0.10443397327534545	0.11344891338124156	0.10214155409346368	0.10905247317356513
G1-132	0.21768991671909724	0.2699893540504018	0.09214331810111993	0.005968901710082946	0.17338554534145614	0.0	0.24998552655582404	0.24550974773940587	0.1844356126439988	0.2872558517330707	0.2572107479202919	0.2842910645027696	0.300906336140422	0.3037437985183656	0.28533558357644845	0.30124389332052803	0.2436541107248165	0.21491561803830211	0.26872660910546775	0.27632821283280123	0.2747474126225796	0.2690087525591127	0.26823556236359725	0.28178909391254237	0.290487921481878	0.271799638707854	0.27472604602310735	0.27884863071165256	0.2648615155596695	0.287625388143288	0.29201707871855	0.2917541963999948	0.26269378999184	0.27159623293718044	0.29083831424228834	0.2902019675255346	0.28838363584943644	0.28838363584943644	0.2900778765027125	0.2902019675255346	0.2902019675255346	0.2902019675255346	0.2586967283710299	0.2610362638631317	0.2730801707179457	0.2926450659584307	0.25914251797130444	0.2722425367123033	0.2775847484419098	0.26571820150618913	0.291734776990017	0.2943055377615342	0.29518300846671364	0.3034289825080668	0.2956713754225193	0.3015319265861342	0.27353467026238537	0.2586855884716824	0.29796322330397723	0.2918691668793026	0.29772558340215	0.2690112432746976	0.28429767742236	0.2616787732731992	0.25625731203723456	0.250061417633577	0.2607694040483272	0.265351159494769	0.2737540634241445	0.27318010916116775	0.2853976440471023	0.28661577934527666	0.28474697249724007	0.28662717428469053	0.28745446405207964	0.2845638547545821	0.2902019675255346	0.2902019675255346	0.2902019675255346	0.28903430739929864	0.2851498201642257	0.2861525264831214	0.26191821994847675	0.28718253118420506	0.26536897165258355	0.2661547745725068	0.2644950139197447	0.28050627674177014	0.2784355002332403	0.2821915514354345	0.24526002018980142	0.2604615731798886	0.25430173666938066	0.2601189260076124	0.27689601710907513	0.269928910058248	0.2458377415318219	0.2658791307383014	0.27983625206174007	0.27093282770025684	0.21862420982610722	0.23889087346076054	0.2620230756376721	0.2715538214965161	0.26025118386785967	0.2678451222927702
G1-135	0.12741562819933533	0.1086536348401395	0.20667581557795794	0.2516076798136279	0.14755040141963538	0.24998552655582404	0.0	0.11918420102954493	0.1319451693091031	0.18191743534296054	0.09445471717730745	0.1646090070755379	0.25380745835328394	0.24825977652022707	0.1415813416329673	0.22139346002667643	0.055174487904916684	0.13417097323302826	0.11639506517134944	0.17128354232014045	0.1505905147581656	0.10768337147989743	0.10801512442077509	0.15795891691369188	0.18132690986612063	0.1092815088908828	0.13225786221380353	0.1341714805788134	0.10283129530529271	0.13662468943226033	0.1634506958100518	0.16930626325582282	0.17681280574282737	0.12055394603648355	0.12731288742509708	0.1270327389223379	0.12525846241632788	0.12525846241632788	0.12690864789951573	0.1270327389223379	0.1270327389223379	0.1270327389223379	0.1015102356156653	0.10260704063704437	0.11040197920035642	0.16747782180789153	0.05749019109764422	0.10963349825678194	0.11789679634964854	0.1037183327064958	0.24604189016248962	0.20221820493903	0.24199537785051442	0.2449509995463092	0.24068999659735857	0.28082105699541937	0.15145778245538624	0.03840717426561679	0.22482515617938706	0.17515015564646128	0.2770499551838561	0.12312048533894675	0.15164653754124507	0.050310301333941154	0.02788706268099576	0.10854716215984896	0.05183529835542734	0.08828804952909447	0.10890986670584875	0.10988332970171578	0.12231652578408186	0.1309231314220224	0.12170990940430783	0.13086768131252033	0.13665430048779983	0.12492593041960888	0.1270327389223379	0.1270327389223379	0.1270327389223379	0.1258650787961019	0.12144750925541023	0.12238355639630384	0.04345127007684069	0.1240133025810083	0.04975742971289742	0.04857240314788124	0.05358390323451051	0.11398123612643082	0.1140177586330491	0.15612403585796428	0.02962447376254277	0.0771911372621117	0.031910120628302646	0.04985752494755081	0.11114791438313058	0.10595850167781536	0.12590477080338658	0.10462809752427092	0.12198435760566866	0.09421800192439683	0.12232393812909967	0.11617165579985897	0.10809399718998708	0.11945058420676262	0.12246588478563471	0.1079105547313446
G1-136	0.052363968511403854	0.09338409649810414	0.15508976127974275	0.24707654210548594	0.09379007445281515	0.24550974773940587	0.11918420102954493	0.0	0.080219552891209	0.1061297370146919	0.05881147056230597	0.07084493388986857	0.21616158927654233	0.20863617135393261	0.05523766071655661	0.1809692711404661	0.08345283162961256	0.08108051358193799	0.09212135155317012	0.0950407635490139	0.051203251804369986	0.0923697779677739	0.0916303048112996	0.06112922040747924	0.10386635372076916	0.08549166951469914	0.07136620489088558	0.05634008506758979	0.08407988887536656	0.07172864332329505	0.06755016330885878	0.07340573075462979	0.08690670390718884	0.09848779370807471	0.11772987501318262	0.1170935282964289	0.1152751966203307	0.1152751966203307	0.11696943727360674	0.1170935282964289	0.1170935282964289	0.1170935282964289	0.08175384546472957	0.08409338165683136	0.09613728831164539	0.07157728930669852	0.07541034821557889	0.09529965405600296	0.10064186668560948	0.08877531949988883	0.20462188217918595	0.14738350909433542	0.19859496983077313	0.20532739438001474	0.19908333678657877	0.24071527520302385	0.047005667590005025	0.09486734991295658	0.18176314919263648	0.08734637051947526	0.23037908785055985	0.046926313470653715	0.05511602292161434	0.08535183438072176	0.1408060482956822	0.05210837704877816	0.16532926784886584	0.07881295519729142	0.0968111809178441	0.09623722635486738	0.11228920481799655	0.08486943028889182	0.11163853326813436	0.08481398017938976	0.07256039496582575	0.09623260592373004	0.1170935282964289	0.1170935282964289	0.1170935282964289	0.1159258681701929	0.11137574654708522	0.11231179368797885	0.09355854716622997	0.11407409195509932	0.09952732648932072	0.10165749460699137	0.09070408402857454	0.06929829534203992	0.09513618999180974	0.060282139970739806	0.12044741323162934	0.10815983483053565	0.09049274258970433	0.0760767470791564	0.09754905122892868	0.0816573202199278	0.0598145923040646	0.075776472637232	0.08795316687451195	0.08779328673889505	0.060763373282125686	0.05897433506407212	0.07168788238466672	0.052758465184151684	0.0322379594191962	0.07188474177680898
G1-138	0.05496458565827549	0.10895042995890718	0.1486471094810244	0.18633531971329478	0.022382851761798515	0.1844356126439988	0.1319451693091031	0.080219552891209	0.0	0.1683058055665163	0.07706797376644967	0.13287062451637266	0.27108311426282666	0.2609095145134094	0.10507852801987656	0.23031971503323803	0.11111442371451682	0.05455652169839931	0.10768768501397315	0.15598089336102608	0.11676375678707868	0.10793611142857697	0.10719663827210264	0.12422991195043807	0.15967059937216116	0.10551692832333445	0.10576854860215328	0.09859157515508067	0.10299586075376103	0.11504432247625584	0.12011584080310966	0.1259714082488807	0.12563753915344933	0.09901516732014837	0.11825724857525627	0.11762090185850255	0.11580257018240438	0.11580257018240438	0.1174968108356804	0.11762090185850255	0.11762090185850255	0.11762090185850255	0.09690022662718928	0.09745694097251976	0.11069871015908922	0.12414296680094947	0.09479189655350677	0.10993022921551474	0.11365587062420947	0.10316480569635007	0.2600947368536393	0.19370827153148748	0.2506963777392673	0.25742880228850884	0.2514613569433447	0.2975972410121851	0.10108692325135733	0.11354897633186375	0.23920293719868285	0.13917561950490584	0.2911079058518772	0.10550554679924982	0.11171661180532794	0.10453340533464373	0.1575545556525321	0.08316291528431329	0.18073620957994102	0.09813604775891636	0.10920659766458155	0.11018006066044858	0.1128165783800702	0.11403471367824458	0.11216590683020801	0.11404610861765846	0.11487339838504755	0.11198278908755001	0.11762090185850255	0.11762090185850255	0.11762090185850255	0.11645324173226657	0.11263579706198952	0.11363850338088524	0.12834528674963844	0.11460146551717298	0.13038885218072244	0.1207351264904429	0.12006542696211904	0.10381293002851925	0.09837784684377568	0.1180965854101094	0.15035510913309133	0.18087283730616227	0.11310360824013393	0.10601916334407663	0.09677228015850722	0.10270018861130834	0.07310722037350742	0.09968214911732744	0.11526720196948466	0.08669680970347012	0.0550392025103723	0.07530586614502555	0.0977503273180065	0.10676526742390263	0.09408714778738508	0.10236882721622617
G1-139	0.1443423283569361	0.1650179543928705	0.20607861662186777	0.28552829725971784	0.17135056823443678	0.2872558517330707	0.18191743534296054	0.1061297370146919	0.1683058055665163	0.0	0.14965056511535815	0.0381478384273694	0.1181016769373775	0.1078956158780977	0.11173887911932094	0.08022871566463115	0.1624403063623321	0.1599820910715773	0.17178448237286786	0.01793872785388014	0.05865529387381817	0.16337531976400757	0.16597444110104648	0.050856742193263776	0.018676798119132396	0.15148679217619437	0.14131812287349185	0.1272790255312345	0.15647759479583317	0.13548000123695225	0.0755456728262052	0.06050025374180421	0.0747224902368309	0.17575664320962608	0.18192956116679715	0.18110921723061504	0.17929088555451683	0.17929088555451683	0.18098512620779286	0.18110921723061504	0.18110921723061504	0.18110921723061504	0.15992928470602913	0.1618922945656135	0.1656619862004857	0.06699532473691672	0.15960409248856003	0.1647122819771147	0.17635692157117744	0.1634717311455922	0.11318170714411925	0.04950148345542829	0.10478581448246983	0.10461997692478381	0.10420369498799908	0.14409193969512768	0.09755816615333023	0.1575029736056862	0.08117590367352637	0.050674691701386394	0.13345890815606304	0.11712761004744479	0.0931424658173902	0.15851575837076548	0.2006280304269495	0.14065810061075065	0.2250486119075075	0.16062182446912723	0.16488764023306446	0.1652387256703202	0.17729509377040145	0.14835645718202	0.17565422220232046	0.14834506224260613	0.13565092532816056	0.16093010868551785	0.18110921723061504	0.18110921723061504	0.18110921723061504	0.18093175712259782	0.17654732560251016	0.17649317272518497	0.1493960984847925	0.18014592141239485	0.15566784045470283	0.15823479572916724	0.14914712520154652	0.14571943520801808	0.16155704390329714	0.052972605153067544	0.18795246110805902	0.15602856958713748	0.15136609256309522	0.13890849383342865	0.1650070755725184	0.1493903045911402	0.1414797918291239	0.1462705044200973	0.15317670184843613	0.16677930984315456	0.15278103534718973	0.15021850691459	0.14804973316960143	0.12158162414317433	0.11190856784869839	0.14187788868117115
