	ace
G1-11	11.0
G1-12	9.0
G1-13	14.0
G1-130	10.0
G1-131	11.0
G1-132	10.0
G1-135	14.0
G1-136	18.0
G1-137	2.0
G1-138	12.0
G1-139	10.0
G1-14	14.0
G1-140	10.0
G1-141	9.0
G1-142	4.0
G1-143	8.0
G1-144	6.0
G1-15	13.0
G1-16	1.0
G1-175	10.0
G1-176	5.0
G1-177	20.0
G1-178	9.0
G1-180	20.0
G1-181	3.0
G1-182	24.0
G1-187	16.0
G1-188	11.0
G1-189	13.0
G1-190	38.0
G1-192	16.0
G1-193	15.0
G2-1100	5.0
G2-1101	5.0
G2-1102	8.0
G2-1103	11.0
G2-1104	8.0
G2-1105	9.0
G2-1106	7.0
G2-1107	6.0
G2-1108	7.0
G2-1109	5.0
G2-1110	5.0
G2-1111	4.0
G2-1113	8.0
G2-194	10.0
G2-195	4.0
G2-196	4.0
G2-197	8.0
G2-198	6.0
G2-199	7.0
G2-21	7.0
G2-210	8.0
G2-211	13.0
G2-212	11.0
G2-213	9.0
G2-214	5.0
G2-215	6.0
G2-216	7.0
G2-217	6.0
G2-218	13.0
G2-219	7.0
G2-22	9.0
G2-220	10.0
G2-221	12.0
G2-222	7.0
G2-223	8.0
G2-224	4.0
G2-23	8.0
G2-24	5.0
G2-25	7.0
G2-26	7.0
G2-27	8.0
G2-28	6.0
G2-29	7.0
G2-313	10.0
G2-314	13.0
G2-315	6.0
G2-316	5.0
G2-317	7.0
G2-318	6.0
G2-319	2.0
G2-320	4.0
G2-321	3.0
G2-322	3.0
G2-323	9.0
G2-324	6.0
G2-325	9.0
G2-326	7.0
G2-327	10.0
G2-328	9.0
G2-329	11.0
G2-330	7.0
G2-413	11.0
G2-414	12.0
G2-415	13.0
G2-416	11.0
G3-417	7.0
G3-418	20.0
G3-419	12.0
G3-420	12.0
G3-421	17.0
G3-422	7.0
G3-423	13.0
G3-424	12.0
G3-425	14.0
G3-426	12.0
G3-427	21.0
G3-428	11.0
G3-429	11.0
G3-430	17.0
