	shannon
G1-11	2.2343887645247187
G1-12	0.7111102658254415
G1-13	2.1493208070325496
G1-130	1.197982632575001
G1-131	1.9160012673057512
G1-132	1.1067671513890218
G1-135	1.6095195945687981
G1-136	2.4427956325480227
G1-138	1.924219887968462
G1-139	1.6545692224387727
G1-14	2.3718169787689503
G1-140	1.7717998289944212
G1-141	1.0941395418263569
G1-142	1.3152820825708278
G1-143	1.3738458937476667
G1-144	1.6478277139236366
G1-15	2.4872383429461977
G1-175	1.6841053083106614
G1-176	0.1867091338688543
G1-177	1.8523061761740405
G1-178	1.5775783259420424
G1-180	0.29713514881102715
G1-182	0.2481662953423936
G1-187	2.0210124739792543
G1-188	1.2149391213448792
G1-189	1.4818692201397556
G1-190	1.9361037880724254
G1-192	1.4883297827205109
G1-193	1.720204688346598
G2-1100	0.8818673428076076
G2-1101	1.4412167629454893
G2-1102	1.4547509823331688
G2-1103	2.087994141403088
G2-1104	2.3280806737965243
G2-1105	0.15766610503100334
G2-1106	0.2933607113002098
G2-1107	0.23958627378939246
G2-1108	0.2067091338688543
G2-1109	0.581184540451175
G2-1110	0.0907931358959112
G2-1111	0.1361351476101941
G2-1113	0.29713514881102715
G2-194	1.6691868525274407
G2-197	2.0382522241641055
G2-198	1.535814533169311
G2-199	1.3092920481526253
G2-21	0.8984888058020472
G2-210	1.730033299976548
G2-211	1.8546189173746062
G2-212	1.8911841108978373
G2-213	0.8160658521818432
G2-214	1.179529158271711
G2-215	0.8052736315626388
G2-216	0.864335378287704
G2-217	0.8348588029767803
G2-218	0.8240633580085216
G2-219	0.4697918703793514
G2-22	0.9988455359952018
G2-220	1.119444044698936
G2-221	1.6388253897054323
G2-222	1.2803855693572468
G2-223	1.1413016475135056
G2-224	0.30608834646813277
G2-23	0.9999973138825298
G2-24	0.8984888058020472
G2-25	1.4647414737151858
G2-26	0.3764462644533775
G2-27	1.9608447386672727
G2-28	1.8806020071856737
G2-29	1.7574872471715823
G2-313	1.5724694817101168
G2-314	1.28481736882673
G2-315	0.43216975641920413
G2-316	1.0555745030370318
G2-317	0.9679505356936395
G2-318	1.0395264179292123
G2-319	0.11236071009937676
G2-320	-0.0
G2-321	-0.0
G2-322	0.08079313589591118
G2-323	1.4711864530811147
G2-324	1.1127282234944251
G2-325	1.8534486969768262
G2-326	0.1261351476101941
G2-327	1.4927042374133395
G2-328	1.9409774018763044
G2-329	2.003278672920956
G2-330	1.9691894068052018
G2-413	1.6828384538511254
G2-414	2.1874169975205495
G2-415	1.8717775446965534
G2-416	1.5653559339931413
G3-417	1.6421090858325482
G3-418	2.035578409988137
G3-419	1.6382448359109196
G3-420	1.4945465672527738
G3-421	2.204095733789125
G3-422	1.200207863734838
G3-423	2.283451640680873
G3-424	1.8371237222194035
G3-425	2.0835081435264784
G3-426	2.120589733858045
G3-427	1.7192165585450545
G3-428	1.8182683917542728
G3-429	1.076661400552083
G3-430	1.940517069522473
