	G1-11	G1-12	G1-13	G1-130	G1-131	G1-132	G1-135	G1-136	G1-138	G1-139	G1-14	G1-140	G1-141	G1-142	G1-143	G1-144	G1-15	G1-175	G1-176	G1-177	G1-178	G1-180	G1-182	G1-187	G1-188	G1-189	G1-190	G1-192	G1-193	G2-1100	G2-1101	G2-1102	G2-1103	G2-1104	G2-1105	G2-1106	G2-1107	G2-1108	G2-1109	G2-1110	G2-1111	G2-1113	G2-194	G2-197	G2-198	G2-199	G2-21	G2-210	G2-211	G2-212	G2-213	G2-214	G2-215	G2-216	G2-217	G2-218	G2-219	G2-22	G2-220	G2-221	G2-222	G2-223	G2-224	G2-23	G2-24	G2-25	G2-26	G2-27	G2-28	G2-29	G2-313	G2-314	G2-315	G2-316	G2-317	G2-318	G2-319	G2-320	G2-321	G2-322	G2-323	G2-324	G2-325	G2-326	G2-327	G2-328	G2-329	G2-330	G2-413	G2-414	G2-415	G2-416	G3-417	G3-418	G3-419	G3-420	G3-421	G3-422	G3-423	G3-424	G3-425	G3-426	G3-427	G3-428	G3-429	G3-430
G1-11	0.0	0.06253787771008784	0.00786187216390553	0.18040436946252078	0.008716750158729442	0.005254013470010077	0.12346465143270384	0.03178200597170694	0.005254013470010077	0.06152420537488909	0.003462736688719365	0.1739839236183991	0.07764905124214108	0.18952439003274965	0.18952439003274965	0.18952439003274965	0.06960046680993363	0.4754427278467723	0.37568272755073634	0.4218839273245437	0.13626780749859674	0.34842611079760777	0.33890456446045253	0.1739839236183991	0.1927031988073369	0.17922426177993575	0.5299573134184127	0.14733463960074406	0.17187809589310904	0.3043225110132143	0.3043225110132143	0.3043225110132143	0.4216179199145115	0.312370894531004	0.2771661811377668	0.13575833479425248	0.26639863667621655	0.16196736734247402	0.09817735489824986	0.26639863667621655	0.10154734509939803	0.18147263648942497	0.14554049245416048	0.0352674376281047	0.3244721204354146	0.3043225110132143	0.24668427693381412	0.28089526662866854	0.4765006846493063	0.34620310869289567	0.13607292323710674	0.18952439003274965	0.18952439003274965	0.184340714332646	0.18952439003274965	0.14986486052532916	0.15101823413269533	0.28931960007099006	0.2546797447021436	0.44626400269320593	0.18534244873921513	0.15101823413269533	0.1888051854279345	0.29117215599644575	0.24668427693381412	0.32884536147089194	0.1424296139855922	0.2706012337548739	0.22846726630395217	0.3601193949959321	0.07737703255756684	0.2612853475346206	0.2612853475346206	0.3043225110132143	0.30957652448322437	0.26639863667621655	0.2697686268773647	0.3130392611719437	0.3130392611719437	0.2697686268773647	0.18269096371475615	0.19145455023792599	0.18142162094192463	0.14018831221740385	0.18142162094192463	0.1834331366068833	0.18142162094192463	0.21145969522781044	0.16662408242309895	0.11743429387212659	0.02678415828536061	0.03687717281557974	0.08328190809674592	0.11275319574255824	0.16478212813928744	0.23907585339230206	0.28327004370356557	0.17708235023393679	0.19662529349153984	0.1383313715789439	0.08432544775167292	0.07921215861007701	0.13238834459310428	0.059124900150550795	0.17537770770129035	0.11800720921256831
G1-12	0.06253787771008784	0.0	0.0650662749867218	0.2353202693567586	0.06455268343667	0.06779189118009793	0.17466515866742674	0.0923323044789549	0.06779189118009793	0.006435762539560977	0.0592804134840622	0.12593663653278	0.01662997800525161	0.13590654460427665	0.13590654460427665	0.13590654460427665	0.11919746449535266	0.4892903214223506	0.33989603626881887	0.455396405774275	0.18504439342204584	0.38917738155944637	0.31068224120058385	0.12593663653278	0.1458279343284398	0.13150507472651332	0.5187921527239114	0.092521493006243	0.13388680092263905	0.26432515232995174	0.26432515232995174	0.26432515232995174	0.4005724420840677	0.34776785553321227	0.23082632327578345	0.09004980521546195	0.22522456910043118	0.21378327806519853	0.14966853323696233	0.22522456910043118	0.14677854792505163	0.22857063897361615	0.10716583556098802	0.08969257361467589	0.2889068265915928	0.26432515232995174	0.29315010229960065	0.24376366133746782	0.45906538950345965	0.39318967841553787	0.18249423871873338	0.13590654460427665	0.13590654460427665	0.1355172241214156	0.13590654460427665	0.0952143678592002	0.09614649750803105	0.3374481558617749	0.21272085087814005	0.425551066324673	0.1378750313254421	0.09614649750803105	0.1346905701207608	0.33919031326849347	0.29315010229960065	0.36787701775829446	0.1891507696556192	0.32734715509140594	0.2835456853776266	0.33143135965513915	0.13351772782870241	0.21979936971321073	0.21979936971321073	0.26432515232995174	0.26990903442199604	0.22522456910043118	0.22244437281133567	0.26721227184087526	0.26721227184087526	0.22244437281133567	0.22841970730583644	0.14267706719634604	0.2403662511493969	0.18701304828025064	0.2403662511493969	0.24223292051733514	0.2403662511493969	0.2618784345599024	0.1283336333939742	0.17964222286786447	0.08764701158003094	0.09277261119937423	0.12835773406591078	0.17529107345264608	0.12154990914461318	0.2058729994695134	0.3222422844372815	0.12909632978890853	0.23996119821659642	0.187000755574377	0.04256383727118533	0.03716763609243781	0.09328599543742673	0.014713641408534475	0.2299284711243964	0.18054508692265617
G1-13	0.00786187216390553	0.0650662749867218	0.0	0.18713030169483055	0.016532632906084643	0.013088165553652513	0.11590249038378136	0.029163596052592774	0.013088165553652513	0.06404877377680462	0.011306339516337664	0.17620596763645585	0.08011737661002279	0.1916933231387715	0.1916933231387715	0.1916933231387715	0.07196021928332376	0.4762195091738905	0.37714294972767215	0.4228437102167002	0.1384084545315397	0.3499009865018747	0.3402560261389376	0.17620596763645585	0.19487488668649106	0.18143220892759043	0.5326428012362575	0.1495559817932417	0.17883314232449207	0.30619879916048703	0.30619879916048703	0.30619879916048703	0.4226464434461846	0.31373332458199854	0.27904446019680396	0.14271354204604633	0.2683243527611144	0.1641672172896798	0.10054465471559097	0.2683243527611144	0.10390579863501076	0.18342330155622505	0.1524454644632338	0.04273870532237537	0.3306220835467556	0.30619879916048703	0.24866174354911913	0.28710513841850155	0.48011956566542296	0.3511850562729316	0.13838489908799684	0.1916933231387715	0.1916933231387715	0.18652351959681618	0.1916933231387715	0.15207961105038353	0.15324120187562812	0.29123635206023146	0.2563935432948564	0.44728001116309124	0.18753963397478038	0.15324120187562812	0.19099303143388685	0.29307894148444297	0.24866174354911913	0.3301536695188412	0.1447365250089411	0.2770354186922822	0.2349463765801429	0.3652860205915684	0.07979893357564868	0.2632244860906847	0.2632244860906847	0.30619879916048703	0.31143864220906553	0.2683243527611144	0.2716854966805342	0.31489203966817203	0.31489203966817203	0.2716854966805342	0.18463763147557127	0.19363525073195723	0.18793156533519872	0.14250728114224673	0.18793156533519872	0.18991718180008807	0.18793156533519872	0.2134645545094965	0.1736068489347451	0.1147442021245113	0.03429899096924455	0.03939898913594933	0.08568830871587323	0.12002018408027171	0.16679350669176987	0.2447304744411509	0.28467121628595804	0.17930181350086874	0.1983852997026997	0.14046181489894316	0.09154478319013397	0.08645775280760318	0.1393608580754463	0.06667483040812588	0.18143245457413024	0.12524647747001869
G1-130	0.18040436946252078	0.2353202693567586	0.18713030169483055	0.0	0.1733920230874309	0.17619200096630191	0.293932754360348	0.15796670564223778	0.17619200096630191	0.23982785823097225	0.17763300073324417	0.34928306821023786	0.23980311285872077	0.3496292995892584	0.3496292995892584	0.3496292995892584	0.22921191159728532	0.5399325455358585	0.2490691503892355	0.49716849165984195	0.24754150387224583	0.22236466556778248	0.43138007773823395	0.34928306821023786	0.35913326233918413	0.34594717927024354	0.6008482329871535	0.25854817982132877	0.3391866362905696	0.4765758581709587	0.4765758581709587	0.4765758581709587	0.5074681469158886	0.3977915936002419	0.38919081832953667	0.2477293865883999	0.3849766079942497	0.28000860692040125	0.2158907412900672	0.3849766079942497	0.21322569241753742	0.28865131296153956	0.26349730497111684	0.14637870326403352	0.22323944570259044	0.4765758581709587	0.07830988918518082	0.11873026564813452	0.43583367829436576	0.2222620078685934	0.29715687057336343	0.3496292995892584	0.3496292995892584	0.3445405701020953	0.3496292995892584	0.2610998835063862	0.2717234537273263	0.18281906923963673	0.36090992920896603	0.5617540068417025	0.36078257671770847	0.2717234537273263	0.3586211362315853	0.18526750931801614	0.07830988918518082	0.4169631804502658	0.3042218401949864	0.16129562211763196	0.056786442063176054	0.23119343586410765	0.2042130854493664	0.3881214004264202	0.3881214004264202	0.4765758581709587	0.4738856835494138	0.3849766079942497	0.38288625211687993	0.4720975139157772	0.4720975139157772	0.38288625211687993	0.2845461122732994	0.352756947764917	0.33911852095297124	0.3024369542164347	0.33911852095297124	0.34070922024819517	0.33911852095297124	0.36853911967523356	0.3425655660878465	0.2937829896994322	0.15362021117716018	0.1539761252109574	0.20406567992799712	0.2901375657631301	0.2730176297061458	0.34318945143015694	0.37146896014292174	0.34427753027229313	0.2951609909938174	0.24934791979275833	0.2019676413075322	0.20604821150187658	0.2502775607354055	0.2288894586290751	0.29358022365897335	0.28648917862779644
G1-131	0.008716750158729442	0.06455268343667	0.016532632906084643	0.1733920230874309	0.0	0.003481026046456906	0.12567937597744705	0.04022172032483777	0.003481026046456906	0.07021826730718234	0.005272269952607805	0.18267798555069234	0.0696021475936481	0.18245352492262748	0.18245352492262748	0.18245352492262748	0.06825342132814259	0.4729232331852322	0.37092915393238257	0.4221463026854438	0.1352751033870568	0.34362637706811616	0.3388964517911286	0.18267798555069234	0.19192232228608333	0.1783723789736554	0.5304839420869858	0.14009511141468628	0.17098517753777384	0.3130392611719437	0.3130392611719437	0.3130392611719437	0.4273599107813509	0.3079424252057846	0.27104489721004	0.12836400314776375	0.2660155521701762	0.16104755109632776	0.09692968546599369	0.2660155521701762	0.09386030897690127	0.18072911981158163	0.14453624914704333	0.027013319823397376	0.3185319335590968	0.3130392611719437	0.2402390122409348	0.27474270641179727	0.47339980043085295	0.34146910692119187	0.1285357293355908	0.18245352492262748	0.18245352492262748	0.17722462507117456	0.18245352492262748	0.14264681509974367	0.1532723345396174	0.28307030302105096	0.25696461484688443	0.45218891965364916	0.19405919889794457	0.1532723345396174	0.19125874086826802	0.28495553951046526	0.2402390122409348	0.32879931208180857	0.1349084842152455	0.26418733862201216	0.2218661393984211	0.3552524067551081	0.08586031190031093	0.2697686268773647	0.2697686268773647	0.3130392611719437	0.309410896721074	0.2660155521701762	0.2635208686762438	0.3069985405906374	0.3069985405906374	0.2635208686762438	0.17635266679543546	0.18434468665586498	0.18062775846236662	0.13262764409640365	0.18062775846236662	0.18265122073846157	0.18062775846236662	0.21081532559231336	0.1753408325818284	0.1261050546143057	0.0352674376281047	0.03531843196004253	0.08531271003404177	0.12146994590128768	0.1639520880684761	0.23861565555530972	0.28304976119009173	0.1762169195214555	0.19600709625346455	0.13735103558550185	0.08300658548345871	0.08769543795282109	0.131316504911332	0.05763644603308141	0.1746154672680451	0.11682975755114935
G1-132	0.005254013470010077	0.06779189118009793	0.013088165553652513	0.17619200096630191	0.003481026046456906	0.0	0.12869094482245083	0.03686903635423773	0.0	0.06676454353642573	0.008716750158729442	0.17922426177993575	0.07281553891998381	0.18527715219680413	0.18527715219680413	0.18527715219680413	0.06498147954936212	0.47392699672351785	0.3728261554675226	0.4200101124287142	0.1320784172578851	0.34554151670341027	0.33626306221131647	0.17922426177993575	0.18845040449201678	0.17490046117958885	0.5286477437984085	0.14298568871349365	0.16750415149131695	0.30957652448322437	0.30957652448322437	0.30957652448322437	0.42507889984506925	0.30970845008334763	0.27348895321272043	0.131316504911332	0.26262824167103355	0.15766024059718511	0.09354237496685104	0.26262824167103355	0.09692968546599369	0.1776561311312527	0.14114893864790068	0.030309127820685542	0.32090414164820624	0.30957652448322437	0.24281255861161008	0.2771993780569484	0.47463601710936143	0.34335787734559675	0.1315455769199567	0.18527715219680413	0.18527715219680413	0.1800663118253742	0.18527715219680413	0.1455288148257948	0.1561185698154806	0.2855659539697131	0.2591573243900855	0.44983524116534285	0.19059646220922521	0.1561185698154806	0.19405919889794457	0.2874381053260202	0.24281255861161008	0.32628892378091395	0.13791199902178425	0.26674872166158176	0.22450192039417521	0.35719465928908767	0.08249032169916275	0.26639863667621655	0.26639863667621655	0.30957652448322437	0.30592987067461713	0.26262824167103355	0.2660155521701762	0.309410896721074	0.309410896721074	0.2660155521701762	0.17888229425205604	0.18718400404654686	0.17734773761613143	0.13564698985928075	0.17734773761613143	0.17937929999387825	0.17734773761613143	0.2075353047460782	0.17187809589310904	0.12266058726187357	0.03189744742695652	0.03193975944096813	0.08839519723834183	0.11800720921256831	0.16084654355456135	0.23563800951603853	0.2805321029626662	0.1727358934749986	0.19318377708940485	0.13416202369317687	0.07961927498431605	0.08432544775167292	0.12792919441218933	0.0541554199866245	0.17158107233595546	0.11334873150469245
G1-135	0.12346465143270384	0.17466515866742674	0.11590249038378136	0.293932754360348	0.12567937597744705	0.12869094482245083	0.0	0.14168595302533202	0.12869094482245083	0.179650400652513	0.12043501856982503	0.07601932045411267	0.18891407031291835	0.08665651220002507	0.08665651220002507	0.08665651220002507	0.18095310451586855	0.5370822851369074	0.4047399892333693	0.4471080940737645	0.16171430096439215	0.37530699528257466	0.3671489858275035	0.07601932045411267	0.09704660019431036	0.08190576933333964	0.5563297318972796	0.16825523336063558	0.07897725315411508	0.22218793550078844	0.22218793550078844	0.22218793550078844	0.4486880149624781	0.3343874051188528	0.30462031524082317	0.16114391545813572	0.29961998209367463	0.19021849707277866	0.12339251539676464	0.29961998209367463	0.12028679460364775	0.20784106301569802	0.17783924638819373	0.149055430105159	0.243125260050211	0.22218793550078844	0.27286993010498395	0.3133222904011338	0.5051710651653906	0.3761450535840769	0.026420832667201456	0.08665651220002507	0.08665651220002507	0.08081490958381811	0.08665651220002507	0.17091423257775085	0.1722391187311494	0.19831959684239067	0.2778214655067224	0.4040385843536477	0.08849513631621587	0.1722391187311494	0.0849346822418964	0.20067616633143154	0.27286993010498395	0.35537871288992473	0.03294367682001868	0.18253408721707048	0.2583507005370961	0.39222249817275967	0.10160223967281745	0.2942633352866338	0.2942633352866338	0.22218793550078844	0.22809164536892992	0.29961998209367463	0.29713861520723994	0.22507647303606906	0.22507647303606906	0.29713861520723994	0.20336788617990942	0.08792328844124805	0.09553554406479838	0.030092597783715442	0.09553554406479838	0.0980078819888914	0.09553554406479838	0.12384348615956146	0.07309073818202844	0.006792154098546003	0.1468213479419838	0.1519198271159689	0.10108425522279314	0.012734634640486285	0.2702827518600044	0.2710014910751821	0.36868242964867787	0.07921361746671456	0.29253029310239315	0.1638065869241966	0.2040671401628732	0.19898010978034242	0.16409756682117996	0.1822776096769242	0.20538597544729836	0.01862114961257292
G1-136	0.03178200597170694	0.0923323044789549	0.029163596052592774	0.15796670564223778	0.04022172032483777	0.03686903635423773	0.14168595302533202	0.0	0.03686903635423773	0.09127567611234605	0.03513468994230698	0.20017020702164143	0.10674218368785332	0.2150887094456056	0.2150887094456056	0.2150887094456056	0.09745602689126709	0.46191556273242756	0.35479133435964777	0.40689507617932763	0.11529468406748032	0.32832704771682275	0.32078688143159306	0.20017020702164143	0.21829604552185508	0.2052444164792091	0.5229298922997062	0.12523470301275744	0.19819747119473557	0.32643253712257436	0.32643253712257436	0.32643253712257436	0.40556568464515425	0.2949128058853699	0.2544627630694841	0.11354994599345355	0.24351935833322313	0.13962438480915662	0.07616195927057166	0.24351935833322313	0.0795146432411717	0.16109274260058754	0.123281868410641	0.013575109269782597	0.3459417515377908	0.32643253712257436	0.2239062396136269	0.25794154236590877	0.45984439362948915	0.326452440999299	0.16332322845070096	0.2150887094456056	0.2150887094456056	0.21006853914862628	0.2150887094456056	0.12775202822698478	0.12878764939006573	0.31190644878550894	0.2346848648945884	0.4583492399759586	0.21123389989828154	0.12878764939006573	0.21458658386888158	0.31364326397357195	0.2239062396136269	0.3116058834376056	0.16961612606343734	0.2937829896994322	0.2057827805275501	0.3393207021386663	0.05546845479950171	0.23843232795069233	0.23843232795069233	0.32643253712257436	0.3315195675051052	0.24351935833322313	0.24687204230382317	0.3348722514757052	0.3348722514757052	0.24687204230382317	0.16231681079612775	0.2171517465506607	0.20598773560035652	0.16751485241305375	0.20598773560035652	0.20788046849502603	0.20598773560035652	0.23512434608521368	0.19311044081220477	0.13581628405719437	0.005135394916651772	0.01523135224813981	0.06134300647085343	0.14095167897384614	0.14426700040504664	0.21906221671477508	0.26615543766620486	0.20323632389302485	0.1778220930256726	0.11739813034418803	0.062381187137541184	0.0572941567550104	0.11019726202285353	0.08902779819259636	0.16846448784279167	0.14603870935637694
G1-138	0.005254013470010077	0.06779189118009793	0.013088165553652513	0.17619200096630191	0.003481026046456906	0.0	0.12869094482245083	0.03686903635423773	0.0	0.06676454353642573	0.008716750158729442	0.17922426177993575	0.07281553891998381	0.18527715219680413	0.18527715219680413	0.18527715219680413	0.06498147954936212	0.47392699672351785	0.3728261554675226	0.4200101124287142	0.1320784172578851	0.34554151670341027	0.33626306221131647	0.17922426177993575	0.18845040449201678	0.17490046117958885	0.5286477437984085	0.14298568871349365	0.16750415149131695	0.30957652448322437	0.30957652448322437	0.30957652448322437	0.42507889984506925	0.30970845008334763	0.27348895321272043	0.131316504911332	0.26262824167103355	0.15766024059718511	0.09354237496685104	0.26262824167103355	0.09692968546599369	0.1776561311312527	0.14114893864790068	0.030309127820685542	0.32090414164820624	0.30957652448322437	0.24281255861161008	0.2771993780569484	0.47463601710936143	0.34335787734559675	0.1315455769199567	0.18527715219680413	0.18527715219680413	0.1800663118253742	0.18527715219680413	0.1455288148257948	0.1561185698154806	0.2855659539697131	0.2591573243900855	0.44983524116534285	0.19059646220922521	0.1561185698154806	0.19405919889794457	0.2874381053260202	0.24281255861161008	0.32628892378091395	0.13791199902178425	0.26674872166158176	0.22450192039417521	0.35719465928908767	0.08249032169916275	0.26639863667621655	0.26639863667621655	0.30957652448322437	0.30592987067461713	0.26262824167103355	0.2660155521701762	0.309410896721074	0.309410896721074	0.2660155521701762	0.17888229425205604	0.18718400404654686	0.17734773761613143	0.13564698985928075	0.17734773761613143	0.17937929999387825	0.17734773761613143	0.2075353047460782	0.17187809589310904	0.12266058726187357	0.03189744742695652	0.03193975944096813	0.08839519723834183	0.11800720921256831	0.16084654355456135	0.23563800951603853	0.2805321029626662	0.1727358934749986	0.19318377708940485	0.13416202369317687	0.07961927498431605	0.08432544775167292	0.12792919441218933	0.0541554199866245	0.17158107233595546	0.11334873150469245
G1-139	0.06152420537488909	0.006435762539560977	0.06404877377680462	0.23982785823097225	0.07021826730718234	0.06676454353642573	0.179650400652513	0.09127567611234605	0.06676454353642573	0.0	0.06497792914564568	0.11950087399321904	0.022906516204812814	0.14142177840180545	0.14142177840180545	0.14142177840180545	0.11810019650568739	0.49100851274857427	0.3435497345062651	0.45413903574883496	0.1838140562597057	0.3922957732126646	0.3093655971505975	0.11950087399321904	0.1393921717888788	0.12506931218695236	0.515482235615237	0.09815079685025972	0.1326193166269999	0.2626899184201988	0.2626899184201988	0.2626899184201988	0.39927355934008035	0.35068088450407964	0.2355847156068139	0.09570971245446748	0.22374075975417482	0.21240659016795704	0.14845509173421145	0.22374075975417482	0.1518336131486555	0.22728723312964716	0.10600550966247516	0.09505860074790952	0.2934581425917496	0.2626899184201988	0.29733796270498974	0.24846746483500226	0.46136395783012646	0.39622199122387974	0.18743249490224054	0.14142177840180545	0.14142177840180545	0.14101987791020218	0.14142177840180545	0.10082696716350124	0.09668218194880897	0.34148187776695255	0.21700098102595647	0.4241630770935874	0.1365895330974268	0.09668218194880897	0.14025949613470648	0.3432029142318574	0.29733796270498974	0.3665650770861602	0.19407444808853647	0.3314211098839377	0.28776899767959546	0.3351104403072179	0.13234838052477482	0.21833014011433563	0.21833014011433563	0.2626899184201988	0.26825835661393205	0.22374075975417482	0.2273067100971877	0.2719283196512118	0.2719283196512118	0.2273067100971877	0.23255600472596585	0.14817940468235052	0.2389743506340127	0.19196264325125403	0.2389743506340127	0.2408398630668639	0.2389743506340127	0.2604266533249261	0.12708142377271506	0.17833068596796464	0.08659681203604945	0.09170944868062797	0.13352193674181778	0.1739839236183991	0.12044979375380506	0.20462524778656785	0.3210129714229301	0.12783511168923364	0.23875765524132628	0.185768674532577	0.04157619782271253	0.03619442113314381	0.0921627714921276	0.013773957633411903	0.2286637962786934	0.17922426177993575
