	G1-11	G1-12	G1-13	G1-130	G1-131	G1-132	G1-135	G1-136	G1-138	G1-139	G1-14	G1-140	G1-141	G1-142	G1-143	G1-144	G1-15	G1-175	G1-176	G1-177	G1-178	G1-180	G1-182	G1-187	G1-188	G1-189	G1-190	G1-192	G1-193	G2-1100	G2-1101	G2-1102	G2-1103	G2-1104	G2-1105	G2-1106	G2-1107	G2-1108	G2-1109	G2-1110	G2-1111	G2-1113	G2-194	G2-197	G2-198	G2-199	G2-21	G2-210	G2-211	G2-212	G2-213	G2-214	G2-215	G2-216	G2-217	G2-218	G2-219	G2-22	G2-220	G2-221	G2-222	G2-223	G2-224	G2-23	G2-24	G2-25	G2-26	G2-27	G2-28	G2-29	G2-313	G2-314	G2-315	G2-316	G2-317	G2-318	G2-319	G2-320	G2-321	G2-322	G2-323	G2-324	G2-325	G2-326	G2-327	G2-328	G2-329	G2-330	G2-413	G2-414	G2-415	G2-416	G3-417	G3-418	G3-419	G3-420	G3-421	G3-422	G3-423	G3-424	G3-425	G3-426	G3-427	G3-428	G3-429	G3-430
G1-11	0.0	0.15505342820702364	0.0931376041778894	0.2258483419343399	0.15699439603018941	0.22700355445104134	0.18539468660832506	0.08348046050821611	0.14887521274074028	0.14100596293870737	0.08757991507882013	0.10156613302648929	0.17934541277843463	0.17486390659460557	0.06939250016303529	0.13657764433963918	0.06992027248521368	0.1644426365804503	0.1983625412734614	0.11423403641494105	0.06579546357465056	0.19788990415027916	0.19808016915674653	0.05730258225448829	0.14846700015531614	0.05595804273431086	0.09310556820433097	0.061079035867106536	0.13297465906238282	0.19219173426400343	0.19477284596776234	0.19365469835231708	0.1411143309514512	0.10212377899937419	0.18838873256773017	0.18052357396110824	0.19094734921625947	0.18828206697053404	0.17292382485122182	0.19083721166603906	0.18752242035389077	0.18419267013057564	0.05031191054172381	0.17749414786001438	0.20270235848394302	0.19451991078664727	0.19674464458268964	0.2010138282758248	0.1977793712739365	0.19961952484648485	0.1825222649933118	0.1678695233458483	0.17692082579428303	0.17521529637652902	0.18060368139736233	0.18702358874356892	0.18418970872560245	0.194256746895977	0.18725896012714277	0.18515326851754188	0.18235020363994572	0.12927488032042847	0.18681077639677576	0.1962785704622097	0.20916349105897328	0.163799732342497	0.24349522385959518	0.20005593595464136	0.20254890062887182	0.20121282835809493	0.14059250056682476	0.1915937293530332	0.18975536385288277	0.1927074750280801	0.19474921418546784	0.1929298251202267	0.1883218384978048	0.19212793974022227	0.19212793974022227	0.18959053891194397	0.04918953132924331	0.09509426111626743	0.08423717942330487	0.18784522475244034	0.11302847182847817	0.08990205283677213	0.0821954396822229	0.10647119004513521	0.11837761305256551	0.07569655446737414	0.14473609396230444	0.15385049276684065	0.09322170064494492	0.05539146360459279	0.09503975985896691	0.07291629816727875	0.03669616533798042	0.07762135019662188	0.06242711596785544	0.08260845274468472	0.03520790796554176	0.0336512296831559	0.059526399809609346	0.062170246200291254	0.1368044186916503	0.0546454890621053
G1-12	0.15505342820702364	0.0	0.2274817641410081	0.25949643582166204	0.10537534922555004	0.2601468238949346	0.1104232188125163	0.08662099753304894	0.11894725723550037	0.24682985222361745	0.09218925047960853	0.20774353862075023	0.28522102896432927	0.2810833932824655	0.17561198685089524	0.2427971310274991	0.15318287477979156	0.09421916041463271	0.04547351032230379	0.22141273467417436	0.17133557346010633	0.045686253373491366	0.044428990576886734	0.15900789423392814	0.2533550602054031	0.15238211180091385	0.20734790795549013	0.1502134126484671	0.026541063915489993	0.29801562339891347	0.3005967351026724	0.2994785874872271	0.27565402061470656	0.14245080803963134	0.2942229372659478	0.2854337905222801	0.2958354090663464	0.2938555069949908	0.28344826496677256	0.295725271516126	0.29305180520825935	0.28976611015503234	0.13258188459656353	0.03466862596049905	0.04925612533886891	0.3003437999215573	0.06652675431962152	0.04756759583075061	0.04847793632116597	0.048839073912218096	0.288739390851611	0.2740890100337082	0.28314031248214294	0.28146792108499297	0.2864792975832569	0.29203952867455035	0.28956847304692873	0.10323278450199766	0.29501919412840216	0.2920811409690224	0.28817409277485573	0.2347204897406706	0.29198900582135423	0.08273894737747725	0.13261602301758807	0.049188147664488355	0.16694775581821	0.04752839185694394	0.050021357181174356	0.047766595713020776	0.2518327123743633	0.29741761848794324	0.2946434237029697	0.2982639843673264	0.29963727313555477	0.2978178849703136	0.2941560431960224	0.29697194442022107	0.29697194442022107	0.29443454359194277	0.11367070744630205	0.2000376798580782	0.1852835346907074	0.29337460960680883	0.21880054749645422	0.17939133632711407	0.18324179494962547	0.2032068655488986	0.060024913135596276	0.18381301528860347	0.12404879049343677	0.15110417030510914	0.19998323185195716	0.13644497250330354	0.08029940008673542	0.1792129138857959	0.155951776174706	0.18388489205456998	0.1543589227229922	0.10353278397750515	0.15078485498875527	0.13588346141922064	0.1659885131510418	0.16866549756232774	0.24316488546177975	0.15432407462397066
G1-13	0.0931376041778894	0.2274817641410081	0.0	0.14547709791476734	0.18342790312309024	0.14796589600540583	0.22540488570476966	0.14352566588525492	0.16092301321320654	0.1655121020025182	0.14683638672014263	0.1536462505934565	0.19763974770225012	0.19350211202038634	0.15517695373830598	0.16642402184424104	0.11672887646059496	0.21341423914593252	0.2707908772074458	0.1545221213969669	0.1480088561880753	0.2703182400842636	0.27050850509073104	0.1489094513086646	0.17013788509680433	0.147359823207868	0.14720486755047832	0.15198455160849178	0.20556842845924764	0.2099932366174791	0.212574348321238	0.2114562007057927	0.14468503861100673	0.13266044544603675	0.2058233912366324	0.1979913064905795	0.2083820078851617	0.20503134546506646	0.1889877231713845	0.20827187033494127	0.20495707902279298	0.20094194862510814	0.1418791242781613	0.2499207036650181	0.2764996746376863	0.21232141314012293	0.255465377029278	0.27481114442956805	0.2715766874276798	0.27273146082585836	0.200472729415162	0.18650772877162897	0.1955590312200638	0.19385350180230976	0.19889801632117782	0.20445824741247115	0.20165752207414117	0.2529774793425654	0.20506046248061838	0.20295477087101751	0.2001517059934214	0.1593512078603575	0.2042454350656779	0.25499930290879813	0.2490041835014845	0.22252046478908535	0.25408228926201704	0.26014564862098855	0.2763462167826152	0.27501014451183825	0.15860143682878425	0.20939523170650887	0.20719002252178498	0.210241597585892	0.2121838719543701	0.21036448378912892	0.20575649716670705	0.20956259840912453	0.20956259840912453	0.2070251975808462	0.1392536892746648	0.1528470127786568	0.1319797957170524	0.20459450324697268	0.13651549497068682	0.12630913052577253	0.1324397951027208	0.1424623420419067	0.19080841365726833	0.15144893272773288	0.16793108128018536	0.16443755816926248	0.1294032324442983	0.12465684919886841	0.16720513893378638	0.14950415317859894	0.12840159261538941	0.15124863809335878	0.14463938278503044	0.14494520195531996	0.12780673265787512	0.12573424887254137	0.1483900640647075	0.14817288386098015	0.16306017550680355	0.14741624840542134
G1-130	0.2258483419343399	0.25949643582166204	0.14547709791476734	0.0	0.16753203617275803	0.015148414096692521	0.24382014427787171	0.24725144262284776	0.15658865032274494	0.2986990697132454	0.24660392646990023	0.2864556574829389	0.3364076065850904	0.33226997090322663	0.28754014286181995	0.2987872109677551	0.2544191838651496	0.20516768825067005	0.253057604542397	0.2863792445626652	0.28020984985573905	0.25258496741921477	0.2547166318997276	0.28185709977985035	0.3050907734181132	0.2799109603694295	0.27912970742173254	0.28399759708810807	0.26585497899751764	0.34978485172153845	0.35236596342529736	0.3512478158098521	0.2841265100711683	0.194271769345228	0.3445849769775402	0.33671981837091813	0.3471876487961577	0.34383698637606236	0.32779336408238047	0.3470775112459373	0.3437186647637007	0.3397475895361042	0.27391462032290964	0.2430621295988323	0.25860717749165474	0.3521130282441823	0.24321514575918757	0.25656850363963873	0.2537925859849147	0.25448882003592893	0.33924058829800224	0.3252755876544693	0.33432689010290406	0.33262136068515	0.3376658752040181	0.343219833153379	0.34098755767565586	0.2410773917163727	0.3444578787706918	0.34274638597507695	0.3399433210974809	0.29211028643781933	0.3437582341439791	0.24309921528260547	0.23675395223139406	0.23497976464052772	0.250684193333114	0.24773619286991536	0.25810357599268574	0.2567675037219088	0.29566257464473117	0.3488367031666705	0.34606250838169694	0.3500332126899514	0.35133965650926385	0.349170124700125	0.3445180829076148	0.34867432779393015	0.34867432779393015	0.34578678332175405	0.2713443517310324	0.2852878188789221	0.2698816148212611	0.34370623263177824	0.2759802377693305	0.2660799839239	0.2703084761863255	0.283143846431127	0.2755502616928494	0.2841940129354959	0.2429703721794263	0.259395279522328	0.2669667216305308	0.2626483082874337	0.2743614235084739	0.28132820248372825	0.2602587157810879	0.28345590490295497	0.2765298354897298	0.2669889965300204	0.25949835820065825	0.2574927193642404	0.2801479656486987	0.28021465304766113	0.2949566355774901	0.27945801759210226
G1-131	0.15699439603018941	0.10537534922555004	0.18342790312309024	0.16753203617275803	0.0	0.17834374773791709	0.14990167444984312	0.12169147875970217	0.024989112454297975	0.2972678744961707	0.111860933390164	0.257493819889373	0.33456059483207085	0.3297352181462765	0.21308802040083444	0.28732250986772667	0.185856705810251	0.055232717904831495	0.10118400604414009	0.26945955659962423	0.22168796378939368	0.10071136892095786	0.10094568909751342	0.21003527584654386	0.30372623752904043	0.2036479020216002	0.24836480557805526	0.1866578346925105	0.11183317814314775	0.3484536457214667	0.35103475742522555	0.3499166098097803	0.2831454477149945	0.1314499103619263	0.34360391462136625	0.33573875601474423	0.3462065864399837	0.3428559240198885	0.3268123017262065	0.34609644888976326	0.3427376024075269	0.33876652717993017	0.1832968765456444	0.08853079613344707	0.10562304483632905	0.3507818222441105	0.09339768778404012	0.1029029031223149	0.09898070511649605	0.10047934901663985	0.3377374470469479	0.3220530938935885	0.3321360078479191	0.33043047843016515	0.3358188634509985	0.34223877079720516	0.3400064953194819	0.1205313877342119	0.34347681641451794	0.3414151799750052	0.338612115097409	0.2851585120132239	0.34242702814390735	0.10093745086271814	0.1485814406897628	0.08326496236142293	0.18274652494537982	0.09663626548671646	0.10117120570669172	0.10258609745163712	0.2946815122885574	0.3478556408104964	0.3450814460255229	0.3487020066898796	0.35000845050919205	0.3481890623439509	0.34353702055144086	0.34734312179385834	0.34734312179385834	0.34480572096558	0.16368612969107138	0.25050942040390956	0.2286684223982656	0.3423750266317065	0.2621854352040124	0.22277622403467226	0.22662668265718366	0.24672424117883787	0.10885076381985521	0.22861898248689191	0.16954494206630852	0.19180775477849152	0.24253584092491656	0.1787821901711528	0.11674382213077876	0.2270386482121266	0.1836047041970977	0.23229283568341855	0.19248680063671428	0.13312340427785047	0.1859578110775536	0.17114427475051522	0.21442513782813957	0.2178233836007541	0.29209672977594375	0.20289128184905247
G1-132	0.22700355445104134	0.2601468238949346	0.14796589600540583	0.015148414096692521	0.17834374773791709	0.0	0.24909861915031112	0.25278096948948947	0.16177901490500798	0.29305478739183904	0.2519154752029086	0.28744563067880685	0.3290535995372372	0.32491596385537347	0.2887063367380403	0.2951946105828328	0.25952143805723626	0.20616822006784036	0.2635448579293537	0.28771936135243087	0.28103416089255673	0.26307222080617143	0.26326248581263895	0.28267513772473557	0.2970447399369594	0.28055706306333206	0.28036903359537324	0.2855139346082262	0.26653415550198917	0.3417388182403846	0.3443199299441435	0.34320178232869825	0.27643062023391235	0.19852962751282546	0.3370653078206368	0.3292001492140148	0.3394917589589016	0.3362292068789828	0.3201415294152126	0.3395137869189457	0.33619899560679745	0.33218386520911264	0.27490417073056106	0.24461154092951967	0.26929316684823074	0.34406699476302843	0.25781468019236314	0.26760463664011236	0.264370179638224	0.2655249530364026	0.3318865812501492	0.31792158060661607	0.3269728830550509	0.3252673536372968	0.33031186815616487	0.3358720992474583	0.33346788851875236	0.2553267825056505	0.33693820961378845	0.3347003524939231	0.33194134278641513	0.28903185169543877	0.33588842134317787	0.2573486060718832	0.25135348666456964	0.23995007391260542	0.26063448855868715	0.26253446327271013	0.2691397089931594	0.26780363672238255	0.28848249056042313	0.34114081332941437	0.33836661854444083	0.3419871792087975	0.34329362302811006	0.3414742348628689	0.3369984137507115	0.3408045149931289	0.3408045149931289	0.33826711416485056	0.2723448834482027	0.2859382069521947	0.27458924746114527	0.3358364198309772	0.27981416913604246	0.2697817497803474	0.27497205370612143	0.2868125384270054	0.2766614190894626	0.2852170599419328	0.24811197337401447	0.2621020557465997	0.2725953401468679	0.26779461764960855	0.2757455954683277	0.2826683192734938	0.2615988325708534	0.2845780435590872	0.27791400744958356	0.2725735599262693	0.260871548850993	0.25890996518466325	0.28152115629903335	0.281237700054098	0.2900728179768031	0.2804810645985391
G1-135	0.18539468660832506	0.1104232188125163	0.22540488570476966	0.24382014427787171	0.14990167444984312	0.24909861915031112	0.0	0.1294490154814253	0.14780819133200757	0.25783332471489756	0.12791678109121973	0.21710734652136804	0.29532694052782377	0.28888304772527795	0.196328481174336	0.24750195095262403	0.13211097558923668	0.14943423862051852	0.12750871922908033	0.23115575858792597	0.19592990888011935	0.1270360821058981	0.12646419948366322	0.1905639681133525	0.26287406715804196	0.18681257061418338	0.21848229571869046	0.18392886278886358	0.12264797111799743	0.30736725013444105	0.3099483618381999	0.30883021422275464	0.2869860473866717	0.16287159063355244	0.30572234425502415	0.2959098594725337	0.306344616037204	0.3029939536171088	0.2928915314327396	0.3062344784869836	0.3028756320047472	0.2998947567953692	0.17753733224381907	0.11582202757694908	0.12790231063074273	0.3096954266570848	0.08504031567388445	0.12716256895316613	0.12738516823965093	0.12671941488392877	0.29688527662594943	0.28120092347259007	0.29128383742692066	0.28957830800916673	0.2949666930299999	0.3033670004126442	0.3009004998188939	0.04866396959920235	0.3063512209003674	0.30180076214340673	0.29752571951038326	0.24536228289542591	0.30134063255688176	0.06919105797341979	0.029231749591464955	0.09358690372917967	0.061606722742839445	0.10794944849121323	0.12530034777423738	0.1268457632824884	0.26059334516894656	0.3077594452416896	0.30614283069204606	0.30761561110285396	0.30915628008819357	0.30832709194117125	0.30565545018509876	0.30649095137285987	0.30649095137285987	0.3059339505810192	0.16391894869139725	0.2113240200800585	0.1676541629489589	0.30152285621070807	0.20703963102302508	0.14021521297889272	0.16776855209798933	0.17228844221371892	0.1367489439616247	0.19757141578672813	0.05869972385284115	0.07592647235032934	0.18218305996886452	0.13009133364390862	0.14800493732171616	0.19940745113306377	0.1830236600248282	0.2010469972675175	0.17697125040234254	0.14175553057632326	0.1855197911071885	0.17873941158785575	0.19224154851078837	0.19470008091270793	0.2522678332337331	0.18535471657349697
G1-136	0.08348046050821611	0.08662099753304894	0.14352566588525492	0.24725144262284776	0.12169147875970217	0.25278096948948947	0.1294490154814253	0.0	0.1121519275286473	0.1860665659231322	0.011549562458398794	0.1467604259087459	0.22462781600086767	0.2204901803190038	0.1150187738874335	0.18220391806403746	0.06997193206054184	0.11650811857341661	0.1295799669555889	0.15928383794332385	0.11060628267400849	0.12910732983240672	0.12929759483887407	0.09843549727280508	0.19366129303757285	0.0925164093821009	0.14039890248410916	0.08927005604110769	0.06432156621581578	0.23678442260601668	0.23926499904158027	0.238146851426135	0.20813147606859916	0.10407661278007936	0.2333209921462654	0.2254558335396434	0.23579149845461836	0.23248489120461133	0.2163972137408411	0.23576947124457426	0.23245467993242594	0.22843954953474105	0.0712716227202886	0.11151293168582677	0.13448124622951763	0.2390120638604652	0.1142544667774211	0.13244257237750154	0.1292081153756133	0.13036288877379185	0.2278046682157448	0.21349579707024657	0.22254709951868132	0.22084157010092734	0.22588608461979534	0.2319558483221041	0.22912196830413767	0.12355819158643425	0.23148907989723927	0.23008018160413488	0.22684235671376377	0.17420713989896366	0.23209317961920867	0.11413853630083892	0.1525912862581269	0.08771463596465025	0.1872731627026466	0.11812722021281985	0.1339776447305486	0.13264157245977173	0.18406588945644403	0.2360368088978965	0.23459951309124163	0.23790176791033674	0.23994350616772447	0.23777397435858558	0.23325409807634004	0.23741034296265526	0.23741034296265526	0.2345227984904792	0.051537514755503014	0.14024411225628436	0.11100912972711097	0.2324422478005034	0.14460327156351496	0.10497346213161743	0.10879078273352483	0.12912011491930234	0.051245462235688516	0.12093415002906825	0.08807577907128182	0.097190177625818	0.12444635673608401	0.06099301869097465	0.03706418602013595	0.11810431790760297	0.08824967377339947	0.12324762392102011	0.08688589967886289	0.03275933447333948	0.08026229068265053	0.06570476761508115	0.10471441954993352	0.10757585750209717	0.18175405255613547	0.09254905438937028
G1-138	0.14887521274074028	0.11894725723550037	0.16092301321320654	0.15658865032274494	0.024989112454297975	0.16177901490500798	0.14780819133200757	0.1121519275286473	0.0	0.28833799032957586	0.10220951446527954	0.24923052830279788	0.3254855134326455	0.3206601367468511	0.204012939001409	0.2782474284683013	0.17487068132054667	0.0687633424163207	0.12613998047783403	0.26069632082803423	0.2135246611698215	0.12566734335465182	0.12585760836111917	0.2018719731769717	0.2947296940344437	0.19548459935202805	0.24006818410247918	0.1762072712852239	0.12531703997295668	0.339290453981865	0.34187156568562393	0.34075341807017867	0.2739822559753927	0.11575793778062901	0.33452883322194094	0.3266636746153189	0.337043394700382	0.3336927322802868	0.31764910998660484	0.3369773123202498	0.3336625210081014	0.3296473906104166	0.17517769325619534	0.10400011260738963	0.1305790834300579	0.34161863050450886	0.11629752169462462	0.12785894171604376	0.12393674371022488	0.1254353876103687	0.32866236564752255	0.3129780124941632	0.32306092644849377	0.3213553970307398	0.3267437820515731	0.3331636893977797	0.3309314139200566	0.1306218821261437	0.33440173501509257	0.3322519882354035	0.32944892335780745	0.27658337499881336	0.33335194674448204	0.11583144757414471	0.15867193508169458	0.09469262010808753	0.191837130217282	0.1195361635573359	0.12612724430042055	0.127542136045366	0.2855183205489555	0.3386924490708948	0.3359182542859213	0.339538814950278	0.34084525876959043	0.33902587060434924	0.3344619391520156	0.33826804039443303	0.33826804039443303	0.33573063956615473	0.1556440754322795	0.24246736539511773	0.21794909863060413	0.3332999452322811	0.2511102110384273	0.211623615009998	0.21600734685652515	0.23550490891612674	0.1191942795778854	0.2200557877593428	0.1675635820707345	0.18942618328647376	0.23157126749738666	0.1685627470284712	0.11825623513563069	0.21887534559255442	0.17517476481551758	0.22417358823393457	0.1834235981141155	0.12057264517736632	0.17779457261801634	0.16298103629097802	0.20622876134799834	0.20966014509121686	0.2830671124707778	0.19472804338951513
G1-139	0.14100596293870737	0.24682985222361745	0.1655121020025182	0.2986990697132454	0.2972678744961707	0.29305478739183904	0.25783332471489756	0.1860665659231322	0.28833799032957586	0.0	0.19376379854072073	0.04152537616738076	0.040749789598620745	0.036612154116756966	0.08799792842807813	0.016695084660622434	0.15061642463282354	0.284788181053905	0.29167504644738845	0.038610317591994375	0.07800053237397629	0.2918877894985761	0.2905864715318832	0.09153633753636915	0.007594727164440623	0.09663705034893232	0.07341892333691878	0.11516303746158028	0.2234040460570316	0.05185809246931573	0.05386648926192852	0.05274834024648327	0.07355289678319872	0.22220992462466216	0.050741897918458005	0.04096255110657149	0.05109983868010887	0.04929615728910592	0.03983506010901837	0.05120997698032926	0.04858056584255078	0.046241015637454516	0.11801644918064753	0.2814651435951155	0.29446745774573485	0.054142215521871366	0.2875879326569018	0.29376912755583534	0.2946794678462506	0.29504060433730284	0.04426815148590242	0.029617770667999657	0.0386690731164344	0.036996681719284406	0.042008058217548425	0.04855848932706061	0.04551947274715358	0.2851000349701891	0.05046863559825751	0.04597544174858864	0.04250117021622779	0.013458968992107046	0.04718354171106592	0.2871218585364218	0.28112673912910824	0.26757266730982204	0.2929094814499761	0.2925064153908029	0.29499938006503346	0.2939681276381055	0.012808636888709528	0.0506873703471994	0.05067777748451017	0.05193480592007817	0.05397655292746585	0.052157161162224706	0.05067500384853263	0.0525007050545125	0.0525007050545125	0.05095350424445298	0.1382348881113101	0.049212815882457336	0.09961486023124881	0.048903370241100315	0.05842391671747754	0.12811310234859194	0.10003080494682903	0.123061140186138	0.20873214219522865	0.07059973602263923	0.20417755609050048	0.2065516214582378	0.0773740815910483	0.14171761207624428	0.1860753950066713	0.07330836201535387	0.12561066041664495	0.06669354454650658	0.13392425413723458	0.17342737833871646	0.11448935171508207	0.12853442690887396	0.08441959494188804	0.08040772583024618	0.007761998582021057	0.09745662565476072
