	ace
G1-11	11.0
G1-12	9.0
G1-13	14.0
G1-130	10.0
G1-131	11.0
G1-132	10.0
G1-135	14.0
G1-136	18.0
G1-137	2.0
G1-138	12.0
G1-139	11.0
G1-14	14.0
G1-140	11.0
G1-141	10.0
G1-142	4.0
G1-143	8.0
G1-144	6.0
G1-15	13.0
G1-16	1.0
G1-175	10.0
G1-176	5.0
G1-177	21.0
G1-178	9.0
G1-180	20.0
G1-181	3.0
G1-182	24.0
G1-187	17.0
G1-188	12.0
G1-189	14.0
G1-190	39.0
G1-192	16.0
G1-193	15.0
G2-1100	6.0
G2-1101	6.0
G2-1102	9.0
G2-1103	12.0
G2-1104	9.0
G2-1105	10.0
G2-1106	8.0
G2-1107	7.0
G2-1108	8.0
G2-1109	6.0
G2-1110	6.0
G2-1111	5.0
G2-1113	9.0
G2-194	11.0
G2-195	5.0
G2-196	5.0
G2-197	9.0
G2-198	7.0
G2-199	8.0
G2-21	8.0
G2-210	9.0
G2-211	13.0
G2-212	11.0
G2-213	10.0
G2-214	6.0
G2-215	6.0
G2-216	8.0
G2-217	7.0
G2-218	14.0
G2-219	8.0
G2-22	10.0
G2-220	11.0
G2-221	13.0
G2-222	8.0
G2-223	9.0
G2-224	5.0
G2-23	9.0
G2-24	6.0
G2-25	8.0
G2-26	8.0
G2-27	9.0
G2-28	7.0
G2-29	8.0
G2-313	11.0
G2-314	14.0
G2-315	7.0
G2-316	6.0
G2-317	8.0
G2-318	7.0
G2-319	3.0
G2-320	5.0
G2-321	4.0
G2-322	4.0
G2-323	10.0
G2-324	7.0
G2-325	10.0
G2-326	8.0
G2-327	11.0
G2-328	10.0
G2-329	12.0
G2-330	8.0
G2-413	12.0
G2-414	13.0
G2-415	14.0
G2-416	12.0
G3-417	7.0
G3-418	20.0
G3-419	12.0
G3-420	12.0
G3-421	17.0
G3-422	7.0
G3-423	13.0
G3-424	13.0
G3-425	14.0
G3-426	12.0
G3-427	21.0
G3-428	11.0
G3-429	11.0
G3-430	17.0
