	G1-11	G1-12	G1-13	G1-130	G1-131	G1-132	G1-135	G1-136	G1-138	G1-139	G1-14	G1-140	G1-141	G1-142	G1-143	G1-144	G1-15	G1-175	G1-176	G1-177	G1-178	G1-180	G1-182	G1-187	G1-188	G1-189	G1-190	G1-192	G1-193	G2-1100	G2-1101	G2-1102	G2-1103	G2-1104	G2-1105	G2-1106	G2-1107	G2-1108	G2-1109	G2-1110	G2-1111	G2-1113	G2-194	G2-197	G2-198	G2-199	G2-21	G2-210	G2-211	G2-212	G2-213	G2-214	G2-215	G2-216	G2-217	G2-218	G2-219	G2-22	G2-220	G2-221	G2-222	G2-223	G2-224	G2-23	G2-24	G2-25	G2-26	G2-27	G2-28	G2-29	G2-313	G2-314	G2-315	G2-316	G2-317	G2-318	G2-319	G2-320	G2-321	G2-322	G2-323	G2-324	G2-325	G2-326	G2-327	G2-328	G2-329	G2-330	G2-413	G2-414	G2-415	G2-416	G3-417	G3-418	G3-419	G3-420	G3-421	G3-422	G3-423	G3-424	G3-425	G3-426	G3-427	G3-428	G3-429	G3-430
G1-11	0.0	0.55	0.36	0.775	0.58	0.79	0.715	0.34	0.715	0.35	0.49	0.29	0.55	0.56	0.555	0.555	0.43	0.695	0.7	0.4	0.28	0.685	0.695	0.445	0.51	0.27	0.36	0.555	0.445	0.62	0.77	0.685	0.595	0.86	0.94	0.96	0.905	0.95	0.92	0.965	0.965	0.95	0.205	0.575	0.615	0.755	0.7	0.615	0.61	0.62	0.56	0.555	0.555	0.55	0.565	0.56	0.545	0.7	0.475	0.44	0.44	0.395	0.55	0.7	0.8	0.7	0.93	0.615	0.615	0.61	0.95	0.76	0.92	0.8	0.97	0.955	0.955	0.9	0.94	0.855	0.7	0.545	0.455	0.59	0.475	0.485	0.425	0.845	0.715	0.28	0.565	0.875	0.4	0.235	0.475	0.26	0.305	0.26	0.36	0.545	0.2	0.2	0.28	0.285	0.42	0.325
G1-12	0.55	0.0	0.8	0.93	0.77	0.93	0.785	0.38	0.885	0.69	0.68	0.64	0.855	0.865	0.865	0.865	0.71	0.34	0.15	0.71	0.51	0.145	0.145	0.51	0.79	0.565	0.665	0.865	0.275	0.855	0.855	0.855	0.825	0.865	0.94	0.96	0.905	0.95	0.92	0.965	0.965	0.95	0.525	0.425	0.44	0.855	0.335	0.49	0.48	0.435	0.86	0.865	0.865	0.865	0.865	0.86	0.835	0.47	0.83	0.76	0.795	0.69	0.85	0.48	0.8	0.33	0.93	0.53	0.495	0.47	0.95	0.855	0.92	0.86	0.97	0.955	0.955	0.9	0.94	0.87	0.74	0.77	0.785	0.87	0.8	0.775	0.755	0.87	0.815	0.7	0.72	0.885	0.725	0.565	0.725	0.585	0.615	0.57	0.665	0.77	0.6	0.6	0.62	0.655	0.72	0.685
G1-13	0.36	0.8	0.0	0.52	0.645	0.485	0.725	0.565	0.515	0.49	0.58	0.48	0.58	0.59	0.59	0.59	0.47	0.945	0.95	0.525	0.54	0.935	0.94	0.7	0.56	0.54	0.54	0.59	0.745	0.62	0.795	0.71	0.615	0.91	0.94	0.96	0.905	0.95	0.92	0.965	0.965	0.95	0.525	0.885	0.93	0.78	0.87	0.93	0.925	0.93	0.575	0.59	0.59	0.59	0.59	0.585	0.565	0.87	0.52	0.505	0.495	0.53	0.57	0.87	0.87	0.88	0.855	0.85	0.92	0.925	0.95	0.76	0.92	0.8	0.97	0.955	0.955	0.9	0.94	0.855	0.83	0.605	0.48	0.6	0.48	0.49	0.48	0.765	0.755	0.475	0.595	0.8	0.445	0.435	0.575	0.535	0.525	0.54	0.53	0.545	0.475	0.49	0.54	0.525	0.545	0.535
G1-130	0.775	0.93	0.52	0.0	0.61	0.045	0.89	0.82	0.55	0.93	0.835	0.925	0.98	0.99	0.99	0.99	0.84	0.93	0.935	0.91	0.915	0.92	0.93	0.925	0.935	0.925	0.92	0.99	0.88	1.0	1.0	1.0	0.965	0.925	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.865	0.87	0.88	1.0	0.91	0.88	0.88	0.88	0.975	0.99	0.99	0.985	0.99	0.985	0.98	0.91	0.975	0.935	0.94	0.935	0.995	0.91	0.91	0.91	0.92	0.855	0.87	0.88	0.995	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.91	0.915	0.865	0.99	0.865	0.865	0.865	0.975	0.91	0.88	0.865	0.92	0.885	0.89	0.92	0.905	0.91	0.925	0.915	0.9	0.82	0.83	0.885	0.87	0.915	0.875
G1-131	0.58	0.77	0.645	0.61	0.0	0.62	0.665	0.62	0.215	0.83	0.315	0.77	0.955	0.965	0.66	0.815	0.69	0.775	0.78	0.79	0.755	0.765	0.77	0.75	0.915	0.755	0.765	0.625	0.675	0.995	0.995	0.995	0.96	0.885	0.995	0.995	0.995	0.995	0.995	0.995	0.995	0.995	0.65	0.6	0.65	0.995	0.745	0.635	0.58	0.66	0.955	0.895	0.955	0.95	0.97	0.965	0.975	0.745	0.97	0.9	0.935	0.83	0.99	0.745	0.765	0.745	0.905	0.595	0.57	0.575	0.99	0.995	0.995	0.995	0.995	0.995	0.995	0.995	0.995	0.995	0.82	0.875	0.81	0.985	0.805	0.795	0.76	0.96	0.505	0.675	0.755	0.905	0.745	0.655	0.445	0.68	0.58	0.715	0.64	0.46	0.605	0.61	0.625	0.63	0.825	0.675
G1-132	0.79	0.93	0.485	0.045	0.62	0.0	0.855	0.785	0.525	0.925	0.815	0.925	0.98	0.99	0.99	0.99	0.805	0.935	0.94	0.91	0.915	0.925	0.93	0.925	0.93	0.925	0.92	0.99	0.89	0.99	0.99	0.99	0.955	0.93	0.995	0.995	0.995	0.995	0.995	0.995	0.995	0.995	0.88	0.89	0.905	0.99	0.88	0.9	0.9	0.9	0.975	0.99	0.99	0.985	0.99	0.985	0.975	0.88	0.97	0.93	0.93	0.935	0.99	0.88	0.88	0.875	0.88	0.845	0.895	0.9	0.99	0.99	0.99	0.99	0.99	0.99	0.995	0.995	0.995	0.995	0.92	0.915	0.84	0.985	0.84	0.84	0.84	0.93	0.91	0.895	0.83	0.875	0.855	0.855	0.92	0.905	0.91	0.925	0.915	0.865	0.83	0.845	0.895	0.885	0.915	0.89
G1-135	0.715	0.785	0.725	0.89	0.665	0.855	0.0	0.595	0.665	0.75	0.505	0.74	0.89	0.9	0.77	0.77	0.465	0.87	0.875	0.75	0.78	0.855	0.865	0.73	0.845	0.78	0.775	0.77	0.79	0.885	0.88	0.88	0.845	0.86	0.94	0.96	0.93	0.95	0.93	0.965	0.965	0.95	0.77	0.755	0.835	0.88	0.58	0.815	0.765	0.84	0.89	0.83	0.89	0.89	0.905	0.9	0.885	0.41	0.86	0.785	0.82	0.775	0.89	0.4	0.29	0.8	0.345	0.7	0.755	0.76	0.95	0.91	0.925	0.915	0.965	0.95	0.955	0.93	0.94	0.93	0.805	0.825	0.635	0.92	0.685	0.6	0.685	0.79	0.715	0.645	0.225	0.29	0.52	0.57	0.635	0.72	0.625	0.74	0.645	0.61	0.76	0.765	0.71	0.71	0.785	0.75
G1-136	0.34	0.38	0.565	0.82	0.62	0.785	0.595	0.0	0.71	0.59	0.46	0.53	0.8	0.815	0.805	0.805	0.46	0.52	0.525	0.62	0.455	0.51	0.515	0.405	0.75	0.515	0.6	0.8	0.34	0.79	0.72	0.725	0.675	0.855	0.94	0.96	0.905	0.95	0.92	0.965	0.96	0.95	0.435	0.425	0.475	0.715	0.415	0.47	0.465	0.475	0.805	0.8	0.805	0.795	0.815	0.815	0.795	0.42	0.695	0.68	0.645	0.65	0.805	0.42	0.685	0.44	0.82	0.37	0.46	0.465	0.945	0.815	0.91	0.82	0.95	0.94	0.955	0.9	0.94	0.855	0.725	0.725	0.62	0.835	0.635	0.615	0.59	0.72	0.725	0.55	0.51	0.75	0.535	0.36	0.645	0.5	0.52	0.49	0.575	0.635	0.455	0.475	0.525	0.555	0.655	0.59
G1-138	0.715	0.885	0.515	0.55	0.215	0.525	0.665	0.71	0.0	0.875	0.38	0.865	0.915	0.925	0.62	0.775	0.715	0.93	0.935	0.83	0.86	0.915	0.925	0.855	0.88	0.86	0.85	0.585	0.84	0.945	0.945	0.945	0.91	0.895	0.955	0.96	0.955	0.955	0.955	0.965	0.965	0.955	0.815	0.785	0.865	0.945	0.885	0.845	0.795	0.87	0.915	0.855	0.915	0.91	0.93	0.925	0.935	0.885	0.93	0.88	0.885	0.89	0.95	0.885	0.885	0.875	0.88	0.795	0.785	0.79	0.955	0.945	0.945	0.945	0.96	0.945	0.955	0.955	0.955	0.955	0.875	0.87	0.8	0.945	0.8	0.8	0.8	0.895	0.39	0.74	0.77	0.84	0.765	0.745	0.395	0.785	0.685	0.82	0.725	0.375	0.755	0.775	0.76	0.765	0.855	0.8
G1-139	0.35	0.69	0.49	0.93	0.83	0.925	0.75	0.59	0.875	0.0	0.57	0.095	0.365	0.375	0.4	0.475	0.45	0.84	0.84	0.15	0.285	0.83	0.835	0.465	0.17	0.295	0.245	0.465	0.63	0.51	0.69	0.58	0.485	0.815	0.89	0.91	0.855	0.9	0.87	0.915	0.915	0.9	0.33	0.75	0.835	0.71	0.82	0.8	0.83	0.83	0.37	0.37	0.375	0.375	0.375	0.37	0.275	0.835	0.23	0.23	0.34	0.14	0.295	0.84	0.84	0.725	0.88	0.835	0.83	0.795	0.9	0.655	0.86	0.7	0.845	0.83	0.905	0.85	0.89	0.805	0.69	0.51	0.33	0.41	0.285	0.465	0.305	0.725	0.745	0.185	0.605	0.805	0.29	0.345	0.495	0.21	0.34	0.2	0.405	0.525	0.32	0.315	0.24	0.22	0.21	0.195
