	shannon
G1-11	2.141432391850374
G1-12	0.711042293188519
G1-13	1.9359309424649531
G1-130	0.894967303123743
G1-131	2.112754487128937
G1-132	1.000718730450718
G1-135	1.8250493354876565
G1-136	2.346488566538823
G1-138	1.9562537029184917
G1-139	1.798305337394629
G1-14	2.4106471592398107
G1-140	2.039384648333538
G1-141	1.1601146034799175
G1-142	1.2102682135033496
G1-143	1.3206881728228332
G1-144	1.7062858734519992
G1-15	2.5602548024682696
G1-175	1.6247496949377855
G1-176	0.24229218908241482
G1-177	1.6862886001007849
G1-178	1.5839809590520846
G1-180	0.2619407328532109
G1-182	0.30713514881102716
G1-187	2.4002653926676385
G1-188	1.6972165745086258
G1-189	1.8675218931596993
G1-190	2.2746445497235004
G1-192	1.5148647031732665
G1-193	1.7044715384167186
G2-1100	1.4269023173540816
G2-1101	1.4833111926091984
G2-1102	1.5363467117996348
G2-1103	2.2553014565986116
G2-1104	1.1749859300077676
G2-1105	0.3274449191544763
G2-1106	0.24229218908241482
G2-1107	0.4529425481872832
G2-1108	0.2863969571159562
G2-1109	0.4021791902022729
G2-1110	0.21887772653901102
G2-1111	0.2640347668103987
G2-1113	0.2863969571159562
G2-194	1.9747190336518474
G2-197	2.142977449330184
G2-198	1.5867019370166227
G2-199	1.4358283532647862
G2-21	1.1367136706046905
G2-210	1.84988862712315
G2-211	2.057803383606532
G2-212	1.698898515616506
G2-213	0.9205695884900871
G2-214	1.338651586066194
G2-215	0.7499185643349761
G2-216	0.892064863744095
G2-217	0.8262243755361696
G2-218	0.8816726987733026
G2-219	0.9673988312579729
G2-22	1.0373495016909946
G2-220	1.3632249569402437
G2-221	2.241914480344916
G2-222	1.669803888247724
G2-223	1.1957017373146348
G2-224	0.587833230762732
G2-23	1.0389461223841565
G2-24	0.7657286213461897
G2-25	1.631782243197922
G2-26	0.8388139228511707
G2-27	2.001641378562992
G2-28	1.9158685011465637
G2-29	1.9371745187125915
G2-313	0.3775370988858111
G2-314	1.1607623631235298
G2-315	0.4817630671939111
G2-316	1.0490395396041647
G2-317	0.6198877665223571
G2-318	0.6438929456383602
G2-319	0.2647650339356807
G2-320	0.46899559358928117
G2-321	0.3274449191544763
G2-322	0.597185045253784
G2-323	1.3529669550572838
G2-324	1.470512325581783
G2-325	2.0844383975158367
G2-326	1.1340670264060408
G2-327	2.047006383358428
G2-328	2.389701061535761
G2-329	2.3081990531959025
G2-330	1.8876990436716492
G2-413	1.387393739640942
G2-414	2.1507922578066356
G2-415	1.8715196021646554
G2-416	1.4586759686465123
G3-417	1.7119062771070415
G3-418	2.0642520444774375
G3-419	1.57436962113947
G3-420	1.4351335961443243
G3-421	2.013338877758
G3-422	1.3417770277298495
G3-423	2.313471441366834
G3-424	1.953114787918843
G3-425	1.963290204336279
G3-426	2.0286875565375238
G3-427	1.8950510376433662
G3-428	2.003083456449731
G3-429	0.9900838296883353
G3-430	1.8604817268866596
