	G1-11	G1-12	G1-13	G1-130	G1-131	G1-132	G1-135	G1-136	G1-138	G1-139	G1-14	G1-140	G1-141	G1-142	G1-143	G1-144	G1-15	G1-175	G1-176	G1-177	G1-178	G1-180	G1-182	G1-187	G1-188	G1-189	G1-190	G1-192	G1-193	G2-1100	G2-1101	G2-1102	G2-1103	G2-1104	G2-1105	G2-1106	G2-1107	G2-1108	G2-1109	G2-1110	G2-1111	G2-1113	G2-194	G2-197	G2-198	G2-199	G2-21	G2-210	G2-211	G2-212	G2-213	G2-214	G2-215	G2-216	G2-217	G2-218	G2-219	G2-22	G2-220	G2-221	G2-222	G2-223	G2-224	G2-23	G2-24	G2-25	G2-26	G2-27	G2-28	G2-29	G2-313	G2-314	G2-315	G2-316	G2-317	G2-318	G2-319	G2-320	G2-321	G2-322	G2-323	G2-324	G2-325	G2-326	G2-327	G2-328	G2-329	G2-330	G2-413	G2-414	G2-415	G2-416	G3-417	G3-418	G3-419	G3-420	G3-421	G3-422	G3-423	G3-424	G3-425	G3-426	G3-427	G3-428	G3-429	G3-430
G1-11	0.0	0.12513170407645943	0.0592804134840622	0.2089798301291275	0.05933034551471901	0.06258763683927017	0.06253787771008784	0.08981043677820322	0.06258763683927017	0.14341537403307403	0.05733362336926009	0.14341537403307403	0.09735030976555656	0.14063763355677456	0.14063763355677456	0.14063763355677456	0.12537932460857884	0.49076358745736115	0.2576930405689113	0.27309986767209254	0.18054508692265617	0.15588218445601784	0.36057052612221757	0.21846036944869693	0.14989123486600064	0.144214825677661	0.49060550286372684	0.3193507610930535	0.009213066204196005	0.14480947652569742	0.10426672431488222	0.14480947652569742	0.23522215670780722	0.29449196992083326	0.14721911801481802	0.14721911801481802	0.14721911801481802	0.14721911801481802	0.14721911801481802	0.14721911801481802	0.10646522577622708	0.14721911801481802	0.045851030171616805	0.0924174046655953	0.283386045889274	0.14480947652569742	0.2949183727008381	0.1364263442944349	0.3802229619061069	0.14706404727435723	0.18412190107722606	0.10806214211280118	0.14063763355677456	0.09468717156877876	0.10002885546457735	0.13788153286203536	0.10081943913183984	0.33864738594605914	0.10322250467019607	0.3520989496583317	0.10160024201800605	0.1412990038932457	0.13894383748891823	0.3426322578078877	0.2967423057199246	0.3703381477409371	0.21929835250971214	0.32212481716945496	0.2846172568008521	0.09292136031274811	0.09554644735675374	0.14480947652569742	0.15031141946594978	0.14480947652569742	0.10961454320108888	0.15031141946594978	0.14721911801481802	0.14721911801481802	0.14721911801481802	0.14721911801481802	0.22717623579603627	0.18771831372272504	0.23420460530449133	0.23905519968543196	0.23420460530449133	0.23420460530449133	0.23607095103065745	0.24151830422934126	0.12283305818963573	0.18307393570422043	0.09253359861926624	0.07334984421269318	0.08969257361467589	0.1744654260790321	0.14082319756305822	0.1753408325818284	0.26991590149035954	0.09328599543742673	0.19087858745293051	0.23398850541460942	0.03721874183723267	0.009213066204196005	0.17258564302331536	0.0036598986755311657	0.09061085799256811	0.1753408325818284
G1-12	0.12513170407645943	0.0	0.16808083753424705	0.32734715509140594	0.17769767047699744	0.18054508692265617	0.17097662495441743	0.19948709851772792	0.18054508692265617	0.023816720905688354	0.17529107345264608	0.023816720905688354	0.11261055070344916	0.018882179552136804	0.018882179552136804	0.018882179552136804	0.22710433086146062	0.5519707667575047	0.2826440407407969	0.29352047970500605	0.07095761632495738	0.25446731114521415	0.38238123669715873	0.2375995649076694	0.030455970369480216	0.02398205915883943	0.5140212867761402	0.34051268167149595	0.13388680092263905	0.02428563210382147	0.11986111169704648	0.02428563210382147	0.25488374565473554	0.3152600186725684	0.02653558030649953	0.02653558030649953	0.02653558030649953	0.02653558030649953	0.02653558030649953	0.02653558030649953	0.12224785852918948	0.02653558030649953	0.16591449839936398	0.20662128429519644	0.19229668758077761	0.02428563210382147	0.3203479778725026	0.02698901785230452	0.4076646737271752	0.173732923182772	0.07555238730433854	0.12380544355441724	0.018882179552136804	0.11510647177236702	0.1154474400300747	0.015735591323297934	0.11622518277603272	0.25073609901243565	0.11872576157150458	0.3735092835308551	0.11703775059676003	0.020156953193815122	0.017089201611666244	0.25463633545225217	0.32250567165631433	0.3919945490766977	0.11971183756869602	0.24153008656536598	0.31841774435988185	0.11849672323465978	0.11068428252563561	0.02428563210382147	0.030562975725848266	0.02428563210382147	0.12552356212185584	0.030562975725848266	0.02653558030649953	0.02653558030649953	0.02653558030649953	0.02653558030649953	0.1352388856120642	0.08536436173940601	0.14941846932123473	0.1444073643095928	0.14941846932123473	0.14941846932123473	0.15173501946918339	0.14752005377857277	0.010399857791363843	0.08684704746259218	0.20250431851303524	0.18560177852168552	0.1957094242708411	0.07600894602860929	0.15774645304895127	0.0764070277343344	0.2902796519299334	0.10837761902321943	0.2094002713523088	0.13905709082978504	0.15836843717305343	0.13388680092263905	0.19964905748113027	0.1283336333939742	0.11089736606814937	0.0764070277343344
G1-13	0.0592804134840622	0.16808083753424705	0.0	0.16014409248896727	0.010494607874558795	0.013921004499557202	0.0034808519274726938	0.03775157779800963	0.013921004499557202	0.18463038991024885	0.008666991029547126	0.18463038991024885	0.1401367867579392	0.18249423871873338	0.18249423871873338	0.18249423871873338	0.07045359974887107	0.4729376842773384	0.29315010229960065	0.2254244230152215	0.12210541352968812	0.19151054590990654	0.31833575001670955	0.25055779230820235	0.1910076715056527	0.18560580800621182	0.5066519525257543	0.3440368002216855	0.06779189118009793	0.1862792429660284	0.14654316018242983	0.1862792429660284	0.184869228228044	0.32090337200776026	0.18871521046929607	0.18871521046929607	0.18871521046929607	0.18871521046929607	0.18871521046929607	0.18871521046929607	0.14877999960319485	0.18871521046929607	0.10047176359373929	0.045299412391485834	0.32734715509140594	0.1862792429660284	0.23892695374669667	0.18770041822530564	0.3812637311976714	0.19377830211917793	0.12595726779156516	0.1499812174348932	0.18249423871873338	0.14231267040619103	0.14268836677452074	0.17987237827359198	0.14329372714329064	0.28134277377251105	0.14547539760744818	0.3744460228221673	0.1440025293760318	0.1829744329189391	0.18084260290786294	0.2849913361933094	0.2402761176887562	0.3291719442374917	0.16345701209250205	0.2732890795292947	0.23749926452674264	0.14527018207927203	0.13837829746616184	0.1862792429660284	0.19151438654118333	0.1862792429660284	0.151638575001141	0.19151438654118333	0.18871521046929607	0.18871521046929607	0.18871521046929607	0.18871521046929607	0.2652902537601236	0.13448665784119776	0.18871192574389828	0.1845542491664142	0.18871192574389828	0.18871192574389828	0.19068914364570755	0.18720667161925222	0.17529107345264608	0.22907714952851158	0.04034532227841569	0.020005899828088557	0.03216878641055137	0.12605555801339108	0.08375453971947973	0.12667420024211543	0.22201696374333404	0.1364494324444651	0.13739056529707483	0.17964006244671965	0.09276030072162685	0.06779189118009793	0.21674911554834866	0.06253787771008784	0.13864398628850597	0.12667420024211543
G1-130	0.2089798301291275	0.32734715509140594	0.16014409248896727	0.0	0.1504426589246473	0.1533999901568893	0.16305229235314342	0.18713030169483055	0.1533999901568893	0.34065988261269237	0.15784803801231564	0.34065988261269237	0.2853550356173625	0.33171467114812114	0.33171467114812114	0.33171467114812114	0.21506555374078676	0.5550972784940836	0.17189926792051982	0.3487180836746917	0.27198046364526335	0.3208204442807887	0.42843146787756287	0.3835499305918238	0.33918528184600505	0.3337831511802126	0.5879282232665036	0.45515534996281787	0.20755541014351378	0.34351431436498975	0.2998021663031704	0.34351431436498975	0.32231441014035217	0.43559855432087763	0.3377924189019268	0.3377924189019268	0.3377924189019268	0.3377924189019268	0.3377924189019268	0.3377924189019268	0.2938627241030356	0.3377924189019268	0.23547723372573584	0.18047772198036616	0.19785512584905154	0.34351431436498975	0.10968392188179572	0.3268649101494495	0.4777131891243873	0.32196374666990896	0.2751748845408491	0.2939645590781957	0.33171467114812114	0.28281800981525673	0.28790673930241983	0.3290926801278858	0.29669532542808186	0.15535571031720846	0.2984773742321586	0.48576020822143573	0.29727429406666644	0.3403596411667003	0.33864738594605914	0.1587246506476946	0.10995544433556136	0.4365778865746607	0.30716858914081707	0.13388699525965972	0.09757247756564615	0.28095962536951824	0.29219225156406997	0.34351431436498975	0.34007734713938387	0.34351431436498975	0.2962341957054416	0.34007734713938387	0.3377924189019268	0.3377924189019268	0.3377924189019268	0.3377924189019268	0.39609400373678133	0.27870260817015335	0.3199121359232346	0.32506645509482085	0.3199121359232346	0.3199121359232346	0.321577773023473	0.3272619323138492	0.3244721204354146	0.36852886912824284	0.18082928920961078	0.16342143492016867	0.17850022011858976	0.27444952848413706	0.22959281437589873	0.26674872166158176	0.3458528909289613	0.2822902720386719	0.27469369061097254	0.3196949694515236	0.2288894586290751	0.20755541014351378	0.3413727989186587	0.2117189246928564	0.27974235848191753	0.26674872166158176
G1-131	0.05933034551471901	0.17769767047699744	0.010494607874558795	0.1504426589246473	0.0	0.003481026046456906	0.013921004499557202	0.04273870532237537	0.003481026046456906	0.19397216855487645	0.008716750158729442	0.19397216855487645	0.14009511141468628	0.18245352492262748	0.18245352492262748	0.18245352492262748	0.07520223398763698	0.4729232331852322	0.293115579254311	0.2253925501721047	0.12206149953483099	0.19147565378956227	0.31831070370752707	0.2582492647504662	0.1909676563093955	0.18556552564360307	0.5044655524120123	0.3440124745350914	0.05763644603308141	0.19568521167406328	0.1558988864596269	0.19568521167406328	0.19309732259535015	0.3208773776453312	0.18867484535702017	0.18867484535702017	0.18867484535702017	0.18867484535702017	0.18867484535702017	0.18867484535702017	0.14873878179538824	0.18867484535702017	0.09084067159154645	0.03535377967271879	0.3185319335590968	0.19568521167406328	0.23889010103819286	0.1782618821652271	0.37546680042979513	0.18511568713928747	0.12591373831535546	0.1499403697013212	0.18245352492262748	0.1375580856125806	0.14264681509974367	0.17983153390239212	0.15267348589737784	0.28130701730326757	0.15482045962083482	0.38045483510332667	0.15337101422312294	0.19240541888861148	0.19030911201848083	0.28495553951046526	0.2402390122409348	0.3291478983504609	0.16341688799667098	0.26418733862201216	0.22853631726824244	0.1358356830618709	0.14780652912772863	0.19568521167406328	0.1914742994987697	0.19568521167406328	0.15159763357125222	0.1914742994987697	0.18867484535702017	0.18867484535702017	0.18867484535702017	0.18867484535702017	0.26116929263351385	0.1295850346252467	0.1798188824239941	0.1845160079843209	0.1798188824239941	0.1798188824239941	0.1818276288970754	0.1871686788146087	0.1753408325818284	0.22912366345417842	0.03531843196004253	0.014818387279554535	0.03212151685455623	0.1261050546143057	0.08370994123028236	0.11682975755114935	0.22198480985197108	0.13640739889305553	0.13735103558550185	0.17960171595228308	0.08300658548345871	0.05763644603308141	0.2084420494025468	0.06258763683927017	0.13385948533630113	0.11682975755114935
G1-132	0.06258763683927017	0.18054508692265617	0.013921004499557202	0.1533999901568893	0.003481026046456906	0.0	0.010458267810837836	0.03938602135177533	0.0	0.19056617014526667	0.005254013470010077	0.19056617014526667	0.14298568871349365	0.18527715219680413	0.18527715219680413	0.18527715219680413	0.07195469381222588	0.47392699672351785	0.2955100162743832	0.22252900721165925	0.11858047348837408	0.18847234698900364	0.3200492943804092	0.2553398604331387	0.18752613429716442	0.182124003631372	0.502527600579999	0.3457010037632807	0.0541554199866245	0.19225271092310817	0.15255754089818774	0.19225271092310817	0.19009698137727638	0.32268158801439467	0.1914742994987697	0.1914742994987697	0.1914742994987697	0.1914742994987697	0.1914742994987697	0.1914742994987697	0.15159763357125222	0.1914742994987697	0.08748229966677633	0.03859342045640155	0.32090414164820624	0.19225271092310817	0.2414461911545308	0.17481141088903276	0.37694599182644956	0.1819381590283096	0.12893264168502908	0.15277362433257952	0.18527715219680413	0.14045719114432093	0.1455288148257948	0.18266421696187649	0.1554975851092905	0.28378684679646504	0.15763028918218577	0.3780097091725873	0.15002966866168377	0.19517033550733923	0.19308837659951888	0.2874381053260202	0.24281255861161008	0.3266534398566968	0.1661999674220104	0.26674872166158176	0.23112717924130854	0.13873786824226406	0.15065400199911513	0.19225271092310817	0.18802382822257538	0.19225271092310817	0.1482392616464821	0.18802382822257538	0.1914742994987697	0.1914742994987697	0.1914742994987697	0.1914742994987697	0.263476723370701	0.13258837646164195	0.17656600332856143	0.1871686788146087	0.17656600332856143	0.17656600332856143	0.17858271659003896	0.18391579971917604	0.17187809589310904	0.22588676040563788	0.03193975944096813	0.011367916003360214	0.03540002180240906	0.12266058726187357	0.0803226307311397	0.11334873150469245	0.21910866927087677	0.13302008839391286	0.13416202369317687	0.1763488368568504	0.07961927498431605	0.0541554199866245	0.20535547923988368	0.059124900150550795	0.13047217483715848	0.11334873150469245
G1-135	0.06253787771008784	0.17097662495441743	0.0034808519274726938	0.16305229235314342	0.013921004499557202	0.010458267810837836	0.0	0.03439043387858985	0.010458267810837836	0.18120686656420626	0.00520425434082776	0.18120686656420626	0.14302708435039826	0.1853175852523737	0.1853175852523737	0.1853175852523737	0.06719812655406067	0.4739413928275461	0.2955443058409109	0.22256099788123845	0.11862456160221543	0.18850736871798965	0.3200742130978732	0.2476356103685304	0.18756631969642792	0.18216445619698704	0.5047168699199064	0.34572520438343696	0.06432915449137856	0.1828289427656432	0.14318495032291806	0.1828289427656432	0.18185529626895502	0.3227074444455998	0.19151438654118333	0.19151438654118333	0.19151438654118333	0.19151438654118333	0.19151438654118333	0.19151438654118333	0.151638575001141	0.19151438654118333	0.0971304180323001	0.04848939696239492	0.3296763747762424	0.1828289427656432	0.24148279675443318	0.18426791747435053	0.3827239451519339	0.1906160202112053	0.1289758710052802	0.15281420023486755	0.1853175852523737	0.14518838319777963	0.14557008762423126	0.18270477969216412	0.1461634637155019	0.283822356944172	0.14833056112213364	0.3719918782646091	0.14064431951652	0.18578610533239642	0.183668941839197	0.28747365388123847	0.24284941311592553	0.32667757515459334	0.16623982500483458	0.27580548809570166	0.2400470429748103	0.14812612976261116	0.1412718039627803	0.1828289427656432	0.1880640863407981	0.1828289427656432	0.14828036514162923	0.1880640863407981	0.19151438654118333	0.19151438654118333	0.19151438654118333	0.19151438654118333	0.2675793342308267	0.13746520848443533	0.18547502269535773	0.18720667161925222	0.18547502269535773	0.18547502269535773	0.1874601293934921	0.18395394456766528	0.17182833676392673	0.22584024647997103	0.03697537780519301	0.01656453099163789	0.03544697167520938	0.12261109066095895	0.08036739409054303	0.12321146355339607	0.21914094202767187	0.13306228681552842	0.13420169953686792	0.1763873353951327	0.08939031052047866	0.06432915449137856	0.21367693320106462	0.05907514102136848	0.13526544846291	0.12321146355339607
G1-136	0.08981043677820322	0.19948709851772792	0.03775157779800963	0.18713030169483055	0.04273870532237537	0.03938602135177533	0.03439043387858985	0.0	0.03938602135177533	0.20891744846420654	0.03429899096924455	0.20891744846420654	0.12304406115958409	0.2131230856033719	0.2131230856033719	0.2131230856033719	0.08804081599439695	0.4611496147338337	0.2742382700659546	0.2050020947224964	0.14893544533864758	0.212699386504385	0.30385948449322564	0.24177295799274554	0.21519999290438555	0.20998186542460567	0.491584115901817	0.32921133324827584	0.09154478319013397	0.21069355964290398	0.12321922657940519	0.21069355964290398	0.16365806024397295	0.3058053472846611	0.21908283952341645	0.21908283952341645	0.21908283952341645	0.21908283952341645	0.21908283952341645	0.21908283952341645	0.13160850645991765	0.21908283952341645	0.07280598838837228	0.02441264578036972	0.3484587365353284	0.21069355964290398	0.2207688785635956	0.20747373481860892	0.3644891922123807	0.16713822177746793	0.1587043410029949	0.13292538289903122	0.2131230856033719	0.12053494829596657	0.12556769041672594	0.21059945634623004	0.12622514586359534	0.3082432116270944	0.12842605278023908	0.3656460167401519	0.1206979337944497	0.21348032977446507	0.21150491568981775	0.3119157376870469	0.22194789413586433	0.3107791670828753	0.1936840849919144	0.2962999746969698	0.21499488662886268	0.12354203165023483	0.12132064214036274	0.21069355964290398	0.21575019069154722	0.21069355964290398	0.1282758576280484	0.21575019069154722	0.21908283952341645	0.21908283952341645	0.21908283952341645	0.21908283952341645	0.2863143393311876	0.16220768047567205	0.20736191047454924	0.21338607810031168	0.20736191047454924	0.20736191047454924	0.2092363012104411	0.2102381187192777	0.19562742580974238	0.24652542331011654	0.012752737796147957	0.045126507033614816	0.01613759505518452	0.13833326905473198	0.060713182053628335	0.14855569435391455	0.20152761742308573	0.1130035579837186	0.11530045856527843	0.20291522382231092	0.06489817213507879	0.09154478319013397	0.19075691937354042	0.08645775280760318	0.11047532676291384	0.14855569435391455
G1-138	0.06258763683927017	0.18054508692265617	0.013921004499557202	0.1533999901568893	0.003481026046456906	0.0	0.010458267810837836	0.03938602135177533	0.0	0.19056617014526667	0.005254013470010077	0.19056617014526667	0.14298568871349365	0.18527715219680413	0.18527715219680413	0.18527715219680413	0.07195469381222588	0.47392699672351785	0.2955100162743832	0.22252900721165925	0.11858047348837408	0.18847234698900364	0.3200492943804092	0.2553398604331387	0.18752613429716442	0.182124003631372	0.502527600579999	0.3457010037632807	0.0541554199866245	0.19225271092310817	0.15255754089818774	0.19225271092310817	0.19009698137727638	0.32268158801439467	0.1914742994987697	0.1914742994987697	0.1914742994987697	0.1914742994987697	0.1914742994987697	0.1914742994987697	0.15159763357125222	0.1914742994987697	0.08748229966677633	0.03859342045640155	0.32090414164820624	0.19225271092310817	0.2414461911545308	0.17481141088903276	0.37694599182644956	0.1819381590283096	0.12893264168502908	0.15277362433257952	0.18527715219680413	0.14045719114432093	0.1455288148257948	0.18266421696187649	0.1554975851092905	0.28378684679646504	0.15763028918218577	0.3780097091725873	0.15002966866168377	0.19517033550733923	0.19308837659951888	0.2874381053260202	0.24281255861161008	0.3266534398566968	0.1661999674220104	0.26674872166158176	0.23112717924130854	0.13873786824226406	0.15065400199911513	0.19225271092310817	0.18802382822257538	0.19225271092310817	0.1482392616464821	0.18802382822257538	0.1914742994987697	0.1914742994987697	0.1914742994987697	0.1914742994987697	0.263476723370701	0.13258837646164195	0.17656600332856143	0.1871686788146087	0.17656600332856143	0.17656600332856143	0.17858271659003896	0.18391579971917604	0.17187809589310904	0.22588676040563788	0.03193975944096813	0.011367916003360214	0.03540002180240906	0.12266058726187357	0.0803226307311397	0.11334873150469245	0.21910866927087677	0.13302008839391286	0.13416202369317687	0.1763488368568504	0.07961927498431605	0.0541554199866245	0.20535547923988368	0.059124900150550795	0.13047217483715848	0.11334873150469245
G1-139	0.14341537403307403	0.023816720905688354	0.18463038991024885	0.34065988261269237	0.19397216855487645	0.19056617014526667	0.18120686656420626	0.20891744846420654	0.19056617014526667	0.0	0.1853982457168167	0.0	0.12109941660800949	0.029927369460882806	0.029927369460882806	0.029927369460882806	0.23581692139607668	0.5527576360564933	0.2980695898369536	0.3005800097210947	0.08432532390020875	0.2624942941973453	0.3917599582975637	0.2275844394527599	0.018855203035178222	0.012421445787883612	0.5067289246896032	0.34416165691051875	0.14527588517221862	0.018825994330350204	0.11413001265062755	0.018825994330350204	0.24908392175319882	0.3143803420591167	0.029143750667265253	0.029143750667265253	0.029143750667265253	0.029143750667265253	0.029143750667265253	0.029143750667265253	0.12344557810878365	0.029143750667265253	0.1601342744247171	0.20678050892973493	0.21141574791845255	0.018825994330350204	0.3192159418799874	0.02153783268743698	0.4161562877690516	0.1839484685965344	0.08500175329762907	0.11450361434498721	0.029927369460882806	0.12353236539552753	0.12389131516782151	0.02683603567204585	0.1122420519679244	0.2503658128313635	0.10943098381232885	0.36139281757388214	0.11133033635993801	0.01673492230844176	0.019823859953356133	0.2712759470983164	0.33628099436285896	0.38642617926591405	0.12093980578255563	0.25841374672160683	0.3173135737225082	0.11973290883575544	0.11202179980379903	0.018825994330350204	0.025045012862175958	0.018825994330350204	0.11974496151421261	0.025045012862175958	0.029143750667265253	0.029143750667265253	0.029143750667265253	0.029143750667265253	0.13626107069273743	0.087070740014978	0.14362002119666406	0.14531398948615293	0.14362002119666406	0.14362002119666406	0.14593343999508687	0.14170569643022243	0.025719657873670063	0.08124486226152937	0.2119108315832879	0.17980454343866473	0.21128553481766513	0.08912959810883639	0.16842543658869955	0.08959733325896475	0.2974171978471461	0.12055030906322033	0.21861765575001735	0.1333119569921503	0.1690291973073808	0.14527588517221862	0.20913441394579613	0.13981879965184138	0.12299153266308888	0.08959733325896475
