	G1-11	G1-12	G1-13	G1-130	G1-131	G1-132	G1-135	G1-136	G1-138	G1-139	G1-14	G1-140	G1-141	G1-142	G1-143	G1-144	G1-15	G1-175	G1-176	G1-177	G1-178	G1-180	G1-182	G1-187	G1-188	G1-189	G1-190	G1-192	G1-193	G2-1100	G2-1101	G2-1102	G2-1103	G2-1104	G2-1105	G2-1106	G2-1107	G2-1108	G2-1109	G2-1110	G2-1111	G2-1113	G2-194	G2-197	G2-198	G2-199	G2-21	G2-210	G2-211	G2-212	G2-213	G2-214	G2-215	G2-216	G2-217	G2-218	G2-219	G2-22	G2-220	G2-221	G2-222	G2-223	G2-224	G2-23	G2-24	G2-25	G2-26	G2-27	G2-28	G2-29	G2-313	G2-314	G2-315	G2-316	G2-317	G2-318	G2-319	G2-320	G2-321	G2-322	G2-323	G2-324	G2-325	G2-326	G2-327	G2-328	G2-329	G2-330	G2-413	G2-414	G2-415	G2-416	G3-417	G3-418	G3-419	G3-420	G3-421	G3-422	G3-423	G3-424	G3-425	G3-426	G3-427	G3-428	G3-429	G3-430
G1-11	0.0	0.1583972534568346	0.10212441183334235	0.2557963347345717	0.17585299477973912	0.2545736757344601	0.1735532945412174	0.0833802018509669	0.1618113318133361	0.09502369766053055	0.115022086201565	0.07157137707098198	0.15776338785549296	0.1643115356917338	0.06497932975269113	0.116385285694828	0.07478305094287484	0.18120762841542554	0.19944570399563666	0.10051774553471665	0.04717067651440964	0.20475026779029162	0.20574827376567317	0.04092817697781044	0.09409033712620982	0.048116636314422825	0.038487957974262424	0.05228679192868062	0.13682332675538267	0.06974895491896019	0.09925291813225945	0.08392948657127534	0.03150447880679237	0.19766250507706787	0.20627111921420654	0.2134563358784229	0.19369699005182783	0.20986372754631472	0.19908590254999012	0.215252640044477	0.214084979918241	0.20986372754631472	0.033739917575801345	0.19047770978598091	0.20842116104870984	0.07924549463686516	0.19932348680078596	0.20749034703254265	0.19913521732375392	0.203660552280922	0.1614560526557458	0.13821554023384436	0.15966762175176763	0.1567768093721635	0.16375152240545696	0.16343126213921405	0.12406782620284508	0.20114208004842726	0.1358114159688742	0.07717403491411814	0.13475300180917998	0.09640123630511134	0.15137514420647996	0.2009479266515488	0.2257970929279698	0.17572755882197016	0.23230671879680098	0.2068412482277347	0.20704763196980194	0.20697950568002446	0.2103683374967766	0.1219868603217748	0.1955373495379701	0.13816499260567564	0.1892671364941448	0.18504588412221853	0.2116600317123688	0.19190068588577375	0.20627111921420654	0.17573394839128684	0.18000259035437133	0.10260925753326663	0.0656327393246856	0.048929417359500724	0.06693582225716935	0.08117330264644282	0.05162583486528965	0.14539368869067118	0.14858110754941756	0.056678989201360636	0.14114689318417023	0.16006524850097817	0.06168081878295127	0.03807971140418693	0.09114267576784837	0.04618579913162296	0.029372488662446003	0.05076545559077349	0.07126082553139955	0.09048011546199362	0.01627202575071201	0.022341711114744665	0.04016397072265843	0.04215215015081451	0.11362347712183613	0.05101158982123206
G1-12	0.1583972534568346	0.0	0.24226428307106365	0.2775203681599758	0.09603702912062048	0.27605949786767364	0.09841358898946075	0.09125190033183979	0.12127485201923881	0.21524837542695444	0.06936098554322452	0.19193436096154176	0.27940930929278823	0.28397705709259136	0.18481678640453142	0.23622274234666826	0.1550211503172422	0.09589211214023362	0.048970050684552506	0.22251959944242292	0.16611512587233573	0.04851146014004802	0.048893211985342654	0.12603900829233822	0.21351287550564252	0.11670840129105725	0.15120567301713722	0.1741046486169585	0.022822612085368645	0.11492318169271944	0.09014435430200171	0.10275011448047504	0.15533927904307127	0.05832106010859867	0.05182352369095892	0.05900874035517531	0.039249394528580235	0.05541613202306711	0.04463830702674253	0.060805044521229416	0.06062758441321223	0.05541613202306711	0.12646760459601403	0.04034613641886775	0.05138677463374126	0.10819939067245944	0.07364842310374424	0.05045596196757409	0.05173127212604473	0.04942483066962718	0.2809496388056207	0.25904319690390337	0.2795050784036079	0.27763760406282656	0.28423530857355067	0.2829248482890889	0.24461425449832844	0.09611528156226669	0.2572268285002647	0.19885752168081083	0.25616841434057047	0.21602430953129184	0.27106506228157634	0.09838953860313765	0.14697787396153741	0.03921348106099681	0.15311399294563813	0.04997351150777106	0.05199364724127098	0.050968650022275616	0.056910941991747795	0.06887194091247326	0.0410897540147225	0.054650270067190226	0.03580974098911605	0.030598288598970933	0.057212436189121224	0.03745309036252614	0.05182352369095892	0.02128635301803924	0.025820098995955748	0.08079414103487666	0.1777028598447493	0.14835878866832466	0.18393716339560107	0.12852699056194672	0.1605023810052237	0.07272432308432397	0.035247062637106155	0.17764983712616234	0.1267966821671663	0.14711939498291582	0.1832850572937141	0.1425484118869795	0.08562469847163982	0.16612260568524034	0.1433001532595564	0.17159311226083254	0.12856264003584542	0.0955934591138577	0.14905138033905993	0.14466138174552587	0.15921970427147528	0.16555789092212803	0.23382966882917267	0.17118029835904255
G1-13	0.10212441183334235	0.24226428307106365	0.0	0.1698487348106252	0.2133882262941461	0.16030572939472595	0.22945853986511716	0.15723059323461874	0.17144695529390225	0.149349571443181	0.18783743572795863	0.14695630784474875	0.17466193168773372	0.18121007952397453	0.14963437280034836	0.15514757312574967	0.12481549696799157	0.23648292735062998	0.28331273360986575	0.1452731063401819	0.14218105473266776	0.2886172974045207	0.2889299232055324	0.14035146075250976	0.15091004726403373	0.13988139021122517	0.1391417384944674	0.14738091482800394	0.2210216082555819	0.1519245536598742	0.18176274161775308	0.166439310056769	0.12091829933374527	0.2801714002079917	0.2884467179551204	0.29563193461933684	0.27587258879274174	0.2920393262872286	0.28126150129090405	0.2974282387853909	0.29626057865915495	0.2920393262872286	0.13152795627044567	0.2745064168647583	0.293135248301857	0.1617553181223588	0.27222443362509813	0.29220443428568993	0.2835581459396949	0.2882027042830865	0.1768119008882643	0.1608901053564783	0.17673810083499103	0.1738804264759909	0.18047813098671506	0.18015787072047212	0.15293960199860157	0.27404302687273946	0.15941333036979982	0.15155870522602735	0.15922215920802343	0.1491796679464243	0.1682381641034996	0.27384887347586095	0.268076553845368	0.25030761256176615	0.2627197946710935	0.2805892526909651	0.29039095887420957	0.29169359293317154	0.29254393623769054	0.2041624590626888	0.27771294827888393	0.2203405913465895	0.2714427352350588	0.2672214828631324	0.29383563045328276	0.2740762846266876	0.2884467179551204	0.25790954713220077	0.2633098630741429	0.18463217516863567	0.12871833867938215	0.1468103555872905	0.13067236737526094	0.14955460310844101	0.13073888896470698	0.2166032046416683	0.2313630342324924	0.14562041425978287	0.18016226356308698	0.18056278155114003	0.12115222962090093	0.1258703989594773	0.1734402870226141	0.14293067201988086	0.12666988570531637	0.14297529683550947	0.15082566178111287	0.16493857804768267	0.11775772515607602	0.12378802725154205	0.14152163907799623	0.14064821730655205	0.1496753341170234	0.14364711759616322
G1-130	0.2557963347345717	0.2775203681599758	0.1698487348106252	0.0	0.1967347772809154	0.010438823588561859	0.26351202434777166	0.25785909823962944	0.17602242961213374	0.3031150258944327	0.2764822337322458	0.30079091535806834	0.3354226724927921	0.34197082032903303	0.3030691041578407	0.308582304483242	0.2645860453705686	0.22600221034781978	0.2633452948372692	0.29830788272966224	0.2948719606201829	0.2705472029358814	0.27085982888689325	0.29418836962898154	0.30380651732937847	0.2929161664007055	0.29214344087337873	0.3008156461854963	0.2785473062499372	0.3000637035726863	0.29798125970787126	0.29973392813250266	0.2750837067530088	0.2718602516149702	0.29185293197585255	0.29144877082423987	0.2925602139911747	0.29165085140004615	0.29225709312746523	0.2913477305363367	0.2901800704101007	0.29165085140004615	0.2842647471146296	0.26786627422653153	0.27321369448592947	0.30074196990996427	0.26000174114839886	0.27418022477371956	0.2655339365777246	0.27017849477111616	0.3375726416933228	0.3160467601221261	0.3374988416400494	0.33460802926044536	0.3412388717917734	0.34091861152553066	0.305890424024946	0.26161477001821076	0.3145000796273034	0.3052904585464501	0.313441665467609	0.30247720770526454	0.3293285134268338	0.2614206166213324	0.25564829699083924	0.26137963568777184	0.2584177443996679	0.2682068807931053	0.270469405058282	0.27366938357120135	0.29032496179546674	0.2969443954661604	0.29250322872335965	0.29597958291552984	0.2919250470914063	0.2933958280813519	0.29154981111214306	0.2926612542790779	0.29185293197585255	0.2935706168702064	0.28891856547133044	0.29379030958115093	0.2888560053174982	0.300106780820647	0.29081003401337696	0.2850267921951125	0.29087655570282306	0.29016096546105813	0.2895323712139418	0.29922618943987406	0.26098147896322194	0.2789637733568699	0.2817261879284492	0.2867797507689909	0.2904255191369064	0.29586609850758416	0.2797046620947968	0.2960100732249899	0.29437371565080694	0.28871880355352386	0.27052765402086404	0.27652481809572604	0.29429156794278427	0.29345185309965205	0.3024718992143133	0.29638390844034723
G1-131	0.17585299477973912	0.09603702912062048	0.2133882262941461	0.1967347772809154	0.0	0.19607177609659063	0.1455832627359924	0.12003160698905031	0.04460841010515978	0.26996525330525106	0.09988694167901026	0.24610180396004372	0.3321133980721334	0.33866154590837416	0.22901322491037304	0.28574917363297175	0.1846934888950635	0.05715842494657647	0.0837593002518712	0.27281161522824765	0.22041656334431828	0.08906386404652612	0.08937648984753788	0.17875563272218253	0.2667958319702147	0.16922548539820417	0.19643079842989303	0.215117140329484	0.09676617414539015	0.16244530649698594	0.13667627908804944	0.1502722392847416	0.18171173701551818	0.08359030416139178	0.10358298502227406	0.1031788238706614	0.10429026703759628	0.10338090444646772	0.10398714617388677	0.10307778358275821	0.10191012345652223	0.10338090444646772	0.17468911989186536	0.08271937978114835	0.09229829532944386	0.155721515476726	0.0836429241559266	0.09023498242684044	0.08048603470450737	0.08770962181263864	0.3344353025236466	0.3102276099987956	0.3338456967174254	0.3309548843378212	0.3381015326220973	0.33778127235585437	0.297313110419259	0.10947902900104173	0.31033681337685415	0.24876474514573352	0.30989509235064816	0.27104953392633263	0.32567915812095827	0.11168662676391072	0.15788491601605026	0.07612782906559719	0.1692289567958691	0.08523298028394952	0.08704413019912464	0.0877300711245984	0.10205501484188825	0.11639406571673974	0.10423328176978125	0.10770963596195135	0.10365510013782783	0.10512588112777332	0.10327986415856455	0.10439130732549945	0.10358298502227406	0.10530066991662801	0.10011572763053014	0.12733093675621354	0.2276078256315552	0.19430961827710375	0.23309314060664232	0.1755210453586064	0.20924722956060604	0.11864739057921303	0.0957662584964281	0.22928377913698245	0.16770638837015872	0.19611146040675304	0.226294525014539	0.19102214598890457	0.12573846327113583	0.21847494786603242	0.17987824412234366	0.22425579050250072	0.17495125767563133	0.13258514288535367	0.1817085395051929	0.18337012837530675	0.20946342742206003	0.21502821816569911	0.2879734873384766	0.2240678226370195
G1-132	0.2545736757344601	0.27605949786767364	0.16030572939472595	0.010438823588561859	0.19607177609659063	0.0	0.2573813729157754	0.2517284468076331	0.17116254986187412	0.301712882620957	0.2704509322020265	0.2994579251466606	0.33135715604907334	0.33790530388531415	0.3016468508105171	0.30716005113591854	0.2584553939385723	0.2245413401555177	0.26567911330288174	0.29697489251825454	0.2935389704087752	0.2711115571784311	0.27129630289854834	0.29285537946757373	0.3024043741059027	0.29158317623929786	0.29081045071197104	0.2993933928381727	0.2771417306893239	0.29852824199320666	0.2964457981283917	0.29819846655302307	0.27354824517352927	0.2705046574956488	0.29036152556646116	0.2899573644148485	0.29106880758178333	0.29015944499065477	0.2907656867180738	0.2898563241269453	0.2886886640007093	0.29015944499065477	0.28303110680499916	0.26667668908698916	0.27581879810430154	0.2992065083304846	0.2576406805823374	0.27484392891804627	0.26624169574213946	0.2708421989154429	0.33350712524960396	0.313582411118239	0.3334333251963306	0.33054251281672653	0.3371733553480546	0.3368530950818117	0.30575867316873806	0.2591509272632346	0.31276716128126375	0.30378832665597144	0.3124652756713972	0.30111911965187693	0.32519384392104694	0.2589567738663562	0.2531844542358631	0.25517983134370764	0.2521286767696879	0.2660143231908888	0.27307450867665406	0.27437714273561614	0.2888335553860753	0.2954089338866808	0.2909677671438802	0.29444412133605025	0.2903895855119268	0.2918603665018723	0.2900584047027516	0.2911698478696865	0.29036152556646116	0.29207921046081503	0.2876267534091509	0.29243222147776354	0.282755550725211	0.2986153744112555	0.2847095794210898	0.2789263376028254	0.2847761011105359	0.2838278426609899	0.2880991365570992	0.29799254913024337	0.2548508275312256	0.26862773195722256	0.27563959166654106	0.28064909933699467	0.2890925289254987	0.29453310829617646	0.27837167188338907	0.29467708301358214	0.29304072543939924	0.28248816350452444	0.26926087569062945	0.2752911777860955	0.2930247896125497	0.29221821279002147	0.3011389090029054	0.29515026813071665
G1-135	0.1735532945412174	0.09841358898946075	0.22945853986511716	0.26351202434777166	0.1455832627359924	0.2573813729157754	0.0	0.11442983216968496	0.14507135039073432	0.2164229721781503	0.10556621462306193	0.19529457038270015	0.2788834802653543	0.2854316281015951	0.18980687808714436	0.23320699683012325	0.11552440608577791	0.15099973005042058	0.1338770336630139	0.21992161730481485	0.1811851252791404	0.13338033939769625	0.13392101758822458	0.16053835100448768	0.2135218594433475	0.15561272692033165	0.17204944373348224	0.18271842630254445	0.10873275307207153	0.15770500578098107	0.14467847294178132	0.1518697633791471	0.1713709663741357	0.13513984451349276	0.13069186119435852	0.13787707785857495	0.11811773228197985	0.13428446952646675	0.12350664463014215	0.13967338202462903	0.13850572189839305	0.13428446952646675	0.15886638586834365	0.12006842504259786	0.13707060724176176	0.1549172884113841	0.08935658610746944	0.13496323916907021	0.13274173840264222	0.13342807857308722	0.2812053847168675	0.2569976921920166	0.2806157789106463	0.2777581045516462	0.28487161481531825	0.2845513545490753	0.24374896806790036	0.06589185339009972	0.2565052910298317	0.19876795014688795	0.2560195148335377	0.21781850209406978	0.27198132567176775	0.06364155957011192	0.05708617941642141	0.10197430893208906	0.062273603188920085	0.11903920940635056	0.13181644211144258	0.13250238303691636	0.13478907947692864	0.13520491762287262	0.11991403644803396	0.12818850025683176	0.1136438233042087	0.1094225709322824	0.13608077369252083	0.11632142816592576	0.13069186119435852	0.1116808964960006	0.10505506232836624	0.13847995554183642	0.1517946314237671	0.17192345282219337	0.16207658490571517	0.10850198555794822	0.15020703443513708	0.10402607010609723	0.11384680138188413	0.18577321440486777	0.050635639751258635	0.06747880716981121	0.1510996259824203	0.1391336862116478	0.13622958318361092	0.1800434548055444	0.160253980865959	0.18332319638048816	0.15256102949414704	0.12982519559664257	0.16977318049033455	0.1680901862135344	0.17539930510434462	0.17776100009221568	0.2349657680368232	0.18383099514249807
G1-136	0.0833802018509669	0.09125190033183979	0.15723059323461874	0.25785909823962944	0.12003160698905031	0.2517284468076331	0.11442983216968496	0.0	0.10507279658012915	0.16274215293886357	0.03626811439203939	0.13928983234931502	0.22536664708910745	0.23226493856924596	0.13276079737922075	0.1841667533213576	0.06826495807259651	0.1206973877023085	0.13195020722674408	0.16593269873495725	0.1135878224939168	0.13756085949520863	0.13756739682241081	0.07222185036673315	0.16180879240454288	0.064840914173842	0.09256563967569843	0.11971811591131247	0.06982170151436971	0.06848895988645069	0.054755746751926584	0.06185157809762549	0.08739997289032209	0.1321383242099344	0.1399228847533236	0.14710810141754	0.1273487555909449	0.14351549308543177	0.1327376680891072	0.1489044055835941	0.14738660181346033	0.14351549308543177	0.06737333840522333	0.12235673541589404	0.14133571049689053	0.06470893313392345	0.11674962619575764	0.14036084131063523	0.13140846449083068	0.13635283816609944	0.22803869518451847	0.2056468642164762	0.2274490893782972	0.2242081333547953	0.23135478163907142	0.23138466501672622	0.19156830334754482	0.11891836308729664	0.20287713300079896	0.1446478310746797	0.2016865533308403	0.16425185709370885	0.2192257648950775	0.11952479341033406	0.16653947733361038	0.09840179191272108	0.1732964646574246	0.12467743388977973	0.1382412774253453	0.13954391148430736	0.14366995939199592	0.05550646105062744	0.12910100473691086	0.0716845929845282	0.12243659287909972	0.11856548415107114	0.14531179725148588	0.12555245142489083	0.1399228847533236	0.10938571393040393	0.11382004599650843	0.05265174468362934	0.11112934541244603	0.09541611072874984	0.11705530239655364	0.06168918473298747	0.09362052000617632	0.06383492488338809	0.08209770243734046	0.12456012914178397	0.08175711282954638	0.10102561104025204	0.10995481241989657	0.07498020448635748	0.04826713338789817	0.1132268501041755	0.07781351435656725	0.11806461406314084	0.07366164100829245	0.04226882319174243	0.07477068423383987	0.07670445773357136	0.1046015919937528	0.11003329009123786	0.18109457084518613	0.11820734958728556
G1-138	0.1618113318133361	0.12127485201923881	0.17144695529390225	0.17602242961213374	0.04460841010515978	0.17116254986187412	0.14507135039073432	0.10507279658012915	0.0	0.254803028763229	0.10341010670461438	0.23127287580803152	0.3165060093462719	0.3230541571825127	0.2134058361845115	0.2701417849071102	0.16734180542392818	0.08114076113082641	0.12797056739006218	0.25751607228022166	0.206154237955323	0.13323107601462897	0.13358775698572886	0.16449330763318717	0.25130031103818296	0.15496316040920874	0.18173518883388476	0.19950975160362244	0.12231302967080089	0.14520807459722737	0.1318861188019716	0.137037925984562	0.16601623794948042	0.11537327260803426	0.12584590141012916	0.13113377332038828	0.12655318342545138	0.12754116513828012	0.12625006256174187	0.1329300774864424	0.13176241736020639	0.12754116513828012	0.1608239374698387	0.1159437231625645	0.1369067054346036	0.14008545101679895	0.12099454845151342	0.13479933736191207	0.12509444480966717	0.13227397674771027	0.318827913797785	0.2946202212729342	0.3182383079915638	0.3153474956119597	0.3224941438962359	0.3221738836299929	0.28170572174339753	0.12921781145848102	0.2947294246509926	0.23306924652969568	0.29419959328461043	0.2560420790024888	0.3100717693950968	0.13142540922135001	0.1768904476654678	0.09922140230092974	0.18187789315396052	0.12778524986599987	0.13165254030428442	0.13233848122975816	0.12811261988765793	0.1308492545602607	0.12640808781746005	0.12988444200963015	0.12582990663550664	0.12730068717545212	0.1293374691543342	0.12665422371335455	0.12584590141012916	0.12756358630448308	0.12307779961381801	0.12788326768243058	0.210621232880547	0.17798275422883927	0.2161055250419065	0.1585008035301304	0.19262623982488122	0.12278035550091708	0.11696991633422618	0.21465354968852446	0.16395125973085928	0.19195637584944175	0.208930962966577	0.17460369145979676	0.1179299790636246	0.20411263386003412	0.16521596401533645	0.20989347649650236	0.1599556814786143	0.11426824236173419	0.1677439430213543	0.1695049459532801	0.19536627981751314	0.20099715463396325	0.2726779441904505	0.21020263961499294
G1-139	0.09502369766053055	0.21524837542695444	0.149349571443181	0.3031150258944327	0.26996525330525106	0.301712882620957	0.2164229721781503	0.16274215293886357	0.254803028763229	0.0	0.17761749354430867	0.024307865631105444	0.06735811800888082	0.07192586580868404	0.04318455701081267	0.0236576428681873	0.1284160707277352	0.261395000385064	0.26421842611150703	0.009771466486325028	0.05143452536349648	0.2636129982079996	0.2641415874122971	0.0967538487472798	0.005888819334655718	0.10345567166475154	0.0892407902487211	0.06188494391447856	0.19553610623804782	0.12337304730004255	0.15419991088857285	0.1376660034589292	0.10617513812638135	0.2669214100539865	0.2604238736363467	0.2676090903005632	0.2478497444739681	0.26401648196845495	0.2532386569721304	0.26940539446661727	0.2692279343586001	0.26401648196845495	0.09745326692124888	0.253112687139379	0.2659156709382927	0.1335106735655769	0.2596871279728666	0.2639600338789216	0.26578517246884703	0.2641152361819199	0.0690012297106281	0.046366024457693715	0.06724832274187109	0.06538084840108974	0.07228689947855804	0.07097643919409634	0.030761822729902452	0.25788113180081845	0.042738884707506336	0.040751436158688266	0.041570918085506135	0.002704179044153295	0.05717854469819214	0.2577990486216687	0.25782043132888915	0.24173432728726255	0.26164137790155156	0.2640274115505734	0.2661021251113497	0.2643713774969816	0.26551129193713563	0.17565500787294527	0.24960199361993404	0.19187719532693426	0.24374926338318145	0.23853781099303642	0.26581278613450904	0.24605344030791398	0.2604238736363467	0.22988670281342705	0.23445377848034463	0.15686142601721892	0.07377638545060931	0.0879034152499828	0.06079343934048624	0.1316431503923851	0.08231515506715653	0.1989296707315772	0.20421476830376084	0.04155645707482968	0.18130688660305755	0.1918104949069783	0.0737313680044245	0.09210029247320585	0.14773314041772487	0.05149030623921868	0.09614462187908451	0.046059607596648164	0.1274188224037596	0.14559190863766508	0.08991837756866623	0.08817620397035182	0.062363864602351965	0.05506958722196795	0.021933214879615182	0.04636784257075338
