	G1-11	G1-12	G1-13	G1-130	G1-131	G1-132	G1-135	G1-136	G1-138	G1-139	G1-14	G1-140	G1-141	G1-142	G1-143	G1-144	G1-15	G1-177	G1-178	G1-180	G1-182	G1-187	G1-188	G1-189	G1-190	G1-192	G1-193	G2-1100	G2-1101	G2-1102	G2-1103	G2-1104	G2-1105	G2-1106	G2-1107	G2-1108	G2-1109	G2-1110	G2-1111	G2-1113	G2-194	G2-197	G2-198	G2-199	G2-21	G2-210	G2-211	G2-212	G2-213	G2-214	G2-215	G2-216	G2-217	G2-218	G2-219	G2-22	G2-220	G2-221	G2-222	G2-223	G2-224	G2-23	G2-24	G2-25	G2-26	G2-27	G2-28	G2-29	G2-313	G2-314	G2-315	G2-316	G2-317	G2-318	G2-319	G2-320	G2-321	G2-322	G2-323	G2-324	G2-325	G2-326	G2-327	G2-328	G2-329	G2-330	G2-413	G2-414	G2-415	G2-416	G3-417	G3-418	G3-419	G3-420	G3-421	G3-422	G3-423	G3-424	G3-425	G3-426	G3-427	G3-428	G3-429	G3-430
G1-11	0.0	0.245	0.325	0.765	0.72	0.78	0.78	0.405	0.67	0.27	0.515	0.295	0.36	0.355	0.42	0.405	0.48	0.35	0.355	0.855	0.865	0.565	0.375	0.355	0.37	0.375	0.365	0.62	0.745	0.605	0.675	0.89	0.94	0.935	0.885	0.94	0.92	0.965	0.95	0.95	0.29	0.825	0.915	0.73	0.985	0.895	0.88	0.88	0.36	0.34	0.37	0.375	0.355	0.38	0.33	0.995	0.285	0.375	0.42	0.365	0.375	0.995	0.995	0.975	0.99	0.9	0.91	0.905	0.945	0.775	0.925	0.725	0.95	0.885	0.955	0.92	0.865	0.88	0.84	0.58	0.375	0.445	0.405	0.58	0.35	0.855	0.67	0.205	0.63	0.895	0.34	0.34	0.545	0.31	0.34	0.325	0.42	0.525	0.24	0.215	0.285	0.33	0.325	0.295
G1-12	0.245	0.0	0.5	0.97	0.905	0.97	0.77	0.515	0.845	0.215	0.56	0.155	0.215	0.235	0.405	0.39	0.49	0.245	0.305	0.89	0.87	0.595	0.25	0.345	0.38	0.365	0.395	0.615	0.775	0.635	0.68	0.9	0.94	0.935	0.885	0.945	0.925	0.965	0.955	0.95	0.215	0.85	0.93	0.76	0.995	0.915	0.9	0.905	0.14	0.235	0.145	0.15	0.13	0.16	0.11	1.0	0.29	0.375	0.45	0.14	0.15	1.0	1.0	0.98	0.995	0.92	0.925	0.92	0.95	0.77	0.925	0.72	0.945	0.885	0.955	0.92	0.865	0.88	0.855	0.595	0.405	0.45	0.44	0.61	0.385	0.855	0.685	0.2	0.635	0.895	0.25	0.34	0.535	0.09	0.33	0.09	0.41	0.51	0.28	0.27	0.14	0.215	0.115	0.19
G1-13	0.325	0.5	0.0	0.555	0.54	0.555	0.735	0.44	0.465	0.52	0.53	0.52	0.545	0.545	0.545	0.545	0.425	0.54	0.535	0.805	0.88	0.665	0.54	0.54	0.54	0.545	0.515	0.66	0.825	0.685	0.735	0.895	0.94	0.935	0.885	0.94	0.92	0.97	0.95	0.955	0.515	0.88	0.99	0.81	0.885	0.975	0.965	0.97	0.535	0.545	0.545	0.545	0.545	0.54	0.535	0.885	0.53	0.53	0.53	0.535	0.54	0.885	0.885	0.88	0.88	0.87	0.99	0.985	0.95	0.785	0.925	0.745	0.955	0.89	0.96	0.92	0.865	0.88	0.855	0.59	0.435	0.55	0.435	0.505	0.435	0.775	0.745	0.52	0.535	0.79	0.405	0.4	0.605	0.54	0.535	0.53	0.52	0.505	0.46	0.455	0.535	0.54	0.525	0.53
G1-130	0.765	0.97	0.555	0.0	0.505	0.055	0.935	0.81	0.58	0.99	0.84	0.99	0.99	0.99	0.99	0.99	0.905	0.99	0.985	0.89	0.98	0.99	0.995	0.99	0.98	0.99	0.89	0.995	0.995	0.995	0.995	0.965	0.995	0.995	0.995	0.99	0.99	0.995	0.99	0.995	0.89	0.865	0.92	0.995	0.96	0.91	0.915	0.905	0.98	0.99	0.99	0.99	0.99	0.985	0.995	0.96	0.995	0.995	0.995	0.995	0.995	0.96	0.96	0.96	0.955	0.88	0.92	0.915	0.99	0.995	0.995	0.995	0.995	0.99	0.995	0.995	0.995	0.995	0.98	0.98	0.91	0.99	0.905	0.915	0.885	0.955	0.915	0.93	0.935	0.95	0.945	0.94	0.985	0.97	0.985	0.98	0.97	0.95	0.835	0.83	0.92	0.915	0.965	0.905
G1-131	0.72	0.905	0.54	0.505	0.0	0.52	0.71	0.71	0.12	0.98	0.39	0.975	0.965	0.96	0.62	0.85	0.805	0.97	0.97	0.8	0.97	0.965	0.995	0.965	0.965	0.615	0.86	0.995	0.995	0.995	0.995	0.95	1.0	1.0	1.0	0.995	0.995	1.0	0.995	1.0	0.865	0.8	0.785	0.995	0.95	0.785	0.705	0.77	0.965	0.885	0.975	0.98	0.96	0.985	1.0	0.95	0.995	0.995	0.995	1.0	1.0	0.95	0.95	0.945	0.945	0.79	0.595	0.77	0.99	0.995	1.0	0.995	0.995	0.99	1.0	1.0	1.0	1.0	0.99	0.985	0.91	0.995	0.92	0.92	0.9	0.945	0.47	0.855	0.915	0.94	0.925	0.845	0.515	0.895	0.715	0.905	0.855	0.48	0.82	0.785	0.875	0.9	0.945	0.84
G1-132	0.78	0.97	0.555	0.055	0.52	0.0	0.935	0.84	0.585	0.99	0.865	0.99	1.0	1.0	1.0	1.0	0.9	0.99	0.985	0.88	0.98	0.99	0.99	0.99	0.98	1.0	0.935	0.99	0.99	0.99	0.99	0.975	1.0	1.0	1.0	0.995	0.995	1.0	0.995	1.0	0.94	0.92	0.97	0.99	0.955	0.95	0.97	0.945	0.99	1.0	1.0	1.0	1.0	0.995	1.0	0.955	0.995	0.99	0.99	1.0	1.0	0.955	0.955	0.945	0.95	0.92	0.97	0.97	0.99	0.99	1.0	0.99	0.99	0.985	1.0	1.0	1.0	1.0	1.0	0.995	0.92	0.995	0.93	0.93	0.915	0.945	0.96	0.96	0.935	0.94	0.95	0.945	0.985	0.98	0.985	0.98	0.97	0.945	0.88	0.875	0.955	0.96	0.965	0.95
G1-135	0.78	0.77	0.735	0.935	0.71	0.935	0.0	0.535	0.595	0.84	0.55	0.835	0.865	0.86	0.68	0.75	0.455	0.87	0.87	0.76	0.875	0.825	0.885	0.865	0.875	0.68	0.84	0.855	0.855	0.855	0.855	0.88	0.94	0.935	0.9	0.94	0.92	0.97	0.95	0.955	0.845	0.81	0.855	0.855	0.39	0.855	0.755	0.84	0.865	0.785	0.875	0.88	0.86	0.885	0.86	0.39	0.855	0.855	0.855	0.87	0.885	0.385	0.385	0.705	0.385	0.74	0.78	0.835	0.95	0.87	0.925	0.86	0.955	0.89	0.96	0.92	0.9	0.9	0.9	0.895	0.665	0.895	0.72	0.535	0.73	0.805	0.67	0.755	0.255	0.29	0.605	0.46	0.67	0.815	0.67	0.805	0.755	0.6	0.85	0.825	0.815	0.87	0.855	0.81
G1-136	0.405	0.515	0.44	0.81	0.71	0.84	0.535	0.0	0.615	0.55	0.35	0.57	0.645	0.64	0.56	0.56	0.335	0.635	0.635	0.695	0.86	0.535	0.65	0.63	0.63	0.56	0.525	0.61	0.67	0.58	0.675	0.88	0.94	0.935	0.885	0.94	0.92	0.97	0.95	0.955	0.545	0.74	0.81	0.62	0.815	0.79	0.785	0.785	0.645	0.565	0.655	0.66	0.64	0.665	0.625	0.815	0.48	0.595	0.465	0.65	0.665	0.815	0.815	0.795	0.81	0.67	0.81	0.805	0.95	0.765	0.925	0.715	0.94	0.875	0.96	0.92	0.865	0.88	0.84	0.665	0.435	0.675	0.435	0.435	0.435	0.76	0.56	0.375	0.44	0.705	0.45	0.34	0.54	0.57	0.535	0.58	0.52	0.465	0.485	0.46	0.51	0.565	0.61	0.505
G1-138	0.67	0.845	0.465	0.58	0.12	0.585	0.595	0.615	0.0	0.92	0.335	0.915	0.905	0.9	0.56	0.79	0.695	0.915	0.915	0.75	0.915	0.905	0.935	0.91	0.91	0.555	0.86	0.935	0.935	0.935	0.935	0.89	0.94	0.94	0.94	0.94	0.935	0.97	0.95	0.955	0.865	0.795	0.84	0.935	0.895	0.845	0.735	0.83	0.905	0.825	0.915	0.92	0.9	0.925	0.935	0.895	0.935	0.935	0.935	0.935	0.935	0.895	0.895	0.895	0.89	0.795	0.65	0.82	0.955	0.935	0.94	0.935	0.96	0.935	0.96	0.94	0.94	0.94	0.94	0.935	0.82	0.935	0.82	0.82	0.82	0.85	0.46	0.82	0.805	0.83	0.805	0.74	0.475	0.85	0.66	0.85	0.8	0.405	0.82	0.785	0.845	0.9	0.89	0.84
G1-139	0.27	0.215	0.52	0.99	0.98	0.99	0.84	0.55	0.92	0.0	0.63	0.09	0.28	0.285	0.45	0.435	0.515	0.195	0.23	0.95	0.8	0.405	0.14	0.26	0.28	0.41	0.415	0.51	0.63	0.465	0.54	0.855	0.885	0.88	0.83	0.89	0.87	0.91	0.9	0.895	0.27	0.865	0.985	0.635	0.94	0.945	0.955	0.97	0.28	0.285	0.285	0.285	0.285	0.29	0.195	1.0	0.2	0.26	0.345	0.205	0.235	1.0	1.0	0.845	0.945	0.975	0.97	0.92	0.895	0.665	0.87	0.62	0.83	0.795	0.9	0.865	0.81	0.825	0.8	0.54	0.35	0.395	0.385	0.54	0.33	0.735	0.74	0.18	0.625	0.82	0.27	0.395	0.59	0.285	0.345	0.285	0.435	0.54	0.28	0.33	0.265	0.23	0.265	0.22
