	shannon
G1-11	1.7994669758454873
G1-12	0.9771864296586581
G1-13	1.6919517925181655
G1-130	0.7857890446494209
G1-131	1.603209383074942
G1-132	0.536795337658287
G1-135	1.6290642107616051
G1-136	2.6085635569316037
G1-138	1.7597919456184803
G1-139	1.6095674882356217
G1-14	2.110289460761635
G1-140	1.3474103859615465
G1-141	1.1391160666182403
G1-142	1.178669246894712
G1-143	1.4343960988663966
G1-144	1.6618381744502901
G1-15	2.167285509334553
G1-177	1.1453220948703218
G1-178	1.1511632675477634
G1-180	3.4084787131016157
G1-182	3.543524580192958
G1-187	2.2488609432325597
G1-188	1.271822045731663
G1-189	1.5365652225173272
G1-190	2.014139203350835
G1-192	1.3007671929829132
G1-193	1.908500027942645
G2-1100	1.4768145794034477
G2-1101	1.529706043449552
G2-1102	1.6885543105708292
G2-1103	2.1191920543136202
G2-1104	1.1709881464912293
G2-1105	0.3274449191544763
G2-1106	0.34698128810061335
G2-1107	0.5148156530047155
G2-1108	0.3522739301726943
G2-1109	0.4291623955316339
G2-1110	0.23958627378939246
G2-1111	0.30984673679542024
G2-1113	0.30984673679542024
G2-194	1.5108436263216258
G2-197	2.4948966288615018
G2-198	1.448617050165045
G2-199	1.554021923534587
G2-21	0.6070550651720281
G2-210	1.74015011416602
G2-211	2.0590398873584586
G2-212	1.886145015521476
G2-213	0.8315273856939922
G2-214	1.3438039674682112
G2-215	0.6968940322370064
G2-216	0.6795563653739032
G2-217	0.7646805646659084
G2-218	0.7164975918998023
G2-219	0.8560698895804103
G2-22	-0.0
G2-220	1.374699164189358
G2-221	2.0040068893380956
G2-222	1.4873364612076223
G2-223	0.755848723321427
G2-224	0.607697726663314
G2-23	0.04541469233379411
G2-24	0.04541469233379411
G2-25	2.24059342341962
G2-26	0.3522739301726943
G2-27	1.871822403700817
G2-28	1.6844000763580775
G2-29	1.8899703710879554
G2-313	0.3775370988858111
G2-314	1.1858271771306235
G2-315	0.38431154412649704
G2-316	1.2832312395570153
G2-317	0.6220084832806331
G2-318	0.7918238518831746
G2-319	0.28741165900058474
G2-320	0.4021791902022729
G2-321	0.5709929600768897
G2-322	0.5293608652873644
G2-323	0.7943917799524618
G2-324	1.08858796143246
G2-325	1.7786920726948103
G2-326	1.1501171994776387
G2-327	1.9445598817187069
G2-328	2.067260016237955
G2-329	1.8679795408173758
G2-330	1.809681299026044
G2-413	1.4090274952084165
G2-414	1.6483476618522959
G2-415	1.3640745540785308
G2-416	1.04636827082257
G3-417	1.162394030469567
G3-418	1.6720488005199632
G3-419	1.1718581741597256
G3-420	0.6404534362146307
G3-421	1.685815813331349
G3-422	0.5611884030780174
G3-423	2.0678241437846476
G3-424	1.634233874498562
G3-425	1.7967504725130634
G3-426	1.7068757966562125
G3-427	1.3603238233797497
G3-428	1.2942774668111523
G3-429	0.6518922249387256
G3-430	1.4370220211042988
