	G1-11	G1-12	G1-13	G1-130	G1-131	G1-132	G1-135	G1-136	G1-138	G1-139	G1-14	G1-140	G1-141	G1-142	G1-143	G1-144	G1-15	G1-177	G1-178	G1-180	G1-182	G1-187	G1-188	G1-189	G1-190	G1-192	G1-193	G2-1100	G2-1101	G2-1102	G2-1103	G2-1104	G2-1105	G2-1106	G2-1107	G2-1108	G2-1109	G2-1110	G2-1111	G2-1113	G2-194	G2-197	G2-198	G2-199	G2-21	G2-210	G2-211	G2-212	G2-213	G2-214	G2-215	G2-216	G2-217	G2-218	G2-219	G2-22	G2-220	G2-221	G2-222	G2-223	G2-224	G2-23	G2-24	G2-25	G2-26	G2-27	G2-28	G2-29	G2-313	G2-314	G2-315	G2-316	G2-317	G2-318	G2-319	G2-320	G2-321	G2-322	G2-323	G2-324	G2-325	G2-326	G2-327	G2-328	G2-329	G2-330	G2-413	G2-414	G2-415	G2-416	G3-417	G3-418	G3-419	G3-420	G3-421	G3-422	G3-423	G3-424	G3-425	G3-426	G3-427	G3-428	G3-429	G3-430
G1-11	0.0	0.06004240264209212	0.03935730524741987	0.03526743776299343	0.031897459023171724	0.04758449228225763	0.03684838170341404	0.031782006092640556	0.0326890339495667	0.11982529002324183	0.02678415838780301	0.20286835005277448	0.21772324250493447	0.21106777637717575	0.21106777637717575	0.21106777637717575	0.07024588820602472	0.24974519456462313	0.10589856398945398	0.5303372246073813	0.7110014856535827	0.20286835005277448	0.2100765786667229	0.20792544221387183	0.5397037418829791	0.12328368797531666	0.057541289686392695	0.20863381827580627	0.20863381827580627	0.20863381827580627	0.38782906263310396	0.2652077613386505	0.21704499047332834	0.21704499047332834	0.21704499047332834	0.16506262364485497	0.16506262364485497	0.12934238801640022	0.16506262364485497	0.12934238801640022	0.06555211128781081	0.01691109003344774	0.34256556739807026	0.20863381827580627	0.2916642926560022	0.061224122185611476	0.4229890756354255	0.0664328317424095	0.07125302346624883	0.21106777637717575	0.21106777637717575	0.21106777637717575	0.21106777637717575	0.15903711186810793	0.20512987066851074	0.3721445864358334	0.2259763275152828	0.28980165199225594	0.20810006035805714	0.2114330130930324	0.12427256139298845	0.37373751436550673	0.37373751436550673	0.3113215756013102	0.2001654304697986	0.05317619766062811	0.2604511036007669	0.21314134592313552	0.07401867561381652	0.20863381827580627	0.21704499047332834	0.20863381827580627	0.21370364489921803	0.16172127807074466	0.12934238801640022	0.21704499047332834	0.21704499047332834	0.21704499047332834	0.3056687637844686	0.160021419952675	0.2011614240387568	0.21144740119016536	0.2011614240387568	0.20305959399591297	0.2620545776395944	0.20829168339551044	0.19311044154700874	0.1889453556333529	0.029314139652992965	0.11615257438666327	0.01098439233088984	0.143468668322393	0.06079058830326463	0.1940586447945058	0.3090356484452762	0.14924504638611835	0.17640855684293244	0.20522625889198384	0.10337608298210209	0.0843254480741957	0.32430540348878417	0.1940586447945058	0.007648174508879084	0.14163064426926603
G1-12	0.06004240264209212	0.0	0.08458149828191329	0.09530984040508556	0.09193986166526384	0.10281775545067541	0.08217238999672288	0.09151606728424765	0.08788444288276306	0.06970194554586251	0.08682656102989514	0.1574835526102067	0.16860025650094013	0.16107866958087633	0.16107866958087633	0.16107866958087633	0.1132608289707551	0.209593802757969	0.14964460165599713	0.5536613708882208	0.7264929702366885	0.1574835526102067	0.16524529693834844	0.16284553224725837	0.5460030005811674	0.06773231861863503	0.013431898879515437	0.1585399807313734	0.1585399807313734	0.1585399807313734	0.3613524821013953	0.3022007515765668	0.16748358393662813	0.16748358393662813	0.16748358393662813	0.21108896434970678	0.21108896434970678	0.0742293670423364	0.21108896434970678	0.0742293670423364	0.022277459875058706	0.07644313718641052	0.3142262214952815	0.1585399807313734	0.334376297035843	0.12075616933857425	0.40781451753725834	0.12277453964317626	0.11660816544159798	0.16107866958087633	0.16107866958087633	0.16107866958087633	0.16107866958087633	0.20506066237218085	0.15972532757621577	0.42015743248756543	0.18315898197742642	0.25775293645094616	0.16303067796016119	0.16656457137694936	0.06883861809861735	0.4216398060859752	0.4216398060859752	0.34631192839023506	0.24645880214311974	0.11321860030272023	0.227863290236605	0.18199282063519406	0.11935243484684363	0.1585399807313734	0.16748358393662813	0.1585399807313734	0.16393072967509245	0.20772220078696965	0.0742293670423364	0.16748358393662813	0.16748358393662813	0.16748358393662813	0.275315906978258	0.21507602702899112	0.2573861803191254	0.25523150558788305	0.2573861803191254	0.25915075114069724	0.3139934834072603	0.2520531251161301	0.1567002708007638	0.15210639118173372	0.08451038946677002	0.16208351435533896	0.056226119018957646	0.1986687990340804	0.10641446927173853	0.15750259238226222	0.3439310790161098	0.19554762302924514	0.2151591554049968	0.24886128164865823	0.1574882282722192	0.041697992012965444	0.30358766055575176	0.15750259238226222	0.06277994642183458	0.20167304691135815
G1-13	0.03935730524741987	0.08458149828191329	0.0	0.02172942398787502	0.01828496834977478	0.029212560591640672	0.007916773437119821	0.007782681235413974	0.013948362892229853	0.14877230478848455	0.013058663211799599	0.18384852377468638	0.19455020306808127	0.1874928142926093	0.1874928142926093	0.1874928142926093	0.09337565441840194	0.27089289451498605	0.12936365912345082	0.5425452082569396	0.7190310474797454	0.18384852377468638	0.19130041731250944	0.18904271032122527	0.5563350333230712	0.14779065473004224	0.09660309768613508	0.18500873076696597	0.18500873076696597	0.18500873076696597	0.4053156067206807	0.2848607651234231	0.19367100628910253	0.19367100628910253	0.19367100628910253	0.14013678142878397	0.14013678142878397	0.15384131919213273	0.14013678142878397	0.15384131919213273	0.10424279693745328	0.05584945414686657	0.3358188758564051	0.18500873076696597	0.3143033332940409	0.0999368458119335	0.4471130732989118	0.10305582201116101	0.09563304318333458	0.1874928142926093	0.1874928142926093	0.1874928142926093	0.1874928142926093	0.13390736357211844	0.22752941603711405	0.35323535010617285	0.24774880041747427	0.31328472244196925	0.18922206224648508	0.19264536910045824	0.14875913446034192	0.35492554274851723	0.35492554274851723	0.32986045044660245	0.17628753154748622	0.09226042213185562	0.29814937005848496	0.24695120165383874	0.09838275081032381	0.18500873076696597	0.19367100628910253	0.18500873076696597	0.19022990969781625	0.13669568483749772	0.15384131919213273	0.19367100628910253	0.19367100628910253	0.19367100628910253	0.2952399591815468	0.14457787774709313	0.19193032670375623	0.18925094273269508	0.19193032670375623	0.1938900156816538	0.25470121006308755	0.18600639667339647	0.17352765865419467	0.1788036406305803	0.010499920767732502	0.08960314333214003	0.0354028774637256	0.11765935409552038	0.08533152337871192	0.18402993404075826	0.3275270871664711	0.12362270383882396	0.19710951189576392	0.18290919474552148	0.138385466625362	0.07187162168593544	0.3513678793576942	0.18402993404075826	0.042028458150485073	0.13044326897680036
G1-130	0.03526743776299343	0.09530984040508556	0.02172942398787502	0.0	0.003481037912482662	0.01968493410030847	0.019104328890109844	0.013946742752461046	0.007885969195881222	0.1545300880369034	0.008716750192986273	0.18979626801973096	0.1895983390419932	0.18245352170687182	0.18245352170687182	0.18245352170687182	0.09428187852994259	0.27210798262520963	0.13037138109714597	0.543571829749582	0.7198392392478262	0.18979626801973096	0.19723364635462076	0.18556552636840773	0.5537383597676685	0.14264681181781302	0.0830065858025689	0.19568520854070673	0.19568520854070673	0.19568520854070673	0.4121800464688575	0.28145174323559186	0.18867484216880526	0.18867484216880526	0.18867484216880526	0.13480890931393213	0.13480890931393213	0.148738778539828	0.13480890931393213	0.148738778539828	0.09084067193779044	0.03535377980792566	0.31853193482193526	0.19568520854070673	0.31054511261337064	0.08649062887144034	0.4372424050633636	0.09036388357741956	0.09017438260105466	0.18245352170687182	0.18245352170687182	0.18245352170687182	0.18245352170687182	0.12853572590775367	0.23150536735286706	0.34919226515138513	0.25676550221579536	0.31797097349356407	0.1951703362656995	0.19240541963879668	0.15306899409042976	0.35090362750581294	0.35090362750581294	0.3310350620476721	0.1711836561908728	0.07861905908398993	0.28095962644401923	0.23103351705932124	0.09935037900323397	0.19568520854070673	0.18867484216880526	0.19568520854070673	0.1914742963325185	0.1377942263324544	0.148738778539828	0.18867484216880526	0.18867484216880526	0.18867484216880526	0.28359544818633103	0.12958503906410804	0.17981888308785385	0.18451600496387202	0.17981888308785385	0.18182762354040502	0.24411294928616775	0.18716867581377816	0.17969172017124177	0.17534083327091793	0.011316359814012243	0.09057941573968434	0.03964545445936738	0.12869094923480368	0.08627258441474482	0.17098517821329484	0.32869436481913994	0.12469504263320749	0.19814305657638398	0.1840606995016034	0.126526779657918	0.05763644626078904	0.3435177408790429	0.17098517821329484	0.03285704150375541	0.11682975801271542
G1-131	0.031897459023171724	0.09193986166526384	0.01828496834977478	0.003481037912482662	0.0	0.01620389637987881	0.015650630386250617	0.010502287114360805	0.011321410653242202	0.15121387231797845	0.005254025280659415	0.1863726353207373	0.1923729241173694	0.18527716076273495	0.18527716076273495	0.18527716076273495	0.09109287748409244	0.2692444494053111	0.12714756173630123	0.5419647545226283	0.7188006491358755	0.1863726353207373	0.19381879068784508	0.18212401606050319	0.5520370835813349	0.1455288230112275	0.07961928682359241	0.19225271946343278	0.19225271946343278	0.19225271946343278	0.40985318908920565	0.2833607038853717	0.19147430808075802	0.19147430808075802	0.19147430808075802	0.1377942380806939	0.1377942380806939	0.15159764177217966	0.1377942380806939	0.15159764177217966	0.08748231143487736	0.03859343203816005	0.3209041348671911	0.19225271946343278	0.3126502558278946	0.08313224644980073	0.4384746210189173	0.08718634557932763	0.09323278029406844	0.18527716076273495	0.18527716076273495	0.18527716076273495	0.18527716076273495	0.1315455852752685	0.23383609418775458	0.35145773614987913	0.25382344374093047	0.31527925499638926	0.1917467035667058	0.19517034792259808	0.15589889463528842	0.35315722024469964	0.35315722024469964	0.3285405978440162	0.1740434534860905	0.07523173790629858	0.2833744232621819	0.23333236322578774	0.0959920185003209	0.19225271946343278	0.19147430808075802	0.19225271946343278	0.1880238367910514	0.13434376679098728	0.15159764177217966	0.19147430808075802	0.19147430808075802	0.19147430808075802	0.2857651433047724	0.13258839264518799	0.17656601505588548	0.18716868688925153	0.17656601505588548	0.1785827222458656	0.24111507385067507	0.1839158077818098	0.17624726453314152	0.17187810835859108	0.007853634901685384	0.0871075234171515	0.04288185135406156	0.12524649359670342	0.08288528543576833	0.16750416400535834	0.32620575294885606	0.12121402842527097	0.1953197470161759	0.18081577751876296	0.12347558568190992	0.05415543205285251	0.3410927488871617	0.16750416400535834	0.02946974252477892	0.11334874380477888
G1-132	0.04758449228225763	0.10281775545067541	0.029212560591640672	0.01968493410030847	0.01620389637987881	0.0	0.026600760683966298	0.026536005522086778	0.022288928840251382	0.16206601694480469	0.02137278597931316	0.19766798019569387	0.20368395051810712	0.19666934182427953	0.19666934182427953	0.19666934182427953	0.1013831553713835	0.2788667956837412	0.13763810772270543	0.5476899528680536	0.7226373131395006	0.19766798019569387	0.195406220763417	0.19346746941845053	0.5581112385323348	0.1565151119032904	0.09538694467667526	0.19383583079511651	0.19383583079511651	0.19383583079511651	0.41210561748625874	0.2923147978911028	0.193059487888935	0.193059487888935	0.193059487888935	0.13894588126488736	0.13894588126488736	0.15282678542052128	0.13894588126488736	0.15282678542052128	0.10311526255194742	0.05422638315523011	0.3371080312470699	0.19383583079511651	0.314916909761929	0.09876519774562824	0.4486669870812984	0.10197748344969872	0.10408650317586114	0.19666934182427953	0.19666934182427953	0.19666934182427953	0.19666934182427953	0.1427978127919449	0.23552846939186042	0.34077573445996673	0.2556022975646588	0.3172923014299355	0.19332164277354755	0.1967727208252649	0.15715538901259526	0.34253158749990886	0.34253158749990886	0.33048250945772406	0.17548785641122971	0.0909993959412328	0.29900737455800935	0.247248309850253	0.09678415534972803	0.19383583079511651	0.193059487888935	0.19383583079511651	0.18958114954029773	0.1354675429162501	0.15282678542052128	0.193059487888935	0.193059487888935	0.193059487888935	0.29174197528604684	0.13856821242142692	0.18242734439328886	0.18862963307056488	0.18242734439328886	0.18443994757476642	0.24681994911114194	0.18535199859808318	0.19228098294086748	0.18799686905724483	0.02397239560033913	0.07211151452798793	0.05363507267754967	0.1412802120044294	0.09379610051273787	0.18370806019318414	0.33467271343839233	0.13252812540720593	0.2046493151215868	0.19150647588301947	0.1376786964659542	0.07035932824067831	0.3523809299015233	0.18370806019318414	0.04024411176309755	0.1295526399926047
G1-135	0.03684838170341404	0.08217238999672288	0.007916773437119821	0.019104328890109844	0.015650630386250617	0.026600760683966298	0.0	0.015617820079728343	0.011295496291143849	0.14657358944058815	0.010410300960584958	0.18167194987966875	0.19240772787734217	0.18531257886672675	0.18531257886672675	0.18531257886672675	0.09112936233148652	0.2692707874169177	0.1271829813944441	0.5419740255231661	0.7188043229740695	0.18167194987966875	0.18914925989608108	0.18687998867198846	0.5557500950098949	0.1455649772564187	0.09424368375400607	0.18282392590021526	0.18282392590021526	0.18282392590021526	0.4042367067594368	0.28338466708020044	0.19150942299837642	0.19150942299837642	0.19150942299837642	0.13783168514665783	0.13783168514665783	0.15163350566294026	0.13783168514665783	0.15163350566294026	0.10192317091665339	0.05340451017519033	0.3340366096247813	0.18282392590021526	0.31267668839308227	0.09760606922908298	0.44617714173472883	0.10085729998936072	0.09327114798135377	0.18531257886672675	0.18531257886672675	0.18531257886672675	0.18531257886672675	0.13158334000500121	0.2257008225616714	0.35148616946442895	0.24602160018395056	0.3118456473199257	0.18705981890639786	0.19049225529153044	0.14653806039685108	0.3488589319974216	0.3488589319974216	0.32856169303051286	0.17407934714377854	0.08988966637513186	0.2963318786910017	0.2452138652095863	0.09603023371623248	0.18282392590021526	0.19150942299837642	0.18282392590021526	0.18805910161553296	0.1343813637638144	0.15163350566294026	0.19150942299837642	0.19150942299837642	0.19150942299837642	0.2935892014607311	0.14229656268432042	0.18990302250344285	0.1872019673714461	0.18990302250344285	0.18746587927248043	0.2529769708933369	0.1839492214938753	0.1809330177522616	0.17660003910136846	0.007837789915956968	0.08212190088703647	0.03286434572615252	0.12522910454120312	0.08292438893572747	0.18184035676776647	0.32622685776448507	0.12125253379078463	0.1953483430279595	0.1808492362711465	0.13635692423135212	0.06938107835799343	0.35015246573969927	0.18184035676776647	0.039520168798201354	0.12810989703675602
G1-136	0.031782006092640556	0.09151606728424765	0.007782681235413974	0.013946742752461046	0.010502287114360805	0.026536005522086778	0.015617820079728343	0.0	0.01131135593309888	0.15049724096150144	0.005275981976385624	0.18544949857404597	0.20071659976655232	0.19376732401957328	0.19376732401957328	0.19376732401957328	0.09984541592092358	0.2755694579196515	0.13564378087549353	0.5441981898928887	0.7196883087706362	0.18544949857404597	0.19285926272124942	0.1906170978731728	0.5543487844513296	0.15419771870989638	0.08902779853135577	0.1912964534563821	0.1912964534563821	0.1912964534563821	0.4084310498424943	0.28911903335574707	0.19989189883149905	0.19989189883149905	0.19989189883149905	0.14677069478873025	0.14677069478873025	0.16019701809366552	0.14677069478873025	0.16019701809366552	0.09673155933428328	0.04833821654369658	0.3280361946209911	0.1912964534563821	0.3189903014086987	0.09242560820876351	0.44219856313912054	0.09594517340316998	0.10243223751950427	0.19376732401957328	0.19376732401957328	0.19376732401957328	0.19376732401957328	0.14059568186309745	0.23279837603297093	0.35826891321063065	0.25272697484034384	0.3140233602952268	0.19079553175785627	0.19420131588609008	0.15515300685893837	0.35993293361073353	0.35993293361073353	0.3336089554712383	0.1826425389849498	0.08468512297707631	0.29063813245531495	0.24025748944694542	0.105155012196104	0.1912964534563821	0.19989189883149905	0.1912964534563821	0.19647735057506044	0.14335614653229165	0.16019701809366552	0.19989189883149905	0.19989189883149905	0.19989189883149905	0.29230018012127734	0.14161904767660285	0.1846527141940878	0.1951512602140655	0.1846527141940878	0.18663005246324316	0.24798892277360138	0.19193032670375623	0.16574497741878072	0.17102095939516634	0.007861876103905423	0.09667009947933078	0.0427099892307772	0.11474420648234263	0.09226041071656445	0.17624725280534428	0.33127990669506585	0.13044326897680036	0.20218760767101845	0.18884128138781478	0.13155489872657442	0.06408894045052146	0.3459288720479733	0.17624725280534428	0.03939090420487563	0.1226605877413864
G1-138	0.0326890339495667	0.08788444288276306	0.013948362892229853	0.007885969195881222	0.011321410653242202	0.022288928840251382	0.011295496291143849	0.01131135593309888	0.0	0.14737153902719283	0.006067385372582787	0.18249629816074334	0.19172289374434698	0.18461565338149094	0.18461565338149094	0.18461565338149094	0.09648639390691925	0.273699247563114	0.13251110823719417	0.5441323568206224	0.7200616881652573	0.18249629816074334	0.1899715924926738	0.18770440895351517	0.554318486951936	0.14485359306818432	0.0902303236359594	0.18838155001618132	0.18838155001618132	0.18838155001618132	0.40761266373069605	0.28291320787776386	0.19081846212035267	0.19081846212035267	0.19081846212035267	0.13709484962527843	0.13709484962527843	0.1509278335172529	0.13709484962527843	0.1509278335172529	0.09796329113467041	0.04278252994918164	0.32473851766228584	0.18838155001618132	0.31215693435037173	0.09363530203247107	0.4407550533211344	0.09710708729016453	0.09251622507771297	0.18461565338149094	0.18461565338149094	0.18461565338149094	0.18461565338149094	0.13084045176780223	0.22511654474383747	0.35092701768106316	0.2506431684015681	0.3124948205993827	0.18788424167405396	0.18508706619931248	0.14582814985441167	0.35262928072490624	0.35262928072490624	0.332309368437721	0.173373489987605	0.08586523161019481	0.28713902300307154	0.23676137841003408	0.10165868012814204	0.18838155001618132	0.19081846212035267	0.18838155001618132	0.19360316821527634	0.14006443941335753	0.1509278335172529	0.19081846212035267	0.19081846212035267	0.19081846212035267	0.28915687474688767	0.13672469122068495	0.18628186249048084	0.18654713450036423	0.18628186249048084	0.18826501014122352	0.24978045947125557	0.1891866291538139	0.1770563333518796	0.17269146845051445	0.008666994993608759	0.09298878119968544	0.03205294380146502	0.1260555624154415	0.08863452992859758	0.1779454819411728	0.32997014278705805	0.12702010075392223	0.19987144775388735	0.18608143275887074	0.1328364922368189	0.06519228575549446	0.34774176559481645	0.1779454819411728	0.03535706386612629	0.12407459504891948
G1-139	0.11982529002324183	0.06970194554586251	0.14877230478848455	0.1545300880369034	0.15121387231797845	0.16206601694480469	0.14657358944058815	0.15049724096150144	0.14737153902719283	0.0	0.14618214682302896	0.10273260636342868	0.11450361063625206	0.12389131149840497	0.12389131149840497	0.12389131149840497	0.17355808917435023	0.18839738327667876	0.12506091445436904	0.5803678056276612	0.7239986719096285	0.10273260636342868	0.11101120903485139	0.1083475552505964	0.5286407947640438	0.02702851675254287	0.07725091216204696	0.11413000892999141	0.11413000892999141	0.11413000892999141	0.33709196822204324	0.2737009732945053	0.12344557442727269	0.12344557442727269	0.12344557442727269	0.17116309085424955	0.17116309085424955	0.02631293722954397	0.17116309085424955	0.02631293722954397	0.06835598924408412	0.11973721153013966	0.28758935697942234	0.11413000892999141	0.30260559625601413	0.07255651302742636	0.39314869519194917	0.17798790371934597	0.079855590704295	0.12389131149840497	0.12389131149840497	0.12389131149840497	0.12389131149840497	0.17145926109829607	0.11985635517771365	0.4025161133852952	0.14544197468775943	0.21026944153264934	0.10854143582922521	0.11224205243933877	0.020697988342376242	0.4040899371494148	0.4040899371494148	0.32088070784493944	0.2931066845758012	0.08141133132450766	0.18163217564220824	0.13948421292470897	0.07581895706518703	0.11413000892999141	0.12344557442727269	0.11413000892999141	0.11974495781715913	0.16766392691921395	0.02631293722954397	0.12344557442727269	0.12344557442727269	0.12344557442727269	0.23679629482840941	0.17069859208948662	0.21734496602806616	0.21925759736385952	0.21734496602806616	0.21927766650694272	0.2791662522987046	0.21596147767165957	0.12476434030244936	0.11983065352875236	0.1440511741966831	0.22500569401488285	0.12127074964744244	0.16975134712008674	0.07922773208481981	0.12541454610505715	0.3293937098856831	0.17107270193884672	0.2670547568525616	0.21274102203358225	0.21004824956466855	0.10504153116688492	0.34539862158121615	0.12541454610505715	0.12266854917144313	0.17277580368639808
