	G1-11	G1-12	G1-13	G1-130	G1-131	G1-132	G1-135	G1-136	G1-138	G1-139	G1-14	G1-140	G1-141	G1-142	G1-143	G1-144	G1-15	G1-177	G1-178	G1-180	G1-182	G1-187	G1-188	G1-189	G1-190	G1-192	G1-193	G2-1100	G2-1101	G2-1102	G2-1103	G2-1104	G2-1105	G2-1106	G2-1107	G2-1108	G2-1109	G2-1110	G2-1111	G2-1113	G2-194	G2-197	G2-198	G2-199	G2-21	G2-210	G2-211	G2-212	G2-213	G2-214	G2-215	G2-216	G2-217	G2-218	G2-219	G2-22	G2-220	G2-221	G2-222	G2-223	G2-224	G2-23	G2-24	G2-25	G2-26	G2-27	G2-28	G2-29	G2-313	G2-314	G2-315	G2-316	G2-317	G2-318	G2-319	G2-320	G2-321	G2-322	G2-323	G2-324	G2-325	G2-326	G2-327	G2-328	G2-329	G2-330	G2-413	G2-414	G2-415	G2-416	G3-417	G3-418	G3-419	G3-420	G3-421	G3-422	G3-423	G3-424	G3-425	G3-426	G3-427	G3-428	G3-429	G3-430
G1-11	0.0	0.0687995782347297	0.0936315730058453	0.2506673889100117	0.24953098379250857	0.25936093496844304	0.2442693434246004	0.09276532896503262	0.2275410415952715	0.0702582705975322	0.17280724973773484	0.07148821875863422	0.08962977613124296	0.08972241311124216	0.10007544073705248	0.07310759640103198	0.12998775722543957	0.0884582151203084	0.09201936026723474	0.26022447373343316	0.261224385418612	0.0691320173435032	0.07330689591882462	0.09418139821519919	0.09808217395520753	0.1019744595781982	0.10551411494225907	0.16799484035557619	0.18794332673950523	0.14640424422590168	0.14212357046948176	0.2798567513546394	0.3028870505132746	0.3010907463472205	0.28312770468667947	0.3038329465288642	0.2966477298646478	0.31214707173946543	0.30742555486097245	0.3067581592413032	0.052391609045008836	0.261392153461945	0.3099712515551875	0.17731134859921005	0.28839142411492497	0.3043852633345282	0.2897272217501849	0.2888376380281905	0.08991827679752061	0.07309875874548354	0.09406420886784092	0.0958388858466033	0.08875642303741202	0.09785713200069988	0.07058124126461839	0.3054922524292523	0.06998924759173572	0.07096589840451745	0.07722341135904164	0.07222494641244578	0.07158896984805459	0.3055088780041008	0.3055088780041008	0.22014491639168765	0.2958786731478013	0.3023776751662104	0.3106809369523452	0.30822538634556795	0.30588572358079463	0.22388080420000106	0.2974981380151123	0.2076251941465542	0.2833700092471644	0.2698353336341008	0.30855446340735726	0.2957018338490582	0.27594248802246313	0.28133140052062544	0.2714799283328434	0.1778103349388289	0.10233649522450818	0.12650842910354615	0.11839237260600291	0.16633489249112815	0.09682966254591042	0.2486639440923332	0.22929209463331754	0.06926870990932309	0.18182623909528617	0.23435674863545808	0.06808904512924364	0.09820762046496682	0.17710867805836983	0.07149638904597964	0.07734811816806221	0.07204619303760437	0.12783460930968552	0.16091566449218897	0.04023777698988043	0.05649989036511549	0.0630060015128833	0.06890281843981408	0.0802553883229176	0.0672251157635466
G1-12	0.0687995782347297	0.0	0.15881272876699312	0.3178483251385164	0.31696355996737696	0.32280180644052847	0.2553166966047769	0.12306714802785723	0.2948073531119289	0.013147142203410156	0.19293005745763878	0.01970156779280336	0.0213900610195495	0.021482698499548692	0.11043741374285918	0.03034392739603505	0.14908363581928558	0.020524591082424475	0.02442097350982291	0.31188976091187187	0.30534888230345675	0.06514653211018485	0.015594535176287151	0.10490675272112746	0.11285357290689112	0.11268657622790267	0.1183649676752023	0.17852021737749854	0.19893661840383914	0.15739753589023553	0.17125753085101314	0.30173170198596233	0.31345648270528503	0.311660178539231	0.2936971368786899	0.3150877588952445	0.3079025422310281	0.3227165039314759	0.3186803672273526	0.31732759143331357	0.06291522618472258	0.29101186364148296	0.3207318375885194	0.18830464026354396	0.299677811190808	0.3158312295422299	0.30931154323145005	0.3095455480437593	0.022363940110196944	0.01705367836278575	0.02582449175614747	0.027599168634909826	0.020516706125718563	0.030302795013376203	0.007317687828163893	0.31465366020262925	0.013072339077593757	0.07213805813357128	0.012093361784943584	0.01120361310483007	0.010059312439688793	0.3146702857774778	0.3146702857774778	0.2639442094731645	0.30504008092117846	0.31382364137391217	0.3214415229856771	0.31898597237889986	0.3171405359471749	0.23440618122192342	0.3080675702071228	0.21815057116847655	0.2938953862690866	0.2810460908303929	0.31912389559936766	0.3062712660410687	0.2865119202144735	0.2919008327126359	0.2822487632036688	0.18919808242441924	0.11394586544832551	0.1377632414699264	0.13004579799990848	0.17794426271494557	0.1084830879398159	0.25987470128862533	0.24005268066664945	0.031122201312089315	0.19101005925818004	0.24347410123874696	0.07345576294470618	0.10938790876435334	0.18846211971235594	0.010025014469760212	0.09897155444309319	0.008296528593531595	0.1391880509636716	0.1719189625022773	0.0722897142450441	0.08778273613085824	0.04371516425670847	0.042188266676860334	0.013139946558543721	0.04447482762992934
G1-13	0.0936315730058453	0.15881272876699312	0.0	0.17973809232148455	0.17886596206180563	0.1837640286242151	0.22890766432764878	0.10311212851138116	0.16211870222230199	0.16074835671464163	0.1625522101611534	0.15861044900396595	0.17339288776224113	0.17355467780430822	0.15271776957993513	0.1599021238151456	0.11482027778536885	0.17061193024739182	0.17235574699069295	0.20678933722672685	0.2090328451740148	0.1567601018965515	0.1616292457271923	0.15241402891370812	0.14687389379431562	0.1496250433470046	0.13756266158017505	0.16733373755298495	0.18781698352824144	0.15196993392650968	0.1422964448525179	0.2769172851546273	0.3017813585367423	0.29998505437068823	0.2820220127101472	0.30272725455233196	0.2955420378881156	0.3113915234068309	0.30631986288444013	0.3060026109086686	0.1399056445872567	0.257895458313126	0.30988655016479183	0.17718500538794626	0.26970532071038944	0.3040093805837487	0.29034280764758474	0.2894972790956786	0.1704977480474194	0.16125294386278072	0.17497891664821175	0.17578107465607562	0.17258868773047809	0.17585428286837532	0.16181242520299563	0.2763744011176149	0.1618759470897645	0.15813313085369218	0.16836645111004003	0.16175417750244186	0.16219023210700534	0.27639102669246346	0.27639102669246346	0.20396921415918964	0.2748911150156386	0.28756475358357686	0.3109463792058472	0.30849082859907007	0.30513017524816005	0.2228523220231936	0.2963924460385801	0.20669671154829922	0.2823083724407202	0.2687736968276567	0.3077989150747227	0.294596141872526	0.2748367960459309	0.2802257085440931	0.2705736390351261	0.1768375780815067	0.1302340300504708	0.1519655599324157	0.1330084964042647	0.15059350487607362	0.13231657533770214	0.23595084432160252	0.22918396794109352	0.1574412013662303	0.1545920132041562	0.20528295249390896	0.12854421948533537	0.1266280636456935	0.17736970609833258	0.1619998546564905	0.13642682308070037	0.1621576082386631	0.15139035385235325	0.15088108280317897	0.1233489611255925	0.12286629968331247	0.15094348666240576	0.15510840479564517	0.16364841290014384	0.15377693345090374
G1-130	0.2506673889100117	0.3178483251385164	0.17973809232148455	0.0	0.15535249899513928	0.015256632966678766	0.2701805451113422	0.2707780982609573	0.17115213088983441	0.3179494781733262	0.27791879860548285	0.3165580574922444	0.3368531708489484	0.33701496089101546	0.31045321065890785	0.3176375648941181	0.2771884417881051	0.33602335477510553	0.33906242012715154	0.18095923756427845	0.259239441292877	0.31437441204482003	0.3187267918824233	0.3096935812777541	0.3041206280762247	0.3073604844259772	0.29434565731544027	0.3083027390385849	0.30791519482031143	0.3100150344977251	0.28326544428811795	0.2790704814591039	0.30007071287123643	0.3001717531591397	0.30118215603817133	0.2991192644328688	0.2995234255844816	0.2982968110175815	0.2989171838570624	0.29859993188129086	0.296688640322522	0.25525746519589243	0.2863777680540283	0.30866728365375995	0.25980633982664797	0.2824419979470305	0.27442340335265036	0.2679298964589605	0.336359782293874	0.31830855719016155	0.34084095089466626	0.34244369262244606	0.3360489708171853	0.34411806827457725	0.319133645902531	0.27517905896403255	0.319241222959388	0.3161115751969056	0.3256983973406627	0.31867544293396555	0.31937722721906603	0.27519568453888105	0.27519568453888105	0.24673552210054991	0.2665933015717288	0.2743807292584485	0.28743759709508376	0.2849820464883065	0.29777155124087057	0.30496995541683897	0.300373833734946	0.3059241353968392	0.30151256868883247	0.30125930500346987	0.29849889159338777	0.3004748740228492	0.30158631718978407	0.30128319632607453	0.3013769857552433	0.30591076461984257	0.29762718836674057	0.3096318479493204	0.3002683998628575	0.28959283527251944	0.2993441945370156	0.29805838678860097	0.2988571345844362	0.3147582319944632	0.2867233265520902	0.28382012867662015	0.30643474761450845	0.29495756829723047	0.3009970021761626	0.3188337811356094	0.2942063193297613	0.31925727673613213	0.3091698501014141	0.29827948404117044	0.28013195686085784	0.2796492954185777	0.30779263021880926	0.3118914005309104	0.3278205279777148	0.3105599291861691
G1-131	0.24953098379250857	0.31696355996737696	0.17886596206180563	0.15535249899513928	0.0	0.1696806768253391	0.17576698150312062	0.21468485316494268	0.029739443943604057	0.3138224780853553	0.1282561147672532	0.30786304857746216	0.3371132254158611	0.3372058623958603	0.2155664488192116	0.2987587522889729	0.2161080843214162	0.33668600686281014	0.3398970074658388	0.1414913506722726	0.26741469218443126	0.2671251887124071	0.3133208210651841	0.2263392503223722	0.2339428839880323	0.21082137586379085	0.2037711040146822	0.1650326505283975	0.1605661398005732	0.18130754876596566	0.17452278300836027	0.13148886936118198	0.1527657130215863	0.1528667533094895	0.1538771561885212	0.15181426458321864	0.15221842573483135	0.1509918111679313	0.15161218400741233	0.15129493203164082	0.25779207720876823	0.113148824749851	0.14398683078459212	0.16199805638561346	0.19401300492143383	0.14000890031588054	0.12928150221749185	0.12566683927041875	0.3370664895516666	0.3103163438908561	0.34154765815245897	0.34332233513122135	0.3362398723220302	0.34534058128531797	0.31898636133053365	0.21061911032579508	0.31633978549081093	0.2709022247118698	0.32560983978749175	0.31614808059362254	0.31651984492057705	0.2106357359006436	0.2106357359006436	0.13396008394868436	0.20100553104434415	0.13263819948197628	0.13830755591047778	0.14043078859328695	0.15042249622113224	0.15762090039710056	0.15306883388529582	0.15857508037710102	0.15416351366909425	0.15391024998373157	0.15119389174373762	0.153169874173199	0.15428131734013387	0.15397819647642438	0.15410512392619707	0.15860576477019236	0.24441187806885542	0.20030502450764287	0.23257198487345962	0.19922533431986753	0.24440600034746776	0.14933857142012302	0.14520671137233385	0.2947264458684569	0.22177545239179924	0.2192161250182945	0.28554779722679013	0.2500617850530251	0.14714755932203932	0.31440281058284164	0.23329495574068004	0.3180286410630276	0.22882651362151987	0.15858392454475054	0.2500140523421543	0.23149086903859198	0.28263460944958463	0.28549034625792685	0.3284831800654194	0.28107986690017545
G1-132	0.25936093496844304	0.32280180644052847	0.1837640286242151	0.015256632966678766	0.1696806768253391	0.0	0.28221231861323054	0.2832644190489935	0.183227959561811	0.3286164230637219	0.29030519407484323	0.3292311559984144	0.33709126017164237	0.3372530502137094	0.3232144195052543	0.33039877374046456	0.28917616011990543	0.3345721663177914	0.33761123166983764	0.19294695574607873	0.2639197314616698	0.32734747660199903	0.3299710818233419	0.3226666458349331	0.31706036309440255	0.32012169327232365	0.30761683563798553	0.32090668448268717	0.3205191402644136	0.3226189799418273	0.2958693897322202	0.2918316903054502	0.312762768655515	0.3128638089434182	0.31387421182244984	0.3118113202171473	0.3122154813687601	0.31098886680185994	0.31160923964134096	0.3112919876655695	0.31000387381515526	0.268616753858614	0.3016344008707071	0.32127122909786204	0.2713086084307665	0.29571317611957576	0.2877826920153718	0.28120107463150573	0.33499670417673616	0.3303899382849162	0.33947787277752856	0.34108061450530835	0.33628706013987925	0.34275499015743954	0.3264632792251881	0.2809744593398259	0.32849008481561937	0.3287155206410078	0.3328637207720305	0.3288481651458827	0.3286701442453856	0.28099108491467445	0.28099108491467445	0.2586540872202823	0.2764944027360158	0.2889079267306694	0.30269422991176254	0.30023867945498534	0.31041955185506087	0.31757390086094106	0.3130658895192245	0.3185280808409414	0.31411651413293473	0.313863250447572	0.3111909473776663	0.31316692980712774	0.3142783729740625	0.31397525211035304	0.3141684556013338	0.318669096445329	0.3097782943358918	0.322323903733599	0.3126189085108239	0.3017437497232738	0.311827765712554	0.30997695205833337	0.3121283129069814	0.32783013585826315	0.29073834570533663	0.2876300745582799	0.31050473908732723	0.30701156267023877	0.3136701006823327	0.3288538446766204	0.30687941783593137	0.3278514087327515	0.3218429486075842	0.31026720237297084	0.293403135183403	0.2929204737411229	0.32099766072021607	0.3251625788534556	0.3271699232403165	0.3238311075087142
G1-135	0.2442693434246004	0.2553166966047769	0.22890766432764878	0.2701805451113422	0.17576698150312062	0.28221231861323054	0.0	0.15366297761722467	0.14811107598438011	0.24980020606079179	0.12739777500354524	0.24377411727489665	0.27339240550961824	0.2734850424896174	0.18296623598171857	0.2350379323827299	0.12470727136919209	0.27314918417599554	0.27617618755959583	0.19299406153136936	0.2691549279972772	0.20813972628034524	0.24953297043911127	0.1873297949288482	0.19179882260186584	0.17919368199719632	0.17482889051109643	0.15805690446000428	0.15019125497422095	0.16792713293824602	0.1701872983025652	0.13244688397295948	0.14526802188379584	0.14347171771774178	0.12550867620720077	0.14621391789938548	0.13902870123516908	0.15487818675388448	0.14980652623149368	0.1494892742557222	0.20380003356278611	0.1231825021106125	0.15304781366973208	0.15502231031722022	0.07593372989271362	0.14717253889706328	0.1413790342282587	0.14372267805200828	0.2733456696454237	0.2465955239846132	0.277826838246216	0.2796015152249784	0.2725190524157872	0.281619761379075	0.2547307818329633	0.08857903522419965	0.25208420599324055	0.21048919818865078	0.26138758992892236	0.25242614666189583	0.2525984901675864	0.08856240954935111	0.08856240954935111	0.08887246242955119	0.07896545594274872	0.12525005818224091	0.1515286139460479	0.1499029000840858	0.14861683859521363	0.13384999538566011	0.13987910938563358	0.14078893523215485	0.12579503578777382	0.11415770447866752	0.15128557842177628	0.1380828052195795	0.1183234597429844	0.1237123720911467	0.11451884227934402	0.15229771341233658	0.1565489833303618	0.17560086641876682	0.15673409684835965	0.09489382120440976	0.16568584339192485	0.11090126143601856	0.12191481636496572	0.23113554034352096	0.07653288130568457	0.052175088625299994	0.19414439055009125	0.15098475178180465	0.14355355125884595	0.25094773269494886	0.1925222391718023	0.25430782115678474	0.18637802441604515	0.14147699391599944	0.20961580240563701	0.19776372104024775	0.22081931983162525	0.22269930286573483	0.2668755670947543	0.21828882350798343
G1-136	0.09276532896503262	0.12306714802785723	0.10311212851138116	0.2707780982609573	0.21468485316494268	0.2832644190489935	0.15366297761722467	0.0	0.18548851318278384	0.11941409653333582	0.0962064941762006	0.11378889157002235	0.14410706320350886	0.14419970018350806	0.06260292876634872	0.10678420158251653	0.04977821378915064	0.14354767914019345	0.14675867974322204	0.20126925257578746	0.2630782672971181	0.08308425679286051	0.12004880334473554	0.06430481916424968	0.06338870468617834	0.059510202533418204	0.04913639398775107	0.10287304029222018	0.12195254234024203	0.08108190931579785	0.08500145226030976	0.21296582544120443	0.23785336079009486	0.23605705662404078	0.21809401496349978	0.23879925680568448	0.23161404014146814	0.2474635256601835	0.24239186513779268	0.2420746131620211	0.07119013598549799	0.19900049254076385	0.24350695976835462	0.11085264955753536	0.2173271975985213	0.2375857350172233	0.22396321725114757	0.2230736335291532	0.14406032733931443	0.11731018167850392	0.1485414959401068	0.15031617291886915	0.14323371010967792	0.15233441907296574	0.12524490468010618	0.2339333030028826	0.12065928963217852	0.0871619580086277	0.1297971784185949	0.12274084938777477	0.12331314786147707	0.23394992857773111	0.23394992857773111	0.1523959093796942	0.22431972372143164	0.21484952802595028	0.24456678880941013	0.2421112382026328	0.24120217750151254	0.15875900413664507	0.23246444829193258	0.14250339408319818	0.21824820918380833	0.20471353357074476	0.24387091732807525	0.23066814412587847	0.21090879829928338	0.21629771079744564	0.2064462386096637	0.11277664606564924	0.036825031276684926	0.06337208648432367	0.03841303109067442	0.07640647158124916	0.0386555723782818	0.17189068106469055	0.16276032237456817	0.09975067130217907	0.11017917932874016	0.16270968886891207	0.07376899051078943	0.04194933908962747	0.11183223119601442	0.12135259320040133	0.05928054125652213	0.12497842368058724	0.06542621176371756	0.08529955303077268	0.0604568433255624	0.05122283591139171	0.08929738949330897	0.0923515697650658	0.1353448523428027	0.08794109040731433
G1-138	0.2275410415952715	0.2948073531119289	0.16211870222230199	0.17115213088983441	0.029739443943604057	0.183227959561811	0.14811107598438011	0.18548851318278384	0.0	0.2917995897859112	0.11096339132475046	0.2857735010000161	0.3149798083392409	0.31507244531924006	0.1934330317425913	0.2766253352123527	0.18647954049681625	0.3145966449562781	0.3178076455593067	0.13405601903934278	0.24345278380810945	0.24533560768596993	0.2911646142097361	0.2046165142448509	0.21222014791051103	0.1886879587871705	0.18241230827349075	0.15439296231851474	0.1519659348454658	0.16426319079675655	0.1523665761529122	0.12291145418490242	0.14608564224926396	0.14428933813320988	0.14529974101224155	0.1470315382648536	0.14364101055855177	0.15569580711935255	0.1506241465969618	0.15030689462119026	0.23643328146757686	0.10689097357612527	0.1585997687543963	0.1527180236789143	0.18914802272900835	0.15276854915181567	0.136305062221467	0.13842648810635386	0.3149330724750464	0.2881829268142359	0.3194142410758389	0.32118891805460115	0.3141064552454099	0.3232071642086978	0.29678609930499744	0.2057541281333696	0.294183578635363	0.24874601785642186	0.30345363293204375	0.2942477853190953	0.29431958289504107	0.2057707537082181	0.2057707537082181	0.1063710252788598	0.1961405488519187	0.13975601070380078	0.15292049388028198	0.15504372641309108	0.1494785141307699	0.1490206954419932	0.14449141870901622	0.14997487542199364	0.14563015436290275	0.14537688997754014	0.15210319878724435	0.14459245899691942	0.14570390216385426	0.14540078130014472	0.1455939847911255	0.15009462563512077	0.21511573534060766	0.17817160743102262	0.2033096829410766	0.1718691974862559	0.21534265313536308	0.13532217001897312	0.13741223612649459	0.27303570263693316	0.19415268489366275	0.19162706444846989	0.2558083532831861	0.22043267232071728	0.13882165850205166	0.29241305425651865	0.21120559383414797	0.2959392791564956	0.20673715171498772	0.13433170898392469	0.22865525660096297	0.2101320732974006	0.2610773702449787	0.26413155051673554	0.3063938181588874	0.2597210711589841
G1-139	0.0702582705975322	0.013147142203410156	0.16074835671464163	0.3179494781733262	0.3138224780853553	0.3286164230637219	0.24980020606079179	0.11941409653333582	0.2917995897859112	0.0	0.18974492040552887	0.007576641092756993	0.027333662017656253	0.02760752252745198	0.10092224163074504	0.020828755833920905	0.14634714737156268	0.028034802594672673	0.030687834472355954	0.30884982099259256	0.3041544734757402	0.05234018232907168	0.0033812959511760467	0.09318508996366005	0.10491034892807492	0.10416160413400732	0.1145886915703322	0.16670437072283406	0.18660880193667492	0.14484944357263058	0.16307130829977898	0.29445551322919056	0.3020811877515022	0.30028488358544814	0.2823218419249071	0.3037124639414616	0.2965272472772453	0.3113412089776931	0.30730507227356985	0.30595229647953076	0.05895386251503954	0.28600969326591374	0.3111166912394916	0.1761530444767324	0.2978674023493108	0.30565573210455904	0.3036571969552975	0.30514783396467204	0.028281306601896455	0.007538507200671606	0.03174185849784698	0.033447382414541406	0.026641531853621843	0.036081855680939856	0.009043342725158224	0.31011522368327177	0.0061703543608521705	0.06085712578195811	0.013189603168023796	0.004973915633943224	0.005439532436835678	0.31013184925812026	0.31013184925812026	0.2558248318708462	0.2998971881053388	0.3042084950248843	0.31160223620119193	0.3081380536348573	0.30576524099339203	0.22259033456725896	0.29669227525333985	0.20637877968390017	0.2819914292742459	0.26936240968599295	0.30774860064558485	0.2948959710872858	0.27513662526069066	0.280525537758853	0.270773479632883	0.17775612839263433	0.10233726322153575	0.12638794651614355	0.11843719597311866	0.16620349517789124	0.09687448551302613	0.24792668912369645	0.2304375343176216	0.020686699059944663	0.18850890473475315	0.2388590980965116	0.07060499570416809	0.10073999453024621	0.18007048085455385	0.005784960717157498	0.09319807427924218	0.01064912788373685	0.13408694206844152	0.16224883272817517	0.06826192378388204	0.08443419506263274	0.03779482179012185	0.03151019161833957	0.024253309388098797	0.034331019589843574
