	shannon
G1-11	2.0066970090664107
G1-12	0.6153586879388523
G1-13	1.9334737889780171
G1-130	1.0770129024835788
G1-131	2.0720789602859746
G1-132	0.9197136421819226
G1-135	1.8747012323284744
G1-136	2.3639658258788288
G1-138	1.7386855721221603
G1-139	1.5480165169859277
G1-14	2.361267269104695
G1-140	1.6986112728621567
G1-141	1.0027726889020203
G1-142	1.179974242949279
G1-143	1.3241893608580149
G1-144	1.6992365361682793
G1-15	2.1408868994347237
G1-175	1.5533640731535958
G1-176	0.31986278397895007
G1-177	1.1554453663231141
G1-178	1.296628722869471
G1-180	0.24194073285321085
G1-182	0.29336071130020985
G1-187	1.961610813906068
G1-188	1.2268745177431961
G1-189	1.9111012913512795
G1-190	1.8871590168080847
G1-192	1.6140054401726338
G1-193	1.7310078611074975
G2-1100	1.2806631119761231
G2-1101	1.3932600540708802
G2-1102	1.4473934306392005
G2-1103	1.9775932976395365
G2-1104	1.3387796450131073
G2-1105	0.1943918578315762
G2-1106	0.38431154412649704
G2-1107	0.34698128810061335
G2-1108	0.24229218908241482
G2-1109	0.4291623955316339
G2-1110	0.2647650339356807
G2-1111	0.4812024118346157
G2-1113	0.2863969571159562
G2-194	1.8315533475619248
G2-197	1.9390075259065453
G2-198	1.6555911214300008
G2-199	1.3430629513021162
G2-21	1.1530271917663564
G2-210	1.7144369889074358
G2-211	2.056853575585163
G2-212	1.6984185551945834
G2-213	0.855145299213692
G2-214	1.1396356531175318
G2-215	0.8343826175661616
G2-216	0.8110266198550085
G2-217	0.7395613203669659
G2-218	0.8355146543184472
G2-219	0.97809420815496
G2-22	1.080137265023107
G2-220	1.4360858750162904
G2-221	1.9705364153872618
G2-222	1.4792724687544208
G2-223	1.3283755548431964
G2-224	0.6624451507721124
G2-23	1.0389461223841565
G2-24	0.9241249655493315
G2-25	1.3376325008023313
G2-26	0.7117117648172475
G2-27	1.9553686158717203
G2-28	1.8532291851210683
G2-29	1.956780199928216
G2-313	0.1943918578315762
G2-314	0.945484116692873
G2-315	0.5593467404273467
G2-316	1.0417816838881777
G2-317	0.23958627378939246
G2-318	0.36592365090022316
G2-319	0.2640347668103987
G2-320	0.419556496238547
G2-321	0.4976352893008768
G2-322	0.6018456095106158
G2-323	1.4737870666439277
G2-324	1.4691018568511762
G2-325	1.9285880167322185
G2-326	1.1883595616341838
G2-327	1.927942945437235
G2-328	2.223225008152078
G2-329	2.1259097865942844
G2-330	1.4957852368147029
G2-413	1.3975153979951709
G2-414	1.8548840486477087
G2-415	1.8027314538601698
G2-416	1.049080754921537
G3-417	1.7017001821548166
G3-418	1.9404036536999048
G3-419	1.5491738392285264
G3-420	1.2968786565071397
G3-421	1.9030424642870518
G3-422	1.2941459319290578
G3-423	2.104585860680441
G3-424	1.6892002605305034
G3-425	1.7311623071264195
G3-426	1.9349194724215224
G3-427	1.6662934037629729
G3-428	1.6394051260387184
G3-429	1.1298627918090784
G3-430	1.4138290284143376
