	G1-11	G1-12	G1-13	G1-130	G1-131	G1-132	G1-135	G1-136	G1-138	G1-139	G1-14	G1-140	G1-141	G1-142	G1-143	G1-144	G1-15	G1-175	G1-176	G1-177	G1-178	G1-180	G1-182	G1-187	G1-188	G1-189	G1-190	G1-192	G1-193	G2-1100	G2-1101	G2-1102	G2-1103	G2-1104	G2-1105	G2-1106	G2-1107	G2-1108	G2-1109	G2-1110	G2-1111	G2-1113	G2-194	G2-197	G2-198	G2-199	G2-21	G2-210	G2-211	G2-212	G2-213	G2-214	G2-215	G2-216	G2-217	G2-218	G2-219	G2-22	G2-220	G2-221	G2-222	G2-223	G2-224	G2-23	G2-24	G2-25	G2-26	G2-27	G2-28	G2-29	G2-313	G2-314	G2-315	G2-316	G2-317	G2-318	G2-319	G2-320	G2-321	G2-322	G2-323	G2-324	G2-325	G2-326	G2-327	G2-328	G2-329	G2-330	G2-413	G2-414	G2-415	G2-416	G3-417	G3-418	G3-419	G3-420	G3-421	G3-422	G3-423	G3-424	G3-425	G3-426	G3-427	G3-428	G3-429	G3-430
G1-11	0.0	0.1307052702927372	0.06166092606513098	0.05933034551471901	0.2089798301291275	0.2089798301291275	0.18667261713542047	0.05906609805662538	0.05933034551471901	0.06993708834456845	0.05405807556211121	0.1356019928548314	0.18412190107722606	0.14063763355677456	0.14063763355677456	0.14063763355677456	0.1206444296731509	0.48281058694135137	0.5330673792984214	0.35170742700612545	0.18635244474248971	0.28339157746296	0.21126899332951748	0.1356019928548314	0.10063462189545717	0.10063462189545717	0.3333352728170349	0.21317589585827754	0.12518448959041842	0.14169715166066088	0.14169715166066088	0.24038418758753435	0.3471709821091488	0.28566397724025	0.14721911801481802	0.14721911801481802	0.14721911801481802	0.14721911801481802	0.14446580384307534	0.14721911801481802	0.14446580384307534	0.14721911801481802	0.04247617947785361	0.0924174046655953	0.2900204303732796	0.10109849151008611	0.4655676080360236	0.32806427754484196	0.2675720556595407	0.37292566050028236	0.14579770844917664	0.10002885546457735	0.10002885546457735	0.14063763355677456	0.14063763355677456	0.2073007979238379	0.10081943913183984	0.2949183727008381	0.1055939460890467	0.4213733472403983	0.0984225777932597	0.1412990038932457	0.13894383748891823	0.3426322578078877	0.3426322578078877	0.4125803928020849	0.19030911201848083	0.5304172642857076	0.2784636963556143	0.09292136031274811	0.14721911801481802	0.14169715166066088	0.10646522577622708	0.14169715166066088	0.10646522577622708	0.14721911801481802	0.10646522577622708	0.14721911801481802	0.10646522577622708	0.10646522577622708	0.10112878267652622	0.14172831899513574	0.23171775014780516	0.23905519968543196	0.23171775014780516	0.23359622966276541	0.23171775014780516	0.23905519968543196	0.11961092337414064	0.12453676667710935	0.05933034551471901	0.08461058459266362	0.08456199447164174	0.27676106996222216	0.21186572888078287	0.12794755478993056	0.20937857441462257	0.1307052702927372	0.1883025392977541	0.17769767047699744	0.03378243967593493	0.005573566216277779	0.08468563238169878	0.005573566216277779	0.08461058459266362	0.17247533255504646
G1-12	0.1307052702927372	0.0	0.17992315968335365	0.17333929206555318	0.3237819509902005	0.3237819509902005	0.2929787925492199	0.18205111803773405	0.17333929206555318	0.18279351298360771	0.17769767047699744	0.019939979395435212	0.07004034513591047	0.012651312962102845	0.012651312962102845	0.012651312962102845	0.21930313366705495	0.5435991966751346	0.5569622477270987	0.3705804365660483	0.20066775464628245	0.3049790063851572	0.22652859027416886	0.019939979395435212	0.11099087935885381	0.11099087935885381	0.3518988931143435	0.22855215778276816	0.006310794260762477	0.02653558030649953	0.02653558030649953	0.15225792554158077	0.37259320954022457	0.30319673284315674	0.020360499124807044	0.020360499124807044	0.020360499124807044	0.020360499124807044	0.017197605375735583	0.020360499124807044	0.017197605375735583	0.020360499124807044	0.15844792910200928	0.20256487259796135	0.19574150917925617	0.12224785852918948	0.48965753397677325	0.24456854039790207	0.292232718761371	0.4034580194925043	0.019920171675686445	0.11038590748906257	0.11038590748906257	0.012651312962102845	0.012651312962102845	0.22246373884254145	0.12189284421071794	0.31667807534849934	0.1268284820901068	0.37318403317336957	0.11941392139311864	0.026440701655749996	0.023392623611469005	0.25016553420154497	0.25016553420154497	0.43649243354429923	0.0772161572504342	0.4923956916397227	0.30853047104645637	0.11348628737257375	0.020360499124807044	0.02653558030649953	0.11723049556043204	0.02653558030649953	0.11723049556043204	0.020360499124807044	0.11723049556043204	0.020360499124807044	0.11723049556043204	0.11723049556043204	0.11688289264697564	0.020278544914182576	0.14159993240956745	0.1396408255097692	0.14159993240956745	0.14395921497932818	0.14159993240956745	0.1396408255097692	0.012601640812169402	0.01887201844443842	0.17333929206555318	0.19567014215442247	0.1957094242708411	0.20328025097446703	0.22714680929718153	0.003162327584715782	0.2987868180380182	0.0	0.202695088350709	0.06168475349689148	0.15076553928220984	0.12583304287310842	0.10495691375916397	0.12583304287310842	0.19567014215442247	0.0672431645858421
G1-13	0.06166092606513098	0.17992315968335365	0.0	0.013133403131966903	0.16199061079376356	0.16199061079376356	0.14634257172397674	0.002594828008505597	0.013133403131966903	0.01912310960036674	0.007889045724344882	0.18398971885672494	0.13282108137265244	0.18891407031291835	0.18891407031291835	0.18891407031291835	0.0721946729883865	0.46711426522955674	0.5495889166578242	0.3135111488574265	0.13884907424695397	0.32145040968661065	0.1651567685937178	0.18398971885672494	0.14964516301842334	0.14964516301842334	0.360650147036189	0.25105264371778774	0.17945125631823314	0.1898680546492454	0.1898680546492454	0.2783596674629529	0.30870912383276977	0.24372923228357882	0.19508010929092598	0.19508010929092598	0.19508010929092598	0.19508010929092598	0.1924813205645092	0.19508010929092598	0.1924813205645092	0.19508010929092598	0.0995582232814632	0.04766804898945161	0.334162857605657	0.15020718927999469	0.4271711530868544	0.2808596473859363	0.30370000224222743	0.4050119161579384	0.19336818184528712	0.14924170497059933	0.14924170497059933	0.18891407031291835	0.18891407031291835	0.2457314838644495	0.149819908717381	0.24473923454253427	0.1540894602510452	0.44346443982561573	0.14767746581508892	0.18936781964231036	0.1872692659228286	0.2906355928303215	0.2906355928303215	0.37050067472450904	0.1390406496226772	0.4966327276993574	0.2323727650541439	0.14712807295404537	0.19508010929092598	0.1898680546492454	0.15528072865370512	0.1898680546492454	0.15528072865370512	0.19508010929092598	0.15528072865370512	0.19508010929092598	0.15528072865370512	0.15528072865370512	0.15023582558244386	0.18989747276589078	0.1876752781096857	0.1905869762360117	0.1876752781096857	0.18965163648631603	0.1876752781096857	0.1905869762360117	0.17420689891061114	0.16891268119477185	0.013133403131966903	0.0395185144416859	0.034506414905229536	0.2354842351252512	0.2497583349048699	0.18205111803773405	0.16560354925973186	0.17992315968335365	0.14090790237781478	0.12601138756629002	0.09185273638707465	0.066905283472753	0.13982966274434366	0.066905283472753	0.0395185144416859	0.12567937597744705
G1-130	0.05933034551471901	0.17333929206555318	0.013133403131966903	0.0	0.1504426589246473	0.1504426589246473	0.14472624540557452	0.010538575123461305	0.0	0.021703939090747814	0.005272269952607805	0.18701288855756448	0.12591373831535546	0.18245352492262748	0.18245352492262748	0.18245352492262748	0.06519479311671966	0.46474117473248444	0.5473358700407703	0.30948366022007234	0.1325019845138683	0.316342893664491	0.15919289847158538	0.18701288855756448	0.1430762460831204	0.1430762460831204	0.35694386091175306	0.2459464762335122	0.1680892746344495	0.19291489143282176	0.19291489143282176	0.28128487453433476	0.31121241672489575	0.23883841938778597	0.18867484535702017	0.18867484535702017	0.18867484535702017	0.18867484535702017	0.18605537640156036	0.18867484535702017	0.18605537640156036	0.18867484535702017	0.0877770877739946	0.03535377967271879	0.32453424286455307	0.15306899731295331	0.4238127271073722	0.2706683102213536	0.2958089169598255	0.3977731870373713	0.18699926565469602	0.14264681509974367	0.14264681509974367	0.18245352492262748	0.18245352492262748	0.2405522506225464	0.15267348589737784	0.23889010103819286	0.1569397643851574	0.44599894641206816	0.15053265026449672	0.19240541888861148	0.19030911201848083	0.28495553951046526	0.28495553951046526	0.3664425206613565	0.13218944375836092	0.49111116510655384	0.2218661393984211	0.1358356830618709	0.18867484535702017	0.19291489143282176	0.14873878179538824	0.19291489143282176	0.14873878179538824	0.18867484535702017	0.14873878179538824	0.18867484535702017	0.14873878179538824	0.14873878179538824	0.143654808362035	0.18345096726844615	0.17714222557103987	0.1845160079843209	0.17714222557103987	0.17916408227968672	0.17714222557103987	0.1845160079843209	0.17247533255504646	0.17685642830972756	0.0	0.027013319823397376	0.03708729401317377	0.23425985790791531	0.24464975144226989	0.17071682701207283	0.15994647330336387	0.17333929206555318	0.13459123674776824	0.11899469712846854	0.07988988683677356	0.05434459493708464	0.12836400314776375	0.05434459493708464	0.027013319823397376	0.11374467969736488
G1-131	0.2089798301291275	0.3237819509902005	0.16199061079376356	0.1504426589246473	0.0	0.0	0.27339590315522616	0.15939578278525796	0.1504426589246473	0.16965816136883663	0.1549217545670163	0.3349671108356533	0.2751748845408491	0.33171467114812114	0.33171467114812114	0.33171467114812114	0.20657160474223318	0.5481908460380354	0.5005163635435952	0.4194210175415569	0.27061665872211776	0.2040782579950857	0.29305810257179693	0.3349671108356533	0.2878325797656735	0.2878325797656735	0.4655724858284826	0.37370451065409227	0.3185319335590968	0.34125316536040007	0.34125316536040007	0.41338118014761777	0.42151459806632136	0.36002323116764967	0.3377924189019268	0.3377924189019268	0.3377924189019268	0.3377924189019268	0.335172949946467	0.3377924189019268	0.335172949946467	0.3377924189019268	0.23290103008164195	0.18047772198036616	0.20615852891739597	0.29745471974929466	0.3526974923980061	0.14285256446398356	0.41406766024000974	0.3144458195334552	0.3349559678526398	0.28790673930241983	0.28790673930241983	0.33171467114812114	0.33171467114812114	0.3692242197169356	0.29669532542808186	0.10968392188179572	0.30023645574035435	0.5468207108302215	0.2949183727008381	0.3403596411667003	0.33864738594605914	0.1587246506476946	0.1587246506476946	0.27939076305216	0.28130701730326757	0.43201435702096963	0.08843199721355659	0.28095962536951824	0.3377924189019268	0.34125316536040007	0.2938627241030356	0.34125316536040007	0.2938627241030356	0.3377924189019268	0.2938627241030356	0.3377924189019268	0.2938627241030356	0.2938627241030356	0.28877875066968234	0.3325685408133528	0.31769267268153983	0.32506645509482085	0.31769267268153983	0.3193691806881089	0.31769267268153983	0.32506645509482085	0.32212481716945496	0.3257136359715242	0.1504426589246473	0.1733920230874309	0.18271498975525646	0.3646314772745068	0.37224772339063217	0.3211594859367201	0.28699335785710756	0.3237819509902005	0.2723732803488315	0.26943735605311586	0.2262685901008071	0.20478725386173197	0.27474270641179727	0.20478725386173197	0.1733920230874309	0.26418733862201216
G1-132	0.2089798301291275	0.3237819509902005	0.16199061079376356	0.1504426589246473	0.0	0.0	0.27339590315522616	0.15939578278525796	0.1504426589246473	0.16965816136883663	0.1549217545670163	0.3349671108356533	0.2751748845408491	0.33171467114812114	0.33171467114812114	0.33171467114812114	0.20657160474223318	0.5481908460380354	0.5005163635435952	0.4194210175415569	0.27061665872211776	0.2040782579950857	0.29305810257179693	0.3349671108356533	0.2878325797656735	0.2878325797656735	0.4655724858284826	0.37370451065409227	0.3185319335590968	0.34125316536040007	0.34125316536040007	0.41338118014761777	0.42151459806632136	0.36002323116764967	0.3377924189019268	0.3377924189019268	0.3377924189019268	0.3377924189019268	0.335172949946467	0.3377924189019268	0.335172949946467	0.3377924189019268	0.23290103008164195	0.18047772198036616	0.20615852891739597	0.29745471974929466	0.3526974923980061	0.14285256446398356	0.41406766024000974	0.3144458195334552	0.3349559678526398	0.28790673930241983	0.28790673930241983	0.33171467114812114	0.33171467114812114	0.3692242197169356	0.29669532542808186	0.10968392188179572	0.30023645574035435	0.5468207108302215	0.2949183727008381	0.3403596411667003	0.33864738594605914	0.1587246506476946	0.1587246506476946	0.27939076305216	0.28130701730326757	0.43201435702096963	0.08843199721355659	0.28095962536951824	0.3377924189019268	0.34125316536040007	0.2938627241030356	0.34125316536040007	0.2938627241030356	0.3377924189019268	0.2938627241030356	0.3377924189019268	0.2938627241030356	0.2938627241030356	0.28877875066968234	0.3325685408133528	0.31769267268153983	0.32506645509482085	0.31769267268153983	0.3193691806881089	0.31769267268153983	0.32506645509482085	0.32212481716945496	0.3257136359715242	0.1504426589246473	0.1733920230874309	0.18271498975525646	0.3646314772745068	0.37224772339063217	0.3211594859367201	0.28699335785710756	0.3237819509902005	0.2723732803488315	0.26943735605311586	0.2262685901008071	0.20478725386173197	0.27474270641179727	0.20478725386173197	0.1733920230874309	0.26418733862201216
G1-135	0.18667261713542047	0.2929787925492199	0.14634257172397674	0.14472624540557452	0.27339590315522616	0.27339590315522616	0.0	0.14410986358280242	0.14472624540557452	0.15302741630730948	0.14019311138166687	0.2953872769785564	0.2515662775767021	0.2999782991475966	0.2999782991475966	0.2999782991475966	0.19345143269076007	0.3780185948253732	0.574927610155195	0.364844370323841	0.22173511726033052	0.38459636291136823	0.24286388914393325	0.2953872769785564	0.23472751262824929	0.23472751262824929	0.2448181595155548	0.1149508383012872	0.2884885904292337	0.30071027260614713	0.30071027260614713	0.36764390749876663	0.3608281218934139	0.11458492001155328	0.3052092141556803	0.3052092141556803	0.3052092141556803	0.3052092141556803	0.3029659915911592	0.3052092141556803	0.3029659915911592	0.3052092141556803	0.18661442472274076	0.14081069006312155	0.421554500651983	0.23541116365724324	0.46786527495734176	0.3754255800124218	0.35635925910428173	0.27213757613654715	0.30299492382658266	0.2346309011916537	0.2346309011916537	0.2999782991475966	0.2999782991475966	0.10866220593939133	0.23488142158301287	0.3186461604880083	0.23826766061443175	0.4976325816070879	0.23318375469767447	0.30003118687617164	0.298467050041626	0.384573890992006	0.384573890992006	0.42057086777958513	0.256837070951598	0.5444269537297779	0.30438991261548837	0.22860458571043207	0.3052092141556803	0.30071027260614713	0.23987838990331384	0.30071027260614713	0.23987838990331384	0.3052092141556803	0.23987838990331384	0.3052092141556803	0.23987838990331384	0.23987838990331384	0.23543637777947007	0.30073566573733695	0.2894696976942486	0.29583689262156315	0.2894696976942486	0.28734277429557314	0.2894696976942486	0.29583689262156315	0.28395545640532605	0.28721731564297687	0.14472624540557452	0.1343271324559832	0.13428450548448856	0.32548056109230217	0.3152105780062222	0.29073586701663706	0.1229953015813424	0.2929787925492199	0.22338331579290635	0.24649928679546632	0.18047650823200498	0.1912057511593281	0.22278353259840464	0.1912057511593281	0.1343271324559832	0.2420090846754801
G1-136	0.05906609805662538	0.18205111803773405	0.002594828008505597	0.010538575123461305	0.15939578278525796	0.15939578278525796	0.14410986358280242	0.0	0.010538575123461305	0.021639627007962705	0.005294217715839285	0.186083257258869	0.1350537743505648	0.19100234277987632	0.19100234277987632	0.19100234277987632	0.07445852750889022	0.4678848833684631	0.5503200234400444	0.31481656922118545	0.14090227721334025	0.32310228635558047	0.16708657983755068	0.186083257258869	0.15176912596513725	0.15176912596513725	0.3618515610673938	0.2527056243402797	0.17685642830972756	0.19195188556399112	0.19195188556399112	0.28001358783313873	0.31003310936678574	0.24531322833220442	0.197150533697443	0.197150533697443	0.197150533697443	0.197150533697443	0.1945584296059429	0.197150533697443	0.1945584296059429	0.197150533697443	0.0970541993052546	0.045164025013242994	0.33159064584841846	0.15233509085284727	0.42825971736487134	0.2782874356286978	0.3016556719814596	0.4029112191807967	0.19542702472136197	0.1513739999406019	0.1513739999406019	0.19100234277987632	0.19100234277987632	0.24740801000232063	0.15194343519447848	0.24663042560752943	0.15619173819849286	0.4444390469393279	0.1498117018761508	0.19144756007934938	0.189359781472491	0.2924714820950293	0.2924714820950293	0.3718150313400566	0.1412552193862222	0.4948322902585792	0.22984731301403288	0.14462404897783676	0.197150533697443	0.19195188556399112	0.15739592596232171	0.19195188556399112	0.15739592596232171	0.197150533697443	0.15739592596232171	0.197150533697443	0.15739592596232171	0.15739592596232171	0.15236365544930852	0.191981228011011	0.18524938948324696	0.19255052208445214	0.18524938948324696	0.18723164996426786	0.18524938948324696	0.19255052208445214	0.17161207090210553	0.16631785318626624	0.010538575123461305	0.0369930624015749	0.03694472264942121	0.23322213042455847	0.25141211620603143	0.17945629002922844	0.16743496265617921	0.18205111803773405	0.14295131118749715	0.12827923769694796	0.08932728434696366	0.0643104554642474	0.13730421070423265	0.0643104554642474	0.0369930624015749	0.12308454796894146
G1-138	0.05933034551471901	0.17333929206555318	0.013133403131966903	0.0	0.1504426589246473	0.1504426589246473	0.14472624540557452	0.010538575123461305	0.0	0.021703939090747814	0.005272269952607805	0.18701288855756448	0.12591373831535546	0.18245352492262748	0.18245352492262748	0.18245352492262748	0.06519479311671966	0.46474117473248444	0.5473358700407703	0.30948366022007234	0.1325019845138683	0.316342893664491	0.15919289847158538	0.18701288855756448	0.1430762460831204	0.1430762460831204	0.35694386091175306	0.2459464762335122	0.1680892746344495	0.19291489143282176	0.19291489143282176	0.28128487453433476	0.31121241672489575	0.23883841938778597	0.18867484535702017	0.18867484535702017	0.18867484535702017	0.18867484535702017	0.18605537640156036	0.18867484535702017	0.18605537640156036	0.18867484535702017	0.0877770877739946	0.03535377967271879	0.32453424286455307	0.15306899731295331	0.4238127271073722	0.2706683102213536	0.2958089169598255	0.3977731870373713	0.18699926565469602	0.14264681509974367	0.14264681509974367	0.18245352492262748	0.18245352492262748	0.2405522506225464	0.15267348589737784	0.23889010103819286	0.1569397643851574	0.44599894641206816	0.15053265026449672	0.19240541888861148	0.19030911201848083	0.28495553951046526	0.28495553951046526	0.3664425206613565	0.13218944375836092	0.49111116510655384	0.2218661393984211	0.1358356830618709	0.18867484535702017	0.19291489143282176	0.14873878179538824	0.19291489143282176	0.14873878179538824	0.18867484535702017	0.14873878179538824	0.18867484535702017	0.14873878179538824	0.14873878179538824	0.143654808362035	0.18345096726844615	0.17714222557103987	0.1845160079843209	0.17714222557103987	0.17916408227968672	0.17714222557103987	0.1845160079843209	0.17247533255504646	0.17685642830972756	0.0	0.027013319823397376	0.03708729401317377	0.23425985790791531	0.24464975144226989	0.17071682701207283	0.15994647330336387	0.17333929206555318	0.13459123674776824	0.11899469712846854	0.07988988683677356	0.05434459493708464	0.12836400314776375	0.05434459493708464	0.027013319823397376	0.11374467969736488
G1-139	0.06993708834456845	0.18279351298360771	0.01912310960036674	0.021703939090747814	0.16965816136883663	0.16965816136883663	0.15302741630730948	0.021639627007962705	0.021703939090747814	0.0	0.016491394573884714	0.16616689811274402	0.13583273000223212	0.19173091211585333	0.19173091211585333	0.19173091211585333	0.07524849882489351	0.468154151855566	0.5505754247878117	0.31527242696365015	0.14161879575582195	0.3236787125497948	0.16776010380918324	0.16616689811274402	0.13203479984833885	0.13203479984833885	0.34865024296725394	0.2532826131072827	0.18701288855756448	0.1768024043080093	0.1768024043080093	0.26714421610780187	0.2994668071144581	0.23333719218290572	0.18204200177950375	0.18204200177950375	0.18204200177950375	0.18204200177950375	0.1794294798901532	0.18204200177950375	0.1794294798901532	0.18204200177950375	0.09122373163881399	0.039198537539378714	0.32622791650012295	0.13728656965425684	0.41846272373460053	0.27278222272943925	0.30907052415856423	0.41003167387971523	0.1804223317687354	0.1521179968500776	0.1521179968500776	0.19173091211585333	0.19173091211585333	0.24799320517816878	0.13221088693622385	0.23230482027441715	0.13660215349862262	0.4327315551872963	0.13474383509773108	0.17158741551956982	0.17418988241865876	0.29311198680857814	0.29311198680857814	0.36068429206048347	0.1257064045212614	0.5005516697465333	0.23942092568892678	0.1389173595031174	0.18204200177950375	0.1768024043080093	0.14238620369267857	0.1768024043080093	0.14238620369267857	0.18204200177950375	0.14238620369267857	0.18204200177950375	0.14238620369267857	0.14238620369267857	0.14201256081864264	0.18155539140360202	0.17982362144894118	0.17827368038717978	0.17982362144894118	0.18182410019421238	0.17982362144894118	0.17827368038717978	0.1818003440407014	0.186083257258869	0.021703939090747814	0.047705458293919326	0.037795471059753054	0.237812006215993	0.2519893865964697	0.1849066133569746	0.1680742456211518	0.18279351298360771	0.14366441728784854	0.1290704376147159	0.0997306523933546	0.07514963286143155	0.14742428025765802	0.07514963286143155	0.047705458293919326	0.13356719478688076
