	G1-11	G1-12	G1-13	G1-130	G1-131	G1-132	G1-135	G1-136	G1-138	G1-139	G1-14	G1-140	G1-141	G1-142	G1-143	G1-144	G1-15	G1-175	G1-176	G1-177	G1-178	G1-180	G1-182	G1-187	G1-188	G1-189	G1-190	G1-192	G1-193	G2-1100	G2-1101	G2-1102	G2-1103	G2-1104	G2-1105	G2-1106	G2-1107	G2-1108	G2-1109	G2-1110	G2-1111	G2-1113	G2-194	G2-197	G2-198	G2-199	G2-21	G2-210	G2-211	G2-212	G2-213	G2-214	G2-215	G2-216	G2-217	G2-218	G2-219	G2-22	G2-220	G2-221	G2-222	G2-223	G2-224	G2-23	G2-24	G2-25	G2-26	G2-27	G2-28	G2-29	G2-313	G2-314	G2-315	G2-316	G2-317	G2-318	G2-319	G2-320	G2-321	G2-322	G2-323	G2-324	G2-325	G2-326	G2-327	G2-328	G2-329	G2-330	G2-413	G2-414	G2-415	G2-416	G3-417	G3-418	G3-419	G3-420	G3-421	G3-422	G3-423	G3-424	G3-425	G3-426	G3-427	G3-428	G3-429	G3-430
G1-11	0.0	0.12881746270866576	0.11519479444201836	0.25236137786223467	0.15765952688714993	0.2664582849597804	0.16401650553108418	0.04187783439161729	0.15125834853466608	0.12394499635654814	0.06877064654538914	0.0864664480795488	0.17194873336304464	0.1735801723328804	0.06361627932665463	0.14245479101232641	0.0686586410311678	0.15995717988937463	0.1730168407970197	0.10174227529848759	0.03213890757699086	0.17098401782547334	0.16974366946683087	0.0484134600201752	0.10558943721424154	0.03472115871275025	0.034224907715257054	0.061068527291326065	0.09142118624535348	0.03742673979895875	0.04294547859730652	0.03759483674285373	0.04750863816732441	0.16004206570946944	0.18435216977371086	0.168185432279224	0.17177804061133214	0.18075956144160263	0.16806134125640182	0.17896325727554857	0.16267242875823953	0.17716695310949446	0.04573978751658	0.1547945445468403	0.17529125537730467	0.06533030762652164	0.16961294867254245	0.1752433049253725	0.16596825286127262	0.17418213700824356	0.18155173661411497	0.15569928942761443	0.1763706261260938	0.17949742097128424	0.18482212634541692	0.19000297886694473	0.14591384395693904	0.16675123786818336	0.14782007851488535	0.08301832919607112	0.1598035875900821	0.0927255679279465	0.16005141488033947	0.16785678299054024	0.19514387965941885	0.16249337680787654	0.22089584934640394	0.1759189445958538	0.1736127561856173	0.1670818035063086	0.18435216977371086	0.10155506588793248	0.15264733882455517	0.08176229761187948	0.18318450964747485	0.16998173644527806	0.18138820548142073	0.16459282394711577	0.1598325554887716	0.14725842632639288	0.13440626883366932	0.05030159628564398	0.07667667208864719	0.04652180818930674	0.07990373604735834	0.0787826447540994	0.06487298687169923	0.13497197408503622	0.12160931226058685	0.08104788522013935	0.12242098304674656	0.193635545023747	0.08922280289956606	0.044684749619902445	0.06246740236973961	0.056531435666005804	0.032046465122577035	0.06408857081516477	0.043228216362607916	0.0735988234583325	0.06844684274469576	0.024893435669535176	0.06260778077856448	0.05951271071296948	0.12257720804645077	0.09237245332927842
G1-12	0.12881746270866576	0.0	0.24247757021887267	0.2637081992215557	0.10914428554225947	0.27773883027789337	0.10788274428419278	0.1008539573695662	0.1248830032211816	0.2290824742524873	0.08864970512284685	0.19039843342276958	0.2755557262142938	0.27718716518412956	0.16722327217790373	0.24606178386357552	0.13692186984815802	0.10385581521919067	0.05069256985595199	0.20584778635189907	0.1363922294444935	0.04616107222872402	0.04389680681282145	0.08558520768245623	0.209702558749234	0.10142719955551573	0.14137778241697382	0.16764612019723155	0.038389262200804075	0.12627799797883188	0.11426141044324713	0.1218741268864979	0.12609720279160186	0.05182223330210072	0.05915665505244573	0.042989917557958855	0.046582525890067054	0.05556404672033752	0.042865826535136695	0.053767742554283425	0.0374769140369744	0.05197143838822933	0.08416123661617309	0.03859654689785283	0.048180402292400414	0.09520602363114535	0.06852173129890894	0.04813245179046822	0.04630609481333824	0.04905168400977689	0.2844018353993656	0.2602964822970824	0.2809678189955617	0.2829324785715507	0.28774137819273543	0.29339662497953417	0.25141592709049393	0.09729791030191115	0.2524656514780534	0.18745999834033047	0.26444916035325006	0.19597987132939998	0.26343940797962484	0.09654601240813146	0.1299704701404364	0.05664450373841436	0.15654469733873919	0.048648220078412595	0.04848230438715063	0.04211799890284685	0.05915665505244573	0.061137673797868684	0.02844202412150888	0.0785670656008451	0.05897919494442857	0.04478622172401295	0.05718289077837444	0.039397309225850656	0.03562724078572528	0.02305311162334657	0.02198032348154521	0.10088194177096793	0.17992901192683725	0.14957557654401243	0.1832886279679644	0.13314697598464215	0.16825787879230536	0.05186712710552543	0.03107703505193475	0.18558760617753223	0.12886638666757658	0.13599261187116252	0.1954288661283999	0.14275318812716764	0.0862964926849311	0.16017150237782402	0.1121054707661821	0.1676955636664139	0.1402247052823842	0.08016275118933551	0.184076455898792	0.14467284275223466	0.16852629723215154	0.1650693432468705	0.2304956584483156	0.1963105697464279
G1-13	0.11519479444201836	0.24247757021887267	0.0	0.16944710499490132	0.19760909448379865	0.16747309750056838	0.240495342336462	0.14587343962881713	0.17510849172329962	0.1428269148708622	0.1713002966229956	0.14166344357586724	0.16703515188721157	0.16935197103141705	0.1432571681762087	0.15103592922951586	0.14169510125854717	0.23263459251076082	0.28667694830722656	0.13867477613810672	0.1327362077693837	0.2846441253356803	0.2827183968026679	0.16282619768242163	0.1435613706391153	0.14904156371955601	0.13406015648674502	0.14070941614088014	0.2055512145518393	0.14178370705930304	0.1548918234734799	0.14764383721506985	0.15227641110152987	0.26771388456961326	0.29626536002024767	0.2800986225257608	0.28369123085786896	0.29267275168813955	0.2799745315029386	0.2908764475220853	0.2745856190047763	0.2890801433560312	0.16052203289177533	0.26755427852577296	0.2904528951896865	0.17727665250269498	0.27261531995957655	0.28971956456338444	0.2811298926736544	0.2893437768206254	0.1765666412466532	0.1562745904456459	0.17214242482463052	0.1750972844188383	0.1799061840400231	0.18457123080860302	0.15000799224007405	0.26944526258847334	0.15194738137765698	0.1473710319460738	0.15912738828335896	0.14192695211739914	0.15854147702406385	0.27055080771083023	0.26728307765079673	0.26572287963114105	0.26420092896908665	0.2797706311163533	0.2880890158236293	0.2822434433186904	0.29626536002024767	0.21346825613446926	0.26456052907109207	0.19367548785841626	0.2950976998940117	0.28189492669181493	0.29330139572795766	0.27650601419365256	0.27174574573530846	0.25917161657292975	0.24748522957165278	0.16261416704500167	0.12351762363988152	0.1410287380293745	0.12505809152229092	0.15523670234613135	0.12652392656357572	0.2359190815416561	0.23460548474159706	0.1411599021136312	0.17690666755503467	0.22904896970535354	0.12094260181850741	0.11837175158907615	0.17539793837476772	0.13787188037617837	0.14502487301125702	0.13910766979972694	0.13916728537616507	0.17830479737092292	0.12754605876597278	0.11856481504754733	0.13661110063192047	0.13671016068234748	0.13725248277495522	0.1409032589932183
G1-130	0.25236137786223467	0.2637081992215557	0.16944710499490132	0.0	0.17239979251812915	0.014262276400391188	0.24521373621641823	0.24775935405354355	0.16008417171748374	0.28785060045245997	0.24968356010374695	0.286617975845397	0.3274498291561694	0.32976664830037483	0.2881431949201465	0.29864126697982085	0.25635885753076243	0.20832895441846938	0.25857662150702065	0.2830608589470296	0.2771222905783067	0.2565437985354742	0.2546180700024619	0.27559502714674566	0.28824991338311323	0.2763515464428635	0.278446238945668	0.2855954428848179	0.2679875455042698	0.28730733657591556	0.2871340408123916	0.28747543246981055	0.2598531510389971	0.2550894861301626	0.2780489172359281	0.27895827982705673	0.27875619925125034	0.27825099781173446	0.27883418880423455	0.27835203809963766	0.27913730966794403	0.2784530783875408	0.26849463073918034	0.2465074535040836	0.261816692352168	0.28485339164016216	0.2526367730628935	0.26108336172586594	0.2543910342900931	0.2607075739831068	0.3369813185156109	0.3118857653951089	0.33255710209358824	0.33551196168779607	0.3403208613089808	0.34515784332854327	0.30215331619443736	0.24956949788070504	0.30419324065021575	0.2927941263444911	0.31617674957541236	0.2865827224851379	0.31615719722000607	0.25067504300306187	0.2474073129430284	0.24574433273445806	0.25032641204682893	0.25935899037127247	0.2594528129861108	0.25929927384304363	0.2780489172359281	0.2828638827267638	0.27859894200404606	0.2840087483431567	0.2768812571096922	0.2788572395391535	0.2769822973975953	0.279160360402863	0.2781947808524334	0.2789020628677556	0.2742388337060849	0.282537627007346	0.27619889181386653	0.2859839178353802	0.27740702255995875	0.2720678284120355	0.27893900532238164	0.2771555011066205	0.27473862220692685	0.28588412223988585	0.24786528950505948	0.2547042703079573	0.27388747146444764	0.27148408222119513	0.2761450991926734	0.2822248893245322	0.2647454783687356	0.28349375260864984	0.28165602378113075	0.27315093286004344	0.2715682007885658	0.26258695707014035	0.28066631651508256	0.2807653765655097	0.28160549172330906	0.28495847487638054
G1-131	0.15765952688714993	0.10914428554225947	0.19760909448379865	0.17239979251812915	0.0	0.18133782359271408	0.13834364587499196	0.12685888712642146	0.02748672518899564	0.2798531693264875	0.10462506450958015	0.2419293967957962	0.3269114312907754	0.3290563151839983	0.2082605013658661	0.29449222884379156	0.17112105021045526	0.05832978919313786	0.10211536337376707	0.25567808357944394	0.18831204707071258	0.10008254040222075	0.1000541563231657	0.1381092759303057	0.2594229598510983	0.15102337045670877	0.1868250439851373	0.20571274933053754	0.11329133638269724	0.1724325537598208	0.16041596622423604	0.16802868266748675	0.15022018635734077	0.09412514381903635	0.11708457492480194	0.11799393751593049	0.11779185694012416	0.1172866555006083	0.11786984649310833	0.11738769578851146	0.11817296735681787	0.11748873607641465	0.13413491674943862	0.09071426943129587	0.10340100407789694	0.14037037939391545	0.09254304967996159	0.10280597957573079	0.09539644389395448	0.1022227326467679	0.3375436852181809	0.30945607976890593	0.33236257473015957	0.33548936957535014	0.34081407494948274	0.3459949274710105	0.3010375387475251	0.11449943419299217	0.30328302758113274	0.23444186518572738	0.31557488307307363	0.24871248685093064	0.31534976633983786	0.11480439559543325	0.1467623492116947	0.0843144408956348	0.17386442181906253	0.09865079491996304	0.0995924896419107	0.10075323094615934	0.11708457492480194	0.12189954041563769	0.1176345996929199	0.12712337254158135	0.11591691479856595	0.11789289722802734	0.11601795508646914	0.11819601809173687	0.11723043854130721	0.1179377205566294	0.11274121692094291	0.1469370834901448	0.22595321431824208	0.1936739918018919	0.22948881732380208	0.17666770721428243	0.21431865149145174	0.1145997709101662	0.10879525922691004	0.23506260207981372	0.16697600025392773	0.1793728841582527	0.23938055467888328	0.18902457629864428	0.12516932461702748	0.21148648660819808	0.14420357369950532	0.2176734264054736	0.18482959561215215	0.1150315588079696	0.2241678269961764	0.18142038439831293	0.21719136599430483	0.21515594946762898	0.27651301612740725	0.24764614037851007
G1-132	0.2664582849597804	0.27773883027789337	0.16747309750056838	0.014262276400391188	0.18133782359271408	0.0	0.2551320862265372	0.2577108420842664	0.17032127632296162	0.30188123150879753	0.25976740773678114	0.3006486071517348	0.32890827495646346	0.3312250941006689	0.30180720039747333	0.3095859614507803	0.2662772075408813	0.22235958537480704	0.2707099081094011	0.2970914900033674	0.2911529216346443	0.26867708513785465	0.2686487010587996	0.2896256584530835	0.3020472374664439	0.2903821777492012	0.29247687015200563	0.29925944836214474	0.2822498219046611	0.3009713420532424	0.3007980462897184	0.3011394379471375	0.27351715651632397	0.2687534918074894	0.291712922713255	0.2926222853043836	0.2924202047285772	0.2919150032890614	0.29249819428156143	0.29201604357696453	0.29280131514527086	0.2921170838648677	0.28275690713957147	0.2607697299044748	0.27418162429860193	0.298517397117489	0.2606577786190551	0.2734482936722999	0.2686533106904843	0.27307250592954074	0.33843976431590495	0.3141447949153186	0.33401554789388227	0.33697040748809015	0.34177930710927473	0.34661628912883724	0.3084152643142264	0.2575905034368666	0.31045518877000466	0.30645813182181786	0.3176351953757065	0.30061335369147546	0.3176156430203001	0.2586960485592235	0.25542831849919	0.2537653382906197	0.2542740504385264	0.2676116412714875	0.2718177449325448	0.27356155024343487	0.291712922713255	0.2965278882040907	0.29226294748137294	0.2976727538204835	0.29054526258701896	0.29252124501648036	0.29064630287492216	0.2928243658801899	0.2918587863297602	0.2925660683450824	0.28833574080363056	0.2964345565208858	0.2859834761711527	0.29964792331270707	0.28752394405356196	0.2817191584733525	0.2889897790948467	0.28670722553772865	0.2887688700264708	0.3000802509191389	0.2578167775357824	0.25544957381999156	0.28380582147456657	0.2814024322313139	0.29017573024901117	0.2962555203808699	0.27877610942507325	0.29752438366498757	0.29568665483746837	0.2830692828701623	0.285830477188957	0.27684923347053164	0.29489551905490463	0.2949945791053317	0.2956361227796466	0.29918767741620245
G1-135	0.16401650553108418	0.10788274428419278	0.240495342336462	0.24521373621641823	0.13834364587499196	0.2551320862265372	0.0	0.12934828612576196	0.14120703794115153	0.2427459243801276	0.1131536371324798	0.20515544818944595	0.28993787609224725	0.2920827599854701	0.1906889177583284	0.25751867364526326	0.10476251133985223	0.14457403045933565	0.12327555501710027	0.21892648425915817	0.174070827994994	0.11970054036904992	0.1177748118360376	0.14990362444291896	0.22220474568479867	0.15591262512579915	0.17186157197453897	0.18610714931212258	0.1274491680276873	0.1733694590232569	0.1677575412469985	0.17136733909067026	0.1641052896731284	0.1167419728660303	0.12911623149496612	0.11484683855443652	0.11654210238258744	0.12552362316285792	0.11472274753161436	0.12372731899680381	0.11502586839532386	0.12193101483074971	0.14541472646909545	0.1062597095874699	0.12372682543053476	0.15707430003789594	0.08200432197451932	0.1231318009283686	0.1138473145767723	0.12051453758852844	0.30057013001965266	0.2722378655526062	0.29514436051385995	0.29851581437682195	0.30384051975095455	0.30698735586160514	0.26368563468339357	0.04967126367225863	0.26593112346700126	0.204009875600729	0.27822297895894216	0.21210518643958542	0.27824252124347776	0.050988216662689934	0.03801580171483931	0.104181470574062	0.06238721130392123	0.111437434354533	0.11967365197677701	0.11324501546519658	0.12911623149496612	0.14105306735884127	0.1176419804716134	0.14967603824274395	0.12770391235095865	0.11474579826653335	0.12590760818490457	0.11504891913024286	0.11451850831363351	0.11998458459009832	0.11797362331999892	0.15928212677144193	0.16378602613091145	0.18101749095124675	0.17499317065685066	0.11123484722783035	0.16583455200415248	0.11159556556636874	0.12079122760636546	0.19932062590900085	0.06375550269986321	0.04570484783026266	0.18146724533365763	0.13828155490790411	0.14578110054767643	0.18738825702243245	0.15141311633535406	0.1901728845560389	0.1669699714881851	0.13143010207353326	0.19227403642595015	0.17291088362220117	0.18911002176737943	0.18895376158730762	0.23929480191110747	0.21150365121918935
G1-136	0.04187783439161729	0.1008539573695662	0.14587343962881713	0.24775935405354355	0.12685888712642146	0.2577108420842664	0.12934828612576196	0.0	0.12042457075333367	0.1606652732646525	0.028564553781829424	0.12477199720684727	0.20956659415282136	0.21188341329702692	0.10191952029080113	0.18075803197647292	0.04795166200513823	0.13252916650556737	0.14505333545792012	0.1381613109905073	0.0699287031177502	0.1430205124863738	0.1410947839533615	0.039120083234985774	0.14396183124045597	0.04508601744952351	0.07259730179147149	0.09937176825547256	0.06362330749923897	0.06306254552526493	0.05651426277454062	0.06012406061821244	0.04632041422682986	0.13278539615315907	0.1564858605297025	0.1403191230352156	0.1439117313673238	0.15289325219759425	0.14019503201239344	0.1510969480315402	0.13480611951423113	0.14930064386548608	0.03312066520212366	0.12483774243870165	0.14732144073020761	0.04947481949116858	0.12931260019478644	0.14658811010390557	0.1379984382141755	0.14621232236114645	0.22002691282924408	0.19400253039176096	0.2148458023412229	0.21797259718641337	0.22329730256054606	0.22847815508207384	0.18428623798315347	0.1272514731103431	0.18492188282205424	0.12139072322228554	0.19690539174725094	0.13109796200416088	0.1984238089065539	0.12755643451278417	0.16064759550507923	0.1224582405800626	0.18629678300314967	0.13578422206108282	0.1449575613641504	0.13911198885921147	0.1564858605297025	0.07368875719392409	0.12478102958054683	0.05389598941787105	0.1553182004034665	0.14211542720126968	0.15352189623741236	0.13672651470310743	0.13196624624476322	0.11939211708238451	0.10663937365147294	0.04974421463983716	0.10274529683677418	0.08283806169241176	0.10610491287790134	0.059395473513107214	0.09107416370224224	0.09476882170237133	0.09377326401632252	0.11911387569813141	0.08792469954240695	0.15913926086940738	0.1153611359760387	0.06470463293204884	0.04212131932949237	0.0948346766301523	0.0381463794666343	0.10239181177931125	0.07057959299188563	0.037438800409818486	0.10691570965182733	0.06353423782764941	0.10107664768569605	0.09798157762010104	0.1589962437384705	0.13032787531302287
G1-138	0.15125834853466608	0.1248830032211816	0.17510849172329962	0.16008417171748374	0.02748672518899564	0.17032127632296162	0.14120703794115153	0.12042457075333367	0.0	0.27248581542976913	0.10248196879792847	0.23492866892808847	0.31897747343104005	0.321122357324263	0.19946686725121765	0.28655827098405623	0.1641203225427476	0.0751957919799671	0.1292381477764329	0.2488106742677403	0.1818445926770207	0.12720532480488653	0.12527959627187418	0.13644532430610865	0.25172230966437	0.14455591651301697	0.18009095317943757	0.19691911521588906	0.12939399484794922	0.1615179124215588	0.149501324885974	0.15711404132922477	0.1399222381525671	0.10548333413139026	0.12837610565915392	0.12928546825028248	0.12908338767447614	0.12857818623496023	0.1291613772274603	0.12867922652286343	0.1294644980911698	0.1287802668107666	0.13196817402051744	0.10871427235050517	0.1308877292668926	0.13586040781497974	0.11966583408262736	0.13029270476472643	0.11908848017503561	0.12970945783576351	0.3296097273584455	0.3015221219091706	0.3244286168704244	0.3275554117156148	0.3328801170897476	0.3380609696112753	0.2931035808877898	0.12961346279692101	0.29534906972139746	0.22650790737599222	0.3076409252133384	0.24187840717822806	0.30741580848010247	0.12991842419936211	0.1618763778156236	0.1114372252983006	0.18561460255299064	0.1261375201089587	0.1270792148309063	0.12065057831932588	0.12837610565915392	0.13319107114998957	0.1289261304272718	0.13433593676638245	0.12720844553291794	0.12918442796237928	0.12730948582082108	0.12948754882608882	0.12852196927565915	0.1292292512909813	0.12509891266653245	0.13857321577841858	0.21835210530168792	0.1844038654862653	0.222320034110568	0.16893334385175912	0.20721703891308346	0.12405578865799728	0.11854758262051199	0.22819404134602042	0.16980587096268931	0.18163634262239453	0.23194654170416287	0.18255712190495244	0.12098605434894834	0.20501903221450626	0.13750281233280653	0.21100599462777592	0.17756223083243663	0.11508079289741731	0.21783177260110323	0.17531687079095093	0.21088915299509642	0.20888706635742152	0.2690456733636857	0.24104396062829278
G1-139	0.12394499635654814	0.2290824742524873	0.1428269148708622	0.28785060045245997	0.2798531693264875	0.30188123150879753	0.2427459243801276	0.1606652732646525	0.27248581542976913	0.0	0.18550880743245446	0.04158078017580397	0.05045604833393092	0.05277286797813644	0.07682245090646392	0.02164749040758245	0.14777789366364447	0.2742316717597437	0.2787848440902205	0.030048303429667536	0.09416172250698017	0.2742196294239512	0.27130370087272004	0.14799034476260373	0.02500496143995754	0.13443940027612244	0.10345514805839519	0.08194713336944479	0.19208647421714325	0.12564955868354524	0.13991972506360412	0.13267173880519406	0.15779399461214727	0.2712632514391154	0.28239593542266345	0.26622919792817656	0.26982180626028474	0.27880332709055516	0.26610510690535444	0.2770070229245011	0.26071619440719207	0.27521071875844694	0.1489186692832048	0.2640289349580165	0.2764649558816029	0.16230455409281927	0.26980642619099826	0.2755074848198436	0.2733792209120407	0.2764581077484892	0.06008103185347339	0.03489198482287051	0.05556332127134986	0.058518180865557656	0.06353264486457186	0.06850603819989588	0.024985913975379644	0.2662187990199064	0.02486563064341012	0.07159202928465531	0.03688234377956468	0.03435491033005936	0.03819968750247697	0.267436414359992	0.2641686842999585	0.2739686161239971	0.27182037906587053	0.27617546464154547	0.27520334675149305	0.26890949337563974	0.28239593542266345	0.199598831536885	0.25069110447350773	0.17980606326083198	0.28122827529642735	0.2680255020942306	0.27943197113037327	0.2626365895960683	0.2578763211377241	0.24530219197534545	0.23304900959265473	0.14847791401701252	0.08991639902629667	0.10196725097512799	0.07536630741386548	0.1515144703896932	0.09390824234076563	0.23233035955961898	0.22089626434624707	0.04736197656404423	0.1822379952229012	0.2508268216536737	0.06305199034042973	0.112846102739707	0.16272978787945794	0.07083722825441578	0.14101786628248608	0.06448363991213531	0.12792405827601347	0.17200163155603373	0.05733611395730853	0.10028214601838337	0.06490775303710884	0.06591395752327442	0.007572153209115797	0.03405751155895706
