	G1-11	G1-12	G1-13	G1-130	G1-131	G1-132	G1-135	G1-136	G1-138	G1-139	G1-14	G1-140	G1-141	G1-142	G1-143	G1-144	G1-15	G1-175	G1-176	G1-177	G1-178	G1-180	G1-182	G1-187	G1-188	G1-189	G1-190	G1-192	G1-193	G2-1100	G2-1101	G2-1102	G2-1103	G2-1104	G2-1105	G2-1106	G2-1107	G2-1108	G2-1109	G2-1110	G2-1111	G2-1113	G2-194	G2-197	G2-198	G2-199	G2-21	G2-210	G2-211	G2-212	G2-213	G2-214	G2-215	G2-216	G2-217	G2-218	G2-219	G2-22	G2-220	G2-221	G2-222	G2-223	G2-224	G2-23	G2-24	G2-25	G2-26	G2-27	G2-28	G2-29	G2-313	G2-314	G2-315	G2-316	G2-317	G2-318	G2-319	G2-320	G2-321	G2-322	G2-323	G2-324	G2-325	G2-326	G2-327	G2-328	G2-329	G2-330	G2-413	G2-414	G2-415	G2-416	G3-417	G3-418	G3-419	G3-420	G3-421	G3-422	G3-423	G3-424	G3-425	G3-426	G3-427	G3-428	G3-429	G3-430
G1-11	0.0	0.525	0.355	0.81	0.615	0.76	0.72	0.345	0.775	0.37	0.465	0.29	0.55	0.555	0.555	0.555	0.41	0.625	0.635	0.35	0.21	0.63	0.63	0.445	0.47	0.25	0.295	0.55	0.32	0.57	0.76	0.715	0.655	0.875	0.92	0.955	0.92	0.965	0.955	0.975	0.93	0.94	0.15	0.555	0.605	0.79	0.635	0.605	0.595	0.6	0.54	0.555	0.555	0.555	0.55	0.555	0.5	0.64	0.475	0.44	0.505	0.39	0.555	0.64	0.725	0.625	0.92	0.6	0.6	0.59	0.925	0.77	0.895	0.645	0.93	0.95	0.955	0.91	0.89	0.86	0.7	0.55	0.465	0.575	0.465	0.52	0.44	0.83	0.675	0.26	0.555	0.855	0.38	0.23	0.515	0.23	0.295	0.245	0.405	0.545	0.255	0.19	0.285	0.285	0.395	0.34
G1-12	0.525	0.0	0.83	0.93	0.75	0.885	0.765	0.355	0.9	0.74	0.695	0.675	0.91	0.915	0.915	0.915	0.76	0.31	0.115	0.715	0.575	0.115	0.11	0.56	0.82	0.595	0.655	0.91	0.285	0.89	0.89	0.89	0.865	0.885	0.92	0.955	0.92	0.965	0.955	0.975	0.93	0.94	0.48	0.335	0.315	0.89	0.4	0.28	0.375	0.35	0.895	0.915	0.915	0.915	0.91	0.915	0.87	0.48	0.865	0.815	0.855	0.735	0.895	0.43	0.725	0.335	0.92	0.445	0.385	0.4	0.94	0.89	0.905	0.895	0.935	0.955	0.955	0.91	0.915	0.915	0.8	0.805	0.825	0.915	0.825	0.88	0.8	0.91	0.82	0.685	0.76	0.875	0.735	0.58	0.715	0.6	0.66	0.61	0.74	0.825	0.725	0.63	0.66	0.675	0.775	0.72
G1-13	0.355	0.83	0.0	0.585	0.675	0.565	0.735	0.62	0.53	0.4	0.55	0.395	0.5	0.505	0.505	0.505	0.44	0.93	0.94	0.44	0.48	0.91	0.93	0.735	0.435	0.445	0.44	0.505	0.645	0.575	0.78	0.735	0.67	0.86	0.92	0.955	0.92	0.965	0.955	0.975	0.93	0.94	0.49	0.875	0.935	0.81	0.86	0.935	0.93	0.925	0.49	0.505	0.505	0.505	0.505	0.505	0.44	0.86	0.435	0.415	0.525	0.425	0.49	0.86	0.86	0.855	0.845	0.855	0.93	0.92	0.945	0.775	0.905	0.65	0.93	0.955	0.96	0.915	0.89	0.86	0.765	0.615	0.365	0.51	0.365	0.445	0.375	0.755	0.735	0.39	0.585	0.785	0.35	0.425	0.67	0.44	0.435	0.435	0.515	0.515	0.35	0.38	0.44	0.43	0.43	0.425
G1-130	0.81	0.93	0.585	0.0	0.67	0.065	0.865	0.855	0.505	0.925	0.835	0.92	0.98	0.985	0.985	0.985	0.825	0.925	0.935	0.92	0.91	0.91	0.925	0.92	0.925	0.93	0.92	0.985	0.91	0.995	0.995	0.995	0.965	0.9	0.995	0.995	0.995	0.995	0.995	0.995	0.995	0.995	0.895	0.885	0.915	0.995	0.9	0.915	0.91	0.905	0.97	0.985	0.985	0.985	0.985	0.985	0.975	0.9	0.975	0.93	0.96	0.925	0.995	0.9	0.9	0.9	0.895	0.88	0.91	0.91	0.985	0.995	0.995	0.995	0.99	0.995	0.995	0.995	0.995	0.995	0.915	0.92	0.885	0.995	0.885	0.92	0.885	0.96	0.91	0.91	0.875	0.93	0.88	0.875	0.92	0.915	0.905	0.915	0.9	0.885	0.82	0.85	0.91	0.9	0.905	0.895
G1-131	0.615	0.75	0.675	0.67	0.0	0.645	0.625	0.635	0.225	0.845	0.34	0.77	0.96	0.945	0.6	0.82	0.675	0.74	0.75	0.785	0.715	0.725	0.745	0.73	0.915	0.75	0.735	0.6	0.695	1.0	1.0	1.0	0.97	0.905	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.66	0.625	0.615	1.0	0.7	0.635	0.575	0.605	0.97	0.915	0.92	0.94	0.97	0.98	0.98	0.7	0.98	0.925	0.965	0.84	1.0	0.7	0.7	0.7	0.885	0.605	0.58	0.565	0.99	1.0	1.0	1.0	0.995	1.0	1.0	1.0	1.0	1.0	0.84	0.87	0.825	1.0	0.84	0.905	0.795	0.95	0.445	0.66	0.775	0.92	0.77	0.655	0.365	0.65	0.59	0.67	0.695	0.42	0.655	0.62	0.65	0.645	0.8	0.695
G1-132	0.76	0.885	0.565	0.065	0.645	0.0	0.825	0.795	0.495	0.865	0.79	0.865	0.975	0.98	0.98	0.98	0.775	0.9	0.91	0.87	0.86	0.88	0.9	0.865	0.875	0.885	0.87	0.98	0.86	0.96	0.96	0.96	0.93	0.895	0.985	0.985	0.985	0.985	0.985	0.985	0.985	0.985	0.84	0.85	0.89	0.96	0.875	0.89	0.885	0.88	0.965	0.98	0.98	0.98	0.98	0.98	0.96	0.875	0.945	0.885	0.925	0.885	0.98	0.875	0.875	0.855	0.885	0.855	0.885	0.875	0.96	0.96	0.97	0.96	0.96	0.965	0.985	0.985	0.985	0.985	0.875	0.88	0.835	0.985	0.83	0.895	0.825	0.93	0.87	0.85	0.825	0.9	0.845	0.835	0.87	0.865	0.855	0.865	0.85	0.84	0.765	0.795	0.87	0.845	0.855	0.845
G1-135	0.72	0.765	0.735	0.865	0.625	0.825	0.0	0.645	0.645	0.76	0.44	0.75	0.88	0.865	0.74	0.74	0.505	0.86	0.87	0.76	0.75	0.845	0.86	0.745	0.82	0.79	0.775	0.735	0.77	0.895	0.89	0.89	0.855	0.85	0.92	0.955	0.92	0.965	0.955	0.975	0.93	0.94	0.735	0.745	0.775	0.89	0.525	0.795	0.725	0.76	0.885	0.835	0.84	0.86	0.885	0.9	0.87	0.395	0.865	0.815	0.855	0.765	0.9	0.445	0.32	0.775	0.365	0.645	0.735	0.71	0.93	0.89	0.91	0.9	0.93	0.955	0.955	0.915	0.92	0.92	0.79	0.8	0.585	0.92	0.66	0.58	0.575	0.83	0.635	0.64	0.235	0.325	0.545	0.505	0.605	0.685	0.62	0.705	0.645	0.575	0.735	0.745	0.7	0.705	0.715	0.71
G1-136	0.345	0.355	0.62	0.855	0.635	0.795	0.645	0.0	0.79	0.62	0.465	0.54	0.805	0.81	0.81	0.81	0.54	0.455	0.465	0.6	0.45	0.435	0.455	0.435	0.725	0.51	0.545	0.81	0.255	0.795	0.68	0.68	0.695	0.855	0.92	0.955	0.92	0.965	0.955	0.975	0.93	0.94	0.33	0.36	0.42	0.71	0.39	0.42	0.415	0.41	0.805	0.81	0.81	0.81	0.81	0.815	0.765	0.405	0.665	0.69	0.645	0.655	0.815	0.39	0.65	0.37	0.845	0.345	0.415	0.405	0.925	0.785	0.895	0.8	0.915	0.94	0.96	0.915	0.89	0.86	0.7	0.705	0.64	0.835	0.635	0.705	0.61	0.745	0.695	0.49	0.565	0.775	0.57	0.385	0.6	0.48	0.53	0.49	0.605	0.63	0.57	0.47	0.54	0.525	0.645	0.57
G1-138	0.775	0.9	0.53	0.505	0.225	0.495	0.645	0.79	0.0	0.895	0.45	0.885	0.93	0.915	0.57	0.79	0.715	0.925	0.935	0.875	0.865	0.905	0.925	0.88	0.895	0.9	0.885	0.57	0.885	0.965	0.965	0.965	0.935	0.875	0.97	0.97	0.97	0.97	0.97	0.975	0.97	0.97	0.85	0.82	0.84	0.965	0.875	0.86	0.795	0.83	0.94	0.885	0.89	0.91	0.94	0.95	0.95	0.875	0.945	0.9	0.93	0.9	0.97	0.875	0.875	0.87	0.86	0.82	0.805	0.775	0.96	0.965	0.965	0.965	0.96	0.965	0.97	0.97	0.97	0.97	0.895	0.9	0.835	0.97	0.835	0.87	0.835	0.905	0.435	0.78	0.815	0.875	0.83	0.8	0.44	0.8	0.735	0.82	0.76	0.38	0.775	0.81	0.825	0.82	0.83	0.825
G1-139	0.37	0.74	0.4	0.925	0.845	0.865	0.76	0.62	0.895	0.0	0.58	0.095	0.37	0.375	0.47	0.465	0.415	0.85	0.85	0.16	0.285	0.845	0.845	0.47	0.105	0.285	0.265	0.47	0.545	0.465	0.71	0.59	0.57	0.835	0.87	0.905	0.87	0.915	0.905	0.925	0.88	0.89	0.375	0.765	0.845	0.75	0.825	0.84	0.84	0.845	0.345	0.375	0.375	0.375	0.37	0.375	0.26	0.85	0.255	0.26	0.47	0.145	0.31	0.85	0.85	0.745	0.87	0.845	0.84	0.795	0.885	0.69	0.845	0.57	0.805	0.86	0.91	0.865	0.84	0.81	0.67	0.515	0.32	0.345	0.255	0.47	0.335	0.705	0.705	0.22	0.55	0.75	0.26	0.415	0.555	0.255	0.29	0.23	0.41	0.545	0.265	0.305	0.22	0.215	0.205	0.21
