	G1-11	G1-12	G1-13	G1-130	G1-131	G1-132	G1-135	G1-136	G1-138	G1-139	G1-14	G1-140	G1-141	G1-142	G1-143	G1-144	G1-15	G1-175	G1-176	G1-177	G1-178	G1-180	G1-182	G1-187	G1-188	G1-189	G1-190	G1-192	G1-193	G2-1100	G2-1101	G2-1102	G2-1103	G2-1104	G2-1105	G2-1106	G2-1107	G2-1108	G2-1109	G2-1110	G2-1111	G2-1113	G2-194	G2-197	G2-198	G2-199	G2-21	G2-210	G2-211	G2-212	G2-213	G2-214	G2-215	G2-216	G2-217	G2-218	G2-219	G2-22	G2-220	G2-221	G2-222	G2-223	G2-224	G2-23	G2-24	G2-25	G2-26	G2-27	G2-28	G2-29	G2-313	G2-314	G2-315	G2-316	G2-317	G2-318	G2-319	G2-320	G2-321	G2-322	G2-323	G2-324	G2-325	G2-326	G2-327	G2-328	G2-329	G2-330	G2-413	G2-414	G2-415	G2-416	G3-417	G3-418	G3-419	G3-420	G3-421	G3-422	G3-423	G3-424	G3-425	G3-426	G3-427	G3-428	G3-429	G3-430
G1-11	0.0	0.19220304125880616	0.08195438669680381	0.08791786817506585	0.2334229245180934	0.07941307188966636	0.05497080117888689	0.08415257858787535	0.0845393303494699	0.15705071741984192	0.07941307188966636	0.1615227337541633	0.16287979366360764	0.16555597758752158	0.16555597758752158	0.16555597758752158	0.14214145532039385	0.4757592214217743	0.3184606439486838	0.2429701861510485	0.1084133549870865	0.11190966967594045	0.24432927597662718	0.15705071741984192	0.06454008846111738	0.16793090096068886	0.3127619740043209	0.07270781441643533	0.14986703278145025	0.16302642877326837	0.16302642877326837	0.16302642877326837	0.26096873474332044	0.33474651238915426	0.17192234699032535	0.17192234699032535	0.17192234699032535	0.17192234699032535	0.17192234699032535	0.17192234699032535	0.17192234699032535	0.17192234699032535	0.01435178523300116	0.0690667085625874	0.3070102269886824	0.16302642877326837	0.40043126236495	0.31324005146340583	0.6623114581424048	0.3687242111512102	0.07832542310719781	0.16555597758752158	0.16555597758752158	0.16555597758752158	0.0809777398597203	0.16555597758752158	0.07359703227435596	0.3591612691919978	0.06759586276003823	0.32966801995918404	0.16035287219443484	0.06806461307007872	0.16656034013118437	0.3591612691919978	0.3591612691919978	0.23275552023140425	0.21254180371538067	0.25475563434857257	0.2611060801209563	0.16104345110297316	0.0702996918442243	0.16302642877326837	0.07563142619801272	0.16302642877326837	0.21172628468311022	0.16838843563240932	0.07916533755592872	0.07916533755592872	0.17192234699032535	0.17192234699032535	0.1220989892271612	0.2154025334820106	0.25085021310101197	0.22042200120458333	0.25085021310101197	0.25263453164529953	0.25085021310101197	0.2556226673785135	0.14986703278145025	0.14910405451046607	0.08686781578437731	0.1215988618830027	0.058480831046576275	0.18942459486051708	0.05895089319810605	0.0562685941274145	0.14471671036059833	0.13191005394759747	0.16048098824085186	0.24216617706420115	0.1312388818967072	0.033752411719426965	0.054423915373016545	0.033752411719426965	0.005410647379945777	0.19455085332032063
G1-12	0.19220304125880616	0.0	0.2510067201122006	0.260086481292285	0.38701987188227777	0.2526672021557723	0.2309531646401601	0.2560258591267541	0.2571391661115093	0.24599148225720907	0.2526672021557723	0.24963069325382328	0.25158525306203167	0.25401797454081704	0.25401797454081704	0.25401797454081704	0.2946675941122657	0.4171137162411679	0.19085859851002768	0.19391905910356327	0.1982349400237075	0.2562962725181778	0.11119399270056488	0.24599148225720907	0.16186906970653084	0.24706650738730385	0.36986944921712606	0.1696165554927087	0.24469289885191245	0.24277779008679368	0.24277779008679368	0.24277779008679368	0.31851177132169384	0.29049163375258824	0.25090612657802	0.25090612657802	0.25090612657802	0.25090612657802	0.25090612657802	0.25090612657802	0.25090612657802	0.25090612657802	0.20315143376839362	0.2423422622514922	0.3870883109650748	0.24277779008679368	0.4474040970294619	0.3920853629965011	0.6394183314366918	0.4294682251895877	0.17394097647264914	0.25401797454081704	0.25401797454081704	0.25401797454081704	0.17635395980721263	0.25401797454081704	0.16085244993138856	0.40794576874274907	0.1555814228116971	0.3580217593663963	0.24033492056272107	0.16507401508996725	0.24600677892711723	0.40794576874274907	0.40794576874274907	0.0855378003412872	0.2844104662725502	0.3356701680311763	0.3408291985272588	0.25405585688750376	0.16251488258672017	0.24277779008679368	0.1629236399866725	0.24277779008679368	0.28366194830553104	0.24767713773769645	0.16615262882699602	0.16615262882699602	0.25090612657802	0.25090612657802	0.2055481537984638	0.2905168241225241	0.31972929802792993	0.29119777473648417	0.31972929802792993	0.3212202926515546	0.31972929802792993	0.32044343944397025	0.24469289885191245	0.24353414616157146	0.25878801215185177	0.18846804108167195	0.23048373389624294	0.27617693329613896	0.1578316634513201	0.15987861012290955	0.2281389972960176	0.21756549649777637	0.24119095985948458	0.3162942146181241	0.2864172216104091	0.2214404090407679	0.15820705321728568	0.2214404090407679	0.19688990893217395	0.28084512318338734
G1-13	0.08195438669680381	0.2510067201122006	0.0	0.011350906700288443	0.1608708875454743	0.002611437367434055	0.0318621580466193	0.007887284187396697	0.007879144799609656	0.17694289002373073	0.002611437367434055	0.18120686656420626	0.18270477969216412	0.1853175852523737	0.1853175852523737	0.1853175852523737	0.06719812655406067	0.4739413928275461	0.37285333178116264	0.2862051472366655	0.08036739409054303	0.07048017123952907	0.2204161080063977	0.17694289002373073	0.13755568266061363	0.18756631969642792	0.301339622343643	0.14557008762423126	0.17493751310598457	0.1828289427656432	0.1828289427656432	0.1828289427656432	0.23804919568903135	0.3141855922945193	0.19151438654118333	0.19151438654118333	0.19151438654118333	0.19151438654118333	0.19151438654118333	0.19151438654118333	0.19151438654118333	0.19151438654118333	0.09485989868028197	0.04609655609036228	0.3279292558518492	0.1828289427656432	0.3782430129064538	0.33381280716587886	0.6798343592482728	0.34909960641193366	0.15029275730415692	0.1853175852523737	0.1853175852523737	0.1853175852523737	0.15281420023486755	0.1853175852523737	0.1461634637155019	0.28560168956281734	0.14064431951652	0.3423904076121633	0.18021864163881177	0.14090541484203217	0.1862792429660284	0.28560168956281734	0.28560168956281734	0.2087589404235315	0.13522667710481623	0.23158806421769065	0.2381359276487312	0.18560177852168552	0.14789218694838627	0.1828289427656432	0.14828036514162923	0.1828289427656432	0.13438667803126245	0.1880640863407981	0.151638575001141	0.151638575001141	0.19151438654118333	0.19151438654118333	0.09912883675493608	0.23721583296832452	0.18349085326302123	0.23781037214595163	0.18349085326302123	0.18548563863777573	0.18349085326302123	0.18395394456766528	0.17493751310598457	0.17406197045229022	0.010472064587820145	0.09358649488304024	0.03030765258771018	0.11565851092461038	0.13306228681552842	0.13526544846291	0.11790422514316765	0.10466332722006116	0.13420169953686792	0.16951550417795103	0.1972385136017334	0.061890439548808254	0.13351772782870241	0.061890439548808254	0.08708064515660735	0.12092621835678598
G1-130	0.08791786817506585	0.260086481292285	0.011350906700288443	0.0	0.1508382269034305	0.008739469332854388	0.03781047133664144	0.013982900944573558	0.003490146973832228	0.18770847586291411	0.008739469332854388	0.19190587066397918	0.17769199592875837	0.18032082682346612	0.18032082682346612	0.18032082682346612	0.0729420206278056	0.4721671495731438	0.36949744543232005	0.2874637103729307	0.08137389302237265	0.07143243303749554	0.21637148901666703	0.18770847586291411	0.14813436748433048	0.18887196889784774	0.3025605520522118	0.14047038176658427	0.1714331900966474	0.19360721291288388	0.19360721291288388	0.19360721291288388	0.24670552863250253	0.311102729537215	0.18656041766120235	0.18656041766120235	0.18656041766120235	0.18656041766120235	0.18656041766120235	0.18656041766120235	0.18656041766120235	0.18656041766120235	0.09107028301224408	0.03544344275754122	0.31936946883025275	0.19360721291288388	0.37520723389913707	0.3253800248391746	0.6778714315329681	0.3422080801473372	0.14526449122393437	0.18032082682346612	0.18032082682346612	0.18032082682346612	0.14780085515958016	0.18032082682346612	0.1505408922539449	0.28118523642364623	0.15124192765893005	0.3507094172726795	0.1910036687486321	0.14527847512801903	0.19082253480098987	0.28118523642364623	0.28118523642364623	0.2099182407501499	0.1299278071452969	0.22243370648582197	0.22911592350525367	0.17587382988196226	0.1443734888809907	0.19360721291288388	0.14945318803528296	0.19360721291288388	0.13555497340587894	0.18937445705581354	0.14657984129396223	0.14657984129396223	0.18656041766120235	0.18656041766120235	0.08892671169697947	0.2284732097502846	0.1802590855212456	0.2334090577309635	0.1802590855212456	0.18227165061103706	0.1802590855212456	0.18517883848023742	0.1714331900966474	0.1801575872094671	0.006108293043576606	0.09462734051562267	0.03463668810367613	0.12178654289003071	0.13420570093849224	0.13165129156871314	0.118963078943288	0.10570462325907912	0.13528080248337895	0.17071432004508294	0.19434305616060427	0.05778746410402474	0.13317406727946468	0.05778746410402474	0.08321820775678522	0.11713587296645488
G1-131	0.2334229245180934	0.38701987188227777	0.1608708875454743	0.1508382269034305	0.0	0.15825945017804022	0.18294543378526998	0.16271197186255829	0.1538019262960975	0.33553611003036277	0.15825945017804022	0.33896962767074057	0.3273425132451171	0.3299713441398248	0.3299713441398248	0.3299713441398248	0.2131471674868096	0.554459072298436	0.2748160827487003	0.40688793655211497	0.22762868925185847	0.2134303033778134	0.3429596149036962	0.33553611003036277	0.2920362557660298	0.33747353259818497	0.41553156253088236	0.28609905544914216	0.3217449694189127	0.34181824155707724	0.34181824155707724	0.34181824155707724	0.36733781847313485	0.4207823142445082	0.3360666126184147	0.3360666126184147	0.3360666126184147	0.3360666126184147	0.3360666126184147	0.3360666126184147	0.3360666126184147	0.3360666126184147	0.23607243256377203	0.18093544360007097	0.19846776817596606	0.34181824155707724	0.2907080044661252	0.2067902538962223	0.7321271097914794	0.24896937768359767	0.2896511749912624	0.3299713441398248	0.3299713441398248	0.3299713441398248	0.2921875389269082	0.3299713441398248	0.29492521378229236	0.15350079766884683	0.29550709274950065	0.4696617801420521	0.33921469739282545	0.2896627966563665	0.3395453735878528	0.15350079766884683	0.15350079766884683	0.3364416178279225	0.27943400210250924	0.08869712846569204	0.09786207120960322	0.3253800248391746	0.2893756384325186	0.34181824155707724	0.2944553375868109	0.34181824155707724	0.2845439617610492	0.3383634454109838	0.29207184213649195	0.29207184213649195	0.3360666126184147	0.3360666126184147	0.23441871253950922	0.36936885505166184	0.320695292348096	0.37430470303234076	0.320695292348096	0.32236306922223257	0.320695292348096	0.3256150453070878	0.3217449694189127	0.3288866581274518	0.15602515585490745	0.2408821367451085	0.18063500528377	0.2713065237352165	0.28046049716797805	0.277906087798199	0.2592332872261245	0.2480857150882057	0.2729530600731559	0.3123252073960577	0.3228700329712884	0.20809924342629002	0.27917238445955855	0.20809924342629002	0.22947300398627105	0.26744765228872014
G1-132	0.07941307188966636	0.2526672021557723	0.002611437367434055	0.008739469332854388	0.15825945017804022	0.0	0.029327307104845053	0.005289660436888571	0.005267707432175601	0.1790679244927764	0.0	0.1833099680490256	0.18482243496606793	0.18742847060845988	0.18742847060845988	0.18742847060845988	0.06947674200369441	0.4746938604470616	0.37427259895991677	0.2876877431801768	0.08270447004906714	0.07277396150177463	0.2221270474987834	0.1790679244927764	0.13972327665574147	0.18966392574773644	0.3027126788881343	0.14772496539029326	0.17232607573855052	0.1849442520677519	0.1849442520677519	0.1849442520677519	0.23965454994955446	0.3154909739300841	0.19360721291288388	0.19360721291288388	0.19360721291288388	0.19360721291288388	0.19360721291288388	0.19360721291288388	0.19360721291288388	0.19360721291288388	0.09234023916182177	0.04357689657190208	0.32531781848441516	0.1849442520677519	0.37952775251653614	0.33122423126933676	0.6788897536837594	0.346946929272018	0.15241760118363928	0.18742847060845988	0.18742847060845988	0.18742847060845988	0.15493273879846042	0.18742847060845988	0.14830942364782612	0.28746729600592474	0.14280960323659306	0.3437566306184073	0.1823407079035001	0.14306458990597135	0.18838562090420255	0.28746729600592474	0.28746729600592474	0.21049965856492653	0.13746520848443533	0.2290467494105532	0.235616268130271	0.1830132026251434	0.14537252742992607	0.1849442520677519	0.15042640862665957	0.1849442520677519	0.13662738381223646	0.19016584407643322	0.15377615694073385	0.15377615694073385	0.19360721291288388	0.19360721291288388	0.09660917723647588	0.23477512386648233	0.18105014416117904	0.2396706553079847	0.18105014416117904	0.18305089234827907	0.18105014416117904	0.1859456756026814	0.17232607573855052	0.1714643467017821	0.007867452243356023	0.09588997694498333	0.03277194610855691	0.11304707355717632	0.13526544846291	0.13272413365577254	0.12005463202447476	0.10687869590320974	0.136273472575021	0.17155934570456624	0.19500384781098173	0.0592790021813742	0.13097641302156496	0.0592790021813742	0.0845393303494699	0.11831478098935193
G1-135	0.05497080117888689	0.2309531646401601	0.0318621580466193	0.03781047133664144	0.18294543378526998	0.029327307104845053	0.0	0.03431202742565687	0.034440526863418766	0.20287905361281988	0.029327307104845053	0.20687918460426452	0.20854821653499275	0.21107840338680905	0.21107840338680905	0.21107840338680905	0.0950522857674329	0.46035461045687937	0.35183251430772067	0.26726818012359227	0.058253827626723514	0.06355265405168517	0.2006977515513001	0.20287905361281988	0.11539791847176299	0.2131677179253391	0.2940117683408731	0.12329549744692218	0.19659952309803833	0.20864446817627463	0.20864446817627463	0.20864446817627463	0.21904359703013535	0.2967223858829436	0.21705552717948948	0.21705552717948948	0.21705552717948948	0.21705552717948948	0.21705552717948948	0.21705552717948948	0.21705552717948948	0.21705552717948948	0.06807312201648176	0.019432755354198823	0.3451044300198895	0.20864446817627463	0.3590236950011591	0.35067091364323705	0.6692223647009147	0.32565786820891984	0.1281824731346851	0.21107840338680905	0.21107840338680905	0.21107840338680905	0.13069131550662408	0.21107840338680905	0.12396246650920408	0.30836396143820466	0.11841520776014014	0.3591602458049762	0.2061166299493129	0.11873082645320256	0.21198576878384656	0.30836396143820466	0.30836396143820466	0.18904432154298925	0.16254602168267288	0.20422388360680047	0.21098782418420942	0.20676956984875514	0.12097166853313733	0.20864446817627463	0.12601280438274481	0.20864446817627463	0.1617325593020627	0.21371422657191755	0.12935410499031674	0.12935410499031674	0.21705552717948948	0.21705552717948948	0.07233129428649919	0.2557902093308182	0.20354065871216634	0.26055129661760834	0.20354065871216634	0.2011588672794096	0.20354065871216634	0.2083017459989565	0.19659952309803833	0.19563828441701797	0.031897014605490416	0.07140579702422295	0.008448307672925275	0.13905901441850604	0.11068111654768206	0.10814626560590782	0.09650599223891267	0.08301095400309488	0.1131189838131828	0.19449461781045332	0.17324570787440016	0.08686781578437731	0.10640299032055678	0.08686781578437731	0.060084020937460604	0.14417223417707978
G1-136	0.08415257858787535	0.2560258591267541	0.007887284187396697	0.013982900944573558	0.16271197186255829	0.005289660436888571	0.03431202742565687	0.0	0.01052950348546709	0.18336148329370186	0.005289660436888571	0.18755938369399217	0.18910096550170158	0.1916933231387715	0.1916933231387715	0.1916933231387715	0.0645024282421188	0.4762195091738905	0.37714294972767215	0.29068786117116535	0.08742703146688315	0.0774100881881174	0.22558799822619088	0.18336148329370186	0.1441037349812796	0.1939020663772928	0.30549207892561425	0.15207961105038353	0.17670418975036062	0.1892180748398285	0.1892180748398285	0.1892180748398285	0.2429027827724871	0.3181338789406224	0.19783561062118116	0.19783561062118116	0.19783561062118116	0.19783561062118116	0.19783561062118116	0.19783561062118116	0.19783561062118116	0.19783561062118116	0.09697357590042528	0.048459155865484056	0.3288866581274518	0.1892180748398285	0.38212758159015864	0.33473102097920054	0.6795062374271869	0.34979715536488465	0.156711830783272	0.1916933231387715	0.1916933231387715	0.1916933231387715	0.1592142255917208	0.1916933231387715	0.152646162019011	0.29123635206023146	0.14718530868114685	0.3465212571219399	0.18662818260842365	0.14742803453923115	0.19264139852962797	0.29123635206023146	0.29123635206023146	0.21402079007440178	0.14198799216277827	0.23301588907960655	0.23951822278340262	0.1872971510396718	0.14973514989852832	0.1892180748398285	0.15476323251474555	0.1892180748398285	0.14115456070438365	0.19441228693138168	0.15809588134661479	0.15809588134661479	0.19783561062118116	0.19783561062118116	0.1012207222988704	0.2385595801699546	0.1851002999269152	0.2434309005260617	0.1851002999269152	0.18708133139249833	0.1851002999269152	0.1899716202830223	0.17670418975036062	0.16617468626489354	0.013101853065960692	0.10054465471559097	0.03775157779800963	0.11773875336156346	0.13971740739697341	0.13718917617616866	0.12440135066626826	0.11135622984598659	0.14046181489894316	0.17569036869020999	0.19865043108625238	0.06425509682568573	0.13545045342515874	0.06425509682568573	0.08925244525830506	0.12297859641014199
G1-138	0.0845393303494699	0.2571391661115093	0.007879144799609656	0.003490146973832228	0.1538019262960975	0.005267707432175601	0.034440526863418766	0.01052950348546709	0.0	0.18427600921017004	0.005267707432175601	0.18849114076861218	0.18053945160544357	0.1831591794883636	0.1831591794883636	0.1831591794883636	0.06968654343744828	0.47317379219402833	0.37140307852359533	0.28469075336662775	0.07797794669820338	0.06813532944593237	0.21866805670600334	0.18427600921017004	0.1447930542341006	0.18542153207783305	0.2999374347414416	0.14336700754379134	0.16794304312281516	0.19016584407643322	0.19016584407643322	0.19016584407643322	0.24390452113174593	0.31285268240975406	0.18937445705581354	0.18937445705581354	0.18937445705581354	0.18937445705581354	0.18937445705581354	0.18937445705581354	0.18937445705581354	0.18937445705581354	0.08770342237272354	0.038690970264712306	0.3217449694189127	0.19016584407643322	0.3769307474801219	0.32771382716169734	0.6782767331786133	0.34409880224525785	0.14812047687409166	0.1831591794883636	0.1831591794883636	0.1831591794883636	0.15064836588512112	0.1831591794883636	0.15337920122618526	0.2836940055954882	0.14789217934485577	0.3479474166419197	0.18756229991218143	0.14813436748433048	0.19360721291288388	0.2836940055954882	0.2836940055954882	0.2069804454443249	0.13293776323792914	0.22507427988207937	0.23171138276003697	0.1787248388065271	0.14100662824147014	0.19016584407643322	0.1460863273957624	0.19016584407643322	0.13209554082390365	0.1859150244738383	0.14945318803528296	0.14945318803528296	0.18937445705581354	0.18937445705581354	0.09199416849108545	0.23098903691308095	0.17699824326069094	0.23590878987207278	0.17699824326069094	0.17901881412057513	0.17699824326069094	0.18191799621968274	0.16794304312281516	0.17670418975036062	0.002627315787991137	0.09123139419145342	0.03789820456836045	0.11831478098935193	0.13080975461432295	0.12825534524454388	0.1157060910667255	0.10239862196617348	0.1320841374224363	0.16742620242597037	0.1913587388889028	0.05429731713019251	0.1361026714813685	0.05429731713019251	0.07982226143261596	0.11364572599262265
G1-139	0.15705071741984192	0.24599148225720907	0.17694289002373073	0.18770847586291411	0.33553611003036277	0.1790679244927764	0.20287905361281988	0.18336148329370186	0.18427600921017004	0.0	0.1790679244927764	0.006202427256057856	0.03301938404101112	0.03611071782984807	0.03611071782984807	0.03611071782984807	0.23209226837044128	0.5556466880025509	0.378316205585732	0.29455484217443084	0.16399870919890613	0.23700939645528685	0.2968753893411997	0.0	0.09767963975823901	0.01273174349197211	0.3364245292960752	0.12947572713539007	0.022889018663892903	0.012702352491602314	0.012702352491602314	0.012702352491602314	0.29937766390695125	0.3720688196466713	0.023084503364065232	0.023084503364065232	0.023084503364065232	0.023084503364065232	0.023084503364065232	0.023084503364065232	0.023084503364065232	0.023084503364065232	0.1534325819647248	0.20078004756856876	0.20407518851812356	0.012702352491602314	0.4437560772346349	0.19361594393319606	0.6925762148779578	0.42804691393578975	0.11729612775274374	0.03611071782984807	0.03611071782984807	0.03611071782984807	0.12008802631255577	0.03611071782984807	0.10724263829089924	0.2648704432250125	0.10632578835154444	0.23507037435883213	0.009582127339993576	0.10140109639514067	0.016826671082733908	0.2648704432250125	0.2648704432250125	0.271707287430976	0.07905516118816315	0.3208160014811626	0.3118908474261564	0.01654133742310437	0.11445124409645033	0.012702352491602314	0.11478780051280285	0.012702352491602314	0.07811160918260282	0.01896018477293364	0.11850925714970449	0.11850925714970449	0.023084503364065232	0.023084503364065232	0.1662956112844629	0.08893957558576707	0.13660487592221376	0.08921353886449224	0.13660487592221376	0.13895630751920598	0.13660487592221376	0.13699345608496005	0.022889018663892903	0.022804711205831173	0.18638384599500557	0.1777276832445878	0.2022049956733783	0.07576887963656634	0.11559768338088058	0.118066441336916	0.1993824027693326	0.18691371726505	0.21471043405028825	0.1377830229428961	0.2672884163178678	0.13825907283969446	0.11614670233663649	0.13825907283969446	0.1623984817564116	0.08163230502450766
