	G1-11	G1-12	G1-13	G1-130	G1-131	G1-132	G1-135	G1-136	G1-138	G1-139	G1-14	G1-140	G1-141	G1-142	G1-143	G1-144	G1-15	G1-175	G1-176	G1-177	G1-178	G1-180	G1-182	G1-187	G1-188	G1-189	G1-190	G1-192	G1-193	G2-1100	G2-1101	G2-1102	G2-1103	G2-1104	G2-1105	G2-1106	G2-1107	G2-1108	G2-1109	G2-1110	G2-1111	G2-1113	G2-194	G2-197	G2-198	G2-199	G2-21	G2-210	G2-211	G2-212	G2-213	G2-214	G2-215	G2-216	G2-217	G2-218	G2-219	G2-22	G2-220	G2-221	G2-222	G2-223	G2-224	G2-23	G2-24	G2-25	G2-26	G2-27	G2-28	G2-29	G2-313	G2-314	G2-315	G2-316	G2-317	G2-318	G2-319	G2-320	G2-321	G2-322	G2-323	G2-324	G2-325	G2-326	G2-327	G2-328	G2-329	G2-330	G2-413	G2-414	G2-415	G2-416	G3-417	G3-418	G3-419	G3-420	G3-421	G3-422	G3-423	G3-424	G3-425	G3-426	G3-427	G3-428	G3-429	G3-430
G1-11	0.0	0.1652945146781164	0.09258464679373306	0.26661265067278217	0.1784029536954138	0.24649580730338205	0.1698542473481435	0.08571352619783401	0.16966384686000974	0.09836314593832968	0.10433469510457283	0.07238959048507758	0.1599396268691411	0.15580019370580564	0.04543038482741759	0.11604401693076855	0.058943347922354436	0.17746832354859143	0.19528591027556713	0.09464637316921891	0.048290979114210396	0.19853577077197893	0.20126819835447993	0.049963125789491726	0.10502196045648494	0.03591643880304459	0.03454333198395518	0.04247617383719492	0.10179879994423205	0.05030660267508818	0.08483897631117907	0.0596869078925032	0.051746148861000374	0.18481929446682002	0.19574268068290537	0.20831680984528406	0.19574268068290537	0.21190941817739226	0.20831680984528406	0.21550202650950043	0.19933528901501357	0.20292789734712177	0.04017237119207154	0.1813554285083112	0.2054485753618038	0.09563959098633143	0.19320620702377844	0.2051958496804536	0.2093722267719661	0.20055527575974136	0.1564298917194404	0.1454492313743849	0.14666956797543448	0.1533642891119048	0.15988162370443515	0.16608757203276378	0.14394202479461438	0.1971130838478665	0.1299486360494313	0.07237958385727956	0.13700721000963326	0.08322205600300372	0.13698403801890954	0.19785574977060136	0.2133546225844644	0.1684393539505866	0.22978593755680737	0.2010328819428415	0.20455325836479588	0.20166030476176147	0.1993104420846415	0.1309633069483863	0.18522132872245703	0.08793024665141778	0.17251205842868042	0.1922822386110616	0.20742765011496841	0.1924285727467175	0.18496485568658075	0.17418703069025615	0.15792925972112223	0.10459167088578383	0.07224504694437923	0.047841612899520124	0.07095819018027197	0.07776845125818414	0.0551909294460024	0.1356017112857066	0.14660831687601214	0.05772117876515399	0.13142827893171638	0.15214096301996724	0.06488774763277363	0.06071893041473416	0.11162185292654843	0.036781542704204334	0.030413023081939116	0.043299067880337765	0.0746054496584068	0.08662408433765449	0.03432255610814016	0.016325467463056423	0.05213228013658406	0.046839859770908994	0.10161952138255481	0.05920770557148333
G1-12	0.1652945146781164	0.0	0.25701935164025347	0.2828916303093306	0.08611227280458937	0.2626800448796399	0.09214718818123273	0.09154201842750906	0.13812451622811275	0.23083023750824852	0.09071956242239976	0.20506183312804815	0.29230274265951167	0.2881633094961763	0.17631308914628066	0.24840713272113926	0.17255399726526932	0.08547621840982798	0.0375496260239587	0.2278624015365158	0.1806981490746692	0.03771050812899849	0.03631163595730337	0.12436051846614489	0.23722167223074	0.1369583565635722	0.1520237709278069	0.17416508095484842	0.0656628707872212	0.1412152515092212	0.11217186630172303	0.1343083790895553	0.1685864573839641	0.05710553994476524	0.03623640468010038	0.04881053384247907	0.03623640468010038	0.05240314217458726	0.04881053384247907	0.05599575050669545	0.03982901301220857	0.04342162134431677	0.1269654842355271	0.029376597842112193	0.042952035729982754	0.10270594562408616	0.07871180899135011	0.042699309348632614	0.051205768150078775	0.0428923988775879	0.2887238544477432	0.27781234716475556	0.27903268376580515	0.2857274049022755	0.29224473949480584	0.2984506878231344	0.2764295980302089	0.09387114709231123	0.264477202118871	0.2047390112683962	0.26973937286206373	0.21618391540596102	0.26907054156100846	0.0862746794258783	0.13109383865783264	0.04208295920473062	0.14793628238583448	0.04720877299019814	0.04215670884997778	0.03963038067595426	0.0399144972931327	0.07000662968443218	0.02575910793974022	0.10790602200078855	0.03453388880111829	0.03282001777834482	0.048727576910953814	0.03292229674391254	0.025458580033775786	0.03198646764722519	0.038375641484115854	0.08777340997785173	0.20039605320882756	0.17992811644161907	0.2031881629542711	0.16995031969326477	0.1738243469881655	0.08196494334022296	0.04531685109864331	0.19082936832766823	0.1450643532009813	0.16717694477269662	0.20032191185493972	0.14285837408411395	0.07255504563733088	0.166261028742252	0.16653791347750696	0.176512441639587	0.1455675448888509	0.10905787923872616	0.19775883404894767	0.1655996371771908	0.18459480998876673	0.18140927978903562	0.23810306539591108	0.19171429059375417
G1-13	0.09258464679373306	0.25701935164025347	0.0	0.20081306072284966	0.22838863571038456	0.18480437162674393	0.2367859212238196	0.16766732673212228	0.18434233719495782	0.1197998944169786	0.18435863597762572	0.11667076164549109	0.14582434550361814	0.14168491234028274	0.11814501670592727	0.12510095548445155	0.11701094533413486	0.237165693452992	0.28701074723770426	0.11591825303426134	0.11134521504514253	0.287418296210512	0.2923076551422472	0.1418976797307672	0.12045392133598835	0.1275768736801143	0.11769128609883278	0.11554094935960237	0.19348889774535422	0.13993393077309768	0.1746668392559363	0.14951477083726047	0.12471019480941498	0.2713949632288581	0.2853259536108267	0.2979000827732054	0.2853259536108267	0.3014926911053135	0.2979000827732054	0.30508529943742174	0.28891856194293486	0.29251117027504303	0.1325564831390568	0.27163934476209883	0.29743848849480303	0.18546745393108868	0.27427330776274284	0.2971857628134529	0.3017122835488631	0.2915245721878988	0.14259560093574733	0.13453628488852523	0.13495603776965898	0.1392490077463819	0.1461164859828099	0.15197229066724088	0.13237117904653284	0.27752169437618895	0.12502705007751205	0.12134421734255502	0.13093489732390048	0.11559441001802334	0.12986655094642505	0.27826436029892393	0.2738826313547881	0.24955050985963917	0.26840727133802306	0.2824068559298217	0.29620793496732317	0.29365021789476076	0.2893541898677568	0.22059063504639578	0.27519880046436423	0.1775575747494272	0.26145400635232013	0.28190956670907114	0.2973610666867874	0.28236198931853657	0.27454812861450206	0.2637703036181775	0.24790997242140234	0.1947409724215309	0.09878568843935244	0.11973694777965241	0.10251184740380312	0.1316654156717521	0.11197723230855644	0.21426295659379926	0.23683175904195908	0.11559516607276064	0.17476518184044212	0.17800547989077098	0.0921168084560246	0.13493832704887537	0.20267335446868506	0.11158999311735328	0.10269891084436181	0.1105667816755637	0.15601856802414973	0.16634481720132566	0.07783222573718848	0.09318067858448574	0.11340594020427756	0.11090157226381205	0.11456456409885774	0.11272323190049427
G1-130	0.26661265067278217	0.2828916303093306	0.20081306072284966	0.0	0.21592317546152587	0.020376888960559184	0.2686552550689502	0.2807713150676255	0.16370151708050573	0.31090573788708714	0.27511249279434763	0.3077742970024477	0.33618540598895047	0.33204597282561493	0.3087028809195554	0.3156588197480794	0.27390444297563254	0.22667699268112915	0.2727273577579269	0.30642018385097447	0.30184714336185586	0.27317896190082275	0.27802426566246974	0.30074635162045027	0.31109185016368535	0.30107185782327994	0.2987064944457597	0.3060988135732305	0.29095467447695333	0.3081042482170583	0.3071886809682044	0.30859943315493027	0.2648214141375121	0.27411572730071637	0.2994999374684966	0.29879265545317435	0.2994999374684966	0.29859057487736806	0.29879265545317435	0.2983884943015618	0.2992978568926903	0.29909577631688394	0.29073728179728847	0.2685018107138743	0.282916887722835	0.3066052291196132	0.26605555766337896	0.2826641620414849	0.2871906827768951	0.27700297141593067	0.33295666142107955	0.3216950104941941	0.3229153470952436	0.32961006823171396	0.3364775464681422	0.342333351152573	0.3210680909233448	0.2694067264657398	0.3129674334044965	0.31258375031049557	0.31887527960088496	0.3063888185223801	0.3173618094098256	0.27014939238847463	0.2657676634443389	0.26035025796993627	0.26405086922457566	0.27405367672718184	0.281686334195355	0.28292330603070737	0.297813919042435	0.3035141426101112	0.2989035613119087	0.30581681466136923	0.3003375207315227	0.29992229314474367	0.2963562949127992	0.2984333176301638	0.3001061791959156	0.30071242092333467	0.29606989169209197	0.3017185697648961	0.29545891784625394	0.31036396520534826	0.2991850768107047	0.2923890895204684	0.2934717059837996	0.29726178162147543	0.2963506469944128	0.30669927033742517	0.2765351731080162	0.285180207530555	0.2888767955698099	0.2882377059472714	0.29641071788357765	0.30205878591346247	0.29320084036107513	0.30106871249227707	0.304778920303803	0.29402538897053576	0.26826788051269373	0.28171898855603383	0.3038643847586105	0.3013372270393172	0.3050333568949669	0.30315888667599955
G1-131	0.1784029536954138	0.08611227280458937	0.22838863571038456	0.21592317546152587	0.0	0.20924269790891878	0.1330901224485639	0.1253277635759029	0.06560281378614444	0.27482898109884724	0.105227969271639	0.24892227059451105	0.33598626166760986	0.3311590875003439	0.20744533483264602	0.28710452945074083	0.1902155426690495	0.0566072242964394	0.07405065579922829	0.27138659638493007	0.22398228542298598	0.07639960424608142	0.08124490815772852	0.1673766518338419	0.28044498491825626	0.1795809737439536	0.19004088246077122	0.2048412674863211	0.11258492011596281	0.17726613742654004	0.14822275221904188	0.17035926500687418	0.1695924738047987	0.06986082277643825	0.09524503294421845	0.09453775092889621	0.09524503294421845	0.09433567035308989	0.09453775092889621	0.09413358977728355	0.0950429523684121	0.09484087179260574	0.166249446500319	0.06901803010582885	0.08125725560418616	0.1387568315414051	0.08422837789280592	0.08158948873785188	0.08605291310434239	0.07534333929728189	0.3331369115369255	0.3197765136630273	0.3211687855150595	0.32855124765546034	0.3363475552088696	0.3426500125841805	0.32090636534559985	0.10389956766022679	0.30617379989819377	0.2451761679257845	0.31329335857015683	0.25978532686049366	0.31196377896552513	0.09663639638380374	0.13962242507070377	0.059597246313538126	0.160512386637942	0.0717133860932847	0.07889230838189563	0.08072219053378625	0.09355901451815687	0.10605751560175107	0.09464865678763056	0.14389006296919152	0.09608261620724454	0.09566738862046557	0.09210139038852108	0.09417841310588561	0.09585127467163747	0.09645751639905649	0.09104974749957011	0.1233803088470027	0.23779713947970352	0.21690095366016268	0.23976362358672657	0.20443363039971918	0.2097533445936315	0.11089464771818004	0.08577984275601015	0.23194080620338012	0.18196441252026355	0.20560440750796125	0.2350802199822221	0.180099899168063	0.1025340728788384	0.2083423752489434	0.19884777711399654	0.21772309538064977	0.18398084274675086	0.13183296109263787	0.20780995196338536	0.1916581167325511	0.22712100745819352	0.22174416528003435	0.2774166691611672	0.23239974105946457
G1-132	0.24649580730338205	0.2626800448796399	0.18480437162674393	0.020376888960559184	0.20924269790891878	0.0	0.24861560489024215	0.26056636135804895	0.1458260338886768	0.2906647691360467	0.25503970459503555	0.28760248131347504	0.3238586910207903	0.31971925785745486	0.2889741085938572	0.2959300474223815	0.25376578191629656	0.21606302919022885	0.2659080829749411	0.286315213110918	0.2817421726217992	0.2663156319477488	0.2712049908794841	0.28057453593147785	0.29088421105164597	0.2809858443613319	0.27860152370570307	0.2863700412475323	0.2708606208863808	0.28806325720002385	0.28714768995117007	0.28855844213789594	0.24478042312047768	0.25438695497501834	0.27970201208073064	0.2789947300654084	0.27970201208073064	0.28068999379355936	0.2789947300654084	0.28428260182566756	0.2794999315049242	0.2792978509291179	0.2705991730366279	0.2504372669375236	0.27623641017022793	0.28656423810257875	0.25933906506930793	0.27598368448887783	0.28051020522428805	0.2703224938633236	0.32062994645291953	0.3093682955260341	0.31058863212708365	0.31728335326355406	0.32415083149998203	0.33000663618441295	0.30860537794420095	0.2625874516827541	0.29636963631550917	0.29254275909346095	0.3022334273418094	0.2863240704516921	0.30089617783110273	0.26333011760548897	0.2589483886613531	0.2401761345678116	0.2537396654565961	0.2673731991745748	0.275005856642748	0.27244813957018565	0.27788382814440454	0.2834731515930768	0.27897347041387827	0.28577582364433485	0.28036337466340416	0.27994814707662513	0.2765583695250332	0.27863539224239786	0.28030825380814967	0.28091449553556874	0.2760388505497162	0.2816875286225203	0.2752957112936136	0.2905660398175824	0.27897781508797603	0.2724699157719221	0.27326444416107115	0.27728763555335684	0.27634470374401665	0.2864943166278486	0.2564302023679595	0.26910619787310075	0.26888120056118997	0.26819805576856326	0.276305747143521	0.281953815173406	0.27309586962101845	0.2809637417522204	0.2846739495637464	0.274053736486483	0.24812977175203318	0.26158087979537314	0.2838356517293867	0.28119911827865673	0.2849283861549103	0.28306483308542707
G1-135	0.1698542473481435	0.09214718818123273	0.2367859212238196	0.2686552550689502	0.1330901224485639	0.24861560489024215	0.0	0.11647057777192649	0.1490736795594567	0.22378808089066485	0.09966340342876047	0.19838131487134347	0.28512366349008944	0.2802964893228234	0.17775781093693024	0.2362419312732203	0.13260429336934765	0.14293581332648705	0.12745757825863435	0.22068042284186284	0.18019670593883746	0.12264692352761608	0.1274354916332265	0.15322858888589588	0.22912134297783393	0.15936246578126084	0.162495419171366	0.17480359994670758	0.12462172709412991	0.16356290909237936	0.14966376961436534	0.1605921103233765	0.1684860975744785	0.12364637567067761	0.1177065015187034	0.1302806306810821	0.1177065015187034	0.1338732390131903	0.1302806306810821	0.1374658473452985	0.12129910985081162	0.12489171818291982	0.1509232283326743	0.11098791312934281	0.12992729332176714	0.14500135125622332	0.07581946353054837	0.13025952645543284	0.13581405721758152	0.12663383342562154	0.28192416971550727	0.2689139154855069	0.270306187337539	0.27768864947794	0.2851348133874514	0.29178741440666006	0.26935939877960197	0.058169260561481556	0.2545827781621077	0.19516867610057276	0.26205248047796853	0.20877181988942553	0.2608338009923409	0.0657657282279145	0.04996878460949009	0.09724719601648525	0.06423348322282886	0.10426953615646245	0.12721220245557888	0.12370019488949541	0.12131831809052775	0.1283137097148852	0.10722920482834325	0.1470659377021784	0.10983527539426496	0.11429011461694785	0.12939147095076647	0.11439239363251558	0.10692867692237881	0.10957440190457324	0.10894056792256371	0.13536755172602055	0.16173024780403603	0.1824499270846246	0.17387802046479417	0.11994323537889699	0.13594237915668234	0.11350228847235569	0.11074199444134848	0.18536905605399642	0.06536132993946041	0.08443883293073463	0.16162104038662323	0.11371269282902899	0.12320200057185483	0.1725626329639528	0.16509437197203974	0.1763392670562487	0.15518394378655506	0.1255346586200473	0.18853227772825196	0.17085486166506703	0.18251128830171345	0.17934127900392738	0.22715007228787953	0.18422612014894216
G1-136	0.08571352619783401	0.09154201842750906	0.16766732673212228	0.2807713150676255	0.1253277635759029	0.26056636135804895	0.11647057777192649	0.0	0.13209463238221456	0.15664917807693168	0.02902137878380734	0.13067562262367957	0.21824461628585146	0.21410518312251609	0.10225496277262038	0.174349006347479	0.08271565506452211	0.11958595555360695	0.1258622085366919	0.15312485982085364	0.10548724048590262	0.12194096299776756	0.12683032192950283	0.049905157249708385	0.16365813623898467	0.06320194033016338	0.07465704678630691	0.09965089542629547	0.02761896805903485	0.06737072493563608	0.04155971790328679	0.0588927283716243	0.08999888198548606	0.12395797677162353	0.12273712550352114	0.13531125466589983	0.12273712550352114	0.13890386299800803	0.13531125466589983	0.14249647133011623	0.12632973383562934	0.12992234216773754	0.04832123278225792	0.11128291857232064	0.13114086219571205	0.036897299845144726	0.1112346232245754	0.13088813651436193	0.13776305172506656	0.1272073459252454	0.2151541778421165	0.20375422079109534	0.2049745573921449	0.21166927852861522	0.21853675676504328	0.22456449670045683	0.20266631091729045	0.12257005304981085	0.1876593473979168	0.13066561599588153	0.19432372214413282	0.14194634212567978	0.19535818049768794	0.11507357470038083	0.15979274461533222	0.09646565721282369	0.17612127739876052	0.11679460980510048	0.1299103086682321	0.12735259159566975	0.12661097537906688	0.05786964167882577	0.11252186201688241	0.04046616518652978	0.09873301273475009	0.11918857309150109	0.13477223857948195	0.11977316121123104	0.11195930050719653	0.10118147551087195	0.084555330040662	0.03155297968579559	0.11628510929628223	0.1062157553782984	0.11893038168272291	0.08581378678249683	0.08956656571661731	0.052227343150598994	0.07350047091395599	0.11573690408097223	0.07777829157240791	0.09884111835455651	0.11343411332881737	0.05838642410478267	0.03880917893881769	0.09238774248162095	0.08785502187914253	0.10118071042639981	0.06898587595134467	0.024586884739254362	0.11848626649714576	0.0859769259814911	0.11075427517658819	0.10502360082683902	0.1601865441029866	0.11537936127439218
G1-138	0.16966384686000974	0.13812451622811275	0.18434233719495782	0.16370151708050573	0.06560281378614444	0.1458260338886768	0.1490736795594567	0.13209463238221456	0.0	0.26515702835820953	0.1154319540460477	0.23975026233888813	0.3257251010060416	0.3208979268387756	0.19718417417107773	0.27684336878917243	0.17907284081266905	0.08954331163582846	0.1393883654205407	0.26188129198929727	0.21517690254637392	0.13979591439334837	0.1446852733250837	0.16017243639706144	0.2703397468206057	0.17077559086734148	0.18116884050615722	0.19458010682475282	0.1462206984163394	0.16665257502813952	0.15313784034566114	0.1613468700483051	0.1592872579731421	0.12010894184826121	0.14549315201604135	0.14478587000071913	0.14549315201604135	0.14458378942491282	0.14478587000071913	0.14817639760702103	0.145291071440235	0.14508899086442867	0.15770916778853897	0.12133943286427239	0.1468600693903306	0.15255438849706987	0.12898131788739967	0.14719230252399632	0.14975838243652947	0.14094615308342634	0.3228757508753572	0.30951535300145905	0.31090762485349116	0.31829008699389216	0.3260863945473013	0.33238885192261225	0.31064520468403156	0.13424200069633624	0.2958685840665374	0.234904281833129	0.3029881427385004	0.2504240660519521	0.30170261830395684	0.13338349917923953	0.16983153995080927	0.11023873028832189	0.1836629533571352	0.13594543953068952	0.14449512216804006	0.14063297095805888	0.14379621644049564	0.14946330198756783	0.14485272068936533	0.15176597403882594	0.14628668010897933	0.14587145252220035	0.14234950946034403	0.14442653217770854	0.1460993937434604	0.14670563547087942	0.14212957379924188	0.14777825187204593	0.22671975477254627	0.20663979299859433	0.2284868362007545	0.19282393026053116	0.19894240518008513	0.13978404012708306	0.13614249834536105	0.2227682229425662	0.18581125073790383	0.20820481411099298	0.22408156221293282	0.1699568939633153	0.13616943121392186	0.1995369923723313	0.18970909874737457	0.20891771250403765	0.17529821993377107	0.1303572014290309	0.19910302415660042	0.18311783802077114	0.21839205159868563	0.21320388626825423	0.2675447386365235	0.2236928134526796
G1-139	0.09836314593832968	0.23083023750824852	0.1197998944169786	0.31090573788708714	0.27482898109884724	0.2906647691360467	0.22378808089066485	0.15664917807693168	0.26515702835820953	0.0	0.17988171444275533	0.026106624793214458	0.06438458887477329	0.05983402695577902	0.0695830174226186	0.020077852380741893	0.11875316831303807	0.2638806817207367	0.2679370304526593	0.009588454739557661	0.052663613207488524	0.266395421691528	0.26680392118461205	0.11133981624869631	0.007999158280271802	0.09792137899106697	0.09263722053665074	0.07275403882064582	0.16593469384661097	0.11059335556497492	0.1457242849661744	0.11991138899617619	0.13342336018178308	0.2651917457186564	0.2565140404437618	0.2690881696061405	0.2565140404437618	0.2726807779382487	0.2690881696061405	0.27627338627035697	0.2601066487758701	0.26369925710797826	0.11082117337770749	0.25545435244610476	0.26904735523600365	0.15661300998150313	0.2630297966674468	0.26868255933692486	0.27963034483823346	0.2704453993871518	0.06191261586085013	0.049483064624358294	0.050703401225407826	0.05739812236187818	0.06555485915445529	0.07084088060514018	0.0481581097080452	0.26112446579645365	0.03626522120896038	0.04480328556390936	0.03995899825052001	0.016079135691768807	0.039689709905392986	0.2618671317191885	0.2574854027750527	0.24677540024294659	0.262536867120611	0.26607478766807263	0.26938031168338367	0.26447459311186106	0.26144436637873447	0.19147033568871386	0.24728897697534194	0.14848133056183346	0.23262259063821455	0.2527011570112129	0.27052955355616026	0.25454027616969055	0.24573621544743726	0.23495839045111272	0.22014037720590732	0.1654624447084523	0.07798306471932238	0.06815690051510032	0.06220023711454124	0.11408144895560275	0.09328858947103605	0.19571224349524072	0.20880725206217057	0.0433904153801587	0.16758907040625975	0.1871032000036371	0.0722324111563665	0.11792440533565171	0.1750521453776637	0.06693673921080462	0.07888385724705464	0.05805833067172916	0.13105076929043122	0.14859143995173646	0.07161591689583756	0.08465221092984032	0.04805811748455154	0.05318422988062496	0.010989737546441614	0.04266120643361074
