	G1-11	G1-12	G1-13	G1-130	G1-131	G1-132	G1-135	G1-136	G1-138	G1-139	G1-14	G1-140	G1-141	G1-142	G1-143	G1-144	G1-15	G1-175	G1-176	G1-177	G1-178	G1-180	G1-182	G1-187	G1-188	G1-189	G1-190	G1-192	G1-193	G2-1100	G2-1101	G2-1102	G2-1103	G2-1104	G2-1105	G2-1106	G2-1107	G2-1108	G2-1109	G2-1110	G2-1111	G2-1113	G2-194	G2-197	G2-198	G2-199	G2-21	G2-210	G2-211	G2-212	G2-213	G2-214	G2-215	G2-216	G2-217	G2-218	G2-219	G2-22	G2-220	G2-221	G2-222	G2-223	G2-224	G2-23	G2-24	G2-25	G2-26	G2-27	G2-28	G2-29	G2-313	G2-314	G2-315	G2-316	G2-317	G2-318	G2-319	G2-320	G2-321	G2-322	G2-323	G2-324	G2-325	G2-326	G2-327	G2-328	G2-329	G2-330	G2-413	G2-414	G2-415	G2-416	G3-417	G3-418	G3-419	G3-420	G3-421	G3-422	G3-423	G3-424	G3-425	G3-426	G3-427	G3-428	G3-429	G3-430
G1-11	0.0	0.4	0.32	0.715	0.52	0.725	0.77	0.355	0.665	0.44	0.47	0.435	0.555	0.57	0.57	0.57	0.385	0.61	0.615	0.385	0.225	0.605	0.605	0.375	0.45	0.275	0.4	0.57	0.31	0.63	0.815	0.66	0.735	0.86	0.935	0.955	0.935	0.94	0.95	0.96	0.91	0.925	0.185	0.52	0.575	0.81	0.615	0.56	0.55	0.55	0.575	0.57	0.57	0.57	0.59	0.595	0.59	0.625	0.57	0.57	0.545	0.45	0.6	0.625	0.71	0.605	0.965	0.58	0.56	0.555	0.955	0.765	0.935	0.7	0.965	0.915	0.96	0.92	0.885	0.95	0.665	0.52	0.475	0.615	0.495	0.53	0.445	0.855	0.67	0.345	0.5	0.84	0.455	0.265	0.54	0.275	0.295	0.25	0.39	0.485	0.28	0.23	0.28	0.3	0.44	0.35
G1-12	0.4	0.0	0.66	0.88	0.725	0.895	0.82	0.27	0.865	0.63	0.57	0.62	0.77	0.79	0.79	0.79	0.6	0.295	0.225	0.605	0.43	0.215	0.215	0.47	0.64	0.47	0.605	0.79	0.22	0.79	0.825	0.79	0.775	0.875	0.935	0.955	0.935	0.945	0.95	0.96	0.91	0.925	0.385	0.395	0.38	0.815	0.335	0.405	0.51	0.41	0.785	0.79	0.79	0.79	0.79	0.785	0.78	0.535	0.76	0.755	0.74	0.63	0.78	0.475	0.715	0.365	0.965	0.49	0.465	0.465	0.96	0.79	0.935	0.79	0.97	0.925	0.965	0.92	0.885	0.955	0.675	0.685	0.675	0.795	0.695	0.73	0.645	0.86	0.725	0.59	0.615	0.855	0.66	0.5	0.685	0.51	0.53	0.475	0.625	0.685	0.605	0.5	0.53	0.54	0.66	0.59
G1-13	0.32	0.66	0.0	0.495	0.545	0.51	0.74	0.58	0.495	0.44	0.53	0.445	0.54	0.56	0.56	0.56	0.41	0.88	0.885	0.43	0.435	0.865	0.875	0.6	0.44	0.44	0.44	0.56	0.595	0.635	0.825	0.665	0.75	0.86	0.935	0.955	0.935	0.945	0.95	0.955	0.91	0.925	0.43	0.81	0.87	0.815	0.81	0.865	0.865	0.865	0.55	0.56	0.56	0.56	0.56	0.55	0.555	0.81	0.535	0.53	0.515	0.455	0.555	0.81	0.81	0.805	0.89	0.795	0.87	0.865	0.955	0.77	0.935	0.705	0.97	0.925	0.965	0.92	0.885	0.955	0.71	0.52	0.37	0.555	0.39	0.425	0.37	0.785	0.715	0.43	0.505	0.77	0.37	0.36	0.59	0.43	0.425	0.44	0.435	0.46	0.345	0.36	0.425	0.425	0.43	0.435
G1-130	0.715	0.88	0.495	0.0	0.56	0.07	0.855	0.785	0.56	0.89	0.765	0.89	0.975	0.995	0.995	0.995	0.825	0.89	0.895	0.88	0.885	0.88	0.89	0.89	0.89	0.89	0.89	0.995	0.83	0.995	0.995	0.995	0.98	0.895	0.995	0.99	0.99	0.99	0.995	0.99	0.995	0.995	0.83	0.815	0.84	0.995	0.865	0.835	0.835	0.84	0.985	0.995	0.995	0.995	0.995	0.985	0.98	0.865	0.965	0.96	0.945	0.89	0.98	0.865	0.865	0.865	0.935	0.81	0.84	0.835	0.985	0.995	0.995	0.995	0.995	0.995	0.995	0.995	0.995	0.995	0.86	0.875	0.82	0.98	0.835	0.865	0.805	0.96	0.875	0.83	0.825	0.905	0.86	0.85	0.895	0.875	0.875	0.89	0.875	0.865	0.745	0.76	0.825	0.84	0.855	0.835
G1-131	0.52	0.725	0.545	0.56	0.0	0.605	0.665	0.57	0.215	0.815	0.255	0.81	0.925	0.91	0.635	0.81	0.665	0.755	0.76	0.75	0.715	0.74	0.75	0.71	0.825	0.73	0.775	0.63	0.635	0.98	0.98	0.98	0.965	0.875	0.985	0.98	0.975	0.98	0.985	0.98	0.985	0.985	0.63	0.605	0.645	0.98	0.7	0.62	0.54	0.625	0.945	0.89	0.935	0.935	0.96	0.965	0.97	0.7	0.95	0.945	0.93	0.82	0.97	0.7	0.7	0.695	0.905	0.59	0.525	0.55	0.965	0.98	0.985	0.98	0.98	0.98	0.985	0.985	0.985	0.985	0.775	0.86	0.765	0.97	0.765	0.82	0.705	0.915	0.505	0.58	0.685	0.85	0.77	0.625	0.525	0.645	0.505	0.665	0.655	0.465	0.595	0.575	0.615	0.62	0.81	0.665
G1-132	0.725	0.895	0.51	0.07	0.605	0.0	0.875	0.8	0.565	0.9	0.805	0.905	0.955	0.975	0.975	0.975	0.84	0.925	0.93	0.89	0.895	0.91	0.92	0.9	0.9	0.9	0.9	0.975	0.87	0.98	0.98	0.98	0.965	0.895	0.985	0.98	0.975	0.98	0.985	0.98	0.985	0.985	0.87	0.86	0.895	0.98	0.905	0.89	0.89	0.89	0.965	0.975	0.975	0.975	0.975	0.965	0.97	0.905	0.95	0.945	0.93	0.915	0.97	0.905	0.905	0.9	0.94	0.87	0.895	0.89	0.965	0.98	0.985	0.98	0.98	0.98	0.985	0.985	0.985	0.985	0.9	0.9	0.86	0.97	0.865	0.87	0.86	0.95	0.875	0.87	0.84	0.885	0.88	0.865	0.9	0.885	0.885	0.9	0.885	0.875	0.785	0.8	0.865	0.865	0.88	0.875
G1-135	0.77	0.82	0.74	0.855	0.665	0.875	0.0	0.635	0.65	0.815	0.565	0.82	0.89	0.865	0.8	0.8	0.485	0.88	0.88	0.775	0.795	0.865	0.875	0.795	0.815	0.81	0.8	0.8	0.8	0.94	0.935	0.94	0.92	0.855	0.94	0.955	0.94	0.94	0.95	0.955	0.94	0.94	0.79	0.775	0.845	0.94	0.575	0.815	0.735	0.825	0.895	0.845	0.89	0.89	0.915	0.915	0.92	0.35	0.905	0.905	0.885	0.825	0.925	0.41	0.205	0.795	0.29	0.72	0.735	0.745	0.96	0.94	0.94	0.94	0.975	0.935	0.96	0.94	0.94	0.95	0.82	0.825	0.61	0.925	0.715	0.65	0.67	0.815	0.715	0.675	0.28	0.24	0.545	0.605	0.695	0.735	0.675	0.75	0.665	0.625	0.755	0.81	0.76	0.745	0.8	0.755
G1-136	0.355	0.27	0.58	0.785	0.57	0.8	0.635	0.0	0.685	0.665	0.42	0.66	0.79	0.81	0.81	0.81	0.44	0.435	0.44	0.605	0.445	0.42	0.43	0.485	0.675	0.5	0.625	0.81	0.23	0.83	0.825	0.83	0.81	0.855	0.935	0.955	0.935	0.94	0.95	0.955	0.91	0.925	0.39	0.325	0.39	0.83	0.295	0.38	0.455	0.38	0.8	0.81	0.81	0.81	0.82	0.82	0.825	0.39	0.805	0.795	0.775	0.68	0.83	0.33	0.565	0.34	0.82	0.315	0.41	0.41	0.945	0.83	0.935	0.83	0.96	0.91	0.96	0.92	0.885	0.95	0.675	0.725	0.55	0.83	0.6	0.605	0.525	0.73	0.705	0.565	0.465	0.69	0.54	0.355	0.69	0.505	0.53	0.49	0.615	0.625	0.54	0.47	0.515	0.53	0.675	0.58
G1-138	0.665	0.865	0.495	0.56	0.215	0.565	0.65	0.685	0.0	0.87	0.38	0.875	0.9	0.885	0.61	0.785	0.715	0.915	0.92	0.83	0.855	0.9	0.915	0.85	0.87	0.87	0.855	0.55	0.825	0.96	0.96	0.96	0.945	0.87	0.96	0.955	0.955	0.955	0.96	0.955	0.96	0.96	0.82	0.79	0.855	0.96	0.835	0.83	0.75	0.84	0.92	0.865	0.91	0.91	0.935	0.94	0.945	0.835	0.93	0.925	0.91	0.88	0.945	0.835	0.835	0.835	0.88	0.775	0.735	0.76	0.96	0.96	0.96	0.96	0.975	0.96	0.965	0.96	0.96	0.96	0.87	0.87	0.77	0.945	0.78	0.79	0.765	0.87	0.39	0.71	0.72	0.805	0.77	0.745	0.41	0.785	0.645	0.805	0.715	0.36	0.705	0.765	0.785	0.775	0.85	0.785
G1-139	0.44	0.63	0.44	0.89	0.815	0.9	0.815	0.665	0.87	0.0	0.615	0.08	0.365	0.375	0.41	0.425	0.425	0.845	0.845	0.09	0.255	0.84	0.835	0.345	0.065	0.22	0.225	0.485	0.555	0.56	0.715	0.48	0.61	0.815	0.88	0.9	0.88	0.89	0.895	0.905	0.855	0.87	0.39	0.76	0.835	0.75	0.825	0.83	0.83	0.83	0.365	0.37	0.375	0.375	0.365	0.37	0.315	0.845	0.295	0.26	0.24	0.17	0.32	0.845	0.845	0.73	0.915	0.83	0.835	0.81	0.895	0.645	0.88	0.59	0.8	0.81	0.91	0.865	0.83	0.9	0.625	0.475	0.295	0.42	0.25	0.42	0.26	0.725	0.715	0.245	0.57	0.725	0.27	0.355	0.57	0.205	0.355	0.23	0.36	0.52	0.25	0.335	0.22	0.195	0.22	0.18
G1-14	0.47	0.57	0.53	0.765	0.255	0.805	0.565	0.42	0.38	0.615	0.0	0.61	0.725	0.71	0.445	0.61	0.41	0.79	0.795	0.55	0.55	0.775	0.785	0.545	0.625	0.565	0.575	0.445	0.475	0.78	0.825	0.78	0.765	0.86	0.935	0.955	0.935	0.945	0.95	0.955	0.91	0.925	0.47	0.62	0.685	0.815	0.68	0.66	0.58	0.665	0.745	0.69	0.735	0.735	0.76	0.765	0.77	0.68	0.75	0.745	0.73	0.62	0.77	0.68	0.68	0.705	0.85	0.575	0.565	0.59	0.955	0.78	0.935	0.78	0.97	0.925	0.965	0.92	0.885	0.955	0.625	0.66	0.51	0.77	0.51	0.565	0.455	0.745	0.35	0.385	0.43	0.73	0.515	0.405	0.34	0.48	0.34	0.5	0.455	0.27	0.44	0.445	0.455	0.45	0.61	0.47
G1-140	0.435	0.62	0.445	0.89	0.81	0.905	0.82	0.66	0.875	0.08	0.61	0.0	0.31	0.32	0.415	0.43	0.42	0.835	0.835	0.15	0.315	0.83	0.825	0.405	0.125	0.215	0.22	0.49	0.55	0.55	0.705	0.53	0.615	0.81	0.87	0.89	0.87	0.88	0.885	0.895	0.845	0.86	0.385	0.755	0.83	0.74	0.815	0.825	0.825	0.825	0.31	0.315	0.32	0.32	0.31	0.315	0.245	0.835	0.225	0.265	0.17	0.11	0.26	0.835	0.835	0.71	0.915	0.825	0.83	0.805	0.885	0.635	0.87	0.58	0.835	0.8	0.9	0.855	0.82	0.89	0.61	0.465	0.295	0.41	0.245	0.41	0.26	0.725	0.72	0.24	0.57	0.795	0.275	0.35	0.575	0.2	0.35	0.225	0.36	0.525	0.245	0.33	0.215	0.19	0.165	0.175
G1-141	0.555	0.77	0.54	0.975	0.925	0.955	0.89	0.79	0.9	0.365	0.725	0.31	0.0	0.115	0.31	0.25	0.59	0.985	0.99	0.345	0.53	0.98	0.985	0.69	0.41	0.47	0.47	0.38	0.7	0.64	0.83	0.67	0.76	0.95	0.935	0.955	0.94	0.945	0.95	0.96	0.91	0.925	0.525	0.91	0.955	0.82	0.99	0.95	0.945	0.95	0.06	0.065	0.105	0.035	0.085	0.1	0.195	0.99	0.19	0.39	0.23	0.255	0.195	0.99	0.99	0.99	0.985	0.96	0.95	0.945	0.965	0.775	0.935	0.71	0.975	0.93	0.965	0.92	0.885	0.955	0.825	0.63	0.455	0.475	0.4	0.555	0.45	0.865	0.765	0.42	0.68	0.89	0.375	0.485	0.655	0.335	0.505	0.355	0.53	0.595	0.385	0.5	0.36	0.375	0.185	0.35
