	shannon
G1-11	1.9226897376063286
G1-12	0.8965616147404833
G1-13	1.836162925116395
G1-130	1.0681288210852349
G1-131	2.2621835830491697
G1-132	0.9537619721198273
G1-135	1.4586685976875235
G1-136	2.040798237717433
G1-138	1.982337186046029
G1-139	1.6749627103958267
G1-14	2.422172883413938
G1-140	1.4773608182106417
G1-141	1.0696322166018215
G1-142	1.3198127015634384
G1-143	1.306934980134126
G1-144	1.6526686149024086
G1-15	2.3113436866646686
G1-175	1.38537434173589
G1-176	0.23958627378939248
G1-177	1.5650324012698338
G1-178	1.6809215221847826
G1-180	0.7099404273109096
G1-182	0.35229218908241483
G1-187	2.2452760773230556
G1-188	1.8325821996686995
G1-189	1.7764971408439572
G1-190	2.0884554681220346
G1-192	1.4265461276944187
G1-193	1.7397953364273497
G2-1100	1.0949885660996757
G2-1101	1.0119880570590192
G2-1102	1.4006114798697533
G2-1103	1.9975883710788238
G2-1104	1.2438191148335953
G2-1105	0.39190991376508444
G2-1106	0.28741165900058474
G2-1107	0.397241130754733
G2-1108	0.3764462644533775
G2-1109	0.2863969571159562
G2-1110	0.28741165900058474
G2-1111	0.4364698170641029
G2-1113	0.38431154412649704
G2-194	1.862336850474166
G2-197	2.079968298340545
G2-198	1.477398485930972
G2-199	0.7881071651220244
G2-21	1.0932184822097533
G2-210	1.6526200778874118
G2-211	2.0530290013552506
G2-212	1.7295443075967487
G2-213	1.0155408155984678
G2-214	1.1110656500491296
G2-215	0.6643570314702626
G2-216	0.9140296631934254
G2-217	0.7566727085033298
G2-218	0.8163879283249257
G2-219	0.673527581483744
G2-22	0.9964625048848765
G2-220	0.9553445621136585
G2-221	1.7734608765458948
G2-222	1.188047763453151
G2-223	1.2064168143105667
G2-224	0.3976390275245989
G2-23	0.99819587904281
G2-24	0.948098832296624
G2-25	1.7561327520834618
G2-26	0.5681177874279083
G2-27	1.9605283229109471
G2-28	1.7722595486456414
G2-29	1.8974929969243342
G2-313	0.4157144590028097
G2-314	1.1246743365684324
G2-315	0.34698128810061335
G2-316	1.182271539760559
G2-317	0.6933485870885592
G2-318	0.7502250745077172
G2-319	0.2640347668103987
G2-320	0.4021791902022729
G2-321	0.5148156530047155
G2-322	0.30984673679542024
G2-323	1.5152693571018716
G2-324	1.5192087867999273
G2-325	2.0263313658612923
G2-326	1.2034014787091458
G2-327	1.9827697483213502
G2-328	2.2479935143288894
G2-329	2.085580604885137
G2-330	1.8782149572818434
G2-413	1.416132700422407
G2-414	2.0394200670673204
G2-415	1.8617655657984944
G2-416	1.5406698240151147
G3-417	1.503027377477031
G3-418	1.8667280980314485
G3-419	1.5823422844889856
G3-420	1.4405614102609936
G3-421	2.034301401085558
G3-422	1.382621969715928
G3-423	2.384449668473527
G3-424	1.8306544149694406
G3-425	2.0967383406405253
G3-426	2.0576620885314107
G3-427	1.8062908422017887
G3-428	1.8072704666416197
G3-429	1.177303339653241
G3-430	1.7651251266117993
