	G1-11	G1-12	G1-13	G1-130	G1-131	G1-132	G1-135	G1-136	G1-138	G1-139	G1-14	G1-140	G1-141	G1-142	G1-143	G1-144	G1-15	G1-175	G1-176	G1-177	G1-178	G1-180	G1-182	G1-187	G1-188	G1-189	G1-190	G1-192	G1-193	G2-1100	G2-1101	G2-1102	G2-1103	G2-1104	G2-1105	G2-1106	G2-1107	G2-1108	G2-1109	G2-1110	G2-1111	G2-1113	G2-194	G2-197	G2-198	G2-199	G2-21	G2-210	G2-211	G2-212	G2-213	G2-214	G2-215	G2-216	G2-217	G2-218	G2-219	G2-22	G2-220	G2-221	G2-222	G2-223	G2-224	G2-23	G2-24	G2-25	G2-26	G2-27	G2-28	G2-29	G2-313	G2-314	G2-315	G2-316	G2-317	G2-318	G2-319	G2-320	G2-321	G2-322	G2-323	G2-324	G2-325	G2-326	G2-327	G2-328	G2-329	G2-330	G2-413	G2-414	G2-415	G2-416	G3-417	G3-418	G3-419	G3-420	G3-421	G3-422	G3-423	G3-424	G3-425	G3-426	G3-427	G3-428	G3-429	G3-430
G1-11	0.0	0.03379354522187095	0.08216225540928518	0.09622632971917004	0.07961927498431605	0.07961927498431605	0.1069426011465435	0.06000946724509649	0.08300658548345871	0.16012933521846592	0.07961927498431605	0.16012933521846592	0.04510661810305568	0.16328712197857606	0.16328712197857606	0.16328712197857606	0.13829270838023688	0.43054895138716226	0.4714210030467296	0.19500734662753405	0.10609827107236998	0.4507638620860888	0.38620186961070324	0.16012933521846592	0.19183476215314205	0.06736808612857403	0.29025231734705614	0.36457861473779296	0.02841945008942991	0.16612950740404223	0.0731205396805018	0.16612950740404223	0.36787254178213946	0.2170869524808604	0.3331994205711741	0.1669921991872985	0.1634486885735941	0.07398323146375806	0.16967301801774662	0.21305532036966035	0.16967301801774662	0.16967301801774662	0.13369629998698712	0.11204605021160417	0.3024262744201632	0.16612950740404223	0.2670016242590158	0.25668261234579354	0.33987908922343973	0.1128273374375223	0.12376183971213173	0.1707693366094515	0.16328712197857606	0.16328712197857606	0.1707693366094515	0.11626894438193124	0.07398323146375806	0.35749727450800445	0.07539764950548046	0.3325051828945177	0.07291549318497438	0.22866622788589902	0.1669921991872985	0.35749727450800445	0.2704533720926314	0.345634948932308	0.23809967990620534	0.5414271701259984	0.2085712792294993	0.06309535809638288	0.20188458441688373	0.16612950740404223	0.16967301801774662	0.16612950740404223	0.16612950740404223	0.0731205396805018	0.0766640502942062	0.16967301801774662	0.16967301801774662	0.0766640502942062	0.20798842080995197	0.252200157656661	0.24664874361128683	0.25875821763861956	0.24664874361128683	0.24664874361128683	0.24664874361128683	0.25141438845321906	0.15256081520621892	0.11550918610944395	0.07961927498431605	0.08216225540928518	0.10948558157151264	0.19869265223741764	0.09139725388016313	0.18991645264581056	0.2178922156396502	0.09060365160269268	0.1584287165757099	0.16320823435886575	0.05269745766277316	0.02841945008942991	0.0	0.02841945008942991	0.0	0.1448523453177742
G1-12	0.03379354522187095	0.0	0.05692258363349746	0.0764536783412128	0.05938716197030614	0.05938716197030614	0.13420141895098203	0.09177507982187989	0.06286818801676304	0.1311086050244754	0.05938716197030614	0.1311086050244754	0.011986505735214521	0.13426605526572694	0.13426605526572694	0.13426605526572694	0.1115149821237911	0.4453747099498262	0.48899691407294726	0.16838509888256725	0.12858380091039118	0.46753383230627465	0.4028464555332113	0.1311086050244754	0.19935419898998957	0.09062624638439847	0.2978984178239581	0.3479798677713686	0.0055312913920886	0.13723648606168942	0.09647193520793469	0.13723648606168942	0.384796349905965	0.23734231962237304	0.31477119076902677	0.13812906950357468	0.1344627787595051	0.09733924598655402	0.140902776805759	0.18725957372027638	0.140902776805759	0.140902776805759	0.162971773249251	0.14378526954324572	0.2875530181093993	0.13723648606168942	0.2901103443180331	0.2884218316774351	0.36347459479840016	0.1444191458276794	0.1459740057743238	0.1422738229694869	0.13426605526572694	0.13426605526572694	0.1422738229694869	0.13863396859978172	0.09733924598655402	0.33624879893098575	0.0986359607555179	0.3141792053346817	0.09620327562923088	0.20398213563190226	0.13812906950357468	0.33624879893098575	0.29372010917468333	0.36307267739384325	0.21402508656534278	0.5362968957690816	0.24236482445137028	0.09658428162591769	0.17572266530076375	0.13723648606168942	0.140902776805759	0.13723648606168942	0.13723648606168942	0.09647193520793469	0.10003441836711989	0.140902776805759	0.140902776805759	0.10003441836711989	0.18675724688786374	0.23344182185978357	0.23206092210600252	0.235915199250031	0.23206092210600252	0.23206092210600252	0.23206092210600252	0.22828813635689327	0.13348249951252245	0.14700549470409693	0.05938716197030614	0.05692258363349746	0.1319884440869915	0.17716332211209257	0.11417803411727775	0.1727358934749986	0.23701513901335697	0.09839808641771912	0.17984358855244906	0.18452378948683582	0.08471016896603956	0.0055312913920886	0.03379354522187095	0.0055312913920886	0.03379354522187095	0.12536993497039142
G1-13	0.08216225540928518	0.05692258363349746	0.0	0.019679852555229933	0.0026133361843232636	0.0026133361843232636	0.08370994123028236	0.036956134866066935	0.006094362230780169	0.18000540790674371	0.0026133361843232636	0.18000540790674371	0.06778548046937118	0.1831591794883636	0.1831591794883636	0.1831591794883636	0.06267907365117877	0.42893926293302137	0.5086850489711091	0.11627099249592761	0.07797794669820338	0.43190955329057445	0.4250624961625558	0.18000540790674371	0.23821908342336368	0.1404352521482941	0.3279646449923912	0.3761052384360548	0.05676875617094776	0.1859150244738383	0.1460863273957624	0.1859150244738383	0.40814142946130566	0.1926207312155788	0.34596456581578994	0.18675724688786374	0.18329781430588846	0.1469060125401641	0.18937445705581354	0.13555497340587894	0.18937445705581354	0.18937445705581354	0.19923199078845547	0.08901187226415833	0.3235174778325295	0.1859150244738383	0.23952884934416027	0.2336484343983477	0.3854660598802708	0.18432364798423823	0.09613776529670091	0.1902917219814895	0.1831591794883636	0.1831591794883636	0.1902917219814895	0.08838909612633035	0.1469060125401641	0.2836940055954882	0.1478806250815125	0.3452033037992394	0.14570681152367315	0.24564272910849394	0.18675724688786374	0.2836940055954882	0.24282288581198486	0.3253901093164475	0.16411234271163766	0.49722937664087147	0.27974235848191753	0.14125912339930324	0.12404808590641793	0.1859150244738383	0.18937445705581354	0.1859150244738383	0.1859150244738383	0.1460863273957624	0.14945318803528296	0.18937445705581354	0.18937445705581354	0.14945318803528296	0.13033559990612842	0.1802590855212456	0.17900806108103798	0.18717933097098857	0.17900806108103798	0.17900806108103798	0.17900806108103798	0.17945102820739353	0.1774017967186065	0.09265129633980977	0.0026133361843232636	0.0	0.08137389302237265	0.12069334374332465	0.16150759136321582	0.11596206768901571	0.1947967832885861	0.14738228830119474	0.1320841374224363	0.13702503528405743	0.029464797746512016	0.05676875617094776	0.08216225540928518	0.05676875617094776	0.08216225540928518	0.1701174876756402
G1-130	0.09622632971917004	0.0764536783412128	0.019679852555229933	0.0	0.01706651637090667	0.01706651637090667	0.09130868541063626	0.05091165183389436	0.013632946967935112	0.19899684255263184	0.01706651637090667	0.19899684255263184	0.08050603617039978	0.1959794045196145	0.1959794045196145	0.1959794045196145	0.08102291307699884	0.423995290882999	0.5038183214254296	0.13564698985928075	0.09692968546599369	0.44075481270734906	0.42319639729231284	0.19899684255263184	0.2544768479037878	0.1590205650671663	0.34213429073475876	0.3860224836218705	0.07122193635753117	0.19516523612656736	0.15497820199461354	0.19516523612656736	0.4147812123318656	0.2036767260542849	0.34917219491050633	0.18972955001494682	0.192540590022336	0.14955272936253772	0.19236333340225775	0.13820304330148622	0.19236333340225775	0.19236333340225775	0.21150219960575764	0.09656334572513597	0.3321648805270319	0.19516523612656736	0.24274629924220545	0.24168728803278333	0.3915790798226316	0.1975167082265314	0.10843564294725017	0.20300601452713113	0.1959794045196145	0.1959794045196145	0.20300601452713113	0.10078597569190738	0.14955272936253772	0.2731613502548295	0.15673223790853225	0.3529781937105727	0.15457506544018706	0.24874427077235928	0.18972955001494682	0.2731613502548295	0.23202213536776606	0.3323533616501617	0.16683891725341396	0.5035905052395694	0.28800738222315214	0.14898665382641177	0.14323386433196794	0.19516523612656736	0.19236333340225775	0.19516523612656736	0.19516523612656736	0.15497820199461354	0.15211560030982332	0.19236333340225775	0.19236333340225775	0.15211560030982332	0.13295061864558538	0.1830209714559244	0.18323755357931398	0.1899755849150831	0.18323755357931398	0.18323755357931398	0.18323755357931398	0.18815149712673065	0.19172811384979443	0.10648850057927282	0.01706651637090667	0.019679852555229933	0.09386030897690127	0.1399042118439651	0.17958670898066714	0.1304152478755991	0.21028158782918235	0.16580044545836864	0.1497968747230265	0.1546254151409239	0.04352887205639688	0.07122193635753117	0.09622632971917004	0.07122193635753117	0.09622632971917004	0.18457066786222362
G1-131	0.07961927498431605	0.05938716197030614	0.0026133361843232636	0.01706651637090667	0.0	0.0	0.08116696080531323	0.03443278311979759	0.003481026046456906	0.182124003631372	0.0	0.182124003631372	0.07020260368505618	0.18527715219680413	0.18527715219680413	0.18527715219680413	0.06498147954936212	0.4298241557135913	0.5095548474042664	0.11858047348837408	0.0803226307311397	0.4329101947180447	0.4260453870716475	0.182124003631372	0.23991741831128696	0.1425969559046362	0.3292867360365087	0.3773415679697328	0.0541554199866245	0.18802382822257538	0.1482392616464821	0.18802382822257538	0.4091734387043356	0.19442579763182138	0.34733218778648733	0.18886386894569956	0.18541339766950526	0.14905688015548632	0.1914742994987697	0.13779422970892102	0.1914742994987697	0.1914742994987697	0.19701336621742682	0.08649061710711917	0.32090414164820624	0.18802382822257538	0.2414461911545308	0.23112717924130854	0.3836617939976035	0.1819381590283096	0.09839942086135248	0.19237291559847083	0.18527715219680413	0.18527715219680413	0.19237291559847083	0.09068964619584986	0.14905688015548632	0.2855659539697131	0.1500181722931384	0.3465639297384928	0.1478552579078695	0.24745565614595463	0.18886386894569956	0.2855659539697131	0.24474346220852056	0.3266534398566968	0.1661999674220104	0.4954310732861819	0.2771993780569484	0.13873786824226406	0.12631714962296678	0.18802382822257538	0.1914742994987697	0.18802382822257538	0.18802382822257538	0.1482392616464821	0.15159763357125222	0.1914742994987697	0.1914742994987697	0.15159763357125222	0.13258837646164195	0.18226094017647065	0.17656600332856143	0.1891594245348549	0.17656600332856143	0.17656600332856143	0.17656600332856143	0.18145485618524634	0.1748113991407933	0.09014933718189186	0.0	0.0026133361843232636	0.08370994123028236	0.12297304366560452	0.16356473894826423	0.11334873150469245	0.19649646130681625	0.14950924148810663	0.13416202369317687	0.13907935878599487	0.026921817321542883	0.0541554199866245	0.07961927498431605	0.0541554199866245	0.07961927498431605	0.16750415149131695
G1-132	0.07961927498431605	0.05938716197030614	0.0026133361843232636	0.01706651637090667	0.0	0.0	0.08116696080531323	0.03443278311979759	0.003481026046456906	0.182124003631372	0.0	0.182124003631372	0.07020260368505618	0.18527715219680413	0.18527715219680413	0.18527715219680413	0.06498147954936212	0.4298241557135913	0.5095548474042664	0.11858047348837408	0.0803226307311397	0.4329101947180447	0.4260453870716475	0.182124003631372	0.23991741831128696	0.1425969559046362	0.3292867360365087	0.3773415679697328	0.0541554199866245	0.18802382822257538	0.1482392616464821	0.18802382822257538	0.4091734387043356	0.19442579763182138	0.34733218778648733	0.18886386894569956	0.18541339766950526	0.14905688015548632	0.1914742994987697	0.13779422970892102	0.1914742994987697	0.1914742994987697	0.19701336621742682	0.08649061710711917	0.32090414164820624	0.18802382822257538	0.2414461911545308	0.23112717924130854	0.3836617939976035	0.1819381590283096	0.09839942086135248	0.19237291559847083	0.18527715219680413	0.18527715219680413	0.19237291559847083	0.09068964619584986	0.14905688015548632	0.2855659539697131	0.1500181722931384	0.3465639297384928	0.1478552579078695	0.24745565614595463	0.18886386894569956	0.2855659539697131	0.24474346220852056	0.3266534398566968	0.1661999674220104	0.4954310732861819	0.2771993780569484	0.13873786824226406	0.12631714962296678	0.18802382822257538	0.1914742994987697	0.18802382822257538	0.18802382822257538	0.1482392616464821	0.15159763357125222	0.1914742994987697	0.1914742994987697	0.15159763357125222	0.13258837646164195	0.18226094017647065	0.17656600332856143	0.1891594245348549	0.17656600332856143	0.17656600332856143	0.17656600332856143	0.18145485618524634	0.1748113991407933	0.09014933718189186	0.0	0.0026133361843232636	0.08370994123028236	0.12297304366560452	0.16356473894826423	0.11334873150469245	0.19649646130681625	0.14950924148810663	0.13416202369317687	0.13907935878599487	0.026921817321542883	0.0541554199866245	0.07961927498431605	0.0541554199866245	0.07961927498431605	0.16750415149131695
G1-135	0.1069426011465435	0.13420141895098203	0.08370994123028236	0.09130868541063626	0.08116696080531323	0.08116696080531323	0.0	0.061545206836618085	0.0780440095992814	0.16526553924748236	0.08116696080531323	0.16526553924748236	0.13790795505272319	0.1619289019360264	0.1619289019360264	0.1619289019360264	0.13527677677820105	0.44083466471008875	0.47082913258006637	0.09992113908236032	0.006248053379358235	0.4454449891386513	0.3893456267048982	0.16526553924748236	0.19627420816063904	0.07268198857204096	0.294007072371928	0.36379559751464235	0.1338644184680864	0.17126787641730343	0.07843755654771312	0.17126787641730343	0.3711052548842393	0.12922932060260306	0.33233132137407484	0.1656413268192025	0.16859220679496512	0.07248152828188063	0.16832649308082523	0.11310958177409361	0.16832649308082523	0.16832649308082523	0.22085161608774703	0.011667395642358252	0.3058488586909705	0.17126787641730343	0.1701221176007073	0.16411789478997568	0.34224199360265406	0.12248403849334721	0.019578709715525704	0.16943531879194715	0.1619289019360264	0.1619289019360264	0.16943531879194715	0.010717929735584065	0.07248152828188063	0.26492560057730064	0.08068201106724471	0.33635165818553575	0.07821876871852036	0.22750812076340393	0.1656413268192025	0.26492560057730064	0.17315219889719072	0.28244833051696255	0.14320830829330805	0.48826716697466266	0.21209285758984395	0.06673728528239246	0.10801904367965968	0.17126787641730343	0.16832649308082523	0.17126787641730343	0.17126787641730343	0.07843755654771312	0.07516669454350336	0.16832649308082523	0.16832649308082523	0.07516669454350336	0.11279301748584367	0.16483741632900306	0.16511780037189366	0.16736547517255704	0.16511780037189366	0.16511780037189366	0.16511780037189366	0.16552646606501173	0.16261322200634162	0.02306705006577016	0.08116696080531323	0.08370994123028236	0.0026888367608667897	0.10960865203579714	0.09652965193827998	0.09965880862606413	0.21540255528678237	0.09578685792828685	0.06734945920103592	0.07291101960378017	0.05424514348377034	0.1338644184680864	0.1069426011465435	0.1338644184680864	0.1069426011465435	0.15503130723516287
G1-136	0.06000946724509649	0.09177507982187989	0.036956134866066935	0.05091165183389436	0.03443278311979759	0.03443278311979759	0.061545206836618085	0.0	0.03779394775136248	0.20997704376243947	0.03443278311979759	0.20997704376243947	0.10197611048968398	0.2131182733390623	0.2131182733390623	0.2131182733390623	0.09530570798599351	0.41618667913973556	0.49355526250371623	0.14893020088230358	0.06070739395132254	0.41740168647748205	0.4110267417191396	0.20997704376243947	0.23409470006055033	0.12272132772984352	0.3230551166724222	0.39373536204473514	0.0867234812752611	0.2157453989342245	0.12827053140355588	0.2157453989342245	0.3939462018569834	0.1763895433161057	0.36543861506246356	0.21655675993851436	0.21322409074419907	0.12908189240784576	0.2190780681285398	0.16723068247673437	0.2190780681285398	0.2190780681285398	0.17909657945207194	0.06699446965195383	0.34428730205638636	0.2157453989342245	0.22076411747039812	0.21052408036631162	0.3680483640017552	0.1627928070958106	0.07895894591097177	0.21973933343795646	0.2131182733390623	0.2131182733390623	0.21973933343795646	0.0711432652877997	0.12908189240784576	0.3101659065300735	0.1301360961813442	0.3645811058789871	0.12793948703213384	0.2713512234470766	0.21655675993851436	0.3101659065300735	0.22391194616904697	0.31077603306013263	0.1936793292770125	0.5075161464530689	0.2560644951254053	0.11884185530375926	0.15614543985870677	0.2157453989342245	0.2190780681285398	0.2157453989342245	0.2157453989342245	0.12827053140355588	0.1316032005978712	0.2190780681285398	0.2190780681285398	0.1316032005978712	0.1622025615742272	0.20863206844390966	0.20312078664865696	0.2152460904234063	0.20312078664865696	0.20312078664865696	0.20312078664865696	0.20785197971862202	0.20298405364011257	0.05600846990623485	0.03443278311979759	0.036956134866066935	0.06406855858288743	0.13868318499232116	0.14401536244732654	0.14387860233568478	0.17944760678472568	0.14374505351952535	0.1152953236747095	0.12028348504030814	0.00771876908963298	0.0867234812752611	0.06000946724509649	0.0867234812752611	0.06000946724509649	0.1961693004911483
G1-138	0.08300658548345871	0.06286818801676304	0.006094362230780169	0.013632946967935112	0.003481026046456906	0.003481026046456906	0.0780440095992814	0.03779394775136248	0.0	0.18556552564360307	0.003481026046456906	0.18556552564360307	0.06698015657341276	0.18245352492262748	0.18245352492262748	0.18245352492262748	0.06825342132814259	0.4286448497683015	0.5083955725453609	0.12206149953483099	0.08370994123028236	0.431576535160208	0.42832256345057335	0.18556552564360307	0.2428870784652155	0.14594684934680668	0.3319072282076074	0.37569366119061687	0.05763644603308141	0.1914742994987697	0.15159763357125222	0.1914742994987697	0.41149605590093496	0.1920196160362917	0.34550921444093413	0.18605537640156036	0.18886386894569956	0.1461894668318213	0.18867484535702017	0.13480891271382073	0.18867484535702017	0.18867484535702017	0.19996862699305484	0.0834123749605951	0.3185319335590968	0.1914742994987697	0.23889010103819286	0.22853631726824244	0.3821769643684334	0.18511568713928747	0.09538433057408728	0.18959834220178728	0.18245352492262748	0.18245352492262748	0.18959834220178728	0.08762268239879131	0.1461894668318213	0.28307030302105096	0.15335956304831977	0.3493317906200935	0.15120515135003998	0.24503885251103336	0.18605537640156036	0.28307030302105096	0.24218304689457457	0.3291478983504609	0.16341688799667098	0.49421953540835944	0.27474270641179727	0.1358356830618709	0.1297676208991611	0.1914742994987697	0.18867484535702017	0.1914742994987697	0.1914742994987697	0.15159763357125222	0.14873878179538824	0.18867484535702017	0.18867484535702017	0.14873878179538824	0.1295850346252467	0.1795922529664141	0.1798188824239941	0.18651975246810762	0.1798188824239941	0.1798188824239941	0.1798188824239941	0.18470773528067902	0.1782618704169876	0.09348200637620716	0.003481026046456906	0.006094362230780169	0.08059563316554641	0.12642646298943835	0.1668327107936153	0.11682975755114935	0.19930818828349808	0.15283212848602368	0.13735103558550185	0.1422502593913139	0.030309127820685542	0.05763644603308141	0.08300658548345871	0.05763644603308141	0.08300658548345871	0.17098517753777384
G1-139	0.16012933521846592	0.1311086050244754	0.18000540790674371	0.19899684255263184	0.182124003631372	0.182124003631372	0.16526553924748236	0.20997704376243947	0.18556552564360307	0.0	0.182124003631372	0.0	0.14187446183835112	0.03009742993348612	0.03009742993348612	0.03009742993348612	0.22696370253891657	0.5167760531507588	0.52105686315331	0.0735067865678069	0.15951256760678417	0.5477138446671985	0.43143290384515265	0.0	0.21108741800660785	0.09823432670916847	0.3121409750201233	0.2905975528679354	0.1358570620281709	0.012782342245537464	0.1097610041704494	0.012782342245537464	0.40341119757949623	0.25434357607484087	0.23629506787341764	0.013792758701777768	0.009642468289326236	0.11067216304641508	0.016932632657988996	0.07655692934393024	0.016932632657988996	0.016932632657988996	0.2576908769481228	0.15852518557915585	0.20155867298005992	0.012782342245537464	0.3119192551101214	0.31003518453965584	0.3925340344555844	0.17536696439503446	0.1607781986697318	0.019638037313541787	0.03009742993348612	0.03009742993348612	0.019638037313541787	0.16970346051868154	0.11067216304641508	0.26052192863356377	0.11195898030919325	0.23621201366717054	0.10410904058499275	0.09278728126356768	0.013792758701777768	0.26052192863356377	0.33095313168956286	0.38160737128717437	0.11097277066764598	0.49145591189454846	0.2795543054659252	0.10980465969582225	0.06358936745098151	0.012782342245537464	0.016932632657988996	0.012782342245537464	0.012782342245537464	0.1097610041704494	0.11350359359858625	0.016932632657988996	0.016932632657988996	0.11350359359858625	0.07631617683561451	0.1354769232413172	0.13420349276748889	0.13823744598876983	0.13420349276748889	0.13420349276748889	0.13420349276748889	0.12945636203847896	0.009307324715043277	0.16177908883615869	0.182124003631372	0.18000540790674371	0.16304923578905353	0.08438916642455914	0.14507004075203445	0.07890374052680112	0.33514919896413387	0.1292285471493554	0.2107533307320765	0.20030572926299464	0.2038994877828014	0.1358570620281709	0.16012933521846592	0.1358570620281709	0.16012933521846592	0.019799638758509496
