	G1-11	G1-12	G1-13	G1-130	G1-131	G1-132	G1-135	G1-136	G1-138	G1-139	G1-14	G1-140	G1-141	G1-142	G1-143	G1-144	G1-15	G1-175	G1-176	G1-177	G1-178	G1-180	G1-182	G1-187	G1-188	G1-189	G1-190	G1-192	G1-193	G2-1100	G2-1101	G2-1102	G2-1103	G2-1104	G2-1105	G2-1106	G2-1107	G2-1108	G2-1109	G2-1110	G2-1111	G2-1113	G2-194	G2-197	G2-198	G2-199	G2-21	G2-210	G2-211	G2-212	G2-213	G2-214	G2-215	G2-216	G2-217	G2-218	G2-219	G2-22	G2-220	G2-221	G2-222	G2-223	G2-224	G2-23	G2-24	G2-25	G2-26	G2-27	G2-28	G2-29	G2-313	G2-314	G2-315	G2-316	G2-317	G2-318	G2-319	G2-320	G2-321	G2-322	G2-323	G2-324	G2-325	G2-326	G2-327	G2-328	G2-329	G2-330	G2-413	G2-414	G2-415	G2-416	G3-417	G3-418	G3-419	G3-420	G3-421	G3-422	G3-423	G3-424	G3-425	G3-426	G3-427	G3-428	G3-429	G3-430
G1-11	0.0	0.11383578827001226	0.08607064398545183	0.22019537689914048	0.13378943553576816	0.23269553147120917	0.18700271143278355	0.10422350063308833	0.13000312288515975	0.12613812210727168	0.10190375406705746	0.12432772294622824	0.1884984176714083	0.18471562926231389	0.0953564064365209	0.1529736669545595	0.07213374587730201	0.1474261327637137	0.18381592226442228	0.13173983529549707	0.07851632724788049	0.17837815910723606	0.18263698915422158	0.05982515804172344	0.11156727807709738	0.058903912704070624	0.061880544483655944	0.07741081430972407	0.09156408016859087	0.07025905813604862	0.12458087713390047	0.06856562025555457	0.056160716148436624	0.17326110887584412	0.1858368435202206	0.1940579266109152	0.18685068243665476	0.18894751450867328	0.19058940930162913	0.1940169896576427	0.17621897597319636	0.18160788847135867	0.05199178732875213	0.16595810800871155	0.18906655880497045	0.13847456112601622	0.18129307218440907	0.18755589346142504	0.18757126973233162	0.18234845886944198	0.1929369521170951	0.175923212375225	0.1914809424777219	0.19194760810404815	0.19703151775958924	0.20163715096602666	0.16610129159094225	0.18077897693282793	0.15023855787261894	0.117806114748748	0.14146946990281462	0.11926902449894666	0.1867349490605345	0.1816701760401098	0.20148666315828645	0.15623483600448299	0.23127680268351442	0.18936925587007436	0.1888262654130041	0.1871010892507149	0.1937802596348782	0.10101650555940908	0.18520049680346687	0.08121310441272583	0.15690018364748287	0.15873268394897247	0.1944605180296577	0.17981158430530458	0.16723745514292587	0.1908679096975495	0.1441044990720917	0.07616959931535397	0.09731442736328712	0.06914884914586536	0.09736551734916682	0.08170916934915984	0.08466058791145635	0.1299335455700021	0.13376358413855652	0.07125135472102077	0.119691010878936	0.14170030015537133	0.10645914958487993	0.06975680337559843	0.08235903545573338	0.08318018376837472	0.049132620035464966	0.07442840486749538	0.06969576623543008	0.06864192511839771	0.06689770692784949	0.03768721084096973	0.07709640792501225	0.08595475736666458	0.14717081065363583	0.09103161838700728
G1-12	0.11383578827001226	0.0	0.19789233115952884	0.2617095960569889	0.09746145305001153	0.27438168588004025	0.13273228180236515	0.03938875067824894	0.11837068157948445	0.18815431826425244	0.03897061068656635	0.18627476604114107	0.25078269479179377	0.24717184163368203	0.1578126188078889	0.21542987932592755	0.12641072691431265	0.08416141203862615	0.07482521857450915	0.19406816758597067	0.1405070621783213	0.07359968673770895	0.0716658854278708	0.10287261381737718	0.1738281332518496	0.11386819514741117	0.12099583818647824	0.13986702668109216	0.0247289502824081	0.07511659884877342	0.026558539272619777	0.10090443222031546	0.10574975166820404	0.07961059843101827	0.07538969521460206	0.08361077830529669	0.07640353413103623	0.0788505098469525	0.08014226099601064	0.08356984135202418	0.06577182766757787	0.07116074016574019	0.08214510171857765	0.06016948903337791	0.07636173359263111	0.028071467990485863	0.0844102605053583	0.07554508259494873	0.07782079087511397	0.07266819213330103	0.25533028456832774	0.23837942474659315	0.25393715484909	0.25440382047541626	0.25900555350485616	0.263239960224414	0.2287045667535624	0.11944640063557196	0.21383203305345788	0.18012115223251762	0.20411680028552295	0.1809664480459419	0.24863793693535924	0.11033063943585245	0.14580767765943778	0.05538619907517402	0.17606993105208577	0.07659527969566711	0.07681545589652776	0.07509027983423858	0.08337716649934783	0.04845219403923117	0.07475334849784837	0.06580410837266144	0.04649709051195251	0.048679734457339856	0.08436351336793693	0.06936443599968607	0.05679030683730736	0.08077090503582873	0.0337236268076812	0.06526708457287687	0.15894969155431818	0.12370254554205785	0.15941191029585672	0.13015900726401372	0.1446674976033709	0.04565368008714161	0.023969010231258518	0.13420111580815186	0.100175566240311	0.12457788028753582	0.1685777645962152	0.12144610293279388	0.05333309034039392	0.14574666319100407	0.10970227841161098	0.1374273780444974	0.11991781880171531	0.0738863131011197	0.15645575344658885	0.1199573433500895	0.1423767126924787	0.1485543748098979	0.21042930389698758	0.15363123583024058
G1-13	0.08607064398545183	0.19789233115952884	0.0	0.16060826097735076	0.18489018502654656	0.16872365689228672	0.23254508546499228	0.17928628983652603	0.1614962483046699	0.13812395900229113	0.17621609992105683	0.1377939714127553	0.17650033244102284	0.1728894792829111	0.1384709449295753	0.14835277045439882	0.10956420009357665	0.21910986578176	0.2685727524417343	0.13662464637091537	0.13012838636781401	0.26179794597484973	0.26739381933153356	0.12970975915134375	0.13702148836645367	0.12872872555331305	0.13090743163994917	0.13829029046086963	0.17607476061133395	0.15327933116200304	0.20795129380375266	0.13640713884985084	0.13753288198689206	0.2555668536707662	0.26881306137608685	0.27703414446678143	0.269826900292521	0.27227387600843733	0.27356562715749544	0.2763078273391391	0.25919519382906264	0.26458410632722495	0.12214917692131551	0.24917402306452807	0.27404898983057335	0.2214948341519707	0.2559747641240035	0.2725469584585211	0.2735978585476953	0.26837504768480563	0.18036254204318705	0.16409706239582228	0.17965479249831912	0.18012145812464536	0.18472319115408536	0.18827221769927333	0.15449135746485945	0.25455481720679735	0.14423270978594674	0.14271569931932396	0.14031117935572537	0.13677449259437297	0.17442472764665623	0.2554460163140792	0.250895213309659	0.23147449405873913	0.2551367110089701	0.26400183121806226	0.27450271058446996	0.27277753442218083	0.2761151524864628	0.18403677858536355	0.2681767146593331	0.16423337743868022	0.23992045667343725	0.24210310061882462	0.27778687952942177	0.2627878021611708	0.25021367299879216	0.27419427119731354	0.22699507783720896	0.15849357501745448	0.11838584637431279	0.13489017069696407	0.12185584810078191	0.11687425221249279	0.11885776547597648	0.20267311598040955	0.21729008531007132	0.13055809519355982	0.15703876510711626	0.16488478832851214	0.11527738767115028	0.11379027404606154	0.16656366720395882	0.1319074113208638	0.11830635690268713	0.12971511084877443	0.12928416841372578	0.1429010907815481	0.10138759572865717	0.10371444080707419	0.12672926060368378	0.13021278117001087	0.14092766693081044	0.133842559907847
G1-130	0.22019537689914048	0.2617095960569889	0.16060826097735076	0.0	0.18056158172500114	0.019464129273883142	0.24597188114539573	0.23985796725280328	0.1672013706769679	0.28749365932881105	0.24987048916148075	0.28709451877720726	0.32885663332418186	0.3252457801660702	0.288063226748015	0.2959055690180631	0.2556155983196384	0.21250939521173023	0.25438290445587547	0.2859943469474351	0.2794980869443339	0.24781375027901467	0.25514537081972016	0.27907945462786365	0.2863911887429736	0.27809842582983296	0.2802771319164691	0.2878825722793093	0.26629578756934785	0.28380391688682227	0.27965820040589656	0.2859051667142428	0.24339198786026683	0.2514742348686669	0.2778635476275526	0.2765979084484609	0.2770240971101176	0.2756323288980312	0.27692408004708935	0.27587159132081857	0.27773240235031477	0.27742928148660523	0.27118788225200474	0.24827846151250485	0.2598720171008492	0.2799203309264136	0.24815890208530236	0.25836998572879694	0.2594208858179711	0.25424213012516966	0.33271884292634607	0.3164533632789811	0.33201109338147816	0.3324777590078044	0.33707949203724424	0.3406285185824322	0.30670935222388257	0.24653339079026687	0.2916912573955632	0.2922137301837158	0.28844955466693367	0.2859618315766689	0.32664272240567926	0.24742458989754873	0.24287378689312844	0.24457347453365613	0.2542529712161625	0.25599328005766636	0.2603257378547459	0.25860056169245665	0.2757921242502983	0.2823065070929091	0.27722720091079894	0.28337389523975587	0.2793725057583076	0.2777604624457803	0.2754532990571439	0.2775303217745084	0.27823760378983053	0.27565537963295017	0.27359326467339623	0.27945424608179514	0.2735872824309377	0.2843441463912678	0.27705696441894	0.2723089951421246	0.2739265862518582	0.27485641004000977	0.2737247703905696	0.2795968005242491	0.2480341019578481	0.26857270958714485	0.27177201565083203	0.2692952581713057	0.27442306466586025	0.28124403803681464	0.2676760574792069	0.2790848114252943	0.2786538686902457	0.2714576466596325	0.2504263010593464	0.25275314613776345	0.2757679659343731	0.2793507080824075	0.2881589174875717	0.2828812652385363
G1-131	0.13378943553576816	0.09746145305001153	0.18489018502654656	0.18056158172500114	0.0	0.1939457521149591	0.1405282570867989	0.08087352005261657	0.028829922541307132	0.2583495254035717	0.07889777117050921	0.25643634415361355	0.32107689475327894	0.3162624948382888	0.2174468332084504	0.2810818275108815	0.18021584894861997	0.049157070577415425	0.09604278508184075	0.2629916071987163	0.21103693174237426	0.08923426157591485	0.09486385197164002	0.1721966726762904	0.24278995417419225	0.18374667665425096	0.18790012042215218	0.19932930583067102	0.10408545971276974	0.13941959234310705	0.10935100518498846	0.16520742571464914	0.13601795010424153	0.08107278869371125	0.10760040757673275	0.106334768397641	0.1067169018892096	0.10536918884721135	0.10666093999626952	0.10560845126999871	0.10746926229949491	0.10716614143578537	0.15263215722746123	0.08198566149331411	0.10016266086691591	0.10961313570550554	0.08529537290938988	0.09787010630201845	0.096272824564385	0.09397291296820029	0.32518019266849374	0.3066795547583545	0.32388748430861	0.3243541499349362	0.3296099948414599	0.33388039151742527	0.29814666969363185	0.11770550660647663	0.28166724284182026	0.24611179506628877	0.2728394278531894	0.25184750133081735	0.31921064395349047	0.10898970107476896	0.1431002233993138	0.07337058551387454	0.17243743649172935	0.0922407958395822	0.09648993559722917	0.09538524218517695	0.10541577596732235	0.11675810613314375	0.10696406085997903	0.13010710186699503	0.10906531053739951	0.1074532672248723	0.10519015900632402	0.10726718172368854	0.10797446373901076	0.10539223958213033	0.10289760588915145	0.12881842185163273	0.2215468998998931	0.18594939851328213	0.22115696291654277	0.18977553213106182	0.20665487738973268	0.10785055900336377	0.09850770776283885	0.20000997433003984	0.15732344387793093	0.18764598789187525	0.23116320821821074	0.18327753010965084	0.11180516947175392	0.2139137895390853	0.16619002908581965	0.20651803234910407	0.18239290268203542	0.12512403015826087	0.19882707836479926	0.17034588437126488	0.2097774357275399	0.21738011632977733	0.28039421613157817	0.2227016262703781
G1-132	0.23269553147120917	0.27438168588004025	0.16872365689228672	0.019464129273883142	0.1939457521149591	0.0	0.25893483459991457	0.25304350199924186	0.18016381237462292	0.2999938140008798	0.2632215856908696	0.29966382641134387	0.3240032042711506	0.32039235111303893	0.3001741516331591	0.3059770106484317	0.26880113306607695	0.22539747565585244	0.27296301791186955	0.298494501519504	0.29199824151640263	0.266188211444985	0.27178408480166877	0.2915796093499324	0.29889134336504225	0.2905985805519017	0.2927772866385378	0.2999934971644533	0.2789945777849359	0.296009092726014	0.2918633762450883	0.29811034255343455	0.2555971636994586	0.26358516000381105	0.29011277863683244	0.2888471394577408	0.28922927294930945	0.2878815599073111	0.2891733110563693	0.28812082233009845	0.2899816333595947	0.28967851249588517	0.2838866724675928	0.26102130689818104	0.2783068956983972	0.29212550676560534	0.26721883133783675	0.2768048643263451	0.2778557644155192	0.2726329535526296	0.3278654138733148	0.3115999342259499	0.32715766432844684	0.32762432995477303	0.3322260629842132	0.33577508952940094	0.30439598045473454	0.2657988844206307	0.3004972944767961	0.30441890602290766	0.30065473050612546	0.29864434759296166	0.32192759947678395	0.26669008352791257	0.26213928052349234	0.25789731570423063	0.2622112111782195	0.27511353882958434	0.278760616452294	0.27703544029000476	0.28792814702742214	0.2945116829321009	0.2894764319200788	0.29557907107894765	0.29157768159749936	0.2899656382849721	0.2877025300664239	0.2897795527837883	0.29048683479911047	0.28790461064223005	0.28637519460150096	0.2918701253860799	0.2869771436642882	0.2965933774005478	0.2904802189513265	0.2853322305964643	0.287449062765952	0.28774696605357136	0.2860577020624426	0.2922955907398372	0.2612196367042867	0.27251853855749686	0.284001044563437	0.2824807929177442	0.2865232643699171	0.29374419260888346	0.2801762120512757	0.291584965997363	0.29115402326231443	0.2842432265380592	0.26312509127493455	0.2654519363533515	0.2884667561499611	0.29195027671628815	0.29729268818549154	0.29558005545412425
G1-135	0.18700271143278355	0.13273228180236515	0.23254508546499228	0.24597188114539573	0.1405282570867989	0.25893483459991457	0.0	0.11279042340656417	0.14142225458589502	0.23011029430992863	0.12234550829292234	0.22819711305997042	0.29464048503682017	0.2875792529065457	0.2103953787764626	0.2536021323360169	0.130069832869637	0.14611983522039979	0.12791167559775896	0.23475237615507322	0.20179421120492436	0.12587626543266944	0.12479639762120882	0.1833186890306332	0.21900957746526956	0.18811387960536965	0.19190305693957155	0.20205679128865534	0.1443529716215836	0.1720414838188064	0.14715079114622884	0.18501997767169573	0.1833001000146632	0.13227377320273548	0.12327196620925324	0.12891587709439875	0.12175268809022648	0.12380546499215683	0.1254473597851127	0.12818955996675646	0.12586013193838258	0.12351752781989767	0.1737147488110042	0.11059780962407333	0.12774344722509495	0.14232444329790925	0.07943583758888403	0.12510074901629972	0.12640385341224605	0.12421821090722615	0.296146807092853	0.2779963128266116	0.2952042423768669	0.2956709080031931	0.3009267529097168	0.3048470059417845	0.2701034841362098	0.04605391065417528	0.2546583124727052	0.2251920926274524	0.24484029746585553	0.22421240369929607	0.2905274020217474	0.05516967185389481	0.022853518230784655	0.10264115819478457	0.04743807883048634	0.11022625975658396	0.1242363840644584	0.12271866708837298	0.12804094028416826	0.15898700224783266	0.12195579174090772	0.1675324956621892	0.13497834166388523	0.13233632590586847	0.1293184685131413	0.12429839585939263	0.12976447213585748	0.12572586018103307	0.13235073700036898	0.16435895024702826	0.17281138849427422	0.1922967181194142	0.18575624847218541	0.14492575296327842	0.17069990215874944	0.12764299027921616	0.13374460709672975	0.19476755247123054	0.07583961664788588	0.08109729096484145	0.17615203534451937	0.15291675151238568	0.15623615248815612	0.2032198764532987	0.1827870685303775	0.19990081101782758	0.18279845319211405	0.1498862595600831	0.2085128449910203	0.19324343591881038	0.2034583183504478	0.20666332477507982	0.2543792692980218	0.2090699695511888
G1-136	0.10422350063308833	0.03938875067824894	0.17928628983652603	0.23985796725280328	0.08087352005261657	0.25304350199924186	0.11279042340656417	0.0	0.08794825935133516	0.1948169412116333	0.019751029823538	0.19300654205058992	0.2571876629190113	0.2535768097608996	0.16421758693510655	0.22183484745314513	0.10475897906087198	0.0875811471736892	0.10023230559677038	0.19901426502427233	0.14630420190004292	0.09342378209084445	0.09905337248656967	0.10925862451648638	0.18024609718145906	0.12018067445089434	0.12720634292988386	0.14627199480830974	0.04904142177434139	0.08264895872813803	0.059117921558744055	0.10763620837976431	0.10222938400156709	0.09587069020905976	0.1033418442295369	0.1115629273202315	0.10435568314597105	0.10645251521798957	0.10809441001094547	0.11083661019258918	0.09372397668251269	0.09911288918067498	0.08731845489441795	0.0798746783829433	0.1050997887928866	0.05973019572315888	0.07783343046003284	0.10324761377693667	0.10429851461611077	0.09907570300322115	0.26076888193934566	0.2447843928738107	0.26034212297630754	0.2608087886026338	0.2655488277562096	0.26946908078827725	0.2351743096092897	0.10091937125013371	0.21931157589096642	0.18648493395310964	0.21049843275107402	0.18778633439556702	0.25545782343498424	0.0918036100504142	0.1269305046301018	0.06171325723857089	0.15692620853315922	0.0875826018243756	0.1052033661528855	0.10347819004059632	0.11055582499973651	0.06959447715716428	0.1027054975127832	0.07813997057152082	0.07436112918671099	0.07619362948820058	0.11196551873897401	0.09731658501462088	0.08474245585224219	0.10837291040686582	0.06095725772764218	0.0750654526460204	0.1458786474325608	0.12846629141857357	0.1489539515244064	0.1168823987644269	0.13143494427387223	0.044776783396792995	0.053271226175431736	0.13924891938341838	0.08178274907937656	0.11184525005216193	0.15510043452477595	0.10775262685131091	0.06631544166447656	0.1513119289225024	0.10805221225285307	0.1435389381838539	0.12184799238531178	0.07030175997317412	0.1460478827440687	0.11144467272075015	0.1462306671968733	0.15473887299462782	0.21602734714466976	0.15981573401497057
G1-138	0.13000312288515975	0.11837068157948445	0.1614962483046699	0.1672013706769679	0.028829922541307132	0.18016381237462292	0.14142225458589502	0.08794825935133516	0.0	0.2535968458903316	0.08760528303248746	0.25168366474037346	0.31581354502393694	0.3109991451089468	0.21218348347910837	0.2758184777815394	0.17200293917452988	0.07503444974708022	0.12449733640705461	0.25823892793547626	0.20721748107116175	0.11768881290112868	0.12336245846694205	0.16837722205507794	0.23793728579394918	0.17992722603303854	0.183480737098922	0.1921746683405198	0.12260669328188063	0.13744039347822523	0.1264963994813815	0.15762414081035667	0.12843466519994914	0.1019688168279306	0.12470174670303759	0.12343610752394586	0.12386229618560264	0.1224705279735162	0.12376227912257434	0.12270979039630354	0.12457060142579973	0.12426748056209022	0.1491440226022539	0.10318215089870401	0.12894852823813485	0.12675853000189855	0.11032302336275471	0.12665597367323742	0.125058691935604	0.12280283550950741	0.3199168429391518	0.3014162050290126	0.3186241345792679	0.31909080020559416	0.324346645112118	0.3286170417880833	0.2928833199642898	0.12752206638144128	0.2764479482825663	0.24089250050703484	0.26762013329393547	0.24735073309849806	0.3139472942241486	0.11880626084973366	0.15268347640127158	0.09085291392149844	0.18085415237865254	0.11759976233895214	0.12527580296844815	0.12417110955639599	0.12256117071371535	0.1291447061683941	0.12406539998628388	0.13293140532160802	0.12621070528379252	0.12459866152126532	0.12418884258658613	0.12436852084999338	0.12507580286531556	0.1224935787084352	0.12089731177130707	0.1297913813138451	0.213300085031611	0.17883596938347518	0.2131756347498867	0.18122875076177086	0.19897364363244757	0.11476726485960048	0.11426179279208751	0.19602247027500863	0.15519565407916602	0.18443841447350676	0.22260627652302362	0.17589766889218839	0.115440703858552	0.2098610320948659	0.16187063507959246	0.2026319225998897	0.17750690486279133	0.1151644234926824	0.19487271203037212	0.16685774974605755	0.20609008994191452	0.21339325163997205	0.27557411056674813	0.2187811646301428
G1-139	0.12613812210727168	0.18815431826425244	0.13812395900229113	0.28749365932881105	0.2583495254035717	0.2999938140008798	0.23011029430992863	0.1948169412116333	0.2535968458903316	0.0	0.18699093615113024	0.0022064766474832703	0.06896758849780235	0.061605792161614006	0.04317944132058323	0.029863830853859543	0.11855831194866714	0.2535030345302183	0.2617229046416962	0.007826540016095918	0.049129472218951656	0.2610582548253462	0.25856357149505776	0.08835036520087347	0.019038419170003127	0.07609138800538831	0.08106952847402425	0.06784826182275044	0.16445769465190424	0.13816464439780612	0.19351842086715743	0.10893917251997075	0.15786067310628288	0.2600067454830285	0.254058592511671	0.2620956783829372	0.25488843420867674	0.2583256099428118	0.25862716107365114	0.2620547414296647	0.24425672774521837	0.24964564024338065	0.11038564228898441	0.24498014094742002	0.2605931715278243	0.20646825772795002	0.25460697639846486	0.26014073918605846	0.2634159332632564	0.2585716828881876	0.0712590580302382	0.05270130505679649	0.06867945194376612	0.06914611757009237	0.07383205673081925	0.07979471484862666	0.04395529798498517	0.25186047469356504	0.02908276428488066	0.030999720419873814	0.019069999135458898	0.008494374404694043	0.062328684914817106	0.25275167380084684	0.24919107081464542	0.23836656007837123	0.269312789883209	0.2608986425325601	0.26142039916645143	0.25924694213324784	0.26177395623681204	0.168481540120285	0.2532382485754889	0.14876624931377805	0.22396872167756532	0.22762617251214123	0.2638386134637962	0.24784933607732662	0.23527520691494785	0.26024600513168805	0.21237517463032668	0.144273627128584	0.07142696602741667	0.08595830041104104	0.05560129221466369	0.10064528474061525	0.07078547614028219	0.19731046979070177	0.20350545927411723	0.05879086550862546	0.1675241932821697	0.1830845075530816	0.06919102348521135	0.09134803970128108	0.15565235288943305	0.044435736514486374	0.09716744063776517	0.05303609522373535	0.10570947202633323	0.1396247941642979	0.06056059414667368	0.09016452219828634	0.04951101535222584	0.040969409173794276	0.02823546137850814	0.03584634229660813
