	G1-11	G1-12	G1-13	G1-130	G1-131	G1-132	G1-135	G1-136	G1-138	G1-139	G1-14	G1-140	G1-141	G1-142	G1-143	G1-144	G1-15	G1-175	G1-176	G1-177	G1-178	G1-180	G1-182	G1-187	G1-188	G1-189	G1-190	G1-192	G1-193	G2-1100	G2-1101	G2-1102	G2-1103	G2-1104	G2-1105	G2-1106	G2-1107	G2-1108	G2-1109	G2-1110	G2-1111	G2-1113	G2-194	G2-197	G2-198	G2-199	G2-21	G2-210	G2-211	G2-212	G2-213	G2-214	G2-215	G2-216	G2-217	G2-218	G2-219	G2-22	G2-220	G2-221	G2-222	G2-223	G2-224	G2-23	G2-24	G2-25	G2-26	G2-27	G2-28	G2-29	G2-313	G2-314	G2-315	G2-316	G2-317	G2-318	G2-319	G2-320	G2-321	G2-322	G2-323	G2-324	G2-325	G2-326	G2-327	G2-328	G2-329	G2-330	G2-413	G2-414	G2-415	G2-416	G3-417	G3-418	G3-419	G3-420	G3-421	G3-422	G3-423	G3-424	G3-425	G3-426	G3-427	G3-428	G3-429	G3-430
G1-11	0.0	0.38	0.42	0.425	0.62	0.455	0.695	0.235	0.74	0.395	0.46	0.42	0.575	0.575	0.575	0.57	0.405	0.565	0.565	0.405	0.205	0.56	0.555	0.435	0.47	0.26	0.41	0.575	0.33	0.64	0.755	0.685	0.705	0.84	0.945	0.945	0.925	0.93	0.975	0.955	0.93	0.95	0.165	0.43	0.475	0.79	0.56	0.465	0.445	0.455	0.59	0.575	0.595	0.58	0.575	0.605	0.575	0.56	0.525	0.525	0.525	0.395	0.59	0.56	0.755	0.55	0.93	0.47	0.46	0.445	0.905	0.74	0.92	0.755	0.955	0.905	0.955	0.91	0.855	0.88	0.645	0.505	0.43	0.61	0.48	0.475	0.485	0.87	0.695	0.305	0.51	0.885	0.395	0.175	0.57	0.3	0.325	0.315	0.395	0.535	0.285	0.23	0.225	0.28	0.38	0.285
G1-12	0.38	0.0	0.695	0.47	0.725	0.575	0.79	0.335	0.84	0.665	0.615	0.695	0.825	0.825	0.825	0.82	0.67	0.305	0.185	0.635	0.46	0.185	0.185	0.535	0.705	0.5	0.635	0.825	0.19	0.815	0.815	0.815	0.79	0.87	0.945	0.945	0.925	0.93	0.975	0.955	0.93	0.95	0.475	0.435	0.425	0.85	0.34	0.4	0.475	0.435	0.825	0.825	0.825	0.825	0.825	0.825	0.805	0.52	0.795	0.765	0.795	0.615	0.81	0.43	0.76	0.335	0.935	0.515	0.49	0.495	0.92	0.815	0.93	0.815	0.965	0.915	0.955	0.91	0.855	0.88	0.675	0.72	0.72	0.825	0.75	0.74	0.76	0.885	0.77	0.68	0.655	0.905	0.625	0.47	0.695	0.57	0.585	0.575	0.655	0.69	0.61	0.54	0.545	0.6	0.645	0.61
G1-13	0.42	0.695	0.0	0.725	0.825	0.73	0.625	0.49	0.705	0.195	0.53	0.215	0.38	0.38	0.43	0.45	0.35	0.88	0.87	0.3	0.49	0.875	0.87	0.64	0.29	0.45	0.395	0.49	0.72	0.645	0.705	0.635	0.655	0.845	0.945	0.945	0.925	0.93	0.975	0.955	0.93	0.95	0.355	0.845	0.875	0.74	0.755	0.87	0.86	0.87	0.38	0.38	0.38	0.38	0.38	0.38	0.345	0.755	0.295	0.435	0.395	0.245	0.36	0.755	0.755	0.795	0.81	0.755	0.875	0.86	0.915	0.745	0.925	0.76	0.96	0.91	0.955	0.91	0.855	0.88	0.71	0.53	0.2	0.51	0.18	0.355	0.23	0.775	0.75	0.245	0.46	0.77	0.155	0.325	0.62	0.24	0.415	0.255	0.445	0.53	0.29	0.335	0.325	0.255	0.255	0.26
G1-130	0.425	0.47	0.725	0.0	0.535	0.185	0.605	0.26	0.58	0.815	0.585	0.82	0.935	0.905	0.9	0.895	0.59	0.49	0.49	0.765	0.555	0.485	0.48	0.64	0.835	0.62	0.77	0.9	0.305	0.965	0.965	0.965	0.94	0.85	0.98	0.98	0.98	0.98	0.98	0.98	0.98	0.98	0.51	0.19	0.24	0.965	0.34	0.23	0.185	0.22	0.955	0.91	0.96	0.945	0.935	0.97	0.97	0.37	0.95	0.91	0.945	0.78	0.975	0.34	0.61	0.395	0.785	0.145	0.19	0.19	0.95	0.965	0.97	0.965	0.965	0.965	0.98	0.98	0.98	0.98	0.795	0.845	0.635	0.97	0.695	0.69	0.705	0.86	0.83	0.675	0.625	0.795	0.62	0.415	0.755	0.63	0.645	0.635	0.69	0.685	0.585	0.52	0.555	0.625	0.74	0.615
G1-131	0.62	0.725	0.825	0.535	0.0	0.575	0.63	0.59	0.18	0.835	0.305	0.84	0.945	0.915	0.6	0.82	0.725	0.735	0.735	0.785	0.675	0.73	0.725	0.675	0.855	0.7	0.79	0.585	0.64	0.985	0.985	0.985	0.96	0.86	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.61	0.6	0.64	0.985	0.7	0.63	0.535	0.62	0.965	0.92	0.97	0.955	0.945	0.98	0.98	0.7	0.965	0.93	0.965	0.79	0.985	0.7	0.725	0.695	0.91	0.605	0.53	0.57	0.965	0.985	0.985	0.985	0.985	0.985	0.99	0.99	0.99	0.99	0.805	0.855	0.785	0.98	0.83	0.825	0.835	0.95	0.31	0.7	0.76	0.93	0.745	0.625	0.275	0.64	0.545	0.64	0.655	0.315	0.66	0.625	0.605	0.665	0.76	0.66
G1-132	0.455	0.575	0.73	0.185	0.575	0.0	0.54	0.345	0.625	0.775	0.63	0.78	0.95	0.95	0.95	0.945	0.5	0.59	0.59	0.73	0.52	0.585	0.58	0.6	0.795	0.62	0.745	0.95	0.395	0.93	0.93	0.925	0.9	0.86	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.52	0.32	0.345	0.97	0.335	0.335	0.32	0.325	0.965	0.95	0.97	0.955	0.95	0.98	0.975	0.335	0.955	0.87	0.945	0.785	0.98	0.335	0.505	0.45	0.69	0.225	0.33	0.32	0.96	0.925	0.98	0.925	0.93	0.93	0.99	0.99	0.99	0.99	0.805	0.855	0.64	0.98	0.69	0.6	0.705	0.825	0.875	0.675	0.53	0.655	0.59	0.42	0.795	0.665	0.665	0.685	0.74	0.73	0.6	0.52	0.57	0.6	0.715	0.6
G1-135	0.695	0.79	0.625	0.605	0.63	0.54	0.0	0.56	0.49	0.73	0.51	0.72	0.88	0.85	0.73	0.755	0.415	0.87	0.87	0.765	0.73	0.865	0.86	0.71	0.77	0.755	0.77	0.735	0.76	0.87	0.86	0.86	0.83	0.82	0.945	0.945	0.925	0.93	0.975	0.955	0.93	0.95	0.745	0.78	0.845	0.865	0.55	0.835	0.73	0.82	0.9	0.85	0.905	0.89	0.875	0.915	0.88	0.36	0.845	0.82	0.84	0.78	0.9	0.45	0.34	0.77	0.4	0.725	0.73	0.77	0.905	0.89	0.92	0.87	0.945	0.905	0.955	0.925	0.925	0.925	0.795	0.81	0.65	0.915	0.665	0.57	0.69	0.8	0.655	0.625	0.26	0.35	0.59	0.525	0.585	0.71	0.585	0.69	0.63	0.525	0.72	0.745	0.705	0.735	0.745	0.735
G1-136	0.235	0.335	0.49	0.26	0.59	0.345	0.56	0.0	0.62	0.585	0.455	0.64	0.785	0.785	0.78	0.78	0.49	0.505	0.505	0.615	0.41	0.5	0.495	0.465	0.69	0.475	0.62	0.785	0.295	0.79	0.74	0.74	0.705	0.815	0.945	0.945	0.925	0.93	0.975	0.955	0.93	0.95	0.38	0.38	0.44	0.77	0.37	0.43	0.395	0.41	0.805	0.775	0.81	0.795	0.78	0.82	0.785	0.385	0.715	0.74	0.72	0.61	0.805	0.38	0.625	0.42	0.8	0.32	0.415	0.405	0.91	0.81	0.925	0.79	0.96	0.91	0.955	0.91	0.855	0.88	0.65	0.695	0.535	0.82	0.57	0.565	0.58	0.775	0.7	0.495	0.5	0.76	0.47	0.255	0.64	0.5	0.53	0.53	0.565	0.58	0.505	0.465	0.44	0.515	0.59	0.52
G1-138	0.74	0.84	0.705	0.58	0.18	0.625	0.49	0.62	0.0	0.82	0.32	0.795	0.915	0.885	0.57	0.79	0.615	0.88	0.88	0.81	0.775	0.875	0.87	0.775	0.81	0.8	0.815	0.555	0.76	0.94	0.94	0.94	0.915	0.83	0.96	0.96	0.96	0.96	0.975	0.96	0.96	0.96	0.76	0.745	0.805	0.945	0.745	0.795	0.695	0.785	0.935	0.89	0.94	0.925	0.915	0.95	0.95	0.745	0.93	0.885	0.92	0.84	0.955	0.745	0.745	0.78	0.8	0.685	0.695	0.73	0.93	0.94	0.95	0.94	0.945	0.94	0.96	0.96	0.96	0.96	0.83	0.84	0.66	0.95	0.7	0.695	0.71	0.835	0.26	0.67	0.67	0.785	0.69	0.635	0.24	0.745	0.62	0.73	0.675	0.255	0.72	0.745	0.705	0.735	0.775	0.73
G1-139	0.395	0.665	0.195	0.815	0.835	0.775	0.73	0.585	0.82	0.0	0.59	0.11	0.41	0.41	0.43	0.455	0.415	0.845	0.845	0.16	0.355	0.845	0.84	0.455	0.135	0.35	0.27	0.495	0.66	0.55	0.635	0.505	0.54	0.82	0.9	0.9	0.88	0.885	0.93	0.91	0.885	0.905	0.315	0.785	0.845	0.71	0.835	0.85	0.83	0.845	0.405	0.405	0.41	0.41	0.4	0.41	0.315	0.845	0.265	0.3	0.355	0.205	0.34	0.85	0.85	0.73	0.89	0.85	0.84	0.82	0.865	0.645	0.875	0.655	0.83	0.775	0.91	0.865	0.81	0.835	0.635	0.49	0.275	0.475	0.275	0.425	0.29	0.75	0.75	0.175	0.55	0.79	0.25	0.42	0.59	0.255	0.345	0.245	0.45	0.57	0.245	0.295	0.265	0.21	0.205	0.22
