	shannon
G1-11	1.9075589035760707
G1-12	0.7470182161110276
G1-13	1.6995481827253391
G1-130	2.09206085450525
G1-131	1.5473585988227403
G1-132	2.2642907012969835
G1-135	1.9839196810384463
G1-136	2.309942594193791
G1-138	1.7239361007957925
G1-139	1.808913701168692
G1-14	2.150676419958418
G1-140	1.9122026802022989
G1-141	1.1101817712175093
G1-142	1.3458723296533297
G1-143	1.2408907883818507
G1-144	1.6456413720391767
G1-15	2.1558103997570117
G1-175	1.3958621235023465
G1-176	0.2671351488110272
G1-177	1.7289209782669066
G1-178	1.7963765580640234
G1-180	0.31851775157159745
G1-182	0.4287189243495069
G1-187	2.4548578346416043
G1-188	1.8834416116768438
G1-189	1.96976829774688
G1-190	2.4408460496864426
G1-192	1.3838201398167953
G1-193	1.6125619788535213
G2-1100	1.3700702834069571
G2-1101	1.5730506891866571
G2-1102	1.7708012400622124
G2-1103	2.2353000925544038
G2-1104	1.470202948586764
G2-1105	0.3072683598607598
G2-1106	0.3072683598607598
G2-1107	0.38431154412649704
G2-1108	0.36592365090022316
G2-1109	0.16866093149667025
G2-1110	0.2647650339356807
G2-1111	0.36592365090022316
G2-1113	0.2863969571159562
G2-194	1.700914755228077
G2-197	2.0497826118665223
G2-198	1.54432282796528
G2-199	1.4624308338826586
G2-21	1.0545560709981454
G2-210	1.5134763216257376
G2-211	2.106614857643737
G2-212	1.7012007740201138
G2-213	0.8349835665340515
G2-214	1.0670941197534092
G2-215	0.7511311028314817
G2-216	0.8503461018874049
G2-217	0.913614727203478
G2-218	0.7993577398283651
G2-219	0.7434807972291635
G2-22	1.0395264179292123
G2-220	1.596950736091952
G2-221	2.2197588063357827
G2-222	1.613534226045437
G2-223	1.3239889112077285
G2-224	0.5858410691232152
G2-23	1.0251177338422988
G2-24	0.7950402793845223
G2-25	1.6982879660903958
G2-26	0.7263020918132636
G2-27	1.9071570135725335
G2-28	1.8302165893062237
G2-29	1.945618116042296
G2-313	0.5821926427744355
G2-314	1.1947737468994566
G2-315	0.44566434565824053
G2-316	1.2501864549845887
G2-317	0.6504957945196127
G2-318	0.8596760907044767
G2-319	0.2647650339356807
G2-320	0.4364698170641029
G2-321	0.597185045253784
G2-322	0.5293608652873644
G2-323	1.411296623882568
G2-324	1.5410448587018821
G2-325	2.020167989116638
G2-326	1.1677682249783454
G2-327	1.7727911927319018
G2-328	2.2576513121663178
G2-329	2.103880973419531
G2-330	1.6763758834583737
G2-413	1.2812386712512218
G2-414	2.2415095946768546
G2-415	1.6661280532981182
G2-416	1.380152649446898
G3-417	1.554920047820927
G3-418	2.009609028358498
G3-419	1.5761577994265257
G3-420	1.4108431286340062
G3-421	1.9827397592039597
G3-422	1.3255645910430855
G3-423	2.35428683740951
G3-424	1.809615779196842
G3-425	1.8514520258125804
G3-426	1.8188530182646467
G3-427	1.8023021482717994
G3-428	1.7114807853593346
G3-429	1.31654196644174
G3-430	1.6991907525753616
