	G1-11	G1-12	G1-13	G1-130	G1-131	G1-132	G1-135	G1-136	G1-138	G1-139	G1-14	G1-140	G1-141	G1-142	G1-143	G1-144	G1-15	G1-175	G1-176	G1-177	G1-178	G1-180	G1-182	G1-187	G1-188	G1-189	G1-190	G1-192	G1-193	G2-1100	G2-1101	G2-1102	G2-1103	G2-1104	G2-1105	G2-1106	G2-1107	G2-1108	G2-1109	G2-1110	G2-1111	G2-1113	G2-194	G2-197	G2-198	G2-199	G2-21	G2-210	G2-211	G2-212	G2-213	G2-214	G2-215	G2-216	G2-217	G2-218	G2-219	G2-22	G2-220	G2-221	G2-222	G2-223	G2-224	G2-23	G2-24	G2-25	G2-26	G2-27	G2-28	G2-29	G2-313	G2-314	G2-315	G2-316	G2-317	G2-318	G2-319	G2-320	G2-321	G2-322	G2-323	G2-324	G2-325	G2-326	G2-327	G2-328	G2-329	G2-330	G2-413	G2-414	G2-415	G2-416	G3-417	G3-418	G3-419	G3-420	G3-421	G3-422	G3-423	G3-424	G3-425	G3-426	G3-427	G3-428	G3-429	G3-430
G1-11	0.0	0.0857168369843	0.14959541777877972	0.005921704586366233	0.005921704586366233	0.0	0.09557820035948077	0.12160091138053271	0.005921704586366233	0.16857872595853043	0.38822465003775225	0.08641940991028585	0.08743035142882256	0.08743035142882256	0.17155193098884566	0.08450360720468962	0.07785411177226952	0.48344514180915915	0.5827767791289332	0.3901496423728279	0.10361252789461922	0.3575582350930331	0.49077921314207246	0.07554969583633148	0.08110056285195238	0.1683953931510024	0.5882430986028834	0.08743035142882256	0.15336700999092337	0.08474809869107368	0.08474809869107368	0.08474809869107368	0.33936515859711097	0.33920568147282953	0.09447601166461783	0.09447601166461783	0.09447601166461783	0.09447601166461783	0.09447601166461783	0.09447601166461783	0.09447601166461783	0.09447601166461783	0.1609234165825319	0.16443195953452455	0.2461093522307678	0.08474809869107368	0.2717329287353924	0.17790769970078674	0.4256640053847765	0.2542969153303138	0.09632353683865968	0.17155193098884566	0.26959689945271975	0.08743035142882256	0.17888770929984665	0.08743035142882256	0.1720780162820646	0.19786323355575486	0.16638033214269857	0.32911211280326497	0.08449077133477505	0.0883439714933443	0.08568891853823006	0.20564131725962986	0.1990048354991873	0.3516911311825708	0.03143237762266389	0.17790769970078674	0.31553600698486517	0.19409721690130388	0.08478119367434038	0.08474809869107368	0.09061158965586882	0.08474809869107368	0.09061158965586882	0.09061158965586882	0.09447601166461783	0.09447601166461783	0.09447601166461783	0.09447601166461783	0.08864561568308939	0.02852558380272808	0.08407167488813837	0.09586532299945726	0.08407167488813837	0.08407167488813837	0.25895716040824873	0.09224705594500643	0.07461466082863019	0.10582182028090703	0.00885735749322397	0.014689738944277218	0.1017812105369247	0.0029299690552110095	0.17446788470083122	0.11787921415277434	0.2621729163705172	0.07250423916174843	0.15831163338415474	0.07531901097682431	0.24077317697659079	0.06071691261331345	0.15336700999092337	0.06071691261331345	0.15602988060455955	0.06663861719967969
G1-12	0.0857168369843	0.0	0.21395788544957067	0.09163854157066623	0.09163854157066623	0.0857168369843	0.1684624826750529	0.19689450286688526	0.09163854157066623	0.12307379437381423	0.43712336845165883	0.042766540367795	0.035114261659249066	0.035114261659249066	0.1300819003183752	0.031967673430410196	0.1477018536391347	0.49480752865304006	0.5615974249039556	0.37538553374557126	0.17163655067779543	0.3303751716438298	0.5192909575173381	0.036802635781544905	0.03680263128687301	0.13384296502189158	0.6105197970337133	0.035114261659249066	0.12801954683321837	0.027623097492343766	0.027623097492343766	0.027623097492343766	0.31304834486893846	0.38616655185972554	0.02990177014052281	0.02990177014052281	0.02990177014052281	0.02990177014052281	0.02990177014052281	0.02990177014052281	0.02990177014052281	0.02990177014052281	0.13625151547116052	0.1330341111966819	0.2168923780217049	0.027623097492343766	0.32485485490780797	0.2568212786915892	0.4153555182784037	0.32612314452969554	0.04521619649757477	0.1300819003183752	0.23913294637911497	0.035114261659249066	0.1383016250380409	0.035114261659249066	0.11977884190014278	0.2552784135821677	0.12059291117952017	0.30983646051923003	0.027524592198392612	0.023470831102926935	0.020393386562173706	0.25232102581919125	0.24074031336878135	0.3955748008047588	0.08618632975170262	0.2568212786915892	0.29345748143128525	0.16564104305742045	0.03381743456901075	0.027623097492343766	0.033941473254813	0.027623097492343766	0.033941473254813	0.033941473254813	0.02990177014052281	0.02990177014052281	0.02990177014052281	0.02990177014052281	0.029789881031695116	0.08887712472807577	0.15304969753163036	0.14804308318534742	0.15304969753163036	0.15304969753163036	0.31551118990217697	0.15116034723601945	0.03577503589259897	0.18246794554680662	0.08896405625415686	0.08897841480535484	0.1632583344655704	0.08303014368072323	0.14056619315092372	0.1939422405258298	0.23697966529766623	0.026843302084438584	0.22243851554374863	0.1453458424838028	0.22271973957451704	0.026615963500995626	0.12801954683321837	0.026615963500995626	0.12555529488186024	0.03292045749847817
G1-13	0.14959541777877972	0.21395788544957067	0.0	0.1546609751380828	0.1546609751380828	0.14959541777877972	0.2163053758528763	0.23963761366160508	0.1546609751380828	0.27467899359532016	0.2880237795164299	0.21221362656696718	0.21446515412635722	0.21446515412635722	0.27760670834009815	0.21194582907909587	0.19969327944151247	0.39226773906896145	0.4858204444150967	0.27622788860975883	0.21916653767386687	0.43582680157219816	0.40294066939744777	0.20826185014132859	0.20826184716668206	0.2745190564596584	0.6149081071722555	0.21446515412635722	0.2705227469114556	0.21203852762581668	0.21203852762581668	0.21203852762581668	0.38503353742988533	0.30749391957555355	0.22041351228173436	0.22041351228173436	0.22041351228173436	0.22041351228173436	0.22041351228173436	0.22041351228173436	0.22041351228173436	0.22041351228173436	0.27617474376695134	0.2792205117993813	0.3591626779789059	0.21203852762581668	0.3648836665947095	0.3017816074733617	0.46397722721586554	0.3580361007010535	0.22106366253661072	0.27760670834009815	0.3533025880150048	0.21446515412635722	0.28319083945170054	0.21446515412635722	0.27773172855716965	0.3094219562625786	0.27300644530762075	0.37608946724135617	0.2114985480353509	0.2148171971970692	0.21284850113250264	0.31591274659980545	0.3113556518178208	0.2508786770497366	0.1661377936162235	0.3017816074733617	0.4103940170385421	0.3015396414023706	0.2165301991317459	0.21203852762581668	0.21708654224044377	0.21203852762581668	0.21708654224044377	0.21708654224044377	0.22041351228173436	0.22041351228173436	0.22041351228173436	0.22041351228173436	0.21984886412811028	0.1682193462002136	0.21284981371286968	0.21465229617225307	0.21284981371286968	0.21284981371286968	0.34623673099544483	0.21150940408401298	0.20758190927406964	0.2277720856661914	0.15253279637235606	0.15254421712353558	0.21757129686838353	0.1474586418167286	0.2791448850569768	0.23745021168451597	0.3469313186528561	0.20259853995217966	0.26100110913437885	0.19778452012198305	0.3367313555166382	0.20153401063439974	0.2705227469114556	0.20153401063439974	0.26883456135072914	0.20659956799370285
G1-130	0.005921704586366233	0.09163854157066623	0.1546609751380828	0.0	0.0	0.005921704586366233	0.10094965728098304	0.1268025312922705	0.0	0.17388820229128732	0.39186159716915303	0.09221526711788164	0.08204212911716542	0.08204212911716542	0.16711372216501968	0.07909810407665459	0.07273019495216292	0.48177833594418207	0.5813796370634621	0.38776581025724155	0.0987716184667783	0.35430686361102615	0.48919613405297147	0.0813961598778278	0.08693016341880247	0.16395643965419254	0.5872056261542381	0.08204212911716542	0.1487947979165736	0.09061158965586882	0.09061158965586882	0.09061158965586882	0.34358398866712825	0.33656827280728996	0.089135163928161	0.089135163928161	0.089135163928161	0.089135163928161	0.089135163928161	0.089135163928161	0.089135163928161	0.089135163928161	0.15643267296477573	0.15995999366266267	0.2416628491987763	0.09061158965586882	0.2678352383851465	0.17301051225835035	0.423554693336484	0.25026977170628606	0.09104012556610207	0.16711372216501968	0.26614921821929216	0.08204212911716542	0.1745279585926587	0.08204212911716542	0.17738749261482148	0.19313217133257957	0.1717038474968781	0.3333683004424616	0.09033723537627138	0.09419043553484062	0.0915524095030252	0.20096631216059904	0.19423332327407833	0.3491468683943643	0.025719693850377735	0.17301051225835035	0.3118727510092335	0.18993794188613244	0.07938316518134289	0.09061158965586882	0.08524794927139381	0.09061158965586882	0.08524794927139381	0.08524794927139381	0.089135163928161	0.089135163928161	0.089135163928161	0.089135163928161	0.08327037983811006	0.0227957555446044	0.07901546997225375	0.09087422263370148	0.07901546997225375	0.07901546997225375	0.25565095933010534	0.08723598163678582	0.08046700274947727	0.1111168793087782	0.002953140532694377	0.008837606584378203	0.10715266745842696	0.008851673641577244	0.17009369268906227	0.11321938069569039	0.2586807520225009	0.06697916540636002	0.15404490542506352	0.07016680408087232	0.237098349054097	0.06663861719967969	0.1487947979165736	0.06663861719967969	0.15147204927052557	0.061078602051208936
G1-131	0.005921704586366233	0.09163854157066623	0.1546609751380828	0.0	0.0	0.005921704586366233	0.10094965728098304	0.1268025312922705	0.0	0.17388820229128732	0.39186159716915303	0.09221526711788164	0.08204212911716542	0.08204212911716542	0.16711372216501968	0.07909810407665459	0.07273019495216292	0.48177833594418207	0.5813796370634621	0.38776581025724155	0.0987716184667783	0.35430686361102615	0.48919613405297147	0.0813961598778278	0.08693016341880247	0.16395643965419254	0.5872056261542381	0.08204212911716542	0.1487947979165736	0.09061158965586882	0.09061158965586882	0.09061158965586882	0.34358398866712825	0.33656827280728996	0.089135163928161	0.089135163928161	0.089135163928161	0.089135163928161	0.089135163928161	0.089135163928161	0.089135163928161	0.089135163928161	0.15643267296477573	0.15995999366266267	0.2416628491987763	0.09061158965586882	0.2678352383851465	0.17301051225835035	0.423554693336484	0.25026977170628606	0.09104012556610207	0.16711372216501968	0.26614921821929216	0.08204212911716542	0.1745279585926587	0.08204212911716542	0.17738749261482148	0.19313217133257957	0.1717038474968781	0.3333683004424616	0.09033723537627138	0.09419043553484062	0.0915524095030252	0.20096631216059904	0.19423332327407833	0.3491468683943643	0.025719693850377735	0.17301051225835035	0.3118727510092335	0.18993794188613244	0.07938316518134289	0.09061158965586882	0.08524794927139381	0.09061158965586882	0.08524794927139381	0.08524794927139381	0.089135163928161	0.089135163928161	0.089135163928161	0.089135163928161	0.08327037983811006	0.0227957555446044	0.07901546997225375	0.09087422263370148	0.07901546997225375	0.07901546997225375	0.25565095933010534	0.08723598163678582	0.08046700274947727	0.1111168793087782	0.002953140532694377	0.008837606584378203	0.10715266745842696	0.008851673641577244	0.17009369268906227	0.11321938069569039	0.2586807520225009	0.06697916540636002	0.15404490542506352	0.07016680408087232	0.237098349054097	0.06663861719967969	0.1487947979165736	0.06663861719967969	0.15147204927052557	0.061078602051208936
G1-132	0.0	0.0857168369843	0.14959541777877972	0.005921704586366233	0.005921704586366233	0.0	0.09557820035948077	0.12160091138053271	0.005921704586366233	0.16857872595853043	0.38822465003775225	0.08641940991028585	0.08743035142882256	0.08743035142882256	0.17155193098884566	0.08450360720468962	0.07785411177226952	0.48344514180915915	0.5827767791289332	0.3901496423728279	0.10361252789461922	0.3575582350930331	0.49077921314207246	0.07554969583633148	0.08110056285195238	0.1683953931510024	0.5882430986028834	0.08743035142882256	0.15336700999092337	0.08474809869107368	0.08474809869107368	0.08474809869107368	0.33936515859711097	0.33920568147282953	0.09447601166461783	0.09447601166461783	0.09447601166461783	0.09447601166461783	0.09447601166461783	0.09447601166461783	0.09447601166461783	0.09447601166461783	0.1609234165825319	0.16443195953452455	0.2461093522307678	0.08474809869107368	0.2717329287353924	0.17790769970078674	0.4256640053847765	0.2542969153303138	0.09632353683865968	0.17155193098884566	0.26959689945271975	0.08743035142882256	0.17888770929984665	0.08743035142882256	0.1720780162820646	0.19786323355575486	0.16638033214269857	0.32911211280326497	0.08449077133477505	0.0883439714933443	0.08568891853823006	0.20564131725962986	0.1990048354991873	0.3516911311825708	0.03143237762266389	0.17790769970078674	0.31553600698486517	0.19409721690130388	0.08478119367434038	0.08474809869107368	0.09061158965586882	0.08474809869107368	0.09061158965586882	0.09061158965586882	0.09447601166461783	0.09447601166461783	0.09447601166461783	0.09447601166461783	0.08864561568308939	0.02852558380272808	0.08407167488813837	0.09586532299945726	0.08407167488813837	0.08407167488813837	0.25895716040824873	0.09224705594500643	0.07461466082863019	0.10582182028090703	0.00885735749322397	0.014689738944277218	0.1017812105369247	0.0029299690552110095	0.17446788470083122	0.11787921415277434	0.2621729163705172	0.07250423916174843	0.15831163338415474	0.07531901097682431	0.24077317697659079	0.06071691261331345	0.15336700999092337	0.06071691261331345	0.15602988060455955	0.06663861719967969
G1-135	0.09557820035948077	0.1684624826750529	0.2163053758528763	0.10094965728098304	0.10094965728098304	0.09557820035948077	0.0	0.03419210751103338	0.10094965728098304	0.07429858442456341	0.4261294040860684	0.16750027625583497	0.1693619004625701	0.1693619004625701	0.07693722039955073	0.16669792268950664	0.1562059143835758	0.4268928669842283	0.5242561081374436	0.32148628772483956	0.00805573738849274	0.26862768693187394	0.4363021042302517	0.16308592078973208	0.16308591746593906	0.07411476872512576	0.5441990345291485	0.1693619004625701	0.06310423944792999	0.16684015827562926	0.16684015827562926	0.16684015827562926	0.26484932753592016	0.2689975785225367	0.17569554160972062	0.17569554160972062	0.17569554160972062	0.17569554160972062	0.17569554160972062	0.17569554160972062	0.17569554160972062	0.17569554160972062	0.07146626335230191	0.07497480630429455	0.318170001137258	0.16684015827562926	0.1774752559868404	0.25695463023855747	0.36417474228741237	0.16403414478732042	0.17673634217325157	0.07693722039955073	0.19981146114651618	0.1693619004625701	0.0851322124993038	0.1693619004625701	0.07780709175082279	0.2698096115220079	0.07184442841200206	0.2539134171825538	0.16638879671398715	0.16989730404024653	0.16769659278707572	0.27674990613825146	0.2714975431885363	0.28268010229961404	0.11830650577706572	0.25695463023855747	0.22607885375463518	0.2621727152201486	0.16687028485715388	0.16684015827562926	0.17217773276981443	0.16684015827562926	0.17217773276981443	0.17217773276981443	0.17569554160972062	0.17569554160972062	0.17569554160972062	0.17569554160972062	0.1703880936970601	0.11566043219286493	0.1659945052911595	0.17223097514726368	0.1659945052911595	0.1659945052911595	0.19695540046975918	0.16891831668220433	0.15747193305619991	0.016842851440797595	0.10361252789461922	0.10362530522392145	0.006219539941468781	0.09316809969877925	0.08089338006166835	0.19376737795990134	0.17876795015721184	0.15644566859030215	0.0687373157069275	0.15408380637465324	0.1598291110999314	0.1506532679776648	0.06310423944792999	0.1506532679776648	0.06576711006156617	0.15602472489916708
G1-136	0.12160091138053271	0.19689450286688526	0.23963761366160508	0.1268025312922705	0.1268025312922705	0.12160091138053271	0.03419210751103338	0.0	0.1268025312922705	0.1055964531775277	0.4361635792050812	0.1954324398069841	0.1975442333868508	0.1975442333868508	0.1082553872151575	0.19497064047398718	0.18334883869037158	0.4387774385362984	0.5344856989631848	0.33845093708173013	0.041972402260658126	0.2921171166842595	0.44757347378636797	0.18670711867142847	0.1913100675419953	0.105418852268568	0.5516159016472041	0.1975442333868508	0.09015372597831299	0.19508136106031934	0.19508136106031934	0.19508136106031934	0.28472669225508807	0.2876492358182939	0.20363657789099804	0.20363657789099804	0.20363657789099804	0.20363657789099804	0.20363657789099804	0.20363657789099804	0.20363657789099804	0.20363657789099804	0.09801978581157338	0.10141835324325237	0.3369905779557146	0.19508136106031934	0.2053559661792859	0.2778748726560896	0.37623828414846366	0.18789238663880972	0.20442882993247036	0.1082553872151575	0.22366491037409406	0.1975442333868508	0.11590602932676565	0.1975442333868508	0.10898633822076273	0.2945605102088179	0.10330565397792199	0.2742605990735722	0.19457310456764604	0.19796298961088107	0.19590876543913302	0.3012189623050166	0.2964065775138858	0.3006845644125629	0.14819282952588775	0.2778748726560896	0.24778603392618256	0.28046459397712553	0.19511046645616573	0.19508136106031934	0.20023801045931905	0.19508136106031934	0.20023801045931905	0.20023801045931905	0.20363657789099804	0.20363657789099804	0.20363657789099804	0.20363657789099804	0.19850903388784472	0.14563644857559974	0.18825328950616238	0.19870547751761597	0.18825328950616238	0.18825328950616238	0.215798658828362	0.1954987676707729	0.18598291849980192	0.034784875269982224	0.12938120613015744	0.13419514612570968	0.040198988274154294	0.1241745935283133	0.11174841794656344	0.2143867480808427	0.20348982581840266	0.18528856898126042	0.09869390461930931	0.18136122231901539	0.18141392331503106	0.1749345920838551	0.09015372597831299	0.1749345920838551	0.09273240081619992	0.1801362119955929
G1-138	0.005921704586366233	0.09163854157066623	0.1546609751380828	0.0	0.0	0.005921704586366233	0.10094965728098304	0.1268025312922705	0.0	0.17388820229128732	0.39186159716915303	0.09221526711788164	0.08204212911716542	0.08204212911716542	0.16711372216501968	0.07909810407665459	0.07273019495216292	0.48177833594418207	0.5813796370634621	0.38776581025724155	0.0987716184667783	0.35430686361102615	0.48919613405297147	0.0813961598778278	0.08693016341880247	0.16395643965419254	0.5872056261542381	0.08204212911716542	0.1487947979165736	0.09061158965586882	0.09061158965586882	0.09061158965586882	0.34358398866712825	0.33656827280728996	0.089135163928161	0.089135163928161	0.089135163928161	0.089135163928161	0.089135163928161	0.089135163928161	0.089135163928161	0.089135163928161	0.15643267296477573	0.15995999366266267	0.2416628491987763	0.09061158965586882	0.2678352383851465	0.17301051225835035	0.423554693336484	0.25026977170628606	0.09104012556610207	0.16711372216501968	0.26614921821929216	0.08204212911716542	0.1745279585926587	0.08204212911716542	0.17738749261482148	0.19313217133257957	0.1717038474968781	0.3333683004424616	0.09033723537627138	0.09419043553484062	0.0915524095030252	0.20096631216059904	0.19423332327407833	0.3491468683943643	0.025719693850377735	0.17301051225835035	0.3118727510092335	0.18993794188613244	0.07938316518134289	0.09061158965586882	0.08524794927139381	0.09061158965586882	0.08524794927139381	0.08524794927139381	0.089135163928161	0.089135163928161	0.089135163928161	0.089135163928161	0.08327037983811006	0.0227957555446044	0.07901546997225375	0.09087422263370148	0.07901546997225375	0.07901546997225375	0.25565095933010534	0.08723598163678582	0.08046700274947727	0.1111168793087782	0.002953140532694377	0.008837606584378203	0.10715266745842696	0.008851673641577244	0.17009369268906227	0.11321938069569039	0.2586807520225009	0.06697916540636002	0.15404490542506352	0.07016680408087232	0.237098349054097	0.06663861719967969	0.1487947979165736	0.06663861719967969	0.15147204927052557	0.061078602051208936
G1-139	0.16857872595853043	0.12307379437381423	0.27467899359532016	0.17388820229128732	0.17388820229128732	0.16857872595853043	0.07429858442456341	0.1055964531775277	0.17388820229128732	0.0	0.47038716281098253	0.11101798054651855	0.1352684191710978	0.1352684191710978	0.038405624830927305	0.1324765206112858	0.2198973289889329	0.44581104628660023	0.5084643786852453	0.2906086394672684	0.07718667024897216	0.2409918934507042	0.46918719387323987	0.1060188150560438	0.10601881129071584	0.01148811137418197	0.5555011441703503	0.1352684191710978	0.029189410691515316	0.10390666427120966	0.10390666427120966	0.10390666427120966	0.2205692983927823	0.3072840615495399	0.11332973565279698	0.11332973565279698	0.11332973565279698	0.11332973565279698	0.11332973565279698	0.11332973565279698	0.11332973565279698	0.11332973565279698	0.01977519776945919	0.023475955740070657	0.27999456417875257	0.10390666427120966	0.218945162905374	0.3280930528216647	0.35057320231568057	0.23624476556152182	0.1258807183482635	0.038405624830927305	0.17143361924381437	0.1352684191710978	0.029017924008093016	0.1352684191710978	0.0037433234174742017	0.3117917362529724	0.0028210861907215067	0.21693309596485413	0.09825359223368084	0.10199691565115504	0.10481800184187655	0.33365232256792	0.3290428895370562	0.3134933408662126	0.15944817855543486	0.3280930528216647	0.18285821659451146	0.22586586181531199	0.10926247978724891	0.10390666427120966	0.10958641223532278	0.10390666427120966	0.10958641223532278	0.10958641223532278	0.11332973565279698	0.11332973565279698	0.11332973565279698	0.11332973565279698	0.11299529270761334	0.16167874391332882	0.2093501789554726	0.21124243782947702	0.2093501789554726	0.2093501789554726	0.23515805343948917	0.20791247992753184	0.12808723811781222	0.07279849048079629	0.17170801846121422	0.17171972698556714	0.07536691379853418	0.16638879671398715	0.04299006054769111	0.2582921919494681	0.14920169604452863	0.12143922527663915	0.13316440160232745	0.21795194461996217	0.13347449190891095	0.120710594902179	0.029189410691515316	0.120710594902179	0.02647943437806162	0.12632575827575646
