	G1-11	G1-12	G1-13	G1-130	G1-131	G1-132	G1-135	G1-136	G1-138	G1-139	G1-14	G1-140	G1-141	G1-142	G1-143	G1-144	G1-15	G1-175	G1-176	G1-177	G1-178	G1-180	G1-182	G1-187	G1-188	G1-189	G1-190	G1-192	G1-193	G2-1100	G2-1101	G2-1102	G2-1103	G2-1104	G2-1105	G2-1106	G2-1107	G2-1108	G2-1109	G2-1110	G2-1111	G2-1113	G2-194	G2-197	G2-198	G2-199	G2-21	G2-210	G2-211	G2-212	G2-213	G2-214	G2-215	G2-216	G2-217	G2-218	G2-219	G2-22	G2-220	G2-221	G2-222	G2-223	G2-224	G2-23	G2-24	G2-25	G2-26	G2-27	G2-28	G2-29	G2-313	G2-314	G2-315	G2-316	G2-317	G2-318	G2-319	G2-320	G2-321	G2-322	G2-323	G2-324	G2-325	G2-326	G2-327	G2-328	G2-329	G2-330	G2-413	G2-414	G2-415	G2-416	G3-417	G3-418	G3-419	G3-420	G3-421	G3-422	G3-423	G3-424	G3-425	G3-426	G3-427	G3-428	G3-429	G3-430
G1-11	0.0	0.09427346913062754	0.12039471616503901	0.14261885149736364	0.1592177439538492	0.12700897051958923	0.13960432472454537	0.06286105477747893	0.1437816759943405	0.11907355428984277	0.07534075677091494	0.10819050905801417	0.17267542857909363	0.16352480079143458	0.0606468762198089	0.13315012055875913	0.05396007443810465	0.15028397461131188	0.16021577118489422	0.11649604240538924	0.047268498718431404	0.1574941320155032	0.15762801562575215	0.02780748466064679	0.09435790909624157	0.008578610031923556	0.05799445947021348	0.056466560519019875	0.09414747450104773	0.032527978498897936	0.02960382040594907	0.031859145485442136	0.050001985411896786	0.15672121805472822	0.15834903334858214	0.15834903334858214	0.15116381668436568	0.1529601208504198	0.16912685834490665	0.16194164168069028	0.1529601208504198	0.1601453375146362	0.024295461714028244	0.1468392727976881	0.1577977908978011	0.024640291617677522	0.15180951583370958	0.15684770201422063	0.15489935440745117	0.15631256379294695	0.17738564680723043	0.16362113397832437	0.18132457626959878	0.17557044238183553	0.17016589939646162	0.1846111680086094	0.15692151954506253	0.15803827606360682	0.1308881882698873	0.09587567346999878	0.15423902841507295	0.09000544836003399	0.15907989808947498	0.15048220933227036	0.19523965824522077	0.1343112750277681	0.20989185094730012	0.15525902823736382	0.15865713690340238	0.15335507161732176	0.15060682861268687	0.06681347511180175	0.14932345749822343	0.07029442130612215	0.1335091625644418	0.1137718443978908	0.16194164168069028	0.14577490418620337	0.1260155583596083	0.1349970791898788	0.1123432559231059	0.04461485967393143	0.06731480781563005	0.02363706010845337	0.09694213607609128	0.04930436691010869	0.08296378545267598	0.10214611327733175	0.09732777753836475	0.08165609632541698	0.10471308183078627	0.11874198581125739	0.07892995521718946	0.029307033920475282	0.07156961994353957	0.07058889535734607	0.037350452065741696	0.0699146711942971	0.049988886838104755	0.0633735486721182	0.05591850001810877	0.03490444694385628	0.04647586342043646	0.07051034238078664	0.10940492774757327	0.0670745192253653
G1-12	0.09427346913062754	0.0	0.21299023822109223	0.05145797726076679	0.06951315780907243	0.059764946579571196	0.09411275358177155	0.053780317156261706	0.05565590809820567	0.2116780736519494	0.051963037936260656	0.20087341408479673	0.26507661255840803	0.255925984770749	0.1530480601991233	0.22555130453807348	0.13682605970976885	0.08085639835302684	0.06594230205426668	0.20805650740789877	0.14044317171229195	0.06346003221394078	0.06408398183958255	0.12062799243378745	0.18650143840539263	0.09471560815380464	0.15048131873227713	0.1488677444983343	0.0023167336986799876	0.09022012899186047	0.09438570599442102	0.12446366239754882	0.12553040153838804	0.06640092012719002	0.06699758993633445	0.06699758993633445	0.05981237327211808	0.06160867743817219	0.07777541493265905	0.07059019826844266	0.06160867743817219	0.06879389410238856	0.11710489828990028	0.05437163472252933	0.06491712855860914	0.09955544563254408	0.08267713794186994	0.06472157186146639	0.0626650239552993	0.06453030529215799	0.2693738072225117	0.2560223179576388	0.2730380192449826	0.26779969111016727	0.26256708337577594	0.275980740482028	0.24903685887349722	0.11068484154869472	0.2234927075819939	0.18808143120176188	0.24684354782717963	0.18178153371280742	0.25106154747007786	0.0969890082820604	0.14778344209139394	0.049838696572276145	0.16325789230479104	0.06296096543362695	0.06618949957824366	0.06088743429216301	0.0593766335612196	0.06006088327526808	0.05806012442615214	0.0570536970643225	0.04224582949237051	0.022508511325819495	0.07059019826844266	0.05442346077395578	0.034664114947360686	0.04364563577763118	0.021190640634482318	0.07313652775025975	0.16036660296055483	0.11617039976559417	0.18986157161870476	0.13703632002102006	0.1759163590158935	0.04556246757276306	0.023739552049805053	0.17589642743544048	0.11716881600828144	0.15143814897061078	0.17115684311596044	0.11003005530069004	0.04692367111705697	0.16378572656229154	0.12983974638523244	0.1624039655137878	0.11392342162399748	0.05837295732117933	0.14883813948520713	0.12730828065800676	0.13936236486693088	0.16325804659690235	0.201649573146806	0.1599941586924637
G1-13	0.12039471616503901	0.21299023822109223	0.0	0.2465644434775273	0.2742900978944104	0.23095456224975291	0.20527663624590892	0.16592739634309633	0.24539496006802294	0.034868224749008934	0.18096389154007708	0.030350955800783654	0.07725311769382731	0.06810249060616827	0.0758376376181108	0.04493306580273494	0.10919078667435833	0.26492313673249784	0.2742559453156727	0.029828789786882522	0.07684691157981346	0.2757263435257651	0.2733558876640889	0.1002809645305264	0.033389634204541	0.12724913105663008	0.10077135345092093	0.08007724345918753	0.21332658194076246	0.14947522646777872	0.14581577393675457	0.11171636920604987	0.1424197492462168	0.2689498056611987	0.2752522261473747	0.2752522261473747	0.26806700948315837	0.2698633136492124	0.28603005114369934	0.27884483447948294	0.2698633136492124	0.27704853031342874	0.09930537735076259	0.26663794213435366	0.27773542832871867	0.140852245148483	0.2538119484893568	0.2768544925072061	0.27388265617583246	0.2761112331296125	0.08155031235793096	0.06783082865420124	0.08503052716097345	0.07997619624558658	0.0745595912917669	0.08815724561744724	0.06083114005589234	0.2513661818941184	0.0421124071618879	0.04732674847564747	0.05764140842734405	0.03276025252976659	0.06317351576973321	0.2527498542378597	0.24773913967781105	0.23910135792096304	0.24389747080820645	0.25933013946886124	0.2788238006789248	0.27370573261227266	0.2675872146021717	0.18376072308068256	0.26627070546710424	0.1872416692750029	0.25045641053332257	0.23071909236677154	0.27884483447948294	0.26267809698499606	0.2429187511584009	0.25190027198867143	0.22987856155253536	0.16175040165374602	0.06267515015236498	0.12124775199237567	0.03320848176959672	0.10849628766763675	0.055014494948102746	0.20538575775881637	0.214858511003533	0.04257528634369883	0.1491944402398283	0.15207218551984883	0.052781365533826924	0.11023977001587917	0.18869960418604095	0.05290030960072026	0.1076655343294772	0.05390290771300014	0.1480551519836253	0.1726802949000398	0.07162823149534615	0.08749554704255	0.07883209115726292	0.05174585834966074	0.02992564780661096	0.055270811485152775
G1-130	0.14261885149736364	0.05145797726076679	0.2465644434775273	0.0	0.03493270953683886	0.030598189743957723	0.0990450577924878	0.08369490332581826	0.020298351438665745	0.2615455684282035	0.08893891750324924	0.24967566807830816	0.3143202054384834	0.3041379661449285	0.20108810632232013	0.2735913506612704	0.16451640559357245	0.07280053261503415	0.039951422900729484	0.2582686993456735	0.18904115415871564	0.03722978373133845	0.03872332284477099	0.16922579218202485	0.23537515352412405	0.14345332501155214	0.19894485874917997	0.19690779062153116	0.05213821937606358	0.13936814849571155	0.1435337254982721	0.17361168190139983	0.1746784210422391	0.051176551605749666	0.04913760780834229	0.04913760780834229	0.052261079966322184	0.051480211926827196	0.0496067436824706	0.04757587172935234	0.051480211926827196	0.04835673976884731	0.1657740573641552	0.0306047169018028	0.036474501635111116	0.14870346478639518	0.035386013455393335	0.03552441275153064	0.04113756563930075	0.034989274530256964	0.31920235891760285	0.3044062345828009	0.3231412883799712	0.3173871544922079	0.31170789406693666	0.32642788011898183	0.2984198260265275	0.06349649775113282	0.2726847822559332	0.23716029764354504	0.2960943494199454	0.23208954006607013	0.30034173248419344	0.04986973023437201	0.10069788048274678	0.03948922688621865	0.11493894442916727	0.018171995214168325	0.035991439543420406	0.030656300546770664	0.05170409159464338	0.10920890277911918	0.052997892685728985	0.10620171656817358	0.06033409003180088	0.06894566597628965	0.04757587172935234	0.0546036840848071	0.06319323251925181	0.059288892321776934	0.06240679111049477	0.12143195258915361	0.18853951599404767	0.16394613453313822	0.21883876795965118	0.16522439687125273	0.2048263222882027	0.08018381151701637	0.07172576366884546	0.22278926292369308	0.14671737579232494	0.1813636500671887	0.20093748721975344	0.13838081398475754	0.09483155172998937	0.21017517086406562	0.17774762699816482	0.21031184612672021	0.15712175135651754	0.09737089566730428	0.19701648369070185	0.17624745596431055	0.18735577024523836	0.21221742050764064	0.2511775846878575	0.20864841220206043
G1-131	0.1592177439538492	0.06951315780907243	0.2742900978944104	0.03493270953683886	0.0	0.06459945938779217	0.12650314789977815	0.1147068213258928	0.031185026271029356	0.27702249004660645	0.09897648853496706	0.26484424312996696	0.32970901671670994	0.3195267774231551	0.20581693203962304	0.2860572626727921	0.19575707122248087	0.08489704373946008	0.028801465495479545	0.2737456209640764	0.20471805476112448	0.024720170822904914	0.02757336543952105	0.1838776639171984	0.24972147111446513	0.1572440230525834	0.2130856121616916	0.2011208105858861	0.07074467263258265	0.14425850465589873	0.14862964603628873	0.18066046402879612	0.18275502505878252	0.049615360449490095	0.032713548154883594	0.032713548154883594	0.03903935519252666	0.037457903433115884	0.027227756197997957	0.03035122835597785	0.037457903433115884	0.031132096395472826	0.1817959400650036	0.030873187476856117	0.023630907861345366	0.15410773189115595	0.05839630640699337	0.022680818977764892	0.03754441648149173	0.022825508508083	0.33459117019582946	0.3197950458610276	0.33853009965819775	0.33277596577043445	0.3270967053451633	0.34181669139720844	0.31380863730475417	0.08530692519869731	0.2865759158705272	0.24934818921667704	0.31157127103834836	0.24747835164429674	0.31573054376242	0.07228009058395425	0.12154174724928263	0.06288947970331492	0.13835998355125217	0.02818803623351039	0.021120701909361776	0.017936053105756973	0.03852642199093602	0.11368813018364746	0.04062080680193742	0.11068094397270187	0.055206312797339625	0.07262430966090214	0.03035122835597785	0.04378371047075897	0.0611796798242774	0.053272421027223564	0.06439615701509935	0.12808427780962936	0.21986842189514433	0.1708040241314434	0.2500794335885596	0.19574558717775817	0.23538160774274136	0.09425836136272192	0.06876155826201753	0.23777989204250982	0.17795804142123342	0.21260431569609714	0.2320900425084856	0.1696774144105808	0.09311494825012812	0.22556398214229217	0.18909810259298435	0.22527296199217525	0.17096314537590043	0.10251753724938409	0.21285721782536485	0.19275420712380237	0.20299857297335058	0.22782663756831995	0.26665450630626036	0.22429083144337872
G1-132	0.12700897051958923	0.059764946579571196	0.23095456224975291	0.030598189743957723	0.06459945938779217	0.0	0.07037361974072051	0.06825695809902653	0.03543401860195398	0.24564197285855036	0.07470451828333602	0.2344915478310581	0.29894910441060757	0.2897984766229486	0.1869205520513229	0.2594237963902731	0.13539172130840318	0.0813598801138278	0.06894261341284237	0.24232916653602163	0.1731016213490638	0.06622097424345137	0.06635485785370031	0.15404167193477483	0.220191033276874	0.12864443590383512	0.18391569379102218	0.18274023635053388	0.0595352292435155	0.12422808341854961	0.12839366042111017	0.15842756165414978	0.15949430079498905	0.07105676653951062	0.0679424451405559	0.0679424451405559	0.060757229076339514	0.06255353309239362	0.0787202692368805	0.0715350531726641	0.06255353309239362	0.06973874915661	0.15043658546312622	0.05521969119906247	0.0654983810475837	0.13391584106993853	0.0262673493431675	0.06454829216400322	0.06599908336519278	0.06401315394272954	0.3036593226387445	0.2898948098098383	0.3075982521011127	0.30184411821334944	0.29643957522797554	0.3108848438401234	0.2835294201211562	0.05417785475490106	0.25789715853947653	0.221976177396295	0.2811598883444858	0.21647965883829576	0.2855541087677368	0.04055108798814023	0.09137923678651502	0.042514279213164585	0.10603142968859437	0.047195874376640905	0.06635772705318499	0.06105566181710437	0.06020024070466072	0.09722711741153224	0.061494041795746336	0.09582109864041828	0.06843374261102476	0.07704531855551355	0.0715350531726641	0.06309983319482444	0.07168938162926915	0.06778504143179429	0.0709029402205121	0.10671117382161294	0.17292779267430772	0.14922535576559753	0.20188091616196496	0.13679601461631594	0.18991465089157095	0.06704519577399819	0.07670537372691133	0.20815836717298644	0.11678135585170062	0.1510311335957709	0.18052994477139042	0.12123059798682165	0.08698055687814212	0.19549181084012043	0.16331574170663857	0.19614429185572294	0.1429541970855203	0.0831592862262188	0.18177326274372058	0.16059351956644802	0.17249618954094056	0.19634320825933732	0.2353261622183819	0.19288510007276125
G1-135	0.13960432472454537	0.09411275358177155	0.20527663624590892	0.0990450577924878	0.12650314789977815	0.07037361974072051	0.0	0.08587872458147454	0.09610508426438663	0.21922400787881377	0.09800668757049083	0.20835296070620382	0.2738179999665369	0.2636357606729819	0.16667115374546007	0.23016624592261897	0.10426076818981832	0.13909966705427204	0.13619998892557186	0.21678205080953405	0.16233096622617924	0.13347834975618086	0.13361223336642972	0.15363732435191746	0.19373143292211445	0.13807386264519622	0.1668629265060644	0.16623293286653498	0.09363533887849435	0.14012486965051024	0.14255558931540732	0.157422455040135	0.15314593191927872	0.1250994371687818	0.13012373664786167	0.13012373664786167	0.12293851998364529	0.1247348241496994	0.1409015616441863	0.13371634497996987	0.1247348241496994	0.13192004081391578	0.15117966258682147	0.12208819877893315	0.1355195594275989	0.14536763261387117	0.08461478258908947	0.13456947054401847	0.12852981525941018	0.1326939886606282	0.2787001534456563	0.26256368544873787	0.28140422387203434	0.27688494902026134	0.26986534493287356	0.28592567464703533	0.25617620724896883	0.05651432060560315	0.22869889574790586	0.1926782604386903	0.2549464843376672	0.19215319587348453	0.2595721472165831	0.07023483608800088	0.06295509721046924	0.09933940425829631	0.07646290899886801	0.11721705275665613	0.13166900981349877	0.12922107632153168	0.12238153191196649	0.1254440944079817	0.12109816079750303	0.12377069584120398	0.10519575552354508	0.10539598614979484	0.13371634497996987	0.117549607635483	0.09968760716284515	0.1067717829391584	0.099433481386119	0.12923786539819443	0.148215048395488	0.1506871457686077	0.1771865944935692	0.11052682209359542	0.16334318805547404	0.09294851211958507	0.10249474859290976	0.18061262669998843	0.057200838427330404	0.08804311679867893	0.15466371732319859	0.11036413575298604	0.11160790215765196	0.1722071068955464	0.15202570860839618	0.1740966649374284	0.13675300706175222	0.10400682848617647	0.1667980780783091	0.1584757605290616	0.16170998954358265	0.17650281690073757	0.20982348722242636	0.17470149057414883
G1-136	0.06286105477747893	0.053780317156261706	0.16592739634309633	0.08369490332581826	0.1147068213258928	0.06825695809902653	0.08587872458147454	0.0	0.08564021474961035	0.18002428241068918	0.024260280864169443	0.17084949590483614	0.2352212071937596	0.2260705794061006	0.12185231117235829	0.19569589917342506	0.08783901719263523	0.10566522718156762	0.1170419318362953	0.1765771241168929	0.10868992259205155	0.11432029266690426	0.1144541762771532	0.09046646600746884	0.15701689599306362	0.06382156901729108	0.11797275909280239	0.11901233913368581	0.0524573197263957	0.0630105724309029	0.06487284218519314	0.09415021486840511	0.09253626668501123	0.11162176366711202	0.11798640680830844	0.11798640680830844	0.11080119014409205	0.11259749431014614	0.128764231804633	0.12157901514041662	0.11259749431014614	0.11978271097436255	0.08560318774924955	0.10359278393984868	0.11740392461517744	0.06924199805340042	0.09023347467708338	0.11645383573159698	0.11165286554961175	0.11323801018609018	0.24010336067287907	0.22348622526875725	0.2428074310992571	0.23828815624748412	0.23137133434901097	0.24732888187425803	0.21819610755967983	0.10578089911354702	0.1918389163907337	0.15701031943527582	0.21653010019803592	0.15272316232568256	0.22169482976620888	0.09238743921979309	0.14298228184516099	0.08079800604479548	0.15753169235832556	0.09910141794423467	0.11675099170767955	0.11278927008371548	0.11028825724250142	0.04832979738837434	0.10900488612803794	0.046656399121596616	0.09319059119425632	0.07345327302770531	0.12157901514041662	0.10541227764592974	0.08565293181933467	0.09463445264960517	0.07201376740343628	0.05185885058590655	0.11167087859616703	0.08556661161081741	0.1413017033038008	0.08840680753780535	0.12601884947608447	0.04811993841975016	0.05694005315611135	0.14253633863341716	0.06918031113647455	0.10382658991133824	0.12056477995057768	0.06060880506945678	0.03515870017589789	0.13176391362327236	0.09725959852626267	0.13250450497905117	0.07654561254443912	0.02886464032753799	0.11592693222037195	0.09776550172133519	0.10645115760209564	0.13337139715826557	0.16948600945907685	0.12993557400284425
G1-138	0.1437816759943405	0.05565590809820567	0.24539496006802294	0.020298351438665745	0.031185026271029356	0.03543401860195398	0.09610508426438663	0.08564021474961035	0.0	0.26033203014861106	0.07674933367612875	0.2481537829319716	0.31315072202897903	0.3029684827354242	0.18925863735189205	0.2694989679850612	0.1653590078870894	0.08461738182041989	0.0570352146159137	0.25718847992208493	0.18912747210016168	0.054313575446522655	0.054447459056771605	0.16828708110623555	0.23303101086646968	0.14165344024162055	0.19686176685971007	0.18456251589815514	0.05608741825405637	0.1275680444579033	0.13193918583829328	0.1639700038308007	0.16606456486078708	0.04589144557841524	0.04073764092468511	0.04073764092468511	0.041283941027115946	0.04050307298762097	0.05151546547100971	0.04433024895679333	0.04050307298762097	0.04253394494073921	0.16656948905853333	0.04534500657048542	0.05471671255066744	0.1374613268632487	0.05242483516884057	0.05376662366708697	0.05450593405732966	0.053231485445813284	0.3180328755080986	0.3032367511732966	0.3219718049704668	0.31621767108270354	0.3105384106574323	0.3252583967094775	0.29725034261702327	0.07933545396054452	0.2699735660127081	0.23265772901868165	0.2948808108403529	0.23148666071958263	0.29917224907468914	0.06630861934580146	0.11493701402011107	0.04113047637302385	0.12871146242051776	0.03641420587972465	0.05220650659868385	0.0484182294446002	0.040726952655437146	0.09658654122999319	0.04202075374652277	0.09357935501904761	0.04931289607250648	0.05792447186699526	0.04433024895679333	0.043626545145600874	0.052216093580045565	0.048311753382570696	0.05166219322070751	0.11162539718371044	0.1897249256882448	0.15424572944371245	0.2197807839649801	0.1654578547036628	0.20511609613976584	0.06766423215680512	0.05150460542087188	0.22132293144762605	0.14763736309493106	0.18220625201070562	0.20199079312836346	0.1404673386023982	0.0764244881521327	0.2096389510455801	0.17287425794100275	0.20915983178828382	0.15440485128816947	0.08171479615516986	0.1972997736467138	0.17729636902536033	0.1874081827924925	0.212135683515268	0.25013069475327004	0.2086663447999317
G1-139	0.11907355428984277	0.2116780736519494	0.034868224749008934	0.2615455684282035	0.27702249004660645	0.24564197285855036	0.21922400787881377	0.18002428241068918	0.26033203014861106	0.0	0.19216248970187777	0.013171355808860875	0.05786350398377333	0.04871287639611429	0.07284932958003697	0.0183381978634388	0.12395163582459377	0.2668298714975656	0.27628003204409946	0.015164033487515712	0.0734442447400776	0.2736275459367764	0.27437765665932723	0.0962046484496789	0.02937997760169548	0.12280946159468129	0.09716698088502715	0.07824528186380185	0.21056011073155576	0.14612492814988595	0.1427997003634415	0.10817163359167892	0.13861908052236163	0.2704054660591026	0.27234247953036356	0.27234247953036356	0.2651572628661472	0.2669535670322013	0.2831203045266882	0.27593508786247173	0.2669535670322013	0.2741387836964177	0.09585962140422463	0.2631118997557581	0.2758664356093417	0.13818861293587525	0.2683350164318275	0.27578295017992754	0.27184440267189275	0.27404577442067307	0.0623569749968925	0.04746886572088753	0.06510396257893117	0.060792146913362	0.05390156092129612	0.06948710722979624	0.03917419352056687	0.2670764514664922	0.012772994112853727	0.0439734044972696	0.0373428673190219	0.030228555298720667	0.042706117038053736	0.26857219402796206	0.2635614794679134	0.249420839871813	0.27013098434917737	0.27412512334100286	0.2754901149501155	0.2713042528906942	0.2646334128150724	0.18036636959270164	0.263316903680005	0.18380326061693386	0.2467977260248128	0.22701635268817355	0.27593508786247173	0.2597683503679849	0.2400090045413898	0.24899052537166028	0.22673550751251736	0.1594593761331027	0.07662254560150392	0.11970876572410412	0.051941936812219966	0.1225996054806934	0.06862400780559584	0.21612005691207242	0.2129824942380592	0.03947606438756891	0.1663934257638244	0.17923652785182342	0.06749494478490803	0.12526495018664355	0.18565241340904093	0.052891181305437074	0.10445947194654806	0.05174952860443124	0.14999919218199007	0.17952612114419414	0.06864244491285765	0.08570924121955178	0.07553014184508164	0.04953371249839231	0.012016675919206729	0.05299993861505777
