	shannon
G1-11	1.9979735746686904
G1-12	0.7749654974011437
G1-13	1.8665719733617019
G1-130	1.0270447499591702
G1-131	1.9432654461290189
G1-132	0.9983537890752521
G1-135	1.7070609482712946
G1-136	2.1606131216037414
G1-138	1.9015018341364236
G1-139	2.14066954564368
G1-14	2.366207140583085
G1-140	1.8256749669777848
G1-141	1.1096898361709011
G1-142	1.3924750873643688
G1-143	1.3668618708779907
G1-144	1.7297778483545765
G1-15	2.304311413804091
G1-175	1.4312577419419226
G1-176	0.21389253048102683
G1-177	1.7206040074179705
G1-178	1.7580959562838754
G1-180	0.3874116590005848
G1-182	0.27194073285321096
G1-187	2.347983306330874
G1-188	1.7295994598785942
G1-189	1.8737374118615866
G1-190	2.147218203761707
G1-192	1.3470304644838484
G1-193	1.5350133783288944
G2-1100	1.4546802360178748
G2-1101	1.4851759753685427
G2-1102	1.7233173643200554
G2-1103	2.298181674424415
G2-1104	1.4490594337618294
G2-1105	0.3072683598607598
G2-1106	0.2863969571159562
G2-1107	0.46899559358928117
G2-1108	0.21887772653901102
G2-1109	0.331440694141443
G2-1110	0.34698128810061335
G2-1111	0.2647650339356807
G2-1113	0.30984673679542024
G2-194	1.6243540916397068
G2-197	1.7345531175254318
G2-198	1.148272652746293
G2-199	1.4470627336924728
G2-21	1.174920347244456
G2-210	1.1688956514842668
G2-211	1.636003387185376
G2-212	1.3946685529050562
G2-213	0.8903603685902551
G2-214	1.167069915364299
G2-215	0.7192742001053886
G2-216	0.9439097659397552
G2-217	0.8052736315626388
G2-218	0.8667667594164021
G2-219	0.9747514834511642
G2-22	0.9993506898146104
G2-220	1.5304261499142329
G2-221	2.3131504058804992
G2-222	1.6899377647159355
G2-223	1.4981994746172496
G2-224	0.6235891183743495
G2-23	0.9614969508235551
G2-24	0.8341980958607491
G2-25	1.5051828200191826
G2-26	0.6293884391718078
G2-27	1.6287546969670978
G2-28	1.4818352690161116
G2-29	1.5433308593329105
G2-313	0.46328516226126726
G2-314	1.1768424232757673
G2-315	0.5437540615717386
G2-316	1.1676127290005223
G2-317	0.6868827537990294
G2-318	0.7742912343073
G2-319	0.2647650339356807
G2-320	0.5148156530047155
G2-321	0.4643287256876323
G2-322	0.4529425481872832
G2-323	1.0973492432004002
G2-324	1.3795171702869142
G2-325	1.7998558197148546
G2-326	1.1340670264060408
G2-327	1.897288511653329
G2-328	2.1319444179058666
G2-329	2.0281572033707413
G2-330	1.7826025856103447
G2-413	1.405446447905483
G2-414	2.235998149316741
G2-415	1.7091723286193055
G2-416	1.3969469323533874
G3-417	1.5883311984249766
G3-418	2.091616474290975
G3-419	1.5835042916764859
G3-420	1.3431507066930168
G3-421	2.116454494079482
G3-422	1.4288518883762023
G3-423	2.1409879970161003
G3-424	1.8669550405724469
G3-425	1.9225157363623424
G3-426	1.6635431967032457
G3-427	1.4861643244763685
G3-428	1.6948765387140736
G3-429	1.1034339650593004
G3-430	1.5367625359026593
