	G1-11	G1-12	G1-13	G1-130	G1-131	G1-132	G1-135	G1-136	G1-138	G1-139	G1-14	G1-140	G1-141	G1-142	G1-143	G1-144	G1-15	G1-175	G1-176	G1-177	G1-178	G1-180	G1-182	G1-187	G1-188	G1-189	G1-190	G1-192	G1-193	G2-1100	G2-1101	G2-1102	G2-1103	G2-1104	G2-1105	G2-1106	G2-1107	G2-1108	G2-1109	G2-1110	G2-1111	G2-1113	G2-194	G2-197	G2-198	G2-199	G2-21	G2-210	G2-211	G2-212	G2-213	G2-214	G2-215	G2-216	G2-217	G2-218	G2-219	G2-22	G2-220	G2-221	G2-222	G2-223	G2-224	G2-23	G2-24	G2-25	G2-26	G2-27	G2-28	G2-29	G2-313	G2-314	G2-315	G2-316	G2-317	G2-318	G2-319	G2-320	G2-321	G2-322	G2-323	G2-324	G2-325	G2-326	G2-327	G2-328	G2-329	G2-330	G2-413	G2-414	G2-415	G2-416	G3-417	G3-418	G3-419	G3-420	G3-421	G3-422	G3-423	G3-424	G3-425	G3-426	G3-427	G3-428	G3-429	G3-430
G1-11	0.0	0.12592735277401895	0.09513544133728102	0.06275108135924724	0.2122718181996899	0.059279313725614055	0.06008974171530889	0.18143443381554203	0.059279301904824035	0.09736203861565389	0.05401156783833635	0.13748542125734475	0.14656108699933443	0.14141273433087345	0.022896223720619363	0.14141273433087345	0.1180918663409235	0.44575635139587766	0.3435437379427788	0.2985889779450783	0.17493334146736375	0.4888811536329562	0.5284832203328896	0.13275260011179563	0.1405940324559373	0.13825451439055364	0.44793084175121745	0.20791290933920367	0.6661115852130766	0.13883445892487895	0.09835175704389841	0.13883445892487895	0.31846307342042873	0.28615961243440385	0.14798750567344418	0.14798750567344418	0.14798750567344418	0.14798750567344418	0.1452366723413575	0.14798750567344418	0.14798750567344418	0.14435144977959943	0.04243898181029132	0.0956904542948734	0.2933951669479934	0.13883445892487895	0.3593389496123907	0.2933951669479934	0.38028552274323596	0.26535583437318655	0.13865911949758852	0.14141273433087345	0.14141273433087345	0.14141273433087345	0.14141273433087345	0.14141273433087345	0.09607233936331547	0.34147526117295585	0.10160478698758019	0.27360717133097356	0.13608362559279225	0.10160478698758019	0.13971968148663702	0.34147526117295585	0.34147526117295585	0.36666924689069325	0.1909996141519598	0.32531946333968026	0.24857129949408047	0.23852212441236975	0.13864396077419272	0.13883445892487895	0.18981368688925113	0.13883445892487895	0.14435144977959943	0.14435144977959943	0.14798750567344418	0.14798750567344418	0.10724772104523421	0.14798750567344418	0.1909996141519598	0.10457415070651026	0.23153142989301193	0.2396670623027229	0.23153142989301193	0.23153142989301193	0.23153142989301193	0.23642225887811621	0.11950214325736196	0.1670592129783267	0.08707615324660471	0.06433748170771021	0.13863974808972826	0.06160815800036607	0.027593398150823276	0.08728791753010948	0.34821987132163956	0.15805045912148225	0.2789309140426663	0.22887408192803504	0.10866572123969472	0.059279301904824035	0.0919035878340554	0.125070640595591	0.08453974631508789	0.125070640595591
G1-12	0.12592735277401895	0.0	0.20651345528381512	0.1755427873097178	0.32558443566221845	0.17840513274257697	0.16808083753424705	0.28451422863711684	0.17840512092178695	0.11863597679420632	0.17313738685529925	0.023816720905688354	0.02604041242805744	0.018882179552136804	0.13590654460427665	0.018882179552136804	0.22573301139380164	0.5119949893908073	0.36943453094848205	0.3236529567938533	0.07095761632495738	0.5607376989553307	0.5525235580933346	0.017724226877508107	0.026994742000551016	0.02398205915883943	0.47247749101841324	0.2263330302893518	0.6863733245156141	0.02428563210382147	0.11986111169704648	0.02428563210382147	0.34362023362166344	0.30629593947987094	0.02653558030649953	0.02653558030649953	0.02653558030649953	0.02653558030649953	0.023392623611469005	0.02653558030649953	0.02653558030649953	0.030562975725848266	0.16369733275498913	0.20461551144317952	0.19828992465355139	0.02428563210382147	0.3850901348408733	0.19828992465355139	0.4044268173978801	0.2939186001646248	0.015735591323297934	0.018882179552136804	0.018882179552136804	0.018882179552136804	0.018882179552136804	0.018882179552136804	0.11036182063230984	0.25241907068709357	0.11622518277603272	0.29833867085605914	0.02115567837956286	0.11622518277603272	0.017089201611666244	0.25241907068709357	0.25241907068709357	0.3919945490766977	0.08267973781133801	0.23928815081278274	0.2768940444166634	0.1493566601151771	0.024068879460449798	0.02428563210382147	0.21375994549054028	0.02428563210382147	0.030562975725848266	0.030562975725848266	0.02653558030649953	0.02653558030649953	0.12224785852918948	0.02653558030649953	0.08267973781133801	0.11941392139311864	0.14709717691299976	0.1444073643095928	0.14709717691299976	0.14709717691299976	0.14709717691299976	0.14752005377857277	0.007297246060798786	0.06774855648789956	0.1984336735788171	0.17841660599843276	0.15473810177099734	0.17537329800499127	0.14606508167542587	0.10837761902321943	0.37341268683089757	0.18109626808541315	0.30386022425700354	0.13905709082978504	0.22153761423643265	0.17840512092178695	0.20625776508169724	0.013621506018488456	0.20046677196522228	0.013621506018488456
G1-13	0.09513544133728102	0.20651345528381512	0.0	0.05107904243568663	0.1965848147188622	0.04770049948977672	0.043526753380207395	0.16853028195414943	0.04770048798640122	0.12842363218764669	0.042574204303458825	0.21590293182029477	0.22429053660162263	0.2202006068074652	0.1107488887087505	0.2202006068074652	0.10116727348756742	0.4062785736717755	0.34113335496215774	0.24331313458315132	0.1555707360173922	0.4436327079435125	0.522563134904873	0.21192834985581468	0.2189749892148376	0.21701090148598448	0.42815969484039323	0.24332650727011007	0.6685339219969011	0.20830116095047094	0.11968880265400268	0.20830116095047094	0.3272270336805193	0.22965488970344664	0.216799583843066	0.216799583843066	0.216799583843066	0.216799583843066	0.21424548949554356	0.216799583843066	0.216799583843066	0.21342357785338292	0.0813052873062873	0.03254170682675846	0.36461894427372465	0.20830116095047094	0.2898236679997213	0.36461894427372465	0.3951085119241366	0.21140458917368898	0.21765760353363217	0.2202006068074652	0.2202006068074652	0.2202006068074652	0.2202006068074652	0.2202006068074652	0.1273553505124185	0.29552107635238983	0.12274268869496797	0.2917797810913466	0.20574706660294853	0.12274268869496797	0.20912307259263158	0.29552107635238983	0.29552107635238983	0.30997042785405376	0.16172389965144135	0.3065968789881944	0.27669536037510484	0.3057881500775596	0.21756990236849516	0.20830116095047094	0.21854669468755525	0.20830116095047094	0.21342357785338292	0.21342357785338292	0.216799583843066	0.216799583843066	0.12818722554659773	0.216799583843066	0.16172389965144135	0.1256331311990753	0.2074595288533583	0.21116095406903493	0.2074595288533583	0.2074595288533583	0.2074595288533583	0.20797433779611663	0.20514750560661318	0.15258626857279098	0.01835841987999641	0.047713442726147866	0.07005313355320347	0.04509383354432545	0.1141748440991551	0.11936088064925215	0.2969578279136771	0.09132390087687633	0.2220609363372899	0.2095175238954109	0.046652758185599594	0.04770048798640122	0.08615167945022874	0.21027378928955556	0.02084826238807792	0.21027378928955556
G1-130	0.06275108135924724	0.1755427873097178	0.05107904243568663	0.0	0.1508389962879821	0.003490176597373272	0.007901560966056854	0.14226044022875378	0.0034901647139847195	0.1524158353771659	0.008739513520910897	0.19190184493266	0.18489291976390668	0.18031667878542992	0.06717033837230292	0.18031667878542992	0.06595461052403295	0.4254471601712341	0.36949466172537365	0.2556004336634128	0.11975666528235976	0.4505934748878238	0.541395006247316	0.18770440822228165	0.1855614404287474	0.18345173440397888	0.43032512983580723	0.23884168663862604	0.6733769943637871	0.19360317136487584	0.15377202867862982	0.19360317136487584	0.35201615574630646	0.2372239656171809	0.18655630516892796	0.18655630516892796	0.18655630516892796	0.18655630516892796	0.18392999623048248	0.18655630516892796	0.18655630516892796	0.18937037296817316	0.09107072956386023	0.03544361713709519	0.3253816698572773	0.19360317136487584	0.3066306970681121	0.3253816698572773	0.39927082720071716	0.22030890691625535	0.177687834587358	0.18031667878542992	0.18031667878542992	0.18031667878542992	0.18031667878542992	0.18031667878542992	0.14527429490928181	0.28118156994608334	0.15053673774888277	0.31095289875650445	0.1909996141519598	0.15053673774888277	0.1882059172924976	0.28118156994608334	0.28118156994608334	0.32788680165686396	0.12992340833652366	0.26488333345462367	0.2816735716736759	0.269093571204773	0.18394010086001814	0.19360317136487584	0.22764820895049576	0.19360317136487584	0.18937037296817316	0.18937037296817316	0.18655630516892796	0.18655630516892796	0.14657564251937805	0.18655630516892796	0.12992340833652366	0.14401984949337074	0.1802599415665039	0.1825092478662267	0.1802599415665039	0.1802599415665039	0.1802599415665039	0.18517496891777027	0.1757987264992376	0.12178715866090127	0.03293602639380908	0.008721636813492924	0.07823908366587033	0.01657557868197046	0.07778746545695342	0.13420141895098203	0.30847744633642504	0.10570031745955999	0.2346479901668124	0.17758944583470215	0.05606785472639478	0.0034901647139847195	0.10495947163642669	0.17143406147855686	0.030386550123688686	0.17143406147855686
G1-131	0.2122718181996899	0.32558443566221845	0.1965848147188622	0.1508389962879821	0.0	0.1538026980039383	0.15794320931855751	0.2716410145011442	0.15380270805962964	0.2955944736135055	0.15826025036135358	0.3389663338705174	0.33323295247869233	0.3299679534176487	0.21682161300452166	0.3299679534176487	0.20721650990721777	0.5150229752427606	0.27481240021756	0.37411655906080116	0.2700692086280047	0.39097218235333653	0.5310929924193456	0.3355327819441717	0.3337798094270654	0.3320540454227014	0.5226008759832488	0.36780347374387035	0.7283899779123817	0.34181494282571784	0.29803789755983323	0.34181494282571784	0.46215531001607174	0.3586658151683949	0.3360632559819962	0.3360632559819962	0.3360632559819962	0.3360632559819962	0.3334369470435507	0.3360632559819962	0.3360632559819962	0.33836011195856724	0.23607359011509174	0.18093633379130236	0.20679148314303641	0.34181494282571784	0.20099637279835747	0.20679148314303641	0.5004514039821825	0.34410023625516867	0.32733910921957676	0.3299679534176487	0.3299679534176487	0.3299679534176487	0.3299679534176487	0.3299679534176487	0.2896593219407169	0.15349571293114309	0.29492176478031784	0.42735057369398516	0.3392113856128018	0.29492176478031784	0.33692950403514743	0.15349571293114309	0.15349571293114309	0.435518741394018	0.2794303591495919	0.13430237218632127	0.1593676937266789	0.4016894204330717	0.3329298398504122	0.34181494282571784	0.35931958592439056	0.34181494282571784	0.33836011195856724	0.33836011195856724	0.3360632559819962	0.3360632559819962	0.2920683591735852	0.3360632559819962	0.2794303591495919	0.28951256614757787	0.32069681532089694	0.3234055644660155	0.32069681532089694	0.32069681532089694	0.32069681532089694	0.32561184267216337	0.32531946333968026	0.27130789550134393	0.17919154596047954	0.1586392596388058	0.22499297403188354	0.16530539761842875	0.2253196974230826	0.28045693851765247	0.4185750033358834	0.24808209481659232	0.3564999617053335	0.3180263195890952	0.1984496320834271	0.15380270805962964	0.24433459140045677	0.3217466048242018	0.17664206969035914	0.3217466048242018
G1-132	0.059279313725614055	0.17840513274257697	0.04770049948977672	0.003490176597373272	0.1538026980039383	0.0	0.011345919764250256	0.13925631317807524	1.1883388552770658e-08	0.1490913268671052	0.00526774588727771	0.1884871096689079	0.18769082017529762	0.18315507191812777	0.07040053215934527	0.18315507191812777	0.062674607358536	0.4266396893204682	0.37140030514944034	0.252848571567807	0.1162665124517636	0.45183948402969293	0.5423560371430125	0.18427193608453418	0.1821199128716208	0.1800012919798726	0.42818255111653636	0.2411141148211049	0.6720996311046866	0.19016179699798594	0.15042227542832173	0.19016179699798594	0.34945880110059235	0.2393688068436199	0.18937038474698362	0.18937038474698362	0.18937038474698362	0.18937038474698362	0.18675316139302484	0.18937038474698362	0.18937038474698362	0.1859109347357206	0.08770386387898067	0.03869117144460857	0.3277154703283757	0.19016179699798594	0.30875266588992467	0.3277154703283757	0.4006788507609101	0.2174345404282607	0.180535330823817	0.18315507191812777	0.18315507191812777	0.18315507191812777	0.18315507191812777	0.18315507191812777	0.14813022651779234	0.2836903561542336	0.15337508580177397	0.3082502256088371	0.18755823978506989	0.15337508580177397	0.1909996258692658	0.2836903561542336	0.2836903561542336	0.32538764823213595	0.13293340659016406	0.2674490029996743	0.2840920803034747	0.27133698499460135	0.18048066262756557	0.19016179699798594	0.22459089105256633	0.19016179699798594	0.1859109347357206	0.1859109347357206	0.18937038474698362	0.18937038474698362	0.14944902895016576	0.18937038474698362	0.13293340659016406	0.146901840965294	0.17699909492294152	0.1851749800204095	0.17699909492294152	0.17699909492294152	0.17699909492294152	0.1819141222742079	0.17232695886560442	0.11831539102726808	0.02954007483684464	0.005240653763017688	0.08136936130549097	0.01312217561259731	0.07436186952503764	0.13080546739401758	0.3059210575504288	0.10239431150551759	0.23181867204130538	0.17432859919113977	0.05276184877235237	1.1883388552770658e-08	0.10172327818289344	0.1679439086479607	0.026990598566724245	0.1679439086479607
G1-135	0.06008974171530889	0.16808083753424705	0.043526753380207395	0.007901560966056854	0.15794320931855751	0.011345919764250256	0.0	0.13995757803891545	0.011345907943460234	0.1452381958059542	0.006078173876972546	0.18463038991024885	0.18703939925713492	0.18249423871873338	0.06964848138581163	0.18249423871873338	0.06829722759635051	0.42636175296959217	0.37095649489048893	0.2571674273927269	0.12210541352968812	0.4515491292846805	0.5421320605744214	0.1803842418329555	0.18770440505785002	0.18560580800621182	0.43125924959912804	0.24058485434627933	0.6749659270235323	0.1862792429660284	0.14654316018242983	0.1862792429660284	0.3468819393763192	0.2388691953397056	0.18871521046929607	0.18871521046929607	0.18871521046929607	0.18871521046929607	0.18609587183785972	0.18871521046929607	0.18871521046929607	0.19151438654118333	0.09820524765372005	0.042885795183808854	0.3315089324549431	0.1862792429660284	0.30825848948266377	0.3315089324549431	0.40316210374751	0.22584310048424988	0.17987237827359198	0.18249423871873338	0.18249423871873338	0.18249423871873338	0.18249423871873338	0.18249423871873338	0.13801800601698394	0.2831062887060668	0.14329372714329064	0.3054428568313431	0.183668941839197	0.14329372714329064	0.18084260290786294	0.2831062887060668	0.2831062887060668	0.3291719442374917	0.13223261913673595	0.27138469828923545	0.2878600548487271	0.2747927113310845	0.18609847682087693	0.1862792429660284	0.22945408846928605	0.1862792429660284	0.19151438654118333	0.19151438654118333	0.18871521046929607	0.18871521046929607	0.14877999960319485	0.18871521046929607	0.13223261913673595	0.14623080807667868	0.18673179819961735	0.1845542491664142	0.18673179819961735	0.18673179819961735	0.18673179819961735	0.18720667161925222	0.17313738685529925	0.11912581901696291	0.03544697167520938	0.011359728341216624	0.08064053532729198	0.008765828219571073	0.08020280320740879	0.1364494324444651	0.3098299320226842	0.10796098726184951	0.23630433881798832	0.17964006244671965	0.0632487582435609	0.011345907943460234	0.10247871519123547	0.17840512092178695	0.03789347066206793	0.17840512092178695
G1-136	0.18143443381554203	0.28451422863711684	0.16853028195414943	0.14226044022875378	0.2716410145011442	0.13925631317807524	0.13995757803891545	0.0	0.13925630294952346	0.2550863034520453	0.13469812277305934	0.2917458725649233	0.299198734084587	0.2961367401285906	0.19897781308381748	0.2961367401285906	0.18638093272950645	0.47696273051871885	0.29866299992805695	0.14088496398026806	0.23933196049186792	0.48612780063429273	0.4574995241510821	0.2885577175583162	0.29464637133196464	0.2930711867861083	0.4798440347607439	0.33336982113778274	0.6904299420027139	0.29389455545886306	0.25694322662038066	0.29389455545886306	0.39168943690195135	0.32707993337605173	0.3013995191795813	0.3013995191795813	0.3013995191795813	0.3013995191795813	0.29914399651852974	0.3013995191795813	0.3013995191795813	0.2984181657221562	0.21086498415680968	0.16846906708194617	0.42062530842304136	0.29389455545886306	0.39463230772956454	0.42062530842304136	0.4404613096449395	0.30944447289396937	0.2938793477929662	0.2961367401285906	0.2961367401285906	0.2961367401285906	0.2961367401285906	0.2961367401285906	0.2547165399159637	0.38344099625009515	0.2592780130157486	0.35658882935424224	0.2916390327978115	0.2592780130157486	0.2946203862552366	0.38344099625009515	0.38344099625009515	0.2363396049259351	0.2527621405770131	0.3694613540568629	0.38074056042944737	0.3620971284778276	0.293738358101957	0.29389455545886306	0.32084242624115134	0.29389455545886306	0.2984181657221562	0.2984181657221562	0.3013995191795813	0.3013995191795813	0.26427447398716075	0.3013995191795813	0.2527621405770131	0.2620711595961933	0.285066028633833	0.29216835122819806	0.285066028633833	0.285066028633833	0.285066028633833	0.2893356715400955	0.27925477337126076	0.23251846232877804	0.16153124972990296	0.1434537660407682	0.20631129206671014	0.13235192405009724	0.20120526348711762	0.24902364784938721	0.2843458775763155	0.2216728563032279	0.3208864641518493	0.28274619146048463	0.17863581569122836	0.13925630294952346	0.21126162617271965	0.28381295354772484	0.15932852491751837	0.28381295354772484
G1-138	0.059279301904824035	0.17840512092178695	0.04770048798640122	0.0034901647139847195	0.15380270805962964	1.1883388552770658e-08	0.011345907943460234	0.13925630294952346	0.0	0.14909131554770794	0.005267734066487688	0.18848709804230357	0.1876908084881065	0.1831550601279862	0.07040052036920372	0.1831550601279862	0.06267459619067202	0.42663968966609184	0.37140031161822784	0.2528485621981753	0.11626650056837505	0.4518394882625248	0.5423560404083055	0.18427192439753878	0.18211990115379317	0.18000128023169137	0.42818254382141296	0.24111410465609975	0.6720996267554777	0.19016178528067992	0.15042226402297035	0.19016178528067992	0.34945879239322614	0.23936879726968335	0.18937037296817316	0.18937037296817316	0.18937037296817316	0.18937037296817316	0.18675314961421435	0.18937037296817316	0.18937037296817316	0.1859109229569101	0.0877038524153643	0.03869115998099219	0.3277154782470878	0.19016178528067992	0.30875267309276366	0.3277154782470878	0.40067884278053856	0.21743454808697787	0.18053531903367545	0.1831550601279862	0.1831550601279862	0.1831550601279862	0.1831550601279862	0.1831550601279862	0.1481302151411611	0.2836903646664194	0.1533750744251427	0.3082502164066856	0.18755822806776387	0.1533750744251427	0.1909996141519598	0.2836903646664194	0.2836903646664194	0.3253876539725152	0.13293339481135358	0.2674490117048624	0.2840920885103685	0.27133697454403194	0.1804806508487551	0.19016178528067992	0.22459088064290855	0.19016178528067992	0.1859109229569101	0.1859109229569101	0.18937037296817316	0.18937037296817316	0.14944901748654937	0.18937037296817316	0.13293339481135358	0.1469018295016776	0.1769990838203023	0.18517496891777027	0.1769990838203023	0.1769990838203023	0.1769990838203023	0.1819141111715687	0.1723269470448144	0.11831537920647806	0.029540063274195724	0.005240641910850707	0.08136934974284205	0.013122163854335567	0.07436185786145456	0.13080545583136866	0.3059210488463512	0.10239430024911844	0.23181866240794885	0.17432858808850055	0.05276183751595323	0.0	0.10172326716419423	0.16794389676457214	0.026990587004075323	0.16794389676457214
G1-139	0.09736203861565389	0.11863597679420632	0.12842363218764669	0.1524158353771659	0.2955944736135055	0.1490913268671052	0.1452381958059542	0.2550863034520453	0.14909131554770794	0.0	0.14404701864168254	0.0971326367897736	0.11171171578517519	0.12389131516782151	0.10354088458947672	0.12389131516782151	0.19614370498795108	0.4586658175126255	0.29578080100029813	0.2560080098836958	0.16842543658869955	0.5076698780317532	0.5003166255484371	0.1027326059319538	0.11081786094710624	0.10834755479553884	0.4144496052078633	0.16153951950821832	0.6524781778042313	0.11413001265062755	0.01699737586085396	0.11413001265062755	0.2655896330397579	0.2292783806265491	0.12344557810878365	0.12344557810878365	0.12344557810878365	0.12344557810878365	0.1206459018180941	0.12344557810878365	0.12344557810878365	0.11974496151421261	0.06589917490155747	0.11753595305342943	0.27622402518672984	0.11413001265062755	0.3002078921850161	0.27622402518672984	0.3479056639951705	0.2237625987387577	0.12109941660800949	0.12389131516782151	0.12389131516782151	0.12389131516782151	0.12389131516782151	0.12389131516782151	0.009300585736751238	0.33628099436285896	0.015109415178150806	0.20787057644982665	0.11133033635993801	0.015109415178150806	0.11503095295450905	0.33628099436285896	0.33628099436285896	0.3189354078265214	0.16851582550374342	0.32439948101742055	0.1793604933829141	0.2226793752370628	0.11393613207281304	0.11413001265062755	0.13535566202337618	0.11413001265062755	0.11974496151421261	0.11974496151421261	0.12344557810878365	0.12344557810878365	0.026312941319010054	0.12344557810878365	0.16851582550374342	0.023513265028320508	0.21540930245530646	0.21925760028453872	0.21540930245530646	0.21540930245530646	0.21540930245530646	0.21596148060466924	0.11738741862728701	0.16530883917904235	0.12047339713386149	0.1491027128581508	0.08007963102055973	0.14626367859845552	0.11707156255407518	0.02341767227344673	0.3100560233229365	0.10176126051717739	0.234539516251242	0.208293929959343	0.145429487536416	0.14909131554770794	0.12940703778069007	0.12298681133194313	0.12266854870859845	0.12298681133194313
