	G1-11	G1-12	G1-13	G1-130	G1-131	G1-132	G1-135	G1-136	G1-138	G1-139	G1-14	G1-140	G1-141	G1-142	G1-143	G1-144	G1-15	G1-175	G1-176	G1-177	G1-178	G1-180	G1-182	G1-187	G1-188	G1-189	G1-190	G1-192	G1-193	G2-1100	G2-1101	G2-1102	G2-1103	G2-1104	G2-1105	G2-1106	G2-1107	G2-1108	G2-1109	G2-1110	G2-1111	G2-1113	G2-194	G2-197	G2-198	G2-199	G2-21	G2-210	G2-211	G2-212	G2-213	G2-214	G2-215	G2-216	G2-217	G2-218	G2-219	G2-22	G2-220	G2-221	G2-222	G2-223	G2-224	G2-23	G2-24	G2-25	G2-26	G2-27	G2-28	G2-29	G2-313	G2-314	G2-315	G2-316	G2-317	G2-318	G2-319	G2-320	G2-321	G2-322	G2-323	G2-324	G2-325	G2-326	G2-327	G2-328	G2-329	G2-330	G2-413	G2-414	G2-415	G2-416	G3-417	G3-418	G3-419	G3-420	G3-421	G3-422	G3-423	G3-424	G3-425	G3-426	G3-427	G3-428	G3-429	G3-430
G1-11	0.0	0.12861167256201236	0.11103896188724102	0.232556800068381	0.1514690325488171	0.24153967058165368	0.1644425883045383	0.06713659163788628	0.14406103281313695	0.11448767773984767	0.06138420386871918	0.11768039210953245	0.18214470390946272	0.17673308970950818	0.07090649516622334	0.13704391667144042	0.06726467649857322	0.1555666868131994	0.18142281681555456	0.10249318246456704	0.06452913996258902	0.18460432513427633	0.18702144824925643	0.04630048895668187	0.10748126158296431	0.04613380578535321	0.06425518535203978	0.05380432521775118	0.10594401065732614	0.05541572330555234	0.07890850161668074	0.056179868280383405	0.035969344855025856	0.16750267617981454	0.1872095127146148	0.18900581688066886	0.17104277522012795	0.1943947293788312	0.18888172585784668	0.1836169043825066	0.19080212104672303	0.18898378937062482	0.03927039843482773	0.16294620687808303	0.18716681430622756	0.06391094828599722	0.1798216969710971	0.18722942355202543	0.17955122970734377	0.1787021875233974	0.18516534711228197	0.15972175115740875	0.19209542688211628	0.18378181993134501	0.1835154910780814	0.19057066504129802	0.1588571632841642	0.17915356794712828	0.1541762223554649	0.084698175339359	0.15941359546557776	0.0975862625625673	0.16088017316528017	0.18108449934623894	0.20567341108509202	0.16573706324335213	0.2286210920243312	0.18482836306406453	0.1863839193331354	0.18703843779883364	0.18170796121651017	0.09918908504039657	0.17228977399770432	0.10651786245429133	0.16044117180415599	0.15148167863392958	0.19080212104672303	0.16565386272196567	0.17526402759205423	0.172839079386182	0.16715501655936849	0.06872065652729545	0.09607082598658534	0.05451086754515057	0.08862292987142568	0.0679721211498637	0.08676726524423783	0.13260579175234438	0.11654563245417049	0.08185546415013535	0.126290611181125	0.1665977339976711	0.08786332118250097	0.05647862620335606	0.07762835674363619	0.07452223345010825	0.03865930260493904	0.08640798250613047	0.06321041874845783	0.09723574498917341	0.05600707924027482	0.05903401863733238	0.08476264453165626	0.07069480653276533	0.14319228099215897	0.07352677792415176
G1-12	0.12861167256201236	0.0	0.2384095984704239	0.263293829939886	0.12076122967928579	0.272364810793335	0.10451086620252298	0.07732179576814852	0.12212592411384626	0.20184276223169365	0.09184414698621882	0.20369951112281998	0.26801809998626597	0.2626756388483793	0.15846756042184604	0.2229864658103116	0.14453436062240152	0.08917808423252484	0.057946141564064614	0.19116263346475143	0.1505597994416365	0.0604713161214967	0.06013596458317655	0.10884509363835565	0.19323530886374013	0.1080629635978716	0.1540157239509833	0.13185460554579562	0.05041973921628435	0.12063992855566558	0.08154979554192111	0.12140407068049666	0.14007513016410528	0.06214721046481641	0.06198089357317272	0.06377719773922681	0.04581415607868584	0.0691661102373891	0.06365310671640464	0.058388285241064534	0.06557350190528091	0.0637992253992709	0.11118519522822008	0.04513829236531598	0.05975212390295653	0.09448143470069502	0.09096857442122264	0.05981473304875439	0.05978657988489458	0.05925315233596494	0.2711078962511531	0.24566430029627997	0.2775221702680396	0.26972436907021613	0.2694580402169525	0.2761693436782039	0.24570921891342626	0.10804858751137292	0.241028277934727	0.1720777968228742	0.2453635613167974	0.18641871837826698	0.24640780393174383	0.0882977715786473	0.14147304524367785	0.051112234973517336	0.16503741931640534	0.05761365174479943	0.06098295925530297	0.05965707803456358	0.056567452415244406	0.061937073700133266	0.048139465214657326	0.055687981763252646	0.03530066300289019	0.026341169832663776	0.06557350190528091	0.04042524358052353	0.05102560846883096	0.04761046024473994	0.041926397417926385	0.08445064196963932	0.1818519363960707	0.10820203956894461	0.17435998511082293	0.13743736552114585	0.17254837565372325	0.053734289288213645	0.03586316424863193	0.16838571767660804	0.11910235785629875	0.12282402675362004	0.17561433510682709	0.10625922779623231	0.06977136994104018	0.1615430929473745	0.139726959576697	0.17441904202161554	0.14289776163313225	0.06209166819025829	0.16200519876059294	0.17171320989810543	0.17518590556527106	0.15689083531465828	0.23453959432285443	0.15972280670604472
G1-13	0.11103896188724102	0.2384095984704239	0.0	0.17639434155846231	0.19438751654308087	0.17178649235168994	0.2299431465045059	0.1643656703986854	0.18573212769779107	0.1452212150875075	0.1574492918149584	0.14683790740223987	0.16746280125620158	0.165322674997978	0.14404499835730236	0.1524463724737232	0.13032265750085567	0.23845862807068682	0.29069866382908566	0.1403016304188809	0.13818107878497288	0.29343416130250277	0.29629729526278753	0.13800066071749878	0.1469376773532029	0.13738572813476158	0.13849354082798912	0.1429826957276423	0.21594508789673886	0.1443318926699117	0.18644797077671504	0.14509603804474275	0.13294238227179608	0.27433242547908765	0.29512191529737464	0.2969182194634287	0.27895517780288775	0.302307131961591	0.29679412844060654	0.29152930696526647	0.2987145236294828	0.2968961919533846	0.1306755309634798	0.2701640690794892	0.2981617210233804	0.1718005610899293	0.275801069252891	0.2982243302691783	0.2901959927805989	0.2886615704222827	0.16975201380117294	0.15631717364503658	0.17616628781805924	0.16836848662023582	0.16810215776697224	0.17481346122822364	0.15382009518665501	0.27507195511716104	0.152272336025551	0.14689109790780358	0.15630274045981815	0.14010176564465207	0.15619094049851676	0.2770028865162718	0.2718042250571276	0.2620688372619783	0.2675856144455051	0.2821156662938213	0.2970286824063905	0.29803334451598645	0.2897335720314261	0.2071455427932446	0.2800015727327808	0.21447432020713936	0.26839762955700397	0.2594381363867776	0.2987145236294828	0.2735662653047255	0.2828262865309163	0.2807514819689418	0.2750819613867792	0.1766162118561674	0.12520248380483953	0.15536047586729895	0.12680742851409615	0.13480641286209724	0.12527871845319902	0.2268546460177963	0.22548508291278124	0.14290716893591832	0.17914448460253915	0.20122250111293868	0.1187604280423284	0.1482304541977558	0.18670214907197843	0.14010533164938052	0.12037695146645688	0.1397756104815531	0.14101813169574084	0.197288880602618	0.11715931421435437	0.11089952839433159	0.13747608868758832	0.14140129983830854	0.14246441717198877	0.14137243680368272
G1-130	0.232556800068381	0.263293829939886	0.17639434155846231	0.0	0.16401537255368	0.012865669461363577	0.24860679734931102	0.25072786240988304	0.1617557188731399	0.2862948555538794	0.24775679406711296	0.2876305574367818	0.3305788671976539	0.3252364060597672	0.2847894281994647	0.2931908023158854	0.26053984277947323	0.20484672556560615	0.25518941697004766	0.28077366659500935	0.2783029708172035	0.25768554511439973	0.26078804840374964	0.27852361469322506	0.28712622911343544	0.2776459260911281	0.27900309216212854	0.28397178443757604	0.27842755859720464	0.28592944020860933	0.28285939391433595	0.2866935823334404	0.24832724899898967	0.2499272405979183	0.27669687079333	0.2765958305054268	0.2776062333844585	0.27629270964171726	0.2764717394826046	0.27689895136913634	0.2764947902175236	0.2766178580154709	0.27094912367619367	0.24601002020220217	0.2615880816040822	0.2849379413692678	0.2509495586170258	0.2616506908498801	0.2539724970051984	0.2524821298169704	0.33366866346254104	0.30822506750766776	0.34008293747942736	0.332285136281604	0.3320188074283404	0.3387301108895919	0.3076186269774791	0.2501786474041422	0.30293768604877963	0.2884976408063634	0.30826316949906885	0.28127196512822356	0.3091737222161836	0.2521095788032529	0.24691091734410872	0.24674810331598765	0.25265755728475137	0.25650810966444	0.26080518663099006	0.26145970509668826	0.2769754625472735	0.282001809798858	0.27704399774825395	0.2816743637480078	0.27847680523240653	0.2790040341819664	0.2764947902175236	0.2779093542481681	0.276135452394513	0.2775051930965553	0.27306642448833024	0.27963805965927585	0.27629947514977626	0.2830309541679642	0.2780377384150368	0.2709246267593817	0.27647569871513883	0.2763600702424748	0.2748358029616273	0.2834322228449778	0.2489967924984219	0.2643076106469423	0.2701544918382856	0.2635368005800218	0.2745550459585614	0.2805773678255089	0.2608489873425854	0.28024764665768154	0.2817234750448762	0.2715800946708037	0.25743290722706824	0.25116684826511293	0.277816526649218	0.28132474920712464	0.29109832750822456	0.28129588617249884
G1-131	0.1514690325488171	0.12076122967928579	0.19438751654308087	0.16401537255368	0.0	0.17551028136630398	0.15457270596073	0.1201540461430177	0.014152595217612822	0.2644401169021498	0.11706306013358182	0.2674272668940051	0.33209096627374934	0.32547580531691633	0.2100208367186035	0.28148825100428254	0.19050393949135608	0.06231412510500593	0.10886212780153297	0.2518421749946602	0.21259678719899022	0.11135825594588496	0.11491929858239919	0.17148805552341595	0.25535720842021825	0.17078419698067596	0.21063886210263608	0.18403619794108586	0.13592803219717353	0.1787838170986093	0.14110523517639345	0.17954795922344038	0.1663486209046189	0.10137480429405771	0.12814443453946944	0.1280433942515663	0.129053797130598	0.12774027338785676	0.12791930322874412	0.1283465151152758	0.1279423539636631	0.12806542176161037	0.1724397337342262	0.10110765592634918	0.11364366684837811	0.15262532324363876	0.10235398428984707	0.11367264696732918	0.10717458933060131	0.10602203580119032	0.33511160947656876	0.30674511425499057	0.342041689246403	0.33338421179366634	0.3331178829404028	0.3405169274055847	0.30841314553954585	0.12009928082394151	0.30332107585518775	0.22944466010700945	0.3089549058722212	0.24786172014035196	0.30955711202259145	0.10121503550524155	0.15212389361820494	0.0962660669354678	0.17804400580404095	0.10266999077930498	0.10945759079085422	0.11200945371050972	0.12842302629341293	0.13344937354499753	0.12849156149439342	0.13312192749414728	0.129924368978546	0.1304515979281059	0.1279423539636631	0.1293569179943075	0.1275830161406525	0.12895275684269483	0.12448065829546877	0.14140379564761643	0.2370924742353261	0.16477463291640093	0.22877826543876062	0.19021113082644808	0.22717222035949033	0.12347472540580681	0.12165011154921575	0.2283005112519032	0.17144706019010417	0.19092744543320841	0.22889964127998014	0.1567585102472859	0.12612814855729246	0.2234530485646957	0.18285495946467453	0.23403762252639726	0.19713864856950045	0.11222598153906382	0.204970657997007	0.20793093836606272	0.2344007682968464	0.22013613989432299	0.2923693382712695	0.2239277761076256
G1-132	0.24153967058165368	0.272364810793335	0.17178649235168994	0.012865669461363577	0.17551028136630398	0.0	0.2560737106810136	0.2582959174043279	0.16931189539075822	0.29518961572697566	0.2552807938914698	0.2965253176098782	0.32738583350970935	0.32204337237182257	0.2935604422519048	0.30196181636832553	0.26806384260383004	0.2158150505230124	0.26805508613141127	0.2896684267681058	0.28719773099029994	0.27055121427576323	0.27365371756511314	0.2874183748163215	0.2959543301085299	0.2865406862142245	0.287897852285225	0.29274279849001617	0.28737735524990826	0.29452423358069685	0.2914541872864234	0.2952883757055279	0.2569220423710772	0.2588315735063623	0.2854678848457702	0.2853668445578669	0.28637724743689863	0.2850637236941574	0.2852427535350448	0.2856699654215764	0.2852658042699638	0.28534481689782293	0.279810809988721	0.2543625470207123	0.2744206769048766	0.2935767899114435	0.2624444674296497	0.2744832861506745	0.26680509260599294	0.26527066994767673	0.3304756297745964	0.3058326175396389	0.3368899037914827	0.3290921025936594	0.3288257737403958	0.3355370772016471	0.30442559328953456	0.2616735562167662	0.30294698724049834	0.2970924341784507	0.30649508257060337	0.29034294598167265	0.30598068852823895	0.26360448761587696	0.2584058261567327	0.25427210284034446	0.2566472461171243	0.2679699446164948	0.2736377819317845	0.2742923005474827	0.28561431108944907	0.29059660317094554	0.2857269014605177	0.29026915712009527	0.28707159860449405	0.2875988275540539	0.2852658042699638	0.2866803683006081	0.2849064664469531	0.28627620714899543	0.2821374053417792	0.28840907401171606	0.28383445628365206	0.2918019682204043	0.28556058519365407	0.27830368517933984	0.28389970962249267	0.2835841032658227	0.28351870682389113	0.29229390915750514	0.25665295783304315	0.264326390241048	0.27785471234299497	0.2711929659146431	0.2834605317127449	0.28951618316869343	0.2697437475156817	0.28914240683077785	0.2905170935552301	0.27913627123842194	0.26629459353959556	0.26002853457764025	0.2867993971624908	0.2901864355196519	0.2917319919395063	0.290157572485026
G1-135	0.1644425883045383	0.10451086620252298	0.2299431465045059	0.24860679734931102	0.15457270596073	0.2560737106810136	0.0	0.11846372834483508	0.15233868266342251	0.2081490560250856	0.11930254378016265	0.21103621709993803	0.27553382529741927	0.2689186643405861	0.18115628249938964	0.2264785272867961	0.10754149595627727	0.15098605550762847	0.13864171338339196	0.19865438011774872	0.1771541170575874	0.13915744149130635	0.14163773920129424	0.15826119494290766	0.20136846669864036	0.15775787124691543	0.17827512831357692	0.1687815669604405	0.1349997834050236	0.1669671985478255	0.1469014584637571	0.1677313406726566	0.1708120768812591	0.134402534047262	0.13691004357326966	0.13870634773932378	0.1207433060787828	0.14409526023748606	0.13858225671650162	0.13331743524116146	0.14050265190537786	0.13872837539936786	0.15736664219186683	0.11965065803284225	0.1404340244589977	0.15441862793142347	0.0804263426640049	0.14046300457794877	0.13567324978268566	0.13685624921716552	0.27855446850023846	0.2501879732786603	0.28548454827007275	0.27682707081733615	0.27656074196407254	0.28395978642925446	0.25165546981646786	0.06262370928079092	0.24656340008210978	0.1914738844159456	0.25219723004914313	0.19696373349909743	0.25293312609734536	0.08237452521351656	0.04701913608210093	0.11211137846134088	0.067310756981076	0.11780888542563787	0.13665907715713269	0.1373135956228309	0.13149660241534136	0.1378859413291776	0.12207841519653548	0.13483918427196015	0.11212715730694443	0.11537369666287159	0.14050265190537786	0.1153543936306205	0.12496455845070911	0.1225396102448369	0.11643680435566145	0.14659997006181213	0.1658889754877136	0.15815079758960193	0.16083501956799218	0.11269816681209271	0.15515002303150405	0.10787654667501126	0.12021418143661176	0.18598472040025896	0.05174929606062406	0.04675269194310328	0.1493395411260855	0.10809892304501521	0.1350910070081269	0.18400745982371397	0.1652390595100384	0.18792072716408126	0.16678454661602987	0.11772304195393732	0.18019761640601087	0.1857232071999572	0.18883865039877087	0.18325767161593415	0.2378918189130842	0.18544814033940515
G1-136	0.06713659163788628	0.07732179576814852	0.1643656703986854	0.25072786240988304	0.1201540461430177	0.2582959174043279	0.11846372834483508	0.0	0.11408373289550801	0.15354791414256977	0.01763701232355798	0.1570656207542263	0.2218482918593645	0.21650583072147786	0.11067923617819297	0.17681665768341012	0.07711758308845153	0.11937833388818626	0.1285649570206858	0.139009866298578	0.10220168528136107	0.13227286995204818	0.1337538354158397	0.06234258700444185	0.14693333517657417	0.06189929588484145	0.1028314931910997	0.08469459740067528	0.05458423723373614	0.07407519134913985	0.04777007081613808	0.07420403861444815	0.08342310250066459	0.12679461179887305	0.13716400570143455	0.13896030986748867	0.12099726820694763	0.14434922236565093	0.13883621884466654	0.13357139736932638	0.14075661403354278	0.13893828235744463	0.06052369389705582	0.10895024407686993	0.1365977523768634	0.055287239833804416	0.11561237905312167	0.13666036162266126	0.1286259695639851	0.12744774541966342	0.22493808812425167	0.19949449216937845	0.231352362141138	0.2235545609433146	0.223288232090051	0.22999953555130245	0.1982864470989462	0.12558235238915338	0.19297021131072414	0.1237940507189743	0.19816352925074887	0.1370823913762652	0.20037630192897815	0.11677239923934879	0.1590068101214583	0.1000987583036445	0.18236561981635635	0.12123707782167405	0.13581485740377122	0.13646937586946947	0.13161839903324174	0.049099523207128126	0.12224426698452401	0.056428300271022885	0.11035160962088753	0.1013921164506611	0.14075661403354278	0.11560835570878536	0.12521852057887398	0.12279357237300176	0.1164241293718184	0.048637112027475955	0.12253375012773789	0.06079977721743936	0.1151299091826664	0.07816323442290118	0.1132301893853904	0.06949400625604965	0.06677673788926189	0.12022970386977741	0.07962401081749126	0.11988707786394918	0.11444190363046164	0.043651247842238006	0.04002279380853795	0.11425091929198972	0.08110150540342434	0.12545128817364218	0.09104751807067873	0.03855690880745733	0.09944952706221884	0.1095014087016966	0.12427730076698884	0.11045656623521588	0.18223558665967068	0.11328853762660232
G1-138	0.14406103281313695	0.12212592411384626	0.18573212769779107	0.1617557188731399	0.014152595217612822	0.16931189539075822	0.15233868266342251	0.11408373289550801	0.0	0.25636578021488177	0.1106594505460623	0.2592529413897341	0.3237273883665597	0.31711222740972655	0.20028177680355266	0.27312467309709276	0.18360038551882168	0.06937085305143822	0.12161088880983706	0.244201123814405	0.20515571360274087	0.12410701695418908	0.12720952024353896	0.16404698197716666	0.24698290513194138	0.16334312343442658	0.20279783278837502	0.17154617401031266	0.13728174532221496	0.16790941148737829	0.13423374816474132	0.16867355361220934	0.1567076015603644	0.09930616681363638	0.12607579695904814	0.12597475667114494	0.12698515955017664	0.12567163580743546	0.12585066564832278	0.12627787753485448	0.1258737163832418	0.12595272901110088	0.1650317339985461	0.10250542422147875	0.1264255017172513	0.14175091763240763	0.1124705870473118	0.12645448183620236	0.11616173529155993	0.11686247119601809	0.32674803156937887	0.2983815363478007	0.33367811133921316	0.32502063388647656	0.324754305033213	0.33215334949839487	0.3000495676323561	0.13021588358140626	0.294957497947998	0.2210370270297315	0.3005472727949432	0.24023139424118398	0.30119353411540173	0.11373338942245367	0.1621738371976677	0.09895746729867974	0.18339936017256253	0.11682258599691778	0.1222394256597274	0.12289394412542562	0.12631033354290347	0.13133668079448801	0.12637886874388393	0.13100923474363774	0.12781167622803646	0.1283389051775964	0.1258737163832418	0.12728828041388618	0.12551437856023118	0.12688411926227353	0.12254533947105138	0.13377578008613666	0.23022199377336086	0.15394428247525802	0.22177446657079147	0.18320733195847888	0.22016842149152124	0.12120319884860295	0.11787774530907599	0.22045922610921023	0.16943561903471638	0.18864936696581278	0.22207347211653491	0.15068819699977626	0.1176636475340121	0.21601197496844646	0.17538055627942425	0.22632991206814004	0.18873101549222257	0.1098243758476637	0.19756265826132688	0.20052293863038248	0.2269927685111663	0.2127281401586428	0.28396170519399166	0.21651977632194544
G1-139	0.11448767773984767	0.20184276223169365	0.1452212150875075	0.2862948555538794	0.2644401169021498	0.29518961572697566	0.2081490560250856	0.15354791414256977	0.25636578021488177	0.0	0.1528600982135267	0.004508397507228493	0.07112004933179689	0.0652038122160826	0.05796045205981167	0.025514640878014867	0.1145124395453213	0.25439259897347194	0.2584485601336416	0.017645490903111898	0.05385416496440281	0.2609063006129913	0.2606383831527535	0.09780165730593117	0.01284517020741278	0.09857085658754104	0.0667455374360502	0.0885246886988925	0.17917432295538352	0.10259306161413158	0.14799033412878237	0.10205071972730868	0.12492439170719315	0.2563751447178499	0.2576183245503906	0.2594146287164448	0.24145158705590375	0.2648035412146071	0.2592905376936226	0.2540257162182825	0.2612109328824989	0.25939260120640073	0.09432665085770807	0.24336539397886378	0.25983450967753735	0.13360725546252558	0.2522543621259662	0.259672978487878	0.2584740434200826	0.2580632095960697	0.07425276275234476	0.04819247366398321	0.08118284252217906	0.07266367119357829	0.0723973423403147	0.07965808068136077	0.04623873988768415	0.2523846576168095	0.040989395729699334	0.049826653541075676	0.0464338940143152	0.018543299403871356	0.048745140983529577	0.2543155890159202	0.249116927556776	0.24539821356344216	0.26700655506347526	0.2578136930309324	0.2593554604255804	0.25936992251695756	0.25207271788219787	0.16924545551546713	0.24245392681570863	0.17635395707892107	0.23040943193905025	0.22140588359873561	0.2612109328824989	0.23606267455774146	0.24532269578393237	0.2432478912219579	0.2375638283951444	0.13877932471917356	0.05483449213358238	0.1192276453190546	0.0612865954881697	0.1104997555864074	0.06550223248078936	0.20226566569662155	0.1877591608385944	0.0376638680320153	0.17146079353470464	0.20584330349309202	0.0697558269131062	0.12596974902232166	0.1492938508142283	0.041087058904457074	0.09230838435354276	0.031004796935386488	0.10601844085692798	0.1682049079135923	0.062264093913018584	0.058456938769616384	0.031159906854292194	0.045795891919244616	0.03613178076070871	0.04288274665207131
