	shannon_entropy
G1-11	2.1686884570738716
G1-12	0.7575789981510167
G1-13	2.1235867497025978
G1-130	1.0726686794638296
G1-131	2.0356881526229706
G1-132	1.1045299889571878
G1-135	1.8688343088480874
G1-136	2.303696145869618
G1-138	1.9852937734282676
G1-139	1.8915318259908036
G1-14	2.3194477611633935
G1-140	1.8830414205165271
G1-141	1.1370532568419789
G1-142	1.3013064978003892
G1-143	1.3876186234831192
G1-144	1.6875072765153245
G1-15	2.3922734559282857
G1-177	1.7399968309162996
G1-178	1.7137586501842081
G1-180	0.2828851929418285
G1-182	0.2970340869349213
G1-187	2.4427641328503227
G1-188	1.7184728135750156
G1-189	1.8896959602249672
G1-190	2.2912171327517834
G1-192	1.4476875094544819
G1-193	1.7873940369871353
G2-1100	1.3941496603170898
G2-1101	1.5323813120373047
G2-1102	1.746329198580019
G2-1103	2.2908881623843134
G2-1105	0.31322840410046554
G2-1106	0.36276259982138787
G2-1107	0.43183603056730663
G2-1108	0.3154792189877888
G2-1109	0.3067724289335689
G2-1110	0.2307099556914764
G2-1111	0.34860466682709457
G2-1113	0.31857466033215465
G2-194	1.9612546273009506
G2-198	1.558973044211854
G2-199	1.4622863926751923
G2-21	1.0866647264068305
G2-210	1.6892970719883127
G2-211	2.0228520262740233
G2-212	1.8444174477140303
G2-213	0.8526208657774933
G2-214	1.223509791347264
G2-215	0.8269500446942851
G2-216	0.8968618189075575
G2-217	0.8066567602013415
G2-218	0.821181822407957
G2-219	0.9497420178403563
G2-22	1.0302124276745872
G2-220	1.5562437266389129
G2-221	2.1990879965304755
G2-222	1.703303723280413
G2-223	1.3949213318165163
G2-224	0.7053472129710421
G2-23	1.0166373922330407
G2-24	0.8495235296852239
G2-26	0.7259667865860575
G2-27	2.0168386985205826
G2-28	1.8327269519686489
G2-29	1.9022410187868017
G2-313	0.3926320658823509
G2-314	1.1932395565222547
G2-315	0.535406058739164
G2-316	1.2336707886062621
G2-317	0.6964474819896612
G2-318	0.8129403403522374
G2-319	0.28917632877907573
G2-320	0.49845084260230826
G2-321	0.5585785768125964
G2-322	0.5279219209400087
G2-323	1.3740271162339917
G2-324	1.4720592098814111
G2-325	2.013374818540982
G2-326	1.1433980489733346
G2-327	1.9663065167716747
G2-328	2.2369739190070743
G2-329	2.1925863456101724
G2-330	1.7429377953268816
G2-413	1.5635797174852213
G2-414	2.176781471476753
G2-415	1.8294940649280764
G2-416	1.4827934155597098
G3-418	2.066490546304678
G3-419	1.5626748534150816
G3-420	1.4667829654443325
G3-422	1.2865383435502533
G3-423	2.2735443111521367
G3-424	1.9365449131934023
G3-425	2.077883163226063
G3-426	2.061323494500545
G3-427	1.7591848124623959
G3-428	1.8924627281160629
G3-429	1.2309762891742895
G3-430	1.7871922780823035
