	G1-11	G1-12	G1-13	G1-130	G1-131	G1-132	G1-135	G1-136	G1-138	G1-139	G1-14	G1-140	G1-141	G1-142	G1-143	G1-144	G1-15	G1-177	G1-178	G1-180	G1-182	G1-187	G1-188	G1-189	G1-190	G1-192	G1-193	G2-1100	G2-1101	G2-1102	G2-1103	G2-1105	G2-1106	G2-1107	G2-1108	G2-1109	G2-1110	G2-1111	G2-1113	G2-194	G2-198	G2-199	G2-21	G2-210	G2-211	G2-212	G2-213	G2-214	G2-215	G2-216	G2-217	G2-218	G2-219	G2-22	G2-220	G2-221	G2-222	G2-223	G2-224	G2-23	G2-24	G2-26	G2-27	G2-28	G2-29	G2-313	G2-314	G2-315	G2-316	G2-317	G2-318	G2-319	G2-320	G2-321	G2-322	G2-323	G2-324	G2-325	G2-326	G2-327	G2-328	G2-329	G2-330	G2-413	G2-414	G2-415	G2-416	G3-418	G3-419	G3-420	G3-422	G3-423	G3-424	G3-425	G3-426	G3-427	G3-428	G3-429	G3-430
G1-11	0.0	0.3064077257639941	0.355477600063887	0.2875720248265372	0.2875720248265372	0.2640986502101904	0.33658913321863754	0.337739510281116	0.2875720248265372	0.31458510010698015	0.3137691540116141	0.34953764762994144	0.3503761012425069	0.4182593460238122	0.3183574656094124	0.41639361873205544	0.34841920784955593	0.611770940860052	0.3703363597901448	0.5064307396148561	0.6978418153903432	0.345269659400875	0.40741608278525654	0.43214477184760447	0.6818051808431695	0.4519192901186928	0.36991073640703176	0.4144578614679654	0.3516366406424346	0.3132966806862157	0.5518529476795015	0.35597590986602773	0.35025378318920913	0.41819714772185934	0.41819714772185934	0.315171517000588	0.4225260305706018	0.35784035980554935	0.35597590986602773	0.41418113472733276	0.5161931126857469	0.349772190702913	0.49958690675363504	0.3075992513494627	0.7529321612900651	0.37999421008663264	0.31757855410373814	0.357559688007588	0.41238739253939	0.41235634428743956	0.41861995358156767	0.3624492364938538	0.3948916521571868	0.4248426555980458	0.4084232148267355	0.4882265208499738	0.40993165241351626	0.4768438973476321	0.3522366236121338	0.31890283481678156	0.42699599295787144	0.30232202606538033	0.3648564343478999	0.4162005515874894	0.40250190945013203	0.34405005843212466	0.4144578614679654	0.349772190702913	0.41632231140748704	0.31703596694010955	0.31703596694010955	0.35784035980554935	0.35784035980554935	0.3195003998493304	0.4225260305706018	0.3634421946526368	0.38046788981059454	0.4020935357193277	0.410842578688409	0.40913800383167714	0.340097565179193	0.4020935357193277	0.4074303214129705	0.4112915250581925	0.2714622553100845	0.2700698613215213	0.27565249438007244	0.3783133397023291	0.40040230805645305	0.35969342454630576	0.32045965506284385	0.461780356882529	0.3416858503845874	0.4229987926255279	0.2640986502101904	0.4929575483847743	0.2640986502101904	0.32898399439399567	0.3354677905581092
G1-12	0.3064077257639941	0.0	0.2044815099385398	0.08939031052047866	0.08939031052047866	0.05749286309352215	0.1793465349573977	0.18121323595810365	0.08939031052047866	0.01691023020787828	0.13556152351785625	0.06704262745048267	0.1910090989260084	0.16332976707456365	0.019649023800557688	0.16064644336820053	0.18906565322094385	0.5686710135995229	0.21417158016991386	0.42893858100718824	0.7281545720937245	0.06453528301200329	0.18168081025789487	0.22650195586739394	0.6609509117958124	0.3428534068872231	0.1356031568449051	0.15811498540634433	0.06779143577405801	0.11649442036174	0.4881427823430874	0.07403038168969962	0.0709446354866489	0.16349128346462163	0.16349128346462163	0.11904920437405313	0.16971529598304497	0.07671106402022913	0.07403038168969962	0.38337758229693397	0.3115356180143531	0.06511075344352851	0.3924623278983818	0.1182283004363639	0.7321368623352282	0.24753448915379342	0.1238038050651873	0.0785478076943202	0.1873091042824212	0.19320784147189196	0.19918248169817018	0.20034054856722572	0.15635196045683214	0.26889010826003695	0.18360014659336535	0.32817453541905095	0.18463315900400995	0.30757857131295174	0.06865408363142232	0.12462618519653718	0.2704887906910811	0.10902753703219734	0.38187961203896814	0.2654729144646607	0.1796320383456955	0.06204870924803322	0.15811498540634433	0.06511075344352851	0.16079566773687384	0.12158983518045116	0.12158983518045116	0.07671106402022913	0.07671106402022913	0.12494804503996294	0.16971529598304497	0.20547577279958587	0.21254180371538067	0.25499874617408225	0.2587918980008966	0.26667978818308113	0.172168444404616	0.25499874617408225	0.2538473105226165	0.1659691724703435	0.07026251835496884	0.06785489803173235	0.07058190455887259	0.23704305847006124	0.27156915475315574	0.20583118811772014	0.1297567750236494	0.3878226877221012	0.16685660710533437	0.3134451478088361	0.05749286309352215	0.3899476412266247	0.05749286309352215	0.16585600249092217	0.1775249996477709
G1-13	0.355477600063887	0.2044815099385398	0.0	0.13894233591431823	0.13894233591431823	0.15453558010467391	0.029896189921791484	0.023268273980436138	0.13894233591431823	0.21553000837996486	0.17778053908292524	0.256703923423275	0.05502731482103841	0.29771296309875916	0.21924571785800304	0.2954606259405463	0.2590203140040108	0.48799167243276553	0.2895487106038505	0.33114906970301633	0.6769821252711901	0.2512655802045051	0.3334003818064362	0.36500259487864606	0.6080491118179282	0.3017499261156855	0.28906071484629353	0.2932240169783477	0.25856744371441115	0.21335821961351187	0.5014869771426554	0.2636841677534444	0.25693682353186903	0.29773750549434225	0.29773750549434225	0.21556896514339113	0.30296266390646925	0.2658826660105368	0.2636841677534444	0.4687853178855697	0.41525930651734344	0.25636894545731875	0.44311424093234336	0.2066399976858303	0.7158071639528655	0.3069463680360933	0.21905604489188887	0.2661536250146089	0.33882582793635224	0.33927337364733057	0.23709458072565948	0.2788448787349125	0.316664391096801	0.3450645565565105	0.3347137988878099	0.41665302524250886	0.3361741448897008	0.42206924988512123	0.2592749239664727	0.22018533262423068	0.3470128835355428	0.20372250705961753	0.42131089773257674	0.33469909127164943	0.326644856274215	0.24962159463951758	0.2932240169783477	0.25636894545731875	0.2954744928230131	0.21776746340048356	0.21776746340048356	0.2658826660105368	0.2658826660105368	0.2206734419096375	0.30296266390646925	0.2798667037838252	0.25219657582570365	0.28445992311551926	0.29517704228323594	0.29452562601426235	0.2495910980562587	0.28445992311551926	0.2908466813689851	0.29049334945735944	0.1563344308947928	0.16262223890345873	0.1692029078031163	0.2942960671875123	0.14864071185089217	0.2760883812251576	0.2233475603779994	0.4292814336814369	0.24462990443810018	0.3616040846013903	0.15453558010467391	0.369736954324511	0.15453558010467391	0.24063328933132047	0.027752588164761782
G1-130	0.2875720248265372	0.08939031052047866	0.13894233591431823	0.0	0.0	0.03189744742695652	0.15706026705186665	0.15897766155521822	0.0	0.10391773596618036	0.06240927141473562	0.15121386045769006	0.1687632005429646	0.18527715219680413	0.09758688911485609	0.18266421696187649	0.1709740594914829	0.5562232270268227	0.19147763477165286	0.4132990140087133	0.7201940454408178	0.14443075387112375	0.25029763082070794	0.28248555131989594	0.6578483355972824	0.32380823132990305	0.19093096981863808	0.1896558758485638	0.15255754089818774	0.10057517426684337	0.47784644271950283	0.14905688015548632	0.1412591310224083	0.18541339766950526	0.18541339766950526	0.0934512570955713	0.1914742994987697	0.15159763357125222	0.14905688015548632	0.41584577703059544	0.32090414164820624	0.15002966866168377	0.3712558378657298	0.08313225661700664	0.7339838441539399	0.21968112095675876	0.09839942086135248	0.15277362433257952	0.2481767320673083	0.24936212537553945	0.25866292665872925	0.17715870898995276	0.22854426393710733	0.24336409498623596	0.2519683555098552	0.37895198584578627	0.2532533415428909	0.3609163685408747	0.15337101422312294	0.0990932274322953	0.24474346220852056	0.08438381498436962	0.358255117924415	0.23112717924130854	0.23333235225534782	0.14227144518015614	0.1896558758485638	0.15002966866168377	0.19225271092310817	0.0959920105113372	0.0959920105113372	0.15159763357125222	0.15159763357125222	0.09935038243610732	0.1914742994987697	0.17813803457221242	0.13258837646164195	0.17656600332856143	0.1891594245348549	0.18986789896362452	0.13929105226626295	0.17656600332856143	0.18391579971917604	0.18757773097980307	0.045013884820375445	0.04254088139230352	0.04019408931037371	0.21521028323442412	0.2516136524822176	0.17463972811116643	0.10462089789351024	0.3710557506260562	0.1473237886836422	0.28828847357195964	0.03189744742695652	0.3972484529320692	0.03189744742695652	0.13459205012710837	0.15518926479225556
G1-131	0.2875720248265372	0.08939031052047866	0.13894233591431823	0.0	0.0	0.03189744742695652	0.15706026705186665	0.15897766155521822	0.0	0.10391773596618036	0.06240927141473562	0.15121386045769006	0.1687632005429646	0.18527715219680413	0.09758688911485609	0.18266421696187649	0.1709740594914829	0.5562232270268227	0.19147763477165286	0.4132990140087133	0.7201940454408178	0.14443075387112375	0.25029763082070794	0.28248555131989594	0.6578483355972824	0.32380823132990305	0.19093096981863808	0.1896558758485638	0.15255754089818774	0.10057517426684337	0.47784644271950283	0.14905688015548632	0.1412591310224083	0.18541339766950526	0.18541339766950526	0.0934512570955713	0.1914742994987697	0.15159763357125222	0.14905688015548632	0.41584577703059544	0.32090414164820624	0.15002966866168377	0.3712558378657298	0.08313225661700664	0.7339838441539399	0.21968112095675876	0.09839942086135248	0.15277362433257952	0.2481767320673083	0.24936212537553945	0.25866292665872925	0.17715870898995276	0.22854426393710733	0.24336409498623596	0.2519683555098552	0.37895198584578627	0.2532533415428909	0.3609163685408747	0.15337101422312294	0.0990932274322953	0.24474346220852056	0.08438381498436962	0.358255117924415	0.23112717924130854	0.23333235225534782	0.14227144518015614	0.1896558758485638	0.15002966866168377	0.19225271092310817	0.0959920105113372	0.0959920105113372	0.15159763357125222	0.15159763357125222	0.09935038243610732	0.1914742994987697	0.17813803457221242	0.13258837646164195	0.17656600332856143	0.1891594245348549	0.18986789896362452	0.13929105226626295	0.17656600332856143	0.18391579971917604	0.18757773097980307	0.045013884820375445	0.04254088139230352	0.04019408931037371	0.21521028323442412	0.2516136524822176	0.17463972811116643	0.10462089789351024	0.3710557506260562	0.1473237886836422	0.28828847357195964	0.03189744742695652	0.3972484529320692	0.03189744742695652	0.13459205012710837	0.15518926479225556
G1-132	0.2640986502101904	0.05749286309352215	0.15453558010467391	0.03189744742695652	0.03189744742695652	0.0	0.1292867365056003	0.1312673061242378	0.03189744742695652	0.07252916508074322	0.0812885128569281	0.11982528957225293	0.1493311262104768	0.21106777937176685	0.0755850486711293	0.20853755844718175	0.14755962463602557	0.5443624921920694	0.17155291329116815	0.39885422951042215	0.7123401688231539	0.11288387156801419	0.22257323139701618	0.2633384010270787	0.6483695953728562	0.3065708805217712	0.17101046422879954	0.20610594904034377	0.12093121915250793	0.06894885252116356	0.4595375043013601	0.12681451908162897	0.11905630318455859	0.2111757756445296	0.2111757756445296	0.07149080688884543	0.21704499344247274	0.12934239131813294	0.12681451908162897	0.40071371803698125	0.3425655660878465	0.11840334691600396	0.35186921058972276	0.06122412195343561	0.7263665707387179	0.20138377328300577	0.07657910044923695	0.13067970771556375	0.2281333884546267	0.22946254038493152	0.23885171153116638	0.156873908863465	0.19990351315804658	0.2207007679382754	0.2243057403895259	0.3559852941111037	0.22546784232396988	0.33719001048822594	0.12174469247744314	0.0771594886985219	0.22187930503014744	0.06328265898381277	0.3419197846406693	0.2084687359817324	0.21314134520322936	0.11064512343447633	0.20610594904034377	0.11840334691600396	0.20863382127684774	0.0740186791253494	0.0740186791253494	0.12934239131813294	0.12934239131813294	0.07736002468678857	0.21704499344247274	0.1578116256526909	0.16002141555360855	0.20116142331828668	0.2133211256628907	0.21368659280586497	0.11833112154882044	0.20116142331828668	0.20829168623105504	0.20391719405520714	0.013548603253403043	0.010994118275030525	0.018558207819840255	0.18800190305668052	0.2338438013611381	0.15449030233466907	0.08299883817698862	0.3557149817804094	0.12203668565684939	0.2713369088681424	0.0	0.3769052817442644	0.0	0.11469572790258138	0.1273540876817352
G1-135	0.33658913321863754	0.1793465349573977	0.029896189921791484	0.15706026705186665	0.15706026705186665	0.1292867365056003	0.0	0.006679217608379956	0.15706026705186665	0.1907697416481266	0.19423145563722874	0.2320362199030884	0.029906161141597408	0.31239251635374776	0.194310205733445	0.3101872586680651	0.24398413141131517	0.47440119522040924	0.2672618779617038	0.313871955049423	0.6684364748512852	0.22647711385510383	0.3114377221299572	0.3440199234358633	0.5975598512285273	0.28160036214046025	0.2667746265666249	0.3079854467969096	0.23374109066868873	0.1884295605276762	0.48647625665556565	0.23886939357874212	0.2321067804804647	0.31240466846518117	0.31240466846518117	0.19064530885566486	0.3175206963875288	0.24107286691902502	0.23886939357874212	0.45241511399276374	0.4275631185147556	0.23153761732840583	0.4224122352601713	0.1816961356254758	0.7077211073436191	0.2864343484236799	0.1943036455355293	0.2415071061351314	0.3167721394406751	0.3173658420591686	0.21364473553254668	0.2561155489287184	0.2940264961402087	0.31679591228872994	0.3127971419993156	0.39800208472770515	0.31417422861369365	0.40311425612124546	0.23445017191047055	0.19135957253405703	0.3185419865463518	0.17570309619235167	0.4034817164447187	0.31004502004548434	0.3043574247360903	0.22477499761897576	0.3079854467969096	0.23153761732840583	0.31018892013719246	0.19284878219594775	0.19284878219594775	0.24107286691902502	0.24107286691902502	0.19576133677801247	0.3175206963875288	0.25710282714597027	0.26781488775084294	0.2986755058826855	0.3091504893219617	0.3083479356735552	0.22595628427553846	0.2986755058826855	0.3049353788735377	0.3051818915194695	0.13957652022882686	0.13353967620603052	0.14014970302969249	0.2792847696007146	0.12627125737843914	0.2534759113647264	0.19883191271015252	0.41249688957968605	0.2285354505670236	0.34280708133624044	0.1292867365056003	0.35234281157539094	0.1292867365056003	0.21801811589576994	0.0022146999104491823
G1-136	0.337739510281116	0.18121323595810365	0.023268273980436138	0.15897766155521822	0.15897766155521822	0.1312673061242378	0.006679217608379956	0.0	0.15897766155521822	0.19258489416043736	0.19597446519280856	0.23375880920374756	0.03208214562742578	0.313946276191559	0.19613079156742616	0.31174600164073973	0.2385763574735642	0.4750653657602634	0.26875159145305166	0.3149579617935008	0.6687047677909235	0.22821978578150778	0.31282284230348695	0.345284393988781	0.5979568952369431	0.2829225884664585	0.26826521463491065	0.3095479027196874	0.23547117823075567	0.1902619541298564	0.4871937873324817	0.24058790226978888	0.23384055804821352	0.31395714650665907	0.31395714650665907	0.19247269965973565	0.31906162327290544	0.2427864005268813	0.24058790226978888	0.45324689531575496	0.4288652131808081	0.23327267997366327	0.4235186721387155	0.18354373220217482	0.7079457282140551	0.28777189282224264	0.19611087562309554	0.24320845574581557	0.31815289990770773	0.31873633445922894	0.21531869669407008	0.2576563847101474	0.29548797219737283	0.32201883788187863	0.3141768038003361	0.3990386868789963	0.3155565307880793	0.404159304172008	0.23617865848281722	0.1971396139495988	0.3237959112221313	0.181375359786492	0.40446412312901675	0.3116028257879939	0.3057765604283771	0.2265253291558621	0.3095479027196874	0.23327267997366327	0.3117464009767798	0.19467119791682805	0.19467119791682805	0.2427864005268813	0.2427864005268813	0.19757717642598202	0.31906162327290544	0.2586440954543823	0.2694680422400198	0.3001819167642456	0.3106313105944313	0.309813124676983	0.22761889250603828	0.3001819167642456	0.30642834385256673	0.3067369540256543	0.13323816541113728	0.13957652022882686	0.14615718912848444	0.2739785522348244	0.12803156070943966	0.25501389464070856	0.20061252763661905	0.4134085176174999	0.22270333137207557	0.3439418057433104	0.1312673061242378	0.35337852044825957	0.1312673061242378	0.21962415334554486	0.004484314184325644
G1-138	0.2875720248265372	0.08939031052047866	0.13894233591431823	0.0	0.0	0.03189744742695652	0.15706026705186665	0.15897766155521822	0.0	0.10391773596618036	0.06240927141473562	0.15121386045769006	0.1687632005429646	0.18527715219680413	0.09758688911485609	0.18266421696187649	0.1709740594914829	0.5562232270268227	0.19147763477165286	0.4132990140087133	0.7201940454408178	0.14443075387112375	0.25029763082070794	0.28248555131989594	0.6578483355972824	0.32380823132990305	0.19093096981863808	0.1896558758485638	0.15255754089818774	0.10057517426684337	0.47784644271950283	0.14905688015548632	0.1412591310224083	0.18541339766950526	0.18541339766950526	0.0934512570955713	0.1914742994987697	0.15159763357125222	0.14905688015548632	0.41584577703059544	0.32090414164820624	0.15002966866168377	0.3712558378657298	0.08313225661700664	0.7339838441539399	0.21968112095675876	0.09839942086135248	0.15277362433257952	0.2481767320673083	0.24936212537553945	0.25866292665872925	0.17715870898995276	0.22854426393710733	0.24336409498623596	0.2519683555098552	0.37895198584578627	0.2532533415428909	0.3609163685408747	0.15337101422312294	0.0990932274322953	0.24474346220852056	0.08438381498436962	0.358255117924415	0.23112717924130854	0.23333235225534782	0.14227144518015614	0.1896558758485638	0.15002966866168377	0.19225271092310817	0.0959920105113372	0.0959920105113372	0.15159763357125222	0.15159763357125222	0.09935038243610732	0.1914742994987697	0.17813803457221242	0.13258837646164195	0.17656600332856143	0.1891594245348549	0.18986789896362452	0.13929105226626295	0.17656600332856143	0.18391579971917604	0.18757773097980307	0.045013884820375445	0.04254088139230352	0.04019408931037371	0.21521028323442412	0.2516136524822176	0.17463972811116643	0.10462089789351024	0.3710557506260562	0.1473237886836422	0.28828847357195964	0.03189744742695652	0.3972484529320692	0.03189744742695652	0.13459205012710837	0.15518926479225556
G1-139	0.31458510010698015	0.01691023020787828	0.21553000837996486	0.10391773596618036	0.10391773596618036	0.07252916508074322	0.1907697416481266	0.19258489416043736	0.10391773596618036	0.0	0.1485916505478438	0.05013239724260439	0.18096858782588643	0.1676968273221628	0.025677092382610168	0.16504452393862615	0.20025141891011108	0.5720360780542711	0.2252698624164469	0.4345234923632129	0.7295151182429574	0.0579376439406753	0.17536151881688736	0.22029514259930083	0.654770176215929	0.34447401620656903	0.1483352703928732	0.15588147695499321	0.06627765390472017	0.11469116932485847	0.48547047654211267	0.07246688592805449	0.06940978611788959	0.16121493497165212	0.16121493497165212	0.11722665153857545	0.16738935259179555	0.0751262077347885	0.07246688592805449	0.38084972376114434	0.3231165212218701	0.06361833209798616	0.3892352815040318	0.11642099537303863	0.7334434190889988	0.2572011499249095	0.11251120428113645	0.06675886636621173	0.19088917528238022	0.18264752438177656	0.18865628291645872	0.20372433886809022	0.1499351976011663	0.26594289734530485	0.16880256862358353	0.3159974267966785	0.17828553270134592	0.30171058566021275	0.0671334279113956	0.12276617624906949	0.2821560119638273	0.10734537184485768	0.3792173327898058	0.26255869807813964	0.17751204733786227	0.06058455850081293	0.15588147695499321	0.06361833209798616	0.15854079876172722	0.11974808747609379	0.11974808747609379	0.0751262077347885	0.0751262077347885	0.12308092552724935	0.16738935259179555	0.20323296942911515	0.21001922341360868	0.252319674817043	0.25607953230079733	0.2639607521704721	0.1700777028302626	0.252319674817043	0.2511637867541454	0.15404431860642473	0.06882310760092814	0.06642984186983934	0.06913279360738718	0.24744999419814756	0.280631871613307	0.20912541909507937	0.14334689305861792	0.39423625126573414	0.16480861662211768	0.3215015793345012	0.07252916508074322	0.3910270086902076	0.07252916508074322	0.17771860982793874	0.18899861839002624
