	G1-11	G1-12	G1-13	G1-130	G1-131	G1-132	G1-135	G1-136	G1-138	G1-139	G1-14	G1-140	G1-141	G1-142	G1-143	G1-144	G1-15	G1-177	G1-178	G1-180	G1-182	G1-187	G1-188	G1-189	G1-190	G1-192	G1-193	G2-1100	G2-1101	G2-1102	G2-1103	G2-1105	G2-1106	G2-1107	G2-1108	G2-1109	G2-1110	G2-1111	G2-1113	G2-194	G2-198	G2-199	G2-21	G2-210	G2-211	G2-212	G2-213	G2-214	G2-215	G2-216	G2-217	G2-218	G2-219	G2-22	G2-220	G2-221	G2-222	G2-223	G2-224	G2-23	G2-24	G2-26	G2-27	G2-28	G2-29	G2-313	G2-314	G2-315	G2-316	G2-317	G2-318	G2-319	G2-320	G2-321	G2-322	G2-323	G2-324	G2-325	G2-326	G2-327	G2-328	G2-329	G2-330	G2-413	G2-414	G2-415	G2-416	G3-418	G3-419	G3-420	G3-422	G3-423	G3-424	G3-425	G3-426	G3-427	G3-428	G3-429	G3-430
G1-11	0.0	0.14372172377965117	0.08968664411445286	0.24142713377459682	0.16120850584348795	0.2449144971160739	0.16694215058637607	0.07601036792949295	0.15014773458979358	0.11337446177394143	0.09758666142368261	0.1000297026073995	0.1718840804440597	0.16660155418912612	0.06102730920789848	0.12895360246342033	0.07358282271417167	0.10593770636174006	0.05568248888564549	0.19025697624587612	0.1917610039090262	0.04216134428527434	0.10892800504952423	0.03915743483614767	0.04304011403066628	0.0548423668750437	0.11281839549086001	0.054424878594376364	0.0737809769083018	0.0504405506731973	0.04035937948193558	0.19505817597518535	0.19148269962264927	0.18290933515325036	0.19404642098278582	0.1965799400927523	0.20016846700065635	0.1908833854163591	0.19424369508770548	0.034867529937928445	0.19395271075478807	0.07711440024302325	0.18683102363773624	0.19287531449004872	0.187436438950719	0.18663437508895625	0.17454849881643342	0.15312678254185846	0.1710523305315356	0.1726180899553915	0.17607381458588947	0.18164379279913964	0.1477835712662112	0.18596281701166098	0.14098915644130816	0.08384580948248417	0.14765496537945436	0.093621484905532	0.1529067496388905	0.18673668536157448	0.21051242566781594	0.23024782839560168	0.19142745004505957	0.19374987288829362	0.19279797548435013	0.19595129921596507	0.11235452942444883	0.17822323633483958	0.0992375116573206	0.1666747926725897	0.15546800424937843	0.19609266749791598	0.17486842829888558	0.16813706206943904	0.1707090786773691	0.15498885853408964	0.07221843982876898	0.07673224251622268	0.050091943398462076	0.08483154197727696	0.07262708394550718	0.06446712393760855	0.13630065234860214	0.1294592639014861	0.08485163019583192	0.12849712361616453	0.15222629514735891	0.050904470205267824	0.10001623915922064	0.058909197493911526	0.07130230621196036	0.05559010885256591	0.08264425106442985	0.0391252009045299	0.020881282710630215	0.061461293432310965	0.06062153593998606	0.12381405326360531	0.06083791909554343
G1-12	0.14372172377965117	0.0	0.2317739246143222	0.2628988435102772	0.10307065303777653	0.2664324326197324	0.09744081929018499	0.08090447617725083	0.12413913092828613	0.22034991037499663	0.07213690642663316	0.2069359982013866	0.27850172993937067	0.2731611144715911	0.1675868694903634	0.23551316274588519	0.1402908039515331	0.21472221570699365	0.16184326967498128	0.04859288365241624	0.04972457773998513	0.10948415858773329	0.21515225133825375	0.11920182216865503	0.1536364177510278	0.1619136417401483	0.03227885412037479	0.11684771963927243	0.10078768252215872	0.13660264753531684	0.14418697717237736	0.054999474983712875	0.051427312433237025	0.042850634161777874	0.0539877199913132	0.056658315136153645	0.06010976600918385	0.05082468442488661	0.05418499409623286	0.11173880160846279	0.05154731941608053	0.09827257343968412	0.07168076388490492	0.05060699932621526	0.0507041733403782	0.048771611443214305	0.28083566396326115	0.25968634282432335	0.27761189081400034	0.27918759164403745	0.2823855796250725	0.28751513991176175	0.2555388238528535	0.10169947299935723	0.2484826565500198	0.19124269354257534	0.2545543454922349	0.20003214471615524	0.2592652953854789	0.09188597465492766	0.13834395725853782	0.1586960531198119	0.04940089342583045	0.05148155914946009	0.05039258558064258	0.0559487782306588	0.06604391794690938	0.038208590513455286	0.07756446514599992	0.026737495902659822	0.0281271942064893	0.05603396650644349	0.0348097273074131	0.028146899095403386	0.03065037768589662	0.02073273798104294	0.09573276465058014	0.18287566474419337	0.1376203724088194	0.1914508436313619	0.14794103640300243	0.16782325238405285	0.06434675198637577	0.03866344085694719	0.1925877221859416	0.12819375917814343	0.14735730400239566	0.12754865928789733	0.06469054069686811	0.16574146807482434	0.17798327071596806	0.14559582418308667	0.08964872173951631	0.1694604924468948	0.14511422283094846	0.1691359842279256	0.1682612676136268	0.23203242922457787	0.16788243623606544
G1-13	0.08968664411445286	0.2317739246143222	0.0	0.17529998928013132	0.19298341879592532	0.17203064815885266	0.22508433226511407	0.15294182535006015	0.1589876529548001	0.13186348991239394	0.17372219377800474	0.13083640008743075	0.16748837826726173	0.16237906006148461	0.13056857997687635	0.1381008564583725	0.12674039220982586	0.1256543133270899	0.1235632713106753	0.2773390879202057	0.279194178400039	0.13076926112138934	0.13299819579022787	0.12134160087993032	0.12166344900762598	0.12906996880928404	0.2011056647048985	0.14072707630282208	0.16028986274736537	0.13058315721603256	0.12201252521711074	0.2815136476922166	0.27797318570407004	0.2692247494127224	0.2803618352422579	0.2828618306991771	0.28648388126012847	0.2772688284046107	0.28059412371156733	0.12393654225255657	0.28285120601313263	0.16351824298891754	0.2632248928040326	0.2816047007718149	0.27621701749866623	0.2756058804987659	0.16985246763487155	0.14956974011132732	0.16703992259023256	0.1685601191870861	0.17154428851099507	0.17664970806761188	0.14496725304102898	0.26211994504265956	0.14255380990771235	0.13262764678491207	0.14689352055609414	0.12918087396688527	0.14878451270066537	0.26289381339257306	0.25830960175116424	0.2545215400550363	0.26889882002739424	0.28285845433297685	0.28190655692903344	0.28240677093299626	0.19865672713289445	0.2646086793230913	0.18553970936576628	0.25304701910981475	0.24180521632221377	0.28247811048616767	0.2612188569227474	0.25448749069330084	0.2570244929368412	0.24157549087693964	0.15865966043600155	0.1106805408604609	0.1291865887307574	0.11396031288476538	0.12411380946768868	0.11199403263029785	0.2108828490753241	0.2166380649869539	0.12801666148204924	0.16463407182140288	0.17435750252043467	0.120739649561115	0.18662381298629832	0.12531136575679125	0.12656072587597245	0.12688848205257955	0.1598119324511311	0.09920393090020528	0.10335246379658497	0.12421508630344268	0.12453030315199601	0.1310469153072987	0.12493048613532226
G1-130	0.24142713377459682	0.2628988435102772	0.17529998928013132	0.0	0.1746751730778276	0.005943563914443392	0.2502730769061028	0.24711796316489493	0.15905486985233924	0.29007282339606194	0.25610887240205005	0.28897658049903086	0.33258390681507355	0.3272768150003411	0.288400180971971	0.29552456080251205	0.255057712248147	0.28377195165297114	0.2810776639423909	0.2577668002256796	0.2597764437413751	0.2795056964176845	0.29068602296732743	0.27882833288681863	0.2795537784937402	0.2871358783302985	0.2652470957973982	0.287216386460816	0.2865446449577896	0.2890927946737304	0.25558407528677096	0.2783536255548396	0.2784181180292121	0.2795358728834421	0.2789094230984424	0.27837366741403025	0.2785804979878583	0.2788521674021269	0.2787622426919605	0.2723056685393067	0.2628392028606818	0.28673727457801024	0.25131482806180144	0.2615926976193639	0.25793047226258176	0.25561590493135883	0.33475022257372805	0.3139070864462427	0.33193767752908915	0.3334578741259427	0.33667635197577156	0.34153026948137016	0.3088420046305023	0.2500659852359479	0.30228093737177797	0.2911837716769268	0.3089467463099242	0.28686352314539953	0.31355265314499897	0.25083985358586136	0.2462556419444527	0.2501442287713994	0.25685782112569194	0.262846451180526	0.26189455377658255	0.27816789256224234	0.28393379300384675	0.2795241689332881	0.2846473364609318	0.2805003228412823	0.281211790398612	0.27855915056720776	0.27987829600587916	0.2801671042560745	0.2802375587094702	0.27564021203208317	0.2823588343311273	0.2758301267681276	0.286921375448957	0.27918994737155345	0.27168152856168665	0.27711367919338276	0.2764543401874019	0.27596155784923193	0.2860454674212388	0.25213482143255317	0.2695007172392942	0.2692779549711821	0.27576990997668155	0.28277942377369264	0.28407511937768803	0.28443376664638376	0.27335478971148947	0.2564699817274957	0.26063188361365835	0.2816719489822659	0.28180303847417787	0.2874691621573254	0.2824243565502341
G1-131	0.16120850584348795	0.10307065303777653	0.19298341879592532	0.1746751730778276	0.0	0.1789083647858038	0.14244689573656824	0.11165430774585823	0.03599021483252382	0.2727898526738589	0.09644915081936094	0.2592250711628807	0.33085614805287133	0.32458602935179853	0.20799261672516323	0.2828804057029024	0.17475097012571925	0.2639749981557309	0.21479370896453034	0.09833527213906855	0.10034491565476407	0.16106199287687095	0.2664346054896929	0.1707108713220658	0.199056571056942	0.2015619505724438	0.10529834983576095	0.16227367822975475	0.1463536985702002	0.1819950824727519	0.1631106806690557	0.11139079180515914	0.11145528427953157	0.11257303913376167	0.11194658934876202	0.1114108336643497	0.11161766423817782	0.11188933365244648	0.11179940894227999	0.16177946982966848	0.10204080298677863	0.14373354639455624	0.09037551326605843	0.10031681039790627	0.0944830582149162	0.09434446884578487	0.3334317455011993	0.3099131452837543	0.3299690199346737	0.3316577888698253	0.33520649609004316	0.3406276104430471	0.30651834639582115	0.11887377408292711	0.29943455715850575	0.23926576596448457	0.3065731641656597	0.25291286637658994	0.31122899491031797	0.10948022918990999	0.15415177911494485	0.17370647334893013	0.09486391246459794	0.09881249515630199	0.09853228211621533	0.11119624777854425	0.11723407932078539	0.11255252414959004	0.1229904237364822	0.11352867805758408	0.11424014561491391	0.11159631681752728	0.11291546225619864	0.11320427050639395	0.11327472495978985	0.10861730822984204	0.14072043869971262	0.22997871615590582	0.18188500432052015	0.23842322952282133	0.19306247340807278	0.2145254532589979	0.11400788033012521	0.10352503569458614	0.24130619935553882	0.17187470875103203	0.19415712626517287	0.17444211387640107	0.10642897409781434	0.21670257420536013	0.22974428104211211	0.19218533698513723	0.12441578295502871	0.19824360294687318	0.1806579546788098	0.22042813010488485	0.21916050985862745	0.2824672030487114	0.21947329991168715
G1-132	0.2449144971160739	0.2664324326197324	0.17203064815885266	0.005943563914443392	0.1789083647858038	0.0	0.251493765719055	0.2482992320964487	0.16015076188832475	0.29355354630141123	0.257412021865971	0.29249231775876994	0.3303231081078594	0.32505103065751656	0.29178717549109595	0.2989815840504166	0.25625310331391965	0.2872727280429955	0.284578440332415	0.2635318535730692	0.2655381253848607	0.282986419313034	0.29398298541545703	0.2823291092668428	0.2830545548737643	0.2905228728494236	0.26878433684209363	0.2905728287951128	0.2898310585633069	0.2924142226436374	0.25887048889228825	0.2817129588491375	0.2817774513235099	0.2829652349065196	0.2823387851215199	0.2817680150727178	0.2820098600109357	0.28221150069642476	0.282156590350648	0.27584290958400215	0.26877615198801136	0.2900587025479172	0.2547873299879956	0.2674596180179139	0.26242339772864526	0.2614607977448647	0.33245440950212407	0.3116112733746387	0.3296418644574851	0.3311620610543386	0.33438053890416736	0.33923445640976624	0.3064984768493962	0.25353238865096595	0.30196606105834733	0.29447018528244395	0.3065503523247125	0.2903694510200275	0.31120912536389306	0.2543062570008793	0.2496870309950809	0.24841715150867671	0.2603944489313847	0.2687133715790761	0.2677614741851326	0.28146767515754284	0.28729023533814363	0.2828327625626062	0.28800377879522865	0.28380678993147435	0.28455327185319396	0.2819184838615056	0.2832726436645667	0.2835614519147622	0.2836669207325477	0.27920927282817104	0.2857881965492047	0.2770495033843364	0.2903507374620344	0.2803292754686406	0.27269604405747855	0.2783629951491733	0.27750054341351604	0.2794654691423695	0.28956265498125966	0.2532852517450452	0.2661331832113006	0.2704633996480638	0.2792406897816048	0.2862802001637167	0.28757589576771214	0.2879345430364079	0.2744935205609605	0.26000722277219107	0.2641557556685707	0.2851725675319845	0.2853335950239818	0.2904987157722925	0.2859765584746447
G1-135	0.16694215058637607	0.09744081929018499	0.22508433226511407	0.2502730769061028	0.14244689573656824	0.251493765719055	0.0	0.11637187558766039	0.1402814219646088	0.226236357454076	0.10593419347532863	0.21288488557270396	0.2844213068828038	0.2783839761550763	0.18056325933630496	0.23721135178422623	0.10623111523006873	0.21988795869194896	0.17896355414509826	0.12510685098993504	0.12660886281832884	0.15216520507865275	0.22008845959118922	0.15663771932356935	0.1726420266515823	0.17693837085141964	0.11315928637011916	0.1584950778125119	0.1507860961037002	0.16849440468013815	0.16695994651967397	0.1250764564960053	0.12153599450785883	0.11282257271090101	0.12395965841043631	0.12642463950296567	0.13008170442830694	0.12083163720839954	0.12415693251535595	0.1528599096944593	0.12811481852181572	0.1496870529958963	0.08071079421456094	0.12635581156855363	0.12430351532679368	0.12401999932788137	0.2871946779400873	0.2636760777226421	0.2837319523735616	0.28542072130871293	0.28885227426597104	0.29439054288193495	0.2604037009426211	0.051450099941899224	0.25283440034912136	0.19495247542586813	0.2599730073712755	0.20683125853606607	0.2647044940688673	0.0610068098686553	0.04901517219715206	0.06750754631593868	0.11074898994054275	0.12485149632694928	0.12457128328686262	0.12600482387285555	0.13341006701412067	0.10819792140393292	0.13910640654250064	0.10981299327883266	0.11473939179603163	0.12604091928995637	0.10648927613509777	0.10881756764006835	0.10797127760562561	0.107921793534421	0.1462709380862568	0.16049532933223035	0.1667978828822033	0.17631254298013266	0.11436894445584377	0.15465320390606035	0.10441262825042484	0.11469504520901093	0.1952505707373473	0.06127351390160777	0.07534400440559125	0.11881503342632915	0.1259633844969577	0.18003248054929558	0.18706029341252087	0.16349726968092262	0.12308800814238866	0.18016802788126524	0.1688285484739559	0.1817542367921143	0.18128765823115975	0.23694601826720785	0.1815394300904726
G1-136	0.07601036792949295	0.08090447617725083	0.15294182535006015	0.24711796316489493	0.11165430774585823	0.2482992320964487	0.11637187558766039	0.0	0.10274605869611299	0.1708384663807189	0.024196740987256354	0.15775440256994916	0.22942748143107977	0.22430140753356007	0.11876217691672211	0.1866534558078542	0.06790021622040121	0.16189154779525725	0.11298797600006213	0.12635248522017428	0.12815744358300638	0.06007711339413833	0.16667944294164017	0.07083357148830585	0.10028341302126338	0.11245826626514625	0.050111441224929075	0.0678334673414398	0.05713859427780017	0.08665049790139007	0.0830867703314945	0.13308995987885922	0.1295494978907129	0.12087109032814466	0.13200817615768018	0.13447315725020959	0.13813022217555065	0.1288451405912534	0.13220545026259978	0.05919572418368019	0.13102327937694155	0.05607456553438601	0.11263646514079716	0.12970674540684402	0.12428344231229604	0.12370792513379486	0.23216583812397323	0.21086165025068213	0.22889224133352862	0.23041243793038213	0.23370628018689713	0.23936170306582102	0.20564422798682458	0.12354003147924002	0.198144982360158	0.14160512265059091	0.2048107912983042	0.15149053595169273	0.21066236326633458	0.11392317847491625	0.16021953010281062	0.1798890838095321	0.11734355507960836	0.1309604989680063	0.13000860156406277	0.13401392173870066	0.05034712352840477	0.11620701909477799	0.05032178189858173	0.10466738646654568	0.09346059804333444	0.13405442267281029	0.11283018347377986	0.10609881724433332	0.10867083385226338	0.09261565630481923	0.05374011749130137	0.1227099443350933	0.08809972148282472	0.13128512322226188	0.08777531599390244	0.10765753197495276	0.06291593524801938	0.06751056636422943	0.14112473472841155	0.07823506748522083	0.10192922383702548	0.06675499960457246	0.040535442278396235	0.11646928976948592	0.1291528974677901	0.09426244615915409	0.03280411479060664	0.10222130457187588	0.07872802956271657	0.11930273711336081	0.11846669652527916	0.1811880791204588	0.11811459073523604
G1-138	0.15014773458979358	0.12413913092828613	0.1589876529548001	0.15905486985233924	0.03599021483252382	0.16015076188832475	0.1402814219646088	0.10274605869611299	0.0	0.2608264177744498	0.10040606877500166	0.24747494594307803	0.31855478026729567	0.312284661566223	0.19569124893958761	0.2705790379173268	0.15983621860768019	0.25228486642113	0.2036535155334456	0.13420303669544478	0.13621268021114033	0.14992179957078625	0.2542078664421761	0.15957067801598113	0.18760974544204834	0.18908864753588553	0.12646725041737403	0.14875800946772444	0.14028345840338663	0.1684794137107215	0.15031448722942828	0.13008379436472295	0.13014828683909543	0.13126604169332545	0.13063959190832583	0.1302935706543092	0.13391562108026045	0.13058233621201026	0.1304924115018438	0.15076172667473145	0.13803101781930244	0.13918441529558276	0.12302199100289664	0.1363070252304301	0.12947874678074492	0.13032146712728218	0.32113037771562364	0.2976117774981786	0.3176676521490981	0.3193564210842496	0.32290512830446755	0.3283262426574714	0.2942169786102454	0.13238630091377784	0.2871111617878861	0.22694237059386485	0.29424976879504006	0.24141141009703798	0.2989276271247423	0.12299275602076067	0.16748432641019023	0.1856634014923676	0.12763284047758364	0.1348027099888258	0.13452249694873916	0.12986722283306396	0.13563312319466836	0.13122349912410974	0.1363466666517535	0.13219965303210385	0.1329111205894337	0.1302893193770911	0.13160846481576247	0.13189727306595783	0.13196772751935365	0.12769003858694067	0.13538601849467802	0.214803123205503	0.16839136314353392	0.22314441697288817	0.1775973348185177	0.1997064872009056	0.12363016122738271	0.12169300898550028	0.22965852595348307	0.1689735480603387	0.19166513690557777	0.16008063362577848	0.12147518960209006	0.20556238077427563	0.21857409102592654	0.18019523849952743	0.11526660114001748	0.18722585965693608	0.16964021152387276	0.20940707314788737	0.20814276637869025	0.27034711857099775	0.20845555658675005
G1-139	0.11337446177394143	0.22034991037499663	0.13186348991239394	0.29007282339606194	0.2727898526738589	0.29355354630141123	0.226236357454076	0.1708384663807189	0.2608264177744498	0.0	0.184592112695029	0.014473510499893349	0.06173930482802974	0.05581079098887569	0.06714191304312218	0.018162841428169815	0.13800830230648725	0.01606103315687616	0.060747476083932564	0.2689427940274129	0.26994882489527516	0.11574058808820022	0.008992531572403302	0.1055789453912351	0.08990833041144775	0.07551119786379892	0.1910289450973487	0.12697450268186022	0.1460294916210592	0.10530779246440503	0.13479541141733628	0.2679333487779601	0.26449522059369607	0.25571447922724555	0.2668515650567809	0.26952216020162156	0.2729736110746515	0.26368852949035426	0.2670488391617006	0.11563995242852046	0.2701801725138537	0.14951316207744192	0.26405737028264487	0.268872219893044	0.2697575863930533	0.26798532139685344	0.06467929836607549	0.042337412640679174	0.061174236708023334	0.06237838463024804	0.06577510739250925	0.07111459227477712	0.037452202134161706	0.26185703193191057	0.029883017241659	0.049355041132604624	0.035630019562500656	0.021363638504249747	0.04082351882475344	0.2626196932600512	0.2580228812977984	0.26964559063999904	0.2680715987950738	0.27051318352602677	0.2687909394285578	0.2688297858208003	0.1846750666274742	0.2510283804088349	0.17161091506445186	0.23886121411064656	0.22773813051060288	0.26889781157191117	0.2476735723728808	0.24101074416087123	0.24351422275136433	0.22828094902860768	0.14526007399945018	0.07469201227551227	0.10576832814632009	0.062011627913045535	0.12225822790092852	0.08154211537921872	0.20871421041641341	0.20382360627674032	0.03203391776082942	0.1743421281496173	0.19478537094659892	0.11972560271436411	0.17574555558479485	0.056626988093193636	0.04336172496215966	0.1142384189592449	0.1568118352729928	0.0772859846390758	0.09400901467860502	0.05375619364922603	0.054179040679542295	0.015773355638474325	0.054375025848461954
