	G1-11	G1-12	G1-13	G1-130	G1-131	G1-132	G1-135	G1-136	G1-138	G1-14	G1-15	G1-177	G1-178	G1-193	G2-194	G2-413	G2-414	G2-415	G2-416	G3-417	G3-418	G3-419	G3-420	G3-421	G3-422	G3-423	G3-424	G3-425	G3-426	G3-427	G3-428	G3-429	G3-430
G1-11	0.0	0.48690095846645365	0.3354632587859425	0.7463258785942491	0.6051118210862619	0.7623003194888179	0.7118210862619808	0.30287539936102237	0.7162939297124601	0.41022364217252394	0.3840255591054313	0.36869009584664536	0.21277955271565496	0.3571884984025559	0.16613418530351437	0.6338658146964856	0.30287539936102237	0.5527156549520766	0.8638977635782747	0.3795527156549521	0.21789137380191692	0.5239616613418531	0.26517571884984026	0.29648562300319486	0.2869009584664537	0.3936102236421725	0.49456869009584664	0.24345047923322682	0.19105431309904153	0.268370607028754	0.2913738019169329	0.402555910543131	0.31629392971246006
G1-12	0.48690095846645365	0.0	0.7623003194888179	0.8881789137380192	0.7769968051118211	0.9054313099041533	0.7757188498402556	0.3348242811501597	0.8702875399361022	0.6332268370607029	0.6415335463258786	0.6479233226837061	0.47859424920127797	0.27412140575079874	0.45559105431309904	0.7629392971246006	0.6888178913738019	0.6798722044728435	0.8798722044728434	0.673482428115016	0.5405750798722044	0.6952076677316293	0.5667731629392971	0.5884984025559106	0.5763578274760384	0.6837060702875399	0.7105431309904153	0.6357827476038339	0.5667731629392971	0.6019169329073483	0.6287539936102237	0.7118210862619808	0.6466453674121406
G1-13	0.3354632587859425	0.7623003194888179	0.0	0.5373801916932908	0.5878594249201278	0.5086261980830671	0.7169329073482428	0.544408945686901	0.46517571884984027	0.513738019169329	0.44536741214057507	0.48753993610223645	0.48562300319488816	0.673482428115016	0.47987220447284346	0.6920127795527157	0.4268370607028754	0.5667731629392971	0.7814696485623003	0.40319488817891375	0.3814696485623003	0.615335463258786	0.49329073482428115	0.4862619808306709	0.49584664536741213	0.4830670926517572	0.5156549520766773	0.42875399361022365	0.43130990415335463	0.4862619808306709	0.48434504792332267	0.4837060702875399	0.4907348242811502
G1-130	0.7463258785942491	0.8881789137380192	0.5373801916932908	0.0	0.5386581469648563	0.03258785942492013	0.8428115015974441	0.7801916932907348	0.5418530351437699	0.7795527156549521	0.8249201277955271	0.8798722044728434	0.8773162939297124	0.8376996805111822	0.8281150159744409	0.865814696485623	0.8364217252396167	0.8383386581469648	0.91629392971246	0.8594249201277955	0.8536741214057508	0.8869009584664537	0.876038338658147	0.8779552715654952	0.8875399361022365	0.8747603833865815	0.8626198083067093	0.7769968051118211	0.7808306709265176	0.8370607028753994	0.8338658146964856	0.8594249201277955	0.8396166134185303
G1-131	0.6051118210862619	0.7769968051118211	0.5878594249201278	0.5386581469648563	0.0	0.5584664536741214	0.6338658146964856	0.6281150159744409	0.17955271565495207	0.32204472843450477	0.6594249201277955	0.7667731629392971	0.7450479233226837	0.6952076677316293	0.6862619808306709	0.4594249201277955	0.6472843450479233	0.7565495207667732	0.9047923322683706	0.7591054313099042	0.6888178913738019	0.44089456869009586	0.6958466453674121	0.5789137380191693	0.7118210862619808	0.6900958466453674	0.4185303514376997	0.6210862619808307	0.6370607028753994	0.6613418530351438	0.65814696485623	0.805111821086262	0.6894568690095847
G1-132	0.7623003194888179	0.9054313099041533	0.5086261980830671	0.03258785942492013	0.5584664536741214	0.0	0.8402555910543131	0.7750798722044728	0.5175718849840255	0.7846645367412141	0.8146964856230032	0.8875399361022365	0.8849840255591054	0.8568690095846645	0.850479233226837	0.8626198083067093	0.8549520766773163	0.8274760383386581	0.886261980830671	0.8575079872204473	0.8466453674121406	0.8945686900958466	0.8837060702875399	0.8856230031948882	0.8952076677316294	0.8824281150159744	0.8523961661341853	0.7961661341853035	0.7993610223642172	0.855591054313099	0.8523961661341853	0.8670926517571885	0.85814696485623
G1-135	0.7118210862619808	0.7757188498402556	0.7169329073482428	0.8428115015974441	0.6338658146964856	0.8402555910543131	0.0	0.6191693290734824	0.6236421725239617	0.48881789137380194	0.4594249201277955	0.7527156549520767	0.7501597444089457	0.7539936102236422	0.7488817891373802	0.6645367412140575	0.6204472843450479	0.2159744408945687	0.29648562300319486	0.531629392971246	0.5105431309904154	0.6178913738019169	0.7047923322683706	0.6089456869009585	0.7169329073482428	0.6408945686900959	0.5654952076677316	0.7271565495207668	0.7424920127795527	0.7162939297124601	0.7150159744408946	0.7463258785942491	0.7335463258785943
G1-136	0.30287539936102237	0.3348242811501597	0.544408945686901	0.7801916932907348	0.6281150159744409	0.7750798722044728	0.6191693290734824	0.0	0.7047923322683706	0.405111821086262	0.4594249201277955	0.5993610223642173	0.42619808306709267	0.2645367412140575	0.3718849840255591	0.6690095846645367	0.5130990415335464	0.5361022364217253	0.7750798722044728	0.534185303514377	0.3597444089456869	0.642811501597444	0.4996805111821086	0.5271565495207667	0.5201277955271566	0.6191693290734824	0.597444089456869	0.5015974440894568	0.44345047923322684	0.5092651757188499	0.529073482428115	0.6389776357827476	0.5527156549520766
G1-138	0.7162939297124601	0.8702875399361022	0.46517571884984027	0.5418530351437699	0.17955271565495207	0.5175718849840255	0.6236421725239617	0.7047923322683706	0.0	0.4083067092651757	0.7137380191693291	0.8402555910543131	0.8370607028753994	0.8287539936102236	0.8198083067092652	0.3916932907348243	0.7169329073482428	0.7693290734824281	0.8313099041533546	0.7769968051118211	0.7514376996805112	0.4115015974440895	0.7878594249201278	0.670926517571885	0.8038338658146965	0.7277955271565495	0.3744408945686901	0.7482428115015974	0.7699680511182109	0.7936102236421725	0.7904153354632588	0.8146964856230032	0.8089456869009585
G1-14	0.41022364217252394	0.6332268370607029	0.513738019169329	0.7795527156549521	0.32204472843450477	0.7846645367412141	0.48881789137380194	0.405111821086262	0.4083067092651757	0.0	0.35910543130990413	0.5226837060702876	0.5086261980830671	0.4984025559105431	0.4638977635782748	0.3258785942492013	0.39680511182108624	0.4696485623003195	0.7789137380191693	0.44792332268370605	0.3757188498402556	0.26389776357827477	0.46006389776357826	0.34313099041533546	0.476038338658147	0.4472843450479233	0.21725239616613418	0.41533546325878595	0.43003194888178914	0.4351437699680511	0.43322683706070286	0.5635782747603834	0.46006389776357826
